ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
Nay ta cho con làm phụ giảng về Tân và Cựu ước.	Megbízom az Új- és Ó-Szövetség oktatásával.	0.274468
Julien, nhiệt liệt cảm kích, cũng đã có ý quỳ xuống chân ông và tạ ơn Chúa, nhưng anh lại vâng theo một cử chỉ chân thật hơn.	Elragadtatva a hála érzésétől, Julien először arra gondolt, hogy térdre boruljon és Istenhez imádkozzék; de egy igazabb ösztönnek engedte át magát.	0.284559
Anh lại gần cha Pirard và cầm lấy bàn tay ông, mà đưa lên môi.	Odalépett Pirard abbéhoz és megfogta a kezét, melyet ajkához emelt.	0.56804
— Cái gì thế này?	- Mi ez?	-0.3
Ông giám đốc kêu lên, có vẻ không bằng lòng, nhưng con mắt của Julien còn biểu lộ nhiều hơn động tác của anh nữa.	- kiáltott föl az igazgató bosszúsan; de Julien szemei még többet mondottak, mint mozdulata.	0.363953
Cha Pirard nhìn anh kinh ngạc, như thể một người đã lâu năm mất thói quen gặp những cảm xúc tế nhị.	Pirard abbé csodálkozva nézett reá, mint egy olyan valaki, a ki hosszú évek óta elszokott tőle, hogy gyöngéd megindúlásokkal találkozzék.	0.373413
Sự chăm chút đó làm cho ông giám đốc lộ chân tình, tiếng nói của ông lạc hẳn giọng đi.	Ez a nézés árúlója lett az igazgatónak; hangja elváltozott.	0.10678
— Thôi thì, ừ, con ạ, ta có tình quyến luyến con thực.	- Nos hát! ~~~ igen, gyermekem, ragaszkodom hozzád.	-0.0423913
Trời biết rằng lòng ta không muốn thế.	Az ég a tudója, hogy nem tehetek róla.	0.222857
Đáng lẽ ta phải công bằng, không thù ghét ai, không yêu riêng ai.	Az lett volna a kötelességem, hogy igazságos legyek és se ne gyűlöljek, se ne szeressek senkit.	0.216176
Con đường sự nghiệp của con rồi sẽ gian khổ.	Pályád fáradságos lesz.	0
Ta trông thấy ở con một cái gì nó làm phật ý kẻ phàm tục.	Látok benned valamit, a mi sérti a közönséges embert.	0.229412
Sự ghen ghét và sự vu cáo sẽ theo đuổi con.	A féltékenység és a rágalom nyomon fognak követni.	0.273913
Bất cứ nơi nào mà Trời đặt con vào, những đồng bạn của con sẽ không bao giờ trông thấy con mà không sinh lòng thù ghét, và nếu họ giả vờ yêu mến con, thì chính là để làm hại con một cách chắc chắn hơn.	Bárhova helyezzen is a végzet, társaid mindig gyűlölettel lesznek irántad és ha szeretetet fognak színlelni, csak azért teszik, hogy annál biztosabban elárúlhassanak.	0.182278
Đối với cái đó, chỉ có một phương thuốc, con chỉ nên trông cậy ở Chúa, người đã cho con, để trừng phạt tội tự đắc của con, cái số mệnh phải bị người ta thù ghét.	Ez ellen csak egy a segítség: egyedül Istenben bízzál, a ki, hogy megbüntessen hiúságodért, kikerülhetetlenné tette reád nézve a gyűlöletet; ez az egyetlen mentség, a mit számodra látok.	0.284831
Con hãy giữ hạnh kiểm cho trong sạch, đó là phương kế duy nhất ta thấy con có thể có được.	Ha legyőzhetetlen hűséggel tartasz ki az igazság mellett, ellenségeid előbb vagy utóbb vereséget fognak szenvedni.	0.269697
Nếu con tin ở lẽ thật của lưới trời lồng lộng, chẳng sớm thì muộn những kẻ thù của con cũng sẽ bị bẽ bàng tủi hổ.		-0.3
Đã bao lâu Julien không được nghe thấy một tiếng nói thân yêu, cho nên ta phải tha thứ cho anh một sự mềm yếu, lúc đó anh nước mắt ròng ròng.	Julien oly hosszú idő óta nem hallott baráti hangot, hogy meg kell bocsátani neki egy gyöngeségét: könnyekre fakadt.	0.342298
Cha Pirard dang hai tay ôm lấy anh, giây phút đó thật êm đềm cho cả hai người.	Pirard abbé karjaiba ölelte; e pillanat mindkettőjüknek vajmi édes volt.	0.524901
Julien vui sướng điên người. ~~~ Bước tiến thân này là bước đầu tiên anh thu hoạch được, những cái lợi của nó thật lớn vô cùng.	Julien szinte magánkívül volt az örömtől; ez az előléptetés volt az első, a mit elért; óriási előnyök jártak vele.	-0.00409091
Muốn quan niệm được những cái lợi đó, phải đã từng bị bắt buộc sống hàng bao tháng trời ròng rã không một phút nào được một mình, và phải trực tiếp va chạm với những bạn đồng học ít ra là quấy rầy, và phần đông là ác độc không sao kham nổi.	Hogy az ember fölfoghassa ezeket, hónapokon át arra kellett ítélve lennie, hogy egy perczig se lehessen egyedül, hanem folyton együtt oly társakkal, a kik legalább is alkalmatlanok, legnagyobb részben pedig elviselhetetlenek voltak.	0.212264
Chỉ cứ riêng những tiếng kêu gào của họ cũng đủ để làm xáo động một cơ thể tế nhị.	Csak a kiabálásuk is elegendő lett volna, hogy megbontson egy finomabb szervezetet.	0.205263
Cái vui ồn ào của những anh nhà quê được ăn no mặc ấm kia, chỉ được hả hê, chỉ tự cho là trọn vẹn khi nào họ kêu gào bằng hết cả sức lực hai buồng phổi của họ.	E jóllakott és jó ruhába öltöztetett parasztok lármás örvendezése nem érte be magamagával, teljességéhez hozzátartozott, hogy torkuk szakadtából kiáltozzanak.	0.258491
Bây giờ, Julien được ăn một mình, hay gần như thế một tiếng đồng hồ sau các sinh đồ khác.	Mostantól fogva Julien egyedül, vagy csaknem egyedül ebédelt, egy órával utóbb, mint a többi szeminárista.	0.48453
Anh có riêng một chìa khóa vườn và có thể đi dạo chơi ở đó trong những giờ vắng vẻ.	Külön kulcsot kapott a kerthez és olyankor is sétálhatott benne, mikor nem járt ott senki.	0.260241
Julien hết sức ngạc nhiên thấy người ta thù ghét anh ít hơn trước, trái lại, anh cứ chờ đợi một sự thù hằn gấp bội.	Nagy csodálkozására Julien úgy tapasztalta, hogy most kevésbbé gyűlölik; ő, ellenkezőleg, a gyűlölet megkettőződését várta.	0.478051
Lòng mong ước thầm kín rằng đừng ai nói chuyện gì với anh, trước kia ai cũng thấy rõ ràng và làm cho anh có bao nhiêu kẻ thù, bây giờ lại không phải là một biểu hiện của tính kiêu ngạo đáng cười nữa.	Azt a titkos vágyát, hogy ne szóljanak hozzá, a mi nagyon is szembeötlő volt és a mi oly sok ellenséget szerzett neki, többé nem vették a nevetséges gőg jelének.	0.160135
Trong mắt những con người thô bỉ ở chung quanh anh, đó lại là một ý thức đứng đắn về chức vị của anh.	A durva lények szemében, a kik környezték, ez jogos érzete volt méltóságának.	0.146053
Sự thù ghét giảm bớt trông thấy, nhất là trong những đám anh bạn trẻ nhất đã trở thành học trò của anh, và anh đối xử rất lễ độ.	A gyűlölet észrevehetően csökkent, különösen legfiatalabb társai között, a kik növendékeivé váltak s a kikkel nagyon udvariasan bánt.	0.268421
Dần dần có cả những người về phe với anh; gọi anh là Martin Luther trở thành lố bịch.	Lassanként még párthívei is lettek; többé nem tartották illőnek, hogy Luther Mártonnak nevezzék.	0.511094
Nhưng kể tên những bạn, những thù để làm gì?	Mire jó azonban fölsorolni barátait, ellenségeit?	0.281633
Tất cả cái đó là xấu xa, và lại càng xấu xa khi thực có dụng ý. Tuy nhiên, đó là những ông thầy dạy đạo đức duy nhất của dân chúng, không có họ thì dân chúng sẽ ra sao?	Mindez csupa rútság, még pedig annál rútabb, minél hívebb a rajz. ~~~ Holott pedig a népnek ezek az egyedüli erkölcs-tanítói és nélkülök vajon mivé lenne?	-0.0367347
Báo chí có bao giờ thay thế được ông linh mục?	Képes lesz-e valaha a hírlap, hogy pótolja a plébánost?	0.288235
Từ ngày Julien nhận chức vị mới, ông giám đốc chủng viện làm ra bộ không bao giờ nói chuyện với anh mà không có người chứng kiến.	A mióta Julien új méltóságára emelkedett, a szeminárium igazgatója ügyelt reá, hogy sohase beszéljen vele tanúk nélkül.	0.400565
Trong cách xử sự đó có sự cẩn trọng cho thầy, cũng như cho trò, nhưng nhất là có sự thử thách.	Volt ebben az eljárásban eszélyesség úgy a mester, mint a tanítvány szempontjából, de volt benne főként próbatét is.	0.270874
Nguyên tắc bất di bất dịch của nhà Janséniste nghiêm khắc Pirard là: Một con người có tài đức đối với mắt anh chăng? ~~~ Anh hãy làm trở ngại cho tất cả những ước vọng của hắn, cho tất cả những mưu đồ của hắn.	A szigorúan jansenista Pirardnak változhatatlan elve volt: Ha valaki érdemesnek látszik a szemedben, gördíts akadályokat minden óhajtása, minden vállalkozása elé.	-0.0313953
Nếu thực có tài đức, thì hắn sẽ biết cách lật đổ hoặc đi vòng tránh các trở ngại.	Ha valóban érdemes, el fogja hárítani és le fogja győzni az akadályokat.	0.182609
Hôm đó đương là mùa săn bắn.	Elérkezett a vadászat évadja.	0.26
Fouqué bỗng có ý kiến gửi đến chủng viện một con nai và một con lợn lòi, nói là của gia đình Julien gửi.	Fouqué-nek az az ötlete támadt, hogy Julien családjának a nevében egy szarvast és egy vadkant küldött a szemináriumnak.	0.45524
Những con vật chết được đặt ở lối đi giữa nhà bếp và phòng ăn.	A zsákmányúl ejtett állatokat a konyha és az ebédlő közti folyosón terítették ki.	0.276
Tết cả các sinh đồ, khi đi ăn, đều trông thấy chúng nằm lù lù ở đấy.	Az összes szemináristák látták, mikor ebédre mentek.	0.15283
Họ rất lấy làm kinh dị.	Általános érdeklődést keltettek.	0.214286
Con lợn lòi dù đã chết hẳn hoi, cũng làm cho những cậu trẻ tuổi nhất phải phát khiếp, họ sờ mó những cái răng nanh của nó.	A vadkan, noha élettelen volt, ijesztette a fiatalabbakat; megtapogatták agyarait. ~~~ Egy hétig másról sem beszéltek.	-0.0357798
Trong tám ngày liền người ta không còn nói đến chuyện gì khác.	Ez az adomány, mert hogy Julien családját a társadalomnak abba az osztályába sorolta, melynek tisztelet jár, halálos csapást mért az ellenszenvre.	-0.00441176
Món quà đó liệt gia đình Julien vào hạng phải kính nể trong xã hội, và giáng cho lòng ghen ghét một đòn trí mạng.	Julien felsőbbségét megpecsételte a vagyontól származó szentesítéssel.	0.488514
Anh trở thành một kẻ có thế ưu việt do sự giàu có xác định cho Chazel và những sinh đồ lỗi lạc nhất gạ gẫm anh, và hầu như phàn nàn với anh về nỗi anh chả bảo trước cho họ biết là gia đình anh giàu có, làm cho họ có thể đã mang tội bất kính đối với tiền bạc.	Chazel és a legkiválóbb szeminaristák előzékenyen közeledtek hozzá és majdhogy szemrehányást nem tettek neki, a miért nem figyelmeztette őket szüleinek vagyonos voltára és abba a helyzetbe juttatta őket, hogy vétkezzenek a pénzt megillető tisztelet ellen.	0.331267
Lúc đó có một vụ trưng binh mà Julien được miễn dịch do tư cách là sinh đồ chủng viện.	Sorozás volt, a mely alól Julien papnövendéki minőségében föl volt mentve.	0.455479
Trường hợp đó làm anh xúc động sâu xa.	Ez mély hatást tett reá.	0.05
Thế là vĩnh viễn bỏ qua mất cái giây phút mà ví thử là hai mươi năm về trước, một cuộc đời anh hùng có thể đã bắt đầu cho ta!	Ime, örökre eltűnt a pillanat, melyben, húsz évvel ezelőtt, hősi élet kezdődött volna számomra.	0.153191
Anh đi dạo chơi một mình trong vườn của chủng viện, anh nghe thấy những người thợ nề, đương xây đắp bức tường bao, nói chuyện với nhau. ~~~ — Ấy đấy!	Magányosan sétált a szeminárium kertjében, hallotta, a mint a kerítés falán dolgozó kőmüvesek beszélgettek.	-0.064486
Phải đi mất thôi, lại một vụ trưng binh mới nữa đấy.	- Hát bizony el kell menni, soroznak.	0.0363636
— Trong thời ông trước , thì còn nói gì!	- Az ő idejében, Isten nevében!	0.16
Một anh thợ nề thời đó trở thành sĩ quan, làm nên cấp tướng, chuyện đã từng thấy.	Kőmüvesből is lehetett tiszt, lehetett tábornok, volt reá eset.	0.137705
— Bây giờ thì đừng có hòng!	- De ma megnézheted!	0.0789474
Chỉ có những thằng đói rách phải đi thôi.	Csak a koldúsok mennek.	-0.0545455
Anh nào có máu mặt thì vẫn ở lại quê hương.	A kinek van miből élni, itthon marad.	0.167647
— Đứa nào khốn khổ, vẫn cứ khốn khổ, ấy thế đó thôi.	- A ki szegénynek született, szegény is marad, ez az.	0.1875
— Ờ này, có đúng vậy không, cái điều họ nói ấy mà, rằng ông trước đã chết rồi?	- Vajon igaz-e, a mit beszélnek, hogy ő meghalt?	-0.055814
Một bác thợ nề thứ ba nói tiếp lời.	- vágott közbe egy harmadik kőmüves.	0.25
— Là bọn kếch xù họ nói, thế thôi, anh ạ!	- Ezt csak a zsírosok mondják, tudod! ~~~ Félnek tőle.	-0.003125
Chủ yếu là họ vẫn sợ ông ấy mà.	- Mily más a világ, hogy’ folyt akkor a munka!	0.276923
— Chả bù với bây giờ, cái thời ông ấy công việc chạy cứ rầm rầm!	És ha meggondolja az ember, hogy éppen tábornagyjai árulták el.	0.215
Thế mà ông ấy bị bọn tướng lĩnh của ông ấy phản bội đấy.	Micsoda gazok! ~~~ Ez a beszélgetés némileg megvígasztalta Julient.	-0.0166667
Bất nhân đến thế là cùng!	Távozóban sóhajtva ismételte:	0.290323
Cuộc chuyện trò đó an ủi Julien đôi chút.	A nép-emlékezés csak e királyhoz hív!	0.236842
Anh vừa dời bước đi, vừa thở dài nhắc lại câu:		-0.3
"Nhà vua duy nhất là nhân dân của tưởng nhớ" .	Elkövetkezett a vizsgálatok ideje.	0.158824
Kỳ sát hạch đã đến, Julien trả lời một cách thật xuất sắc, anh thấy rằng cả Chazel cũng cố trổ hết tài học.	Julien ragyogóan felelt; látta, hogy Chazel is egész tudományát ki akarja mutatni.	0.578422
Hôm đầu, các vị giám khảo được ông phó giám mục trứ danh de Frilair cắt cử, đều rất lấy làm phiền cứ phải luôn luôn ghi vào đứng đầu, hay cùng lắm là đứng thứ nhì, trên danh sách của họ, cái tên Julien Sorel, mà người ta lưu ý họ là con cưng của cha Pirard.	Az első nap, a censorok, a kiket a hírhedt de Frilair fővikárius nevezett ki, nagyon kelletlenül érezték magukat, a miért a névsorban mindig az első vagy legalább a második helyet ennek a Julien Sorelnek kellett juttatniok, a kit úgy festettek le előttük, hogy Pirard abbé kedvencze.	0.463254
Ở chủng viện có những người đánh cuộc rằng, trong danh sách tổng sát hạch, thế nào Julien cũng sẽ đứng số một, như thế là có vinh dự được đến ăn tiệc của Đức giám mục.	A szemináristák között fogadások történtek, hogy az általános érdemsorban Julien lesz az első, a mivel együtt jár a megtiszteltetés, hogy ebédre lesz hivatalos a püspök úr ő kegyelmességéhez.	0.390545
Nhưng lúc cuối một buổi sát hạch, một ông giám khảo quỷ quyệt, sau khi đã hỏi Julien về Thánh Jérôme và sự mê say của ông đối với Cicéron, bèn nói về Horace, Virgile và những tác giả phàm tục khác.	Az egyik vizsga végén azonban, a mikor is az egyházatyákról volt szó, egy élelmes censor, miután Szent Jeromosról és ennek Cicero iránt való szenvedélyéről kérdezte ki Julient, Horatiusra, Virgiliusra és más profán szerzőkre tért át.	0.288785
Julien đã học thuộc lòng rất nhiều đoạn văn của các tác giả đó, mà các bạn đồng học không ngờ.	Társainak tudta nélkül Julien számos részletet kívülről megtanult e szerzőkből.	0.46532
Bị những thành công lôi cuốn, anh quên rằng mình đương ở đâu, và thấy ông giám khảo tái tam tái tứ yêu cầu, anh liền đọc thuộc lòng và diễn dịch một cách nồng nhiệt rất nhiều bài nhạc thi của Horace.	Sikerétől elragadtatva, feledte, hogy micsoda helyen van és a censor megismételt fölszólítására tüzesen elszavalta és megmagyarázta Horatius több ódáját.	0.163816
Sau khi đã để anh mắc bẫy trong hai mươi phút đồng hồ, đột nhiên ông giám khảo đổi nét mặt và quở trách anh một cách chua cay là đã mất thì giờ vào những việc học tập phàm tục kia, và đã buộc vào đầu óc những tư tưởng vô ích hoặc có tội.	Miután húsz perczig hagyta előrerohanni, a censor hirtelen más arczot vágott és éles szemrehányásokat tett Juliennek az időért, a mit e profán tanulmányokra vesztegetett és a haszontalan vagy vétkes eszmékért, melyeket fejébe vett.	0.236697
— Thưa ông, tôi là một kẻ ngu dại, và ông nói đúng, Julien nói với một vẻ nhũn nhặn, khi anh nhận thấy cái mưu mẹo quỷ quyệt mà anh đã bị mắc lừa.	- Ostoba vagyok, uram, és önnek igaza van, - felelt Julien szerényen, fölismerve az ügyes haditervet, melynek áldozatául esett.	0.337179
Mưu kế đó của ông giám khảo bị mọi người, ngay cả ở chủng viện, coi là nhơ nhớp, ấy thế mà linh mục de Frilair, con người quỷ quyệt đã tổ chức rất khôn khéo mạng lưới của thánh hội Besancon, và gửi những thông điệp về Paris làm cho các quan tòa, ông tỉnh trưởng và cả đến các tướng tá trong doanh trại đều phải run sợ, ông ta vẫn cứ hạ ngòi bút uy lực đề con số 198 bên cạnh tên Julien.	A censor cselfogását még a szemináriumban is alávalónak találták, a mi azonban nem akadályozta meg de Frilair abbé urat, ezt az ügyes férfiút, a ki oly agyafúrtan szervezte a besançoni congregatio hálózatát és a kinek Párisba küldött jelentéseitől birák, préfet, sőt helyőrségi főtisztek is reszkettek, hogy hatalmas kezével a 198-as számot bigyessze Julien neve mellé.	0.288242
Ông ta lấy làm vui sướng được làm như thế để làm nhục kẻ thù của ông ta, là ông Pirard theo phái Janséniste.	Örömét lelte benne, hogy ezzel is bántsa ellenségét, a jansenista Pirard abbét.	0.368927
Từ mười năm nay, mưu đồ lớn nhất của ông ta là làm cho ông này mất cái chân giám đốc chủng viện.	Tíz év óta az volt a főtörekvése, hogy kivegye kezéből a szeminárium igazgatását.	0.2
Ông tu sĩ này, chính bản thân vẫn theo đường lối xử sự mà ông chỉ dẫn cho Julien, ông vốn là người chân thật, kính tin, không chạy vạy mưu mô, thiết tha với bổn phận.	Ez az abbé, maga is a szerint viselkedve, a hogy’ Juliennek tanácsolta, őszinte, jámbor, álnokság nélkül való és kötelességeiben állhatatos ember volt.	0.226027
Nhưng trời, trong cơn giận dữ, đã cho ông có một tính khí nóng nảy, dễ cảm thấy sâu sắc những sự lăng nhục và những mối thù hằn.	Ám az ég, haragjában, azzal az epés vérmérséklettel ruházta fel, mely mélyen érzi a bántalmakat és a gyűlöletet.	0.207273
Đối với tâm hồn nồng cháy đó, không có một sự nhục mạ nào của kẻ khác nhằm vào ông mà lại không có hiệu lực.	Semmiféle sértés sem ment veszendőbe ennél az izzó léleknél.	-0.0196721
Đáng lẽ ông xin từ chức đã đến trăm lần, nhưng ông lại tự cho là giúp ích được trong cái chức vụ mà Thượng đế đã đặt ông vào.	Százszor is beadta volna már lemondását, de hasznosnak hitte magát azon a helyen, a hova a Gondviselés állította.	0.182857
Ta ngăn cản những sự phát triển của chủ nghĩa Jésuites và của thói sùng bái thần tượng , ông tự nhủ như vậy.	Megakadályozom a jezsuitizmus és a bálványimádás terjedését, - mondá magában.	0.140506
Đến thời kỳ sát hạch, có lẽ đã đến hai tháng ông không nói chuyện với Julien, tuy vậy khi nhận được thư chính thức báo tin kết quả kỳ thi, ông thấy con số 198 bên cạnh tên người học trò mà ông coi là vinh dự của nhà trường, thì ông phát ốm mất tám ngày.	A vizsgák idején talán két hónap óta sem beszélt már egy szót se Juliennel, mégis azonban egy hétre beteg lett, mikor, kézhez véve a hivatalos levelet, mely a vizsgálat eredményét tartalmazta, a 198-as számot látta annak a növendéknek a neve mellett, a kit úgy tekintett, mint a ház dicsőségét.	0.294485
Niềm an ủi duy nhất của con người bản tính nghiêm khắc đó, là tập trung vào Julien tất cả mọi phương tiện giám sát.	Egyedüli vígasza az volt e szigorú jellemnek, hogy Julient a legfokozottabb ellenőrzésnek vetette alá.	0.203125
Ông lấy làm sung sướng thấy không phát hiện ở anh tí gì là giận dữ, là dự định báo thù, là chán nản.	Elragadtatással észlelte, hogy nem fedezhet föl benne se haragot, se bosszúvágyat, se csüggedést.	0.23871
Vài tuần lễ sau, Julien giật mình khi nhận được một bức thư, đóng dấu bưu điện từ Paris.	Néhány héttel később Julien reszketve bontott fel egy levelet; Párisban adták postára.	0.473626
Thế là, anh nghĩ bụng, bà de Rênal nhớ lời ước hẹn đây.	Végre - gondolá - de Rênal-né reáemlékezik igéreteire.	0.589697
Một ông ký tên là Paul Sorel, tự xưng là có họ với anh, gửi cho anh một hối phiếu năm trăm quan.	Egy úr, a ki a Sorel Pál nevet használta és a ki rokonának mondta magát, ötszáz francról szóló utalványt küldött neki.	0.261
Thư viết thêm rằng nếu Julien tiếp tục học tập có kết quả các tác giả La tinh ưu tú, thì mỗi năm sẽ gửi cho anh một số tiền như thế.	A levél hozzátette, hogy ha Julien tovább is sikerrel tanulmányozza a latin remekírókat, minden évben hasonló összeget fog kapni.	0.388017
Chính là nàng đây, chính là tấm lòng ưu ái của nàng!	- Ez ő, az ő jósága! ~~~ - szólt magában Julien meghatottan.	-0.00545455
Julien cảm kích tự nhủ, nàng muốn an ủi ta, nhưng tại sao lại không có lấy một lời thân ái?	- De miért, hogy nincs egy baráti szava se? ~~~ Tévedett a levél felől.	-0.0857143
Anh đoán lầm về bức thư kia, bà de Rênal có bạn là bà Derville hướng dẫn, còn đương miên man với những nỗi hối hận sâu sắc.	De Rênal-né, a ki barátnője: Dervillené befolyása alatt állott, egészen a mély lelkiismeretfurdalásoknak adta magát.	0.242105
Mặc dầu không muốn, bà vẫn thường luôn luôn nghĩ đến con người lạ lùng mà sự gặp gỡ đã làm cho cuộc đời bà đảo lộn, song bà vẫn nhất định không viết thư cho anh.	Akarata ellenére, gyakran gondolt arra a különös emberre, a kivel való találkozása feldúlta életét; de óvakodott, hogy írjon neki.	0.1584
Nếu chúng ta dùng cái ngôn ngữ của chủng viện, thì chúng ta có thể thừa nhận là có một phép lạ trong sự gửi năm trăm quan kia, và nói rằng trời đã mượn chính ông de Frilair, để ban cho Julien món tiền đó.	Ha a szeminárium nyelvén akarnánk beszélni, csodát láthatnánk ez ötszáz francban és azt mondhatnók, hogy az ég magát de Frilair urat vette igénybe Julien megajándékozására.	0.440949
Mười hai năm về trước, linh mục de Frilair đến Besancon với một túi hành trang hết sức lép kẹp, theo tin đồn đại, thì đó là tất cả sản nghiệp của ông.	Tizenhét év előtt de Frilair abbé ugyancsak lapos erszénynyel érkezett Besançon-ba és, a hagyomány szerint, ez volt egész vagyona.	0.492683
Bây giờ ông nghiễm nhiên là một trong những nghiệp chủ giàu có nhất tỉnh.	Ma egyike a megye leggazdagabb birtokosainak.	0
Trong quá trình phấn phát của ông, ông đã tậu nửa phần của một miếng đất, mà nửa kia là của thừa kế của ông de La Mole.	Föllendűlése menetében megvásárolta a felét egy földbirtoknak, melynek másik fele örökségképpen de la Mole úrra szállt.	0.446471
Do đó nảy ra một vụ kiện lớn giữa hai nhân vật đó.	Ebből pör támadt a két ember között.	0.12973
Mặc dầu đời sống huy hoàng của ông ở Paris, và những chức vụ của ông ở trong triều, hầu tước de La Mole cảm thấy rằng chọi nhau ở Besancon với một ông phó giám mục có tiếng là cất lên hạ xuống những ông tỉnh trưởng như chơi, thì thật là nguy hiểm.	De la Mole marquis úr, Párisban elfoglalt fényes helyzete és udvari állásai mellett is érezte, hogy veszélyes volna Besançon-ban harczba szállania egy fővikáriussal, a kiről az hirlett, hogy préfet-ket tud kineveztetni és elmozdíttatni.	0.31629
Đáng lẽ có thể xin một món tiền ân thưởng năm vạn quan, mượn một danh nghĩa nào đó mà ngân sách thừa nhận, và vứt bỏ cho linh mục de Frilair cái vụ kiện gày còm năm vạn quan đó, thì ông hầu tước lại đâm ra tức khí.	A helyett, hogy valami czím alatt, a mit a költségvetés megtűrne, ötvenezer franc kárpótlást járt volna ki magának és az ötvenezer franc körül forgó kétséges pört odaengedte volna de Frilair abbénak: a marquis megkötötte magát.	0.443164
Ông cho là lý của ông phải.	Úgy vélte, menti a jog: szép mentség.	0.24
Lý với chả lẽ! ~~~ Thế mà, nếu được phép nói, có ông quan tòa nào lại chả có một thằng con hay ít ra là một người họ hàng cần được giúp đỡ để tiến thân trong xã hội?	Mert hát, ha ugyan szabad kimondani: hol van az a bíró, a kinek nem volna fia vagy legalább valami unokaöcscse, a kit szeretne előre tolni.	-0.0540984
Để soi sáng cho những người mù nhất, tám ngày sau lời phán quyết đầu tiên mà ông đạt được, ông thầy tu de Frilair lấy xe song loan của Đức giám mục, và đích thân mang tấm huân chương Bắc Đẩu Bội Tinh đến cho trạng sư của mình.	Hogy a legelvakúltabbaknak is fölnyíljék a szemök, egy héttel az első itélet kimondása után de Frilair abbé a püspök ő kegyelmességének hintójába szállt és személyesen vitte el a becsületrend keresztjét ügyvédjének.	0.436557
Ông de La Mole hơi bị choáng váng vì thái độ ngạo nghễ của phe đối địch, và thấy các trạng sư của mình nao núng, bèn thỉnh giáo cha Chélan, ông này liền giới thiệu ông với ông Pirard.	De la Mole úr, kissé megrőkönyödve az ellenfél biztosságától és érezve, hogy ügyvédei meginognak, Chélan abbétól kért tanácsot, a ki összeköttetésbe hozta Pirard úrral.	0.37
Mối giao thiệp đó, tính đến thời kỳ câu chuyện của chúng ta, đã kéo dài được nhiều năm.	Történetünk idején ez összeköttetés már több év óta tartott.	0.126562
Cha Pirard đem cái bản tính nồng nhiệt của ông vào vụ tranh chấp này.	Pirard abbé belevitte az ügybe szenvedélyes természetét.	0.578571
Ông luôn luôn tìm gặp các trạng sư của hầu tước, nghiên cứu vụ kiện, và thấy lý của hầu tước là đúng, ông công khai trở thành người vận động cho hầu tước de La Mole chống lại ông phó giám mục thế lực như trời.	Folyton találkozva a marquis ügyvédeivel, tanulmányozta az ügyet, és mert jogosnak találta, nyiltan de la Mole marquis pártjára állott a mindenható fővikárius ellenében.	0.412963
Ông này lấy làm phẫn nộ vì sự láo xược đó, và lại là ở một anh Janséniste nhãi nhép nữa!	Ez utóbbit felháborította ez a vakmerőség, kivált meg egy kis jansenista részéről!	0.22963
Cái thứ quý tộc triều đình kia, nó tự cho là có thế lực lắm, các ông thử xem nó có là cái thá gì!	- Ime, láthatjuk, hogy mit ér az az udvari nemesség, mely oly hatalmasnak híreszteli magát!	0.220482
Ông thầy tu de Frilair nói với các người thân cận.	- mondá bizalmasainak de Frilair abbé.	1.00714
Ông de La Mole chưa hề có gửi được lấy một cái huân chương khốn khổ cho người đại lý của ông ta ở Besancon, và sắp để cho y bị cất chức một cách thảm hại đến nơi.	- De la Mole úr még csak egy nyomorúságos kis rendjelet sem küldött besançoni ügynökének és hagyja, hogy szépen elmozdítsák.	0.285357
Thế mà, người ta có viết thư cho tôi biết, cái ông nguyên lão nghị viên quý tộc đó, không tuần lễ nào là không đến phô bày tấm huy chương Thánh Linh Bội Tinh của mình trong phòng khách ông Chưởng ấn, bất cứ ông nào.	Pedig hát, azt írják nekem, egy hét sem múlik el, hogy ez a nemes főúr ott ne virítana kék szalagjával az igazságügyminiszter szalonjában, bárki legyen is ez.	0.126531
Mặc dầu tất cả sự hoạt động tích cực của cha Pirard, và mặc dầu ông de La Mole vẫn luôn luôn giao hảo với ông bộ trưởng Tư pháp và nhất là với các văn phòng của ông này, tất cả những thành tựu của ông sau sáu năm trời chăm sóc, chỉ là không đến nỗi tuyệt đối thua kiện.	Pirard abbé minden iparkodása ellenére is és ámbár de La Mole úr mindig a legjobb viszonyban volt az igazságügyminiszterrel, különösen pedig ennek az alárendeltjeivel, hat évi fáradozással nem ment többre, mint hogy nem vesztette el végkép a pört.	0.443756
Luôn luôn giao thiệp bằng thư từ với linh mục Pirard, vì một công việc mà cả hai ông đều theo đuổi một cách say mê, cuối cùng hầu tước lấy làm thích cái loại trí óc của linh mục.	Szünet nélkül levelezésben állva Pirard abbéval egy oly ügyben, a melyet mindketten szenvedélylyel követtek, a marquis végül is megkedvelte az abbé gondolkodásmódját.	0.238509
Dần dần, thư từ của họ ngả sang giọng thân tình mặc dầu địa vị xã hội xa cách nhau muôn trùng.	Lassanként, a társadalmi állás óriási különbsége ellenére is, levelezésük baráti hangra fordúlt.	0.282
Linh mục Pirard nói với hầu tước rằng người ta muốn bắt buộc ông, vì bị làm nhục mà phải xin từ chức.	Pirard abbé elmondta a marquisnak, hogy mindenféle gazsággal lemondásra akarják bírni.	0.434337
