Ivan S.Turgenev.	﻿Turgenyev	0.230769
Zinaida chen vào.	- vetette közbe Zinaida.	0.194118
"Phải.	- Az.	0.06
Đó là thông lệ của tiếng Tây Ban Nha.	A spanyoloknál így szokás.	0.144444
Tôi định nói là Tonkosheev..."	Azt akartam mondani, hogy Tonkosejev...	0.272727
"Nào nào!	- No!	-0.06
các bạn lại sắp sửa tranh cải về chủ nghĩa cổ điển và lãng mạn," Một lần nữa, Zinaida ngắt lời.	Most megint a klasszicizmusról és romanticizmusról vitatkoznak - vágott közbe Zinaida újból.	0.456612
"chúng ta chơi trò gì đi..."	- Inkább játsszunk valamit!	0.277778
"Trò Nộp phạt?"	- Zálogosdit?	0.192857
Lushin nói.	- kérdezte Lusin.	0.175
"Không, trò Nộp phạt chán phèo; hãy chơi trò So sánh."	- Nem, unalmas a zálogosdi; inkább hasonlatosdit.	0.228261
(Zinaida sáng chế trò này. ~~~ Nêu tên một thứ gì đó, mọi người sẽ cố tìm cách so sánh, và ai có so sánh thích hợp nhất sẽ được thưởng.)	(Ezt a játékot maga Zinaida találta ki; megneveztek egy tárgyat, mindegyikük igyekezett összehasonlítani valamivel, s aki a legjobb hasonlatot mondta, jutalmat kapott.)	-0.00604027
Nàng đến bên cửa sổ.	Zinaida az ablakhoz ment.	0.26087
Mặt trời vừa lặn; những đám mây đỏ ngự trên cao.	Az imént szállt le a nap; az égen hosszú, vörös felhők lebegtek magasan.	0.248276
"Những đám mây đó giống như cái gì nhỉ?"	- Mihez hasonlítanak ezek a felhők?	0.172727
Zinaida hỏi; và không chờ câu trả lời của chúng tôi, nàng nói ngay, "tôi nghĩ, giống như những cánh buồm tím thẩm của thuyền Cleopatra, khi nàng dong buồm tìm đến Antony.	- kérdezte Zinaida, s meg sem várva feleletünket, ezt mondta: - Szerintem olyanok, mint azok a bíborszínű vitorlák, melyek Kleopátra hajóján feszültek, mikor Antonius felé utazott.	0.278571
Ông nhớ không, Meidanov, ông đã kể cho tôi cách đây không lâu ?"	Emlékszik, Majdanov, maga nemrég beszélt nekem erről.	0.213462
Tất cả chúng tôi, như Polonius trong Hamlet, đồng lòng cho là chúng không giống các cánh buồm chút nào, nhưng không ai có thể tìm được một so sánh nào khá hơn.	Mint Polonius a "Hamlet"-ben, valamennyien kimondtuk, hogy a felhők éppen azokhoz a vitorlákhoz hasonlítanak, s hogy különb hasonlatot senki sem talál közülünk.	0.398435
"Và lúc đó Antony bao nhiêu tuổi nhỉ?"	- És hány éves volt akkor Antonius?	0.227273
Zinaida thắc mắc.	- kérdezte Zinaida.	0.284211
"Hẳn nhiên là còn trẻ," Malevsky nói.	- Bizonyosan fiatal volt még - jegyezte meg Malevszkij.	0.2325
"Vâng, là một thanh niên," Meidanov phụ họa.	- Az, fiatal - állította Majdanov meggyőző hangon.	0.293617
"Xin lỗi, Lushin nói to, "ông ta đã ngoài tứ tuần."	- Bocsánatot kérek - kiáltott fel Lusin -, túl volt a negyvenen.	0.271698
"Hơn bốn mươi tuổi," Zinaida lập lại, liếc Lushin thật nhanh .....	- Túl a negyvenen - ismételte meg Zinaida, gyors pillantást vetve reá.	0.267187
Chẳng bao lâu tôi trở về nhà.	Nemsokára hazamentem.	0.15
"Nàng đang yêu," môi tôi nhắc lại trong vô thức..."Nhưng yêu ai?"	- "Szerelmes" - suttogtam önkéntelenül. ~~~ - "De kibe?"	-0.0529412
Chương 12	12	16
Ngày ngày trôi qua.	Teltek a napok.	0.171429
Càng lúc Zinaida càng tỏ nên kỳ quặc, khó hiểu.	Zinaida egyre különösebb, egyre érthetetlenebb lett.	0.728571
Một hôm tôi ghé qua nhà nàng, nàng đang ngồi trên ghế mây, tựa đầu lên cạnh bàn.	Egyszer átmentem hozzá: szalmaszéken ült, fejét az asztal éles széléhez szorította.	0.281928
Nàng ngước lên, nước mắt đầm đìa.trên mặt..	Felegyenesedett... az egész arca könnyben úszott.	0.25625
"A, em trai!"	- Á! ~~~ Maga az!	-0.025
nàng cười ác độc. ~~~ "Lại đây."	- mondta kegyetlen mosollyal.	-0.026087
Tôi đến gần.	- Jöjjön csak ide.	0.282353
Nàng đặt tay lên đầu tôi, rồi đột ngột túm lấy một mớ tóc, kéo mạnh.	Odaléptem hozzá: kezét a fejemre tette, hirtelen megragadta a hajam, s csavargatni kezdte.	0.296296
"Đau em," cuối cùng, tôi nói.	- Fáj - mondtam végre. ~~~ - Á!	-0.0222222
"A, đau ?	Fáj!	0.15
Và chắc em tưởng chị không đau?"	Hát nekem nem fáj? ~~~ Nem fáj?	-0.0482143
Nàng trả lời.	- ismételte a szót.	0.264706
"Ai!	- Jaj!	0.24
ai!" ~~~ nàng bật khóc, vì thấy một túm tóc đã bị bứt rời.	- kiáltott fel hirtelen, látva, hogy kitépett egy kis fürtöt a hajamból.	-0.009375
"Chị đã làm bậy quá.	- Mit tettem?	-0.025
Tội nghiệp Cậu Voldemar!"	Szegény mszjő Voldemar!	0.2375
Nàng cẩn thận vuốt lọn tóc cho suông, quấn nó quanh ngón tay, và xe thành một chiếc nhẫn.	Gondosan elrendezte a kitépett hajszálakat, ujja köré csavarta s gyűrűcskévé formálta.	0.268605
"Chị sẽ cất lọn tóc này trong mặt dây chuyền, mang trên cổ, " nàng nói, đôi mắt còn ngấn lệ.	- Beteszem a haját a medalionomba, és viselni fogom - mondta, s szemében még mindig könnyek csillogtak.	0.270968
"Không chừng em sẽ thấy an ủi được chút ít ..và, bây giờ thì, tạm biệt nhé.."	- Ez talán megvigasztalja egy kicsit... ~~~ Most pedig: isten vele.	-0.075
Tôi về nhà, đang lúc có một tình huống không vui.	Hazamentem, s otthon kellemetlen helyzetet találtam.	0.27551
Mẹ tôi đang làm rùm beng, bà trách cứ cha tôi về một điều gì đó; trong khi theo thói quen, cha tôi vẫn giữ im lặng một cách lịch sự, lạnh lùng, và chẳng bao lâu, đã bỏ đi.	Anyámnak komoly beszéde volt apámmal; szemrehányást tett neki valamiért, de apám, szokása szerint, hidegen és udvariasan hallgatott - s hamarosan kikocsizott.	0.233108
Tôi không biết mẹ tôi nói gì, thực tình tôi cũng chẳng có ý tìm hiểu; tôi chỉ nhớ, khi cuộc trò chuyện chấm dứt, mẹ tôi gọi tôi vào phòng, bà rất bất bình, nhắc đền những lần tôi thường xuyên thăm viếng công chúa, người mà, theo mẹ tôi, là -une femme capable de tout.	Nem hallottam, hogy miről beszélt vele anyuska, de nem is érdekelt; csak arra emlékszem, hogy mikor a jelenetnek vége volt, behívatott a szobájába, s nagy felháborodással kérdőre vont, amiért olyan sűrűn járok el a hercegnéhez, aki az ő kifejezése szerint, une femme capable de tout.5 Megcsókoltam a kezét (mindig ezt tettem, ha meg akartam rövidíteni az ilyen beszélgetést), s felmentem a szobámba.	0.374964
Tôi hôn tay mẹ tôi ( tôi luôn luôn làm thế, mỗi lần muốn chấm dứt cuộc đối thoại), đi về phòng riêng.	Zinaida könnyei teljesen megzavartak; igazán nem tudtam, melyik gondolatomnál álljak meg, s magam is közel voltam a síráshoz: hiszen hiába voltam tizenhat éves, még gyermek voltam.	0.159292
Những giot nước mắt của Zinaida khiến tôi chao đảo, tôi không biết phải suy nghĩ ra sao, tôi sắp sửa khóc; dù sao đi nữa, tuy đã mười sáu tuổi, tôi vẫn chỉ là một cậu bé... Tôi không còn nghĩ tưởng đến Malevsky, mặc dù Byelovzorov càng ngày càng có vẽ đe dọa; hắn nhìn chàng bá tước quỷ quyệt, hau háu như sói rình cừu; tôi không nghĩ đến điểu gì, tôi không nghĩ đến một ai.	Már nem gondoltam többé Malevszkijra, bár Belovzorov napról napra fenyegetőbben viselkedett, s olyan szemeket vetett az ügyes grófra, mint farkas a bárányra; én senkire és semmire nem gondoltam.	-0.075
Tôi lac lõng trong thế giới tưởng tượng của riêng tôi, tôi thường tìm đến sự đơn độc, cô liêu.	Töprengésekbe merültem, s mindig magányos helyeket kerestem.	0.0457627
Tôi đặc biệt thích ngôi nhà ươm cây bị bỏ hoang.	Különösen szerettem a melegház romjait.	0.1875
Tôi thích trèo lên bờ tường cao, ngồi ngất ngưỡng trên đó, tôi là một thiếu niên bất hạnh, cô đơn, buồn thảm đến mức tôi cảm thấy tự thương xót -- và những cảm xúc thương nhớ đó đã an ủi, vỗ về biết bao!	Sokszor felkapaszkodtam a magas falra, leültem, s olyan szerencsétlen, elárvult és szomorú ifjúnak éreztem magam, hogy megesett magamon a szívem - s milyen jólestek ezek a bánatos érzések, hogy megittasultam tőlük!	0.248744
Một hôm tôi đang ngồi trên bức tường, nhìn về phía xa xôi và lắng nghe tiếng chuông ngân ... bỗng nhiên có một thứ gì đó bay lãng đãng quanh đây -- không phải hơi thở hay run rẫy của cơn gió, mà như một làn hương phảng phất --- như một linh tính, rằng có ai đó, ở đâu đây...Tôi nhìn xuống.	Ott ülök egyszer a falon, nézek a távolba, s hallgatom a harangszót... hirtelen végigfut valami rajtam - nem szélfúvás, nem is remegés, valami fuvalomszerű, valaki közelségének a meg­érzése... Lefelé irányoztam a szemem.	0.155024
Bên dưới, trên đường mòn, Zinaida áo xám nhạt, chiếc dù hồng che trên vai, đang vội vã bước.	Lent az úton, könnyű, szürke ruhában, piros nap­ernyővel a vállán, gyors lépésekkel Zinaida haladt.	0.487755
Trông thấy tôi, nàng ngừng lại, lấy tay đẩy vành nón rơm, ngước cặp mắt nhung nhìn tôi.	Meglátott, megállt s szalmakalapjának a karimáját felhajtva, rám emelte két bársonyos szemét.	0.283696
"Em làm cái gì mà trèo cao thế?"	- Mit csinál maga odafenn a magasban?	0.3
nàng hỏi tôi, nụ cười kỳ lạ.	- kérdezte tőlem különös mosollyal.	0.291667
"Nào, " nàng tiếp tục, "em luôn luôn nói thương yêu chị; nếu quả thực, hãy nhảy xuống đây."	- Látja - folytatta -, maga azt állítja, hogy szeret engem... ugorjék le hozzám az útra, ha csakugyan szeret.	0.290816
Zinaida chưa kịp dứt lời, tôi đã bay ào xuống, như có ai ở phía sau, đẩy mạnh.	Alig ejtette ki Zinaida ezeket a szavakat, már le is ugrottam, mintha valaki meglökött volna hátulról.	0.448235
Vách tường cao khoảng bốn mét ba.	A fal körülbelül két öl magas volt.	0.282857
Chân tôi chạm đất trước, nhưng lực va chạm quá lớn khiến tôi lảo đảo, té nhào và bất tỉnh trong một khoảng khắc.	Lábbal értem a földet, de a rázkódás olyan erős volt, hogy nem tudtam megőrizni az egyensúlyomat: elestem és egy pillanatra elveszítettem az esz­méletemet.	0.25814
Khi tỉnh lại, không cần hé mắt tôi cũng cảm thấy Zinaida đang ở bên cạnh.	Mikor magamhoz tértem, még csukott szemmel, magam mellett éreztem Zinaidát.	0.257746
"Bé ngoan, " nàng nói, nghiêng mình trên tôi, một chút dịu dàng nhưng cảnh giác trong giọng nói của nàng, "sao cưng lại làm như thế; sao lại có thể vâng lời chị đến thế?...Em biết là chị thương em mà...Dậy đi em."	- Kedves gyermekem - mondta fölém hajolva, s nyugtalanság és gyengédség volt a hangjában -, hogy tehetted ezt, hogy engedelmeskedhettél... Hiszen szeretlek... kelj fel. ~~~ A melle az enyém mellett lélegzett, keze megsimogatta fejemet, s hirtelen - mi történt akkor velem!	-0.0112335
Kề sát bên tôi là bộ ngực của nàng, dồn dập theo nhịp thở; bàn tay nàng trìu mến vuốt tóc tôi, và thình lình -- cảm xúc của tôi lúc ấy ra sao nhỉ --- đôi môi tươi tắn mềm mại của nàng bắt đầu bao phủ khắp mặt tôi bằng những nụ hôn -- môi nàng chạm môi tôi... Mặc dù mắt tôi vẫn nhắm nghiền, qua sự thay đổi trên nét mặt của tôi, có lẽ Zinaida đoán được tôi đã hồi tỉnh, nên nàng đứng phắt dậy, nói: "Nào, dậy đi, ông nỡm ạ, ông tướng ngốc, ai lại nằm lăn ra đất?" ~~~ Tôi ngồi lên.	- puha, üde szája elkezdte csókkal borítani az arcomat... Megérintette az ajkam... De Zinaida akkor már arcom kifejezéséről bizonyosan megsejtette, hogy magamhoz tértem, bár nem nyitottam ki a szemem - s gyorsan felemelkedve, megszólalt: - "De hát keljen már fel, maga csintalan, esztelen; miért fekszik itt a porban?" - Felemelkedtem.	-0.0758862
"Đưa cây dù cho chị," Zinaida nói, " Chị quẳng nó ở đâu đấy, không được nhìn chị chầm chập như thế... Chuyện thật vô lý kỳ khôi!	- Adja ide a nap­ernyőmet - mondta Zinaida -, látja, hova dobtam; de ne nézzen úgy rám... Micsoda butaság ez?	0.29898
Em không đau, có phải không?	Nem sértette meg magát?	0.208696
Chắc bị gai tầm ma cào? ~~~ Chị dám nói thế.	Bizonyosan összecsípte a csalán.	-0.0403846
Không được nhìn chị chầm chập, chị đã bảo...Nhưng thằng bé không hiểu, nó không trả lời," nàng nói thêm, như thể cho nàng nghe.	Mondom, ne nézzen rám... De nem érti a szavam, nem felel - tette hozzá, mintha magának mondaná.	0.104651
"Cậu Voldemar, hãy về nhà, chải tóc, cấm không được đi theo, nếu không chị sẽ giận, và không bao giờ...."	- Menjen haza, mszjő Voldemar, hozza rendbe magát - s ne merjen utánam jönni, mert különben megharagszom, s többé soha...	0.429344
Nàng không nói hết câu, bỏ đi thật nhanh trong lúc tôi vẫn ngồi lại ở vệ đường... chân đau không đứng được.	Nem mondta végig, amit akart, s gyorsan eltávozott, én meg leültem az útra... nem bírt a lábam.	0.175862
Bụi tầm ma đâm xước hai tay, lưng đau nhức, và đầu choáng váng quay cuồng; nhưng cảm xúc sung sướng vô ngần vừa trải nghiệm, không bao giờ trở lại trong đời tôi nữa.	A csalán összecsípte a kezemet, a hátam sajgott, a fejem szédült, de a boldogságnak az az érzése, mely akkor töltött el, nem ismétlődött meg életemben soha többé.	0.245455
Nó biến thành một niềm đau ngọt ngào khắp tứ chi và cuối cùng diễn tả bằng những bước chân khập khểnh, những bước nhảy lò cò, và những tiếng hét vang...Vâng, tôi vẫn còn là một đứa bé.	Édes kínnal sajgatta minden tagomat, s végül mámoros ugrásokban és felkiáltásokban robbant ki belőlem. ~~~ Gyermek voltam még valóban.	-0.0960937
Chương 13	13	16
Cả ngày hôm đó, tôi hảnh diện và phấn khởi, cảm giác của những nụ hôn của Zinaida hãy còn sống động trên mặt. ~~~ Run lên vì vui sướng, tôi ôn lại từng lời nói của nàng.	Olyan jókedvű és büszke voltam egész nap, olyan elevenen megőriztem Zinaida csókjait az arcomon, olyan mámoros remegéssel emlékeztem vissza minden szavára, annyira dédelgettem váratlanul jött boldogságomat, hogy már féltem is, látni sem kívántam őt, új érzéseim okozóját.	-0.0601604
Quá yêu dấu niềm hạnh phúc bất ngờ ấy, trở nên lo lắng, tôi không muốn gặp lại nàng, người đã khơi lên dòng xúc cảm mới mẻ.	Úgy éreztem, nem is kívánhatok többet a sorstól, most "egy nagyot és utolsót kellene sóhajtanom, s utána meghalnom".	0.215455
Dường như, giờ đây khi không còn có thể xin thêm điều gì từ số phận, đã đến lúc tôi phải "ra đi, trút hơi thở cuối cùng, từ giã cuộc đời."		-0.3
Nhưng qua hôm sau, khi ghé sang nàng, để che dấu sự thẹn thùng, tôi cố tạo ra một vẽ tự tin khiêm tốn, như một chàng trai muốn chứng tỏ với mọi người rằng mình đang nắm giữ một bí mật. ~~~ Zinaida tiếp đãi tôi đơn sơ, không một niềm xúc động.	Viszont másnap, mikor a szárnyépületbe mentem, nagy zavart éreztem magamban, s hiába próbáltam szerény fesztelenség álarca mögé rejteni, mely illik az olyan emberhez, aki azt akarja értésül adni, hogy nem tud titkot tartani.	-0.00519802
Lúc lắc ngón tay, nàng hỏi, phải chăng tôi không bị sưng bầm.		-0.3
Lúc ấy, tất cả lòng tư tin ít ỏi và bộ điệu bí ẩn của tôi tan biến đi, cùng với sự ngượng ngùng.		-0.3
Dĩ nhiên tôi đã không hy vọng một điều gì đặc biệt, nhưng sự bình thản của Zinaida như một xô nước lạnh tạt vào mặt tôi.	Zinaida nagyon egyszerűen, teljesen nyugodtan fogadott, csak az ujjával fenyegetett meg, s azt kérdezte, nincsenek-e kék foltjaim.	0.421289
Tôi ý thức rằng dưới mắt nàng, tôi chỉ là một đứa bé, một đứa bé khốn khổ!	Szerény fesztelenségem és titokzatosságom, s velük együtt zavarom is egy szempillantás alatt eltűnt.	0.276667
Zinaida bước tới, bước lui trong phòng, mỗi khi bắt gập ánh mắt của tôi nàng lại mĩm cười, nhưng tôi biết rõ tâm trí của nàng đang ở một nơi nào đó.	Természetesen nem vártam semmi különöst, de Zinaida nyugodtsága hideg zuhanyként hatott reám: megértettem, hogy gyermek vagyok - s nagyon megnehezült a szívem!	0.402435
"Ta có nên bắt đầu nói về ngày hôm qua," tôi ngẫm nghĩ, "hỏi nàng đã đi đâu vội vàng, để tìm ra lẽ, một lần rồi thôi"... nhưng rồi tôi khoát tay tuyệt vọng, đến góc phòng, ngồi xuống.	Zinaida fel és alá járt a szobában, s valahányszor rám nézett, mindig gyors mosoly suhant át az arcán; de tisztán láttam, hogy gondolatai messze járnak... "Beszélni kellene vele a tegnapi dologról - gondoltam magamban -, megkérdezni tőle, hogy hova sietett hogy megtudjam végérvényesen...", de csak legyintettem, s leültem a sarokban.	0.147783
Tôi thấy nhẹ nhỏm khi Byelovzorov bước vào.	Bejött Belovzorov; örültem neki.	0.163636
"Tôi không kiếm được một con ngựa thuần thục cho công nương," Byelovzorov cáu kỉnh nói.	- Nem találtam magának jó erkölcsű lovat - mondta szigorú hangon.	0.135484
"Có một con, được ông Freitag bảo đảm, nhưng tôi không mấy tin tưởng, tôi sợ."	- Freitag kezeskednék egyért, de én nem bízom ebben.	0.361224
"Ông sợ gì cơ?"	Félek.	-0.075
Xinaida nói, "xin vui lòng cho biết."	- Mitől fél, ha szabad kérdeznem - tudakolta Zinaida.	0.191667
"Tôi sợ gì cơ?	- Mitől?	0.0333333
Công nương đâu đã biết cởi ngựa.	Hiszen maga nem tud lovagolni.	0.155556
Xin Chúa ban phước lành để chuyện bất trắc đừng xảy ra!	Isten ments, hogy baleset érje!	-0.062069
Tại sao công nương đột nhiên có nhã hứng cởi ngựa?"	De hát mi is ötlött hirtelen az eszébe!	0.121622
"Thưa Ngài Hoang-Thú, đó là chuyện riêng của tôi.	- Hát ez az én dolgom, kedves fenevadam.	0.15
Nếu thế, tôi sẽ nhờ Piotr Vassilievitch." ~~~ (Piotr Vassilievitch là tên của cha tôi.	Akkor megkérem Pjotr Vaszilevicsot... (Apámat Pjotr Vaszilevicsnak hívták.	-0.0291667
Tôi ngạc nhiên khi nàng nhắc đến tên ông, bình thản như thể nàng chắc chắn sẽ được giúp đở.)	Csodálkoztam, hogy ilyen könnyen és szabadon mondta ki a nevét, mintha meg volna győződve szolgálatkészségéről.)	0.291589
"Ô, hóa ra," Byelovzorov trả lời, "công nương dự định cỡi ngựa với ông ấy ư?"	- Micsoda? ~~~ - kérdezte Belovzorov. ~~~ - Maga vele akar kilovagolni?	-0.177551
"Với ông ấy hay với ai cũng thế, chẳng ăn nhập gì tới ông.	- Vele vagy mással, ez magának mindegy lehet. ~~~ Csak magával nem.	-0.0152542
Chỉ biết đó không phải là ông."	- Velem nem - ismételte Belovzorov.	0.253125
"Không phải là tôi," Byelovzorov lập lại. "	- Ahogy tetszik. ~~~ Tudja mit?	-0.115385
Tùy ý công nương.	Szerzek magának lovat.	0.27
Tôi sẽ tìm được ngựa cho công nương."	- De vigyázzon, nehogy valami lassú tehén legyen.	0.286364
"Vâng, nhưng xin nhớ, đừng đem tới mấy con bò già khù.	Előre is figyelmeztetem, hogy vágtatni akarok.	0.197727
Tôi đã nói tôi muốn phi nước đại."	- Hát csak vágtasson, kérem.	0.160714
"Công nương muốn phi nước đại cũng chả sao... nhưng với ai, Malevsky, phải không?"	De kivel? ~~~ Malevszkijjal kilovagol majd?	-0.201316
"Tại sao không, hở Ông Kiếm-Chuyện?	- S vele miért ne, harcosom?	0.108
Đừng nói nữa," nàng thêm, "và đừng thò lõ mắt như thế.	No, nyugodjék meg - tette hozzá -, s ne villogtassa a szemét.	0.25
Tôi sẽ mang ông theo.	Magát is elviszem.	0.233333
Ông phải hiểu rằng, đối với tôi, Malevsky ... úi chao!"	Tudhatja, hogy Malevszkij nekem most... ~~~ pfuj!...	-0.0456522
Nàng lắc đầu.	- Megrázta a fejét.	0.283333
"Công nương nói thế chỉ để an ủi tôi," Byelovzorov gầm gừ.	- Csak azért mondja, hogy megvigasztaljon - dörmögte Belovzorov.	0.27
Zinaida khép mi mắt hững hờ.	Zinaida hunyorított.	1.15714
"Như vậy an ủi được ông sao?	- Ez magát megvigasztalja?...	0.246429
Ôi...ôi...ôi...Ông Kiếm-Chuyện!"	Ó... ó... ó... harcosom!	0.12
cuối cùng nàng nói, như không tìm ra lời nào khác.	- mondta végre, mintha más szót nem találna.	0.221429
"Còn em, công tử Voldemar, có đi theo chúng tôi không?"	- És maga, mszjő Voldemar, jönne velünk lovagolni?	0.589583
"Em không thích.... đông người," tôi lấp bấp, không dám nhìn lên.	- Nem szeretek... nagy társaságban - mormogtam fel sem nézve.	0.219643
"Em thích đi tête-à-tête?... ~~~ Này, tự do dành cho người không ràng buộc, và thiên đàng cho thánh nhân," nàng thở dài bình phẩm.	- Jobban szereti a tęte-ŕ-tęte-et?6 Hát: szabadság a szabadnak, s mennyország az üdvözültnek - mondta Zinaida felsóhajtva.	-0.0203883
"Ông Byelovzorov, cố lên.	- Menjen már, Belovzorov és buzgólkodjék.	0.144444
Ngày mai phải có ngựa cho tôi nhé."	Nekem holnapra kell a ló.	0.117391
"Ô, mà lấy đâu ra tiền mua ngựa?"	- Igenis; hát a pénzt honnan veszed?	0.263636
bà công chúa góp ý.	- avatkozott a beszédbe a hercegné.	0.128571
Zinaida bực bội.	Zinaida összehúzta szemöldökét.	0.797368
"Con có xin tiền mẹ đâu; Byelovzorov tin con mà."	- Mamától nem kérek: Belovzorov megbízik bennem.	0.287234
"Cậu ấy tin con?"... ~~~ Bà công chúa càu nhàu, và thình lình réo lên the thé, "Duniashka!"	- Megbízik, megbízik... - dünnyögte a hercegné, s hirtelen torkaszakadtából elkiáltotta: - Dunyaska!	-0.0134831
"Mẹ, con đã cho mẹ cái chuông để lắc," Zinaida nói.	- Maman, én csengőt ajándékoztam magának - jegyezte meg a hercegkisasszony.	0.219643
"Duniashka!"	- Dunyaska!	0.245455
bà công chúa réo lên lần nữa.	- ismételte az öregasszony.	0.233333
Byelovzorov ra về; tôi đi theo anh. ~~~ Zinaida không tìm cách giữ tôi lại.	Belovzorov elköszönt; én is elmentem vele... Zinaida nem tartóztatott.	0.0730263
Chương 14	14	16
Sáng hôm sau tôi dậy sớm, cắt một cành cây nhỏ làm gậy, đi quá cổng thành.	Másnap reggel korán keltem, botot vágtam magamnak, s kimentem a sorompón túlra.	0.267568
	- Megyek - gondoltam magamban -, hogy kiszellőztessem magamból a bánatot.	-0.3
Tôi nghĩ, tản bộ sẽ xua tan nỗi buồn.	Gyönyörű nap volt, napsugaras, de nem túlságosan meleg.	0.214286
Hôm ấy trời rất đẹp, không quá nóng, một luồng gió tươi mát hiện diện khắp nơi, xào xạc, vui tươi, mơn man mà không phiền nhiểu.	Vidám, üde szellő járt a föld felett, ritmikusan suhogott és játszadozott, mindent megmozgatott, de semmit sem nyugtalanított.	0.239496
Tôi lang thang trên những ngọn đồi, trong các cánh rừng; tôi chưa thấy hạnh phúc, khi bước chân khỏi nhà tôi đinh ninh mình sẽ đắm chìm trong nỗi tịch liêu, nhưng tuổi thanh xuân, thời tiết tuyệt vời, không khí trong lành, khoái hoạt do chạy nhảy, cảm giác êm đềm khi nghĩ chân, ngã lưng trên thảm cỏ ở một góc riêng tư, cảm thấy thắng thế; những câu nói không -thể -nào- quên và những nụ hôn ấy, một lần nửa trở về chiếm ngự linh hồn tôi.	Sokáig kószáltam a hegyeken, az erdőkben; nem éreztem boldognak magam, azzal a szándékkal mentem el hazulról, hogy künn átengedem magam a szomorúságnak; de a fiatalság, a csodaszép idő, a friss levegő, a gyors járás öröme, a magányos heverés a sűrű fűben - győzött; felejthetetlen szavainak és csókjainak friss emlékei megint a lelkemben zsongtak.	0.161043
Thật sung sướng khi nghĩ rắng, dù sao chăng nữa, Zinaida đã đền bù xứng đáng cho lòng can đảm, tính anh hùng của tôi... "Đối với nàng, có thể những người kia vượt trội hơn," tôi tự nhủ, "mặc kệ họ!	Jólesett elgondolnom: mégsem lehet, hogy Zinaida ne szolgáltasson igazságot elszántságomnak, hősiességemnek... "Mások különbek neki - gondoltam -, sebaj!	0.313976
Họ chỉ nói suông, trong khi ta đã hành động. ~~~ Và liệu ta có thể làm được gì nữa cho nàng?" ~~~ Trí tưởng tượng của tôi bay bổng.	De mások csak mondják, hogy tesznek valamit, én pedig tettem... És még mit nem volnék képes tenni érte!..." Fantáziám működni kezdett.	-0.128283
Tôi bắt đầu hình dung ra cảnh tượng tôi giành nàng từ bàn tay kẻ thù như thế nào; mình đẫm máu đào, tôi dũng mảnh cứu nàng khỏi ngục tối rồi gục chết dưới chân nàng ra sao.	Elképzeltem, hogy mentem ki ellenség kezéből, hogy szabadítom ki, vérem ontásával, a börtönből, hogy halok meg lábainál.	0.114407
Tôi nhớ đến một bức tranh treo ở phòng khách -- Malek -Adel ôm Matilda trên tay -- nhưng đúng vào lúc ấy, tôi lại bị lôi cuốn bởi một chú chim gỏ kiến có bộ lông lốm đốm đang tíu tít bận rộn trên cao; lấp ló hết bên phải lại qua bên trái, đàng sau một nhành bạch dương mảnh dẻ, như một nhạc sĩ bên chiếc đại hồ cầm.	Eszembe jutott egy kép, mely fogadószobánk falán függött: Malek-Adel elragadja Mathildát... de akkor egy nagy tarka harkály megjelenése kötötte le figyelmemet, mely szorgoskodva kúszott felfelé egy vékony nyírfatörzsön, s nyugtalanul nézegetett ki mögüle, hol jobbra, hol balra, mint egy muzsikus a nagybőgő mögül.	0.253535
Rồi tôi hát "Not the white snows", và chuyển sang một bài khác, rất phổ biến vào thời đó: "I await thee, when the wanton zephyr," rồi tôi bắt đầu đọc lớn lời đối thoại của Yermak với các vì sao trong bi kịch Homyakov. ~~~ Để diễn tả tình cảm dạt dào, tôi cố gắng sáng tác được một câu: "Ôi Zinaida, Zinaida!"	Aztán dalolni kezdtem: "Nem a fehér hó"... majd rákezdtem az akkoriban jól ismert románcra: "Várlak, mikor csélcsap zefir fuvalma"; aztán hangosan elkezdtem szavalni Homjakov tragédiájából Jermak szózatát a csillagokhoz, megpróbáltam verset költeni szentimentális stílusban, ki is találtam a vers zárósorát: "Ó, Zinaida!	-0.00885246
dành để kết thúc những đoạn thơ; nhưng ngoài câu đó ra, tuyệt nhiên tôi không thể nghĩ thêm được một điều gì khác.		-0.3
Khi ây đã gần đến giờ ăn tối.	Zinaida!", de nem lett a versből semmi, s közben eljött az ebéd ideje.	0.075
Tôi thả dài xuống thung lũng; một con đường cát nhỏ hẹp, uốn khúc dẫn về thành phố.	Leszálltam a völgybe; keskeny homokos ösvény kígyózott benne a város felé.	0.209589
Tôi lững thửng bước....Tiếng vó ngựa rầm rập vang lên từ đàng sau.	Megindultam az ösvényen... Lópaták tompa dobbanása hallatszott mögöttem.	0.283562
Bản năng khiến tôi ngừng chân đứng yên, nhìn quanh và ngã nón.	Hátranéztem, önkéntelenül megálltam, s levettem a sapkámat: apám volt Zinaidával.	0.238235
Tôi thấy cha tôi và Zinaida.	Egymás mellett lovagoltak.	0.265385
Họ đang sóng đôi trên mình ngựa. ~~~ Cha tôi vừa nói một điều gì đó với nàng, nghiêng mình qua, tay đặt lên cổ ngựa, mĩm cười. ~~~ Zinaida im lặng lắng nghe, mắt cụp xuống, môi mím chặt.	Apám mondott neki valamit, egész felsőtestével hozzáhajolt, s a ló nyakára támaszkodott kezével, mosolygott; Zinaida némán hallgatta, szigorúan lesütötte szemét, s összeszorította ajkát.	-0.113665
