Bà Bô vary	Bovaryné	0.27
Đó là Binê đang quay máy tiện. ~~~ Dựa vào khung cửa rầm thượng, nàng đọc bức thư với những tiếng cười gằn giận dữ.	Az ablakmélyedés egyik oldalához támaszkodva, ujra meg ujra végig olvasta a levelet, miközben néha rikácsoló hangokban tört ki belőle a harag.	-0.00343511
Nhưng càng chăm chú vào bức thư, nàng càng suy nghĩ lộn xộn.	De minél figyelmesebben olvasta, annál inkább összezavarodtak a gondolatai.	0.2625
Nàng lại thấy y, nàng nghe y nói, nàng ôm y trong hai cánh tay; và trái tim nàng đập trong lồng ngực nàng thành những tiếng thình thịch như những tiếng máy phá thành, dồn dập với những khoảng cách không đều.	Ujra látta Rudolfot; hallotta, átölelte a két karjával; és szivének dobogása, mely a faltörő kos hatalmas ütéseivel döngette a mellét belülről, egyre gyorsabbá vált, majd meg-megakadozott.	0.240659
Nàng đưa nhanh mắt nhìn quanh nàng, nàng những muốn trái đất sụp đổ.	Körülnézett, mintha nem akarná elhinni, hogy a világ nem omlott össze.	0.255224
	Pedig az volna a legjobb, ha mindennek vége szakadna.	-0.3
Sao không chết đi cho xong?	De miért ne történhetnék ez meg?	0.244444
Ai ngăn nàng nào?	Ki tartja vissza?	0.2625
Nàng tự do kia mà.	Azt teheti, a mit akar.	0.284211
Và nàng tiến ra, vừa nhìn xuống mặt đường vừa tự nhủ:	Kihajolt, lenézett a kövezetre, s igy szólt magában:	0.216
-Nào! ~~~ Nào!	– Eh, rajta!	-0.0115385
Tia nắng rực rỡ từ bên dưới chiếu thẳng lên kéo về phía vực thẳm sức nặng của tấm thân nàng.	A fénysugár, mely alulról egyenes vonalban hatolt fel, testének sulyát lefelé vonzotta, a mélységbe.	0.2625
Nàng thấy dường như đất quảng trường lung lay nhô lên cao theo dọc các bức tường và dường như sàn gác nghiêng một đầu, kiểu con tàu tròng trành.	Úgy tetszett neki, hogy a piacz talaja megreng és a falak hosszában hirtelen fölemelkedik, a padló pedig a szélén meghajlik s lesülyed a lába alatt, mint egy hajó, mely hosszában inog meg.	0.281132
Nàng đứng ngay bên bờ, gần như treo lơ lửng, giữa một khoảng không rộng lớn. ~~~ Màu xanh da trời tràn ngập thân hình nàng.	A felsőteste egészen kinn volt; a lába éppen hogy oda függesztette egy kevéssé az ablakhoz, egyébként már az ür fogta körül.	-0.0165254
Gió lùa qua cái đầu trống rỗng của nàng, nàng chỉ việc thoái bộ, chỉ việc buông thả thân mình là xong; và tiếng máy tiện vo vo không dứt như một giọng điên khùng thốt lên gọi nàng.	Azt hitte, hogy az ég kékjében szédeleg; a levegő át meg átjárta elkábult fejét; csak az kellett, hogy elereszsze, hogy oda engedje magát; és az esztergapad szakadatlanul zakatolt, mint egy dühös hang, mely hívja.	0.298469
Mình ơi!	– Emma!	0.266667
Mình ơi!	Emma!	0.1
- Sáclơ kêu.	– kiáltott Károly.	0.15
Nàng dừng lại.	Emma fölegyenesedett.	0.233333
Mình ở đâu vậy?	– Hol vagy?	0.1
Lại đây!	Gyere már!	0.272727
Cái ý nghĩ mình vừa thoát chết làm cho nàng suýt ngất đi vì sợ hãi, nàng nhắm mắt lại; rồi nàng giật mình thấy một bàn tay đụng vào tay áo nàng: đó là Fêlixitê.	Arra a gondolatra, hogy milyen közel volt a halálhoz, majdnem elájult az ijedtségtől; behunyta a szemét; aztán egész testében megremegett, mert érezte, hogy egy kéz érinti meg a ruhája ujját: Félicité jött érte.	0.258621
-Ông đang chờ bà, thưa bà, cơm chiều đã dọn.	– Az úr már várakozik; a leves be van tálalva.	0.259091
Thế là phải đi xuống!	És le kellett menni!	0.189474
Phải ngồi bàn!	asztalhoz kellett ülni!	0.216667
Nàng cố ăn.	Megkisérlette, hogy majd magába erőteti az ételt.	-0.428571
Những miếng đồ ăn làm nàng nghẹn.	De minden falat a torkán akadt.	0.171429
Nàng liền mở chiếc khăn ăn ra như để xem xét những đường mạng và nàng thật sự muốn chăm chú vào cái việc đếm từng sợi vải.	Ekkor kibontotta az asztalkendőjét, mintha meg akarná nézni, hogy ki van-e foltozva mindenütt, a hol foltozásra szorult, vagy még most is van rajta javitanivaló?	0.287234
	Komolyan hozzá akart látni ehhez a munkához, s számlálgatni kezdte a szálakat.	-0.3
Bỗng, nàng nhớ đến bức thư.	Egyszerre eszébe jutott a levél.	0.270968
Nàng đã đánh mất nó rồi chăng?	Hova tette? ~~~ Elvesztette volna?	-0.03
Nàng tìm ra nó ở đâu?	De hát hol hagyhatta?	0.24
Nhưng nàng cảm thấy đầu óc quá mệt mỏi đến nỗi nàng chẳng thể nào bịa ra được một cái cớ để rời khỏi bàn ăn.	Meg kell keresnie. ~~~ Csakhogy olyan lelki fáradtságot érzett, hogy képtelen volt kitalálni, micsoda ürügygyel kelhetne fel az asztaltól.	-0.00234375
Rồi nàng đâm ra nhát, nàng sợ Sáclơ, hắn biết cả rồi, chắc thế!	Aztán gyáva lett; félt Károlytól; bizonyosan mindent tud!	0.203571
Thực thế, hắn nói mấy lời này một cách khác thường:	És csakugyan, Károly nagyon különös hangon ejtette ki ezeket a szavakat:	0.265574
- Chúng ta chẳng sớm được thấy ông Rôđônphơ đâu, dáng chừng thế.	– Ugy látszik, hogy egy darabig aligha látjuk Rudolf urat!	0.177778
-Ai bảo anh thế?	– Ki mondta neked?	0.3
- Nàng giật mình hỏi.	– kérdezte Emma reszketve.	0.2625
-Ai bảo anh à?	– Ki mondta?!	0.278571
- Hơi ngạc nhiên về cái giọng sẵng ấy, hắn đáp, - Gira chứ ai.	– felelt Károly, a kit egy kissé meglepett ez az ideges hang.	0.229091
Lúc nãy anh gặp gã ta ở cửa tiệm cà-phê Pháp.	– Hát Girard, a kivel éppen az imént találkoztam a Franczia kávéház előtt!	0.162
Ông Rôđônphơ đã đi đâu xa, hoặc là ông ấy sắp đi.	Ő beszélte, hogy a gazdája nemsokára elutazik vagy talán már el is utazott.	0.237931
Nàng nức nở.	Emma egy zokogó hangot fojtott el.	0.01875
-Thế có điều gì mà em phải ngạc nhiên?	– Mit találsz ebben meglepőnek?	0.1875
Ông ta thỉnh thoảng vẫn vắng nhà như thế để tiêu khiển, và, nói thực!	Úgy szokta, hogy a mikor már unni kezdi a falut, elutazik szórakozni, a legtöbbször hosszú időre.	0.258228
Anh tán thành ông ta.	És bizonyisten, igaza van!	0.242857
Khi người ta có tài sản mà lại còn trai tơ!		-0.3
Vả lại, cái ông bạn của chúng ta ấy, ông ta chơi bời ra trò! ~~~ Đó là một người vui nhộn.	Ha valakinek vagyona van és legényember!… Különben ez a mi barátunk nagy kópé, és ugyancsak éli a világát!	-0.00927835
Ông Lăngloa đã kể với anh.	Langlois úr beszélte…	0.225
Hắn im bặt để giữ ý vì chị hầu gái vào.	Elhallgatott, illendőségből, mert a cseléd belépett a szobába.	0.204255
Chị ta đã xếp lại vào giỏ những quả mơ tung tóe trên giá.	Félicité összeszedte az edényszekrényen szétszórt baraczkot s visszarakta a kosárba.	0.20625
Sáclơ, không nhận thấy vợ đỏ mặt, bảo đem mơ đến cho mình, lấy một quả và cắn ăn.	Károly enni akart a gyümölcsből; szólt a cselédnek, hogy vigye hozzá a kosarat, kivett belőle egyet és bele harapott.	0.259375
	Emma elpirult, de Károly ezt nem vette észre.	-0.3
-Ồ, ngon quá - hắn nói.	– Nagyszerű! ~~~ – szólt.	-0.012
- Này, em nếm đi.	– Kóstold meg.	0.2625
Và hắn đưa cái giỏ lại phía nàng, nàng đẩy lại nhẹ nhàng.	És oda nyujtotta a kosarat; Emma csöndesen eltolta magától.	0.241071
-Em ngửi này: mùi thơm thật!	– De szagold meg: milyen remek illata van!	0.232258
- Hắn vừa nói vừa đưa đi đưa lại quả mơ dưới mũi nàng.	– erőlködött Károly, és feleségének az orra alá tartotta a gyümölcsöt.	0.253125
-Em ngạt!	– Megfúlok!	0.218182
- Nàng chồm lên và hét.	– kiáltott fel Emma s felugrott a helyéről.	0.096
Nhưng, do nàng cố gắng, chứng động kinh qua đi, rồi nàng nói:	De, akaratának megfeszítésével, mégis csak erőt tudott venni magán; s mikor rosszulléte múlni kezdett:	0.15
- Không sao!	– Nem, nincs semmi bajom!	0
Không sao!	– szólt.	0.3
Em nóng nảy thế đấy!	– Éppen semmi!… Csak egy kicsit ideges vagyok!	0.06
Anh ngồi xuống ăn đi!	Ülj le és egyél!	0.176471
Vì nàng sợ người ta lại hỏi nàng, lại chăm sóc nàng, người ta không rời nàng ra nữa.	Mert attól félt, hogy Károly kérdezgetni, faggatni kezdi, aztán ápolgatni fogják, és nem maradhat egyedül.	0.270968
Sáclơ, nghe theo nàng, lại ngồi xuống, và hắn nhả ra tay những hột mơ rồi để vào đĩa của mình.	Károly, hogy szót fogadjon, visszaült a helyére és evett. ~~~ A baraczkmagokat bele köpte a tenyerébe, s onnan letette a tányérjára.	-0.0242857
Bất thần, một chiếc xe độc mã xanh lam phóng nước đại qua quảng trường.	Egyszerre, egy kékszinűre festett, kétkerekü, könnyü, nyitott kocsi vonult végig a piaczon, sebes ügetésben.	0.215854
Emma thét lên một tiếng rồi ngã ngửa xuống đất và ngất đi.	Emma felsikoltott és hanyatt vágódott a padlón.	0.538043
Số là Rôđônphơ, sau khi suy nghĩ chán, quyết định đi Ruăng.	Rudolf, tudniillik, néhány órai habozás után elhatározta, hogy elutazik Rouenba.	0.24
Nhưng từ La Huysét đến Buysy, không có đường nào khác đường Yôngvin, nên y đành phải đi qua làng, và Emma đã nhận ra y qua ánh đèn lồng cắt bóng chiều hôm như tia chớp.	Minthogy pedig La Huchetteből Buchybe nem lehet más úton menni, csak Yonville-on át, keresztül kellett hajtania a piaczon, és a kocsilámpa világánál, mely úgy szelte át az esthomályt, mint a villám: Emma ráismert.	0.446303
	A nagy felfordulásra és lármára, mely a házban támadt, a gyógyszerész azonnal átrohant.	-0.3
Tay dược sĩ, nghe thấy tiếng ồn ào, ù té chạy sang.	Legelőször a felborult asztalt és a széttört tányérokat pillantotta meg.	0.219643
Chiếc bàn, với mọi thứ đĩa, đã đổ xuống; nước chấm, thịt, dao, bình muối và bình dầu tung tóe trong gian phòng;	De az egész szoba tele volt hintve evőeszközzel és ételmaradékkal: a hús, a mártás, a kések, a sótartó, az olajos üveg, minden a földön hevert.	0.273387
	Károly segítségért kiabált; Berta, rémületében, kétségbeesetten sírt; és Félicité remegő kézzel erőlködött, hogy kifűzhesse urnőjét, a kinek egész teste görcsösen rángatózott.	-0.3
Sáclơ kêu cứu; Béctơ sợ hãi thét lên, và Fêlixitê, tay run run, cởi áo cho bà chủ, suốt người bà đang co giật.	– Átszaladok a laboratóriumba – szólt a gyógyszerész – fűszeres eczetért.	0.14026
- Để tôi chạy về phòng thí nghiệm của tôi tìm chút giấm thơm, - tay dược sĩ nói.	Aztán, mikor Emma, a kinek az orra alá tartotta a szagos üvegecskét, felnyitotta a szemét:	0.278049
Rồi, nàng mở mắt ra khi ngửi lọ giấm:	– Bizonyos voltam benne!	0.0625
-Tôi tin chắc mà, - tay dược sĩ nói, - cái này thì đến người chết cũng tỉnh lại.	– mondotta Homais ur felvidulva. ~~~ – Életre keltene ez egy halottat is!	-0.05
-Em nói với chúng tôi đi!	– Szólj, beszélj!	0.195
- Sáclơ nói, - em nói với chúng tôi đi!	– könyörgött Károly. ~~~ – Beszélj!	-0.00384615
Em bình tĩnh lại!	Térj magadhoz!	0.22
Anh đây, Sáclơ của em yêu em!	Én vagyok, a te Károlyod, a ki imád!	0.280645
Em có nhận ra anh không?	Megismersz?	0
Này, đứa con gái bé của em: em ôm hôn con đi nào.	Nézd, itt a kis leányod: csókold meg hát!…	0.242857
Đứa bé giang hai cánh tay về phía mẹ để bám lấy cổ mẹ.	A gyermek előre nyujtotta kis karjait, hogy anyjának a nyakába kapaszkodhassék.	0.241935
Nhưng, quay đầu đi, Emma nói bằng giọng không đều.	De Emma elfordította a fejét, és így nyögött, szakadozottan:	0.583929
-Không, không... không ai cả!	– Nem… nem… senki!	0.177273
Nàng lại ngất đi.	Megint elájult.	0.20625
Người ta khênh nàng vào giường.	Ágyába vitték.	-0.0352941
Nàng nằm thẳng đuỗn, miệng há ra, mí mắt khép, bàn tay mở rộng, không nhúc nhích, và trắng như một bức tượng bằng sáp.	Jó darabig úgy maradt, a hogy oda fektették: nyitott szájjal, behunyt szemmel, laposan elterülő kézzel, mozdulatlanul, és olyan fehéren, mint egy viasz-szobor.	0.263636
Từ cặp mắt nàng, hai dòng nước mắt tuôn ra, chảy từ từ xuống gối.	Lehunyt szeméből megeredt a könny, és a két könnypatak lassan lefolyt a párnájára.	0.284211
Sáclơ đứng ở phía cuối giường, và tay dược sĩ, đứng bên cạnh hắn, giữ vẻ im lặng trầm ngâm thích đáng cần có trong những trường hợp nghiêm trọng ở đời.	Károly a hálószoba bemélyedésében, az ágy előtt állott; a gyógyszerész ott volt, mellette, elmerülve abba az elgondolkozást sejtető némaságba, melyet az élet komoly pillanataiban az illendőséget tudó ember nem szokott megtörni.	0.228814
- Ông hãy yên tâm, - hắn vừa nói vừa hích khuỷu tay Sáclơ, - tôi tin rằng cơn nguy kịch đã qua.	– Már nyugodt lehet – szólalt meg végre halkan, megérintve Károlyt a könyökével – azt hiszem, a paroxizmusz már elmult.	0.244898
-Vâng, nhà tôi bây giờ đã nằm yên một chút!	– Igen, most elszunnyadt egy kissé!	0.167647
- Sáclơ nhìn vợ ngủ và đáp. ~~~ - Tội nghiệp!...	– felelt Károly, szintén halk hangon, miközben nem vette le a szemét Emmáról, a ki mintha elaludt volna.	-0.126923
Tội nghiệp!... ~~~ Thế là nhà tôi lại đau lại!	– Szegény asszony!… szegény asszony!… Megint visszaesett a régi betegségébe!	-0.0823529
Bấy giờ Hôme mới hỏi tai biến ấy xảy ra như thế nào.	Homais megkérdezte, hogy miképpen jelentkezett a roham.	0.253846
Sáclơ cho biết nàng bị đau đột ngột trong lúc nàng ăn mơ.	Károly azt felelte, hogy hirtelen tört ki rajta, mialatt baraczkot evett.	0.285714
-Kỳ thật!... ~~~ - Tay dược sĩ lại nói.	– Csodálatos!… – álmélkodott a gyógyszerész.	-0.0321429
- Nhưng cũng có thể là quả mơ gây ra chứng ngất!	– És nem lehetetlen, hogy a baraczk okozta az ájulást!	0.294118
Có những thể chất rất dễ nhạy cảm khi gặp một vài mùi vị nào đó!	Mert vannak különös természetü egyének, a kik fölötte érzékenyek bizonyos szagok irányában.	0.232895
Và thậm chí đó cũng là một vấn đề hay cần phải nghiên cứu, về phương diện bệnh lý, cũng như về phương diện sinh lý.	És nagyon érdekes volna ezt a kérdést úgy pathologiai, mint fiziologiai nézőpontból tüzetesebben is tanulmányozni.	0.245946
Các giáo sĩ biết rõ tầm quan trọng của những mùi vị đó, chính họ vẫn dùng hương liệu xen vào việc lễ bái của họ.	A papok mindjárt fölismerték ennek a hatásnak a jelentőségét; azért alkalmaztak szertartásaikban annyi illatszert.	0.256757
Chả lẽ để làm u mê trí óc chúng ta và để gây ra những cảm khoái, điều này vả lại dễ gây được ở phái nữ, những con người yếu ớt hơn những con người khác.	Ezekkel elkábították az értelmet, és a lelki elragadtatás sajátos állapotait idézték elő, a mit különben könnyü elérni a gyöngébbik nemnél, mely sokkal érzékenyebb, mint a másik.	0.298286
Người ta kể những bà ngửi mùi sừng cháy, bánh mới là ngất đi...	Olvastam például nőkről, a kik elájulnak a megpörkölt szaru vagy a lágy kenyér szagától…	0.229167
Coi chừng, ông làm nhà tôi thức dậy!	– Vigyázzon, föl ne keltse!	0.171429
-Bôvary nói khẽ.	– suttogott Bovary.	0.284211
Vả chăng những con người mắc phải những dị thường đó, mà lại còn cả súc vật nữa, - tay dược sĩ nói tiếp.	– És ezek a rendellenességek – folytatta a gyógyszerész – nem csupán az embereknél találhatók meg, hanem még az állatoknál is.	0.292562
- Như thế, ông không phải là không biết cái tác dụng kích thích tình dục đặc biệt sinh ra bởi cây Nepeta Cataria, gọi nôm na là cỏ mèo, đối với giống mèo; và mặt khác, để kể một thí dụ mà tôi bảo đảm là có thực.	Igy ön bizonyára tudja, hogy az egész macskafajra milyen különös, a szerelmi ösztönt rendkivül ingerlő hatással van a nepeta cataria nevű növény, a melyet közönségesen macskafűnek, vagy népiesen "engemszagolj"-nak neveznek; de másfelől egy még inkább meglepő példát is idézhetek, a melynek kétségtelen voltáról személyesen szereztem meggyőződést.	0.164224
Briđu (một trong những bạn học cũ của tôi, hiện đặt cơ nghiệp ở phố Manpaluy) có một con chó, cứ khi người ta đưa ra cho nó một hộp thuốc lá là nó co giật liền.	Bridouxnak, egy régi pajtásomnak, a ki most a Malpalu-utczában lakik, van egy kutyája, a mely azonnal görcsöt kap, mihelyt egy burnótszelenczét tartanak eléje.	0.242857
Thường thường anh ta làm thí nghiệm cái đó trước mặt các bạn thân tại tầng lầu của anh ở rừng Ghiôm.	Bridoux ezt gyakran bebizonyította barátainak, a kiknek sorában én is jelen voltam a Guillaume-ligetben lévő villájában, a hol a kisérletet többször megismételte.	0.198261
Người ta có thể tin rằng một thứ thuốc làm hắt hơi đơn giản lại có thể gây tác hại như thế đến cơ thể của một con vật bốn chân không?	De hát hinné-e az ember, hogy egy egyszerű tüsszögtető szer ilyen rettenetes hatással lehet egy négylábúnak a szervezetére?!	0.214286
Cái đó kỳ lạ lắm phải không?	Ez meglepően különös, ugy-e?	0.25
-Vâng, - Sáclơ không nghe mà đáp.	– Igen – szólt Károly, a ki nem hallgatott oda.	0.214286
-Cái đó chứng tỏ vô vàn những trạng thái bất thường của hệ thần kinh. ~~~ - Tay dược sĩ vừa nói vừa mỉm cười với một vẻ tự mãn ngây thơ.	– És ez is csak azt bizonyítja – folytatta a másik, a magával való megelégedettségnek és a jóindulatu közlékenységnek egy szelid mosolyával hogy az idegrendszer rendellenességei megszámlálhatatlanok.	-0.0377419
- Còn về bà nhà, tôi vẫn thấy, xin thú thật, bà là một người đa cảm thực sự.	A mi ő nagyságát illeti, megvallom őszintén, hogy én őt mindig fölötte érzékeny szervezetnek tartottam.	0.247674
Cho nên, ông bạn tốt của tôi ạ, tôi sẽ chẳng khuyên ông cho bà dùng một thứ thuốc nào gọi là thuốc mà lấy cớ đánh vào các triệu chứng, lại đánh vào thể tạng.	Azért azt ajánlom önnek, kedves barátom, hogy ne használja azokat az ugynevezett gyógyító szereket, a melyek, a midőn a baj jelenségeit kivánják elhárítani, nemcsak hogy nem használnak, hanem ártanak, mert megtámadják az ellentálló erőt.	0.216949
Không, không dùng thuốc lăng nhăng!	Nem, semmi fölösleges orvosság!	0.24375
Theo đúng chế độ, tất cả là thế.	Észszerű életmód, ez a fődolog!	0.236364
Dùng những loại thuốc trấn thống, những loại thuốc chỉ thống, những loại thuốc làm dịu.	Diéta, és csillapító, puhító, enyhítő szerek!	-0.0306122
Rồi, ông không nghĩ rằng có lẽ phải đánh vào trí tưởng tượng ư?	Aztán, nem gondolja, hogy talán hatni kellene a képzeletére is?!	0.23
-Đánh bằng gì?	– Mivel?	0.06
Đánh thế nào?	hogyan?	-0.0375
- Bôvary hỏi.	– kérdezte Bovary.	0.2
-À, vấn đề là ở đó!	– Hja, ez itt a kérdés!	0.26087
Vấn đề thực sự là thế: That is	Valóban ez itt a kérdés: That is the question!	0.916667
the question như tôi mới đọc trong báo.	– mint nemrég az ujságban olvastam.	0.248571
Nhưng Emma đã tỉnh lại, kêu lên:	Emma felébredt s így nyugtalankodott:	0.8
-Còn bức thư?	– És a levél?	0.28
Còn bức thư?	és a levél?	0.225
	Azt hitték, hogy lázasálomban beszél.	-0.3
Người ta tưởng nàng đang mê sảng; nàng mê từ nửa đêm: bệnh viêm não đã khởi phát.	Éjfél táján csakugyan lázasálom fogta el: és rendre jelentkeztek az agyvelőgyuladás tünetei.	0.296739
Trong bốn mươi ba ngày, Sáclơ không rời nàng.	Károly negyvenhárom napig nem ment el az ágya közeléből.	0.263265
Hắn bỏ tất cả bệnh nhân của hắn, hắn không ngủ nữa, hắn liên tục bắt mạch nàng, bó cao hột cải, chườm mát cho nàng.	Elhagyta összes betegeit; egyszer se feküdt le; folytonosan figyelte a szívverését s rakta rá a mustártapaszt vagy a hidegvizes borogatást.	0.290698
Hắn cho Juyxtanh đến tận Nớpsaten để kiếm nước đá; đá đi đường tan ra, hắn đuổi nó về.	Neufchâtelig sehol se lehetett jeget kapni; elküldte Justint Neufchâtelbe; a jég elolvadt az úton; elküldte még egyszer.	0.273786
Hắn mời ông Canivê đến khám; hắn triệu từ Ruăng bác sĩ Larivie, thầy giáo cũ của hắn; hắn thất vọng.	Elhivatta Canivet urat s a tanácsát kérte; írt Rouenba s kikönyörögte, hogy leutazzék hozzá Larivičre tanár is, egykori tanítómestere; kétségbe volt esve.	0.207895
Cái khiến hắn sợ hãi hơn cả là tình trạng suy sụp của Emma; vì nàng không nói, không nghe gì hết và thậm chí dường như chẳng còn đau đớn nữa; -dường như thể xác và linh hồn đều trấn tĩnh lại sau cơn kích động.	Kiváltképpen az rémítette meg, hogy Emmán végtelen levertség volt észrevehető; soha se beszélt, ha szóltak hozzá, nem hallotta, és úgy látszott, hogy még csak nem is szenved, – mintha teste és lelke egyszerre pihenték volna ki a kiállott sok izgalmat.	0.296104
Đến khoảng giữa tháng mười, nàng có thể ngồi dậy trong giường, lưng tựa vào chiếc gối đặt ở đằng sau nàng.	Október közepe felé járt az idő, a mikor Emma annyira jobban lett, hogy egy kicsit felülhetett ágyában, miután előbb párnákkal megtámasztották a hátát.	0.2496
Sáclơ khóc khi hắn thấy nàng ăn bánh mì phết mứt đầu tiên.	Károly sírt, mikor látta, hogy Emma megeszi a lekváros piskótatésztát, annyi idő multán először!	0.168182
Sức khỏe của nàng hồi phục, nàng đứng dậy vài giờ vào buổi chiều, và một hôm nàng thấy dễ chịu hơn, hắn thử để nàng bám vào cánh tay hắn đi chơi một vòng trong vườn.	Ereje lassankint visszatért; délután egy pár órára felkelt; és egy szép napon, a mikor úgy érezte, hogy jobban van, Károly megkisérlette levinni a kertbe. ~~~ Férjének a karjába kapaszkodva, csakugyan el tudott indulni.	-0.0111702
Cát trên lối đi như đầy lá khô; nàng đi bước một, lê đôi giày vải và dựa vào vai Sáclơ, nàng luôn luôn tủm tỉm cười.	A kerti utak homokos földje eltünt a lehullott száraz falevelek alatt; Emma lassan tette meg egyik lépést a másik után, erőtlenül vonszolva a papucsát, és vállával Károlyhoz támaszkodva, folyton mosolygott.	0.158015
Họ đi như thế đến tận cuối vườn, gần cái nền đất.	Igy mentek le egészen a kert széléig, a terassz közelébe.	0.25
Nàng chậm chạp đứng thẳng người lên, đặt bàn tay trước mặt để nhìn: nàng nhìn ra xa, nhưng ở chân trời chỉ có những ngọn lửa cỏ khô bốc khói trên các đồi.	Emma lassan fölegyenesedett, s a kezét a szeme fölé tartotta, hogy jobban lásson; a messzeségbe nézett, a nagy messzeségbe; de nem látott egyebet, csak azokat a nagy pásztortüzeket, a melyek a halmokon füstölögtek.	0.266102
-Em sắp làm em mệt đấy, em yêu quí ạ, - Bôvary lên tiếng.	– Kifárasztod magadat, kedvesem – szólt Bovary.	0.21875
Rồi, khẽ đẩy nàng đi vào dưới vòm cây, hắn tiếp tục nói:	És gyöngéden magával vonta, a sátor felé, a hol le akarta ültetni.	0.280952
- Nào, em ngồi trên cái ghế dài này: em sẽ dễ chịu.	– Ülj le erre a padra és pihend ki magad.	0.154054
- Ồ, không, không ngồi đây, không ngồi đây!	– Ó, nem, itt nem, itt nem! ~~~ – szólt Emma, elhaló hangon.	-0.0183673
-Nàng thốt lên bằng một giọng yếu đuối.	Elszédült, és estefelé ujra beteg lett.	0.230769
	Ez a második betegség ugyan nem volt visszaesés, nem is járt olyan válsággal és nem tartott egyfolytában olyan sokáig, mint az első, de a baj bonyolultabbnak látszott, rövid szünetek után ujra meg ujra kitört, és nagyon különböző tünetekkel járt, úgy hogy a betegség oka nem volt felismerhető.	-0.3
Nàng choáng váng và ngay từ chiều hôm ấy, bệnh nàng trở lại với chiều hướng thật sự khó lường với những tính chất phức tạp hơn.	Egy darabig ugy rémlett, mintha szívbaj, később, mintha mellbaj támadta volna meg; néha az agy és az idegrendszer mutatott rendellenességeket, máskor minden tagjában nagy fájdalmai voltak, a melyek oka nem volt kikutatható.	0.181633
Khi nàng đau ở tim, lúc thì nàng đau ở ngực, ở óc, ở chân, ở tay; đột nhiên nàng nôn ọe, Sáclơ tưởng thấy qua đấy những triệu chứng đầu tiên của bệnh ung thư.	Egy ideig valamivel már javult az állapota, de azután olyan hányások fogták el, a melyek Károlynak, nagy rémületére, ugy tűntek fel, mintha a rák első jelenségei volnának.	0.270186
Thêm vào đó anh chàng tội nghiệp còn có những mối lo lắng về tiền nong!	És mindehhez, hogy ugyancsak kijusson neki, a szegény embert még pénzgondok is gyötörték!	0.273077
XIV	XIV.	0.225
	Először is Homais urnak tartozott sokkal, a temérdek orvosságért; és bár, orvos lévén, megtehette volna, hogy ne fizessen a gyógyszerekért, szégyellte, hogy Homais urnak lekötelezettje maradjon.	-0.3
Thoạt tiên, hắn không biết làm thế nào để đền bù cho ông Hôme tất cả những thứ thuốc lấy ở bên cửa hiệu của ông ta; và mặc dù hắn có thể, nhân danh là một thầy thuốc, không phải trả tiền, hắn vẫn ngượng ngùng vì món nợ này.	Aztán a háztartás költségei, azóta, hogy a szakácsné lett a gazdasszony, rettenetesen megnövekedtek; a számlák csak úgy özönlöttek hozzá; mindazok, a kik valamit szállítottak a házba, morogtak; és különösen Lheureux nem hagyott neki békét.	0.271552
Rồi bây giờ chị nấu bếp đảm đương nội trợ, tiền chi tiêu trong nhà trở nên đáng sợ; hóa đơn tới tấp đến nhà; đám người cung cấp cằn nhằn, nhất là Lơrơ làm rầy hắn.	Az utóbbi ugyanis, mikor Emma a legbetegebb volt, felhasználta a kedvező alkalmat arra, hogy szépen megnövelje a számláját, s hamarjában elvitte az orvos házába a köpönyeget és a kézitáskát.	0.28
Thực tế, giữa lúc bệnh tật Emma trầm trọng, tay này lợi dụng cơ hội đó thêm thắt vào hóa đơn, đã vội vã đem lại chiếc măng tô, túi đựng hành lý, hai cái hòm chứ không phải một và nhiều vật khác nữa; Sáclơ nói hoài là hắn không cần đến những thứ ấy nhưng tay lái buôn cứ vênh váo đáp lại rằng bà nhà đã không đặt mua những thứ hàng đó thì y sẽ không lấy hàng về; vả chăng, như thế sẽ làm phật ý bà nhà trong lúc đang an dưỡng; ông nhà nên suy nghĩ; tóm lại, y quyết định đi kiện hắn chứ không chịu bỏ các quyền lợi của mình và mang hàng của mình đi.	Ezenkivül vitt egy láda helyett kettőt, és egy csomó egyéb dolgot is, a mit Emma nem rendelt. ~~~ Hiába mondta Károly, hogy neki minderre semmi szüksége, a kereskedő követelő hangon azt felelte, hogy ezeket a tárgyakat ő nagysága megrendelte és ő nem veszi vissza; egyébként ő nagysága, ha majd lábbadozni kezd, nagyon fog bosszankodni e miatt, pedig a betegekkel nem jó ellenkezni, azért tessék jól meggondolni a dolgot; röviden, ő elhatározta, hogy inkább perel, de a jogaiból nem enged és az árúkat nem viszi vissza.	-0.042766
Sáclơ, sau đó, sai mang tất cả các thứ đến tận cửa hàng y trả lại y; Fêlixitê quên; hắn thì có nhiều mối lo khác, hắn không nghĩ đến chuyện ấy nữa; Lơrơ lại tấn công và, hết đe dọa lại năn nỉ, y mưu mô thế nào mà Bôvary cuối cùng đành phải ký một phiếu nợ trong sáu tháng.	Károly azután elrendelte, hogy a holmit vigyék utána a boltba; Félicité elfelejtette; Károlynak egyéb gondja volt; s utóbb senki se gondolt rá, hogy visszavigyék; Lheureux megint megjelent követelőzni, előbb fenyegetőzött, azután siránkozott, és addig mesterkedett, mig végre Bovary aláirt neki egy váltót, a mely félesztendő mulva fog lejárni.	0.277076
