James Joyce	﻿JAMES JOYCE	0.218182
- Mày có muốn uống không, nhóc?	- Nem innál egyet, fiú?	0.636364
- Thưa, nếu ngài cho phép - nó nói.	- Ha lenne olyan kedves...	0.643478
Ông lão miễn cưỡng mở một chai nữa và đưa cho thằng bé.	Az öreg morogva nyitott ki még egy palackot, és a fiúnak nyújtotta.	0.295161
- Mày bao nhiêu tuổi?	- Hány éves vagy?	0.811765
- ông ta hỏi.	- kérdezte.	1.25
- Mười bảy tuổi - thằng bé nói.	- Tizenhét - felelte a fiú.	1.02514
Bởi ông già không nói gì nữa, thằng bé nâng chai bia lên, nói với Mr Henchy "Xin kính chúc sức khỏe ngài" rồi uống cạn, đặt lại cái vỏ chai lên bàn và lấy ống tay áo quệt mồm.	Minthogy az öreg nem szólt többet, a fiú fölvette az üveget: ~~~ - A legmélyebb tisztelettel Mr. Henchy egészségére!	-0.109722
Rồi nó nhặt cái mở chai lên và tiến ra cửa, miệng lẩm bẩm cái gì đó như lời chào.	- Azzal kiitta. ~~~ Visszatette az üveget, és megtörölte száját az inge ujjával.	-0.032
	Aztán felvette a dugóhúzót, és féloldalvást kipréselődött a szobából, valamiféle morgások közepette, amely köszönésféle lehetett.	-0.3
- Chẳng chóng thì chầy rồi cũng hỏng thôi - ông lão nói.	- Így kezdődik - jegyezte meg az öreg.	0.752381
- Rồi không rút chân ra được - Mr Henchy nói.	- Kis tűn kezdi, ökrön végzi - kommentálta Mr. Henchy.	0.812846
Ông lão chia ba chai bia vừa mở cho từng người và họ cùng dốc chai uống.	Az öreg kiosztotta a három üveget, és mind a hárman egyszerre emelték a szájukhoz.	0.296053
Rồi mỗi người đặt chai của mình lên bệ lòsưởi và khà một hơi dài thỏa mãn.	Miután ittak, mindegyikük a kandalló párkányára tette az üvegét, hogy kéznél legyen, és mély sóhajjal adtak kifejezést megelégedettségüknek.	0.119318
- Ừ, hôm nay tớ cũng làm được kha khá - Mr Henchy nói, sau một lúc.	- Igen, ezért a napért nagyon megdolgoztam - törte meg a csendet Mr. Henchy.	0.695522
- Thế hả, John?	- Ne mondd! ~~~ - De bizony.	0.330882
- Ừ, tớ lấy được cho lão ta một hay hai phiếu chắc chắn ở phố Dawson, tớ và Crofton.	Egy-két dolgot biztosra elintéztem neki a Dawson utcában, már mint Crofton és én.	0.236842
Nói riêng cho cậu biết nhé, Crofton (tất nhiên hắn ta là người tử tế rồi) là tay vận động không đáng một xu.	Tudjátok, Crofton (persze azért nagyon tisztességes fickó) nem sokat ér kortesnek.	0.392308
Chẳng nói được lời nào, cứ câm như hến.	Nincs egy szava se senkihez.	0.024
Chỉ biết đứng đấy giương mắt nhìn trong lúc tớ diễn thuyết.	Csak áll és bámul, míg én gyúrom a népet.	0.0804878
Đến đây hai người đàn ông bước vào phòng.	Két ember lépett be a szobába.	0.0827586
Một trong hai người rất to béo, đến nỗi bộ quần áo vải séc màu xanh của anh ta dường như có nguy cơ chuẩn bị trượt khỏi thân hình dốc đứng.	Egyikük irtózatosan kövér volt, és szövetruhája állandóan abban a veszélyben forgott, hogy lecsúszik minden irányban lejtős alakjáról.	0.252985
Anh ta có khuôn mặt to bè, vẻ mặt trông giống như mặt một con bò đực non, đôi mắt xanh nhìn chằm chặp và hàng ria hoa râm.	Roppant arca feltűnően hasonlított egy tinó pofájához, azzal a kék barom-szemével és deresedő bajuszával.	0.230769
Người kia, trẻ và mảnh dẻ hơn rất nhiều, mặt gầy gò, nhẵn nhụi.	A másik sokkal fiatalabb és karcsúbb volt, arca keskeny, simára borotvált.	0.278571
Anh ta mặc một chiếc áo cổ kép rất cao và đội mũ tròn vành rộng.	Hihetetlen magas duplagallért és széles peremű keménykalapot viselt.	0.28209
- Chào, Crofton! ~~~ - Mr Henchy nói với người to béo - vừa nhắc đến sói thì sói xuất hiện...	- Halló, Crofton - üdvözölte Mr. Henchy a kövért - farkast emlegetnek...	0.324095
- Bia bọt đâu ra thế này?	- Honnan jött a tütü?	0.714286
- người đàn ông trẻ hỏi - Ăn mừng cái gì à?	- kérdezte a fiatal.	0.426316
- Ha, tất nhiên rồi, Lyons luôn đánh hơi được rượu đầu tiên!	- Megtojta a tyúk az aranytojásokat?	0.419748
- Mr O'Connor nói, cười lớn.	- Persze, mi mást vesz észre Lyons először, mint az itókát - nevetett Mr. O’Connor.	0.248571
- Lũ các cậu đi vận động thế này hả - Mr Lyons nói - còn tớ với Crofton thì dầm mưa đi kiếm phiếu?	- Így korteskedtek hát, nyavalyásak - mondta Mr. Lyons -, míg mi Croftonnal esőben-szélben hajszoljuk a szavazókat.	0.794286
- Cái gì chứ, quỷ tha ma bắt các cậu đi - Mr Henchy nói - Trong năm phút tớ còn kiếm được nhiều phiếu hơn hai đứa nhà cậu kiếm trong một tuần.	- Hogy a fene egyen meg - ripakodott rá Mr. Henchy -, öt perc alatt több szavazatot hajtok fel, mint ti ketten egy hétig.	0.520194
- Hãy mở chai nữa, Jack - Mr O'Connor nói.	- Nyisson ki két palackot, Jack - rendelkezett Mr. O’Connor.	1.00568
- Làm sao tôi làm được - ông lão nói - khi không có cái mở chai đây?	- Hogyan, mikor nincs dugóhúzó? ~~~ - Várjatok csak, várjatok csak!	0.233065
- Chờ chút, chờ chút - Mr Henchy đứng nhanh dậy - Đã bao giờ các cậu thấy trò này chưa?	- ugrott fel Mr. Henchy fürgén. ~~~ - Nem ismeritek ezt a trükköt?	0.128941
Anh ta lấy hai chai bia trên bàn, mang đến lò sưởi, đặt vào ngăn nướng.	Felkapott két palackot az asztalról, a tűzhöz vitte, és a láng fölé a rácsra tette.	0.288158
Rồi anh ta lại ngồi xuống bên lòsưởi và nâng chai uống một ngụm bia nữa.	Aztán leült a tűz mellé, és meghúzta a palackját.	0.104082
Mr Lyons ngồi trên mé bàn, kéo mũ xuống sau gáy và bắt đầu đung đưa hai chân.	Mr. Lyons az asztal végére telepedett, tarkójára lökte a keménykalapot, és lóbálni kezdte a lábát.	0.431944
- Chai nào là của tớ?	- Melyik lesz az enyém?	0.771429
- anh ta hỏi.	- érdeklődött.	1.20769
- Đây, ông bạn - Mr Henchy nói.	- Ez itt, kölyök - felelte Mr. Henchy.	0.937634
Mr Crofton ngồi xuống một cái hòm và nhìn đăm đăm vào cái chai còn lại trong lò nướng.	Mr. Crofton ráfolyt egy ládára, és meredt szemekkel bűvölte a másik palackot.	0.457796
Anh ta im lặng vì hai lẽ.	Hallgatott, két okból is.	0.3
Thứ nhất, lý do này là đủ, anh ta không có gì để nói, thứ hai, anh ta cho những người bạn của mình đều dưới tầm.	Hallgatott először azért - és ez már önmagában elégséges lett volna -, mert nem volt semmi mondanivalója; hallgatott másodszor azért, mert lenézte a társaságot.	0.229839
Anh ta từng làm người đi vận động bỏ phiếu cho Wilkins, ứng viên Đảng Bảo thủ, nhưng khi Đảng Bảo thủ rút người và, lựa chọn cái đỡ tồi tệ hơn trong hai cái tồi tệ, và, tính đến sự ủng hộ của người ta đối với ứng viên phái Dân tộc chủ nghĩa, anh ta bằng lòng làm việc cho Mr Tierney.	Eredetileg a konzervatív Wilkinsnek lett volna a kortese, de mikor a Konzervatív Párt visszahívta jelöltjét, és két gonosz közül a kisebbnek látszót választva a Nemzeti Párt jelöltjeit támogatta szavazataival, Mr. Crofton Mr. Tierney szolgálatába állt.	0.202941
Mấy phút sau một tiếng Pốc! ~~~ Đầy hối lỗi vang lên và cái nắp bay ra khỏi chai bia của Mr Lyons. ~~~ Mr Lyons nhảy phắt khỏi bàn, đi tới lò sưởi, lấy chai bia của anh ta và mang lại bàn.	Pár percen belül egy bocsánatkérő "pukk" kíséretében Mr. Lyons palackjából kirepült a dugó, Mr. Lyons talpra ugrott, lekapta palackját a rácsról, és visszatért támaszpontjára.	-0.108861
- Tớ đang nói với họ đây, Crofton - Mr Henchy nói - rằng hôm nay chúng ta kiếm được kha khá phiếu.	- Éppen most mesélem, Crofton - folytatta Mr. Henchy -, hogy ma azért megdolgoztunk egy-két szavazót.	0.976535
- Các cậu được những ai?	- Kiket?	0.5125
- Mr Lyons hỏi.	- kérdezte Mr. Lyons.	0.8
- Ừ, tớ có Parkes là một này, Atkinson là hai này, và cả Ward ở Phố Dawson nữa.	- Egynek megszereztem Parkest, megszereztem egy másiknak Atkinsont, és megszereztem a Dawsson utcában Wardot.	0.434146
Ông ấy cũng tử tế, vị quý tộc già, thành viên già Đảng Bảo thủ đấy!	Csuda öreg fickó - igazi régi úr, vén konzervatív!	0.110204
Nhưng chẳng phải ứng cử viên của ngài là người phái Dân tộc chủ nghĩa sao? ~~~ - ông ấy hỏi.	"De nem Nemzeti Párt-i az ön jelöltje?" - kérdezte.	5.68434e-14
Ông ấy là người có uy tín, tớ nói.	"Az én jelöltem tekintélyes férfi", feleltem.	0.253846
Ông ấy ủng hộ tất cả những gì mang lợi cho đất nước này.	"Mindent szívügyének tekint, ami csak hazánk jobblétére szolgál.	0.290769
Ông ấy nộp rất nhiều thuế điền sản - tớ nói.	Azonkívül magas adók fizetője, a belvárosban óriási házak tulajdonosa, többek között három üzletházé, és így nemde elsőrendű érdeke, hogy az adót ne emeljék?	-0.277778
Ông ấy có rất nhiều tài sản nhà cửa trong thành phố và ba hãng buôn, chẳng nhẽ ông ấy lại không muốn thuế được hạ thấp nhất có thể?	Tekintélyes és városszerte tisztelt polgártársunk, mondtam tovább, a Szegény Törvény őre, és semmiféle párthoz nem tartozik, legyen az jó vagy rossz, vagy közömbös." Látjátok, így kell velük beszélni.	0.208
Ông ấy là một công dân xuất chúng và đáng kính - tớ nói - và là một đại biểu Luật Hỗtrợ người nghèo nữa, và ông ấy không theo một tổ chức đảng phái nào hết, phe tả, phe hữu hay trung.	- Na és mi van az üdvözlő szózattal - érdeklődött Mr. Lyons, miután ivott, és lenyalta a száját. ~~~ - Figyelj ide.	0.0206306
Nói với bọn họ là phải nói như vậy.	Mire van égetően szüksége ennek az országnak?	0.278571
- Thế còn bài diễn văn đón chào đức vua?	- kérdezte Mr. Henchy.	0.557143
- Mr Lyons nói, sau khi đã uống bia và chẹp chẹp môi.	- Tőkére, mint ahogy ezt az öreg Wardnak is elmagyaráztam.	0.567067
- Nghe tớ này - Mr Henchy nói - những gì chúng ta cần cho đất nước này, như tớ nói với Già Ward, là vốn.		-0.3
Chuyến thăm của đức vua đến đây có nghĩa tiền sẽ chảy về đất nước này.	A király idejövetele hatalmas pénzfolyam előtt fogja megnyitni a zsilipeket.	0.241667
Những công dân Dublin sẽ hưởng lợi từ đó.	Ömlik az áldás Dublin polgáraira.	0.667647
Hãy nhìn đám nhà máy bên ke sông đấy, ngắc ngoải!	Nézzétek meg lenn a rakparton a gyárakat. ~~~ Állnak!	-0.0183673
Hãy nhìn xem liệu sẽ có bao nhiêu tiền trong đất nước này nếu như chúng ta chỉ có những ngành công nghiệp già cỗi, những xưởng sản xuất, xưởng đóng tàu và nhà máy.	Nézzétek meg, mi pénz áll itt az országban, ha csak a hagyományos iparunkat vesszük is, a malmokat, a hajóépítő-üzemeket.	0.131897
Chúng ta cần vốn	Tőke, az kell nekünk.	0.268421
- Nhưng hãy nhìn xem, John - Mr O'Connor nói - tại sao chúng ta phải chào đón vua nước Anh cơ chứ?	- De idefigyelj, John - vitatkozott Mr. O’Connor. ~~~ - Miért kell nekünk Edwardot, Anglia királyát üdvözlő szózattal fogadni?	0.333333
chẳng nhẽ không phải chính Parnell đã...	Nem Parnell maga...	0.6
- Parnell - Mr Henchy nói - đã chết rồi.	- Parnell meghalt - állapította meg Mr. Henchy.	1.26923
Nào, đây là cách tớ nhìn mọi chuyện đây.	- Most elmondom, hogyan látom én a dolgokat.	0.2475
Ông ta đâu có được ngôi đâu, bà mẹ già của ông ta giữ tiệt lấy nó cho đến khi ông ta bạc tóc.	Adva van ez a fickó, aki - miután vén mamája addig tartotta távol az uralkodástól, míg beleőszült - végre trónra került.	0.267961
Ông ta là người hoàn toàn biết và ông ta đâu có ý xấu đối với chúng ta.	Világfi, és jóindulattal van irányunkban.	0.0428571
Ông ta là một gã tử tế, vui vẻ, nếu các cậu hỏi tớ, và không có tai tiếng gì.	Ha engem kérdeznél, szerintem rém rendes fickó, és nem csinál semmi marhaságot.	0.264474
Ông ta chỉ tự nhủ thế này, Bà già ta chẳng bao giờ đi gặp những người Ireland hoang dã này.	Na már most azt mondja magában: "A mamának eszébe sem jutott, hogy meglátogassa ezeket a veszett íreket.	0.290526
Thề có Chúa, ta sẽse đi xem họ như thế nào. ~~~ Và chẳng nhẽ chúng ta sẽ lăng mạ khi ông ta đến đây trong một chuyến thăm hữu nghị hay sao?	Krisztus nevére mondom, magam megyek el, majd én megnézem, kik ezek." És sértsünk meg egy embert, aki baráti látogatásra jön el hozzánk?	-0.0224409
Hả?	Mi?	0.15
không đúng sao, Crofton?	Nem igaz, Crofton?	0.908824
Mr Crofton gật đầu.	Mr. Crofton bólintott.	1.05
- Nhưng dù sao bây giờ - Mr Lyons nói, giọng tranh cãi - cuộc đời của vua Edward, các cậu biết đấy, cũng không phải là...	- De azért mégiscsak - érvelt Mr. Lyons - Edward király életében vannak...	0.913665
- Chuyện gì đã qua hãy để nó qua đi - Mr Henchy nói - Cá nhân tớ, tớ ngưỡng mộ ông ấy.	- Borítsunk fátylat a múltra - mondta Mr. Henchy.	0.593333
Ông ấy cũng chỉ là một gã vui tính như những người khác, như cậu như tớ.	- Én az embert csodálom benne.	-0.267857
Ông ta thích ly rượu grog của ông ta và ông ta hơi chơi bời một tí, có lẽ vậy, và ông ta chơi thể thao nữa.	Éppen olyan közönséges tökfilkó, mint te vagy én, ő is szereti a mindennapi pohár whiskyket, valószínűleg a női bájak iránt sem érzéketlen, és kitűnő sportember is.	0.167568
Quỷ tha ma bắt, chẳng lẽ người Ireland chúng ta không thể công bằng được một chút hay sao?	A fene egye meg, miért éppen mi írek ne bánhatnánk vele tisztességesen?	0.161194
- Tất cả những chuyện đó đều không sao - Mr Lyons nói - Nhưng giờ hãy xem trường hợp của Parnell.	- Mindez nagyon szép - így Mr. Lyons. ~~~ - De nézzük csak meg ezt a Parnell-ügyet.	0.102083
- Có Chúa chứng giám - Mr Henchy nói - hai trường hợp có gì giống nhau kia chứ?	- Az Isten szent nevére, hát hogy kerül ez a kettő egymás mellé?	0.412591
- Ý tớ là - Mr Lyons nói - chúng ta có những lý tưởng riêng của mình.	- Arra gondolok, hogy nekünk is megvannak a magunk eszményei.	0.490909
Vậy tại sao chúng ta lại phải đón chào một người như thế?	Miért üdvözöljünk szózattal mi egy ilyen embert?	0.195918
các cậu có nghĩ rằng sau tất cả những gì Parnell đã làm thì ông ta vẫn xứng đáng để lãnh đạo chúng ta?	Gondolod, hogy azután, amit tett, Parnell alkalmas volt rá, hogy a vezetőnk legyen?	0.362286
Và tại sao chúng ta không chấp thuận để vua Edward VII làm?	Akkor miért viselnénk el egy VII. ~~~ Edwardtól?	-0.0579545
- Hôm nay là kỷ niệm ngày Parnell mất - Mr O'Connor nói - và đừng có làm chúng ta phát sôi máu lên một cách vô nghĩa làm gì.	- Ma van a Parnell-évforduló - vetette közbe Mr. O’Connor -, és ne kavarjuk fel a sötét emlékeket.	0.506998
Chúng ta đều kính trọng ông ấy, giờ đây khi ông ấy đã chết, ngay cả đảng Bảo thủ, anh ta thêm vào, quay về phía Mr Crofton.	Most, hogy halott, és eltávozott közülünk, mindnyájan mély tisztelettel övezzük. ~~~ Még a konzervatívok is - tette hozzá Mr. Crofton felé fordulva.	-0.00909091
Pốc!	Pukk!	0.25
Cái nắp giờ mới chịu, bay khỏi miệng chai bia của Mr Crofton.		-0.3
Mr Crofton rời khỏi cái hòm đang ngồi và đi về phía lò sưởi.	Mr. Crofton üvegéből kiröppent a mindeddig vonakodó dugó.	0.585965
Quay lại với chiến lợi phẩm anh ta nói bằng một giọng trầm trầm.	Mr. Crofton felkelt, és a tűzhöz lépett; amint zsákmányával visszatért, mély hangon nyilatkozott:	0.209589
- Phe bọn tớ tôn trọng ông ấy, bởi ông ấy là một quý ông thực sự.	- A képviselőház konzervatív szárnya tiszteli, mert úriember volt.	0.558462
- Cậu nói rất đúng, Crofton!	- Nagyon igazad van, Crofton!	1.24231
- Mr Henchy hùng hồn - Ông ấy là người duy nhất có thể dẹp yên được cái tổ mèo đó. ~~~ Nằm im nào!	- mondta Mr. Henchy vadul. ~~~ - Ő volt az egyetlen, aki ezt a marakodó bandát kordában tudta tartani.	-0.0479708
Nằm xuống!	"Kuss, kuvasz!	0.3
Đó là cách ông ấy đối xử với họ.	Nem ülsz le, átkozott!" Így kezelte őket.	0.2925
Vào đi, Joe!	Gyere be, Joe!	1.05
Vào đi!	Gyere!	0.214286
- anh ta gọi to, thoáng thấy bóng Mr Hynes phía cửa.	- kiáltott ki, megpillantva Mr. Hynest az ajtóban.	0.600725
Mr Hynes chậm rãi bước vào.	Mr. Hynes megfontoltan bejött.	0.889655
- Mở một chai nữa đi, Jack - Mr Henchy nói - Ấy, tôi quên mất là không có cái mở chai!	- Nyisson ki egy másik palackot, Jack - rendelkezett Mr. Henchy.	0.889286
Nào, đưa tôi một chai rồi tôi để vào lò sưởi nào.	- Persze, elfelejtettem, hogy nincs dugóhúzó. ~~~ Dobjon ide egyet, majd a láng fölé teszem.	-0.0443182
Ông lão đưa cho anh ta một chai khác và anh ta đặt nó lên ngăn nướng.	Az öreg átnyújtott neki egy palackot, és Mr. Hynes a rácsra tette.	0.25082
- Ngồi xuống đi Joe, - Mr O'Connor nói - Bọn tớ đang nói về Ông Cả ấy mà.	- Ülj le, Joe - udvariaskodott Mr. O’Connor -, éppen a Főnökről beszélgetünk.	0.724571
- Phải, phải!	- Igen, igen!	0.95
- Mr Henchy nói.	- mondta Mr. Henchy.	0.84
Mr Hynes ngồi trên mép bàn gần Mr Lyons nhưng không nói gì.	Mr. Hynes az asztal szélére ült, Mr. Lyons mellé, de nem szólt egy szót sem.	0.677724
- Dù gì thì cũng có một người trong bọn họ - Mr Henchy nói - không từ bỏ ông ấy.	- Akadt közöttünk valaki mégis - folytatta Mr. Henchy -, aki nem hagyta el őt.	0.8025
Thề có Chúa, tớ nói là cậu đấy, Joe!	Istenemre, rólad van szó, Joe!	0.665517
Không, thề có Chúa, cậu tôn sùng ông ấy!	Nem, te ember vagy, megmaradtál mellette!	0.244737
- Ừ phải, Joe - Mr O'Connor đột nhiên nói - đọc cho bọn tớ nghe cái bài cậu viết hồi trước đi - cậu có nhớ không?	- Joe - szólt közbe hirtelen Mr. O’Connor - mutasd meg, amit akkor írtál.	0.858209
cậu có mang theo nó không?	Emlékszel? ~~~ Nálad van?	-0.01875
- Phải đấy!	- Persze!	1.1
- Mr Henchy nói - Đọc cho bọn tớ đi.	- mondta Mr. Henchy. ~~~ - Mutasd meg.	0.270968
Cậu chưa bao giờ nghe bài ấy phải không, Crofton?	Nem hallottad még, Crofton?	0.6
Thế thì giờ nghe nhé, tuyệt tác đấy.	Ezt hallgasd meg. ~~~ Valami tüneményes.	-0.0202703
- Đọc đi - Mr O'Connor nói - Đọc đi nào Joe.	- Gyerünk - sürgette Mr. O’Connor. ~~~ - Ki vele, Joe.	0.414935
Mr Hynes có vẻ không hiểu ngay họ đang nói đến bài viết nào, nhưng sau một lúc nghĩ ngợi, anh ta nói:	Mr. Hynes úgy látszik, nem értette mindjárt, mire célozgatnak a többiek, de egy kis gondolkodás után megszólalt:	0.46381
- À, cái bài đấy ấy à...Tất nhiên rồi, giờ thì nó cũ rồi...	- Igen, az az... igaz, most már idejét múlta. ~~~ - Ki vele, ember!	0.121053
- Đọc đi anh bạn!	- heveskedett Mr. O’Connor.	0.795
- Mr O'Connor nói.	- Csitt!	0.9625
- Suỵt, suỵt - Mr Henchy nói - Nào, Joe!	Csitt - csillapította Mr. Henchy. ~~~ - Na, Joe!	0.266667
Mr Hynes ngần ngừ một lúc nữa.	Mr. Hynes habozott.	0.783333
Rồi trong sự im lặng của căn phòng, anh ta bỏ mũ xuống, đặt lên bàn và đứng dậy.	Aztán a csendben levette kalapját, az asztalra tette és felállt.	0.155
Anh ta có vẻ như đang nhẩm lại bài thơ trong đầu.	Úgy tűnt, elpróbálja gondolatban.	0.145714
Sau một khoảng lặng khá dài, anh ta đọc to:	Meglehetősen hosszú szünet után elkezdte:	0.271429
Cái chết của Parnell	Parnell halála	1.14
Ngày 6 tháng 10 năm 1891	1891. október 6-án.	0.255
Anh ta hắng giọng mấy lượt rồi bắt đầu đọc	Egy-két torokköszörülés után szavalni kezdett:	0.27551
Ông đã chết, Vị Vua không vương miện của chúng ta đã chết	Halott a Koronázatlan Király.	-0.0724138
Ôi, Erin, hãy nhỏ lệ khóc than	Írország, gyászolj és zokogj,	0.290323
Vì ông ngã xuống bởi lũ người tàn bạo	Ő, ki a modern hypokriták	0.05
Lũ giả nhân giả nghĩa tân thời.	Vad serge megtiport - halott.	0.184615
Ông chết bởi bầy sói săn hèn hạ	Megölte pár galád kuvasz,	0.173077
Lũ ông từng vinh danh từ bùn đen	Kit sárból dicsre ő emelt;	0.207692
Và hoài bão ước mơ của Erin	S az ír álom s az ír remény	0.228
Giờ tàn lụi dưới giàn thiêu vương quốc	E szent máglyán ma sírra lelt.	0.124138
Trong lâu đài, nhà nhỏ hay mái lá	Kastélyok és kunyhók során	0.225
Thổn thức những trái tim Ireland	Sírják a megtört ír szivek:	0.225
Đang trĩu nặng buồn đau - ông đã ra đi	Elment! ~~~ pedig hivatva volt	-0.0865385
Người đã có thể làm Ireland đổi thay số phận	Sorsát fényívként futni meg,	0.08
Người đã làm vinh danh Erin	S látni zöld zászlónk, mely dicsőn	0.237931
Lá cờ xanh tung bay kiêu hãnh	Kibontva hirdet ír jövőt,	0.265385
Những chính khách, nhà thơ, chiến binh dũng mãnh	S hős, szónok, költő tündököl	0.136364
Đã có thể được thế giới cúi chào	A Világ népei előtt.	0.0142857
Ông đã mơ (ôi chao cũng vẫn chỉ là mơ!)	A Szabadságról álmodott,	0.103846
Về tự do, nhưng khi ông đang gắng sức	De jaj! ~~~ amint feléje nyúlt	-0.0777778
Vươn tới nó, thì bỗng nhiên phản trắc	E szép bálványt a hitszegés	0.128571
Chia lìa ông khỏi cái đích hằng mơ	Elszedte tőle álnokúl.	0.125
Nhục nhã thay bọn đê tiện nhát hèn	Szégyen a hitvány kézre, mely	0.196552
Phản bội lại Đức ngài của họ	Sújtá, vagy csókolá Urát,	0.203571
Bán đứng người cho đám đông vô lại	Hogy rontson rá a csőcselék	0.133333
Những thầy tu hèn hạ - đám kẻ thù.	S lakáj papok - egy sem barát.	0.541667
Cầu cho nỗi nhục muôn đời này thiêu cháy hết	Örök szégyen eméssze el,	0.0115385
Trí nhớ của những kẻ đã gắng công	Kik mocskolák nemes nevét;	0.126923
Làm mờ đi, vấy bẩn cái tên	Hiába volt minden maszat:	0.2125
Của con người chúng phải quỳ dưới gối	Gőggel felelt rá, míg csak élt.	0.154839
Ông ngã xuống như những trang hào kiệt	Hullt, ahogy hullnak a nagyok,	0.133333
Đến phút chót vẫn không chịu cúi đầu	Büszkén, rettenthetetlenül.	0.16
Và cái chết giờ đưa ông về với	S multunkká tette a halál:	0.156
Những anh hùng quá khứ của Erin	Holt hőseink közé kerül.	0.207692
Không tranh cãi nào kinh động giấc ngàn thu!	Álmát ne űzze harcizaj!	0.025
Ông yên nghỉ bình yên, không nỗi đau trần thế	Békén pihen: már földi kín	0.0535714
Cũng không tham vọng nào lay động ông nữa	S becsvágy elől nem nyargalász	0.15
Kể cả những đỉnh cao vinh quang	A győzedelmek csúcsain.	0.1625
Chúng đã đẩy được ông ngã xuống	Csak egyet tudtak: megtiporni.	0.171429
Nhưng Erin, hãy nghe, linh hồn ông sẽ	Figyelj, Írország: szelleme	0.192857
Bay lên, như Phượng hoàng bay từ lửa	- Phoenix a lángból - újra kél,	0.2
Khi ngày rạng lóe sáng ánh bình minh	Ha jő a napnak reggele,	0.0714286
Ngày đó chúng ta có tự do ngự trị	Midőn Szabadság lesz az úr;	0.188889
Và cũng chính ngày đó, Erin	S ha majd, Írország, telt kupád	0.289655
Khi nâng chén uống mừng vui chiến thắng	Örömre innád, jól vigyázz:	0.155172
Sẽ tìm lại bồi hồi một giọt nhớ Parnell.	Parnell emléke ürmöt ád.	0.0461538
Mr Hynes ngồi lại lên bàn.	Mr. Hyness leült az asztalra.	0.288889
Khi anh ta đọc xong bài thơ, căn phòng im lặng một lúc rồi òa lên tiếng vỗ tay, ngay cả Mr Lyons cũng vỗ tay.	Mikor szavalatát befejezte, csend következett, aztán kitörő tapsvihar: még Mr. Lyons is tapsolt.	0.451648
Tràng vỗ tay kéo dài một lúc.	Az ünneplés eltartott egy kis ideig.	0.28125
Khi nó dừng lại tất cả người nghe im lặng uống chai bia của mình.	Mikor minden elcsendesült, a hallgatók némán szájukhoz emelték palackjaikat.	0.283099
Pốc!	Pukk!	0.25
Cái nắp bay ra từ chai bia của Mr Hynes, nhưng Mr Hynes vẫn ngồi trên bàn, mặt đỏ bừng và đầu trần.	Mr. Hynes üvegéből röppent ki a dugó, de Mr. Hynes pirultan, födetlen fővel csak ült az asztalon.	0.416667
Anh ta có vẻ như không nghe thấy lời mời gọi.	Úgy látszott, a kínálást sem hallja.	0.202703
- Khá lắm Joe!	- Joe, öreg fiú!	0.88
- Mr O'Connor nói, lôi đống giấy cuộn và túi thuốc lá của mình ra, đúng hơn là để che giấu cảm xúc.	- mondta Mr. O’Connor, cigarettapapírt halászva zsebében, és igyekezett visszanyelni érzéseit.	0.504839
- Cậu nghĩ thế nào về nó, Crofton? ~~~ - Mr Henchy kêu lên - Hay đấy chứ?	- Na, mit szólsz ehhez, Crofton - kiabált Mr. Henchy - nem nagyszerű?	0.330882
thế nào nào?	Mi?	-0.525
Mr Crofton nói đó là một bài thơ được viết rất hay.	Mr. Crofton elismerte, hogy igen kitűnő írásmű.	0.61117
Một Người Mẹ	ANYA	-0.48
Mr Holohan, thư ký trợ lý Hội Eire Abu 1, tất tả xuôi ngược khắp Dublin gần một tháng nay, tay và túi áo đầy những mẩu giấy nhem nhuốc lo chuẩn bị cho buổi hòa nhạc sắp tới.	Mr. Holohan, az Eire Abu Szövetség segédtitkárja hetek óta nyargalászott Dublin utcáin, mocskos irományokkal degeszre tömött zsebekkel, a hangversenysorozat érdekében.	0.826708
Một chân bị khập khiễng nên bạn bè gọi ông ta là Holoahn Thọt.	Fárad­hatatlanul rótta útjait, holott egyik lába béna volt; nem is hívták másképpen baráti körökben, csak Hoppsza Holohannak.	0.0652174
Ông chạy đi chạy lại, đứng hàng giờ nơi góc phố tranh cãi, thuyết phục, rồi ghi chép, nhưng rốt cuộc cuối cùng chính Mrs Kearney mới là người định đọat mọi chuyện.	Nyargalt és érvelt, órák hosszáig utcasarkokon írta jegyzeteit egyre mocskosabb papírokra, és végül Mrs. Kearney elintézett mindent.	0.33776
Miss Devlin đã trở thành Mrs Kearney một cách tình cờ.	Miss Devlint az emberi rosszindulat hajszolta bele a Mrs. Kearneységbe.	0.52987
Cô được giáo dục trong một trường dòng danh tiếng, nơi cô học tiếng Pháp và nhạc.	Előkelő zárdában nevelkedett, franciát és zenét tanult.	0.115789
Bởi cái vẻ trắng xanh từ bé và cung cách cứng rắn, cô có rất ít bạn bè ở trường.	Hűvös és hajthatatlan természetével alig lelt barátot az iskolában.	0.192537
Khi đến tuổi lấy chồng cô được cử đến rất nhiều nhà, và những bản nhạc cô chơi cùng với cái tháp ngà của cô vô cùng được ngưỡng mộ.	Mikor a férjhezadandók sorába lépett, föltűnt a dublini családoknál, ahol elefánt­csont­­tornyos modorát és zongoraművészetét riadt ámulat fogadta.	0.288
