VOLTAIRE	VOLTAIRE
Ánh long lanh loé lên trong mắt tôi át hẳn tia sáng long lanh của các vì sao, như những thi sĩ chỗ tôi từng ca ngợi.	és a szemeim milyenek voltak s a szempilláim és fekete szemöldökeim!
Những thị tì thay quần áo cho tôi đều phải ngây ngất khi nhìn phía trước hoặc phía sau của tôi.	milyen lángok lobogtak szemeim­ben, hogy elhomályositották a csillagok ragyogását is - igy mondták vidékünk költői.
Tất cả những người đàn ông có lẽ đều muốn biến thành những thị tì ấy.	Az asszonyok, kik öltöztettek és vetkőztettek, extázisban voltak, ha - akár elől, akár hátul - megtekintettek és minden ember szeretett volna az ő helyökben lenni.
"Về sau, tôi đính hôn với một ông hoàng tối cao xứ Massa-Carrara cũng đẹp như tôi, tính tình dịu hiền và khả ái, thông minh lại diễm tình.	Menyasszonya lettem Massa-Carrara uralkodó hercegének.
Đang khi tôi lên đến đỉnh điểm của hạnh phúc thì một bà hầu tước già, trước kia là tình nhân của ông hoàng ấy, mời ông đến nhà dùng sôcôla.	Már csaknem boldogságom pillanatához jutottam, midőn egy vén márkinő, ki hercegemnek szeretője volt, meghivta őt egy csésze csokoládéra: két óra alatt iszonyatos görcsök közt szenvedett ki a herceg: de ez még semmi.
Thân mẫu của tôi thất vọng và dầu không đau khổ bằng tôi, bà cũng muốn đi xa ít lâu để tránh nơi buồn thảm.	Gyönyörü birtoka volt Gaëta vidékén; egy hazai hajóra szálltunk fel, melyet oly dusan diszitett az arany, akár a római Szent Péter templom oltárát.
Bà có một thửa đất rất đẹp ở gần tỉnh Gaètes; mẹ con tôi dùng một chiến thuyền ra đi, một chiến thuyền mạ vàng như bàn thờ thánh Pierre ở La Mã.	Egy szalei kalóz üldözni kezd és utolér bennünket; katonáink ugy védekeztek, mint az a pápa katonáihoz illik; fegyvereiket eldobálva valamennyien térdre vetették magukat és könyörögtek a kalóznak, hadd vehessék fel a halotti szentségeket utolsó órájokban.
Bỗng nhiên một tàu cướp biển ở Salé xông tới và tràn ngập chiến thuyền của chúng tôi.	Egy-kettőre meztelenre vetkőztették őket, mint a majmokat, anyámat és az udvarnőket is, engem hasonlóképen.
Sau đó tôi mới hiếu rằng chúng muốn tìm xem chúng tôi có giấu hột xoàn không; đó là một tục lệ đã được đặt ra từ thời sơ cổ trong những nước bán khai mà dân chúng phiêu lưu ngoài biển.	Megtudtam, hogy a hithű maltai lovagok sem mulasztják ezt el, valahányszor törököket vagy török nőket ejtenek fogságba: oly köve­telménye ez a nemzetközi jognak, melyet sohasem sértettek meg.
Nhưng tôi không thể giữ được bao lâu: Bông hoa tươi thắm để dành cho ông hoàng xứ Massa-Carrara, nay bị tên tướng cướp biển chiếm đoạt.	Mondhatom, hogy Palestrina hercegnőjének és nekem nagyon erőseknek kellett lennünk, hogy kibirjuk mindazt, ami Marokkóba való érke­zésünkig reánk várt!
Chúng ta hãy bỏ qua những việc không đáng nhắc lại ấy.	de hagyjuk ezeket; olyan mindennapi dolgok ezek, hogy nem is érdemes róluk beszélni.
Chúng cướp kim cương, vàng bạc, rồi sau đến con người chúng tôi, mà chúng coi cũng là quý vật đáng giá.	Alighogy partra szálltunk, midőn egy, az én kalózommal ellenséges fekete csapat el akarta ragadni zsákmányát.
Họ đánh nhau cuồng nhiệt như những con sư tử, những con cọp, những con rắn địa phương; kẻ nào thắng thì được chiếm đoạt chúng tôi.	Az oroszlánok, tigrisek és kigyók dühével harcoltak: igy akarták eldönteni, kiknek jussunk a birtokába.
Một thổ dân nắm cánh tay mặt của mẫu thân tôi, trong khi viên phó thuyền trưởng của chiếc tàu chở tôi, giữ cánh tay trái; một binh sĩ địa phương giằng lấy một chân của bà, trong khi một tên giặc nắm lấy chân còn lại.	Egy mór ragadta meg anyámat a jobb karjánál fogva, egyik hadnagyunk viszont a balkarjánál fogva tartotta; egy mór katona egyik, egy kalóz a másik lábát ragadta meg: csaknem valamennyi udvar­hölgyünknek ez lett a sorsa, négy-négy katona huzta őket négy felé.
Những cảnh tượng rùng rợn như vậy cũng xảy ra trong suốt ba trăm dặm; vậy mà người ta không quên năm buổi lẽ cầu nguyện mỗi ngày, mà đức giáo chủ Mohamet đã truyền cho dân Hồi phải tuân theo.	Nagy nehezen elvonszoltam magam a vérző tetemek tömegéből és egy közeli patak mellett álló narancsfa alá menekültem; ott a rémülettől, kimerültségtől, borza­lomtól, kétségbeeséstől s éhségtől összeestem.
Liền đó tôi ngất đi trong một giấc ngủ dài giữa cái sống và cái chết.	Lassanként kábitó álomba merültem, mely inkább ájulást hozott, mint pihenést.
Chương XII	TIZENKETTEDIK FEJEZET.
CÂU CHUYỆN TIẾP VỀ NHỮNG ĐAU KHỔ CỦA BÀ GIÀ	Az öreg asszony tovább meséli viszontagságait.
"Tôi ngạc nhiên và sung sướng được nghe nói tiếng Ý, tiếng mẹ đẻ của tôi, và tôi cũng không kém ngạc nhiên về những lời thốt ra ở miệng người ấy; tôi đáp lại ông ta rằng còn có nhiều nỗi bất hạnh còn lớn hơn nhiều so với nỗi bất hạnh mà ông vừa than phiền.	"Elcsodálkoztam s egyben el is voltam ragadtatva anyanyelvem hallatára s nem kevésbé lévén meglepődve ezen ember szavai fölött, azt feleltem neki, hogy sokkal nagyobb szerencsétlen­ségek is vannak a világon, mint ami miatt ő panaszkodik; néhány szóval elmeséltem neki a kiállott borzalmakat és ismét elájultam.
Ông đưa tôi vào một nhà kế cận, cho tôi ăn uống, an ủi tôi, ca tụng tôi rằng ông chưa bao giờ thấy người đẹp bằng tôi.	"Nápolyban születtem, mesélte; ott évente két-háromezer gyermeket szoktak férfiasságuktól megfosztani: egyesek bele is halnak; némelyek még az asszonyoknál is szebb hangot nyernek; mások viszont az állam kormányzói lesznek.
- Tôi sinh tại thành phố Naples.	- Az én anyámnál!
Tôi la lên:	kiáltottam.
- Chính tôi đây!	- A te anyádnál!
- Chưa bao giờ hết!	- Soha, felelt a bárónő.
Y bán lại tôi cho một lái buôn khác; tên này lại bán tôi cho một người ở Tripoli.	Midőn az iszonyu pestis első dühöngése véget ért, eladták a dey rabszolgáit.
Ông ta chữa khỏi cho chúng tôi, và suốt đời tôi vẫn nhớ rằng, khi vết thương của tôi lành hẳn, ông ta gạ gẫm tôi.	Volt köztünk egy jámbor és résztvevő imám, ki megható beszédet mondott nekik s azt ajánlotta, hogy ne öljenek meg egyszerre.
Và còn gì ngu xuẩn bằng đã ghê tởm bản thân mình mà lại cứ khư khư giữ lấy nó; tay vẫn cứ vuốt ve con rắn độc xâu xé mình cho đến lúc nó ăn đến trái tim mình?	Nyo­mor­ban és megalázásban öregedtem meg és bár csak fél ülepem volt, gyakran visszaemlékez­tem arra, hogy egy pápa leánya vagyok: százszor is öngyilkos akartam lenni és mégis ragaszkodtam az élethez.
"Tại các xứ mà số phận đã bắt tôi đi qua, trong các tửu quán mà tôi làm kẻ hầu hạ, tôi từng thấy vô số kẻ chán đời cay đắng, vậy mà chỉ có được 12 người dám kết liễu đau khổ của họ: ba người mọi da đen, bốn người Anh, bốn người Genève, và một giáo sư Đức tên là Robeck.	Ez a nevetséges gyengeség talán egyike a leggyászosabb, velünk született hajlamoknak; mert van-e ostobább dolog, minthogy folytonosan viseljünk egy terhet, melyet szeretnénk földhöz vágni; melengetjük a kigyót, mely mardos bennünket, mig végre a szivünkbe eregeti mérgét.
Song cô đã gửi lại ký ức của tôi và có thông lệ trong khi con tàu đi xa là hành khách thường kể cho nhau nghe những câu chuyện của mình, cho đỡ buồn.	Legutóbb Don Issacarnak lettem szolgája: te melléd rendelt, bájos kis urnőm; azóta annyira hozzá nőttem a sorsodhoz, hogy sokkal jobban elfoglaltak a te viszontagságaid, mint a magaméi.
Tôi là người đã từng trải việc đời, tôi hiểu thế thái nhân tình.	Soha nem emlitettem volna szerencsétlenségemet, ha nem unszoltál volna rá és ha nem volna szokás, hogy a hajón unalomüzésből meséljen az ember.
Chương XIII	TIZENHARMADIK FEJEZET.
Cô Cunégonde nghe xong câu chuyện của bà già, bèn thi lễ với bà đúng theo nghi thức đối với cấp bậc quý tộc của bà và giá trị của bà.	A szép Kunigunda, miután meghallgatta az öreg asszony történetét, oly tisztelettel viseltetett vele szemben, amilyen egy magasrangu és érdemekben gazdag személyt megillet.
Cô cũng chấp nhận đề nghị của bà: cô yêu cầu hành khách lần lượt thuật lại cuộc đời của mình cho tất cả mọi người cùng nghe.	Ajánlatát elfogadta; az utasokkal, egyikkel a másik után elmeséltette élettörténetöket.
Chàng Ngây Thơ và cô phải chịu là bà già có lý.	Candide is, ő is belátta, hogy az öreg asszonynak igaza volt.
Tôi sẽ cảm thấy đủ sức khỏe để lễ phép đưa ra vài điều bác luận đối với ý kiến của ông".	Miközben valamennyien elmesélték élettörténetöket, a hajó előre haladt és Buenos-Ayreshez ért.
Tàu cập bến. Cô Cunégonde, đại uý Ngây Thơ và bà già đến viếng thăm Tổng trấn Don Fernando d’Ibaraa y Figueora y Mascarenes y Lampourdos y Souza.	Kunigunda, Candide kapitány és az öreg asszony egyenesen a kormányzóhoz: Don Fernando d’ Ibaraa, y Figueora, y Mascarenes, y Lampourdos, y Souzához mentek.
Điều ông hỏi cô trước hết là cô có phải là vợ đại uý Ngây Thơ không?	A nőket őrülten szerette s Kunigundánál - ugy tünt - még sohasem látott szebb teremtést.
Chàng không dám nói cô là vợ chàng và sự thật cô chưa phải là vợ.	Az volt első kérdése, hogy nem felesége-e Kunigunda a kapitánynak.
Chàng cũng không dám nói cô là em và điều này cũng không đúng nữa; lối nói dối như vậy rất hợp thời với người xưa và cũng còn có ích cho người đời nay nữa; song chàng Ngây Thơ có một tâm hồn trong trắng quá, khiến chàng không thể nói sai sự thật.	Olyan képpel kérdezte ezt, hogy Candide-nak arcába szökött a vér: nem merte azt mondani, hogy a felesége, mert hiszen nem is volt az; azt se merte mondani, hogy a nővére, mert nem volt az; és ámbár e hivatalos hazugság a régi világban is, az ujban is kapóra jön, az ő lelke sokkal ártatlanabb volt, mintsem hogy füllenteni tudott volna.
Don Fernando dlbaraa y Figueora y Mascarenes y Lampourdos y Souza vểnh râu mép lên, mỉm cười cay đắng rồi lệnh cho đại uý Ngây Thơ đi duyệt binh trong liên đội của chàng, chàng tuân lệnh.	Don Fernando d’ Ibaraa, y Figueora, y Mascarenes, y Lampourdos, y Souza bajuszát végig­simitva kajánul mosolygott s megparancsolta Candide kapitánynak, hogy azonnal menjen csapatszemlét tartani.
Vị tổng trấn ở lại với cô Cunégonde.	Candide engedelmeskedett: a kormányzó egyedül maradt Kunigunda kisasszonnyal.
Ông tỏ tình với cô, thề rằng ông yêu cô, ngay ngày mai sẽ làm lễ cưới với cô nếu cô chịu và hôn lễ sẽ cử hành ở nhà thờ hay theo bất cứ tục lệ nào khác mà cô muốn, sao cho xứng với sự quyến rũ của cô.	Bevallotta neki szenvedélyes szerelmét és ünnepélyesen igérte, hogy másnap örök hűséget esküszik neki a templomban vagy a templomon kivül, amint a leány jobban óhajtja.
Bà già trước kia đã đoán đúng là vị mục sư dòng François đã lấy cắp tiền bạc và châu báu của cô Cunégonde khi cô hấp tấp trốn tránh với chàng Ngây Thơ.	Az öreg asszony nagyon jól sejtette, hogy egy csuhás barát lopta el Kunigunda pénzét és ékszereit.
Vị mục sư ấy sau đem bán vài món báo vật cho một nhà kim hoàn.	Badajoz városában, midőn a lány Candide-dal lóhalálában menekült.
Nhà buôn bán này nhận ra được mấy món nữ trang mà vị Đại pháp quan đã mua để tặng cô Cunégonde người yêu… Thế là vụ lấy cắp đổ bể.	A barát néhány ékszert el akart adni egy ékszerésznek; az ékszerész felismerte bennök a nagy inkvizi­tor tulajdonait.
Rồi không bỏ mất thì giờ, người ta cho một cái tàu đuổi theo bọn cô, đến tận hải cảng Buénos-Ayres.	Kunigunda és Candide szökése közismert volt: Cadixig üldözték őket és haladék nélkül hajót küldtek további üldözésükre.
Tức thì có tin đồn vị pháp quan trên tàu có nhiệm vụ truy nã những kẻ sát nhân đã giết chết "Ngài Đại pháp quan của Tôn giáo Pháp đình".	A hajó már Buenos-Ayres kikötőjébe érkezett: elterjedt a hire, hogy egy spanyol biró szándékozik kiszállni és hogy a nagy inkvizitor őméltóságának gyilkosait üldözik.
Còn chàng Ngây Thơ?	TIZENNEGYEDIK FEJEZET.
Không còn một phút đồng hồ bỏ phí được nữa.	Hogyan fogadták Candide-ot és Cacambot Paraguayban a jezsuiták?
Người ta còn thấy hạng người này khá nhiều ở miền duyên hải Y Pha Nho và các thuộc địa. Y là người Y Pha Nho một phần tư sinh tại tỉnh Tucuman con một người lai.	Mindenféle foglalkozása volt már: minisztráns fiu, sekrestyés, matróz, barát, levélhordó, katona, lakáj; Cacambónak hivták, gazdáját nagyon szerette, mert ez felette jó volt hozzá.
Lúc nhỏ y là một lễ sinh trong dàn nhạc nhà thờ, sau làm người giúp lễ, rồi làm đủ nghề: thuỷ thủ, thầy tu, nhân viên phát thư bưu điện, đi lính, và làm bồi ngựa.	Egy-kettőre megnyergelte a két andaluziai paripát: "No most, gazdám, fogadjuk meg a vén asszony tanácsát; oldjunk kereket és ne is nézzünk hátra." Candide nem tudta visszatartani könnyeit: "Ó drága Kunigundám, éppen akkor kell téged itt hagynom, midőn a kormányzó ur össze akar adni bennünket.
Y tên là Cacambo, rất mến chủ vì chủ y rất tốt với y.	Ó Kunigunda, ki oly messziről kerültél ide, mily sorsra fogsz jutni?
Cacambo thắng yên cương gấp cho hai con ngựa giống tốt của chủ.	- Azt fogja tenni, amit tehet, mondá Cacambo; az asszonynép sohasem jön zavarba, gondol rá a jó Isten; de most már meneküljünk!
- Thầy ơi!	- Hova vezetsz?
- Hỡi Cunégonde yêu quý!	Hova megyünk?
Chúng ta hãy chạy lẹ lên.	Mit csinálunk Kunigunda nélkül?
Chúng ta sẽ tới đâu?	sóhajtá Candide.
- Mi đã từng ở xứ Paraguay chưa?	- Te már voltál Paraguayban?
- Cố nhiên là tôi đã ở đó.	kérdé Candide.
Chính phủ ấy thật là đáng khâm phục.	Csodálatra méltó ez a kormányzat.
Các cha sẽ hài lòng biết bao khi thấy một đại uý biết cách luyện binh theo lối Bảo Gia Lợi, đến giúp sức cho họ.	Hogy meg fognak örülni a lelki atyák, ha megtudják, hogy oly kapitányra bukkantak, ki érti a bolgár fegyvergyakorlatokat!"
Hai thầy trò đến giới tuyến đầu tiên; Cacambo bảo với người lính gác rằng có một vị đại úy muốn xin nói chuyện với ngài tư lệnh.	Mikor az első sorompóhoz értek, Cacambo tudtára adta az őrnek, hogy egy kapitány óhajtana beszélni a parancsnok úrral.
Trước hết chàng Ngây Thơ và Cacambo bị tước khí giới; người ta giữ hai con ngựa của họ lại.	Jelentést tesznek a főőrségen: egy paraguayi tiszt közli a parancs­nokkal az ujságot.
Vị tư lệnh ngồi ở trong cùng, đầu đội mũ ba khía, áo sắn tay, gươm đeo bên hông, tay cầm đoản thương.	Candide-ot és Cacambot először is lefegyverezték; elvezették a két andalúziai lovat.
- Thế bây giờ linh mục hàng tỉnh ở đâu?	"És hol van most a főtisztelendő tartományi főnök ur?
Viên trung sĩ đáp:	kérdé Cacambo.
Cacambo bèn nói: - Nhưng đại úy đây không phải người Y Pha Nho mà là người Đức.	- De - jegyezte meg Cacambo - a kapitány ur, ki velem együtt majd elszédül az éhségtől, nem spanyol, hanem német.
Viên Trung sĩ đi liền tới phòng của vị tư lệnh để thuật lại những lời của khách.	Nem falatozhatnánk addig, mig a főtisztelendő főnök ur megérkezik?"
Liền sau đó, người ta dẫn chàng Ngây Thơ vào trong một phòng của nhà lợp lá, trang trí bằng một cột cẩm thạch xanh, mạ vàng và những lồng cao nuôi đủ các thứ chim hiếm có.	Pompás ennivaló volt arany edényekben feltálalva, mig a benszülöttek szabad ég alatt, fatálakból fogyasztották a kukoricát az izzó nap hevében.
Một bữa ăn thịnh soạn được dọn ra, những món ăn đựng trong chén bằng vàng.	Később a főtisztelendő parancsnok atya belépett a lugasba.
Trong khi nông dân Paraguay ăn bắp nấu ở ngoài đồng nắng gắt, thì vị linh mục tư lệnh thết khách trong nhà mát ấy.	A parancsnok szép fiatal ember volt, piros szinü, telt arcu, fehér bőrü, ívelt szemöldökü, piros fülü, vérpiros ajku, büszke arckifejezésü, de büszkesége nem vallott sem spanyolra, sem jezsuitára.
- Vậy ra ông là người Đức sao?	"Tehát német vagy?
- Vâng, thưa Cha, đúng như thế.	kérdé a jezsuita németül.
Hai bên đối thoại với nhau bằng tiếng Đức và không nén được sự cảm động lẫn ngạc nhiên.	- Igenis, főtisztelendő atyám, mondá Candide." Ekkor mindketten nagy meglepetéssel és nem palástolható megindulással néztek egymásra.
- Ông ở tỉnh nào nước Đức?	- "És Németországnak mely vidékéről való vagy?
Vị linh mục hỏi.	kérdé a jezsuita.
- Thưa Cha, tôi ở tỉnh Westphalie bẩn thỉu. Tôi sinh trưởng trong lâu đài của Nam tước Thunder-ten-tronckh.	- Westphaliából, mondá Candide: a Thunder-ten-tronckh kastélyban születtem.
- Trời ơi!	- Óh egek!
Vị tư lệnh la lên.	lehetséges ez?
- Phép lạ kỳ diệu thay!	kiáltott fel a parancsnok.
Chàng Ngây Thơ la tiếp.	Miféle varázslat!
- Chính anh đấy sao?	- kiáltá Candide - Csakugyan te vagy az?
Linh mục hỏi.	kérdé a parancsnok.
- Không thể như thế được.	- Lehetetlen!
Lúc sau chàng Ngây Thơ nói tiếp:	te volnál az, tisztelendő atyám?
Nay lại thấy ngài là giáo sĩ dòng Tên ở Paraguay!	téged, a báró ur fiát, téged, a paraguayi jezsuitát!
Thế giới thật lắm chuyện lạ.	be kell vallani, hogy megfoghatatlan dolgok történnek e világon.
Than ôi!	Ó Pangloss!
Vị tư lệnh cho những tên nô lệ da đen và những kẻ hầu hạ bản xứ ra ngoài, để ông nói chuyện riêng với chàng Ngây Thơ.	A parancsnok eltávolitotta a néger és paraguayi szolgákat, kik kristályserlegekben szolgálták fel az italokat.
- Ngài sẽ còn ngạc nhiên gấp bội, xúc động trăm phần, nếu tôi báo tin ngài hay rằng cô Cunégonde em gái ngài vẫn còn sống, mạnh khỏe, trong khi có tin đồn cô bị mổ bụng.	"Még jobban elcsodálkozol, elérzékenyülsz és nem tudsz hova lenni a meglepetéstől, ha elárulom, hogy Kunigunda a te édes testvéred, kiről azt hitted, hogy fölmetszették a hasát, - a legjobb egészségnek örvend.
- Còn sống sao?	- Hol van?
Chương XV	TIZENÖTÖDIK FEJEZET.
CHÀNG NGÂY THƠ GIẾT ANH RUỘT CỦA NGƯỜI YÊU	Hogyan ölte meg Candide a kedves Kunigunda bátyját?
Khi quân lính Bảo Gia Lợi rút lui, tôi không còn thấy người em gái đáng quý ấy đâu nữa.	"Sohasem felejtem el azt a rettenetes napot, melyben atyámat és anyámat megölték és húgo­mat megbecstelenitették.
Và chúng bỏ lên một cái xe bò, má tôi, ba tôi và tôi, cùng hai nữ tì, ba người tớ trai nhỏ bị cắt cổ chết, rồi đem chôn chúng tôi trong tiểu giáo đường dòng Tên, cách xa lâu đài của chúng tôi hai dặm.	Mikor a bulgárok visszavonultak, nem tudtuk többé fellelni drága testvéremet és atyámat, anyámat, engem, két szolgálónkat, három megfojtott kis gyermeket szekérre tettek, hogy a jezsuiták kápolnájába temessenek bennünket, mely két mértföldnyire volt őseim kastélyától.
Thế là tôi được cứu khỏi chết và sau ba tuần tôi không thấy ông nữa.	Meggyógyitott és néhány hét mulva már egé­szen jól éreztem magam.
Vị linh mục trưởng cần tuyển một số thanh niên dòng Tên người Đức.	A rendfőnök urnak fiatal német jezsuitákra volt szüksége.
Vua xứ Paraguay tiếp dụng hết sức ít người Y Pha Nho dòng Tên; vua thích người ngoại quốc hơn để dễ bề làm chủ.	A paraguai főnökök nem szivesen látják a spanyol jezsuitákat; jobban szeretik az idegeneket, mert azt gondolják, hogy ezekkel könnyebben rendelkezhetnek.
Lúc mới đến, tôi được vinh hạnh làm chức phó tế và mang lon trung úy.	Megérkezésem után aldiakonná és hadnaggyá neveztek ki: ma ezredes és pap vagyok.
Nhưng có thật là Cunégonde em gái yêu quý của tôi, hiện nay ở dinh ông trấn thủ Buénos-Ayres không?"	Bátran szembeszállunk a spanyol király csapataival, jótállok érte, hogy kiátkozzuk és leverjük őket.
Cả hai người lại giàn giụa nước mắt.	Téged maga a Gondviselés küldött segitségünkre.
- Như vậy, chắc là chúng ta sẽ thắng trận, kéo binh vào thành phố ấy giải thoát cho Cunégonde.	De az én kedves Kunigundám csak­ugyan a szomszédságban van Buenos-Ayres kormányzójánál?"
- Đó là tất cả điều tôi mong ước, chàng Ngây Thơ đáp.	Candide esküvel bizonyitotta, hogy szent igaz, amit a leányról állitott.
- Mày muốn vậy sao, đồ hỗn xược, vị nam tước la lên.	A báró egyre ölelgette Candide-ot, testvérének, megmentőjének nevezte.
Mày lại dám trơ trẽn xin cưới em gái ta, một người có bảy mươi hai thế hệ quý tộc.	"Ó - mondá a báró - kedves Candide-om, bárcsak együtt vonulnánk be, mint győztesek, a városba és kisza­baditanánk Kunigunda hugomat.
Chàng đáp:	- Szemtelen!
- Thưa linh mục, tất cả những thế hệ quý tộc trên đời này không có nghĩa lý gì cả.	- felelt a báró - elég szemérmetlen volnál hozzá, hogy feleségül vedd az én hugomat, ki hetvenkét őssel dicsekedhetik!
Quân sĩ sẽ vào đây.	"Istenem, édes Istenem!
Hai thầy trò phóng ngựa chạy như bay khi Cacambo nói câu ấy.	Cacambo, ki a sorompó ajtajánál őrködött, hirtelen ott termett.
Họ cho ngựa ăn cỏ.	TIZENHATODIK FEJEZET.
Cacambo mời chủ ăn lót dạ và mình ăn trước để làm gương.	Milyen kalandjuk volt utasainknak két leánnyal, két majommal
Nói vậy, chàng không chịu ăn gì.	és az Oreillons-nevezetű vademberekkel?
Lúc mặt trời lặn, hai người đi lạc nghe những tiếng kêu nhỏ như tiếng phụ nữ.	Candide és lakája már tul voltak a sorompókon; a táborban még senki sem vette észre a német jezsuita meggyilkolását.
- Cám ơn Chúa, chàng nói.	Amig ezeket mondta, szakadatlanul evett.
- Tình nhân của hai cô?	- A szeretőit?
Mi nói giỡn sao?	Lehetséges volna?
- Thầy ơi, thầy thấy cái gì cũng cho là lạ kỳ hết.	tréfát üzöl velem, Cacambo; nem tudom elhinni!
Giống khỉ ấy có một phần tư là người cũng như tôi có một phần tư là người Y Pha Nho.	ők negyedrészben em­berek épp ugy, mint ahogy én negyedrészben spanyol vagyok.
- Than ôi!	- Teringettét!
Hai thầy trò ăn bữa chiều tại đây; và cả hai, sau khi nguyền rủa viên pháp quan Bồ Đào Nha, thủ trấn Buenos-Ayres và ngài nam tước, họ lăn ra trên một khoảng đất rêu phong mà ngủ.	Cacamboval együtt meg­vacsorált; és mindketten, miután megátkozták a portugál főinkvizitort, Buenos-Ayres kor­mány­zóját és a bárót, a pázsiton elaludtak.
Cacambo nói:	Jezsuita!
- Các ông ơi!	Minden jól van!?
Chàng Ngây Thơ hỏi.	mondá, milyen emberek!
Và đi đâu đây?	milyen szokások!
Vả lại làm sao mà giải quyết được vấn đề rời bỏ thế giới mà ở đó cô Cunégonde đang sống?	Ha a véletlen szerencse folytán nem szurtam volna keresztül kedves Kunigundám bátyját, irgalom nélkül megettek volna.
Thật ra đến Cayenne không phải dễ.	TIZENHETEDIK FEJEZET.
Hai người không biết rõ phải đi phía nào.	Candide és lakája Eldorádóba érkeznek; mit látnak ott?
Thế là họ có dừa nuôi họ sống và nuôi hy vọng cho họ.	- Hogyan térjünk vissza, mondá Candide, és hova menjünk?
Anh bảo với chàng Ngây Thơ:	Hazámba menjünk?
Hai thầy trò chèo thuyền trên sông, giữa hai bên bờ có chỗ hoa cỏ mọc, có chỗ khô khan, cằn cỗi, có chỗ phẳng phiu, có chỗ gồ ghề, càng đi càng thấy khúc sông rộng hơn.	- Menjünk Cayenne felé, mondá Cacambo; ott találhatunk franciákat, kik a világ minden tája felé mennek; ők majd segit­ségünkre lesznek: Isten szánakozni fog rajtunk."
Nhưng chiếc thuyền đụng vào sườn núi, bể tan ra.	- Jól van, mondá Candide; bizzuk magunkat a Gondviselésre."
Vài đứa trẻ trong làng bận quần áo bằng vóc, nhiễu, thêu vàng, rách tả tơi, đang chơi đáo ở đầu làng.	"No lám, mondá Candide, ez tán még Wesztpháliánál is többet ér." Cacamboval együtt az első faluban, mely utjokba esett, szárazföldre lépett.
Một hương chức bỗng ra kêu chúng vào trường học.	"Biztosan a királyi család nevelője," gondolta Candide.
Chàng Ngây Thơ liền nói: "Ông này chắc là thầy dạy các hoàng tử".	A kis nebulók rögtön ott hagyták a játékot, golyóikat és minden játékszerüket.
Cacambo cũng ngạc nhiên như chủ.	Cacambo épp ugy meg volt lepve, mint Candide.
Cacambo dòm vào cửa để nghe người trong nhà nói chuyện; anh nhận ra họ nói tiếng Pérou là tiếng mẹ đẻ của anh.	Amint Cacambo a kapuhoz közeledett, meghallotta, hogy perui nyelven beszélnek.
Xin lỗi hai ông, khi nãy chúng tôi đã cười vang vì thấy hai ông trả tiền bằng những thứ trải đường ở xứ chúng tôi.	Cacambo tolmácsolta Candide-nak a vendéglős beszédét és Candide ugyanoly csodálkozással és meghatottsággal hallgatta azt meg, mint ahogy Cacambo elmondta.
Có lẽ hai ông không có tiền bản xứ, song điều ấy không cần thiết khi các ông đến ăn uống ở đây.	"Miféle ország lehet ez, kérdé egyik a másiktól, melyről az egész világon nem tudnak semmit s melyben az emberi természet annyira különbözik a mi országunk szokásaitól!
Hai người nói với nhau:	Mit láttak Eldorádóban?
Các việc ở đây khác hẳn hoàn toàn các việc ở xứ ta.	Cacambo nagy kiváncsiságát nem palástolta el a vendéglős előtt.
Người Y Pha Nho biết rất mơ hồ về xứ này và đặt cho cái tên là xứ Eldorado.	Az aggastyán kissé elpirulva igy szólt: "Hogyan kételkedhettek ebben?
Sau chót chàng Ngây Thơ vẫn ham thích siêu hình học nên nhờ Cacambo hỏi cụ già trong xứ này có đạo không?	Azt hiszitek, hogy mi hálátlanok vagyunk?" Cacambo tiszteletteljesen megkérdezte, milyen vallás van Eldorádóban.
- Có thể có hai thứ tôn giáo chăng?	- Csak egy Istent imádtok?
Cacambo tiếp tục thông dịch những thắc mắc của chàng Ngây Thơ:	kérdé Cacambo, ki Candide kételyeit tolmácsolta.
- Dân chúng ở đây chỉ thờ một Thượng đế chăng? - Bề ngoài thì như thế, không có hai hay ba, hay bốn tôn giáo.	- Természetes, mondá az aggas­tyán, hogy nincs két Isten, sem három, sem négy: mondhatom, hogy mint más világból ide­szakadt emberek, nagyon különös kérdéseket tesztek."
Tôi thú thật rằng thế giới của các ông nêu ra nhiều vấn đề khá đặc biệt về tôn giáo.	Ám Candide fáradhatatlanul tovább kérdezte az öreget; kiváncsi volt rá, hogyan imádják az Istent Eldorádóban?
Chàng Ngây Thơ không ngớt hỏi cụ già đáng kính ấy nhiều điều khác nữa; chàng muốn biết dân chúng ở Eldorado có cầu nguyện Thượng đế không?	"Sehogysem imádjuk, mondá a jóságos és tiszteletre méltó bölcs, nincs mit kérni tőle, mindennel elárasztott, amire szükségünk van; folytonosan köszönetet mondunk neki."
Quý quốc không có những thầy tu để giảng đạo, để tranh luận, để cai trị tín đồ, và để hỏa thiêu những người không cùng ý kiến sao?	- Hogyan, nektek nincsenek barátaitok, kik tanitanak, vitatkoznak, kormányoznak, büvész­kednek és akik megégetik az embereket, ha más véleményen vannak?
