QUO VADIS?	Quo Vadis
De lassankint a folytonos magányosság is elviselhetetlenné lőn reá nézve.	Nhưng mặt khác, nỗi cô đơn cũng đã khiến cho chàng buồn chán.
E reménytől táplálva, néhány napi habozás után elhatározta, hogy válaszol Petroniusnak és habár még tétovázott, vajjon elküldje-e levelét, a következőt írta: "Azt akarod, hogy kimerí­tően írjak neked és én teljesítem kivánságodat.	Với niềm hi vọng ấy, sau vài ngày do dự, chàng quyết định dẫu sao cũng nên trả lời ông Petronius, và mặc dù vẫn không biết chắc mình có gửi bức thư trả lời cho ông hay không, chàng vẫn viết những dòng sau đây:
Beszéltem már a keresztényeknél való tartózkodásomról s arról a módról, miképp bánnak ellenségeikkel, akikhez kellett számítaniok engem és Chilont is, arról a jóságról, amelylyel ápoltak és végre Ligia eltünéséről.	Cháu đã bảo cho cậu biết việc cháu sống với những người Thiên chúa giáo, về cách họ đối xử với kẻ thù (họ có quyền liệt cả cháu lẫn lão Khilon vào loại đó), cũng như về tấm lòng nhân hậu mà cháu đã được hưởng khi được họ chăm nom săn sóc, và về việc Ligia lại biến mất.
Ezek olyan emberek, aminőket a világ még nem látott és tanításuk eddig még hallatlan volt.	Họ còn tha thứ được cho cả lão Khilon, mặc dù chính cháu đã khuyên họ nên đào hố chôn lão ngoài vườn.
Tudd meg azt is, hogy Ligia egészen olyan, mint a többiek.	Cậu nên biết rằng Ligia cũng giống như họ.
És éppen ez a Ligia mégis titokban elhagyta Miriam házát miattam.	Ấy thế mà chính nàng Ligia ấy lại giấu cháu mà rời bỏ nhà bà Miriam.
Ez most teljesen lehetetlen, Aulus és Pomponia jelenleg Sziciliában vannak, de ettől eltekintve, a rabszolgák hamar elterjesztenék a városban azt a hírt, hogy ismét visszatért kedves gyámszüleihez s az még a Palatinusig is elterjedne.	Nàng nói với cháu rằng điều đó không thể thực hiện được, vì gia đình nhà ông Aulux đã đi Xyxilia, và cũng vì rằng tin tức sẽ truyền từ nhà này sang nhà khác đến tận cung điện Palatyn qua miệng bọn nô lệ.
Ellenben tudta azt, hogy nem kell tovább félnie üldözésemtől, hogy tőlem távol van minden erőszakos cselekedet, tudta, hogy nélküle nem élhetek tovább, tudta, hogy kész vagyok őt házam fölkoszorúzott ajtaján át kisérni és neki a szentelt bőrön tűzhelyemnél helyet adni.	Tuy nhiên nàng cũng hiểu rằng cháu sẽ không theo dõi nàng nữa, rằng cháu đã vứt bỏ con đường dùng sức mạnh, và vì không thể thôi yêu nàng, không thể sống thiếu nàng, cháu sẽ rước nàng về nhà cháu qua cửa chính kết đầy hoa lá, mời nàng ngồi vào tấm da danh dự bên lò sưởi… Ấy thế mà nàng lại bỏ đi!
Krisztusról és az ő tanításáról szólt nekem és oly szívrehatólag beszélt, hogy azt hittem, szavainak akarata ellenére egész világunkat alapjaiban meg kell rendíteniök.	Ông ta nói hùng hồn đến nỗi cháu có cảm giác như mỗi lời ông ta nói vô hình chung đã phá nát tất thẩy nền móng cái thế giới của chúng ta.
Te természetesen azt az ellenvetést teszed, hogy tetszésétől függött engemet elutasítani s nem kellett menekülnie.	Hẳn cậu sẽ nói rằng nếu nàng có thể rời bỏ cháu thì nàng không cần phải trốn tránh làm chi.
De én azt válaszolom neked: És ha szeret?	Nhưng nếu nàng cũng lại yêu cháu thì sao?
Ha azért menekült, mivel engem szeret?	Khi ấy, nàng muốn trốn tránh tình yêu!
Erre a gondolatra szeretném rabszolgáimat Róma minden utcácskájába elküldeni azzal a parancscsal, hogy minden házba azt kiáltsák be: "Térj vissza, ó Ligia!" De én sem értem menekülését.	Chỉ nghĩ tới điều đó thôi, cháu đã muốn phái ngay bọn nô lệ đi khắp hang cùng ngõ hẻm của thành Roma, lệnh cho chúng gào to lên với tất cả mọi nhà: "Hỡi nàng Ligia, hãy quay về đi thôi!".
Az a tarsosi Pál, aki ugyan római polgár, de aki mint zsidó ismeri a régi zsidó írásokat, kijelenté, hogy a próféták már évezredekkel előbb hirdették a Megváltó eljövetelét.	Ông Paven xứ Tarxu là công dân La Mã nhưng gốc là người Do Thái, hiểu biết các sách cổ Hebrai, nói với cháu rằng việc Đấng Crixtux giáng sinh đã được các bậc tiên tri loan báo từ hàng nghìn năm trước.
Pál hite, hogy csak egy Isten van, nem pedig sok isten, nagyon helyesnek látszik.	Đấy, người ta vẫn chưa thôi bàn tán về Apolonius xứ Tania kia thôi.
Krisztus azért élt, azért halt meg a kereszten, hogy megváltsa a világot és föltámadt halottaiból.	Hình như cả đến ngài Xeneka cũng có ý kiến như vậy và trước ngài còn có nhiều người khác nữa cũng thế.
Tudod, mily forrón szeretem Ligiát, tudod, hogy nincs semmi, amit nem volnék kész megtenni érette.	Cậu đã biết cháu yêu Ligia đến mức nào, cậu hẳn biết rằng không có điều gì cháu không làm vì nàng.
Hiszen nekem Ligia drágább, mint egész Róma és annak hatalmi állása, a világ tönkre mehetne, ha kedvesemet házamba vezethetném.	Thực ra cháu quan tâm đến Ligia nhiều hơn toàn cõi La Mã cùng sự ngự trị của nó, cứ mặc cho nó sụp đổ đi, chỉ cần cháu có được nàng trong vòng tay là đủ.
Hidd el, a keresztények nem elégszenek meg szavakkal; aki hozzájuk csatlakozik, annak az ő tanításukat mindennél többre kell becsülnie, annak minden mást föl kell adnia.	Đối với họ, những người Thiên chúa giáo, đồng ý bằng lời thôi chưa đủ, còn cần phải cảm nhận được rằng chính thế mới là tốt và trong lòng không được có một thứ gì khác nữa.
Van valami természetemben, ami ez ellen a tanítás ellen fellázad és ha ajkaim dicsérnék is, ha követném is szabványait, szellemem és eszem mégis azt mondanák, hogy minderre csak a Ligia iránti szerelem vitt, hogy ha ő nem volna, a világon mi se lenne tőlem távolabb, mint ama tanítás követése.	Trong bản thân con người cháu có một cái gì đó bỉ báng khinh khi cái học thuyết này, dù miệng cháu có ca ngợi nó, dù cháu cố gắng tuân theo những quy chế của nó, song tâm hồn và trí óc cháu vẫn nói với cháu rằng cháu chỉ làm điều ấy vì tình yêu đối với Ligia mà thôi, còn nếu như không có nàng trên đời, thì không có điều gì trái ngược với con người cháu hơn là học thuyết đó.
Pétert értem, Krisztus első tanítványát.	Thế mà cậu có biết hai ông đã làm gì không?
Fölébredésemkor ott találtam mellettem, ágyamon.	Tỉnh dậy, cháu thấy nó ở cạnh giường.
Most a larariumban van és valahányszor hozzá közeledem - nem tudok magamnak számot adni erről az érzelemről - olyan tisztelet, olyan félelem fog el, mintha valami istenihez közeledném.	Hiện giờ, cháu để vật ấy trên bàn thờ gia thần và chính cháu cũng không rõ vì sao cứ đến gần nó là cháu lại cảm thấy kinh sợ, dường như trong đó có chứa chất một thứ gì thần thánh vậy.
A kereszt értékes reám nézve, mivel az ő kezéből származik, de egyúttal gyűlöletemet gerjeszti föl, mivel elválasztólag áll közöttünk.	Cháu yêu vật ấy, bởi vì chính tay nàng đã làm ra nó, nhưng cháu căm ghét nó, bởi nó chia cắt cháu với nàng.
Azt írod, hogy legutóbbi levelemből csüggetegség és levertség érzik ki.	Cậu có biết rằng bức thư trước của cháu phảng phất nỗi buồn và sự bất an.
Ne legyek-e csüggeteg, mikor ismét elvesztettem őt, ne legyek-e levert, mikor tökéletes változás történt velem?	Buồn là phải, bởi vì một lần nữa cháu lại để mất nàng, còn bất an, bởi vì trong lòng cháu có điều gì đó đang đổi thay.
Teljes komolysággal mondom neked, mi sem ellenkezik oly nagyon természetemmel, mint ez a tanítás és még sem ismerek többé magamra Ligiával való első találkozásom óta.	Xin thưa thật với cậu, không có gì trái ngược với bản tính của cháu hơn cái học thuyết kia, nhưng kể từ khi quen biết nàng, cháu không còn hiểu nổi bản thân cháu nữa.
És ezt Ligia tette, vagy inkább Ligia ama csodálatos tanítás által, amelyet követ.	Có lẽ chỉ mỗi mình nàng Ligia có thể làm được điều ấy, nói đúng hơn, nàng Ligia thông qua cái giáo thuyết kỳ lạ mà nàng được giác ngộ.
Mikor a keresztényektől visszatértem házamba, nem vártak engem.	Khi cháu rời họ quay về nhà, không một ai ngờ cháu trở về cả.
Hamarább várták volna a halált, mint engem és annak a megjelenése nem idéz elő olyan ijedelmet bennök.	Cậu đã biết cháu duy trì nhà cháu bằng bàn tay cứng rắn như thế nào rồi đấy.
Természe­tesen az első pillanatban vesszőkért és izzó vasakért akartam kiáltani, de aztán mindjárt nagy szégyen fogott el és elhiheted... mély szánalmat éreztem e sajnálatraméltó emberek iránt; vén rabszolgák is vannak köztük, kiket még nagyapám, M. Vinicius hozott Augustus korában a Rajna mellől.	Thoạt tiên cháu muốn dùng đến đòn roi và sắt nung đỏ, nhưng ngay sau đó, cháu bỗng cảm thấy xấu hổ và - cậu có tin hay không - cháu thấy thương thương những kẻ khốn khổ ấy, trong bọn có những lão nô già nua tuổi tác mà hồi mồ ma ông nội M. Vinixius của cháu - từ thời hoàng đế Auguxt đã được mang từ xứ sông Ranh về đây.
Nem birok többé úgy bánni a rabszolgákkal, mint ennek előtte, azt gondoltam: ők is emberek.	Song cháu đã không hề trừng phạt chúng, bởi vì cháu không thể nào trừng phạt chúng.
Két napig halálos félelem közt sompolyogtak be, abban a hitben: csak azért késlekedem, hogy a legkegyetlenebb büntetést gondoljam ki, de nem büntettem; nem büntettem meg őket, mivel képtelen voltam reá.	Ngày thứ ba, cháu cho gọi bọn chúng đến và bảo: "Ta tha tội cho các người, còn các người hãy cố gắng phục vụ thật mẫn cán để chuộc lại lỗi lầm!".
Végre harmadnap összehívtam őket és így szóltam hozzájuk: "Meg­bocsátok nektek; iparkodjatok szolgálatkészségtek által a bűnt kiengesztelni!" Könnyekre fakadva rohantak lábaimhoz, zokogva nyujtották felém kezöket és uroknak és atyjuknak neveztek, én pedig - szégyenlem neked megírni - szintén meg voltam hatva.	Nghe thấy thế, bọn họ liền quỳ sụp xuống, nước mắt ràn rụa kêu lên, hai tay vươn ra, gọi cháu là ông chủ, là cha đẻ, còn cháu - thật hổ thẹn nói điều này với cậu - cháu cũng xúc động.
Úgy tetszett, ebben a pillanatban Ligia édes arcát látom magam előtt és könnyes szemei köszönetet mondanak e tettért.	Cháu ngỡ như chính trong giây phút ấy, cháu trông thấy khuôn mặt ngọt ngào của Ligia và đôi mắt nhoà lệ của nàng đang cảm ơn cháu vì hành vi ấy.
A bocsánat, melyben őket részesítettem, nem teszi őket renyhékké, sem a fegyelmet nem lazítja meg, sőt ellenkezőleg, hálából nemcsak minden szolgálatra készek, hanem versenyeznek egymással, hogy legkisebb óhajtásomat is kitalálják.	Sự tha thứ mà chúng nhận được không những không làm chúng thêm táo tợn, không những làm kỷ luật thêm lỏng lẻo mà ngược lại, chưa bao giờ nỗi sợ hãi lại có thể khiến chúng phục dịch tận tuỵ như lòng biết ơn đã khiến chúng phục dịch.
Próbát tettem klienseimen is, kik, mihelyt megtudták visszatérésemet, üdvözlésemre siettek.	Giờ đây cháu thấy rằng trong một số trường hợp nhất định, câu nói ấy có thể đúng.
Tudod, hogy még soha se volt okuk panaszra szűkmarkúságom miatt, de atyám szándékosan roppant kevélyen bánt velök és arra tanított, hogy hasonlóképp bánjak velök.	Cháu cũng đã kiểm tra điều đó trong quan hệ với các vị khách, những kẻ hay tin cháu về vội vàng chạy tới để thăm hỏi.
Itt kétségtelenül varázslatok működnek!	Hẳn đây là bùa mê thuốc lú mất rồi!
Azt gondoltam, igen, bámulj csak, hogy soha se szerethetném Ligiát oly nagyon, mint amennyire szeretem, ha olyan volna, mint Nigidia, mint Poppaea, mint Crispinilla, vagy mint a mi többi elvált asszonyaink, ha olyan tisztátalan, olyan irgalmatlan és olyan könnyelmű volna, mint ezek.	Xin thổ lộ cùng cậu điều cháu nghĩ trong lúc đang còn nằm liệt giường: nếu như Ligia cũng giống như Ligiđia, như Poppea, Kryxpinila hay các mụ ly dị chồng của chúng ta, nếu như nàng cũng dung tục như thế, cũng buông tuồng như thế, hẳn cháu cũng không yêu nàng đắm say như cháu đang yêu.
Rómát azonban el nem hagyom.	Cháu không rời Roma đâu!
Nem, el nem hagynám Rómát, ha az Egiptom fölötti uralmat ajánlanák is föl számomra.	Cháu sẽ không rời khỏi Roma, dù người ta có cho cháu được cai trị cả xứ Ai Cập đi chăng nữa.
Élj boldogul."	Tạm biệt cậu!"
HETEDIK FEJEZET.	T1 - Chương 29
És tényleg ez a hir el is terjedt a városban és nagy örömet okozott a nép között, mely az előadások és a gabona és olajbogyó kiosztása után vágyakodott, melyekből Ostiában nagy készletet halmoztak föl.	Tin ấy đã loan khắp thành đô, gây ra một niềm vui sướng tràn trề trong những trái tim của đám dân đang ngóng trông thế vận hội và việc ban phát ngũ cốc cùng quả ô liu, những thứ đã được tích trữ rất nhiều tại Oxtia.
Helius, Nero szabadosa, végre csakugyan kihirdette a senátusban a császár visszatértét, de a császár nem sietett vele.	Rốt cục, Heliux, một nô lệ giải phóng của Nerô, đã loan báo tại Viện Nguyên lão việc Hoàng đế trở về.
Udvari kiséretével a misenumi hegyfoknál hajóra ült, de minden tengerparti városban kikötött, részint, hogy magát kipihenje, részint, hogy a különböző szin­házakban föllépjen.	Tuy vậy, cùng triều thần xuống thuyền tại mũi Mixenum, Nerô lại quay trở về rất chậm chạp, luôn ghé lại những thành phố ven bờ để nghỉ ngơi hoặc biểu diễn tại nhà hát.
Minturnaeben, hol nyilvánosan énekelt, csaknem husz napig tartózkodott, igen, még arra is gondolt, hogy újfent Nápolyba megy, hogy ott megvárja a tavaszt, mely minden jel szerint korábban látszott beköszönteni, mint egyébkor.	Suốt trong thời gian ấy, Vinixius nằm lì ở nhà, chàng suy ngẫm về Ligia và tất thảy những chuyện vừa mới xảy ra, còn đang chế ngự tâm hồn chàng, mang đến cho tâm hồn những khái niệm và tình cảm hoàn toàn xa lạ.
Ez egész idő alatt Vinicius magánosan élt házában, Ligiára gondolt és átgondolta azokat az élményeket, melyek reá zúdultak és egészen új eszméket ébresztettek benne.	Thoảng hoặc chàng mới gặp thầy thuốc Glaukox, người mà mỗi cuộc viếng thăm đều khiến chàng nao nức sướng vui, bởi vì chàng có thể được cùng ông trò chuyện về Ligia.
Csak Glaucust látta hébe-hóba, akinek látogatását mindig szivesen vette, mivel Ligiáról beszélhetett vele.	Thực ra ông Glaukox cũng không biết rõ nàng ẩn náu nơi đâu, nhưng ông cam đoan với chàng rằng các bô lão chăm lo cho nàng rất chu đáo.
Mikor ezt Vinicius hallotta, elsáppadt a benső fölindulástól.	Nghe vậy, chàng quý tộc trẻ tuổi xúc động vô cùng.
Túláradó háladatosságában legjobban szeretett volna tüstént Péterhez sietni és mikor megtudta, hogy az apostol nincs a városban, hanem Róma közelében hirdeti a szent tanítást, kényszeríté Glaucust, hogy őt az illető helyre kisérje, mivel gazdag ajándékot akar a szegény községnek adni.	Thoạt tiên, tràn đầy lòng biết ơn, chàng những muốn chạy ngay tới gặp ông Piotr; khi được biết hiện ông không có mặt trong thành mà đang đi thuyết giáo trong vùng, chàng bèn khẩn khoản nài ông Glaukox, xin ông đưa Đức Sứ đồ tới nhà chàng, chàng hứa sẽ phát chẩn hào phóng cho những họ đạo nghèo khổ nhất.
Azt hitte, minden akadály el van az útból hárítva, ha Ligia szereti őt, hiszen minden pillanatban kész volt Krisztus iránt tiszteletét kifejezni.	Chàng ngỡ rằng chỉ cần Ligia yêu chàng, tức khắc mọi chướng ngại sẽ bị đẩy lùi, bởi vì bản thân chàng lúc nào cũng sẵn sàng thờ phụng đấng Crixtux.
És habár Vinicius mindenre haragudott, ami útját állta, mégis az a meggyőződés tört benne utat, hogy Glaucus mint keresztény csak azt mondja, amit gondol.	Mặc dù mọi chướng ngại đều kích thích chàng, song Vinixius cũng bắt đầu hiểu rằng ông Glaukox - một tín đồ Thiên chúa - đang nói điều mà ông có nhiệm vụ phải nói.
Gyakran vágyakozott arra, hogy tarsosi Pállal beszéljen, akinek szavai ugyan megrendítek belsejét, de egyúttal a legnagyobb érdeklődést keltették benne.	Chàng cũng thường muốn được gặp ông Paven xứ Tarxu, những lời ông nói khiến chàng vừa thích thú vừa lo lắng.
Igy tehát ujra nyugtalanul kezdé bebarangolni a Suburában és a Tiberen túl fekvő utcácskákat, mindig azt remélvén, hogy Ligiát legalább távolról megpillantja.	Chàng lại bắt đầu lùng khắp các ngõ hẻm nối với khu Xubur và những phố nhỏ của khu Zatybre với hi vọng có thể được trông thấy Ligia, dù chỉ từ xa.
Ennek folytán korábbi természete lassanként ismét fölülkerekedett benne, a hullámhoz hasonlóan, mely újra kicsap a partra, amelytől visszatért.	Rồi tới một lúc, cái bản chất xưa cũ của chàng lại lên tiếng một lần nữa, với sức mạnh của một đợt sóng vừa rút khỏi bờ lại ùa vào ồ ạt lúc thủy triều lên.
Erőnek erejével el akarta Ligiát feledni, a világ forgatagába akart rohanni, ifjúságát akarta élvezni.	Chàng quyết chí sẽ quên Ligia, hay chí ít cũng sẽ tìm kiếm những lạc thú và điều hữu dụng khác ngoài nàng.
A télen csaknem egészen néptelen, kihalt város ismét új életet látszott nyerni arra a hírre, hogy a császár hamarosan megérkezik.	Thành phố mùa đông chết lặng và thưa thớt người bắt đầu nhộn nhịp trở lại với niềm hi vọng Hoàng đế sắp trở về.
Ünnepies fogadtatást akartak készíteni számára.	Người ta sửa soạn lễ đón Người thật long trọng.
Időközben a tavasz is elközelgett; az Afrikából jövő szél lehelletétől a hó olvadt az albai hegyeken.	Thêm nữa, mùa xuân đang đến: tuyết tan đi dưới hơi thở của những làn gió Phi châu thổi qua các đỉnh núi Anban.
A kertekben a gyepes helyeken ibolyák nőttek, a fórumok és a Campus Martius mindig emberek­kel voltak zsufolva, akik örvendtek a melegítő napsugaraknak.	Fora và cánh đồng thần Marxơ lại nhộn nhịp người ra sưởi nắng dưới vầng mặt trời đang mỗi ngày một ấm áp hơn lên.
A főúton, a városon kívül, a Via Appián, gazdagon diszített kocsik élénk közlekedése indult meg.	Trên đường Via Appia dẫn ra ngoại thành, tấp nập những cỗ xe trang hoàng vàng son lộng lẫy.
Kirándulásokat tettek az albai hegyekbe.	Người ta đã đi chơi tới tận dãy núi Anban.
Sok fiatal asszony, azon ürügy alatt, hogy Junónak Lanuviumban vagy Dianának Ariciában tiszteletét mutatja be, elhagyta otthonát, hogy a városon kívül társas mulatságokat, összejöveteleket és kalandokat keressenek.	Dưới danh nghĩa đi lễ các nữ thần Junon và Lanuvium hoặc Điana ở Aryxia, các thiếu phụ trẻ chuồn khỏi nhà, trốn ra ngoại thành tìm kiếm những ấn tượng mới, tìm kiếm bạn bè, những cuộc gặp gỡ và lạc thú.
Egy napon Vinicius a pompás kocsik közt Chrysotemist pillantotta meg Petronius fölséges kocsiján.	Nghĩ lại chuyện đó sau lúc tỉnh rượu chàng vẫn còn thấy bực tức.
Chrysotemis, aki a négy korinthusi pónit maga hajtotta, köröskörül mindenkit mosolyával boldogított és könnyed ütlegeket osztogatott arany ostorával.	Nàng thổ lộ rằng không những chỉ riêng ông Petronius mà cả tay nhạc công đàn luýt nọ cũng đã khiến cho nàng chán ngán từ lâu, và trái tim nàng hiện đang trống chỗ.
De mihelyt Viniciust észrevette, megállítá a lovacskákat, magához hivta őt a kocsiba és aztán házába egy ünnepségre, mely egész éjjel tartott.	Suốt một tuần liền họ cặp kè với nhau, nhưng mối quan hệ này không hứa hẹn một điều gì bền chặt.
Itt Vinicius úgy lerészegedett, hogy nem is tért eszméletre, mikor haza vitték őt.	Lúc nào chàng cũng có cảm giác đôi mắt nàng đang nhìn chàng, cảm giác ấy khiến chàng sợ hãi.
Mulatságaitól megundorodott, szemrehányásokat tett magának azok miatt.	Lạc thú khiến chàng kinh tởm và chỉ lưu lại trong chàng những niềm hối tiếc.
Életében először érzé magát bűnösnek, oly tény, amelyen ő maga is csodálkozott, mert az előtt soha, egy pillanatra se támadt az a gondolata, hogy valami, amit ő tesz, helytelen lehet.	Chàng cảm thấy mình là một kẻ khốn nạn, cảm giác ấy khiến chàng vô cùng kinh ngạc, bởi nỗi trước đây chàng cho rằng mọi thứ hợp với chàng đều tốt đẹp cả.
Eleintén szűkszavú volt a barátságos üdvözléssel szemben, amelyben részesült, de hirtelen nem tudott magán tovább uralkodni, a sokáig visszatartott érzelmek utat törtek, a szavak valóságos áradata özönlött szájából.	Gặp ông, mặc dù được chào đón niềm nở, chàng chỉ trả lời những câu hỏi nhát gừng của ông; song những tình cảm và nghĩ suy bị dồn nén chợt bùng lên, tuôn trào từ môi chàng thành một suối lời cuồn cuộn.
Többé semmi nem vonzza őt, semmi nem okoz többé örömet, többé nem tudja, mit tegyen, mit hagyjon abba.	Chàng chẳng ham muốn gì hết, ăn không thấy ngon, chàng không biết dựa vào cái gì và phải hành động ra sao.
Remény nélkül, valamely cél nélkül, a legnagyobb szorongásban tölt el egyik napot a másik után, hasztalan iparkodik kibontakozást találni ebből a zürzavarból.	Rốt cuộc chàng sống mà như không sống; không hy vọng, không ngày mai, không lòng tin vào hạnh phúc, chung quanh chàng là cả một đêm tối, chàng mò mẫm tìm lối ra mà không sao tìm thấy.
Míg Vinicius így beszélt, Petronius le nem vette szemét megváltozott arcáról, kezéről, melyet a fiatal katona kinyujtott, mintha a sötétségben az utat keresné, aztán fölemelkedett, hozzá közeledett és ujjával hajára mutatott.	Trong lúc chàng nói, ông Petronius nhìn nét mặt đã bị thay đổi của chàng, nhìn đôi bàn tay mà trong khi nói chàng cứ huơ huơ trước mặt một cách kỳ lạ, dường như chàng đang mò mẫm sờ soạng tìm lối đi trong đêm tối, và ông suy tư.
- Tudod-e - kérdé - hogy halántékodon megőszültél?	- Anh có biết rằng - ông hỏi - thái dương anh đã có vài sợi tóc bạc hay chăng?
- Meglehet - felelé Vinicius - nem csodálnám, ha az egész hajam megőszülne.	- Có thể lắm, - Vinixius đáp, - cháu không ngạc nhiên gì nếu cả đầu cháu bạc trắng hết.
De ama világnak, melyhez mind a ketten tartoztak, benső életét általában alig érinték a külső események, akár szerencsésen, akár szerencsétlenül alakultak azok.	Song nói chung cuộc sống trong cái thế giới cả hai đang sống, bên ngoài có thể hạnh phúc hay bất hạnh, nhưng bên trong thường vẫn yên ổn.
Valamint a vihar, a földindulás a legnagyobb templomot is megrázkódtatja alapjaiban, a balsors földúlhatta egy embernek külső életét, akinek benső élete mégis megőrzé egyszerű, összhangzatos bélyegét, szabad maradt minden külső befolyástól.	Sấm sét hay động đất có thể làm sụp đổ một thần miếu, rồi bất hạnh có thể làm xáo trộn cuộc đời, nhưng bản thân nó lại được tạo nên từ các đường thẳng và đường cong hài hoà, không một chút rối rắm.
De Vinicius szavaiból mégis egész más világnézet hangzott ki és Petronius először állt oly rejtvény előtt, melyet eddigelé még senki se tudott megoldani.	Nhưng lần này trong những lời nói của Vinixius có cái gì đó khác hẳn, và lần đầu tiên, ông Petronius gặp phải những cái gút tinh thần cho tới nay chưa một ai gỡ nổi.
- Itt varázslatok működnek - mondá végre.	- Đó có lẽ là bùa phép chăng?
- Én is azt hiszem - veté közbe Vinicius - nagyon gyakran úgy tetszett, hogy mind a ketten meg vagyunk babonázva.	- Cháu cũng đã từng nghĩ như thế, - Vinixius đáp.
- Mit szólnál hozzá - mondá Petronius - ha például a Serapis papjaihoz fordulnál?	- Nhiều lần cháu cảm thấy như cả hai chúng cháu đã bị nhiễm bùa mê.
- Varázslatok!	- Bùa phép ư?
Ezek a keresztények pedig szegénységben élnek, megbocsátanak ellenségeiknek, alázatosságot, erényességet és irgalmasságot parancsolnak; micsoda hasznuk lehetne tehát a varázslatokból, és miért használnák azokat?	Nhưng dân Thiên chúa giáo sống trong sự sùng tín, tha thứ cho kẻ thù, họ chủ trương chịu đựng, sống đức hạnh và nhân từ, vậy thì bùa phép có mang lại cho họ lợi lộc gì đâu, vì cớ gì họ lại phải dùng đến chúng cơ chứ?
Petronius bosszankodván amiatt, hogy erre a kérdésre nem találhatott feleletet, habár azt mégis elpalástolni igyekezett, mondá:	Ông Petronius bắt đầu nổi cáu vì trí óc ông không thể tìm ra điều gì để đáp lại, nhưng vì không muốn thú nhận điều đó, ông vẫn đáp lại, chỉ cốt để có câu trả lời.
- A keresztények új felekezet.	- Nhưng đó là một giáo phái mới…
Számláld csak össze ellenségeink számát: betegségek, a császár, Tigellinus, a császár versei, a vargák, kik a quirisek ivadékai fölött uralkodnak, a szabadosok, kik a senátus­ban ülnek.	Chỉ cần tính mà xem này: bệnh tật, Hoàng đế, Tygelinux, thơ phú của Hoàng đế, bọn thợ giầy đang cai trị cháu con của các vị Quyrit, lũ nô lệ mới giải phóng đang nghị bàn tại nguyên lão viện.
Kastorra, már ezek is elegendők nekünk.	Thề có thần Caxtor: Quá đủ rồi!
A keresztények pedig pusztulást okozó, undort gerjesztő felekezet.	Đó chỉ là một thứ đạo bẩn thỉu và hủy diệt!
Nem próbáltad meg magadat szomorúságodból kiragadni, az életet élvezni?	Anh hãy cố giũ bỏ những nỗi sầu thảm và tận hưởng cuộc sống một chút xem nào!
- Próbát tettem! - viszonzá Vinicius.	- Cháu đã thử rồi - Vinixius đáp.
- kiáltá most Petronius nevetve.	- Ôi, đồ phản bội!
Vinicius megvető kézmozdulatot tett.	Vinixius khó chịu phẩy tay.
- Minden esetre köszönetet mondok neked ezért - vette föl újra a szót Petronius.	- Dù sao cậu cũng xin cảm ơn anh, - ông Petronius nói tiếp - Cậu sẽ gửi cho cô nàng một đôi hài đính ngọc trai, trong ngôn ngữ ái tình của cậu, điều đó có nghĩa là "Xéo đi!".
- Kétféleképp vagyok most neked lekötelezve - először azért, hogy nem fogadtad el Eunicét és másodszor azért, hogy megszabadítottál Chrysotemistől.	Cậu biết ơn anh những hai lần cơ đấy, một lần vì anh đã không chịu nhận Eunixe, lần nữa vì anh đã giải thoát cho cậu khỏi Khowryzotemix.
És most halld, mit mondok neked.	Anh biết tại sao vậy không?
Egy embert látsz magad előtt, ki mindig korán kelt, megfürdött, evett, szatirákat írt, prózai irataiba néha verseket szőtt, aki azonban úgy unatkozott, mint a császár, és nagyon gyakran nem tudta, miképp menekülhet a komor gondolatoktól.	Vì rằng cậu cứ tìm kiếm ở đâu xa những thứ ở ngay gần bên cạnh… Đàn bà đẹp và đáng giá ngàn vàng nhưng đàn bà đẹp mà lại yêu ta thì hoàn toàn vô giá.
Azért azt mondom magamnak: "Fenékig akarom izlelni az élet örömeit, mint a legfölségesebb borral teli poharat, mely a földön van és addig akarom üríteni, míg kezem erőtlen, ajkam sáppadt nem lesz.	Bây giờ cậu tự nhủ: ta sẽ rót đầy cuộc đời bằng niềm vui sướng như rót vào đầy cốc loại rượu nho thượng hảo hạng, rồi ta cứ uống cho tới khi nào tay ta còn chưa bị liệt và môi ta chưa tái nhợt đi.
- Ez nem újság.	- Bao giờ cậu chẳng tuân theo nó!
- De most meg tudom neked okolni és erre az előtt képtelen voltam.	- Nhưng nó chứa đựng cái nội dung trước đây bị thiếu.
Petronius pedig kitárta karját és kiáltá:	Ông giang rộng vòng tay và gọi:
- Jer!	- Lại đây em!
Erre a leány hozzá sietett, mellé ült, karját nyaka köré fonta és fejecskéjét mellére támasztotta.	Bên nhau, họ tạo thành một nhóm tượng tuyệt vời của tình yêu và hạnh phúc.
- Boldog az, akinek a szerelem ily alakban nyilatkoztatja ki magát, mint nekem... Néha úgy tetszik, istenpár vagyunk... Valld meg, vajjon összehasonlíthatod-e ezzel komor keresztényei­det és ha nem érted a különbséget, lépj be közéjük.	- Còn bây giờ, anh thử nghĩ xem, những tín đồ Thiên chúa giáo tẻ ngắt của anh là cái gì nếu so sánh với cái này, và nếu như anh không thể hiểu nổi sự khác nhau ấy, thì xin anh cứ việc đi với bọn họ… Nhưng cảnh tượng này sẽ chữa lành bệnh cho anh.
Az ibolya-illat, mely az egész helyiséget betölté, csaknem bódítólag hatott.	Vì nể cậu, viên pháp quan đã không đòi hỏi sự hiện diện của nàng.
