STEFAN ZWEIG	KỲ THỦ
Más színű volt az ajtó, más szék állt a fal mellett, és a balsarokban üvegszekrény aktákkal, egy ruha­fogason három vagy négy katonaköpeny lógott, hóhéraim köpenye.	"Như vậy, tôi được nhìn thấy những đồ vật mới - cuối cùng, có cái mới – và cặp mắt tôi nhìn chăm chăm không dứt ra được.
Közelebb léptem, s úgy láttam, hogy a duzzadás négyzetes formájából helyesen következtetek arra a tárgyra, melyet a zseb magában rejt.	Tôi tiến lại gần và nhận ra qua lần vải giãn căng khổ hình chữ nhật của một cuốn sách.
Könyv van a zsebben.	Một cuốn sách !
Részegítőn, kábítóan hatott rám a gondolat; egy könyv, amelyben szavak láncolódnak, sorok, oldalak, lapok követik egymást.	Bốn tháng nay tôi không được cầm trên tay một cuốn sách nào và chỉ riêng sự hiện diện của nó cũng đủ làm tôi choáng người.
Szinte észre se vettem, és egyre közelebb kerültem hozzá.	Tôi gần như vô tình cứ sán sát lại bên chiếc áo bành tô.
Az őrnek szerencsére nem tűnt fel különös viselkedésem.	"May mà tên giám ngục không chú ý tới thái độ kỳ cục của tôi.
Szándékosan összekulcsoltam a kezem, hogy feltűnés nélkül megérinthessem a kabátot.	Bỗng một ý nghĩ lóe lên như tia chớp ở trong đầu tôi : cố xoáy cuốn sách này !
Megtapogattam az anyagot, és valóban valami szögletes tárgyra tapintottam rá, hajlékony volt és finoman zizegett - könyv volt!	Nếu xoáy được, nhà ngươi có thể giấu nó ở phòng nhà ngươi và đọc, đọc, đọc, đọc đi, đọc lại!
A kötetet a hátam mögött a nadrágomba csúsztattam, ott ahol az öv megtartja, és onnan lassan előrenyomtam a csípőm felé, hogy járás közben katonásan, a nadrágvarrásra simuló kézzel tarthassam.	Vẫn ở sau lưng tôi luồn nó vào thắt lưng và đẩy nhẹ tới ngang hông để khi đi tôi có thể giữ nó bằng cách kẹp tay sát mép quần như kiểu nhà binh.
Sikerült.	Ổn rồi.
Aztán következett a kihallgatás.	"Đến lúc tôi bị lôi vào hỏi cung.
Hála Istennek, ezúttal rövid ideig tartott a kihallgatás, s a könyvet épségben mentettem át a szobámba.	Cũng may, hôm đó buổi hỏi cung không kéo dài và tôi đưa được cuốn sách về phòng tôi.
Nem akarom a részletekkel untatni, mert megesett, hogy a folyosó kellős közepén csúszni kezdett a könyv lefelé a nadrágomban, s köhögési rohamot kellett színlelnem, hogy lehajolhassak, s újból fölnyomjam az övembe.	Tôi không muốn đi vào chi tiết nhưng một lần, lúc đi dọc hành lang nó đã tụt quá sâu thật nguy hiểm, tôi giả vờ như bị lên cơn ho dữ dội cúi gập người xuống và kín đáo đẩy nó giắt vào thắt lưng.
Bizonyára azt hiszi most, hogy mohón nekiestem a könyvnek, s egy szuszra kiolvastam.	"Chắc ông nghĩ rằng tôi liền lôi cuốn sách ra khỏi chỗ cất giấu để nhìn ngắm và đọc.
Korántsem.	Nhưng không.
Sűrűn legyenek a sorok, minden sorban sok-sok betű, sok-sok vékony lapja legyen a könyvnek, hogy minél tovább olvashassam.	Trước hết tôi ước mong sao sách in chữ thật dày, bài thật nhiều, giấy thật mỏng để tôi có nhiều cái mà đọc.
Azt kívántam, hogy olyan munka legyen, mely szellemileg megerőltet, nem pedig holmi könnyű olvasmány.	Cuối cùng, tôi không thể kìm nổi nỗi khao khát và lòng tò mò của tôi.
Inkább olyasvalami, amit kívülről tanulhat meg az ember, valami költemény, talán - még álomnak is merész volt - Goethe vagy Homérosz.	Tôi ra giường nằm ở tư thế sao cho nếu tên giám ngục có vào đột xuất thì cũng không thể tóm được, rồi run rẩy lôi cuốn sách giắt ở thắt lưng ra .
Zsákmányom, melyet ilyen hallatlan kockázatos úton szereztem meg, melytől olyan végtelen sokat vártam, nem volt egyéb, mint egy sakk-könyv; százötven mesterjátszma gyűjteménye.	Nếu không bị nhốt khóa trái cửa chắc trong cơn tức giận tôi đã quẳng cuốn sách này qua cửa sổ rồi, vì trời đất quỷ thần, tôi cần quái gì cái đồ sách chuyên luận này ?
Sakkozni nem lehet partner nélkül, még kevésbé figurák és tábla nélkül.	Đánh cờ mà không có đối thủ, lại chẳng có bàn lẫn quân thì đánh thế nào ?
Algebrának éreztem, melyhez nem találtam meg a kulcsot, csak lassanként jöttem rá nyitjára, hogy az abc betűk a függőleges sorokat, a számok pedig 1-8-ig a vízszintes sorokat jelölik, és a bábuk mindenkori állását határozzák meg.	"Dần dần tôi vỡ lẽ các chữ cái a, b, c chỉ các đường gọi là cột dọc, các số 1, 2, 3 chỉ các đường gọi là dòng ngang, và qua tọa độ cột dọc, dòng ngang có thể xác định vị trí của từng quân cờ trong ván cờ.
Megfelelően hajtogatva sikerült végül is hatvannégy kockát kapnom.	Tôi tự nghĩ là mình cũng có thể làm một bàn cờ và sau đó chơi các ván cờ này.
A könyvet elrejtettem a matrac alá, s kitéptem belőle az első oldalt.	Nhờ Trời, tôi nhận thấy vải trải giường của tôi là vải kẻ ô vuông.
A kenyérbél­figurák, melyeknek felét megkülönböztethetőség végett porral kentem be, hogy sötétek legyenek, tökéletleneknek bizonyultak.	"Tuy nhiên, thoạt đầu tôi không thể đánh trọn cả ván vì tôi dùng bụi lăn bột nặn quân "đen" nên cứ thường bị lẫn lộn.
Az első napokban minduntalan belezavarodtam, ötször, tízszer, hússzor is belefogtam ugyanabba a játszmába.	Cái ván đầu tiên ấy tôi phải đánh đi đánh lại đến năm, mười, hai chục lần.
Hat nap múltán már tökéletesen le tudtam játszani a partit, további nyolc nap múlva pedig már nem volt szükségem a kenyérbélfigurákra, hogy felelevenítsem az állásokat.	Tám ngày sau, tôi không cần các quân bằng bột mì cũng có thể hình dung vị trí các quân của đối phương trên bàn cờ.
A könyv üres, absztrakt jelei az a1, a2, c7, c3 homlokom mögött automatikusan vizuális, plasztikus helyzetekké alakultak.	Những kí hiệu a1, a2, c7, c8 lúc đầu xem ra rất trừu tượng đối với tôi lúc này cứ tự động được cụ thể hóa ra thành những hình ảnh thị giác.
A metamorfózis tökéletes volt.	Sự chuyển vị đã hoàn hảo.
További tizennégy nap múlva a könyv valamennyi játszmáját könnyedén, kívülről, vagy amint szaknyelven mondják, vakon játszottam.	Tôi đã nhớ rất rõ từng quân cờ, hình dung ra ngay từng nước đi một trong ván cờ nêu trong sách mà không cần đến bàn cờ.
Hogy kiélvezzem új foglalkozásom minden örömét, ettől fogva rendszeresen beosztottam az időt; két parti reggel, két parti délután, és este még egy gyors összefoglalás.	Với một trăm năm mươi ván cờ này, tôi có một vũ khí tuyệt vời chọi lại tính đơn điệu đến ngột ngạt của không gian và thời gian.
A sakkjátéknak ugyanis megvan az a csodálatos előnye, hogy az intellektuális energiákat egészen szűk körre korlátozza, s így a legmegerőltetőbb szellemi tevékenység után sem merül ki az agy, sőt inkább felélénkül, felfrissül.	Như vậy thời gian của tôi lúc nào cũng kín, chứ không kéo dài lê thê một cách vô ích, và lúc nào tôi cũng thấy bận rộn vì đánh cờ có cái hay là không bao giờ làm mệt đầu óc, ngược lại nó làm cho trí lực thêm linh hoạt và dẻo dai.
Megismerkedtem a támadásban és a védekezésben egyaránt kifejezésre jutó apró ravaszságokkal, cselekkel, fogásokkal.	Thoạt đầu tôi máy móc tuân theo sự chỉ dẫn nêu trong sách, sau dần dần đây là một trò luyện trí thông minh mà tôi rất thích.
Talán azt kérdezték magukban: vajon honnan, milyen titkos forrásból merít ennyi ellenálló erőt ez az ember, mikor a többiek egymás után törnek meg?	Chắc bọn chúng tự hỏi không hiểu sức lực đâu mà tôi đã kiên cường chịu đựng như vậy, trong khi những người khác chắc chắn đã phải khai.
Ez a boldog idő, amikor a könyv százötven partiját játszottam nap mint nap rendszeresen, mintegy két-három hónapig tartott.	Giai đoạn sung sướng tôi đã đánh đi đánh lại một cách có hệ thống một trăm năm mươi ván cờ kéo dài trong ba tháng.
Ekkor váratlanul holtpontra jutottam.	Sau đó, tôi lại bỗng rơi vào chốn hư vô.
Mi értelme lett volna újból és újból eljátszanom egy partit, melyet már régóta betéve tudtam, lépésről lépésre.	Nước trước vừa đi, nước sau đã bật ra ngay chẳng khó khăn, chẳng gây một niềm vui bất ngờ nào.
Hogy ismét lekössem a figyelmemet, s megint hozzájussak a hovatovább nélkülözhetetlen szellemi tornához, egy új sakk-könyvre lett volna szükségem, új játszmákkal.	Nhưng biết kiếm đâu ra tập hai vào lúc đó, nên tôi đã nảy ra ý định là tự nghĩ ra một ván cờ khác mà tôi tự đánh với bản thân mình hay nói đúng hơn tự mình đối đầu với mình.
De minthogy ez teljesen lehetetlen volt, nem maradt más kiút ebből a különös útvesztőből: a régi partik helyett újakat kellett kitalálnom.	Tôi không rõ ông có suy nghĩ tới trạng thái tinh thần khi miệt mài lao vào cái thứ chúa tễ các trò chơi này không ?
A sakk érdekessége éppen abban rejlik, hogy két különböző agyban különbözőképpen alakul ki a játszma menete, s hogy ebben a helyzetben, a fekete nem ismerheti előre a fehér szándékait, de kikövetkeztetheti és keresztezheti.	Cái thú của cuộc đấu trí này là bên đen không rõ bên trắng điều quân khiển tướng ra sao và cố đoán ý đồ của nó để chống lại, trong khi đó, bên trắng cũng muốn dò ý đồ bí mật của bên đen và tìm cách phá.
A fehér viszont a fekete titkos terveinek megvalósítását akarja megelőzni, ellensúlyozni.	"Nếu một người vừa đi các quân đen lại vừa điều khiển quân trắng thì tình huống rất mâu thuẫn.
Ha mármost a fekete és fehér egyazon személy, ebből az a képtelen helyzet áll elő, hogy ugyanaz az agy egy időben tud és nem tud valamit.	Làm sao một người vừa đi quân trắng xong thì phải quên ngay mục đích của nước đi đó để rồi lại đứng về phía quân đen đi nước tấn lại ?
Egyedül sakkozni éppen olyan paradoxon, mintha valaki saját árnyékát akarná átugrani.	Muốn đánh cờ với chính bản thân mình thì chẳng khác nào như người muốn bước đè lên bóng mình.
Dr. B. hátradőlt a nyugágyban, és egy percre lehunyta szemét, mintha erővel vissza akarná fojtani a gyötrő emléket.	Ông B. ngồi ngả người ra lưng ghế và nhắm mắt trong giây lát.
- Azt hiszem, eddig a pontig elég érthetően magyaráztam el mindent.	Chứng máy miệng đã làm tôi chú ý lại thấy xuất hiện nơi mép ông.
Új foglalatosságom ugyanis lekötötte minden figyelmemet, önmagammal már nem törődhettem.	"Tôi thấy câu chuyện của tôi kể lại từ nãy tới giờ xem ra rõ ràng dễ hiểu.
Az imént már említettem, milyen képtelenség szerintem egyedül sakkozni.	Tiếc rằng tôi không biết đoạn tiếp đây có được như vậy không.
Igazi sakktáblával, igazi figurákkal az ember betartja a gondolkozási időt, átül az egyik oldalról a másikra, s így egyszer a fekete, másszor a fehér szemszögéből nézi a helyzetet.	Chắc có lẽ tôi đã có một khả năng hết sức nhỏ nhoi thoát khỏi tình trạng căng thẳng đó nếu như bản thân đứng trước một bàn cờ thực sự để có thể dự kiến mọi tình huống trong không gian.
Kénytelen voltam - bocsásson meg, hogy ilyen képtelenségekkel fárasztom - a képzelet absztrakt mezején négy-öt lépést előre kiszámítani, ha fehér voltam, s ugyancsak négy-öt lépést, ha fekete voltam.	Trước đây khi chơi lại những ván nổi tiếng trong cuốn sách dạy đánh cờ, tôi chẳng qua chỉ thực hiện một việc sao chép và chỉ cần nhớ lại một câu hoặc một đoạn của quy tắc.
Tehát a játszma folyamán adódó helyzeteket mintegy két aggyal kellett végiggondolnom, a fehér aggyal és a fekete aggyal.	Đây là một hoạt động có giới hạn, có kỷ luật, một môn thể dục tinh thần tuyệt vời.
A mesterjátszmák megismétlése az előző hetekben csupán reprodukáló tevékenységet követelt, ismert anyag rekonstruálását.	Khi đánh có nhầm lẫn, có chỗ nào do dự thì đã có chỗ dựa là cuốn sách chuyên luận nên cũng chẳng bận đầu óc lắm.
És így semmivel se volt megerőltetőbb, mintha verseket tanultam volna kívülről vagy a törvénycikkeket.	Hoạt động này bổ ích đối với tôi vì người đánh cờ không phải là bản thân tôi.
Más értelmes tevékenységet pótolt számomra, s ahányszor tévedtem vagy megakadtam, s nem tudtam folytatni egy játszmát, csak a könyvhöz kellett nyúlnom.	Từ lúc tôi tìm cách đánh cờ với chính bản thân mình thì vô tình tôi đã đứng lên thách thức với chính bản thân mình.
De persze, mikor önmagam kezdtem játszani, kihívás volt ez mind a két énem számára, a fekete is, a fehér is versengeni kezdett, és szüntelenül győzelemre szomjaztak becsvágyukban.	"Nếu đối với một người bình thường sống trong những điều kiện bình thường thì chuyện đó chẳng có gì đáng để nói nhiều.
Két parti között szünetet tar­tot­tam, pihentem, de földúlt idegeim nem sokáig hagytak nyugodnom.	Vừa đi quân trắng xong, quân đen đã liền điên tiết xông đến đứng trước mặt tôi.
Reggeltől késő éjjelig nem gondoltam másra, csak futóra, bástyára, parasztra, királyra, a-ra, b-re, c-re, mattra, rochíro­zásra.	Toàn bộ con người tôi, toàn bộ sự nhạy cảm của tôi đều tập trung vào các ô cờ tưởng tượng.
Minden érzésemmel, gondolatommal együtt a kockás négyszögbe sodort a láz, s a játékból szenvedély lett, a szenvedélyből kényszer, rögeszme, frenetikus düh, mely nemcsak az ébrenlét idején kerített hatalmába, hanem behatolt az álom birodalmába is.	Đối với tôi, niềm vui được đánh cờ đã trở thành một ước vọng mãnh liệt, một ước vọng bị câu thúc, một sự ám ảnh, một cuồng nhiệt ngày đêm không dứt ra được.
Csak sakkban tudtam gondolkozni, sakk-lépéseken, sakk-problémákon keresztül.	Tôi chỉ nghĩ tới cờ, những vấn đề thuộc về cờ, những nước đi.
Néha verítékes homlokkal ébredtem fel, és észre­vettem, hogy álmomban öntudatlanul tovább játszottam.	Đôi khi, ngủ dậy tôi thấy trán mình đẫm mồ hôi, tôi liền nhận ra rằng tôi đã đánh cờ ngay cả trong lúc ngủ.
Ha emberekről álmodtam, azok is úgy közeledtek, mint a futó, a bástya, vagy pedig lóugrásokban.	Nếu nằm mơ khi ngủ, tôi nhìn thấy các khuôn mặt người di động theo kiểu các quân Xe, quân Mã, quân Tượng.
Azt hiszem, az utolsó kihallgatásokon elég homályosan fejeztem ki magam; a kihallgatást vezető Gestapo-emberek ugyanis többször döbbenten összenéztek.	Trong những lần cuối, khi ra tòa, tôi có cảm giác tôi diễn đạt khá lờ mờ, vì các thẩm phán đưa mắt nhìn nhau vẻ sửng sốt.
Mert mialatt kérdeztek és tanácskoztak, átkozott mohóságomban csak arra vártam, hogy visszavezessenek cellámba, hogy tovább folytathassam játékomat, az én őrült játékomat, hogy újabb partit kezdjek, s aztán még egyet és még egyet.	Sự thực là khi bọn họ tiến hành vặn hỏi điều tra và thảo luận thì tôi một mực tha thiết mong chong chóng được dẫn trở về phòng mình để lại bắt đầu trò chơi, cái trò chơi điên rồ của tôi.
Idegesített minden megszakítás.	Một ván và rồi lại một ván nữa.
Bármilyen nevetségesnek tartja, újból és újból rákiáltottam önmagamra: gyorsabban, gyorsabban!	"Tất nhiên mãi bây giờ tôi mới biết rõ tình trạng tâm thần đó đã mang tính chất bệnh lý.
Egyre fogytam, nyugtalanul aludtam, különös megerőltetésembe került reggel, hogy szememet kinyissam.	Khi dậy mí mắt tôi nặng như chì phải vất vả lắm mới mở mắt được.
Fel-le rohantam, ökölbe szorított kézzel, s vörös ködön keresztül érkezett el hozzám a hangom, amint rekedten, dühödten sakkot vagy mattot kiáltottam önmagamnak.	Tôi đi đi lại lại trong phòng, hai tay nắm chặt và tôi khi, tôi nghe phảng phất như qua một làn sương mù phớt đỏ giọng nói khàn khàn và độc địa của tôi gào lên : "Chiếu!" hay "Chiếu hết!".
Csak annyit tudok, hogy egyszer reggel nem úgy ébredtem fel, mint egyébkor.	Tôi chỉ biết là vào một sáng nọ, khi tỉnh dậy tôi thấy trong người khang khác.
Testem mintha levált volna énemről, lazán, lágyan, békésen pihent, hónapok óta nem tapasztalt sűrű, jóleső fáradtság nehezedett szempilláimra.	Cơ thể tôi như không phải là của tôi nữa, cơ thể tôi duỗi dài thoải mái, êm ái trong điều kiện tiện nghi thật dễ chịu.
- Álmodsz, nehogy kinyisd a szemed!	"Ông bạn đang nằm mơ !
Álmodjál tovább!"	Chớ mở mắt vội !
Igazi szoba volt, szélesebb, tágasabb, mint a hotel-cellám.	Ông bạn đang nằm mê, thôi cứ mê tiếp đi."
Egy nő lépett csendben hozzám.	Đây không phải là một giấc mơ.
Vad, szenvedélyes pillantást vethettem rá, mert szelíden leintett.	Tôi run lên vì vui thích : từ một năm nay tôi chưa nhìn thấy một phụ nữ nào.
Aztán ujját ajkai elé téve csendet intett, és halkan tovább ment.	Sau đó, chị đưa một ngón tay lên miệng chị rồi lặng lẽ bỏ đi.
Ahol egyébként a jobb kezem volt, csukló és az ujjak, valami idegen tárgyat éreztem, vastag fehér halmazt.	Tay phải bị bọc trong một bọc tướng màu trắng, đúng là tay bị băng bó.
Ismerte családomat, s olyan tisztelettel ejtette ki nagybátyám, a császár kezelőorvosának nevét, hogy mindjárt úgy éreztem, ez az ember a javamat akarja.	Ông biết họ tên tôi và khi nói tới bác tôi – bác sĩ của hoàng thượng, giọng ông đầy vẻ kính trọng nên tôi nhận ra ngay ông chỉ mong muốn điều tốt lành cho tôi.
- Lázálmában szüntelenül furcsa képleteket kiáltott: c3, meg c4.	"- Lạ thật, - ông khẽ nói, - khi mê ông đã thốt lên hàng trăm những công thức lạ lắm, như c3, c4.
Különös mosoly jelent meg az ajkán.	Ông mỉm cười, vẻ khác thường.
Egy kis akut idegzavar - s miután óvatosan körültekintett, halkan hozzáfűzte: - Hiszen nagyon is érthető.	– Và rồi sau khi đưa mắt thận trọng nhìn quanh, ông nói tiếp : - Vả lại, cũng dễ hiểu thôi.
"Nem csoda e mellett a módszer mellett.	"Tôi gật đầu như muốn đáp : "Vâng ạ".
No de, ne féljen, nem lesz semmi baj."	Nhưng ông đừng lo ngại.
Megnyugtató hangján, jóindulatú tekintetén éreztem, hogy jó helyen vagyok.	"Qua cách ông nói và nhìn tôi, tôi hiểu rằng mình đã gặp người tốt.
Két nap múlva a derék doktor meglehetősen nyíltan elmondta, hogy mi történt.	"Hai ngày sau ông bác sĩ tuyệt vời đã thành thực kể tất cả những gì xảy ra với tôi.
De alig jelent meg az ajtómban, rávetettem magam, s ilyesmit kiáltoztam vadul: "Lépj már, te gyáva, lépj már, te gazember!" Torkon akartam ragadni, s oly vadul estem neki, hogy segítségért kiáltott.	Nhưng khi gã vừa bước chân vào trong phòng, tôi liền nhảy bổ vào gã, miệng hò hét một cách hung dữ : "Thế nào, đi đi chứ, đồ tồi, đồ hèn!" Tôi cứ cố chồm lên định túm cổ gã, do đó gã đã phải kêu cứu.
Mikor roham közben orvoshoz akartak cipelni, kitéptem magam a kezeik közül, a folyosóablakhoz rohantam, kivertem az üveget, s akkor sebeztem fel a kezem.	Trong khi bọn chúng dìu tôi đến chỗ bác sĩ, tôi đã vùng thoát ra được và do đang trong cơn hoảng loạn, tôi lao vào một cửa sổ trên hành lang.
Ezt a tizennégy napot teljesen kitöltötték az utazással kapcsolatos formalitások - katonai iratok, rendőrség, adóív, útlevél, vízum, tisztiorvosi bizonyítvány - mindaz, amire egy volt világpolgárnak elutazás előtt manapság szüksége van, s így nem volt időm a történtek felett töprengeni.	Tôi phải viết giấy cam kết rời khỏi Tổ quốc mình trong vòng mười lăm hôm, và trong mười lăm ngày đó tôi đã phải làm đầy đủ hàng ngàn thủ tục cần thiết như ngày nay chúng ta phải làm khi muốn đi ra nước ngoài - giấy phép của bên quân sự, giấy phép của công an, hộ chiếu, dấu thị thực, giấy chứng nhận sức khỏe – do đó chẳng còn thời gian đâu nghĩ đến quá khứ.
Csak hetek múltán, s tulajdonképpen csak most, a hajón volt annyi bátorságom, hogy végiggondoljam, mi történt velem.	"Hẳn bây giờ ông đã hiểu rõ vì sao tôi đã xử sự bất lịch sự như vậy với bè bạn của ông.
Percekig tartott, míg rájöttem, hogy ami ott a sarokban folyt, az a játék volt, amit tehetetlenségemben hónapokon át egyedül játszottam.	Những con số mà tôi đã cố sắp xếp cho thích hợp vào giai đoạn luyện tập chưa thuần ấy chỉ là những ký hiệu của các quân cờ bằng xương.
Hiszen azok a betűk és számok, melyekkel szörnyű lelkitornáim idején sakkoztam, csupán a valódi figurákat pótolták és jelképezték.	Tôi ngạc nhiên nhận thấy rằng các nước đi của quân cờ trên bàn cờ tương ứng với các nước tôi đã đi trong trí tưởng tượng.
Úgy csodálkoztam azon, hogy ez a figura­tolo­gatás azonos az én testetlen fantázia-játékommal, mint ahogyan az a csillagász csodálkozhat, aki bonyolult módszerekkel kiszámítja papíron egy új bolygó pályáját, és aztán valóban megpillantja az égen fehér, ragyogó, valóságos csillag alakjában.	Chắc một nhà thiên văn cũng ngạc nhiên như tôi khi qua các con tính thông thái xác định được sự tồn tại của một hành tinh bỗng nhiên thấy hành tinh đó ở trên trời dưới dạng một vì sao có thực và lấp lánh.
Végig akartam nézni, hogyan folyik ilyen valódi játszma két partner között.	Dần dần do tò mò, tôi quên cả lễ độ liền tham gia vào ván cờ của các ông.
Teljesen ösztönös cselekedet volt, amikor visszatartottam, egy impulzív mozdulat, mint mikor az ember gondolkozás nélkül megragadja a korláton áthajoló gyereket.	Theo bản năng, không kịp suy nghĩ, tôi níu ông ta lại như ta giữ một đứa trẻ khi nó nhoài người khỏi lan can, chỉ sau đó tôi mới nhận thấy thái độ đó của tôi thật thô bạo".
Dr. B. idegesen intett:	Ông có vẻ lo ngại.
Remélem, nem gondolja, hogy azt hiszem magamról, hogy meg tudok mérkőzni egy sakkmesterrel, s méghozzá a világ első sakkmesterével.	"Tôi mong ông đừng nên đặt ra một cách nghiêm túc tham vọng là tôi đủ sức đọ với một nhà vô địch và sẽ quật ngã anh ta.
Csak az érdekel s az izgat, az a mondhatnám utólagos kíváncsiság, vajon sakkjáték volt-e, amit annak idején cellámban játszottam vagy őrület.	Điều tôi quan tâm duy nhất là muốn biết dứt khoát tôi đã thực sự đánh cờ khi còn ở trong phòng mình tại khách sạn hay tôi đã bị điên.
Vajon még a szakadék előtt állottam akkoriban, vagy átléptem már felette?	Tóm lại, tôi muốn biết rõ mình đã ở trong hay ở ngoài vòng nguy hiểm.
Ebben a percben megszólalt a hajón a gong, s vacsorára hívta az utasokat.	Đúng lúc ấy, một tiếng chuông nổi lên mời chúng tôi đi ăn bữa tối.
Csaknem két órán át beszélgettünk tehát a fedélzeten.	Cuộc trao đổi của chúng tôi kéo dài gần hai tiếng.
Dr. B. sokkalta részletesebben mondott el mindent, mint én most.	Ở đây, tôi lược đi rất nhiều câu chuyện ông B. đã kể lại với tôi.
Megköszöntem a bizalmát és elbúcsúztam.	Tôi nồng nhiệt cảm ơn ông B. rồi chào từ biệt.
De alig tettem néhány lépést, mikor utánam jött, és szemmelláthatólag izgatottan és kicsit dadogva a következőket mondta még:	Nhưng tôi chưa kịp rời khỏi cầu tàu đã thấy ông chạy theo và bồn chồn đến nỗi ấp úng mãi mới lên tiếng :
Kérem, mondja meg már jó előre az uraknak, nehogy utólag udvariatlan színben tűnjek fel, csak egyetlen partit játszom... ezzel le szeretném zárni a számlát.	Tôi không muốn bị coi là bất lịch sự lần thứ hai : ông làm ơn báo giúp hộ các ông ấy tôi chỉ có thể đánh một ván thôi, được không ông ?
Másnap, pontosan a megbeszélt órában találkoztunk a dohányzóban, a "királyi játék" két újabb rajongójával bővült.	Hai sĩ quan ở trên tàu là những người cũng mê đánh cờ đã được hưởng phép đặc biệt tới chứng kiến trận đấu.
Megkíséreltük ugyan a következő délutánokon együttes erővel rekonstruálni a partit, de hasztalanul.	Thực ra, hôm sau chúng tôi đã cố dựng lại diễn biến của trận đấu nhưng không thành công.
Valószínűleg mindannyian a játékosoknak szenteltük minden figyelmünket, nem pedig a játék menetének.	Chúng tôi đã chú ý tới hai đối thủ chứ ít để ý đến ván cờ mà chúng tôi không đủ khả năng theo dõi diễn biến.
A gondolkodás szinte fizikai megerőltetést jelentett számára, s szüksége volt minden érzékének, izmának és idegének összpontosítására.	Đối với anh, mỗi khi phải động não suy nghĩ anh coi đó là một nỗ lực về thể xác đòi hỏi phải tập trung toàn thân.
Mindig úgy történt, mintha már előre ismerte volna ellenfele lépését.	Xem ra ông luôn nhận rõ những ý đồ của đối phương.
Czentovic egyre hosszabb gondolkodási időt vett igénybe, s éreztük, hogy megkezdődött a harc az elsőségért.	Xzentôvic suy nghĩ lâu hơn, qua đó chúng tôi nhận thấy cuộc đọ sức khá căng.
De az igazat megvallva, a parti további alakulása, mint minden igazi bajnok-játék, bizonyos csalódást okozott nekünk, laikusoknak.	Nhưng phải thành thực mà nói, đối với bọn hãy còn non nớt chúng tôi, trận đấu đã làm chúng tôi thất vọng.
Mert minél bonyolultabb ornamentikává fonódtak egybe a bábuk, annál kevésbé tudtuk áttekinteni a helyzetet.	Các quân cờ càng tạo ra trên bàn cờ những đường lượn kỳ lạ thì chúng tôi lại càng ít hiểu rõ ẩn ý của chúng.
Nem láttuk, mit akar az egyik, mit a másik fél, s hogy kettőjük közül vajon melyik van előnyben.	Chúng tôi chẳng còn nắm được ý đồ của hai đối thủ cũng như chẳng rõ bên nào chiếm lợi thế.
Azt láttuk csupán, hogy egyik-másik figura, mint valami fogantyú elfordul, elmozdul a helyéről, hogy felrobbantsa az ellenség arcvonalát.	Chúng tôi chỉ thấy hai người đi quân hệt như mấy viên tướng điều binh cố chọc thủng phòng tuyến của đối phương.
No meg egyre jobban el is fáradtunk, főképpen Czentovic hosszú töprengései következtében, ami még barátunkra is szemmelláthatóan idegesítően hatott.	Ngoài sự ít hiểu biết, dần dần chúng tôi lại còn bị mệt mỏi, chủ yếu là do Xzentôvic suy nghĩ quá lâu.
Világos volt, hogy százszorta gyorsabban kombinál, mint a világbajnok.	Rõ ràng là ông tính các nước đi của mình một trăm lần nhanh hơn Xzentôvic.
Sebesen dolgozó agya minden bizonnyal jó előre kiszámította a partner minden lehetséges lépését.	Đầu óc ông suy nghĩ nhanh tới mức chắc ông đã biết rõ mọi khả năng của đối phương.
Minél lassabban határozta el magát Czentovic, dr. B. annál türelmetlenebb lett.	Do đó, Xzentôvic càng lần lữa trong quyết định thì ông B. càng sốt ruột.
Haragos, csaknem gyűlölködő vonás jelent meg összeszorított ajka körül.	Trong lúc ông phải chờ đợi như vậy, môi ông mím lại, vẻ phật ý gần như thù địch.
Némán meredt a táblára, s minél kevesebb bábu maradt a mezőn, annál tovább gondolkozott.	Quân cờ càng lác đác trên bàn cờ thì suy nghĩ của anh càng kéo dài buồn tẻ lặng lẽ.
Az egyik hajótiszt már elment, a másik könyvet vett elő, és csak minden új lépés után pillantott fel egy percre.	Một viên sĩ quan trên tàu đã bỏ đi, viên kia đọc sách và chỉ liếc mắt nhìn bàn cờ khi một đối thủ đi quân.
De ekkor Czentovic egyik lépésénél valami meglepő történt.	Đột nhiên xảy ra một sự việc rất bất ngờ, Xzentôvic đi quân.
Barátunk kijelentése tehát későbbi fejleményekre vonatkozhatik, melyet mi, dilettánsok nem tudtunk előre kiszámítani.	Chúng tôi liền quây quanh bàn cờ để xem xem thế đánh vừa rồi thế nào mà ông B. lại tuyên bố một cách đắc thắng như vậy.
Czentovic volt közülünk az egyetlen, akire a kihívás semmi hatást nem gyakorolt.	Thoạt đầu, chúng tôi chẳng thấy có gì đáng uy hiếp cả.
Eltelt három perc, hét perc, nyolc perc.	Chẳng có chuyện gì xảy ra cả.
Czentovic meg se mozdult, de nekem úgy rémlett, mintha vastag orrcimpái kitágultak volna a belső erőfeszítéstől.	Chiếc đồng hồ ở trên bàn để đo khoảng cách giữa hai nước đi phát lên những tiếng tích tắc giữa cảnh im lặng.
Heves, hirtelen mozdulattal felugrott, s fel-alá járt a dohányzóban.	Ông B. và chúng tôi rất khó chịu khi cứ phải chờ đợi.
