Jules Verne - André Laurie	Jules Verne & André Laurie
- Csak tessék!	- Tùy ngài muốn thế nào cũng được.
- Ha megengedi.	- Nếu ngài không phản đối.
- Hogyne engedném meg.	- Không mảy may - Người Anh đáp và đứng dậy.
- Hé, Ward, ez az úr szeretne önnel O’Donoghan Patrick-ról beszélni!	- Ông Uôrd, - Tuyđor Braun nói với người thủy thủ - Quý ông muốn hỏi thăm về Patric Ô Đônôgan.
- O’Donoghan Patrickról?	- Về Patric Ô Đônôgan?
- felelé a matróz, nyugodjék békével!	- Người thủy thủ già hỏi lại - Xin thượng đế hãy xóa cho vong linh của ông ta!
Elég bajunk volt vele, mikor kihalásztuk a tengerből valahol Madeira környékén.	Bởi vì đằng nào thì cũng đành thí mạng anh ta làm mồi cho cá kia mà!
- Ismerte őt régebb idő óta?	- Ông quen anh ta có lâu không?
- kérdé a doktor.	- bác sĩ hỏi.
- Azt a kötélrántót?	- Cái tên xỏ lá ấy à?
- Úgy másfél év óta.	- Ai gọi tôi đấy?
- Ha jól emlékszem, Zanzibarban kerültünk össze először.	- Một thủy thủ trẻ đang miệt mài dùng phấn đánh bóng những tay vịn cầu thang bằng đồng lên tiếng.
- Az az O’Donoghan Patrick úgy-e, a ki a tengerbe fúlt Madeira környékén?	- Patric Ô Đônôgan ấy à?
Schwaryencrona doktornak nem volt oka arra, hogy kételkedjék.	Thế thì đúng rồi, ông Uôrd, anh ta vào làm với chúng tôi ở Dandibar.
Megköszönte Tudor Brown szívességét, s meghívta őt ebédre, a ki fel és alá járt a hajó fedélzetén s fütyörészett.	Ông cảm thấy những người thủy thủ đây đều là những người trung thực thật thà.
Bredejord éppenséggel nem hitte, hogy Tudor Brownnak igaza van.	- Không, tôi không thể, tôi không bao giờ ăn trưa trong thành phố cả!
Az egész dolog fölötte gyanús volt neki.	Bác sĩ không còn biết làm gì nữa, bèn ra về.
E szerint O’Donoghan Patrick megtalálásáról szó sem lehetett, vagyis Erik származásának titkát még mindig sűrű homály borította.	Bằng chứng duy nhất của chuyến đến thăm lạ lùng này là tờ xác nhận về cái chết của Patric Ô Đônôgan còn để lại nơi bác sĩ.
Erik a világ minden kincseért sem panaszolta volna el szíve keserűségét a derék doktornak.	Bởi vậy, chú đã cam chịu mùa thu này sẽ vào học khoa y trường Đại học Upxal theo ý của bác sĩ.
Erik most is, hét évi egy fedél alatt való tartózkodás után olyan szemmel nézett a "kis tündér"-re; mint az első nap, mikor a doktor házába került.	Vả lại lòng chàng thanh niên bây giờ đang ngổn ngang nhiều mối lo âu nặng nề đến nỗi chàng cảm thấy như chỉ có thay đổi hoàn cảnh thì mới có thể thoát được.
Irígy szemmel nézte, hogy nemcsak a doktornak, hanem a ház két érdemes barátjának is csakhamar szemefénye lett, s őt csakhamar kiszorította a szivükből.	Nguyên nhân thúc đẩy Êrik đi đến quyết định đó là thái độ hằn học mỗi ngày một thêm tăng của cô cháu gái bác sĩ Svariênkrôna, Freken Kaisa, đối với chàng.
Féltékeny volt a "kis tündér" módfelett.	Ở bất kỳ chỗ nào cô ta cũng thế.
Legkivált pedig azt nem tudta Eriknek soha megbocsátani, hogy elvégre mégis csak közönséges halász-fiú, vagyis paraszt.	Chàng thanh niên cứ muốn nhất định giấu, không cho người đỡ đầu nhân hậu biết nỗi phiền lòng của mình.
Hát aztán mikor azt is megtudta, hogy Erik tulajdonképpen - talált gyermek.	Chàng thấy vô cùng khâm phục cô gái và cố hết sức để được thân thiện với cô.
Ha Erik megszólította, ajkát kicsinylőleg bigygyesztve, hallgatott.	Trong thâm tâm, Kaisa không tha thứ cho Erik về chuyện chàng xuất thân từ gia đình đánh cá và nông dân.
Egyszer odament hozzá, hogy felvilágosítsa őt igazságtalan, embertelen viselkedéséről, de Kajsa kisasszony feleletre sem méltatta, sőt meg sem hallgatta.	Một lần nọ, khi chàng quyết định giảng hòa với cô gái và buộc cô phải thừa nhận thái độ định kiến bất công và tàn nhẫn của mình, thì cô ta thậm chí không thèm nghe.
Minél inkább felserdűltek, annál tátongóbb lőn közöttük az űr.	Ở tuổi mười tám, Kaisa bắt đầu giao du rộng rãi.
Tömjéneztek neki, hódoltak a szépségének, mert hát a dúsgazdag Schwaryencrona egyetlen örökösének tartották.	Cảm giác bị làm nhục quá đáng mà bấy lâu nay chàng phải chịu đựng đã càng thôi thúc chàng hăng hái học tập.
Majd égő vágygyal feküdt neki tanulmányainak, s azt akarta, hogy eszével és tudásával magas polczra küzdje fel magát, kényszerítse a világot arra, hogy előtte mindenki tisztelettel hajtson fejet.	Vì vậy, Êrik đã quyết định hễ có cơ hội là rời bỏ ngay ngôi nhà mà cứ mỗi ngày chàng lại phải chịu đựng thêm một nỗi bực mình mới.
El, el kell abból a házból minél előbb mennie, hol minden nap új, meg új megaláztatást kell tűrnie.	Chỉ có điều phải thu xếp ra sao cho bác sĩ không đoán ra được điều gì cả.
Mikor az upsalai egyetemre beiratkozott, akkor már készen volt a terve: a legelőször kínál­kozó alkalmat megragadja és tengerész lesz.	Sau khi đã quyết định chuẩn bị cơ sở, lý lẽ cho việc ra đi, chàng trai thường nhắc đến ý định sau khi học xong sẽ tham gia vào một đoàn thám hiểm nào đấy.
TIZENEGYEDIK FEJEZET.	CHƯƠNG MƯỜI MỘT:
A "Végá"-ról írják nekünk...	BÀI BÁO VIẾT CHO CHÚNG TA TỪ TÀU "VÊGA"
A nagyhírű tudós utazónak hosszas tanulmány és előkészület után az volt a czélja, hogy az Atlanti és a Csendes-tenger között az észak-nyugati tengeri utat fedezi fel, melyet három századon át hiába kerestek.	Norđenshelđ đã thực hiện một ý đồ mới: Mở con đường Đông Bắc từ Đại Tây Dương sang Thái Bình Dương, đó chính là con đường mà suốt ba thế kỷ nay tất cả các nhà hàng hải đều tìm kiếm một cách công phu.
Nordenskiold 1878 július 21-ikén indult el a "Végá"-n a tromsoëi kikötőből, hogy Észak-Oroszország és Szibéria partvidékét érintve a Behring-szorosba jusson.	Ngày hai mươi mốt tháng bảy năm 1878 , Norđenshelđ rời cảng Tromxiô trên chiếc tàu "Vêga" dự định đi vòng từ phía bắc nước Nga phần Châu u và vùng duyên hải Xibir để đến eo biển Bêrinh.
A hajó kapitánya Palonders svéd tengerésztiszt volt, számos természettudós, geológus, orvos és csillagász csatlakozott Nordenskioldhoz.	Ba chiếc tàu chạy bằng hơi nước chất đầy than có nhiệm vụ hộ tống "Vêga" đến những mỏm xa nhất vùng đã được định trước trên vùng duyên hải Xibir.
A hajó, melyen elindultak, kitünő gyártmány volt, bőségesen felszerelték mindennel, a mi az észak-sarki utazásoknál szükséges.	Tất cả đều được trù tính cho hai mươi năm trên biển, cả trường hợp phải trú đông dọc đường.
Egy kábeltávirat, mely október 16-ikáról keltezve érkezett a "Végá"-ról, jelentette a világnak, hogy Nordenskiold expedicziójának első fele eredményes volt.	Ngày 7 tháng Chín, "Vêga" bỏ neo tại cửa sông Lêna và tại đây đã từ biệt chiếc tàu hộ tống chở than cuối cùng.
Nordenskiold Irkutskban tette postára a levelet, s teljes tiz hét kellett arra, hogy Stockholmba érkezzék.	Những lá thư từ tàu "Vega" gửi đi Irkutxk đồng thời với điện tín phải mất hơn sáu tuần mới về đến Xtôckhôm.
Ennek a napnak a reggelén Bredejord nagy hévvel olvasgatta a négy nagy hasábra terjedő közleményt, midőn hirtelen felugrott, még egyszer figyelmesen elolvasta azt a részt... Aztán magára rántotta a bundáját s mint a forgószél rohant Schwaryencronához.	Bỗng ông dừng lại ở dòng chữ đã khiến ngài trạng sư đáng kính nhảy chồm lên vì ngạc nhiên, ông chăm chú đọc, rồi đọc lại lần nữa rồi đứng phắt dậy, nhanh chóng mặc áo khoác ngoài bằng lông, đội mũ lông, phóng thẳng đến nhà bác sĩ Svariênkrôna.
- Olvastad a "Véga" tudósítását?	- Ngài đã đọc bài phóng sự viết từ tàu "Vêga" chưa?
- kiáltá nagy tűzzel az ebédlő ajtaját hatalmasan becsapva.	- Tôi mới chỉ bất đầu đọc thôi.
- Csak megkezdettem, majd reggeli után elolvasom.	- Thế là ngài vẫn chưa biết.
- Micsoda, te még nem tudod, hogy mit ir Nordenskiold, ... hogy mit ir... - kiáltá a jeles ügyvéd nagy léhhel-péhhel.	- Brêđêzhor nói tiếp, không kịp lấy hơi - ngài vẫn chưa đọc, chưa biết bài phóng sự nói gì à?
- No hát hallgass ide, most mindjárt... elolvasom neked:	- Nếu vậy thì hãy nghe đây!
"Július 30 és 31-ike.	"Ngày 30 và 31 tháng Bảy.
Bementünk a Jogoröbölbe, s partra szállottunk Chaborovo nevű szamo­jéd faluban.	Chúng tôi đi vào vịnh Jugorxk và thả neo ở gần làng Khabarôvô của người Nhenhét.
Mikor a halász a hajóból kiszállott, véletlenűl beleesett a vízbe.	Chúng tôi mua của một ngư dân Nhenhét hai con cá hồi tuyệt diệu..."
Haja rőt, orra belapult, a mellén, éppen a szíve táján ez a név van tettoválva: O’Donoghan Patrick, Cynthia..."	Phải thừa nhận là tôi không thấy sự hứng thú gì đặc biệt trong tất cả những tình tiết ấy...
Schwaryencrona doktor felkiáltott:	- Ồ, ngài không thấy có gì hay à?
- Hallgasd csak tovább!	- Xin ngài hãy đợi cho, đó chưa phải là hết đâu - Brêđêzhor nói.
- folytatá Bredejord.	Và ông ta đọc tiếp.
A chaborovoi halász egészen jól érezi magát.	Ngư dân ở Khabarôvô đã hoàn toàn bình phục.
Nagyon csodálkozott, mikor meg­tudta, hogy a "Véga" fedélzetén van; az a szándékunk vele, hogy magunknál tartjuk és tolmácsnak használjuk.	Ông ta rất ngạc nhiên khi tỉnh lại trên tàu "Vêga" lúc ấy đang trên đường đi đến mũi Tsheluskin.
Angolul olyanformán beszél, mint a yankee-ek, azt vallja magáról, hogy skót, s hogy őt nem O’Donoghan Patricknak, hanem Johnny Bowlesnek hívják.	Bởi vì kiến thức tiếng Nhenhét của ông ta có thể có lợi cho chúng tôi, nên chúng tôi thuyết phục ông ta đi cùng chúng tôi dọc theo vùng duyên hải Xibir.
- Megvan, ez bizonyára a mi emberünk!	- Đấy chính là người mà chúng ta đang tìm!
- kiáltott fel izgatottan a doktor.	- bác sĩ kêu lên với một sự hồi hộp không thể tả được.
- No úgy-e, hogy jól sejtettem, mikor a te titkos látogatód meséjét hazugságnak mondottam, mondá Bredejord.	- Ở đây có điều gì phải nghi ngờ đâu nhỉ?
- Eltagadta, hogy O’Donoghan Patricknak hívják s newyorki szállása­dójának a nevét vette fel.	- trạng sư trả lời - Tên tàu, hình dạng - tất cả đều trùng hợp.
- Hogy ejtsük módját a vele való találkozásnak?	- Nhưng làm sao tìm được ông ta ở nơi xa như thế?
- kérdé végre a doktor.	- cuối cùng, bác sĩ lên tiếng.
- A bizony egy kicsit nehéz dolog - felelte Bredejord.	- Dĩ nhiên không phải dễ.
Novaja-Semljában gyakran járnak svéd hajók, no meg a svéd kormánynak is szándéka Nordenskiold expedicziójának a támogatására hajót küldeni a Jenize öblébe.	Có thể là ông ta sẽ ở lại trên tàu "Vêga" cho đến khi kết thúc cuộc thám hiểm và, chính ông ta, khi trở về Xtốckhôm sẽ kể cho chúng ta nghe hết những gì đang làm cho chúng ta hết sức hồi hộp.
Ennek a kérdésnek tüzes vitatásába kezdett a két jó barát, midőn hirtelen és egészen váratlanúl Erik megérkezett Upsalából.	Nhưng, ngược lại, cũng không loại trừ khả năng là chẳng sớm thì muộn chúng ta cũng có dịp gặp ông ta.
Ő is olvasta a "Végá"-ról küldött tudósítást, s rögtön hazasietett.	Những câu chuyện về đề tài này không bao giờ thấy kết thúc được cả.
Nagyon izgatott és nyugtalan volt.	Hai ông bạn tiếp tục bàn cãi nhau nữa.
- Tudják önök, hogy mitől félek én?	- Hai thầy có biết con đang e ngại đều gì không ạ?
Nemde Nordenskiold azt mondta volt, hogy október elején már a Behring-szorosban lesz... Ha ez a reménye beteljesült volna, ő már rég Japán vagy a Péter-Pál-szigetek körül lehetne, vagy a Csendes-oczeán valamelyik szigetéről kaptuk volna tudósítását.	Nếu như ý đồ ấy đã được thực hiện thì chắc chắn chúng ta đã được biết tin rồi, bởi vì "Vêga" đã đến Nhật Bản hoặc ít nhất là cảng Pêtrôpavlôvsk ở quần đảo Alêutsk - một cảng trên Thái Bình Dương - từ lâu lắm rồi, từ đó nó có thể thông báo tin tức về bản thân nó chứ!...
Irkutskból küldött távirata és levele szeptember 7-ikéről vannak keltezve... s azóta három hónap telt el, a nélkül, hogy az expediczió sorsáról valami hír érkezett volna.	Nhưng điện tín và thư từ gửi qua Irkutxk đều đề ngày bảy tháng chín, điều đó có nghĩa là ba tháng nay chúng ta không biết chuyện gì đã xảy ra trên tàu "Vêga" cả.
Kérdés, vajjon elérkezett-e a Behring-szorosba... Avagy valami baj történt?	Đấy, con đã đi đến điều kết luận đáng buồn như thế đó!
A következtetés elég szomorú, de nem való­színűtlen.	- Tất nhiên, đây là một giải thích có tính chất an ủi.
- Nos mit kellene tennünk?	- Tại sao con nghĩ như vậy?
- kérdé aggódva a doktor.	- Đúng, điều ấy có lý.
- Csak azt tudom, hogy én olyan sokáig nem várhatok.	- Brêđêzhor trả lời.
Nekem okvetetlenül látnom kell O’Donoghan Patrickot... Mindenáron látnom kell!	- Bác sĩ hỏi, ông không yên tâm vì nỗi lo lắng không bình thường của Erik.
- De ha nem lehet!	- Như vậy con định làm gì?
Hátha reá bukkannék Nordenskioldra és - O’Donoghan Patrickra?	Con có thể đi đọc theo duyên hải Xibir được lắm!...
- Most, tél derekán?	- Đi vào giữa lúc mùa đông ư?
- Hát aztán?	- Thế tại sao lại không được ạ?
- Csakhogy mire te oda érnél, már nem találnál szánutat... Addig nyár lenne.	- Phải, nhưng con quên mất rằng con chưa đến được các nước Vùng Cực thì trời đã sang xuân rồi.
- Igaz - felelé Erik, ez az érv szeget ütött a fejébe.	- Đúng thế - Êrik thốt lên, buộc phải thừa nhận lời phản đối ấy có lý .
Irt névtelenűl egy czikket a stockholmi ujságban, s részletesen kifejtette, hogy Svédországnak kötelessége Nordenskioldot felkerestetni... hadd tudják: él-e vagy a jéghegyek közé szorult hajójával.	Bài báo đã được các tờ báo với những khuynh hướng khác nhau ủng hộ và được sự hưởng ứng tích cực chẳng những trong giới bác học, mà còn trong rộng rãi các tầng lớp nhân dân.
Nordenskiold expedicziója annyira szívén feküdt a svédeknek, hogy ez a czikk roppant fel­tü­nést keltett.	Dư luận xã hội đã nhất trí lên tiếng giúp đỡ cho việc trang bị cho đoàn thám hiểm đi cứu trợ.
Országszerte erről beszéltek.	Các ủy Hội được thành lập.
A tudós világ, a keres­kedők, a hajógyárosok - s íme, csakhamar közkivánattá vált, hogy Nordenskiold felkeresésére ujabb expedicziót kell útnak indítani.	Các công thương gia, sinh viên, công chức, mọi tầng lớp xã hội đều bày tỏ nguyện vọng tham gia vào công việc này.
A lelkesedés napról-napra növekedett, mindennap vártak tudósítást a "Végá"-ról, s hogy az nem érkezett, az expediczió lázasan szervezkedett.	Nhiệt tình xã hội vẫn mỗi ngày một tăng lên trong khi ngày tháng trôi đi mà từ nơi Norđenshelđ vẫn chưa thấy có tin tức đáng kể nào cả.
Egyik is; másik is tiz ezer koronát irt alá.	Mỗi người góp mười ngàn curon.
Bizottság alakult, melynek titkárává Eriket választották meg.	Họ đều là thành viên của ủy ban sáng lập mà Êrik được bầu làm thư ký.
Az ő lángoló buzgalma, szakértelme, előzékeny, kedves modora mindenkit megnyert, s hova-tovább súlya lett minden szavának.	Sự hăng hái, cần mẫn và am hiểu của chàng trong mọi việc chuẩn bị của đoàn thám hiểm đã giúp chàng nhanh chóng có uy tín trong mọi người.
Elejétől kezdve elárulta abbeli vágyát, hogy az expediczióban ő maga is részt akar venni... mindegy neki, ha egyszerű matrózként csatlakozik is az expediczióhoz, csak ott legyen.	Ngay từ những ngày đầu tiên, chàng thanh niên đã không che giấu sự quan tâm của cá nhân mình đối với kết quả công việc và nguyện vọng được tham gia đoàn thám hiểm, dù chỉ với tư cách thủy thủ thôi.
Éjjel-nappal dolgozott az előkészületi munkálatokon; az expediczió szervezésének valósággal ő volt a középpontja.	Tất cả những điều đó càng làm tăng thêm tính thuyết phục cho nhiều kiến nghị mà chàng gửi lên ủy ban sáng lập xem xét.
Erik sokáig töprengett azon, hogy a két hajó közül, melyikre szálljon: a "Nordenskiold" vagy az Alaská-ra, végül is ez utóbbit választotta.	Thân tàu có lớp sồi bảo vệ, ngoài ra còn được gia cố bằng những chiếc đà ngang nhằm tăng thêm sức chịu ép của băng.
Kérdés, vajjon olyan szerencsés lesz-e, mint a "Véga" volt útjának első felében.	Chiếc tàu mới mua được đặt tên "Aljaska" là nơi nó phải tới.
Erik nemcsak Nordenskioldot kereste, hanem O’Donoghan Patrickot is, már pedig ennek hamar kell megtörténnie, nem szabad visszariadni semmi akadálytól.	Nhờ vậy, có thể tăng thêm gấp đôi cơ hội tìm thấy đoàn thám hiểm Thụy Điển, nếu nó bị lâm nạn hoặc phát hiện được dấu vết của nó, nếu nó bị đắm.
Az Alaska legénységét úgy választották meg, hogy a jégsivatagon akár szán-utaktól se riadjanak vissza, a legdermesztőbb fagyot is kiállják.	Trong lúc một tàu đi theo dấu vết của đoàn thám hiểm Norđensheld thì chiếc kia sẽ đi theo hướng khác để gặp nhau.
Gondoskodtak meleg ruhákról, a matrózok izlandi meg grönlandi halászokból kerültek ki.	Êrik được cử làm phó thuyền trưởng thứ nhất của ông, với cấp bậc sĩ quan trưởng.
Kapitánya egy svéd tengerésztiszt volt, Marilosnak hívták, melléje Eriket választották meg első tisztnek, nemcsak azért, mert az expediczió szervezésében páratlan buzgóságot fejtett ki, hanem azért is, mert hajóskapitányi diplomája révén erre jogot tarthatott.	Chàng được cử giữ chức vụ này vì ủy ban sáng lập đánh giá thấy chàng đã tỏ rõ nghị lực của mình trong việc chuẩn bị cho cuộc thám hiểm và lưu ý tới việc chàng đã có bằng tốt nghiệp thuyền trưởng tàu viễn dương.
A második meg harmadik tiszti állást két kipróbált tengerészszel töltötték be: Boslwitz és Kjellquist volt a nevök.	Các thủy thủ từng trải Bôzevit và Kelkist được quyết định làm các hạ sĩ quan.
A skorbutellenes szerek nagy bőségben valának a hajón; gondoskodtak olyan készülékről, mely egyenlő hőmérsékű meleget fejleszt; a főárboczon egy le és fel mozgatható megfigyelő állomáskát ké­szítettek, amolyan kosárfélét, melyben egy ember elhelyezkedhetett, s a jéghegyeket nézhette, hogy a kellő időben jelt adván, a hajó kikerülhesse.	Chiếc lò sưởi trên tàu phải giữ nhiệt độ điều hòa trong các phòng ở trên suốt chặng đường đi, còn đài khí tượng sách tay với tên gọi "tổ quạ" được kéo lên đỉnh cột buồm cái, dùng để báo hiệu cho sự xuất hiện của những tảng băng trôi.
Ugyanitt Erik javaslatára hatalmas villamos fény-lámpát helyeztek el, mely az Alaska útját éjjel megvilágította.	Theo đề nghị của Êrik, người ta đã trang bị cho đài khí tượng một đèn pha mạnh lấy điện từ động cơ chạy bằng hơi nước.
Továbbá szánokat, grönlandi kutyákat, hó-talpakat szereztek be.	Đèn pha này dùng để rọi đèn cho "Aljaska" về ban đêm.
Erik megirta nekik, hogy minő fontos érdek készteti őt erre az útra.	Nhờ sự giúp đỡ của bác sĩ và Brêđêzhor, cả ba đều được nhận lên tàu.
Az ám, csakhogy a költségek már mind felemésztették az összegyült pénzt.	Đành phải tiến hành thêm một cuộc quyên góp cho số tiền thiếu hụt ấy.
A másik levélben huszonötezer koronáról szóló bankutalvány volt s ez a néhány sor:	Trong lá thư thứ hai có tấm séc hai mươi lăm ngàn curon và dòng chữ ngắn gọn:
TIZENKETTEDIK FEJEZET.	CHƯƠNG MƯỜI HAI:
Másnap Malárius is megérkezett Stockholmba.	Một lý do như thế khó mà tìm được.
Jelentkezett az expedicziót rendező bizottságnál, s kérte, hogy vegyék őt is fel az Alaskára.	Nhưng ở đây lấy đâu bằng chứng về sự độc ác của Tuyđor Braun?
Az egyszerű falusi tanítónak, mint botanikusnak kiváló hire volt a tudományos világban s így kérését szivesen teljesítették.	Đó là điều chính đáng mà ủy ban đặt ra trước khi định từ chối một món có thể giúp cho đoàn thám hiểm vượt qua nhiều khó khăn.
Bezzeg másként állott a dolog a huszonötezer koronát küldő Tudor Brownnal.	Tyuđor Braun chứng minh sự thành khẩn của mình chả khó gì.
A dolog egy kissé kényes volt; először is nehéz vala oly te­kintélyes összeget visszautasítani, másodszor még nehezebb lett volna okát adni annak, hogy kivánságát nem teljesítik.	Có thể ông ta muốn kiểm tra xem Patric Ô Đônôgan đã bị chết thật trên tuyến đường Mađâyra chưa, hay anh vẫn còn nguyên vẹn ở vùng duyên hải Xibir!
Hátha ő is azért akart velök együtt útra kelni, hogy megbizonyo­sodjék a felől: vajjon csakugyan él-e O’Donoghan Patrick?	Đó là lý do tại sao bác sĩ và Brêđêzhor đã quyết định không cản trở việc để cho Tuyđor Braun có mặt trên tàu "Aljaska".
Szóval nagyon élénk vita fejlődött ki ebben az ügyben a bizottság ülésén, s végre elhatározták, hogy Tudor Brown kérését teljesíteni fogják.	Sau đó, dần dần họ đã cố ý muốn sáp tới gần đối tượng lạ lùng ấy hơn để tìm hiểu xem hắn ta cần nhập vào đoàn thám hiểm để làm gì.
Stockholmban most már mindenki csak arra volt kiváncsi: vajjon Hochstedt tanár úr mikor jelenti ki, hogy ő is csatlakozik barátjaihoz.	Việc làm ấy của ông hóa ra đã lan sang cả Brêđêzhor, một người đã lừ lâu ước mơ được đi đến vùng mặt trời không bao giờ khuất bóng.
Mert azt csaknem lehetetlenségnek tartották, hogy a kiváló professzor elszakadjon annyi időre testi-lelki jó barátaitól.	Và, đến lượt mình, ông đã yêu cầu dành cho ông một phòng cũng với điều kiện như vậy.
Hochstedt sokáig fontol­gatta: menjen, maradjon-e?	Nhưng, những hy vọng của Xtốckhôm đều không đúng cả.
Az elindulás napját február 10-ikére tűzték ki.	Ngày 9, Êrik chờ đón ngài Maljarius.
Erik 9-ikére várta Malárius mestert, jól esett szivének, midőn látta, hogy a derék öreggel Kata asszony és Vanda is eljöttek Stockholmba.	Sung sướng biết bao nhiêu khi chàng gặp ở nhà ga không những chỉ có thầy giáo, mà còn cả bà Katrina cùng với Vanđa nữa.
Azért jöttek, hogy Eriktől elbúcsúzzanak.	Họ đáp xe lửa đến đây để tiễn chân chàng đi xa!
Egy korcsmában szállottak meg, de a doktor hallani sem akart erről, beszállásolta őket erőnek erejével magához.	Họ đã khiêm tốn nghỉ chân ở khách sạn, nhưng bác sĩ quyết định yêu cầu họ chuyển ngay về ở trong nhà mình.
Kajsa kisasszony szörnyen fintorgatta az orrát, hogy ilyen közönséges vendégeket kellett fogadnia.	Kaisa coi những người khách như thế kém thanh lịch, nên tỏ ra rất không vừa lòng.
Vanda gyönyörű egy leánynyá fejlődött ez alatt a hét esztendő alatt.	Vanđa sau mấy năm qua đã trở thành cô gái cao ráo, thanh tú, đẹp không ngờ.
Bergenben letette a tanárnői vizsgálatot, s meg volt a képesítése ahhoz, hogy akármelyik középiskolánál tanári állást foglalhasson el.	Cô vừa hoàn thành tốt đẹp kỳ thi khá khó khăn ở Berghen và do đó có thể hy vọng được nhận một chân giáo viên dạy học.
Hanem azért ott maradt édesanyja mellett Noroëben, s távolléte alatt helyettesítette Malárius mestert.	Nhưng cô vẫn muốn ở lại Nôrôê với mẹ và chuẩn bị thay ngài Maliarius trong lúc ông đi vắng.
Ha komoly tudományos dologról volt szó, nyugodtan és okosan szólott hozzá, nem kérkedett azzal, a mit tudott.	Những, cái đáng yêu nhất ở cô là sự trang nhã bẩm sinh và không chút nào kiểu cách.
Schwaryencrona, Bredejord és Hochstedt kártyáztak, Malárius, a ki szintén ért a nemes Whist-játékhoz, melléjük ült és nézte.	Trong bầu không khí thân tình thắm thiết, Brêđêzhor và bác sĩ cùng giáo sư Hosteđt đã chơi xong ván bài cuối cùng.
Szives szeretettel kocczintottak, hiszen búcsúpohár volt.	Vanđa đã diễn tấu một bản dân ca cổ vùng Scanđinav.
Erik szomorú szívvel vette észre, hogy Kajsa még ez alkalommal sem akar vele kocczintani.	Êrik nhận thấy Kaisa thậm chí đã không đụng đến cốc rượu.
- Nem kiván énnekem még szerencsés utat sem, Kajsa?	- Thế chẳng nhẽ Freken Kaisakhông muốn chúc mừng chúng tôi thượng lộ bình an à?
- kérdé halkan.	- Êrik khẽ hỏi cô ta.
- Miért kivánna az ember olyasmit, a mit úgy sem remél - felelé szárazon a kisasszony.	- Chúc cái điều mà mình không tin thì chúc làm gì.
Az Alaska elindulásának az idejét tiz órára állapították meg.	Từ sau bức thư bảo đảm ấy, chẳng thấy tăm hơi ông ta đâu nữa.
- Isten veled, Erik!	- Tạm biệt, Êrik!
- Ön, Kajsa, el sem búcsúzik tőlem?	- Bà Katrina nói thầm, ghì chặt chàng trung úy vào lòng.
- kérdé fájdalmas szívvel Erik a leány felé közeledve, hogy őt is megölelje.	- Còn cô Kaisa, chẳng lẽ cô không nói với tôi điều gì trước lúc chia tay sao?
- Akkor talán egy kissé jó szemmel nézne reám ön is, nemde?	- cô ta đáp với vẻ nhạo báng.
- felelé keserűségét mosolylyal leplezve Erik.	- Thế nhỡ sự việc hóa ra lại đúng như thế thì khi ấy tôi xứng đáng được cô có thiện cảm chứ?
- Talán?...	- Không nhẽ anh lại nghi ngờ điều đó sao?
- ez volt az utolsó szava; nagybátyjához fordult a gőgös teremtés, s ott hagyta Eriket a faképnél.	- Kaisa đáp sau khi quay mặt về phía người bác của mình, ra điều muốn cuộc chia tay thế là xong.
A gőzsíp átható füttye reszkettette meg a levegőt, a kürtőből hatalmas füstoszlop gomolygott ki, s az Alaska méltósággal teljesen indult ki a stockholmi kikötőből.	Trong cảnh nhốn nháo chung, hầu như không ai để ý đến một hành khách đến trễ đang đi trên boong tàu, tay xách vali.
Ezer meg ezer ember szerencsekivánata zúgott fel a parton, kendőket lobogtattak, kalapjaikkal intettek búcsút.	Còn những người ra xem tụ họp trên bờ thì tiễn đưa tàu bằng những tiếng hô reo vang dậy, vẫy khăn, vẫy mũ náo nhiệt.
Erik a kormányhidon állott s vezette a manővert.	Êrik đứng trên cầu chỉ huy ra mệnh lệnh.
Tudor Brown megérkezéséről a kapitányon kívül senkinek sem volt tudomása.	Maljarius cảm thấy trong người nôn nao khó chịu đã vội vàng trở về buồng của mình.
Schwaryencrona doktor nagyon elcsodálkozott, midőn hátrafordulva megpillantotta őt.	Bởi vậy bác sĩ không khỏi ngạc nhiên khi quay lại bỗng thấy ông ta đang đi lên boong trên.
- Szép időnk van.	- Thời tiết tốt quá.
Ennyi volt az egész, ez volt a köszönése.	- Tuyđor Braun lẩm bẩm thay cho lời chào.
A doktor csak nézett reá, várta, hogy mond még valamit, hogy aztán hiába várt, ő kezdette meg a beszélgetést.	Nhưng, sau khi chắc chắn sự chờ đợi của ông bằng thừa, bác sĩ chuyển sang thái độ tấn công.
- No hát, uram, úgy látszik, hogy O’Donoghan Patrick még sem halt meg, a mint némelyek mondták?...	- Như vậy đó, thưa ngài, té ra là Patric Ô Đônôgan đâu đã chết như ngài quả quyết!
- Majd meglátjuk!	- bác sĩ kêu lên với tính nóng nảy vốn dĩ của ông.
Ezzel aztán hátat fordított a doktor úrnak és fütyörészve tovább ment.	- Vì thế tôi mới nhập vào đoàn thám hiểm để xác minh điều đó.
Nagy figyelemmel kezdették őt tanulmányozni, sokkal nagyobb figye­lemmel, mint a doktor.	Lần đầu tiên bây giờ mới thấy Tuyđor Braun, họ nhìn hắn rất chăm chú, chăm chú hơn bác sĩ nhiều.
