Léon Werth-nek	Tặng Léon Werth
- Akkor az enyéim, mert nekem jutott eszembe először a birtoklásuk.	- Thế thì chúng là của ta, bởi ta nghĩ tới chúng trước nhất.
- És ennyi elég is?	- Chỉ thế là đủ ư?
- Természetesen.	- Hẳn chứ.
Ha kitalálsz valamit, ami még senki másnak nem jutott az eszébe: szabadalmaztatod, és a tiéd.	Khi ta có sáng kiến gì trước người khác thì ta xin chứng chỉ cho sáng kiến đó, nó là của ta.
Én pedig a csillagokat birtoklom, mert előttem soha senki nem gondolt rá, hogy birtokolja őket.	Ta, ta có được các ngôi sao kia, vì chưa hề có ai trước ta đã nghĩ chiếm hữu chúng.
- Hát ez igaz - mondta a kis herceg.	- Điều này thì đúng - cậu hoàng tử nói.
- És mit csinálsz velük?	- Ông dùng chúng để làm gì?
- Kezelem őket.	- Ta quản lí chúng.
Megszámolom, aztán újraszámolom - felelte az üzletember.	Ta đếm đi, rồi ta đếm lại, - lão tư sản nói.
- Nehéz dolog.	- Khó đấy.
A kis herceg azonban még ezzel sem érte be.	Cậu hoàng tử vẫn chưa được mãn nguyện.
- Nekem, ha van egy selyemsálam, a nyakam köré tekerhetem, és magammal vihetem.	- Tôi ấy ư, nếu tôi có một cái khăn quàng, tôi quàng nó vào cổ, tôi mang nó đi.
Vagy ha van egy virágom, leszedhetem, és szintén magammal vihetem.	Tôi ấy ư, nếu tôi có một bông hoa, tôi có thể hái bông hoa đó và mang nó đi.
De te nem szedheted le a csillagaidat!	Còn ông đâu có thể hái các ngôi sao!
- Az meg mit jelent?	- Nghĩa là thế nào?
- Ennyi az egész?	- Chỉ thế thôi à?
- Mi kell több?	- Thế đủ rồi.
"Érdekes - gondolta a kis herceg.	"Buồn cười thật - cậu hoàng tử nghĩ thầm.
- Sőt költői.	- Có vẻ thơ ca đấy.
Csak éppen komolynak nem valami komoly."	Nhưng mà không đứng đắn lắm đâu".
A kis hercegnek ugyanis egészen más fogalmai voltak a komoly dolgokról, mint a fölnőttek­nek.	Về những việc đứng đắn, cậu hoàng tử có những ý rất khác với ý các người lớn:
- Nekem - mondta - van egy virágom, azt naponta megöntözöm.	- Tôi, - cậu em lại nói - tôi có một bông hoa mà hôm nào tôi cũng tưới.
A vulkán­jaimnak is meg a virágomnak is hasznukra válik, hogy birtoklom őket.	Tôi cần thiết cho các quả núi lửa, cho bông hoa của tôi, nên tôi có chúng.
Te azonban nem vagy hasznukra a csillagoknak.	Còn ông đâu có ích cho các ngôi sao!
Az üzletember eltátotta a száját, de felelni egy mukkot sem tudott, a kis herceg pedig szedte a sátorfáját, és ment tovább.	Tên tư sản mở miệng nhưng chẳng biết trả lời sao cả, và cậu hoàng tử đi ra.
"Szó, ami szó: ezek a fölnőttek fölöttébb furcsák" - gondolta útközben.	"Những người lớn nhất định là những người hoàn toàn kì dị" - cậu em nghĩ thầm một cách đơn giản như vậy trong khi đi.
14.	XIV
Ez volt valamennyi közt a legkisebb.	Nó bé hơn tất cả các hành tinh.
Éppen csak akkorka, hogy egy lámpa meg egy lámpagyújtogató elfért rajta.	Ở đây chỉ đúng đủ chỗ cho một cây cột đèn và một người thắp đèn.
A kis herceg el sem tudta képzelni, mi értelme lehet valahol az égbolton egy bolygón - amelyiken se ház nincs, se embe­rek nem laknak - egy lámpának meg egy lámpagyújtogatónak.	Cậu hoàng tử nghĩ mãi không thể nào hiểu được tại sao, đâu đó trong bầu trời, trên một hành tinh không nhà cửa, không dân cư, lại có một cột đèn và một người thắp đèn để làm chi.
Mégis azt gondolta magában:	Tuy vậy, cậu em vẫn nghĩ thầm:
"Lehet, hogy ez az ember itt: merő képtelenség.	"Có lẽ con người này là vô lí.
Ha meggyújtja a lámpáját, mintha egy csillagot segítene világra vagy egy virágot.	Khi ông ta thắp cây đèn của mình, như là ông ta làm sinh thêm một ngôi sao, hay một bông hoa.
Ha eloltja a lámpáját: elaltatja vele a virágot vagy a csillagot.	Khi ông ta tắt cây đèn, ông ta giúp bông hoa hay ngôi sao ấy ngủ.
Amikor a bolygó közelébe ért, tisztelettel köszöntötte a lámpagyújtogatót:	Khi đến gần hành tinh, cậu em kính trọng chào người thắp đèn:
- Jó napot kívánok!	- Chào ông.
Miért oltottad el a lámpádat?	Tại sao ông vừa tắt đèn đi đó?
- Mert ez a parancs - felelte a lámpagyújtogató.	- Điều lệnh mà - người thắp đèn trả lời.
Azzal meggyújtotta a lámpát.	Và ông ta thắp đèn lên lại.
- De hát akkor miért gyújtottad meg újra?	- Nhưng tại sao ông vừa lại thắp đó?
- Mert ez a parancs - felelte a lámpagyújtogató.	- Điều lệnh mà - người thắp đèn trả lời.
- Nem értem - jegyezte meg a kis herceg.	- Tôi không hiểu - cậu hoàng tử nói.
- Nincs is mit érteni rajta - mondta a lámpagyújtogató.	- Có gì mà hiểu - người thắp đèn nói.
- A parancs: parancs.	- Điều lệnh là điều lệnh.
És eloltotta a lámpát.	Rồi ông ta tắt cây đèn.
Aztán egy piros kockás zsebkendővel törölgetni kezdte a homlokát.	Và ông ta rút chiếc mùi-soa kẻ ô vuông đỏ của ông thấm mồ hôi trên trán.
- Szörnyű mesterség ez!	- Nghề của ta làm đây thật kinh khủng.
Aztán reggeltől estig pihenhettem, és estétől reggelig alhattam.	Phần ngày còn lại, ta nghỉ, phần đêm còn lại ta ngủ...
- Azóta megváltozott a parancs?	- Nhưng sau đó, điều lệnh thay đổi sao?
- A parancs nem változott - mondta a lámpagyújtogató.	- Điều lệnh không thay đổi - người thắp đèn nói.
- Éppen ez a baj!	- Bi kịch là chỗ này đây!
- És?	- Thế thì thế nào ?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- És most, hogy percenként fordul egyet a tengelye körül, nincs egy másodpercnyi nyugal­mam!	- Thế thì hiện nay nó quay mỗi phút một vòng, ta không còn lấy một giây để nghỉ ngơi.
- Mulatságos!	- Lạ thực đấy!
- Egyáltalán nem mulatságos - mondta a lámpagyújtogató.	- Chẳng có gì lạ cả - người thắp đèn nói.
- Egy hónapja?	- Một tháng kia ứ?
- Úgy bizony.	- Phải.
Harminc perce.	Ba mươi phút.
Az harminc nap!	Ba mươi ngày.
És meggyújtotta megint a lámpáját.	Rồi ông thắp lại ngọn đèn.
A kis herceg meg csak nézte, és megszerette ezt a lámpagyújtogatót, aki olyan híven ragasz­kodik a parancshoz.	Cậu hoàng tử nhìn ông ta và thấy mến yêu người thắp đèn trung thành đến thế với điều lệnh.
Szeretett volna segíteni a barátján.	Em muốn giúp ông bạn thân:
- Figyelj csak ide... Tudok egy módot rá, hogy pihenhess, amikor csak akarsz.	- Này ông... Tôi biết cách cho ông khi nào muốn nghỉ thì nghỉ.
- Vagyis mindig - jegyezte meg a lámpagyújtogató.	- Bao giờ ta chả muốn - người thắp đèn nói.
- A te bolygód - folytatta a kis herceg - olyan kicsi, hogy három lépéssel körüljárhatod.	- Cái hành tinh của ông bé đến nỗi ông có thể bước sải ba bước là đi khắp.
Ahhoz, hogy állandóan a napvilágon maradj, egyebet sem kell tenned, mint elég lassan járnod.	Ông chỉ có việc đi rất chậm để lúc nào cũng ở dưới ánh sáng mặt trời cả.
Így aztán, ha pihenni akarsz, elkezdesz járni... és a nappal addig fog tartani, ameddig kívánod.	Khi nào ông muốn nghỉ, ông cứ bước đi... thế là ông muốn ngày dài bao nhiêu nó dài bằng ấy.
- Ezzel nem sokra megyek - felelte a lámpagyújtogató.	- Nhưng cái ấy chẳng được việc gì cho ta - người thắp đèn nói.
- Világéletemben egyet szerettem: aludni.	- Cái ta thích nhất trên đời lại là ngủ cơ.
- Öreg hiba - mondta a kis herceg.	- Thế thì thật không may - cậu hoàng tử nói.
- Öreg hiba - mondta a lámpagyújtogató.	- Thật không may - người thắp đèn nói.
- Jó napot!	- Chúc cậu một ngày tốt lành.
És eloltotta a lámpáját.	Rồi ông ta tắt cây đèn.
"Ezt - gondolta a kis herceg, ahogy továbbment -, ezt a többiek mind megvetnék: a király is, a hiú is, az iszákos is, az üzletember is.	- Ông ta sẽ bị tất cả những người kia khinh, ông vua, lão nói khoác, lão nát rượu, lão tư sản.
Pedig szerintem ő az egyetlen, aki nem nevetséges.	Tuy thế, chỉ có ông ta là ta không thấy buồn cười.
És sajnálkozva sóhajtott egyet.	Em thở dài, buồn tiếc, và lại nghĩ:
"Ő az egyetlen - folytatta gondolatait -, akivel meg tudnék barátkozni.	"Chỉ ông ấy là đáng cho mình kết làm bạn thân.
Csakhogy igazán túl kicsi a bolygója.	Nhưng hành tinh của ông ấy quá bé.
15.	XIX
A hatodik bolygó tízszerte nagyobb volt.	Cậu hoàng tử trèo lên một quả núi cao.
Egy öregúr lakott rajta, és óriási könyveket írt.	Nên em dùng quả núi lửa đã tắt làm ghế ngồi.
- Hohó!	- Các anh là ai ?
Itt egy kutató!	- Các anh là ai?...
- kiáltott föl, amikor megpillantotta a kis herceget.	Các anh là ai... các anh là ai... - Tiếng vang đáp lại.
A kis herceg leült az íróasztal szélére.	"Cái hành tinh buồn cười thật!"
Egy kicsit lihegett.	Lúc đó em nghĩ thầm.
- Honnét jössz?	- Ồ! Một nhà thám hiểm!
- kérdezte tőle az öregúr.	- Khách từ đâu lại?
- Mi ez a nagy könyv?	- Tôn Ông già hỏi.
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi.
- Mit csinál itt uraságod?	- Ông làm gì ở đây?
- Geográfus vagyok - felelte az öregúr.	- Ta là nhà địa lí - Tôn Ông già nói.
- Mi az, hogy geográfus?	- Nhà địa lí là người như thế nào?
- Tudós, aki tudja, hol vannak a tengerek, folyamok, városok, hegyek és sivatagok.	- Đó là một nhà bác học biết rõ đâu là sông biển, núi non, thành phố và sa mạc.
- Ó, ez nagyon érdekes - mondta a kis herceg.	- Thế thì thích thật - cậu hoàng tử nói.
- Hát ez nagyon szép - mondta.	- Đẹp quá, cái hành tinh của ông.
- Óceánok is vannak rajta?	Có đại dương không ông?
- Azt én nem tudhatom - felelte a geográfus.	- Ta không rõ được - nhà địa lí nói.
- Ó!	- Thế ạ!
- És hegységek?	- Ta không rõ được - nhà địa lí nói.
- Azt én nem tudhatom - ismételte a geográfus.	- Và các thành phố, và các con sông, và các bãi sa mạc?
- És városok és folyamok és sivatagok?	- Ta cũng không rõ được nốt - nhà địa lí nói.
- Azt szintén nem tudhatom - felelte a geográfus.	- Ông là nhà địa lí cơ mà!
- De ha egyszer geográfus!	- Đúng - nhà địa lí nói.
- Az igaz - felelte a földrajztudós -, viszont nem vagyok kutató.	- Nhưng ta có là nhà thám hiểm đâu.
Kutatóim, sajnos, egyáltalán nincsenek.	Ta hoàn toàn thiếu các nhà thám hiểm giúp việc.
A geográfus sokkal fontosabb ember annál, semhogy ide-oda kószáljon a világban.	Nhà địa lí quan trọng hơn nhiều lắm, có thể đi nhởi được đâu.
Ül a dolgozószobájában, és fogadja a kutatókat.	Nhà địa lí không thể rời cái bàn giấy của mình được.
Kikérdezi őket, és lejegyzi emlékeiket.	Bọn ta còn phải tiếp các nhà thám hiểm chứ.
Aztán ha valamelyiknek az emlé­keit érdekesnek találja, vizsgálatot indíttat az illető kutató erkölcsi megbízhatóságát illetőleg.	Và nếu thấy kỉ niệm của một ai trong bọn thám hiểm ấy mà đáng chú ý thì nhà địa lí sẽ cho điều tra về tư cách của nhà thám hiểm ấy chứ.
- Hát azt meg miért?	- Tại sao phải thế ạ?
- Azért, mert ha egy kutató hazudnék, annak végzetes következményei lennének a földrajz­könyvekben.	- Bởi vì một nhà thám hiểm mà nói dối sẽ gây nên những tai họa trong các sách địa lí.
Valamint annak is, ha egy kutató többet innék a kelleténél.	Và cả nhà thám hiểm nào uống nhiều rượu quá nữa.
- Miért?	- Tại sao thế ạ?
- érdeklődött tovább a kis herceg.	- Cậu hoàng tử nói.
- Mert aki részeg, az duplán lát.	- Vì kẻ nát rượu cái gì cũng thấy thành đôi.
Így a földrajztudós két hegyet tüntetne föl ott, ahol a való­ságban csak egy van.	Nhà thám hiểm mà như thế thì đáng lẽ chỉ có một dãy núi thôi, ông ta ghi thành hai dãy.
- Ismerek valakit - mondta a kis herceg -, akiből nagyon rossz kutató lenne.	- Thế thì tôi có biết, một người nếu mà làm thám hiểm thì là thám hiểm tồi lắm - cậu hoàng tử nói.
- Lehet.	- Có thể như thế.
Nos, ha a kutató erkölcsisége kifogástalannak bizonyul, következik fölfedezésének a megvizsgálása.	Vậy nên khi tư cách của nhà thám hiểm xem thấy là tốt rồi, thì người ta điều tra về sự phát minh của anh ta.
- Elmennek megnézni?	- Người ta đi xem hay sao?
Hanem fölszólítják a kutatót, hogy szolgáltasson bizonyítékokat.	Người ta chỉ đòi hỏi nhà thám hiểm phải cung cấp bằng chứng thôi.
Ha például egy nagy hegy fölfedezéséről van szó, megkívánják tőle, hogy mutatóba szép, nagy köveket hozzon belőle.	Ví dụ như tìm thấy một hòn núi lớn, người ta chỉ buộc phải mang về những tảng đá to.
Hirtelen izgalom vett erőt a geográfuson.	Nhưng nhà địa lí bỗng nhiên giọng xúc động:
- De te, te nagyon messziről jöttél!	- Nhưng mà khách là khách đến từ xa!
Azzal fölütötte lajstromkönyvét, és hegyezni kezdte a ceruzáját.	Rồi nhà địa lí, sau khi đã mở cuốn sổ to, liền gọt bút chì.
A kutatók elbeszéléseit ugyanis először ceruzával jegyzik le.	Chuyện các nhà thám hiểm kể, thoạt tiên người ta ghi bằng bút chì.
Megvárják, míg bizonyítékokat szolgáltat, és csak akkor következik a tintával való lejegyzés.	Đợi cho nhà thám hiểm cung cấp bằng chứng rồi, người ta mới ghi lại bằng mực.
- Nos?	- Thế nào?
- kérdezte a tudós.	- Nhà địa lí hỏi.
- Ó!	- Ôi!
Bár sosem lehet tudni.	Nhưng ai biết nó thế nào.
- Sosem lehet tudni - mondta a geográfus.	- Không biết thế nào - nhà địa lí nói.
- Egy virágom is van.	- Tôi cũng có một bông hoa.
- A virágokat nem jegyezzük föl - mondta a geográfus.	- Bọn ta chẳng ghi nhận bông hoa - nhà địa lí nói.
- Miért nem?	- Sao thế?
Hiszen az a legszebb rajta!	Nó là thứ đẹp nhất kia mà!
- Mert a virágok múlékonyak.	- Bởi vì đời hoa ngắn ngủi lắm.
- Mit jelent az, hogy "múlékony"?	- "Ngắn ngủi" nghĩa là thế nào ạ?
- A földrajzkönyvek - mondta a földrajztudós - a világ legértékesebb könyvei.	- Các sách địa lí - nhà địa lí nói - là quý nhất trong tất cả các loại sách.
Fölöttébb ritka dolog az is, hogy egy óceánnak kiapadjon a vize.	Chẳng mấy khi một đại dương lại cạn nước.
- De a kialudt vulkán egyszer csak működni kezdhet - szólt közbe a kis herceg.	- Song những núi lửa đã tắt có thể thức dậy được - cậu hoàng tử ngắt lời.
- Mit jelent az, hogy "múlékony"?	- "Ngắn ngủi" nghĩa là gì ?
- Számunkra teljességgel mindegy, hogy egy vulkán kialudt-e, vagy működik - felelte a geográfus.	- Núi lửa tắt hay núi lửa thức đối với bọn ta cũng là thế thôi - nhà địa lí nói.
- Nekünk csak a hegy számít.	- Cái ta kể tới, đó là núi.
Az pedig nem változik.	Núi không thay đổi.
- De mit jelent az, hogy "múlékony"?	- Nhưng "ngắn ngủi" nghĩa là gì?
- makacskodott a kis herceg, mert ha egyszer föltett egy kérdést, nem tágított tőle soha többet.	- Cậu hoàng tử lặp lại, suốt đời cậu em đã đặt ra một câu hỏi là không chịu bỏ.
- Azt jelenti, hogy előbb-utóbb megsemmisül.	- Nghĩa là "bị đe dọa sắp tới lúc chết" đấy.
- Az én virágom előbb-utóbb megsemmisül?	- Cái hoa của tôi bị đe dọa sắp phải chết ư?
- Úgy bizony.	- Hẳn thế.
Most érzett először valami lelkifurdalás-félét.	Ấy là cơn thương tiếc đầu tiên dấy lên trong lòng cậu em.
De nyomban összeszedte magát.	Em lấy lại can đảm:
- Mit tanácsol uraságod?	- Bây giờ ông khuyên tôi nên đi thăm đâu?
- kérdezte.	- Em hỏi.
- Milyen bolygót látogassak meg! - A Földet - felelte a földrajztudós.	- Hành tinh Trái Đất - nhà địa lí trả lời em.
- Jó híre van...	- Hành tinh ấy nổi tiếng lắm...
A kis herceg útra kelt, de közben egyre a virágjára gondolt.	Thế là cậu hoàng tử ra đi, vừa nghĩ đến đóa hoa của mình.
16.	XVI
Van rajta száztizenegy király (beleszámítva természe­tesen a néger királyokat is), hétezer geográfus, kilencszázezer üzletember, hét és fél millió részeges, háromszáztizenegymillió hiú, vagyis körülbelül kétmilliárd fölnőtt.	Ở đây có tới một trăm mười ông vua (trong đó, hiển nhiên ta không quên kể các ông vua đen), bảy nghìn nhà địa lí, chín trăm nghìn tên tư sản, bảy triệu rưỡi gã nát rượu, ba trăm mười triệu cha khoác lác, nghĩa là vào quãng hai tỉ rưỡi người lớn.
Hogy valami fogalmunk legyen a Föld nagyságáról, gondoljuk meg, hogy az elektromosság fölfedezése előtt a hat kontinensen egész hadseregnyi lámpagyújtogatót kellett alkalmazni, szám szerint négyszázhetvenkétezer-ötszáztizenegyet.	Để các bạn có chút ý niệm về kích thước Trái Đất, tôi phải nói với các bạn rằng trước khi tìm ra được điện, trên cả sáu châu người ta phải nuôi để dùng như nuôi dùng cả một đạo quân thật sự bốn trăm sáu mươi hai nghìn năm trăm mười một người đốt đèn.
Kissé távolabbról nézve mindez pompás látványt nyújtott.	Nhìn xa xa một chút, cảnh đốt đèn đó thật đẹp.
A hadmozdulatok éppolyan szabá­lyozottan folytak, mint egy balett mozgása egy opera színpadán.	Các động tác của đạo quân này được điều chỉnh như trong một vở kịch ba-lê.
Meggyújtották a lampionjaikat, aztán aludni mentek.	Sau đó, đốt đèn xong, họ đi ngủ.
Utána beléptek a táncba a kínai meg a szibériai lámpagyújtogatók; majd ők is eltűntek a kulisszák mögött.	Tức thì đến lượt những người đốt đèn Trung Quốc và Siberia vào cuộc múa.
Most került sor az oroszországi és indiai lámpagyújtogatókra.	Xong, cả họ nữa, cũng biến mất trong cách hành lang.
Aztán az észak-amerikaiakra.	Rồi đến người Bắc Mỹ.
17.	XVII
Ha az ember mindenáron szellemes akar lenni, megesik, hogy egy kicsit elveti a sulykot.	Khi người ta muốn tỏ ra thông minh, có khi người ta phải nói dối một chút.
Én sem voltam egészen szavahihető, amikor a lámpagyújtogatókról beszéltem.	Tôi không thật thà lắm đâu khi kể với các bạn về những người đốt đèn.
Az emberek ugyanis igen-igen kevéske helyet foglalnak el a Földön.	Loài người chiếm rất ít chỗ trên mặt đất.
Ha a Föld kétmilliárd lakosa kissé szorosabban egymás mellé állna, olyasformán, mint például egy futballmeccsen, könnyen elférne egy húsz­ezer négyzetméternyi téren.	Nếu hai tỉ con người đang sống trên mặt đất này mà đứng hơi sít lại một chút, như trong một cuộc mít-tinh vậy thì chỉ một quảng trường rộng hai mươi dặm, dài hai mươi dặm, cũng đủ chứa.
Az egész emberiséget össze lehetne zsúfolni a Csendes-óceán legparányibb kis szigetére.	Trên hòn đảo bé nhất nào của Thái Bình Dương cũng có thể dồn đủ nhân loại được.
Föl lehet szólítani őket: tessék, szá­moljanak.	Thế nên các bạn phải khuyên họ làm bài tính đi.
Ez tetszeni fog nekik, mert imádják a számokat.	Họ quý chữ số lắm: việc ấy họ thích đấy.
Fölösleges.	Không cần.
Inkább higgyetek nekem.	Bạn vẫn tin tôi mà.
A kis herceg tehát, amint földet ért, alaposan meglepődött, hogy egy teremtett lelket sem lát.	Cậu hoàng tử, một khi đáp xuống đất, rất kinh ngạc vì chẳng trông thấy người nào.
Már-már attól félt, elvétette a bolygót, amikor a homokban megmozdult előtte egy holdszínű gyűrű.	Em đã bắt đầu sợ, cho là mình nhầm hành tinh rồi, vừa lúc một cái vòng màu ánh sáng trắng động đậy trong cát.
- Jó éjszakát!	- Chào ban đêm - cậu hoàng tử buột miệng nói.
- mondta a kis herceg, csak úgy találomra.	- Chào ban đêm - con rắn nói.
- Jó éjszakát!	- Tôi rơi trên hành tinh nào vậy?
- felelte a kígyó.	- Cậu hoàng tử hỏi.
- Melyik bolygóra estem?	- Trên Trái Đất, ở châu Phi - con rắn trả lời.
- kérdezte a kis herceg.	- Thế a?
- A Földre, Afrikában - felelte a kígyó.	Trên Trái Đất, không có người nào ư?
- Ó... Hát senki sincs a Földön?	- Đây là sa mạc mà.
A sivatagban nincs senki.	Trái Đất rộng lắm.
De a Föld nagy - mondta a kígyó.	- Rắn nói.
- Nem tudom - mondta -, nem azért vannak-e kivilágítva a csillagok, hogy egy napon minden­ki megtalálhassa a magáét.	- Có phải những ngôi sao được thắp sáng là để mỗi người một ngày kia trở về được ngôi sao của mình?
Éppen fölöttünk... De milyen messze van!	Nó ở ngay bên trên ta... Nhưng nó lại xa thế!
- Szép csillag - mondta a kígyó.	- Nó đẹp nhỉ - rắn nói.
- Mit keresel itt?	- Nhưng cậu làm gì mà tới đây?
- Nézeteltérésem támadt egy virággal - mondta a kis herceg.	- Mình với một bông hoa, chúng mình sống không ổn thỏa lắm, - cậu hoàng tử nói.
- Hajaj!	- Ra thế!
- mondta a kígyó.	- Rắn nói.
És sokáig hallgattak.	Và cả hai lặng thinh.
- Hol vannak az emberek?	- Loài người ở đâu?
- kérdezte később a kis herceg.	- Cậu hoàng tử lại nói tiếp.
- Itt a sivatagban olyan egyedül van az ember.	- Trong sa mạc hơi bơ vơ...
- Nincs kevésbé egyedül az emberek közt sem - mondta a kígyó.	- Ngay giữa loài người, cũng bơ vơ - rắn nói.
A kis herceg hosszasan szemügyre vette.	Cậu hoàng tử nhìn rắn rất lâu:
- Furcsa jószág vagy, vékony, mint az ujjam...	- Đằng ấy là một con vật buồn cười thật, - em nói - mảnh khảnh cứ như một cái ngón tay...
- De bármilyen király ujjánál hatalmasabb - mondta a kígyó.	- Nhưng tớ lại mạnh hơn ngón tay của một ông vua - Rắn nói.
A kis herceg elmosolyodott.	Cậu hoàng tử mỉm cười:
- Nem mondhatnám, hogy nagyon hatalmas vagy, hiszen még lábad sincs... utazni se tudsz.	- Đằng ấy không mạnh lắm đâu... đến chân, đằng ấy cũng chả có... đi đây đi đó đằng ấy cũng chả đi được.
- De nincs az a hajó, amelyik messzebbre bírna vinni, mint én - mondta a kígyó.	- Tớ có thể chở cậu đi xa hơn tàu thủy cơ - rắn nói.
- Akit én megérintek, azt visszaadom a földnek, ahonnét származik - mondta.	- Tớ mà chạm vào kẻ nào là tớ cho hắn ta trở về ngay với đất là nơi hắn chui ra.
- Te azonban tiszta vagy, és egy csillagról jöttél.	Còn cậu, cậu trong sạch và cậu từ một ngôi sao tới...
- Olyan gyönge vagy ezen a gránit Földön, hogy megesik rajtad a szívem.	- Cậu làm cho tớ mủi lòng, cậu yếu đuối thế kia trên Trái Đất đá hoa cương này.
- Ó!	- Ồ!
- mondta a kis herceg.	Tớ hiểu hết - cậu hoàng tử nói.
- Valamennyit megfejtem - mondta a kígyó.	- Mọi điều hiểm hóc, tớ đều giải hết - rắn nói.
A kis herceg nekivágott a sivatagnak, de nem találkozott, csak egy virággal.	Cậu hoàng tử đi qua sa mạc và chỉ gặp có một bông hoa.
Egy három­szirmú, semmi kis virággal.	Một bông hoa chỉ ba cánh, một hoa xoàng...
- Jó napot! - mondta a virág.	- Chúc một ngày tốt lành, - bông hoa nói.
- Hol vannak az emberek?	- Loài người ở đâu?
- kérdezte udvariasan a kis herceg.	- Cậu hoàng tử lễ phép hỏi.
- Az emberek?	- Người hả?
De sosem lehet tudni, hol-merre vannak.	Ai biết họ ở đâu mà tìm!
- Viszontlátásra - mondta a kis herceg.	- Từ biệt - cậu hoàng tử nói.
- Viszontlátásra - mondta a virág.	- Từ biệt - hoa nói.
19.	XX
A kialudt vulkánját zsámolynak használta.	Và mọi con đường, đều đưa đến nơi có người.
- mondta találomra. - Jó napot!...	- Chúc một ngày tốt lành - em nói.
- Légy a barátom, olyan egyedül vagyok - mondta.	- Chúc một ngày tốt lành - các hoa hồng trả lời.
- Milyen száraz, milyen hegyes, milyen sós.	Cậu hoàng tử nhìn các hoa hồng.
- mondta.	- Các bạn là ai ?
- kérdezte meghökkenten.	- Kinh ngạc, em hỏi họ.
- Rózsák vagyunk - felelték a rózsák.	- Chúng em là hoa hồng - các bông hồng nói.
- Ó!	- Thế ư?
- mondta a kis herceg.	- Cậu hoàng tử kêu lên.
És nagyon boldogtalannak érezte magát.	Và em liền cảm thấy rất đau khổ.
Neki a virágja azt mesélte, hogy sehol a világon nincsen párja; és most ott volt előtte ötezer, szakasztott ugyanolyan, egyetlen kertben!	Đóa hoa của em, cô ta đã có kể với em rằng cô là độc nhất vô nhị của loài hoa hồng trong vũ trụ.
- Iszonyatosan köhécselne, és úgy tenne, mint aki a halálán van, csak hogy nevetségessé ne váljék.	"Trông thấy cảnh này cô ta chắc sẽ ngượng - em nghĩ thầm... - Cô ta sẽ ho thật to và giả chết để đỡ xấu hổ.
Nekem pedig úgy kellene tennem, mintha ápolnám; különben még valóban meghalna, csak hogy megszégyenítsen..."	Còn mình, mình buộc làm ra vẻ chăm sóc cô ta, nếu không, cô ta chết thật mất, cốt làm cho chính mình xấu hổ mà..."
És utána még ezt gondolta: "Azt hittem, gazdag vagyok, van egy párjanincs virágom; és lám, nincs, csak egy közönséges rózsám.	Rồi em lại nói thầm: "Trước, mình chỉ có một bông hoa độc nhất mà mình tưởng mình giàu có, thật ra mình chỉ có một bông hoa thường thôi.
21.	XXI
- mondta a róka. - Jó napot!	Chào một ngày tốt lành - con cáo nói.
- Itt vagyok az almafa alatt - mondta a hang. - Ki vagy?	- Tôi ở đây cơ mà, - giọng nói cất lên nói - dưới cây táo...
- kérdezte a kis herceg.	- Cậu là ai thế?
- Csinosnak csinos vagy...	- Cậu hoàng tử nói - Cậu thật bảnh...
- Én vagyok a róka - mondta a róka.	- Tớ là một con cáo - con cáo nói.
- Gyere, játsszál velem - javasolta a kis herceg.	- Đến đây chơi với tôi - cậu hoàng tử rủ cáo.
- Olyan szomorú vagyok...	- Tôi buồn chết đi được...
- Nem játszhatom veled - mondta a róka.	- Tớ không chơi với cậu được.
- Ó, bocsánat!	- Thế ư?
- mondta a kis herceg.	Xin lỗi - cậu hoàng tử nói.
- Te nem vagy idevalósi - mondta a róka.	- "Quen" nghĩa là gì thế ?
- Mit keresel?	- Ra cậu không phải ở đây.
- Az embereket keresem - mondta a kis herceg.	- Tớ đi tìm những con người - cậu hoàng tử nói.
- Mit jelent az, hogy "megszelídíteni"?	- "Quen" nghĩa là gì vậy?
- Az embereknek - mondta a róka - puskájuk van, és vadásznak.	- Loài người - cáo nói - họ có súng, họ bắn.
- Nem - mondta a kis herceg.	- Không, - cậu hoàng tử nói.
- Barátokat keresek.	- Mình kiếm bạn bè.
- Olyasmi, amit nagyon is elfelejtettek - mondta a róka.	- Ấy là một việc mình bỏ quên đã lâu - cáo nói.
- Azt jelenti: kapcsolatokat teremteni.	- Nó có nghĩa là "tạo nên những tình cảm ràng buộc".
- Kapcsolatokat teremteni?	- Tạo nên những tình cảm ràng buộc?
- Úgy bizony - mondta a róka.	- Hẳn chứ - cáo nói.
- Te pillanatnyilag nem vagy számomra más, mint egy ugyan­olyan kisfiú, mint a többi száz- meg százezer.	- Đối với tớ, hiện giờ, cậu mới chỉ là một cậu bé hoàn toàn giống trăm nghìn cậu bé khác.
Számodra én is csak ugyanolyan róka vagyok, mint a többi száz- meg százezer.	Tớ đối với cậu chỉ là một con cáo giống như trăm ngàn con cáo.
És én is egyetlen leszek a te számodra...	Tớ đối với cậu sẽ duy nhất trên đời.
- Kezdem érteni - mondta a kis herceg.	- Tôi bắt đầu hiểu, - cậu hoàng tử nói.
- Van egy virág... az, azt hiszem, megszelídített engem...	- Có một bông hoa... tôi cho là nó đã làm cho tôi quen...
- Lehet - mondta a róka.	- Có thể, - cáo nói.
