Turgenyev	Ivan S.Turgenev.
De már ezt megrajzolni a maga dolga, költő úr... csak azt szeretném, hogy a fáklyáknak vörös legyen a lángja, s erős a füstje, s a bacchánsnők szeme villogjon a koszorúk alatt, a koszorúk pedig sötétek legyenek.	Thi sĩ, ông có toàn quyền vẽ ra bức tranh ấy; tôi chỉ cần là, đuốc cháy đỏ, ngút khói, và dưới những vòng hoa sẩm màu, mắt những người Bacchantes sáng long lanh.
Ne felejtse ki a tigrisbőröket se, és a csészéket, meg az aranyat, a sok, sok aranyat.	Cũng đừng quên, áo vằn da hổ, ly rượu chân cao và vàng -- thật nhiều vàng...."
- Hol lenne az az arany?	"Vàng ở chỗ nào?"
- kérdezte Majdanov, sima haját hátravetve, s orrcimpáit tágítva.	Meidanov hỏi, vuốt mớ tóc đen bóng, cánh mũi nở rộng.
A vállukon, a kezükön, a lábukon, mindenütt.	trên bờ vai, trên tay, chân -- khắp nơi.
Azt mondják, hogy a nők az ókorban aranykarikákat viseltek a bokájukon.	Người ta nói, phụ nữ thời xưa mang vòng vàng ở cổ chân.
A bacchánsnők magukhoz hívják a lányokat a ladikból.	Người Bacchantes gọi các thiếu nữ.
A lányok abbahagyják a himnuszt, nem tudják folytatni, de nem mozdulnak: a folyó viszi őket a part felé.	Họ ngừng hát -- họ không thể tiếp tục, họ không cử động, dòng sông đưa thuyền vào bờ.
Csak a sikongásuk hallszik még, a lány koszorúja ott maradt a parton.	Không còn gì cả, ngoại trừ tiếng hò hét lanh lãnh, và vòng hoa của nàng sót lại trên bờ."
Zinaida elhallgatott.	Zinaida ngừng nói.
- Ennyi az egész?	"Và thế là hết?"
- kérdezte Majdanov.	Meidanov hỏi.
- Ennyi - felelte Zinaida.	"Vâng, thế là hết."
- Ez nem lehet egy egész elbeszélő költemény tárgya - jegyezte meg a költő komolyan -, de lírai költemény írására az eszméjét felhasználhatom.	"Không đủ cho một bài thơ," ông trịnh trọng nói, "nhưng tôi sẽ dùng ý đó, viết một đoạn ngắn."
- Romantikus modorban?	"Theo trường phái lãng mạn?"
- kérdezte Malevszkij.	Malevsky hỏi dò.
- Természetesen romantikus modorban, Byron stílusában.	"Dĩ nhiên, theo trường phài lãng mạn - Byron."
- Véleményem szerint Hugo különb Byronnál - jegyezte meg hanyagul a fiatal gróf -, érdekesebb.	"Theo tôi, Hugo trội hơn Byron," chàng bá tước trẻ tuổi hững hờ nói; "thơ ông ấy hay hơn."
- Á, ez az a könyv, melyben meg vannak fordítva a kérdőjelek?	có phải đó là quyển sách các dấu hỏi đặt ngược đầu không?"
- vetette közbe Zinaida.	Zinaida chen vào.
- Az.	"Phải.
A spanyoloknál így szokás.	Đó là thông lệ của tiếng Tây Ban Nha.
Azt akartam mondani, hogy Tonkosejev...	Tôi định nói là Tonkosheev..."
Most megint a klasszicizmusról és romanticizmusról vitatkoznak - vágott közbe Zinaida újból.	các bạn lại sắp sửa tranh cải về chủ nghĩa cổ điển và lãng mạn," Một lần nữa, Zinaida ngắt lời.
- Inkább játsszunk valamit!	"chúng ta chơi trò gì đi..."
- Zálogosdit?	"Trò Nộp phạt?"
- kérdezte Lusin.	Lushin nói.
- Nem, unalmas a zálogosdi; inkább hasonlatosdit.	"Không, trò Nộp phạt chán phèo; hãy chơi trò So sánh."
Zinaida az ablakhoz ment.	Nàng đến bên cửa sổ.
Az imént szállt le a nap; az égen hosszú, vörös felhők lebegtek magasan.	Mặt trời vừa lặn; những đám mây đỏ ngự trên cao.
- Mihez hasonlítanak ezek a felhők?	"Những đám mây đó giống như cái gì nhỉ?"
- kérdezte Zinaida, s meg sem várva feleletünket, ezt mondta: - Szerintem olyanok, mint azok a bíborszínű vitorlák, melyek Kleopátra hajóján feszültek, mikor Antonius felé utazott.	Zinaida hỏi; và không chờ câu trả lời của chúng tôi, nàng nói ngay, "tôi nghĩ, giống như những cánh buồm tím thẩm của thuyền Cleopatra, khi nàng dong buồm tìm đến Antony.
Emlékszik, Majdanov, maga nemrég beszélt nekem erről.	Ông nhớ không, Meidanov, ông đã kể cho tôi cách đây không lâu ?"
Mint Polonius a "Hamlet"-ben, valamennyien kimondtuk, hogy a felhők éppen azokhoz a vitorlákhoz hasonlítanak, s hogy különb hasonlatot senki sem talál közülünk.	Tất cả chúng tôi, như Polonius trong Hamlet, đồng lòng cho là chúng không giống các cánh buồm chút nào, nhưng không ai có thể tìm được một so sánh nào khá hơn.
- És hány éves volt akkor Antonius?	"Và lúc đó Antony bao nhiêu tuổi nhỉ?"
- kérdezte Zinaida.	Zinaida thắc mắc.
- Bizonyosan fiatal volt még - jegyezte meg Malevszkij.	"Hẳn nhiên là còn trẻ," Malevsky nói.
- Az, fiatal - állította Majdanov meggyőző hangon.	"Vâng, là một thanh niên," Meidanov phụ họa.
- Bocsánatot kérek - kiáltott fel Lusin -, túl volt a negyvenen.	"Xin lỗi, Lushin nói to, "ông ta đã ngoài tứ tuần."
- Túl a negyvenen - ismételte meg Zinaida, gyors pillantást vetve reá.	"Hơn bốn mươi tuổi," Zinaida lập lại, liếc Lushin thật nhanh .....
Nemsokára hazamentem.	Chẳng bao lâu tôi trở về nhà.
12	Chương 12
Teltek a napok.	Ngày ngày trôi qua.
Zinaida egyre különösebb, egyre érthetetlenebb lett.	Càng lúc Zinaida càng tỏ nên kỳ quặc, khó hiểu.
Egyszer átmentem hozzá: szalmaszéken ült, fejét az asztal éles széléhez szorította.	Một hôm tôi ghé qua nhà nàng, nàng đang ngồi trên ghế mây, tựa đầu lên cạnh bàn.
Felegyenesedett... az egész arca könnyben úszott.	Nàng ngước lên, nước mắt đầm đìa.trên mặt..
- Jöjjön csak ide.	Tôi đến gần.
Odaléptem hozzá: kezét a fejemre tette, hirtelen megragadta a hajam, s csavargatni kezdte.	Nàng đặt tay lên đầu tôi, rồi đột ngột túm lấy một mớ tóc, kéo mạnh.
Fáj!	"A, đau ?
- ismételte a szót.	Nàng trả lời.
- Jaj!	"Ai!
Szegény mszjő Voldemar!	Tội nghiệp Cậu Voldemar!"
Gondosan elrendezte a kitépett hajszálakat, ujja köré csavarta s gyűrűcskévé formálta.	Nàng cẩn thận vuốt lọn tóc cho suông, quấn nó quanh ngón tay, và xe thành một chiếc nhẫn.
- Beteszem a haját a medalionomba, és viselni fogom - mondta, s szemében még mindig könnyek csillogtak.	"Chị sẽ cất lọn tóc này trong mặt dây chuyền, mang trên cổ, " nàng nói, đôi mắt còn ngấn lệ.
Hazamentem, s otthon kellemetlen helyzetet találtam.	Tôi về nhà, đang lúc có một tình huống không vui.
Anyámnak komoly beszéde volt apámmal; szemrehányást tett neki valamiért, de apám, szokása szerint, hidegen és udvariasan hallgatott - s hamarosan kikocsizott.	Mẹ tôi đang làm rùm beng, bà trách cứ cha tôi về một điều gì đó; trong khi theo thói quen, cha tôi vẫn giữ im lặng một cách lịch sự, lạnh lùng, và chẳng bao lâu, đã bỏ đi.
Nem hallottam, hogy miről beszélt vele anyuska, de nem is érdekelt; csak arra emlékszem, hogy mikor a jelenetnek vége volt, behívatott a szobájába, s nagy felháborodással kérdőre vont, amiért olyan sűrűn járok el a hercegnéhez, aki az ő kifejezése szerint, une femme capable de tout.5 Megcsókoltam a kezét (mindig ezt tettem, ha meg akartam rövidíteni az ilyen beszélgetést), s felmentem a szobámba.	Tôi không biết mẹ tôi nói gì, thực tình tôi cũng chẳng có ý tìm hiểu; tôi chỉ nhớ, khi cuộc trò chuyện chấm dứt, mẹ tôi gọi tôi vào phòng, bà rất bất bình, nhắc đền những lần tôi thường xuyên thăm viếng công chúa, người mà, theo mẹ tôi, là -une femme capable de tout.
Zinaida könnyei teljesen megzavartak; igazán nem tudtam, melyik gondolatomnál álljak meg, s magam is közel voltam a síráshoz: hiszen hiába voltam tizenhat éves, még gyermek voltam.	Tôi hôn tay mẹ tôi ( tôi luôn luôn làm thế, mỗi lần muốn chấm dứt cuộc đối thoại), đi về phòng riêng.
Töprengésekbe merültem, s mindig magányos helyeket kerestem.	Tôi lac lõng trong thế giới tưởng tượng của riêng tôi, tôi thường tìm đến sự đơn độc, cô liêu.
Különösen szerettem a melegház romjait.	Tôi đặc biệt thích ngôi nhà ươm cây bị bỏ hoang.
Sokszor felkapaszkodtam a magas falra, leültem, s olyan szerencsétlen, elárvult és szomorú ifjúnak éreztem magam, hogy megesett magamon a szívem - s milyen jólestek ezek a bánatos érzések, hogy megittasultam tőlük!	Tôi thích trèo lên bờ tường cao, ngồi ngất ngưỡng trên đó, tôi là một thiếu niên bất hạnh, cô đơn, buồn thảm đến mức tôi cảm thấy tự thương xót -- và những cảm xúc thương nhớ đó đã an ủi, vỗ về biết bao!
Ott ülök egyszer a falon, nézek a távolba, s hallgatom a harangszót... hirtelen végigfut valami rajtam - nem szélfúvás, nem is remegés, valami fuvalomszerű, valaki közelségének a meg­érzése... Lefelé irányoztam a szemem.	Một hôm tôi đang ngồi trên bức tường, nhìn về phía xa xôi và lắng nghe tiếng chuông ngân ... bỗng nhiên có một thứ gì đó bay lãng đãng quanh đây -- không phải hơi thở hay run rẫy của cơn gió, mà như một làn hương phảng phất --- như một linh tính, rằng có ai đó, ở đâu đây...Tôi nhìn xuống.
Lent az úton, könnyű, szürke ruhában, piros nap­ernyővel a vállán, gyors lépésekkel Zinaida haladt.	Bên dưới, trên đường mòn, Zinaida áo xám nhạt, chiếc dù hồng che trên vai, đang vội vã bước.
Meglátott, megállt s szalmakalapjának a karimáját felhajtva, rám emelte két bársonyos szemét.	Trông thấy tôi, nàng ngừng lại, lấy tay đẩy vành nón rơm, ngước cặp mắt nhung nhìn tôi.
- Mit csinál maga odafenn a magasban?	"Em làm cái gì mà trèo cao thế?"
- kérdezte tőlem különös mosollyal.	nàng hỏi tôi, nụ cười kỳ lạ.
- Látja - folytatta -, maga azt állítja, hogy szeret engem... ugorjék le hozzám az útra, ha csakugyan szeret.	"Nào, " nàng tiếp tục, "em luôn luôn nói thương yêu chị; nếu quả thực, hãy nhảy xuống đây."
Alig ejtette ki Zinaida ezeket a szavakat, már le is ugrottam, mintha valaki meglökött volna hátulról.	Zinaida chưa kịp dứt lời, tôi đã bay ào xuống, như có ai ở phía sau, đẩy mạnh.
A fal körülbelül két öl magas volt.	Vách tường cao khoảng bốn mét ba.
Lábbal értem a földet, de a rázkódás olyan erős volt, hogy nem tudtam megőrizni az egyensúlyomat: elestem és egy pillanatra elveszítettem az esz­méletemet.	Chân tôi chạm đất trước, nhưng lực va chạm quá lớn khiến tôi lảo đảo, té nhào và bất tỉnh trong một khoảng khắc.
Mikor magamhoz tértem, még csukott szemmel, magam mellett éreztem Zinaidát.	Khi tỉnh lại, không cần hé mắt tôi cũng cảm thấy Zinaida đang ở bên cạnh.
- Adja ide a nap­ernyőmet - mondta Zinaida -, látja, hova dobtam; de ne nézzen úgy rám... Micsoda butaság ez?	"Đưa cây dù cho chị," Zinaida nói, " Chị quẳng nó ở đâu đấy, không được nhìn chị chầm chập như thế... Chuyện thật vô lý kỳ khôi!
Nem sértette meg magát?	Em không đau, có phải không?
Mondom, ne nézzen rám... De nem érti a szavam, nem felel - tette hozzá, mintha magának mondaná.	Không được nhìn chị chầm chập, chị đã bảo...Nhưng thằng bé không hiểu, nó không trả lời," nàng nói thêm, như thể cho nàng nghe.
- Menjen haza, mszjő Voldemar, hozza rendbe magát - s ne merjen utánam jönni, mert különben megharagszom, s többé soha...	"Cậu Voldemar, hãy về nhà, chải tóc, cấm không được đi theo, nếu không chị sẽ giận, và không bao giờ...."
Nem mondta végig, amit akart, s gyorsan eltávozott, én meg leültem az útra... nem bírt a lábam.	Nàng không nói hết câu, bỏ đi thật nhanh trong lúc tôi vẫn ngồi lại ở vệ đường... chân đau không đứng được.
A csalán összecsípte a kezemet, a hátam sajgott, a fejem szédült, de a boldogságnak az az érzése, mely akkor töltött el, nem ismétlődött meg életemben soha többé.	Bụi tầm ma đâm xước hai tay, lưng đau nhức, và đầu choáng váng quay cuồng; nhưng cảm xúc sung sướng vô ngần vừa trải nghiệm, không bao giờ trở lại trong đời tôi nữa.
13	Chương 13
Úgy éreztem, nem is kívánhatok többet a sorstól, most "egy nagyot és utolsót kellene sóhajtanom, s utána meghalnom".	Quá yêu dấu niềm hạnh phúc bất ngờ ấy, trở nên lo lắng, tôi không muốn gặp lại nàng, người đã khơi lên dòng xúc cảm mới mẻ.
Zinaida nagyon egyszerűen, teljesen nyugodtan fogadott, csak az ujjával fenyegetett meg, s azt kérdezte, nincsenek-e kék foltjaim.	Dĩ nhiên tôi đã không hy vọng một điều gì đặc biệt, nhưng sự bình thản của Zinaida như một xô nước lạnh tạt vào mặt tôi.
Szerény fesztelenségem és titokzatosságom, s velük együtt zavarom is egy szempillantás alatt eltűnt.	Tôi ý thức rằng dưới mắt nàng, tôi chỉ là một đứa bé, một đứa bé khốn khổ!
Természetesen nem vártam semmi különöst, de Zinaida nyugodtsága hideg zuhanyként hatott reám: megértettem, hogy gyermek vagyok - s nagyon megnehezült a szívem!	Zinaida bước tới, bước lui trong phòng, mỗi khi bắt gập ánh mắt của tôi nàng lại mĩm cười, nhưng tôi biết rõ tâm trí của nàng đang ở một nơi nào đó.
Zinaida fel és alá járt a szobában, s valahányszor rám nézett, mindig gyors mosoly suhant át az arcán; de tisztán láttam, hogy gondolatai messze járnak... "Beszélni kellene vele a tegnapi dologról - gondoltam magamban -, megkérdezni tőle, hogy hova sietett hogy megtudjam végérvényesen...", de csak legyintettem, s leültem a sarokban.	"Ta có nên bắt đầu nói về ngày hôm qua," tôi ngẫm nghĩ, "hỏi nàng đã đi đâu vội vàng, để tìm ra lẽ, một lần rồi thôi"... nhưng rồi tôi khoát tay tuyệt vọng, đến góc phòng, ngồi xuống.
Bejött Belovzorov; örültem neki.	Tôi thấy nhẹ nhỏm khi Byelovzorov bước vào.
- Nem találtam magának jó erkölcsű lovat - mondta szigorú hangon.	"Tôi không kiếm được một con ngựa thuần thục cho công nương," Byelovzorov cáu kỉnh nói.
- Freitag kezeskednék egyért, de én nem bízom ebben.	"Có một con, được ông Freitag bảo đảm, nhưng tôi không mấy tin tưởng, tôi sợ."
- Mitől fél, ha szabad kérdeznem - tudakolta Zinaida.	Xinaida nói, "xin vui lòng cho biết."
- Mitől?	"Tôi sợ gì cơ?
Hiszen maga nem tud lovagolni.	Công nương đâu đã biết cởi ngựa.
De hát mi is ötlött hirtelen az eszébe!	Tại sao công nương đột nhiên có nhã hứng cởi ngựa?"
- Hát ez az én dolgom, kedves fenevadam.	"Thưa Ngài Hoang-Thú, đó là chuyện riêng của tôi.
Csodálkoztam, hogy ilyen könnyen és szabadon mondta ki a nevét, mintha meg volna győződve szolgálatkészségéről.)	Tôi ngạc nhiên khi nàng nhắc đến tên ông, bình thản như thể nàng chắc chắn sẽ được giúp đở.)
- Velem nem - ismételte Belovzorov.	Chỉ biết đó không phải là ông."
Szerzek magának lovat.	Tùy ý công nương.
- De vigyázzon, nehogy valami lassú tehén legyen.	Tôi sẽ tìm được ngựa cho công nương."
Előre is figyelmeztetem, hogy vágtatni akarok.	"Vâng, nhưng xin nhớ, đừng đem tới mấy con bò già khù.
- Hát csak vágtasson, kérem.	Tôi đã nói tôi muốn phi nước đại."
- S vele miért ne, harcosom?	"Tại sao không, hở Ông Kiếm-Chuyện?
No, nyugodjék meg - tette hozzá -, s ne villogtassa a szemét.	Đừng nói nữa," nàng thêm, "và đừng thò lõ mắt như thế.
Magát is elviszem.	Tôi sẽ mang ông theo.
- Megrázta a fejét.	Nàng lắc đầu.
- Csak azért mondja, hogy megvigasztaljon - dörmögte Belovzorov.	"Công nương nói thế chỉ để an ủi tôi," Byelovzorov gầm gừ.
Zinaida hunyorított.	Zinaida khép mi mắt hững hờ.
- Ez magát megvigasztalja?...	"Như vậy an ủi được ông sao?
Ó... ó... ó... harcosom!	Ôi...ôi...ôi...Ông Kiếm-Chuyện!"
- mondta végre, mintha más szót nem találna.	cuối cùng nàng nói, như không tìm ra lời nào khác.
- És maga, mszjő Voldemar, jönne velünk lovagolni?	"Còn em, công tử Voldemar, có đi theo chúng tôi không?"
- Nem szeretek... nagy társaságban - mormogtam fel sem nézve.	"Em không thích.... đông người," tôi lấp bấp, không dám nhìn lên.
- Menjen már, Belovzorov és buzgólkodjék.	"Ông Byelovzorov, cố lên.
Nekem holnapra kell a ló.	Ngày mai phải có ngựa cho tôi nhé."
- Igenis; hát a pénzt honnan veszed?	"Ô, mà lấy đâu ra tiền mua ngựa?"
- avatkozott a beszédbe a hercegné.	bà công chúa góp ý.
Zinaida összehúzta szemöldökét.	Zinaida bực bội.
- Mamától nem kérek: Belovzorov megbízik bennem.	"Con có xin tiền mẹ đâu; Byelovzorov tin con mà."
- Maman, én csengőt ajándékoztam magának - jegyezte meg a hercegkisasszony.	"Mẹ, con đã cho mẹ cái chuông để lắc," Zinaida nói.
- Dunyaska!	"Duniashka!"
- ismételte az öregasszony.	bà công chúa réo lên lần nữa.
Belovzorov elköszönt; én is elmentem vele... Zinaida nem tartóztatott.	Byelovzorov ra về; tôi đi theo anh. Zinaida không tìm cách giữ tôi lại.
14	Chương 14
Másnap reggel korán keltem, botot vágtam magamnak, s kimentem a sorompón túlra.	Sáng hôm sau tôi dậy sớm, cắt một cành cây nhỏ làm gậy, đi quá cổng thành.
Gyönyörű nap volt, napsugaras, de nem túlságosan meleg.	Tôi nghĩ, tản bộ sẽ xua tan nỗi buồn.
Vidám, üde szellő járt a föld felett, ritmikusan suhogott és játszadozott, mindent megmozgatott, de semmit sem nyugtalanított.	Hôm ấy trời rất đẹp, không quá nóng, một luồng gió tươi mát hiện diện khắp nơi, xào xạc, vui tươi, mơn man mà không phiền nhiểu.
Sokáig kószáltam a hegyeken, az erdőkben; nem éreztem boldognak magam, azzal a szándékkal mentem el hazulról, hogy künn átengedem magam a szomorúságnak; de a fiatalság, a csodaszép idő, a friss levegő, a gyors járás öröme, a magányos heverés a sűrű fűben - győzött; felejthetetlen szavainak és csókjainak friss emlékei megint a lelkemben zsongtak.	Tôi lang thang trên những ngọn đồi, trong các cánh rừng; tôi chưa thấy hạnh phúc, khi bước chân khỏi nhà tôi đinh ninh mình sẽ đắm chìm trong nỗi tịch liêu, nhưng tuổi thanh xuân, thời tiết tuyệt vời, không khí trong lành, khoái hoạt do chạy nhảy, cảm giác êm đềm khi nghĩ chân, ngã lưng trên thảm cỏ ở một góc riêng tư, cảm thấy thắng thế; những câu nói không -thể -nào- quên và những nụ hôn ấy, một lần nửa trở về chiếm ngự linh hồn tôi.
Jólesett elgondolnom: mégsem lehet, hogy Zinaida ne szolgáltasson igazságot elszántságomnak, hősiességemnek... "Mások különbek neki - gondoltam -, sebaj!	Thật sung sướng khi nghĩ rắng, dù sao chăng nữa, Zinaida đã đền bù xứng đáng cho lòng can đảm, tính anh hùng của tôi... "Đối với nàng, có thể những người kia vượt trội hơn," tôi tự nhủ, "mặc kệ họ!
Elképzeltem, hogy mentem ki ellenség kezéből, hogy szabadítom ki, vérem ontásával, a börtönből, hogy halok meg lábainál.	Tôi bắt đầu hình dung ra cảnh tượng tôi giành nàng từ bàn tay kẻ thù như thế nào; mình đẫm máu đào, tôi dũng mảnh cứu nàng khỏi ngục tối rồi gục chết dưới chân nàng ra sao.
Eszembe jutott egy kép, mely fogadószobánk falán függött: Malek-Adel elragadja Mathildát... de akkor egy nagy tarka harkály megjelenése kötötte le figyelmemet, mely szorgoskodva kúszott felfelé egy vékony nyírfatörzsön, s nyugtalanul nézegetett ki mögüle, hol jobbra, hol balra, mint egy muzsikus a nagybőgő mögül.	Tôi nhớ đến một bức tranh treo ở phòng khách -- Malek -Adel ôm Matilda trên tay -- nhưng đúng vào lúc ấy, tôi lại bị lôi cuốn bởi một chú chim gỏ kiến có bộ lông lốm đốm đang tíu tít bận rộn trên cao; lấp ló hết bên phải lại qua bên trái, đàng sau một nhành bạch dương mảnh dẻ, như một nhạc sĩ bên chiếc đại hồ cầm.
Zinaida!", de nem lett a versből semmi, s közben eljött az ebéd ideje.	Khi ây đã gần đến giờ ăn tối.
Leszálltam a völgybe; keskeny homokos ösvény kígyózott benne a város felé.	Tôi thả dài xuống thung lũng; một con đường cát nhỏ hẹp, uốn khúc dẫn về thành phố.
Megindultam az ösvényen... Lópaták tompa dobbanása hallatszott mögöttem.	Tôi lững thửng bước....Tiếng vó ngựa rầm rập vang lên từ đàng sau.
Hátranéztem, önkéntelenül megálltam, s levettem a sapkámat: apám volt Zinaidával.	Bản năng khiến tôi ngừng chân đứng yên, nhìn quanh và ngã nón.
Egymás mellett lovagoltak.	Tôi thấy cha tôi và Zinaida.
Előbb csak kettejüket láttam, csak néhány pillanat múlva bukkant fel a völgy kanyarulatából Belovzorov, huszárruhában, mentében, tajtékos fekete paripán.	Lúc đầu chỉ có họ; nhưng trong phút chốc Byelovzorov đã xuất hiện trong tầm mắt, ở khúc quanh của trảng rừng thưa, trong bộ đồng phục kỵ binh và áo choàng, trên lưng một chú ngựa ô phì phò bọt mép.
A jó paripa rázta a fejét, fújt és táncolt; lovasa hol fékezte, hol sarkantyúzta.	Con tuấn mã hất đầu, hí râm ran, nhảy dựng, người kỵ mã vừa vất vả giữ chặt dây cương vừa đạp đinh thúc.
egész reggel lovagolt... és sápadt?"	cởi ngựa suốt cả buổi sáng, mà vẫn xanh xao?"
Meggyorsítottam a lépteimet, s hazaértem, pontosan ebéd előtt.	Tôi rảo bước, về nhà vừa đúng giờ ăn tối.
Apám már ott ült anyám karosszéke mellett, átöltözve, megmosdva, frissen, s egyenletes, csengő hangján a Journal des Débats tárcáját olvasta fel neki; de anyám különösebb figyelem nélkül hallgatta, s mikor engem meglátott, azt kérdezte, hol voltam egész nap, s hozzátette, hogy nem szereti, ha isten tudja, hol és isten tudja, kivel csatangolok.	Ngồi kế bên mẹ, cha tôi đã thay đổi y phục, tắm gội sạch sẽ; ông đọc một bài báo trong tờ Journal des Débats bằng giọng nói du dương; nhưng mẹ tôi nghe trong lơ đãng, và khi thấy tôi, bà hỏi tôi đã đi đâu cả ngày hôm nay, bà chẳng thích cái trò lang thang vớ vẫn chỉ có trời mới biết ở đâu, và với ai.
De hiszen egyedül sétálgattam, akartam felelni, de apámra néztem s hallgattam, magam sem tudom, miért.	Tôi sắp sửa trả lời, "Nhưng con chỉ đi dạo một minh," khi chợt nhìn qua cha tôi, và vì một lý do nào đó không rõ, tôi nín thinh.
15	Chương 15
A következő öt-hat napon alig láttam Zinaidát: azt a hírt terjesztette magáról, hogy beteg, ez azonban nem akadályozta meg látogatóit abban, hogy a szárnyépületben megjelenjenek - ahogy ők mondták: inspekcióra; csak Majdanov nem jött el, mert ő mindjárt elvesztette a kedvét s unatkozott, mihelyt nem volt alkalma elragadtatásba esni.	Trong mấy ngày sau đó, gần như tôi không gặp Zinaida; nàng ngã bệnh, tuy thế vẫn không tránh khỏi những người quen biết tấp nập ghé qua để bày tỏ, theo lời họ, sự quan tâm -- tất cả mọi người, nghĩa là, ngoại trừ Meidanov, đang ủ ê, buồn bã vì đã bỏ mất cơ hội biểu lộ tấm nhiệt tình.
Lusin kétszer is eljött naponta, de nem sokáig maradt; kissé féltem tőle legutóbbi beszél­getésünk óta, de egyúttal őszinte vonzódást is éreztem iránta.	Lushin thăm viếng mỗi ngày hai lần, nhưng không ở lâu; sau lần trò chuyện tới nơi tới chốn trước đây với ông, tôi cảm thấy có phần kính sợ ông, đồng thời có một hấp lực tự nhiên.
Egyszer eljött velem sétálni a Nyeszkucsnij-kertbe, nagyon kedélyes és kedves volt, megismertetett különböző füvek és virágok nevével és tulajdonságaival, s egyszerre - egészen váratlanul - a homlokára ütött s felkiáltott: "Én én, bolond, azt hittem, hogy kacér!	Một hôm, đi dạo trong công viên Neskutchny với tôi, ông đang vui vẽ tử tế, giảng giải cho tôi về các loại cây cỏ hoa lá, thình lình à propos không một lý do, ông đập tay lên trán kêu to, "Còn tôi, thằng khờ, cứ tưởng nàng chỉ làm duyên làm dáng!
Úgy látszik, édes feláldozni magunkat másokért."	rõ ràng đôi với một số người, hy sinh bản thân là hạnh phúc ngọt ngào!"
- Mit akar ezzel mondani?	"Ông muốn nói gì thế?"
- kérdeztem.	tôi dò hỏi.
- Magának semmit se akarok mondani - felelte Lusin szaggatottan.	"Tôi chẳng muốn nói gì cả" Lushin trả lời cụt ngủn.
Zinaida kitért előlem: megjelenésem - lehetetlen volt észre nem vennem - kellemetlenül hatott reá.	Zinaida trôn tránh tôi; và tôi không thể không nhận ra rằng sự hiện diện của tôi khiến nàng khốn khổ.
Valami érthetetlen átalakulás ment végbe benne: az arca, az egész egyénisége megváltozott.	Giống như trước đây, một điều gì bí ẩn đang xảy ra; gương mặt nàng thay đổi, nàng hoàn toàn thay đổi.
Ez a változás egyszer különösen meghökkentett - egy csendes, meleg estén.	Một buổi tối yên tĩnh ấm áp, tôi đã ngạc nhiên vì sự biến đổi ấy.
Alacsony kis padon ültem, terebélyes bodzabokor alatt; szerettem ezt a helyet: onnan látni lehetett Zinaida szobájának ablakát.	Tôi ngồi ở một băng ghế thấp dưới vòm lá xum xê của bụi cây cơm cháy; đó là nơi ẩn trú kín đáo tôi hằng ưa thích; từ chỗ ấy có thể nhìn thấy cửa sổ phòng Zinaida.
Ott ültem; fejem felett a sötétedő lomb között egy kis madár nyugtalankodott; elnyúlt testtel szürke macska osont óvakodva a kertben, az első bogarak mély zúgása hallatszott a még átlátszó, de már fénytelen levegőben.	Trên đầu tôi, một chú chim con tíu tít lăng xăng trong tàn lá âm u; ả mèo xám vươn chân duỗi mình rồi lọ mọ dạo quanh, những con bọ hung đầu mùa rền rĩ, râm ran, không gian vẫn trong vắt mặc dù không còn sáng.
Ültem, az ablakot néztem, s vártam, nem nyílik-e: s lám csak - kinyílt, s megjelent benne Zinaida.	Tôi ngồi đó, miệt mài nhìn lên cửa sổ, chờ đợi; cửa mở, Zinaida xuất hiện nơi khung cửa.
Fehér ruha volt rajta - s ő maga is, arca, válla, keze olyan fehér volt, mint a fehérített vászon.	Nàng mặc một chiếc áo trắng, thân hình, gương mặt, bờ vai và đôi tay nhợt nhạt trắng.
Sokáig mozdulatlanul állt, sokáig nézett összevont szemöldöke alól mozdulatlanul egyenesen előre.	Nàng đứng im thật lâu, nhìn thắng, cau đôi mày.
Ilyen tekintettel nem láttam még soha.	Tôi chưa bao giờ trông thấy vẽ mặt ấy.
Majd összeszorította a kezét, erősen, nagyon erősen, az ajkához emelte, a homlokához - s hirtelen szétterpesztett ujjaival hátravetette füle mellől a fürtöket, megrázta haját, s egy elszántságot kifejező, felülről lefelé irányuló fejmozdulatot téve, becsapta az ablakot.	Rồi nàng nắm chặt tay, đưa lên môi, lên trán, và đột ngột mở tay ra, giật mạnh những sợi tóc mai, vứt chúng đi, gật đầu như thể quả quyết, rồi đóng sầm cửa.
Három nap múlva találkozott velem a kertben.	Ba ngày sau trong vườn, tôi gặp nàng.
Félre akartam húzódni, de ő maga állított meg.	Tôi quay đi nhưng nàng chận lại.
- Adja ide a kezét - mondta a régi kedvességgel -, már rég nem beszélgettünk egymással.	"Đưa tay ra cho chị nào," nàng nói, vẫn trìu mến như xưa, "đã lâu chị em chúng ta không trò chuyện với nhau."
Ránéztem: a szeme szelíden fénylett, az arca olyan volt, mintha ködön át mosolyogna.	Tôi len lén nhìn; đôi mắt nàng long lanh êm ái, dường như nàng đang mĩm cười dưới một màng sương mỏng.
- Még mindig beteg?	"Chị khỏi bệnh chưa?"
- kérdeztem.	tôi hỏi.
- Nem, az már elmúlt - felelte, s leszakított egy kisebb rózsát.	"Vâng, chị đã khỏi bệnh," nàng trả lời, tay ngắt một đóa hồng đỏ.
- Egy kissé fáradt vagyok, de az is elmúlik.	"Chị vẫn còn hơi mệt, nhưng chắc cũng sẽ vượt qua."
