ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Minden rabszolgának Bark a neve; őt is Barknak hívták.	Một người nô lệ cùng mang tên Bark; vậy lão cũng tên là Bark.
Négy éve volt rabságban, de még nem törődött bele sorsába; nem tudta elfelejteni, hogy azelőtt király volt.	Nhưng mặc dù bị bắt đã bốn năm rồi, lão vẫn chưa đành chấp thuận: lão nhớ rằng xưa kia mình đã từng là chúa.
- Mit csináltál Marrakechban, Bark?	- Hồi ở Marrakech lão làm chi?
Marrakechban, hol még bizonyára élt felesége és három gyereke, nagyszerű hivatása volt.	Ở Marrakech, chắc vợ con lão bây giờ còn sống, lão đã từng làm cái nghề thật huy hoàng:
- Én voltam a nyájak pásztora, és Mohammed volt a nevem!	- Tôi chăm súc vật từng bầy, và tên tôi là Mohammed.
A kaidok - a gazdagok, uralkodók - maguk elé hívatták odalent.	- Ta có một bầy bò muốn bán, Mohammed ạ, lão vào trong núi lùa chúng ra đây.
Vagy:	Hoặc:
- Ezer birkám van lent a síkságon, tereld följebb őket a legelőkre.	- Bầy cừu của ta hôm nay u buồn quá đỗi.
És Bark, kezében uralkodói olajággal, vezette vándorlásukat.	Như tuồng chúng nhung nhớ non thẳm rừng sâu.
- Jöjj velünk, keress nekünk barmokat délen.	- Theo chúng ta đi tìm súc vật phương Nam.
Sokáig kellett mennie, s amikor három nap múltán mélyen bent jártak egy szűk hegyi úton, a lázadó vidékek határán, egyszerűen vállára tették kezüket, elnevezték Barknak, és eladták.	Người ta dắt lão đi thật lâu, và sau ba ngày, mò vào sâu trong một con đường núi hẻm ở sát cánh vùng phiến loạn, người ta đơn sơ đưa bàn tay ra nắm lấy vai lão, đổi tên lão ra Bark, và bán đứng lão đi.
Naponta a sátrak alatt fogyasztottam el teámat.	Hằng ngày tôi tới uống trà trong những căn lều.
Belépnek a sátorba, mikor uruk előveszi kincsesládájából a forralót, az edényt és a poharakat; tele van ez a kincsesláda lehetetlen tárgyakkal, kulcs nélküli lakatokkal, virág nélküli virágvázákkal, pár filléres tükrökkel, ócska fegyverekkel; elszórva a homokon mindez egy hajótörés hordalékára emlékeztet.	Những ổ khóa vắng chìa, những chậu hoa, mà hoa nào đâu thấy bóng, những tấm gương ba xu, những binh khí cũ kỹ, những thứ gì gì lạc lõng tới đây lửng lơ nhìn cát, kể thật cũng như dường những thứ của phá gia, chút oan gia bọt bèo thuyền đắm trôi dạt cập bờ.
Az izzó nap alatt haladni az éjszaka felé, és a mezítelen csillagok fagyos fénye alatt visszakívánni az izzó napot.	Chàng ta đâm ra bị cuốn hút trong làn du khoái cuộc chơi: pha trà, chăm sóc lạc đà, ăn cơm vào trong miệng.
Boldogok az északi tájak, a nyár megteremti ott a hó legendáját, s a tél megteremti a napfény legendáját; szomorúak a trópusok, ahol változatlan a forróság; de boldog a Szahara is, ahol nappal s éjszaka egyik reményből a másik reménybe ringatja az embereket.	Dưới cơn thiêu nướng của mặt trời, cứ đều đặn bước đi về chiều tối; và dưới cơn băng giá của ngàn sao trơn trụi, cứ mơ màng hoài vọng cái trận nướng của mặt trời thiêu.
Nem szerencsétlen - beteg.	Mà tẻ sao là nhiệt đới!
Férfiak, akik sokáig éltek egy nagy szerelem igézetében, s azután elpattant a varázs, belefáradnak néha magányos nemességükbe.	Đôi phen người nô lệ da đen, ngồi khoanh chân tròn khoeo trước cửa, phơi linh hồn phiểu diểu trong làn gió hây hẩy.
- Tessék, fogd - mondja néha az úr a rabnak.	Phút giây giờ cũ pha càn đòn đau.
S a fogoly, hálától elnehezülve, megcsókolná ezért a csésze teáért ura térdét.	Anh bạn da đen, anh không đau khổ khốn đốn, anh chỉ như tật nguyền.
A rab soha nem hord láncot; nincs rá szükség.	Nô lệ hãnh kiêu bằng giàu sang của chủ.
Egyszer majd mégis fölszabadítják.	- Này, này, uống đi, cho mày đấy.
Láttam ilyeneket Jubyban, amint meztelenül haldokoltak.	Và chủ ban cho tớ một ngụm trà trong tách đẹp tay nâng.
Ez a természet rendje.	Cần chi thế chứ!
Mind jobban s jobban beleveszett a földbe.	Một chân trời bát ngát tự do!
Az elsőt, akit láttam, nem halottam nyögni; nem is volt ki ellen sóhajtoznia.	Cũng như bảo: "Anh đã làm việc giỏi, anh đáng được ngủ rồi, thôi thì hãy ngủ đi".
Nem szenvedése nyugtalanított; nem hittem, hogy szenved.	Mặt trời thiêu đốt, cõi đất đón vào lòng.
Ám ha egy ember meghal, egy ismeretlen világ hal vele, s én azon tűnődtem, milyen képek támadhatnak föl benne.	Ba mươi năm vất vả, rồi cái quyền được ngủ yên, cái quyền về với đất.
Milyen szenegáli ültetvények, milyen dél-marokkói városok merülnek lassanként feledésbe.	Người nô lệ đầu tiên gặp tôi, tôi không nghe than vãn gì: ấy bởi rằng không có ai để trách.
Nem tudhattam meg, hogy ebben a fekete hústömegben egyszerűen nyomorúságos gondok alusznak-e ki: a tea, amit el kell készíteni, a barmok, amiket a kúthoz kell hajtani... hogy egy rabszolga lelke lobban-e el, vagy az emlékek áradatában fölébred, s tiszta nagyságában hal meg - az ember?	Tôi đoán nghe trong hồn gã chút niềm gì như chấp thuận phiêu diêu, mơ hồ man mác, đó nỗi lòng như của một sơn nhân lạc rừng, kiệt lực, nằm duỗi thân trên tuyết, cho phiêu bồng tuyết phủ, cho mộng tưởng về vây.
A koponya kemény csontja olyan volt számomra, mint egy ódon kincsesláda.	Cái xui tôi bứt rứt, không phải là sự đau khổ của y. Tôi không tin điều đó.
Nem tudtam, milyen tarka selymek, ünnepi képek, milyen régi, s e sivatagban oly hiábavaló nyomok menekültek meg a hajótörésből.	Nhưng trong cái chết một con người, một vũ trụ xa lạ chết theo, và tôi tự hỏi những hình ảnh nào đã chìm theo thân họ.
- Én voltam a nyájak pásztora, és Mohammed volt a nevem...	Tôi không biết, không biết gì hết cả.
Azok közül, akiket ismertem, Bark, a fekete rabszolga volt az első, aki ellenállt.	Cái hòm rương vẫn còn nằm tại đó, khóa kín, nặng nề.
Hogy a mórok elrabolták szabadságát, s egy napon újszülöttnél pucérabbá tették a földön - nem jelentett semmit.	- Xưa tôi là kẻ mục tử lùa dắt dê cừu, xưa tên tôi là Mohammed…
Istennek vannak viharai, melyek egyetlen óra alatt elpusztítják így az emberek vetését.	Bark là người nô lệ da đen đầu tiên tôi gặp đã cưỡng kháng, không chịu buông xuôi.
És Bark nem mondott le, amikor más foglyok oly könnyen megölték volna magukban a nyomorult pásztort, aki egész éven át keményen dolgozott, hogy kenyerét megkeresse.	Và Bark quyết định không chịu đầu hàng, trong khi bao nhiêu nô lệ khác đã không bận lòng thắc mắc, cứ để yên cho chết hẳn trong thân mình cái hình hài một gã chăn cừu lao khổ quanh năm kiếm cơm nuôi sống.
Bark nem rendezkedett be úgy a szolgaságban, ahogyan a várakozásban kimerült ember berendezkedik a közepes boldogságban.	Bark không nằm yên ổn trong vòng nô lệ như người ta nằm yên trong một hạnh phúc tầm thường sau khi đã mỏi mòn chờ đợi.
Szívében fönntartotta a távollevő Mohammed lakását.	Lão giữ nguyên cho gã Mohammed vắng biệt, cái ngôi nhà xưa cũ mà y từng đã ở, ngay trong lồng phổi mình.
Ezt az ürességében oly szomorú lakást, amely azonban soha senki másnak nem lesz otthona.	Cái ngôi nhà quạnh hiu vì vắng chủ, nhưng không một kẻ nào khác được phép bước vào.
Nem azt mondta: "Mohammed ben Husszajn vagyok", hanem ezt: "Mohammednak hívtak" - mert mindig arra a napra gondolt, amikor majd föltámad ez az elfelejtett Mohammed, s puszta föltámadásával elűzi a szolgaságot.	Lão không nói: "Tôi là Mohammed ben Lhaoussin" mà bảo: "Xưa kia tôi tên là Mohammed" vì mơ màng tới một ngày nào đó, nhân vật bị lãng quên kia sẽ hồi sinh, và riêng với cuộc hồi sinh nọ, sẽ xua đuổi xa lìa dáng dấp nô lệ ngày nay.
"Éjszaka - mesélte mór tolmácsunk -, éjszaka Marrakechról beszélt, és sírt." Mindenkivel megesik ez a magányosságban.	Viên thông ngôn người Maure kể lại với chúng tôi rằng: "Nửa đêm, giữa canh khuya, lão nhắc tới thành Marrakech rồi lão khóc".
Eltelve ezekkel a csodálatosan megélemedett, régi kedvességekkel, mintha sugárzó tűzhelyük itt volna valahol a közelben, Bark hozzám jött.	Và Bark mắt nhắm nghiền, tưởng mình ở một ngôi nhà trắng xóa, đêm đêm ngồi dưới một ngôi sao quen thuộc, chính bây giờ đương ở chỗ thiên hạ cư trú trong những căn lều vải len thô và đuổi theo hồn gió.
S elég lett volna neki, ha egyetlen jelet kap tőlem.	Chỉ cần một dấu hiệu của tôi là đủ.
Bark mosolygott, megmondta a cselt is, amire eddig nem is gondoltam.	Rồi Bark mỉm cười, vẽ cho tôi cái trước, hẳn là tôi chưa có nghĩ ra:
- Szegény, öreg Bark!	- Tội nghiệp lão quá!
A lázadók vidékén éltünk, hogyan segíthettük volna elő menekülését?	Người Maure ngày sau, sẽ rửa hận như thế nào, có trời mà biết rõ.
Másnap a mórok, Isten tudja, milyen mészárlással bosszulták volna meg a tolvajlást és a sérelmet.	Cướp bóc và làm nhục nhau như thế, thì chỉ còn có cái nước phải chịu tàn sát kinh hồn.
- Húszezer frank az ára.	- Đủ hai vạn quan tiền mới được.
- Bolondját járatod velünk?	- Anh đùa chơi đó chớ?
Nyolc álló napig tartott.	Kéo dài tám ngày.
Volt egy közös barátom a tulajdonossal, Zin Uld Rhattari; ő titokban segített.	- Bán đi, bán hắn đi cho rồi, không bán thì rồi cũng tới ngày mất toi cả mà thôi.
Egy másik banditának, Ragginak jutalékot ígértem, ha segít megkötni az üzletet; s ő csábítgatta a tulajdonost.	Tôi cũng có hứa thưởng một tên cướp khác nữa, Raggi, nếu anh ta giúp vào cho nên chuyện, và Raggi tìm cách lung lạc người chủ:
- Tevéket, puskákat és golyókat vehetsz a pénzen.	- Bán đi mà lấy tiền về mua lạc đà, mua súng, mua đạn, cho nhiều nữa càng tốt chớ sao.
A végén eladták nekem Barkot.	Và người ta bán Bark cho tôi.
De sikerült kiszabadítanom szolgaságából.	Giam thì giam, nhưng tôi cởi lốt nô lệ cho lão.
- Mostantól fogva fiunk vagy.	- Bây giờ mày là con ta.
És Bark megcsókolta valamennyi apját.	Và Bark hôn tất cả các người cha.
Ez az út az életbe, ez az autóbusz, a tömeg, a város, melyet viszontlát...	Không nên để cho Bark xuống phi cơ rồi chết đói.
Nem fog éhen pusztulni, ha kiszáll: a három szerelő ezer frankot adott át részére; így majd nyugodtan kereshet munkát.	Bọn họ gửi cho Bark một nghìn quan, nhờ tôi đưa lại; như vậy Bark có thể sống mà tìm công ăn việc làm.
Azokra a jótékony öreg hölgyekre gondoltam, akik irgalmasságot gyakorolnak, odavetnek húsz frankot, és hálát követelnek.	Và tôi nghĩ tới những bà già trong những hội phước thiện, mỗi khi làm phước bố thí hai mươi quan thì đòi hỏi lòng tri ân đầy đủ.
Nem is szánalomból cselekedtek, mint azok az öreg hölgyek, akik a boldogságról álmodoznak.	Họ cũng không vì lòng thương hại, như những bà kia cho của và mong phúc lộc về sau.
Egyszerűen hozzájárultak ahhoz, hogy egy ember visszakapja emberi méltóságát.	Họ chỉ muốn một điều giản dị: trả lại phẩm cách con người cho một con người.
Nagyon jól tudták, éppúgy, mint én, hogy ha a hazatérés mámora elmúlt, az első hű barát, aki Bark mellészegődik, a nyomor lesz, s nem telik bele három hónap, és valamelyik vasútépítési munkánál fog kínlódni.	Cũng như tôi, họ quá hiểu rằng, sau cái cơn đê mê được về quê cũ, người bạn đầu tiên trung thành sẽ bước tới chào đón Bark là cô nàng tên gọi là túng quẫn, và trong vòng ba tháng tới đây, lão sẽ phải lao khổ hì hục trên những đường hỏa xa mà ì ạch bứng gốc đường rầy.
Boldogtalanabb lesz, mint amilyen nálunk volt, a sivatagban.	Lão sẽ vất vả hơn lúc còn ở sa mạc bên chúng tôi.
A repülőgép reszketett, indulásra készen.	Chiếc phi cơ rung chuyển sắp khởi hành.
Bark még egyszer, utoljára, Cap Juby végtelen sivársága fölé hajolt.	Bark nghiêng mình nhìn lần chót cảnh hoang liêu bát ngát Cap Juby.
Búcsút intettünk ötvenesztendős újszülöttünknek és kicsit zavarban voltunk, hogy így rábízzuk a világra.	Chúng tôi vẫy tay từ biệt, vĩnh biệt đứa con sơ sinh năm mươi tuổi đầu, lòng hơi hoang mang giao nó lưu ly vào cuộc thế.
- Isten veled, Bark!	- Vĩnh biệt Bark nhé!
- Nem.	- Không.
- Mi az, hogy nem?	- Sao, không?
- Nem.	- Không.
Mohammed ben Husszajn vagyok.	Tôi là Mohammed ben Lhaoussin.
Az autóbusz csak este indult, Barknak egy egész napja volt Agadirban.	Chuyến ô-tô-ca chỉ khởi hành vào chiều tối, nên Bark ở đấy cả ngày.
- Mi baj van?	- Gì thế?
- Semmi...	- Không…
Oly hirtelen jött a szabadság, hogy Bark még nem eszmélt rá igazán feltámadására.	Bark choáng váng trong cơn sổ lồng đột ngột, chưa kịp nhận thấy rõ cuộc hồi sinh.
Igaz, tompa boldogság töltötte el, de ezen a boldogságon kívül nem volt semmi különbség a tegnapi és a mai Bark között.	Lão có cảm thấy một thứ hạnh phúc hoang mang, nhưng ngoài niềm vui đó ra, lão chưa thấy có gì khác biệt giữa Bark hôm qua và gã Bark hôm nay.
Mostantól fogva mégis mint egyenrangú osztozik az emberekkel a napsugárban, joga van hozzá, hogy leüljön az arab kávéház lugasában.	Tuy nhiên, từ nay lão bình đẳng chia sẻ với kẻ khác ánh nắng mặt trời này, và có quyền ngồi đây, tại quán cà phê Ả Rập.
Teát rendelt magának és Abdallahnak.	Lão gọi trà cho lão và cho Abdallah.
A kis berber táncosnők hozzájuk csatlakoztak, szelíd bájjal köszöntötték, hogy Bark úgy érezte, újjászületik, anélkül, hogy tudták volna, ezek a táncosnők fogadják majd vissza az életbe.	Bark lúc bấy giờ mới chợt cảm thấy rằng mình sắp được sống lại: chính các cô em này là những kẻ sắp đón mừng lão đương trở lại với đời, dẫu rằng các cô em vô tình nào có biết có hay.
Bark el akarta mondani feltámadását.	Bark muốn kể chuyện mình hồi sinh.
Ők bájosan mosolyogtak.	Họ dịu dàng cười.
Látták, hogy örül, örültek hát ők is.	Như hồn nhiên đôi hàng thùy liễu.
Minden embernek van neve, és sokan vannak, akik nagyon messziről jönnek.	Nhưng họ hài lòng mà chẳng lấy làm ngạc nhiên chi cả.
Újra a városba vitte Abdallaht.	Lão lôi Abdallah vào thành phố.
Bolyongott a zsidók boltjai között, bámulta a tengert, arra gondolt, hogy szabad, nekivághat akármilyen útnak, kóborolhat, amerre kedve tartja.	Lão lang thang trước những cửa hàng người Do Thái, ngó nhìn ra biển, nghĩ rằng mình muốn bước đi đâu mặc ý, bước theo hướng nào mặc lòng, vì mình tự do.
Akkor egy gyerek haladt el mellette, és Bark szelíden megsimogatta a gyerek arcát.	Một đứa bé đi qua, Bark vuốt nhẹ vào má nó.
S aki ránevetett.	Và nó mỉm cười.
Ez a gyerek felébresztette őt, s Bark most már valamivel fontosabbnak érezte magát a világban, egy gyönge kis kölyök miatt, akinek rá kellett mosolyognia.	Và đứa bé thức tỉnh Bark, Bark cảm thấy mình có quan hệ nhiều hơn một chút trên mặt đất, nhờ một đứa bé yếu đuối đã vì lão mà mỉm cười.
- Mit keresel?	Abdallah hỏi:
- kérdezte Abdallah.	- Lão tìm chi thế?
- Semmit - felelt.	- Có chi đâu, Bark đáp.
Megérkezett.	Chính là đây.
Szótlanul nézte őket.	Lão lặng lẽ nhìn chúng.
- Bolond, vigyázz a pénzedre!	- Ngốc quá ta, giữ tiền mà tiêu chớ.
Bark azonban nem hallgatott rá.	Nhưng Bark chẳng nghe gì nữa hết.
A vékony kis karok kinyúltak a játékokért, karperecekért, aranyvarratos papucsokért.	Và bọn trẻ con từng đứa nắm chặt phần mình rồi, liền chạy mất, thật man di.
S a gyerekek, amikor jól megmarkolták kincsüket, vadul elfutottak.	Trẻ con khác trong thành hay tin, xô nhau ù chạy tới tìm.
A hír elterjedt, Agadir többi gyerekei is hozzátódultak: Bark aranyos topánkákat adott nekik.	Bark đem hài thêu kim tuyến ra xỏ vào bàn chân chúng.
S Agadir környékének kölykeit is megbolygatta a hír: fölkerekedtek, és zajongva siettek a fekete istenséghez, szakadozott rabszolgaruhájába csimpaszkodtak, járandóságukat követelték.	Rồi trẻ con ở các vùng quanh quất Agadir tới lượt bén tin nao nức cũng reo hò đổ tới, không ngớt kêu la tới bên đấng Chí Tôn Thần Linh da đen mà bám, bu vào nát cả y phục nô lệ xác xơ, mà đòi phần sẻ chia thích đáng.
Abdallah azt hitte: megőrült örömében.	Abdallah cho là lão ta "điên vì vui quá".
De én úgy hiszem, Bark esetében nem arról van szó, hogy meg akarta osztani túláradó örömét.	Nhưng tôi nghĩ rằng sự vụ không phải thế, không phải rằng Bark vì ngập tràn vui sướng mà san sẻ chia ra.
Az arab kávémérés pincére, az utcák sok járókelője mind tisztelte benne a szabad embert, megosztotta vele testvérien a napfényt, de senki nem adta jelét annak, hogy szüksége volna rá.	Chú bồi bàn trong quán Ả Rập nọ, kẻ qua lại bên đường kia, thảy thảy cùng tôn trọng con người tự do ở nơi lão, cùng lão bình đẳng chia sẻ ánh mặt trời, nhưng không một kẻ nào đã tỏ ra cần lão.
A sivatag igazi élete nem a törzsek vándorlása a legeltetésre alkalmas területek felé: egy állandóan folyó játék ez az élet.	Ôi, khác biệt một vực một trời, là thể chất giữa cát bãi đã chịu tòng phục và cái thứ cát kia chưa.
Szemközt ezzel az átlényegült sivataggal, eszembe jutnak gyerekkori játékaim a homályos, aranyos kertben, melyet istenekkel népesítettünk be, a határtalan birodalomban, amivé ez az egy négyzetkilométernyi, egészen soha meg nem ismerhető, föl nem fedezhető terület vált számunkra.	Đối diện cái sa mạc đã biến dạng dị thường kia, tôi bỗng nhớ lại những trò chơi tuổi nhỏ, tôi nhớ lại cái khu vườn âm u mà vàng gieo lộng lẫy, mà thủa nhỏ chúng tôi từng đã mang về đầy đủ những chư thần, chư thánh, ôi chư tiên kiều diễm dắt tay nhau vào lá xanh dìu dặt.
Ha most visszatérsz hozzá, reményed vesztve, csüggedten haladsz el a szürke kövekből rakott alacsony fal mentén, s elámulsz, hogy ilyen szűk helyen elfért az ország, amely végtelenséged volt egykor; elámulsz, és tudod: ebbe a végtelenségbe soha többé nem fogsz visszatalálni, mert nem a parkba: a játékba kellene visszatalálnod.	Chúng tôi cấu tạo nên một nền văn minh kín bưng biệt lập, trong đó từng bước chân có riêng một hương vị, từng gót ngọc có riêng một âm vang, từng mỗi một vật thể nhỏ hay to, tròn xinh hay méo xẹp, thảy thảy đều mang một nghĩa riêng tây, ngoài cõi đó ra, không bao giờ một miền khác có.
De ma már nincsenek lázadó vidékek.	Không có quyền, và không được phép.
Cap Juby, Cisneros, Puerto Cansado, Saguet-El-Hamra, Dora, Smarra ma már nem rejtelem.	Cap Juby, Cisneros, Puerto-Cansado, la Saguet-El-Hamra, Dora, Smarra, chẳng nơi nào còn chút chi bí mật.
A látóhatárok, amelyek felé hajdan futottunk, egymás után kialudtak, mint azok a világító rovarok, amelyek fényüket vesztik, ha egy langyos tenyér fogságába esnek.	Những chân trời rộng mở ta đã từng đăm đắm đuổi theo, đã lần lượt chìm tan đâu mất cả, như những côn trùng sặc sỡ chợt sa vào bàn tay tóm bắt, chợt tan tành những lộng lẫy sắc hương.
Nem csaptuk be magunkat, amikor ezeket a fölfedezéseket hajszoltuk.	Chúng tôi không u mê nhầm lẫn, lúc lao đầu vào khai phá cỏ chân mây.
A sivatag?	Sa mạc ư?
Elmondom, hogyan történt.	Đây là câu chuyện.
A SIVATAG SZÍVÉBEN	GIỮA LÒNG SA MẠC
Amikor a Földközi-tengert elértem, alacsony felhőbe kerültem.	Vào tới Địa Trung Hải, tôi gặp mây thấp xuống bên mình.
Leszálltam húszméternyire a víz fölé.	Phi cơ chìm xuống hai mươi thước.
André Prévot, mechanikusom, cigarettát gyújt nekem.	Anh thợ máy, André Prévot, thắp thuốc cho tôi không ngớt.
- Kávé...	- Cà phê đi…
Eltűnik a repülőgép hátsó részében, egy hőpalackkal tér vissza.	Anh biến ra phía đuôi tàu và trở lại với chiếc te-mô.
Időről időre megfricskázom a gázkart, hogy megtartsam a kétezer-száz fordulatot.	Thỉnh thoảng tôi búng vào cái nút nhận ga, để cầm giữ hai nghìn một trăm vòng quay.
Tekintetem végigsuhan a számlapokon: minden simán engedelmeskedik, minden egyes mutató a helyén áll.	Tôi đưa mắt lướt qua một lượt khắp các mặt kính chỉ dẫn: trăm họ ngoan ngoãn vâng lời, kim nào vị trí nấy.
A tenger egy olyan világ része, amely világ már nem az enyém.	Biển thuộc một thế giới nào không phải của tôi.
Másfél órai repülés után eláll az eső.	Bay được một giờ rưỡi, thì mưa ngớt.
A felhők még mindig nagyon alacsonyan szállnak, de már áthat rajtuk a fény, mint egy széles mosoly.	Mây vẫn còn thấp lắm, nhưng ánh sáng nghiêng trời xuyên xuống, xỏ qua mây như một nụ cười dài rộng.
És előbukkan az első hasadék.	Và đây, khung trời quang thứ nhất…
Prévot-hoz fordulok:	Tôi quay lại anh Prévot:
- Vége; most már jó.	- Xong xuôi rồi, tốt thật!
- Igen, most már jó.	- Vâng, tốt thật…
Tunisz.	Tunis.
Amíg betöltik az üzemanyagot, papírokat írok alá.	Trong lúc ấy éc-xăng, tôi ký vào các giấy tờ.
Süket, visszhang nélküli csattanás.	Một thứ tiếng chói tai, không âm vang.
- Telefonáljanak... orvost... a feje...	- Gọi điện thoại… Một bác sĩ… Cái đầu…
Elszorul a szívem.	Lòng tôi se lại.
Az este derűs fényében váratlanul lecsapott a végzet.	Định mệnh vừa đánh trúng một đòn trong bóng chiều yên tĩnh.
Vége egy szép arcnak, egy éles elmének, vagy életnek... A mór kalózok vonultak így a sivatagban, senki nem hallotta ruganyos lépésüket a homokon.	Trong một trại đồn giữa sa mạc, cái tiếng xao xác ngắn ngủi do một trận cướp gây ra, cũng quả có dường như vậy.
A táborban a fosztogatás rövid zsivaja.	Rồi mọi sự chìm vào trong vắng lặng vàng hoe.
Indulunk; irány Benghazi.	Lên đường đi Benghaza vậy.
Még két óráig tart a nappal.	Chỉ còn hai giờ nữa thì ngày tàn.
Már rég letettem fekete szemüvegemet, amikor Tripolisz vidékét elérem.	Tôi bỏ kính râm lúc bay tới địa phận Tripolitaine.
A homok aranyszínűvé válik.	Cát vàng óng ả. Hỡi ôi!
A táj még szőke fényben fürdik, de valami már elpárolog belőle.	Toàn khối vũ trụ tục phàm đã lẩn bóng và tan đi.
Lemondok minden támaszpontról, amely vezethetett volna.	Tôi tạ từ thong dong, này trời cao, nắng rộng.
Lemondok a hegyes égre rajzolódó körvonalairól, amelyek megóvhattak volna attól, hogy sziklának ütődjek.	Tôi tạ từ những bóng núi in hằn giữa thương khung, có thể giúp tôi tránh dễ dàng các mỏm đá.
Nincs más vezetőm, csak a csillagok...	Tôi rẽ gió ngất tạnh mà đi.
A világ lassan hal el, apránkint fogy el a fény.	Tôi chỉ còn có ngàn sao mù khơi là bạn…
Ég és föld fokozatosan egybemosódik.	Và từ từ, ánh sáng biệt ly tôi.
A föld fölemelkedik, s úgy árad szét, mint a gőz.	Đất và trời cũng từ từ hòa vào nhau hợp một.
Kigyulladnak az első csillagok, mintha zöld vízben ragyognának.	Đất bay lên trời và tỏa rộng như khí sương.
Még sokáig kell várni rá, hogy keményen szikrázó gyémánttá váljanak.	Những tinh tú đầu tiên run rẩy hình như ngại ngùng trong bầu nước lục.
Voltak éjszakák, amikor annyi csillagcsóvát láttam, hogy úgy tűnt, nagy szélvihar jár a csillagok között.	Còn phải chờ lâu nữa mới mở mắt mơ màng mà chứng giám cuộc phiêu bồng sỏa lộng bóng sao băng.
Prévot kipróbálja a lámpákat.	Prévot đang thử những đèn thường và những đèn phòng khi cấp cứu.
- Még egy réteget...	- Thêm một lớp nữa…
Ráteszi, fölkattant egy kapcsolót.	Anh bọc thêm một lớp nữa, và bật đèn.
Még mindig nagyon éles a fény.	Ánh đèn vẫn còn sáng quá.
Megzavarná azt a könnyű párát, amely éjszakánként olykor megtapad a dolgokon.	Nó sẽ hủy tan đi cái chất nhờn phơn phớt còn bám vào cảnh vật trong đêm tăm.
Az éjszaka megjött.	Đêm đã vây tràn.
De ez még nem az igazi éjszaka.	Nhưng chưa phải là sống thực.
Prévot eltűnik a gép mélyén, egy szendviccsel tér vissza.	Prévot quay ra phía sau, chạy trở về với bánh bèo nhận hột.
Én egy szőlőfürtöt csipegetek.	Tôi gậm nhấm một chùm nho.
Akkor vettem csak észre a várost, amikor fölé értem.	Tôi đã nhìn thoáng thấy thành phố, lúc tôi tới nơi.
Körözök a tér fölött.	Tôi xoay phi cơ trở lại.
Még egy kört vetek, hogy jól megfigyeljem az akadályokat.	Dụng cụ ban đêm ở sân này thật là chỉnh bị.
A repülőtér éjszakai fölszerelése nagyszerű.	Tôi hãm máy và khởi sự lao xuống như lao vào nước đen ngòm.
Lefojtom a motort, lemerülök, mint egy fekete vízbe.	Tôi hạ cánh lúc mười một giờ đêm.
A fárosz felé gördülök, A világ legudvariasabb tisztjei és katonái jönnek felém, az árnyékból a fényszóró éles világosságába lépnek, egyik pillanatban láthatók, másikban láthatatlanok.	Những sĩ quan và lính tráng nhã nhặn hết mực, theo tia sáng chớp của ngọn đèn pha mà ẩn hiện, lúc mờ lúc tỏ, lúc thấy lúc không, người ta thu giấy tờ của tôi, người ta bắt đầu cho xăng vào máy.
Átveszik irataimat, üzemanyagot töltenek.	Công việc sẽ xong xuôi trong hai mươi phút.
Végiggördülök ezen az aranyozott úton, egy akadálytalan rés felé.	Tôi cho phi cơ lăn trên con đường vàng óng, trên một lối không chướng ngại.
Simoun-típusú gépem súlyos terhével is könnyen és hamar a levegőbe emelkedik.	Phi cơ tôi, loại "Simoun" cất cánh nhẹm lạ, trước khi chạy hết khoảng đường dành sẵn.
Fél fordulatot teszek; a fényszóró újra arcomba vág, de azután mindjárt másfelé csap hosszú aranykévéje.	Qua những mối ân cần tương nhượng kia, tôi nhận ra niềm hòa nhã cao vời.
És most nekikanyarodunk megint a sivatagnak.	Tạ từ nhau, giờ lại xin xoay chiều về Sa Mạc.
Párizs, Tunisz és Benghazi időjelentései harminc-negyven kilométeres hátszelet jeleznek, óránként háromszáz kilométeres sebességre számítok.	Những ban khí tượng tại Paris, Tunis và Benghazi có cho tôi biết có một cơn gió thuận chiều thổi theo đuôi, tốc độ từ ba mươi tới bốn mươi cây số một giờ.
Ha a szél nem változik, három óra húsz percig tart az út.	Tôi sẽ bay suốt ba giờ hai mươi phút, nếu gió không đổi cơn.
Ha gyengül, három és háromnegyed óráig.	Bay ba giờ bốn mươi lăm, nếu gió yếu bớt.
Hozzákezdünk az ezerötven kilométeres sivatagi úthoz.	Và tôi bắt đầu heo hút vượt một ngàn năm mươi cây số sa mạc.
Nincs többé holdfény.	Không còn trăng.
Kísérletet se teszek rá, hogy iránytűmön keresztül egyebet is lássak.	Tôi cũng chả thử gắng quan sát gì khác, ngoài cái địa bàn và cái máy Sperry.
Ha Prévot megmozdul, lassan helyesbítem a súlypont-meghatározó ingadozásait.	Lúc nào Prévot rục rịch dời chỗ, tôi dìu dịu sửa sai cho những biến thiên của định tâm điểm.
Fölemelkedem kétezer méterre: a jelentések szerint ott találok kedvező szélre.	Tôi đưa phi cơ lên độ cao hai ngàn thước, nơi người ta đã báo cho biết là gió sẽ thuận chiều.
Én is tudósnak és tisztának érzem magam.	Ngoại vật thảy đều chìm tắt hết.
A külső világban kialudt minden.	Trông cậy vào gì bây giờ.
