Dávid Copperfield	David Copperfield
A legcsekélyebb kifogásom sincs az ellen, Copperfield, hogy megbeszélje a dolgot Jorkins úrral, ha érdemesnek tartja a fáradságra.	Tôi không hề phản đối về việc anh nói điều đó với ông Joóckin nếu như anh thấy cần nói".
Megköszönvén ezt az engedélyt, a melyet Spenlow úr meleg kézszorítás kiséretében adott meg, visszaültem újra a helyemre, s Dórára gondoltam, és a napfényt néztem, a mely a kéménytetőkről lesiklott a szemközt lévő ház falán, – a míg Jorkins úr meg nem érkezett.	Lợi dụng lời cho phép này kèm theo một cái bắt tay nóng hổi, tôi ngồi yên nghĩ đến Đôra, nhìn ánh nắng mặt trời chiều trên những cái bình trên lò sưởi của ngôi nhà trước mặt cho đến khi ông Joóckin đến.
Majd fölmentem Jorkins úr szobájába, a kit a megjelenésemmel szemlátomást nagyon megleptem.	Sau đó, tôi lên phòng ông Joóckin và rõ ràng ông ta rất ngạc nhiên khi thấy tôi xuất hiện.
– Jőjjön be, Copperfield úr, – szólt Jorkins úr.	"Anh Copơphin, mời anh vào", ông Joóckin nói.
Jorkins úr távolról sem volt az a félelmes teremtés, a kinek az ember gondolhatta volna; hanem nagy, nyájas, símaképű, körülbelül hatvan esztendős öreg úr volt, a ki oly sok tubákot elhasznált, hogy a Commonsban ősidők óta az a hír keringett róla, hogy főként ezzel az izgató szerrel táplálkozik, mivel szervezetében alig van hely másfajta táplálék befogadására.	Ông Joóckin hoàn toàn không phải là con người dễ sợ như người ta tưởng, mà là một con người sáu mươi tuổi, cao lớn, hiền từ, không có râu và dùng nhiều thuốc lá để hít đến nỗi trong Pháp-viện người ta kháo nhau rằng ông sống chủ yếu bằng chất kích thích này bởi vì trong cơ thể ông không còn chỗ nào để nhét những thức ăn khác.
Azt feleltem, hogy igenis, megbeszéltem, s megmondtam azt is, hogy éppen Spenlow úr említette az ő nevét.	"Vâng", tôi đáp, "và ông Xpenlô đã bảo tôi hỏi ông".
Kénytelen voltam megvallani, hogy Spenlow úr valószínűnek tartotta Jorkins úr kifogását.	Tôi đành phải thừa nhận rằng ông Xpenlô cho rằng điều đó có thể xảy ra.
Én ellene vagyok, tudja meg, – szólt hadarva, s azután kiment.	Tôi phản đối, anh hiểu không?", ông nói một cách hối hả rồi đi ra.
– A mi az ő személyét illeti, uram, Spenlow úr nincs ellene, – szóltam.	"Thưa ông, riêng ông ấy thì ông ấy không phản đối gì ạ!".
– Óh!	"Ồ!
A mit kíván, az lehetetlenség.	Điều anh muốn là không thể được.
De – de igazán sürgősen a bankba kell mennem.	Tôi… tôi thực có hẹn với người ta ở Ngân hàng".
Így szólván, a szó szoros értelmében elrohant; s legjobb tudomásom szerint, három napig nem is mutatkozott többé a Commonsban.	Nói đoạn, ông ta ba chân bốn cẳng bỏ chạy và theo như tôi biết đích xác, ba ngày sau mới thấy ông ta có mặt ở Pháp-viện.
Mivel mindenáron meg akartam mozgatni minden követ, vártam, a míg Spenlow úr vissza nem jött, s azután elmondtam neki, mi történt, értésére adván azt is, hogy nem tettem még le minden reményről, hogy az esetben, ha ő vállalkoznék rá, meg lehetne még lágyítani Jorkins úr kőszívét.	Vì lo lắng không muốn bỏ lỡ một dịp nào nên tôi chờ đợi, cho đến khi ông Xpenlô trở về, và tôi kể lại những điều đã xảy ra đồng thời nói cho ông biết tôi hy vọng rằng ông vẫn có thể làm cho ông Joóckin trơ trơ như đá kia sẽ cảm động nếu như ông vui lòng làm điều đó.
– Copperfield, – felelt Spenlow úr leereszkedő mosolylyal, – maga nem ismeri még a társamat, Jorkins urat, oly régóta, mint én.	"Anh Copơphin ạ!", ông Xpenlô nói với tôi, miệng nở một nụ cười khôn khéo - "Anh không biết ông bạn cộng tác của tôi lâu như tôi biết.
Isten ments, eszem ágában sincs Jorkins urat kétszínűséggel vádolni.	Tôi hoàn toàn không hề có ý nghĩ cho rằng ông ta mánh khóe.
De Jorkins úrnak megvan az a szokása, hogy oly módon hangsúlyozza a kifogásait, a mely gyakran megtéveszti az embereket.	Không, anh Copơphin ạ (ông nói, lắc đầu) ông Joóckin không để cho người ta lay chuyển đâu.
Nem, Copperfield!	Anh nhớ cho".
Tökéletesen belezavarodtam Spenlow úrba és Jorkins úrba, és sejtelmem sem volt róla, melyikök az, a ki ellenzi a dolgomat; azt azonban elég tisztán láttam, hogy valahol szívós makacssággal állok szemben a czégben, s hogy a néném ezer fontjának a visszaszerzéséről szó sem lehet.	Nhưng tôi hiểu rất rõ rằng ở đâu đây, trong ngôi nhà này, có sự tàn nhẫn, và tôi đừng hòng nói đến chuyện lấy lại một nghìn bảng của cô tôi.
A kétségbeesés oly állapotában, a melyre nagyon elégületlenül gondolok vissza, mert tudom, hogy még mindig túlságosan a magam személyére vonatkozott, (bár mindig Dórával kapcsolatban), – távoztam az irodából és hazafelé indúltam.	Trong tình trạng tuyệt vọng, (tôi nhớ đến điều đó không vui vẻ chút nào bởi vì tôi biết tâm trạng này hãy còn liên quan quá nhiều đến tôi, mặc dầu đây vẫn là những quan hệ của tôi với Đôra); tôi rời phòng giấy và trở về nhà.
Éppen azon igyekeztem, hogy hozzászoktassam gondolataimat a legrosszabb eshetőséghez, s a legsötétebb színekben fessem le magam elé azokat az intézkedéseket, a melyeket a jövő érdekében okvetetlenül meg kell tennünk, mikor egy bérkocsi, a mely utánam robogott s közvetlenül mellettem megállt, arra késztett, hogy föltekintsek.	Tôi cố làm cho tâm tư của mình quen với điều rủi ro nhất có thể xảy ra và hình dung những việc chúng tôi phải làm sau này trong hoàn cảnh khắc nghiệt nhất, bỗng một chiếc xe ngựa ở đằng sau chạy đến làm cho tôi phải ngước mắt lên và chiếc xe dừng lại ngay cạnh tôi.
Egy szép kis kacsó nyúlt ki felém a kocsi ablakából, s az az arcz mosolygott rám, a melynek láttára mindig a megnyugvás és a boldogság érzete fogta el a lelkemet, attól a pillanattól kezdve, a mikor először fordúlt hátra felém a nagy, széleskarfás, ódon tölgyfalépcsőn, s a mikor szende szépsége önkénytelenül ama bizonyos templomablak üvegfestményét juttatta eszembe.	Một bàn tay xinh xắn giơ qua cánh cửa về phía tôi và một gương mặt đang mỉm cười với tôi, gương mặt tôi chưa bao giờ nhìn mà không cảm thấy trong lòng êm ả và hạnh phúc, ngay từ giây phút đầu tiên khi nó quay về phía tôi trên cái cầu thang cổ kính bằng gỗ sồi với cánh tay vịn to và rộng, và ở đấy, vẻ đẹp dịu hiền ấy đã làm tôi liên tưởng đến cái kính ghép mảnh trong nhà thờ.
– Igazán? – szólt Ágnes szíves melegséggel.	Cậu là người mình yêu quý nhất trên đời".
– Annyi megbeszélni valóm van magával!	"Thực thế không?", nàng hỏi, giọng thân mật.
Ha varázs-sipkám lett volna, akkor sem idéztem volna magam elé senki mást, csak magát!	Nếu mình có một chiếc đũa thần thì mình chỉ mong cậu xuất hiện mà thôi!"
– Nos!	"A!
– Mindenesetre először Dórát, remélem, – szólt Ágnes nevetve.	"Cố nhiên trước tiên là Đôra, mình nghĩ như vậy", Ácnét vừa nói vừa cười.
– De azután rögtön magát!	"Nhưng sau đó đến cậu đấy!
– szóltam.	Cậu đi đâu?"
– Hová készül?	Nàng đến nhà tôi thăm cô tôi.
Hozzám készült a néném látogatására.	Hôm ấy rất đẹp trời.
Mivel gyönyörű idő volt, Ágnes szívesen kiugrott a kocsiból, a melyben olyan szag volt, – (beledugva tartottam az egész idő alatt a fejemet), – mint valami istállóban, a melyet frissen trágyázott ugorkaágy alatt helyeztek el.	Nàng sung sướng được ra khỏi cái xe ngựa hôi mùi chuồng ngựa với cái khung xe như quả dưa (trong khi nói chuyện tôi vẫn thò đầu vào trong xe).
Elküldtem a kocsit, s Ágnes karomba kapaszkodott, és együtt ballagtunk tovább.	Tôi bảo anh xà ích đánh xe về, nàng khoát tay tôi và chúng tôi cùng đi.
Olyan volt mellettem, mintha a Reménység testesűlt volna meg benne.	Đối với tôi, nàng là hiện thân của hy vọng.
Milyen más kedvem lett egy percz alatt, mihelyt ott volt Ágnes az oldalamon!	Trong một giây phút ngắn ngủi tôi cảm thấy khác xa lúc trước vì tôi đã có Ácnét bên cạnh.
Megírta levelében, hogy balszerencse sujtotta s Dovernak jóidőre hátat fordított; de egészen jól beletalálta magát már új helyzetébe s egyébként is oly jól érzi magát, hogy senkinek sincs oka ő miatta aggódnia.	Trong thư, cô tôi nói đã rơi vào hoàn cảnh không may và cô tôi vĩnh viễn rời Đôvơ, nhưng cô tôi đã hoàn toàn vui vẻ chấp nhận tình cảnh mới và không cần ai phải lo lắng đến mình.
Ágnes azért jött Londonba, hogy meglátogassa a nénémet, mivel évek óta kölcsönös vonzalom fejlődött ki közöttük; voltaképpen attól az időtől kezdve, a mikor Wickfield úr házának a lakója lettem.	Ácnét đã đến Luân-đôn để thăm cô tôi, bởi vì từ mấy năm nay một mối thiện cảm đã nảy sinh giữa hai người (thực vậy, nó bắt đầu từ lúc tôi đến ở nhà ông Uýchcơphin).
– Az ördög vigye el őt!	"Trời đánh thánh vật cái thằng ấy!"
– Azok, – szólt Ágnes.	"Phải đấy!" Ácnét nói.
– Dolguk van itt; s én felhasználtam az alkalmat és elkísértem őket.	"Hai người có việc phải giải quyết ở đây, và mình nhân dịp ấy cũng đến đây.
– Megvan neki még mindig a régi befolyása Wickfield úrra, Ágnes?	"Hắn vẫn có một ảnh hưởng như cũ với ông cụ, phải không Ácnét?"
Ágnes a fejét rázta.	Ácnét lắc đầu.
– Úgy megváltozott otthon minden, – szólt, – hogy alig ismerne rá a régi kedves házra.	"Ngôi nhà chúng mình đã thay đổi nhiều lắm", nàng nói - "Cậu khó lòng nhận ra được ngôi nhà cổ kính thân yêu.
– kérdeztem.	"Ai kia?" Tôi hỏi.
– Heep úr meg az édes anyja.	"Híp và mẹ hắn.
Heep úr a maga régi szobájában alszik, – szólt Ágnes, a szemembe nézve.	Hắn ngủ trong căn phòng xưa kia của cậu", Ácnét nói, và ngước mắt nhìn vào mặt tôi.
– Bárcsak tőlem függnének az álmai!	"Mình rất tiếc không làm sao bắt hắn nằm mơ như mình muốn.
– Én megtartottam magamnak azt a régi kis szobámat, – szólt Ágnes, – a hol a leczkéimet szoktam tanulgatni.	"Mình vẫn giữ căn phòng nhỏ của mình, cái phòng xưa kia mình vẫn học.
Hogy’ eljár az idő!	Thời gian trôi nhanh thật!
Emlékszik még rá?	Cậu nhớ chứ?
Az a fával burkolt szobácska, a mely a társalgóból nyílik.	Căn phòng nhỏ bé lát gỗ nhìn ra phòng khách ấy!"
– Hogy emlékszem-e rá, Ágnes?	"Cậu bảo mình nhớ à, Ácnét?
Mikor ott láttam magát legelőször, a mint kilépett az ajtón, fura kis kulcsos kosarával az oldalán!	Mình còn nhớ cả cái ngày mình thấy cậu xuất hiện lần đầu ở cái cửa ấy, tay cầm cái chùm chìa khóa ngộ nghĩnh của cậu đo ở bên người".
– Örülök, hogy oly szívesen emlékszik vissza rá.	Lúc ấy bọn mình sung sướng quá!"
Nagyon boldogok voltunk.	"Rất sung sướng, đúng thế!", tôi nói.
– Valóban azok voltunk, – szóltam.	"Mình vẫn còn giữ căn phòng ấy.
– Ma is ez a szoba az enyém; de tudja, Heepné asszonyt nem hagyhatom mindig egyedül.	Nhưng mình không thể lúc nào cũng bỏ rơi bà Híp, cậu có hiểu không?
S ezért, – szólt Ágnes nyugodtan, – együtt kell vele lennem nem egyszer olyankor is, a mikor szívesebben lennék egyedül.	- Ácnét nhìn tôi và nói với giọng điềm tĩnh, "trong khi có lẽ mình muốn ngồi một mình hơn.
De egyébként nincs miért panaszkodnom rá.	Nhưng mình cũng không có lý do gì để than phiền về bà ta.
Ha néha untat is a fia magasztalásával, ezt az anyától nem lehet zokon venni.	Nếu bà ta đôi khi làm mình chán ngấy vì cứ lải nhải khen ngợi con bà thì điều đó chỉ là tự nhiên đối với một bà mẹ.
Fiúnak valóban nagyon jó a fia.	Uria rất tốt với mẹ".
Ágnesra tekintettem, mialatt így beszélt, de úgy láttam, hogy Urias tervéről sejtelme sincs.	Tôi nhìn Ácnét khi nàng nói những câu ấy, nhưng không thấy nàng hiểu điều gì về mưu mô của Uria.
Szelid, s mégis komoly szeme a régi szép nyiltsággal tekintett rám, és szende arczán sem láttam nyomát változásnak.	Đôi mắt dịu hiền nhưng say sưa của nàng nhìn đôi mắt tôi với cái vẻ nghiêm trang xinh đẹp mà chỉ riêng nàng có và trên gương mặt xinh xắn của nàng vẫn không có gì thay đổi.
De ha csalás vagy árulás volna ellene készülőben, remélem, hogy végül is az együgyű szeretet és az igazság ereje győz.	Nhưng nếu người ta nghĩ ra một mưu mô gian dối và phản bội để làm hại ba mình thì mình cũng tin rằng cuối cùng tình yêu và sự chân thành cũng sẽ thắng tất cả mọi điều xấu xa hay bất hạnh ở trên đời".
Remélem, hogy a valódi szeretet és az igazság végül is erősebb minden bajnál és szerencsétlenségnél a világon.	Nụ cười tươi sáng này mà tôi chưa bao giờ thấy trên một gương mặt nào khác biến mất ngay lúc tôi nghĩ rằng nhìn nó thực là thú và từ xưa nó đã là quen thuộc đối với tôi như thế nào.
A nénémet egyedül találtuk, még pedig, meglehetősen izgatott állapotban.	Chúng tôi thấy cô tôi ngồi một mình có vẻ kích động.
Véleménykülönbség támadt közte és Cruppné asszony között egy elvont kérdésre vonatkozólag, (vajon illik-e, hogy a gyöngébb nem bútorozott lakásban lakjék), s a néném, a ki Cruppné asszony görcseivel egyáltalában nem törődött, rövidesen azzal vetett véget a vitának, hogy tudtára adta a szóban forgó hölgynek, hogy nagyon érzik rajta az én pálinkámnak a szaga, s hogy arra kéri, szíveskedjék elhordani magát.	Một sự xung đột về ý kiến đã xảy ra giữa bà Crơp và cô tôi về một vấn đề trừu tượng (đó là vấn đề một căn nhà có đồ đạc có nên để cho một người thuộc phái yếu ở không); và phớt lạnh trước những tình cảm đột ngột biểu lộ ở bà Crơp, cô tôi đã cắt đứt cuộc tranh cãi bằng cách nói cho bà ta biết rằng bà ta sặc mùi rượu mạnh của tôi và yêu cầu bà chịu khó bước ra khỏi phòng.
Cruppné asszony e két kifejezés mindegyikét becsületbevágónak tartotta, s bejelentette abbeli szándékát, hogy az "Angol Sűri" elé viszi az ügyet, – valószínüleg nemzeti szabadságaink védőbástyáját értvén e két szó alatt.	Bà Crơp cho cả hai lời nói ấy là trái pháp luật và biểu lộ ý định đem đi kiện ở "tòa án" nước Anh, ý chừng bà ta muốn nói đó là thành trì bảo vệ những quyền tự do của dân tộc.
De a néném, mivel azalatt, míg Peggotty sétálni volt Dick úrral, hogy megmutassa neki a lovastestőröket, – ráért lehülni s a mellett nagyon megörült Ágnesnek is, – inkább mulatott, mint bosszankodott az eseten, és zavartalan jókedvvel fogadott bennünket.	Nhưng cô tôi đã có thì giờ dịu lại khi chị Pécgôti đi ra để chỉ cho ông Đích xem những người lính trong đội kỵ binh cận vệ; vả lại cô tôi rất sung sướng được thấy Ácnét nên đem khoe câu chuyện ấy và tiếp chúng tôi một cách hoàn toàn vui vẻ.
Mikor Ágnes letette a kalapját az asztalra, s leült a néném mellé, szelid szemébe és ragyogó homlokára tekintve, akaratlanúl arra gondoltam, milyen természetes dolognak látszik, hogy itt van köztünk; milyen odaadó bizalommal viseltetik iránta a néném, bárha oly fiatal és tapasztalatlan még; milyen erőssé teszi őt valóban az együgyű szeretet és az igazság.	Khi Ácnét đặt chiếc mũ lên bàn và ngồi cạnh cô tôi, tôi ngắm đôi mắt dịu hiền và cái trán tươi sáng của nàng, và không thể không nghĩ rằng nàng ngồi ở đấy thật là một việc dĩ nhiên: cô tôi rất tin cậy nàng mặc dầu nàng ít tuổi và ít kinh nghiệm; và quả thực nàng có sức mạnh to lớn do tình yêu chân thành và lòng thành thực.
– Megfontolatlanság volt, Trot, – szólt a néném, – de jó szándékból eredt.	"Trốt ạ, làm như thế không phải là khôn ngoan lắm, nhưng ý nghĩ của cháu là một ý nghĩ tốt.
Most azonban, Trot és Ágnes, nézzünk a szeme közé Trotwood Betsey dolgának, és lássuk, hogy’ is áll hát.	Bấy giờ Trốt và Ácnét, chúng ta hãy nhìn thẳng vào trường hợp của Bétxi Trốtút và xem sự thực là như thế nào".
Észrevettem, hogy Ágnes, a ki nagy figyelemmel nézett a nénémre, elsápadt.	Tôi thấy Ácnét tái mặt đi khi nhìn chăm chú vào cô tôi.
A néném, macskáját simogatva, épp oly figyelmesen nézett Ágnesra.	Còn cô tôi, tay vuốt ve con mèo cũng nhìn chăm chú vào mặt Ácnét:
– Trotwood Betseynek, – szólt a néném, a ki sohasem szokott beszélni a pénzügyeiről, – nem a húgodat értem, Trot, szívem, hanem enmagamat, – volt némi vagyona.	"Bétxi Trốtút", cô tôi nói - "là người chưa bao giờ nói cho ai biết về chuyện tiền nong của mình"… Cô không có ý nói đến người chị của cháu đâu Trốt ạ, mà nói đến cô đấy cháu ạ - Bétxi có một ít tài sản.
Hogy mennyi, az mellékes; elég a megélhetésre.	Số tiền này là bao nhiêu, điều ấy không đáng kể…
Sőt több ennél; mert módjában volt valamit megtakarítani is és a vagyonát gyarapítani vele.	Nhưng cũng đủ để sống… và còn hơn thế nữa; vì cô đã dành dụm thêm một ít để bỏ thêm vào đấy.
Betsey egyideig állampapirokba fektette a vagyonát, majd később, ügyvivőjének a tanácsára, jelzálogkölcsönök útján gyümölcsöztette.	Cô ta tưởng mình bây giờ khôn ngoan hơn người quản lý tốt bụng của mình, lúc này ông ta không thạo như trước nữa (tôi nói đến ông cụ của chị, chị Ácnét ạ.)
Ez jól bevált és szépen kamatozott, a míg Betsey vissza nem kapta a tőkéjét.	và quyết định tự mình đầu tư.
Betseynek ezután vagyona új elhelyezéséről kellett gondoskodnia.	Và thị trường này xem ra rất kém.
Azt gondolta, hogy most már okosabb az ügyvivőjénél, a ki akkoriban nem volt oly jó üzletember, mint rendesen, – az édes atyjára czélzok, Ágnes, – s a fejébe vette, hogy most ő maga fogja a pénzét elhelyezni.	Lúc đầu cô ta mất tiền trong việc đầu tư vào hầm mỏ, rồi lại mất tiền trong việc lặn (đây là việc đi lặn lấy kho tàng hay một vài việc vớ vẩn)".
Fogta a malaczait, – folytatta a néném, – s idegen piaczra vitte; s ez a piacz nagyon rossznak bizonyult.	Cô tôi vừa giải thích vừa xoa mũi, "rồi lại mất trong việc hầm mỏ và cuối cùng để cứu vãn tình thế, cô ta lại mất trong việc ngân hàng.
Nem tudom, mi volt a bank részvényeinek az értéke egy ideig, – szólt a néném; – azt hiszem, száz perczent, mikor a legalacsonyabb volt az árfolyam; de a bank a világ másik végén volt és megbukott, miért, azt nem tudom; valahogyan tönkrement, s nem fog soha fizetni, és nem fizethet soha egy garast sem; és Betsey garasai mind ott voltak, és Betsey garasainak most bottal üthetjük a nyomát.	Cô không biết những giấy cổ phần ở ngân hàng lên đến bao nhiêu, nhưng theo cô, tiền lãi phần trăm là ít nhất; những ngân hàng này đều ở rất xa, và theo như cô biết nó đã sụp đổ, hay nói cho đúng nó đã tan vụn và không bao giờ trả lại, không bao giờ nó có thể trả lại sáu pen-ni, thế mà tất cả các đồng sáu Penni của cô Bétxi đều ở đấy và bây giờ chẳng còn gì nữa.
Mennél kevesebb szót vesztegetünk rá, annál hamarabb kiheverjük!	Càng nói ít về điều đó lại càng tốt".
– kérdezte Ágnes.	Ácnét hỏi:
– Azt hiszem, gyermekem, éppen elég ennyi, – szólt a néném.	"Thưa cô, câu chuyện chỉ có thế thôi à?"
– Ha lett volna még több elveszteni való pénz, mondhatom, nem lett volna még vége a történetnek.	"Cô nghĩ rằng như thế là đủ cháu ạ. Nếu như còn có tiền nữa để bỏ mất thì cô có thể nói câu chuyện này vẫn chưa hết.
Betsey értette volna a módját, miképp kell ezt is a többi után hajítani, s még egy fejezettel megtoldani a történetet, alig kételkedem.	Bétxi sẽ còn cố gắng để vứt nốt số tiền còn lại và thêm một chương nữa vào câu chuyện này, cô tin chắc như thế.
De nem lévén több pénz, vége a mesének is.	Nhưng vì hết tiền rồi nên chuyện cũng hết".
Ágnes eleinte visszafojtott lélekzettel figyelt.	Lần đầu Ácnét nghe cô tôi nói và nín thở.
Az arcza egyre a színét változtatta még, de most már szabadabban lélekzett.	Gương mặt của nàng vẫn còn cứ tái đi rồi đỏ lại, nhưng nàng thở một cách thoải mái hơn.
Azt gondoltam, tudom, hogy miért.	Tôi có cảm tưởng tôi biết tại sao lại như vậy.
Azt gondoltam, attól félt bizonyára, hogy talán szerencsétlen édes atyja is hibás abban, a mi történt.	Tôi cho rằng nàng sợ người cha tội nghiệp của nàng đã chịu một phần trách nhiệm trong những việc đã xảy ra.
A néném a kezébe vette Ágnesnek a kezét, és nevetett.	Cô tôi nắm lấy tay nàng và cười:
– Úgy bizony, ez az egész, annak a híjával, hogy "aztán boldogan élt, a míg meg nem halt".	"Thì hết rồi đấy, chỉ còn phải thêm cái công thức: "Và từ đấy cô ta sống sung sướng".
Talán ezt is elmondhatjátok még majd valamikor Betseyről.	Có lẽ cô có thể nói thêm câu ấy một ngày kia khi nói về Bétxi.
Már most, Ágnes, te okos lány vagy; egyben-másban okos vagy te is, Trot, bár mindenben nem illethetlek ezzel a dicsérettel.	Nhưng bây giờ Ácnét ạ, cháu là người khôn ngoan, và cháu cũng thế Trốt ạ - về những mặt nhất định, tuy cô không thể bao giờ cũng khen cháu như vậy.
– (Így szólván, oly erélyesen megrázta a fejét én felém, a hogy’ csak ő tőle telt.)	Và bây giờ…" Vừa lúc ấy cô tôi hất hàm về phía tôi với cái vẻ hăng hái mà chỉ riêng cô tôi có.
– Mitévők legyünk?	"Bây giờ nên làm gì đây?
Azt hiszem, ennyire nyugodtan becsülhetjük.	Được, chúng ta chỉ còn có thể".
– Aztán, – szólt a néném, egyet pihenve, – itt van Dick.	Cô tôi nghĩ một lát rồi nói tiếp:
Hamarább elküldeném őt, bár tudom, hogy én vagyok az egyetlen lény, a ki ismerem az értékét, semhogy magamnál tartsam, s ne rá költsem el a pénzét.	Cô muốn đưa ông đi nơi khác, mặc dầu cô biết cô là con người duy nhất biết đánh giá ông ta, còn hơn là giữ số tiền ấy mà không tiêu vào việc chi dùng của ông.
Mit kell tennünk, Trotnak meg nekem, hogy megélhessünk?	Trốt và cô làm thế nào để có thể thu xếp tốt nhất với những phương tiện của chúng ta?
Mit gondolsz, Ágnes?	Ácnét, cháu bảo thế nào?"
– Én azt gondolom, néni, – szóltam közbe, – hogy énnekem kell valamit kezdenem!	"Thưa cô", tôi nói, "cháu bảo cháu cần phải làm gì".
Erről szó se legyen!	Cô không muốn nghe người ta nói thế.
Azt akarom, hogy proctor légy.	Cháu phải là biện hộ sỹ.
Figyelmeztetem, uracskám, hogy a mi családunkban szó se legyen fejbekólintásokról!	Ông ơi, trong gia đình này tôi không muốn ai tự đánh vỡ sọ mình đâu!"
Éppen ki akartam már fejteni, hogy eszemágában sincs az ellátásnak ezt a módját meghonosítani a családban, mikor Ágnes azt kérdezte, vajon hosszú időre van-e kivéve a lakásom?	Tôi đang định giải thích cho cô tôi hiểu rằng tôi không có ý muốn đưa ra cái lối giải quyết như vậy vào trong gia đình, bỗng Ácnét hỏi căn nhà của tôi có phải thuê trong một thời gian dài không.
– Fején találtad a szöget, édesem, – szólt a néném.	"Cháu nói đúng vấn đề đấy", cô tôi nói.
– Nem szabadulhatunk tőle egy félévnél előbb, hacsak kéz alatt ki nem adhatjuk; ezt pedig aligha hiszem.	"Chúng tôi không thể bỏ ngôi nhà này ít nhất là trong sáu tháng trừ khi có người thuê lại chúng tôi, nhưng cô nghĩ rằng điều đó không thể xảy ra.
Az utolsó bérlő itt halt meg.	Ông chủ trọ vừa rồi đã chết ở đây.
Természetes, hogy annak a flanell-alsószoknyás, nankingos némbernek minden hat bérlője közül öt halállal végezi.	Trong số sáu người thì năm người đã chết… cố nhiên con mụ mặc bộ đồ Thượng-hải kia với cái váy bằng dạ đã làm cho họ chết.
Van egy kis készpénzem; s egyetértek veled abban, hogy az lesz a legokosabb, ha itt maradunk lakni, a míg a bérlet le nem telik, Dick úrnak pedig szerzünk a szomszédságban egy hálószobát.	Cô có một ít tiền mặt và cô cũng đồng ý với cháu là điều tốt nhất mà chúng ta có thể làm được là ở đây cho đến khi hết thời hạn thuê nhà và tìm một căn phòng cho ông Đích ở gần ngay đây.
Kötelességemnek tartottam, hogy figyelmeztessem a nénémet arra a kellemetlenségre, a melyben része lesz, ha folytonos guerilla-háborút kell majd viselnie Cruppné asszonynyal; de a néném ezt az ellenvetést röviden elintézte azzal a kijelentésével, hogy el van szánva rá, hogy az ellenségeskedés első jelére olyan meglepetésben részesíti Cruppné asszonyt, a melyet természetesen élte fogytáig el nem felejt.	Tôi nghĩ rằng nhiệm vụ của tôi là phải gợi ý cho cô tôi biết về điều bất tiện mà cô tôi sẽ phải chịu do chỗ cứ phải sống trong tình trạng chiến tranh du kích thường xuyên với bà Crơp, nhưng cô tôi gạt phắt ngay lời phản đối ấy bằng cách tuyên bố rằng nếu có lời tuyên chiến đầu tiên thì cô tôi sẵn sàng làm cho bà Crơp phải kinh hoàng một mẻ để nhớ suốt đời.
– Arra gondoltam, Trotwood, – szólt Ágnes tétovázva, – hogy ha ráérne…	"Trốtút ạ", Ácnét nói một cách ngần ngại.
Négy-öt órától kezdve mindig szabad vagyok, és korán reggel is ráérek.	Mình nghĩ rằng nếu như cậu có thì giờ rảnh…
Reggel épp úgy, mint este, – szóltam, érezve, hogy elpirulok kissé, mert eszembe jutott, hány meg hány órát töltöttem el azzal, hogy a városban ténferegtem vagy a norwoodi országúton kószáltam ide-oda, – bőségesen ráérek.	"Mình còn nhiều thì giờ rảnh lắm Ácnét ạ. Bao giờ mình cũng rỗi từ bốn hay năm giờ chiều và buổi sáng sớm mình rảnh - Dù sao", tôi nói, hơi đỏ mặt khi nghĩ đến việc tôi đã dành vô khối thời giờ để thơ thẩn trên con đường Noócút, "Mình có nhiều thì giờ rảnh lắm".
– Tudom, – szólt Ágnes, hozzám lépve, s halkan beszélve, oly édes, biztató hangon, hogy most is hallom a hangját, – tudom, hogy nem esnék terhére egy titkári állásnak az elvállalása.	"Mình biết rằng cậu sẽ không bực mình", Ácnét nói, bước đến gần tôi, với một giọng rất trầm, đầy tình thương dịu dàng và khuyến khích mà bây giờ tôi vẫn còn nghe… "nếu cậu muốn làm một người thư ký".
– Terhemre, édes Ágnes?	"Cố nhiên là không, Ácnét ạ".
– Mert dr. Strong, – folytatta Ágnes, – megvalósította azt a szándékát, hogy visszavonúl, s most itt lakik Londonban; s tudom, hogy megkérdezte a papát, nem ajánlhatna-e valakit neki.	"Bởi vì", Ácnét nói tiếp, "bác sĩ Xtrong đã thực hành ý định, ông đã về hưu và đã đến ở Luân-đôn, mình biết ông có nhờ ba mình tìm giúp cho ông một người thư ký.
Mit gondol, régi, kedvelt tanítványát nem szívesebben venné-e maga mellé, mint akárki mást?	Chắc hẳn cậu cũng nghĩ rằng ông thích có người học trò yêu quý ngày xưa ở bên cạnh hơn bất kỳ ai".
A levelet Highgatebe czímeztem, – mert a doktor ott lakott ezen, a rám nézve oly emlékezetes helyen, – s egy perczet sem veszítve, mindjárt magam postára is adtam.	Tôi gửi bức thơ này đến Haigây (bởi vì ông sống ở cái nơi đầy kỷ niệm đáng nhớ đối với tôi) và tôi ra đi bưu điện gửi ngay không bỏ lỡ một phút.
Bárhol időzött Ágnes, zajtalan ottlétének valami kedves jele mindig elválaszthatatlannak látszott attól a helytől.	Bất kỳ Ácnét ở đâu, ở đấy dường như đều có một dấu hiệu thú vị nhờ sự có mặt yên lặng của nàng.
