ALEXANDRE DUMAS	Alexandre Dumas
- Szellemes ember!	- Một người tài trí.
- lelkesedett Mazarin.	- Chuyện phải làm, - Porthos nói, - Tôi hiểu…
A Petits-Champs utca közepe táján második őrjárat állította meg a kocsit.	Đến giữa phố Les Petits-Champs, một toán kiểm tra thứ hai ngăn xe lại.
- Állj, ki vagy?	- Ai đó?
- kiáltotta a parancsnok.	- Viên đội trưởng hô.
- Húzza magát össze, kegyelmes uram - mondta D’Artagnan.	- Đức ông ngồi lui vào, - D Artagnan nói.
És Mazarin úgy besüppedt a két cimbora közé, hogy végül tökéletesen elrejtették.	Và Mazarin ngồi tụt vào giữa hai người bạn thế nào mà bị họ che lấp chằng còn nhìn thấy ông đâu cả.
- Ki vagy?	- Ai đó?
- harsogta türelmetlenül az előbbi hang.	- Vẫn tiếng nói ấy sốt ruột kêu lên.
- Hé, Planchet!	- Ê!
- mondta.	Planchet, - Anh nói.
- Hogyhogy - csodálkozott Planchet -, maga az, uram?	- Planchet nói, - Ông đấy à? - Ồ lạy Chúa!
- mondta Planchet.	- Planchet nói.
- Porthos - folytatta D’Artagnan -, ha tud még beszélni, hallja, kedves Porthosom? Szóljon már egy jó szót.	- Porthos này, - D Artagnan bảo, - Nếu cậu còn nói được, thì hãy nói một lời với cậu Planchet tốt bụng này.
- Planchet, barátom - szólalt meg Porthos nyöszörgő hangon -, beteg vagyok, s ha találsz valami orvost, légy szíves, küldd el hozzám!	Bạn Planchet thân mến ơi, - Porthos nói bằng một giọng rầu rĩ, - Tôi đau lắm, và cậu có gặp một thầy thuốc, cậu hãy giúp đưa đến tôi nhé!
- Magasságos Isten!	- Ôi lạy Chúa?
- Micsoda csapás!	- Planchet kêu lên.
Ugyan biza hogyan történt?	- Chuyện xảy ra như thế nào?
- Majd én elmesélem neked - mondta Mousqueton.	- Tôi sẽ kể cho cậu nghe sau, - Mousqueton nói.
Porthos sóhajtott egy keserveset.	Porthos thốt ra một tiếng rên rỉ dài.
- Engedtess nekünk szabad utat, Planchet - mondta egészen halkan D’Artagnan -, különben nem érkezik meg élve: a tüdeje sebesült meg, barátocskám!	- Này Planchet, - D Artagnan nói thầm, - Hãy tránh ra để bọn tôi đi, kẻo ông ấy không kịp đến nơi mất: ông ta bị thương vào phổi.
Planchet oly arckifejezéssel csóválta a fejét, mint aki azt mondja: Ha így van, reménytelen a dolog.	Planchet lắc đầu ra vẻ muốn nói: Trường hợp ấy thì nguy rồi!
- Szabad az út, ezek a barátaim.	- Để cho đi, bạn tôi đấy mà.
- Bricconi!101 - mormogta.	- Bricconi! - Ông lẩm bẩm.
- Vigyázz, Porthos!	- Chú ý, Porthos!
- mondta D’Artagnan.	- D Artagnan bảo.
Porthos nyúlt is a pisztolyai után.	- Porthos vươn tay ra chỗ súng ngắn.
- Mi baj?	- Có chuyện gì vậy?
- kérdezte Mazarin.	- Mazarin hỏi.
- Kegyelmes uram, azt hiszem, rossz társaságba keveredtünk.	- Thưa Đức ông tôi cho rằng chúng ta gặp bọn xấu rồi.
Egy ember az ajtónak ugrott, kaszához hasonló szerszám a kezében.	Một người tiến lên cửa xe, tay cầm một thứ lưỡi liềm.
- Állj, ki vagy?	- Ai đó?
- kérdezte ez az ember.	- Người ấy hỏi.
- Hercegé vagy sem - mondta az ember -, nyisd ki.	- Hoàng thân hay không cũng phải mở ra!
- Mit tegyünk?	- Phải làm gì bây giờ?
- kérdezte Porthos.	- Porthos hỏi.
- Az istenfáját, átmegyünk!	- Mặc kệ!
- mondta D’Artagnan.	Cứ đi qua, d Artagnan nói.
- De hogyan?	- Nhưng đi thế nào?
- kérdezte Mazarin.	- Mazarin hỏi.
- Hanyatt-homlok.	- Đi qua hoặc vượt qua.
- Egy lépést se tovább - mondta az ember, aki a parancsnok lehetett -, vagy elvágom a lovak horgasinát!	- Không được đi một bước nào nữa, - Người có vẻ là chỉ huy nói; nếu không ta sẽ chặt chân ngựa.
- Rosseb - mondta Porthos -, nagy kár volna, fejenként száz tallért adtam ezekért a lovakért.	- Gớm nhỉ, - Porthos nói, - thế thì tiếc lắm, lũ ngựa giá một trăm pistolg một con đó.
- Az ám, de mihelyt a horgasinukat elvágták, a mi nyakunkra kerül a sor!	- Vâng, nhưng một khi họ đã chặt chân ngựa thì họ sẽ cắt cổ chúng ta.
- Egy most az én felemre jön - mondta Porthos.	- Có một tên đến bên cạnh tôi, - Porthos nói - Có cần hạ sát nó không?
- Meg kell ölnöm?	- Có!
- Mért ne tudnám?	- Chúng ta chỉ nổ súng khi cùng bất đắc dĩ.
- mondta Porthos.	- Tôi có thể làm được, - Porthos nói.
A testőrt megismerte, kétségkívül, mert fehér lett, mint a fal.	Mắt anh nhìn vào mắt gã ăn mày và ánh sáng của ngọn đèn soi tỏ.
- D’Artagnan úr!	- Ông d Artagnan?
D’Artagnan éppen válaszolt volna, amikor olyan ütés hallatszott, mint az ökör fejére zuhanó taglócsapás: Porthos vágta fejbe a maga emberét.	Có lẽ d Artagnan sắp trả lời, thì một đòn giổng như một quả chùy giáng xuống đầu một con bò vang lên: Porthos vừa mới đập chết địch thủ của mình.
- Most aztán lóhalálában!	Anh bảo người đánh xe:
- kiáltotta a kocsisnak.	- Bây giờ phi đại lên!
A kocsis hatalmas ostorcsapással vágott végig a lovain, a nemes állatok felágaskodtak.	Người đánh xe ra roi quất ngựa, những con ngựa quí phải chồm lên.
Kiáltások hallatszottak, ahogy az elgázolt emberek ordítoznak.	Người ta nghe thấy những tiếng kêu như của những người bị xô ngã.
Aztán kettős zökkenést éreztek: két kerék gördült keresztül valami rugalmas és gömbölyű testen.	Rồi cảm thấy xe giật lên hai cái liền: khi bánh xe vừa mới chẹt lên một vật mềm và tròn.
- A Cours-la-Reine-re!	- Đi đến Cours-la-Reine!
- kiáltotta D’Artagnan a kocsisnak.	- D Artagnan bảo người đánh xe.
Aztán Mazarin felé fordult, mondván:	Rồi quay lại phía Mazarin, anh nói:
- Most pedig elmondhat öt Miatyánkot és öt Üdvözlégyet eminenciád, így köszönvén Istennek a megmenekülését; eminenciád szabad, mint a madár!	- Thưa Đức ông, bây giờ ngài có thể đọc năm điều kinh Chúa Cha và năm điều kinh Thánh Mẫu để cảm ơn Thượng Đế về sự giải thoát ngài rồi đấy; ngài đã thoát nạn, ngài được tự do.
Mazarin csak holmi nyögéssel válaszolt, nem tudott hinni ekkora csodát.	Mazarin chỉ đáp lại bằng một tiếng rên rỉ.
Öt perc múlva a kocsi megállt: megérkeztek a Cours-la-Reine-re.	Ông không thể tin nổi một sự thần kỳ đến như vậy.
- Kegyelmességed elégedett a kíséretével?	- Đức ông hài lòng về đoàn hộ vệ của ngài chứ?
- kérdezte D’Artagnan.	- Ngươi lính ngự lâm hỏi.
- Most aztán tegye meg ugyanezt a királynéért!	- Rất vui mừng, ông ạ.
- Az már könnyebb lesz - mondta D’Artagnan, a földre ugorva.	- Mazarin nói và liều thò đầu ra cửa xe bây giờ ông hãy làm như thế cho hoàng hậu.
- Du Vallon uram, őeminenciáját a gondjaiba ajánlom.	- Sẽ dễ dàng hơn, - D Artagnan đáp và nhảy xuống đất, anh nói tiếp - ông Du Vallon, tôi gửi gắm Đức ông cho ông đấy.
- Legyen nyugodt - mondta Porthos kezét nyújtva.	- Cứ yên tâm, - Porthos nói và chìa tay ra.
D’Artagnan megfogta Porthos kezét és megszorította.	D Artagnan nắm tay Porthos và lắc lắc.
- Jaj!	- Ái!
- nyögött fel Porthos.	Porthos kêu lên.
- Hát magát mi leli?	- Cậu làm sao thế?
- kérdezte.	- Anh hỏi.
- Azt hiszem, a csuklóm kimarjult - mondta Porthos.	- Tôi e rằng bị trật xương cổ tay, - Porthos đáp.
- Kénytelen voltam, a fickó már-már belém lőtt; de maga, maga hogy szabadult meg az emberétől?	- Cần phải thế, vì địch thủ của tôi sắp nổ một phát súng ngắn vào tôi.
- Ó, az én emberem - mondta D’Artagnan -, nos az én emberem nem is volt ember!	Nhưng còn cậu, cậu khử thằng địch của cậu như thế nào?
- Ugyan mi volt hát?	- Ồ!
- Kísértet.	- Thế là cái gì.
- És...	- Đó là một loài yêu quái.
- Ráolvastam.	Chú thích:
54	Chương 54
A koadjutor úr kocsija	Cỗ xe của ông chủ giáo
Ahelyett, hogy a Saint-Honoré kapun át tért volna vissza, D’Artagnan tehát, elég ideje lévén, került egyet, s a Richelieu-kapun át lépett a városba.	Đáng lẽ trở về bằng cửa ô Saint-Honoré, vì còn thì giờ, d Artagnan đi quay về lôi cửa ô Richelieu.
Ráismertek, s benne - tollas kalapjáról, sujtásos köpenyéről - testőrtisztet látván, körülvették, hogy vele "Vesszen Mazarin"-t kiál­tassanak.	Người ta đến kiểm tra và khi trông thấy chiếc mũ có lông chim và áo choàng gắn lon sĩ quan ngự lâm quân, họ vây lại với ý định bắt anh hô: "Đả đảo lão Mazarin!".
A csődület eleinte nem kismértékben nyugtalanította; de mikor megtudta, miről van szó, oly ékes hangon kiáltotta, hogy a legkényesebbeket is kielégítette.	Cuộc thị uy đầu tiên ấy, thoạt đầu không làm anh lo ngại; nhưng khi biết rõ sự thể ra sao, anh hô bằng một giọng rất hay khiến những kẻ khó tính nhất cũng phải hài lòng.
- Tyű, a mindenségit, ez alkalmas eszköz lenne!	- Anh nói, - Cuộc chiến chính đáng đây.
És odament a kocsihoz, megnézte a burkolatán ékeskedő címereket s a kocsis livréjét, ki a bakon ült.	Và anh tiến gần đến cỗ xe, nhìn huy hiệu trên thành xe và áo dấu của người đánh xe ở trên ghế.
Ez a vizsgálódás annál könnyebben sikerülhetett neki, mivel a kocsis úgy aludt, mint a bunda.	Cuộc khám xét ấy càng dễ dàng vì người đánh xe đang ngủ say.
Szépen beült a kocsiba, megrántotta a selyemzsinórt, mely a kocsis kisujjához szolgált, s így szólt:	Anh nhẹ nhàng trèo lên xe, và kéo sợi dây lụa móc ở ngón tay út người đánh xe, anh nói:
- A Palais-Royalba!	- Đi đến Hoàng cung.
Az álmából felriadt kocsis a megadott irányba fordult, és nem is gyanította, hogy a parancs másvalakitől ered, mint a gazdájától.	Người đánh xe mình choàng dậy cho xe chạy đến nơi đã bảo, chẳng hồ nghi lệnh ban ra từ kẻ khác chứ không phải chủ của mình.
A svájci éppen zárta volna be a rácsos kaput, de látván a pompás hintót, bizonyosra vette, hogy valami fontos látogatás, s beengedte a kocsit, mely megállt az oszlopcsarnok alatt.	Người lính canh Thụy Sĩ sắp sửa đóng cổng nhưng trông thấy cỗ xe lộng lẫy, ngỡ đó là cuộc đến thăm quan trọng và để cho xe đi qua, xe đứng lại ở hàng cột.
Azt hitte, a koadjutor rendelkezett így, s anélkül, hogy a gyeplőt elengedte volna, leugrott a bakról, hogy ajtót nyisson.	Hắn tưởng là ông chủ giáo đã dùng bọn chúng vào việc gì đó, và chẳng buông cương, hắn nhảy xuống để mở cửa.
- Egy mukkanás - mondta -, s halálfia vagy!	- Cứ thử kêu lên một tiếng thôi, mày sẽ chết.
A kocsis látta az arcán annak, aki ezt mondta, hogy tőrbe csalták, szája tátva maradt, s szeme majd kifordult az üregéből.	Nhìn vẻ mặt của người đang nói, gã đánh xe thấy rõ mình đã rơi vào một cái bẫy, hắn cứ há hốc miệng ra và mắt mở thao láo.
Az udvarban két testőr sétált, D’Artagnan nevükön szólította őket.	Hai người lính ngự lâm đang đi dạo ngoài sân, d Artagnan gọi họ bằng tên:
A testőr, ki tudta, hogy hadnagya szolgálati helyén minden rossz tréfára képtelen, szó nélkül engedelmeskedett, ámbár a parancs szokatlannak tűnt fel neki.	Biết rõ viên trung uý của mình không thể làm một trò đùa đối với công vụ, người lính ngự lâm tuân theo chẳng nói một lời, mặc dầu anh thấy mệnh lệnh có vẻ kỳ cục.
- Du Verger uram - mondta -, segítsen már ezt az embert valahol biztonságba helyezni.	- Ông du Verger, hãy giúp tôi đưa người này đến nơi an toàn.
D’Artagnan felment a lépcsőn, foglyával a háta mögött, akinek a testőr lépkedett a nyomában, átszelte az előcsarnokot, s belépett Mazarin előszobájába.	Người lính ngự lâm tưởng ông trung uý của mình vừa mới bắt giữ một ông hoàng nào đó cải trang, bèn cúi chào, rồi tuốt gươm ra, anh ra hiệu là mình đã sẵn sàng.
Bernouin türelmetlenül várta a híreket gazdájáról.	Bernouin sốt ruột đợi tin tức của chủ mình.
- Nos hát, uram? - kérdezte.	- Thế nào ông - Hắn hỏi.
- Minden úgy megy, mint a karikacsapás, kedves Bernouin uram; de ihol egy ember, akit magának kellene biztonságba helyeznie...	- Mọi việc đều tuyệt diệu, ông Bernouin thân mến ạ; nhưng đây là một người mà xin ông vui lòng đưa vào một nơi chắc chắn…
- Ugyan hol, uram?	- Đưa vào đâu, hả ông?
- Ahol akarja, feltéve, ha a helyiségnek jó, lakattal zárható ablaktáblái vannak, és kulccsal zárható ajtaja.	- Tùy ông, miễn là nơi ông chọn phải có vừa cửa ra vào vừa cửa sổ khoá cẩn thận.
- Most pedig, kedves barátom - mondta D’Artagnan -, megkérem, kalapjától és kardjától váljék meg a kedvemért.	- Bây giờ, ông bạn thân mến ơi, - D Artagnan nói với người đánh xe, - Tôi mời ông bỏ ra cho tôi mũ và áo choàng của ông.
A kocsis, érthetően, mi ellenállást sem tanúsított; egyébként is úgy megrémítette az, ami vele történt, hogy támolygott és dadogott, mint valami részeg; D’Artagnan a ruhadarabokat az inas hóna alá gyűrte.	Ta biết chắc là người đánh xe chẳng kháng cự chút nào; hơn nữa hắn vô cùng kinh ngạc về chuyện xảy ra với mình đến nỗi hắn lảo đảo và lắp bắp như người say rượu.
- Parancsára, hadnagy úr - válaszolt a testőr, aki látta, hogy komoly dologról van szó.	Phiên gác sẽ khá dài và chẳng thú vị lắm đâu, tôi biết, nhưng ông hiểu cho, - Anh trịnh trọng nói thêm, - Vì công vụ của đức vua.
A testőr úgy bólintott rá, hogy éreztesse, pontosan engedelmeskedni fog az utasításnak.	Người lính ngự lâm gật đầu ra hiệu là anh sẽ nghiêm chính tuân theo mệnh lệnh.
D’Artagnan kiment, s Bernouint magával vitte.	D Artagnan đi ra, dẫn theo Bernouin.
Bernouin bevezette D’Artagnant a kápolnába, ahol gondterhesen leült.	Bernouin dẫn d Artagnan vào phòng nguyện, anh ngồi đó dáng trầm ngâm.
A Palais-Royalban minden olyan volt, mint rendszerint.	Mọi việc ở Hoàng cung vẫn như thường lệ.
Tíz órakor, amint már mondottuk, minden vendég elvonult; s az ifjú Lajos utolsónak maradván, azzal szórakozott, hogy az ólomkatonákat hadrendbe állította, mely művelet nagyon felderítette.	Lúc mười giờ, như chúng tôi đã nói, mọi thực khách đều về hết; nhưng người phải đi trốn cùng với triều đình đã nhận mật khẩu và được mời có mặt tại Cours-la-Reine từ nửa đêm đến một giờ.
- Laporte - mondta a királyné -, ideje volna őfelségét lefektetni.	- Laporter, - Hoàng hậu nói, - Đến giờ Hoàng thượng đi nằm rồi.
- Talán bizony nem kell holnap reggel hatkor Conflans-ba mennie fürdeni, Lajos?	- Thế sáu giờ sáng mai con chẳng phải đi tắm ở Conflans à, Louis?
Éppen maga kérte, ha nem tévedek.	Hình như chính con yêu cầu mà?
- Igaza van, asszonyom - mondta a király -, s kész is volnék visszavonulni lakosztályomba, csak kegyeskednék előbb megcsókolni.	- Mẹ nói đúng đấy, - Vua nói, - Và con sẵn sàng lui về buồng khi nào mẹ vui lòng ôm hôn con.
Laporte, adja oda a gyertyatartót De Coislin lovagnak!	- Laporter hãy đưa cây đèn cho ông hiệp sĩ de Coislin.
A királyné ajkával illette a felséges gyermek sápadt és sima homlokát, melyet az már az etikettet éreztető méltósággal tartott oda.	Hoàng hậu đặt môi lên vầng trán trắng mịn màng mà cậu bé tôn kính giơ ra với vẻ đường bệ đã sặc mùi nghi thức.
- Aludjék el gyorsan, Lajos - mondta a királyné -, mert holnap korán lesz az ébresztő!	- Con ngủ mau lên nhé Louis, - Hoàng hậu nói, - Con sẽ bị đánh thức sớm lắm đấy.
- Mindent megteszek, hogy asszonyomnak kedvében járjak mondta az ifjú Lajos -, csakhogy még nincs kedvem aludni.	- Con sẽ cố gắng để tuân lệnh mẹ, - Cậu Louis nhỏ nói, - Nhưng con chẳng buồn ngủ tí nào cả.
- Laporte - mondta nagyon halkan Ausztriai Anna -, keressen valami könnyű, unalmas könyvet, s olvasson fel őfelségének, de maga ne vetkőzzék le!	- Laporter, - Anne d Autriche khẽ nói, - hãy kiếm quyển sách nào thật chán cho Hoàng thượng đọc, nhưng chớ cởi bỏ quần áo.
Ekkor a királyné bement a lakosztályába.	Hoàng hậu bèn trở về phòng mình.
Udvarhölgyei, vagyis Brégy grófné, Beaumont kis­asszony, Motteville-né asszony s húga, Socratine, akit bölcsességéért neveztek így, éppen behozták az öltözőszobájába a vacsora maradványait; ezekkel költötte el estebédjét, szokás szerint.	Các thị nữ của bà, tức bà de de Brégy, tiểu thơ de Beaumont, bà de Motteville et Socratineem - Người ta, gọi như vậy do sự khôn ngoan của cô, họ vừa mang đến chỗ tủ quần áo những thức ăn còn lại của bữa trước để bà ăn, theo thói quen.
A királyné közben parancsokat osztogatott, beszélt az ebédről, melyre harmadnapra várja Villequier márkit, s kijelölte azokat, akiket megtisztelt azzal, hogy jelen lehetnek; másnapra látogatást jelentett a Val-de-Grâce-ba, ahol is ájtatoskodni szándékozik, és belső lakájának, Béringhennek, utasítást adott, hogy elkísérje oda.	Hoàng hậu sai bảo các việc, nói về bữa ăn mà hầu tước de Villequier mời bà vào ngày kia, chỉ định những người mà bà cho đi dự, bà còn báo trước vào ngày hôm sau nữa một cuộc đi thăm tu viện Val-de-Grâce nơi bà có ý đình qui y, và dặn Béringhen, người hầu phòng thứ nhất của bà, sẽ đi theo bà.
A hölgyek a vacsorát befejezvén, a királyné nagy fáradtságot színlelt, és bement háló­szobájába.	Bữa ăn tối của các thị nữ xong, hoàng hậu giả bộ rất mệt và sang phòng mình để nằm.
Ebben a pillanatban vonult be D’Artagnan a koadjutor hintájával a Palais-Royal kapuján.	Đấy là lúc d Artagnan đi vào sân Hoàng cung bằng cỗ xe của chủ giáo.
Az óra éjfelet ütött.	Mười hai giờ điểm.
Öt perc múlva Bernouin, a bíboros rejtekútján érkezvén, bekopogott a királyné hálószobája ajtaján.	Năm phút sau, Bernouin gõ cửa phòng ngủ của hoàng hậu, hắn đến bằng lối đi bí mật của giáo chủ.
Ausztriai Anna maga ment ajtót nyitni!	Anne d Autriche tự mình ra mở cửa.
Már fel volt öltözve, vagyis lábán harisnya volt és hosszú fésülködőköpenybe burkolózott.	Bà đã mặc quần áo, nghĩa là đã đi tất dài và khoác cái áo choàng dài.
- D’Artagnan úr itt van?	- Thưa Lệnh bà có, ở trong phòng nguyện.
- Mindjárt ott leszek.	- Tôi xong bây giờ.
Menjen s mondja meg Laporte-nak, költse s öltöztesse fel a királyt, aztán siessen át Villeroy marsallhoz, és figyelmeztesse a nevemben.	Hãy đến bảo Laporter đánh thức vua dậy và mặc quần áo cho vua, rồi từ đây đi sang chỗ thống chế de Villeroy và báo cho ông ta biết.
Bernouin meghajolt és kiment.	Bernouin cúi chào và đi ra.
A királyné belépett a kápolnájába, melyben egy egyszerű velencei üveglámpás világított.	Hoàng hậu vào phòng nguyện được chiếu sáng bằng một ngọn đèn giản dị loại hàng thuỷ tinh Venise.
D’Artagnant ott találta: állt és várakozott.	Bà thấy d Artagnan đang đứng đợi.
- Maga az?	- Ông đấy à?
- kérdezte.	- bà nói.
- Én vagyok, asszonyom.	- Vâng, thưa Lệnh bà.
- Készen van?	- Ông sẵn sàng chứ?
- Készen vagyok.	- Vâng, tôi đã sẵn sàng.
- Hát a bíboros úr?	- Thế còn ông giáo chủ?
A Cours-la-Reine-en várja felségedet.	- Nhưng chúng ta đi bằng xe nào?
- De milyen kocsiban indulunk?	- Tôi đã lo trước cả rồi.
- Mindenről gondoskodtam, egy hintó várja odalent felségedet.	Một cỗ xe đang đợi Lệnh bà ở dưới sân.
- Menjünk a királyért.	- Ta sang chỗ vua đi.
D’Artagnan meghajolt, s követte a királynét.	D Artagnan nghiêng mình và đi theo.
- Felség, a királyné parancsolta így.	- Thưa Ngài, đó là theo lệnh của hoàng hậu.
A vetetlen ágyon látni lehetett a király annyira elnyűtt ágyneműjét, hogy imitt-amott még lyukak is voltak rajta.	Giường để hở và người ta trông thấy nhưng tấm vải trải giường của vua cũ kỹ quá đến nỗi đã thủng lỗ chỗ.
Ez is Mazarin takarékosságának egyik következménye volt.	Đó lại là một trong những hậu quả tính biển lận của Mazarin.
A királyné belépett, D’Artagnan pedig a küszöbön maradt.	Hoàng hậu vào, d Artagnan đứng ở ngưỡng cửa.
A gyermek, amint a királynét megpillantotta, kicsúszott Laporte kezéből és hozzárohant.	Cậu bé thấy hoàng hậu vào liền tuột ra khỏi tay Laporter và chạy đến với bà.
A királyné intett D’Artagnannak, hogy közeledjék.	Hoàng hậu ra hiệu cho d Artagnan tới gần.
Jól jegyezd meg a nevét, s nézd meg alaposan, hogy soha el ne felejtsd az arcát, mert ma éjjel nagy szolgálatot tesz nekünk.	Hãy nhớ kỹ tên ông và nhìn kỹ ông để không quên mặt ông, bởi vì tối nay ông sẽ giúp chúng ta một việc lớn.
Az ifjú király büszke, nagy szemével a testőrre bámult és megismételte:	Cậu vua nhỏ nhìn viên sĩ quan bằng con mắt to và kiêu hãnh của mình và nhắc lại:
- D’Artagnan úr?	- Ông d Artagnan.
- Úgy van, fiam.	- Đúng đấy, con ạ.
Az ifjú király most lassan felemelte apró kezét, s a testőrnek nyújtotta; az fél térdre ereszkedett és megcsókolta.	- Cậu vua nhỏ thong thả giơ bàn tay nhỏ nhắn lên và chìa ra cho người lính ngự lâm quân; anh quỳ một chân xuống và hôn lên tay vua.
- Jól van, asszonyom.	- Đúng chứ, thưa mẹ.
Ebben a pillanatban mintha közeledő moraj zúgott volna fel.	Vừa lúc ấy người ta nghe thấy như một tiếng ồn ào đến gần.
- Hát ez micsoda?	- Cái gì đó?
- kérdezte a királyné.	- Hoàng hậu nói.
- Hogy micsoda?	- Ô, ô!
- A lázongó nép lármája. - Menekülni kell - mondta a királyné.	- Ta phải trốn đi thôi, - Hoàng hậu nói.
- Felséged rám bízta ez ügy irányítását, maradni kell, s megtudni, mit akarnak.	- Hoàng thượng đã giao cho tôi chỉ huy việc này, ta cần phải ở lại và xem họ muốn gì?
- D’Artagnan úr!	- Ông d Artagnan.
- Mindenért kezeskedem.	- Tôi xin bảo đảm mọi chuyện.
- Intézkedjék, magára bízom magam.	- Hãy làm đi, - Bà nói, - Tôi trông cậy ở ông.
- Csak adjon, uram.	- Cứ ra lệnh ông ạ.
- Mit akar a nép már megint?	- Đám dân chúng này còn muốn gì nữa.
- kérdezte a király.	- Vua nói.
- Mindjárt megtudjuk, felség - mondta D’Artagnan.	- Và cậu nhanh chóng ra khỏi phòng.
Nőttön-nőtt a csődület, úgy látszott, mindenestül ellepi a Palais-Royalt.	Tiếng ồn ào càng lớn dần, như bao trùm toàn bộ Hoàng cung.
Közepéből kiáltások hallatszottak, értelmüket nem lehetett megfejteni.	Ở bên trong người ta nghe thấy những tiếng hô nhưng không rõ nghĩa.
Nyilvánvaló volt, hogy lázadás és rendzavarás.	Hiển nhiên là có la ó và phản loạn.
A félig öltözött király, a királyné és Laporte, abban az állapotban, s majdnem azon a helyen is maradtak, ahol voltak, figyelve, várakozva.	Nhà vua mặc dở dang, Hoàng hậu và Laporter ai nấy thế nào vẫn nguyên thế ấy và hầu như đứng nguyên tại chỗ, nghe ngóng và chờ đợi.
- Csak az, asszonyom - mondta D’Artagnan -, hogy az a hír járja, a királyné elhagyta Párizst, magával víve a királyt, s a nép bizonyítékot kér cáfolatul, vagy azzal fenyegetőzik, hogy földig rombolja a Palais-Royalt.	- Thưa Lệnh bà, có tin đồn rằng hoàng hậu đã rời Hoàng cung, cướp đi cả đức vua, và dân chúng yêu cầu có bằng chứng là không phải như vậy, nếu không thì họ sẽ phá huỷ Hoàng cung.
- Ó, ez már több a soknál - mondta a királyné -, majd megmutatom nekik, hogy egyáltalán nem mentem el!	- Ôi, lần này thì thật quá lắm, - Hoàng hậu nói, - Và tôi sẽ chứng minh cho họ rằng tôi không ra đi.
D’Artagnan látta a királyné arckifejezéséről, hogy valami erőszakos parancsot készül adni.	Nhìn vẻ mặt của hoàng hậu, d Artagnan đoán rằng bà sẽ ra lệnh làm một việc hung bạo nào đó.
Odament hozzá, s egészen halkan mondta:	Anh đến gần bà và nói thì thầm:
- Felségednek megvan még a bizalma bennem?	- Hoàng thượng bao giờ cũng tin cậy tôi chứ?
Ettől a hangtól a királyné összerezzent.	Giọng nói ấy khiến bà rùng mình.
- A királyné nem átallja követni a tanácsaimat?	- Hoàng hậu có hạ cố làm theo ý kiến của tôi không?
- Éspedig?	- Cứ nói.
- Hogy szíveskedjék Comminges urat elküldeni, s megparancsolni neki, zárkózzék be embereivel együtt az őrszobákba s az istállókba!	- Xin Hoàng thượng hãy cho ông Comminger lui và ra lệnh cho ông ấy cùng với người của mình ở yên trong đơn vị và các chuồng ngựa.
Comminges azzal az irigy tekintettel nézett D’Artagnanra, mellyel minden udvaronc holmi új szerencsecsillag feltűnését véli megpillantani.	Comminger nhìn d Artagnan bằng cái nhìn ghen tị, với cái nhìn ấy mọi cận thần đều thấy rạng lên một vận hội mới.
- Hallotta, Comminges?	- Ông nghe thấy rồi chứ, Comminger?
- kérdezte a királyné.	- Hoàng hậu nói.
D’Artagnan Comminges-hoz lépett; szokásos éberségével felfedezte ezt a nyugtalanságot a tekintetében.	D Artagnan đến bên anh ta, với sự minh mẫn thông thường anh đã nhận ra cái nhìn lo ngại ấy.
- Comminges uram - mondta -, bocsásson meg nekem; mindketten a királynét szolgáljuk, nemde?	- Ông Comminger, - Anh nói - Hãy thứ lỗi cho tôi, hai chúng ta đều là bầy tôi của hoàng hậu có phải không?
Comminges meghajolt s kiment.	Comminger nghiêng mình và đi ra.
"Ejnye - gondolta D’Artagnan -, megint eggyel több ellenség!"	"Bây giờ, - D Artagnan tự nhủ, - Ta lại có thêm một kẻ thù!".
- Asszonyom - felelte D’Artagnan -, a nép látni akarja a királyt, tehát látnia kell.	- Thưa Lệnh bà, - D Artagnan đáp, - Dân chúng muốn trông thấy vua, cần phải để họ thấy vua.
- Hogyhogy látnia?	- Sao để cho họ thấy vua à?
- Nem, asszonyom, hanem itt, az ágyában, aludva!	- Không, thưa Lệnh bà, mà ở ngay đây, trên giường vua đang ngủ.
- Felséges asszony!	- Ô!
- Rajta hát - suttogta.	- Cốt yếu là… - hoàng hậu lẩm bẩm.
- Laporte úr - mondta D’Artagnan -, hatoljon át a Palais-Royal rácskerítésén, s jelentse a népnek, hogy kívánsága teljesül: öt perc múlva nemcsak hogy látni fogja a királyt, de még­hozzá az ágyában; hangsúlyozza, hogy a király alszik, s a királynénak az a kérése, csendesed­jenek el, hogy fel ne ébresszék.	- Ông Laporter, - D Artagnan nói, - hãy đi ra ngoài cổng Hoàng cung báo với dân chúng rằng họ sẽ được mãn nguyện, và năm phút nữa, họ không những sẽ trông thấy vua mà còn thấy vua ở giường; cần nói thên rằng vua đang ngủ và hoàng hậu yêu cầu mọi người im lặng để khỏi làm vua thức giắc.
- De nem mindenki, csak két vagy három tagú deputáció.	- Nhưng không phải là tất cả mọi người, mà một đoàn đại biểu độ dăm ba người thôi chứ?
- Mindenki, asszonyom!	- Thưa Lệnh bà, tất cả mọi người.
- De hát majd reggelig feltartanak, gondolja meg!	- Nhưng họ sẽ giữ ta đến sáng hãy nghĩ đến điều đó.
- Egy negyedóráig lesznek itt.	- Chỉ mười lăm phút thôi.
Higgyen nekem, én ismerem a népet, nagy gyermek az, csak azt várja, hogy megsimogassák.	Tôi hiểu biết dân chúng, đó là những đứa trẻ lớn chỉ cần vuốt ve là xong.
