HOMÉROSZ	Homer
Pénelopét, szólt ő, dörzsölve kezével az arcát:	Hai đối thủ giơ nắm đấm tiến lại gần nhau.
most rögtön, hogy az életemet ne fogyasszam a lelkem	Xương trong yết hầu gãy, máu ứa ra miệng.
Szólt, s ragyogó fölső terméből szállt le a lépcsőn;	Nom thấy thế đám cầu hôn vung tay cười như nắc nẻ.
hogyha reádnéz, s látja, milyen daliás alakú vagy,	Cầu mong Chúa tể và thần linh ban điều khách lạ mơ ước!
Téged fognak az emberek ócsárolni, gyalázni."	Đám cầu hôn nói thế.
Erre a jóeszü Télemakhosz neki válaszul így szólt:	Nghe lời bộc lộ đượm vẻ tiên đoán Odysseus mừng thầm.
tengene, minden tagjában törten valamennyi,	Cầu mong tương lai sung sướng!
mint ez az Írosz most, aki ott ül az udvari ajtó	Hiện thời cực khổ, gian truân!"
S még az a szörnyű kín is eléri a szívem, a lelkem:	Bỉ phu tin chắc người đó đã ở rất gần.
tért meg: csattja tizenkettő volt, mind szinaranyból,	Đương sự ngồi xuống ghế vừa rời đứng dậy.
S más-más szép kincset hozatott oda minden akháj hős.	Quản gia Eurynome đáp: "Con yêu thương, con nói chí phải.
Ők pedig ekkor a tánchoz, a vágykeltő daloláshoz	Nói thẳng cho quý tử hay ý định, không giấu giếm.
fordulván vigadoztak, ekép várták be az estét.	Nhưng trước khi làm vậy phải tắm rửa, thoa dầu trên má.
Nékik	Hỡi ơi!
ez Doliosznak volt a leánya, de Pénelopeia mint a saját lányát, dajkálta, s adott örömére	Nữ thần lẳng lặng ban cho nét vẻ bất tử khiến đám cầu hôn nhìn là ngây ngất.
Hát ez volt, aki most Odüszeuszt korholta keményen: "Ej, nyomorult idegen, mit akarsz, bizonyára bolond vagy;	Tiếp đến nữ thần biến thân hình cao hơn, vẻ mặt đẹp hơn, làn da trắng hơn ngà voi mới cưa.
kedved nincs a kovácsműhelybe kerülni aludni,	Công việc hoàn tất nữ thần biến dạng.
Vagy tán őrjöngsz, mert Íroszt leütötted, a koldust?	Ước gì lúc này trinh thần Artemis để mình nhắm mắt ra đi êm ả!
"Büszke királynő sok kérője, figyelj a szavamra,	Con sẽ mang tiếng, mọi người sẽ chê cười!"
Esztendőre elég eledelt adnék neked akkor,	Vì khỏe hơn khách lạ đã thắng.
nézni a munka után, inkább koldulni szeretnél,	Ô Chúa tể, ô Athena, ô Apollo!
Így szólt és zsámolyt hajitott oda; csakhogy Odüsszeusz Dúlikhion-beli Amphinomosznak térde elé ült	Bởi thế ta không biết thần linh sẽ để trở về quê hương hay bắt bỏ mạng trên đất Troad.
ő maga följajdulva hanyatlott hátra, a porba.	Hiền thê ở lại trông nom tất cả.
hogyha akarjátok; nem hajtok senkit el innen."	Phong cách các cầu hôn bữa nay kỳ lạ.
TIZENKILENCEDIK ÉNEK –	Antinoos ngừng.
mindet, a kérőkhöz meg szólj lágyhangu beszéddel,	Màn đêm buông, trời tối, họ vẫn vui chơi ồn ào.
mint Trójába menet mikor itthonhagyta Odüsszeusz,	Tỳ nữ trong nhà thay nhau tiếp mồi giữ lửa.
még valahogy, beborozva, ne kezdjetek itt veszekedni,	Lửa để đó bỉ phu trông cho.
Szólt; és Télemakhosz hajlott jó apja szavára,	Tỳ nữ phá ra cười, đưa mắt nhìn nhau.
és odahívta, e szókkal, a dajkát, Eurükleiát:	Melantho cặp má nõn nà liền giễu cợt.
Csak mondd meg: hordozni ki fogja előtted a fáklyát,	Phải chăng đánh gục ăn mày Iros nên ngây ngất coi trời bằng vung?
"Itt ez a vándor: mert henyemód nem eszik kenyeremből	Vừa lườm Odysseus lanh trí vừa đáp: "Nặc nô!
és a fenyődeszkák, fülkék, minden magas oszlop,	Bản nhân muốn nói điều nung nấu trong lòng.
Válaszul erre eképen szólt leleményes Odüsszeusz:	Bản nhân thấy bó đuốc đằng kia hình như từ đầu đương sự chui ra!
"Csönd!	Chà cái đầu!
Ikmaliosz volt készítője, ki lába elé egy	Công xá sẽ đích đáng.
A kényszerüség hajt:	Odysseus nói thế.
tündöklésed, amellyel e lányok közt kimagaslasz,	Chắc hẳn rượu vào chếnh choáng lời ra lảm nhảm!
vagy hazatér Odüszeusz: a reményre hiszen van okunk még.	Phải chăng thói lề là vậy nói mà chẳng nói gì?
férjemről, miután súlyos gond terhe szakadt rám."	Khắp đại sảnh âm u đám cầu hôn thi nhau la hét.
lágy gyapjút, s üljön le a vándor, hallja a szómat,	Nếu vậy nó sẽ không làm hỗn loạn thế này!
mint valamely istenfélő, jóhírü királyé,	Chắc hẳn có thần linh trừng phạt?
hogy kivonultak az argosziak, s Odüszeusz is, a férjem.	Lễ xong uống đủ tất cả ra về lên giường chờ giấc.
nem fejezem be, szövött vásznam hogy kárba ne vesszen,	Lửa cháy khói bám xám xịt, tất cả han gỉ hư hại!
és más cselt se tudok.	Vậy cứ việc!
már tud ügyelni: dicsőséget nyújt néki a nagy Zeusz.	Tỳ nữ lo việc đó con lại không muốn chúng ra bên ngoài!"
apja apámnak, a nagylelkű deli Deukaliónnak.	Odysseus ý nhị ngăn chặn: "Im!
Ílion ellen eredt az a görbültívü hajókkal,	đừng nói, đừng hỏi.
én vagyok ifjabb: ő az idősebb és az erősebb.	Thần linh trên núi Olympos vẫn làm vậy.
és szivesen láttam: volt minden bőven a házban; s adtam a társainak, kik véle hajóztak a gályán,	Odysseus ở lại đại sảnh một mình, có Athena trợ giúp, toan tính hạ sát đám cầu hôn.
Csakhogy Odüsszeusz	Penelope an tọa.
láttad-e vendégül palotádban, ahogy kijelented;	Melantho lại nặng lời mắng nhiếc Odysseus.
emlékeznem: mert már húsz év telt el azóta,	Ả lớn tiếng: "Khách lạ!
Bíbor gyapjuköpenyt hordott fényes nagy Odüsszeusz,	Cuốn xéo đi mau, đồ khốn kiếp, ăn uống như vậy đủ rồi.
mellső lábaival foltos szarvast kutya tartott,	Tại sao hằn học với ta?
s tisztesen indítottam el aztán, jópadu bárkán.	Sự thể chưa đến nỗi nào mà vẫn còn hy vọng!
S hogy gyönyörére betelt már sokkönnyű zokogással,	Dáng vẻ đĩnh đạc, điềm đạm Odysseus ngồi xuống.
légy most házamban tisztelt és drága barát is;	Thành phố nào, song thân ra sao?"
díszül rá.	Không!
hát még érte, ki, úgy mondják, istenre hasonlít.	Dẫu thế bỉ phu không ngồi thở vắn than dài trong nhà người khác!
Mégis: szűntesd már zokogásod, a szómra figyelj csak:	Vì nức nở, rên rỉ liên miên sẽ làm bực mình, khó chịu.
volna bajok nélkül, s már itthon volna Odüsszeusz	Tiện phụ thương nhớ Odysseus khôn nguôi.
vár már rá a hajó s a legénység, készen az útra,	Ba năm liền sử dụng mưu kế tiện phụ đánh lừa.
indult egy bárkájuk a termő Dúlikhionba.	Họ la hét, trách móc!
Kincseket is mutatott, melyeket gyűjtött nagy Odüsszeusz:	Họ ép buộc phải làm cho xong, nhưng trong lòng tiện phụ không muốn!
S mondta, hogy ő Dódóna felé ment, hajkoronás nagy	Cha mẹ hối thúc lấy chồng, con trai bực tức vì thấy của cải tiêu tan.
majd mikor elfogy a hold és kezd növekedni az új hold."	Dẫu vậy vẫn xin kể và sẵn sàng trả lời từng câu phu nhân hỏi.
néked sem, mert nincs palotánkban olyan fejedelmünk,	Ông là ông nội bỉ phu, bố đẻ Deukalion hào hiệp.
mint Odüszeusz volt egykor a népe között, ha ugyan volt:	Deukalion sinh hạ hai con trai: bỉ phu và Idomeneus.
párnákkal, köpenyekkel, igenszép szőnyegeinkkel,	Ít tuổi hơn, không tài cán bằng Idomeneus, bỉ phu tên là Aithon.
míg az aranytrónú Hajnal jön, hadd melegedjék.	Bỉ phu gặp Odysseus ở Krete.
Megmosván korahajnalidőn, kenjétek olajjal,	Muốn tỏ lòng hiếu khách bỉ phu biếu phẩm vật.
lelkeveszítően vendégünk, csak neki lesz rossz,	Bến đậu khó vào hì hục mãi mới thoát nanh vuốt cuồng phong.
csak gonoszat kívánnak mindig a földi halandók,	Nhờ của cải dư dả bỉ phu đãi đằng bặt thiệp.
néki megengedném, hogy megfürdesse a lábam."	Tính đến nay Odysseus rời đảo ra đi kể đã hai mươi năm.
Válaszul így szólt most az okosszivü Pénelopeia:	Dẫu thế bỉ phu xin miêu tả hình ảnh còn giữ trong trí nhớ.
lábadat ő megmossa, a lábán bár alig áll már.	Bỉ phu cũng để ý tu-ních.
lába is éppenilyen most már, meg a két keze szintén:	Bỉ phu nói thêm điều nữa để phu nhân suy ngẫm.
forró könnyeket ejtett és panaszos szavakat szólt:	Vì Odysseus có bằng hữu khắp nơi, ít người Achaian sánh kịp.
Hisz villámszerető Zeusznak nem akadt aki annyit	Và thưa còn điều này nữa.
combokat égetvén, könyörögve, hogy érj nyugodalmas	Odysseus có lệnh sứ bên cạnh hơn tuổi một chút.
vénkort, és te nevelhesd föl ragyogó fiusarjad;	Bỉ phu cũng xin miêu tả hầu phu nhân.
S valamit még mondok, halld meg a szómat. Eddig is oly sok vándor jött vendégül e házba,	Kẹp gài óng ánh tiện phụ đính bên ngoài vì muốn Odysseus bảnh bao, diêm dúa!
melyben a lábát mosni akarta; hideg vizet öntött	Bỉ phu không vì thế mà khiển trách, chê bai.
lába sebét, majd ráismer, s minden kiderülhet.	Xin lau lệ, ngừng rên rỉ, lắng nghe bỉ phu.
ráismert a sebére, melyet vadkan foga vágott,	Bỉ phu thưa sự thật, không giấu giếm.
néki, ebédjük után, s a nevén szólítva kimondta:	Tất cả chết chìm trên biển phong ba sóng lừng cuồn cuộn.
gonddal megsütögették mind, s mindenkinek adtak.	Như vậy tức là Odysseus an toàn và sẽ sớm trở về.
csendes habjaiból kélt mélyvizü Ókeanosznak,	Nhưng lòng riêng tiện phụ linh cảm và linh cảm sẽ là sự thật.
Legelőször a fürge Odüsszeusz	Đời người ngắn ngủi!
Én meg a gazdám	Ôi chao!
Szólt; és Pénelopeia felé fordulva szemével	Người bất hạnh thường già trước tuổi!"
De Odüsszeusz	Ối đất ơi!
fölsorolom majd én, hogy a nők közül itt, palotádban,	Vì nương nương, vì quý khách, già sẽ rửa chân quý khách.
"Dajka, miért tennéd?	Biết tại sao không?
Nincs szükség itt a szavadra.	Nghe già nói.
éles-erős gondok zaklatják, szaggat a bánat.	Lão công lừng danh là nhờ thần linh Hermes.
vagy válasszam-e már az akhájok legderekabbját	Vậy lấy nghĩa đó đặt tên Odysseus cho nó.
Csakhogy visszaröpült a sas és odaült a tetőre,	Cả nhà ăn uống suốt ngày tới sẩm tối.
"Bátorság, lánysarja a hírneves Íkariosznak;	Phần ăn đồng đều tất cả thỏa mãn.
mind igaz ez, nem is álom, mert így teljesedik be. Itt e ludak kérők, magam én sas voltam idáig,	Mặt trời lặn, màn đêm buông, tất cả nghỉ ngơi, vui vẻ lên giường chờ giấc.
"Úrnőm, nem lehet álmod máskép fejteni úgysem,	Chó săn chạy trước lùng sục đánh hơi.
hogy meglesz, Odüszeusz.	Con Autolykos theo sau.
majd ahhoz megyek én, elhagyva e hitvesi házat,	Con Autolykos hối hả bu quanh xác heo rừng.
mert hisz előbb ér még hozzád haza bajnok Odüsszeusz,	Odysseus vui vẻ đón nhận, sau đó cấp tốc quay lại Ithaka.
virrasztott Odüszeusz.	Nhưng cẩn thận!
"Mondd, mindenki fölött gyászsorsu, miért virrasztasz?	"Con ơi," Eurykleia vô cùng khôn khéo giãy nảy, "con nói gì vậy!
és egyedül, míg nékik olyan nagy a számuk a házban.	Già sẽ nín thinh như tảng đá hoặc khối sắt.
Mondta az istennő ismét, a bagolyszemü Pallasz:	Tuy thế nhớ điều này chôn sâu trong dạ.
S kereken kijelentem:	Không cần.
kettőnket körül, Árésszal törekedve megölni,	Con sẽ tự làm, theo dõi, quan sát từng đứa.
közben a lányokat elragadó Viharok hurcolták	Ngỗng nằm ngổn ngang, chim ưng bay vút lên trời.
s egyre tizenkét asszony sürgött malmai mellett,	Còn điều nữa tiện phụ muốn nói quý khách suy ngẫm.
"Zeusz atya, ó, ki uralkodol isteni s emberi népen,	Odysseus thường đứng khá xa nhắm bắn, mũi tên xuyên suốt.
s Zeusz dörgésének: mert tudta, hogy ittvan a bosszú.	Tiếc thay chẳng ai có thể thức mãi không chợp mắt.
majd gyönyörű saruit ragyogó talpára csatolta,	Tiện phụ sẽ nằm chờ giấc.
Mert hiszen itt ült s bort ivott az, amennyire vágyott,	Odysseus vừa ngả lưng Eurynome ném cho chiếc chăn.
nem kívánt puha ágyon, lágy derekaljon aludni;	Odysseus nổi giận đùng đùng.
s ekkor a kecskék pásztora jött közelükbe, Melantheusz:	Và điều nữa quan trọng gấp bội cũng khiến tâm trí lo âu.
mint egymás öklét ízlelve: a kéregetésed	Xin nữ thần suy ngẫm sự thể!"
kérőknek meddő tehenet s hízott gödölyéket hajtva: a révészek hozták ezeket, kik az embert	Nhưng ta là nữ thần thường xuyên theo dõi, bao che ngươi trong mọi thử thách, gian nguy.
áthordják a vizen, ha az ő tájukra vetődik.	Ta nói ngươi hay, không giấu giếm.
Ő maga mit mond,	Thôi ngủ đi.
járó úr vagyonát fel akarják osztani végül.	Dẫu thế thần linh vẫn đưa tiện phụ vào ác mộng.
hát neked elmondom, szent esküvel is kijelentem:	Odysseus mừng khôn xiết.
tudja tehát meg Zeusz legelőbb, meg a vendégasztal,	Đúng lúc đó trong cung điện ngân vang tiếng đàn bà.
s tűzhelye hős Odüszeusznak, amelyhez járulok itten,	Khoảng cách không xa mà gần nơi chủ nhân đặt cối xay bột.
S Eumaiosz velük együtt kérte az égilakókat,	Chắc hẳn Cha muốn báo hiệu cho ai đó.
áldoztak hízott disznót, marhát a mezőről;	Ăn uống, giường ngủ đầy đủ hả?
vízzel a bort és osztott már poharat ki a kondás.	Hay quý khách nằm không ai nhòm ngó?
Így szólt; erre a kérők mind ajkukba haraptak,	Ngô bối đem chăn đắp cho."
elhallgattatnók, bármíly élesszavu szónok."	Mấy đứa đằng đó quét nhà, rẩy nước.
S ők, hogy a háthús megsült és húzták le a nyársról,	Mấy đứa còn lại ra suối kín nước mang về thật nhanh!
annyit, amennyit a többi kapott; így adta parancsát	Nghe tiếng sai bảo tỳ nữ vâng lời răm rắp.
lélekemésztő ócsárlása: hatoljon a bántás	Lúc đó đày tớ cũng kéo tới.
még mélyebbre szivébe az isteni hős Odüszeusznak.	Dáng vẻ quan trọng họ chẻ củi thoăn thoắt, thành thạo.
Részét már megkapta a vendég, úgy, ahogy illik;	Chúng chẳng biết sượng mặt, xấu hổ là gì!"
íme tehát adok én is ajándékot neki, hogy majd	Cùng đi có hai nô bộc chăn dê nữa.
öldösitek juhaim, borom isszátok, gabonámat	Gốc gác, cha mẹ thế nào?
faljátok ti: nehéz egynek harcolni sokakkal.	Gia đình, xứ sở ra sao?
Csakhogy a rosszat már nekem itt gonoszul ne tegyétek;	Trông có vẻ tiều tụy, song dáng dấp như quân vương!
"Kedveseim, közülünk ha igazságos szavakat hall, senki ne sértődjék meg, zokszót senkise ejtsen;	Chắc hẳn bữa nay gặp khó khăn ghê gớm, dẫu vậy cầu mong sẽ sung sướng trong tương lai!
hát sose lökdössétek a vándort, mást se a szolgák	Ô Cha Chúa tể, chưa thần linh nào tàn ác như Cha.
hogy te is élvezd már, ami rádmaradott az apádtól,	Về giống không bò trán rộng nào trên trái đất sánh kịp!
teljesen arcotok és fejetek, meg a térdetek is lenn, úszik a könnyben az orcátok, fölhangzik a jajszó,	"Nô bộc chăn bò," Odysseus nhanh trí đáp, "quý nhân rõ ràng là người chín chắn, đáng kính.
ázik a síkos vérben a fal meg a szépmivü fülkék,	Tiện nhân thấy quý nhân là người khả tín.
nincs odafönt, s a sötétségnek vészes köde terjeng."	Nếu còn ở đây quý nhân sẽ thấy Odysseus trở về.
Télemakhoszt bosszantották, kinevetve az ő két	Tất cả kéo vào đại sảnh cung điện Odysseus.
Jobb, ha tanácsom megfogadod, hisz a hasznod is így több:	Đám cầu hôn đưa tay lấy thức ăn ngon lành bày trước mặt.
íjat tennie s szürke vasat kérői elébe	Tất cả cắn môi, nghiến răng.
tölgyküszöbére fölállt ott, melyet hajdan a jó ács	Dẫu vậy bản nhân vẫn phải cắn răng chịu đựng!
Ágaskodva emelte le végül az íjat a szögről,	Không ai nhúc nhích; im lặng kéo dài khá lâu.
Hisz úgyis elég sok	Telemachos nói thế.
nyílvesszőjét hős Odüszeusznak, akit lakomázva	lũ người tuyệt vọng, vì sao khiếp đảm đến thế?
és odatette a gyors vesszőt is a szép karikához,	Odysseus qua đó đòi nợ cả xứ phải trả.
"Leiódész, míly szó szökkent ki fogad keritésén?	Bởi thế Odysseus phải đi xa đòi lại mặc dù còn trẻ.
rettenetes, kínzó: hallom, s már elfut a méreg;	Thân phụ và trưởng thượng thành phố trao nhiệm vụ sứ giả.
akkor hozzájuk mézédes szókkal ekép szólt:	Nương nương bước vào sàn lát ván nâng cao.
sírtak, a bölcs Odüszeusz köribé vetvén ki a karjuk,	Thấy vậy Antinoos nặng lời mắng mỏ: "Ôi chao!
és szeretettel csókolták a fejét meg a vállát.	Đồ nhà quê ngu muội, không biết suy nghĩ!
meglásson, ha kijön, s odabent elmondja a dolgot.	Ngồi xuống, im lặng mà ăn.
Menjetek inkább egyenként a terembe, ne együtt.	Nếu không ra ngoài mà khóc.
láng lobogása fölött melegítve, de hátra biz így sem	Chắc hẳn Chúa tể biến bản nhân thành ngớ ngẩn.
ámde ha ennyire elmaradunk az erőnkkel Odüsszeusz	Nào, quý vị, bước ra!
Eupeithész fia, Antinoosz szólt válaszul erre:	Quý vị thừa biết sự thật.
"Eurümakhosz, sose lesz így: meglátod magad is majd.	Bản nhân hà tất phải cất lời ca ngợi thân mẫu?
csak nyugalomban	Vậy bước ra!
üljetek itt: de a fejszéket tán hagyjuk a földben	Đừng do dự, thoái thác hoặc chần chừ!
állni: hiszen nem fog hozzájuk nyúlni amúgysem,	Kéo dây cung để ngô bối xem thế nào.
szép termébe ki lép Láertiadész Odüszeusznak.	Bản nhân cũng sẽ thử.
s minden borkeverőt peremig töltöttek az ifjak,	Sau đó đứng trên ngưỡng cửa công tử thử cây cung.
s osztották az italt, áldozva előbb a pohárból.	Ba lần gắng sức kéo dây, cánh cung rung rinh.
Eurümakhoszt meg az isteni Antimakhoszt a leginkább	Telemachos thốt kêu: ‘Hỡi ôi, buồn quá!
Csak igyál hát	Nói gì vậy?
Tán ha Odüsszeusz roppant íját jól fölidegzi,	Lời đe dọa tởm lợm ta cực lực không ưa.
bízva a karjában s erejében most ez a koldus, azt hiszed, elvisz majd engem s elvesz feleségül?	Cung này sẽ khiến vô số hoàng tử, hoàng thân tan nát cuộc đời, nát bấy trái tim.
házát.	Tại sao?
És azután ez mért is lenne gyalázat?	Chỉ vì ngươi không giương nổi!
Adjátok neki hát a nagy íjat, lássuk a dolgot.	Nhưng chờ một lát!
inget adok neki én, köpenyeggel, drága ruhákkal,	Hơ cung cho nóng đám thanh niên lấy mỡ bôi dây.
és aki csak sziklás Ithakán gyakorolja uralmát,	Odysseus cũng rời chỗ đi ra.
Ha úgy akarom, hát	Chăn heo!
néki örökbe adom, hogy hordja magával az íjat.	Bỉ phu có điều muốn nói!...
ossz munkára parancsot.	Hay là thôi?...
mert a fiú okos intelmét befogadta szivébe.	Quý hữu theo bên cầu hôn hay bên ông?
Szolgaleányaival fölső házába vonulva,	Xin cho bỉ phu hay cảm nghĩ chân thực."
drága uráért sírt, Odüszeuszért, mígcsak az édes	"Ô Cha Chúa tể!" chăn bò đáp không nghĩ ngợi "nghe con cầu xin.
álmot nem boritotta a szemhéjára Athéné.	Cầu mong thần linh dẫn người đó trở về!
mondd, te csavargó.	Người đó đây này!
mert megijedt, amiért oly sok dühös ifju rivallt rá.	Trong số gia nhân ta biết chỉ có hai ngươi muốn ta trở về!
hallgatnod: mert bár ifjabb vagyok, innen a rétre	Bởi thế ta sẽ cho hai ngươi hay trong tương lai ta sẽ làm gì.
és ha a nők közül egy hall jajt vagy zajt idebentről,	Đáp lại Odysseus hôn đầu, hôn tay hai người.
Ahonnan előbb fölkelt, le is ült ama székre,	Ta sẽ đi trước, các ngươi theo sau.
s nézte Odüsszeuszt.	Cần để ý dấu hiệu!
erre meg arra ezért forgatja a csúnya csavargó."	Hai nô bộc lấn lượt theo sau bước vào.
nyomban, amint fölemelte az íjat, megtapogatta.	Giận dữ y hét: "Ôi buồn quá đỗi!
asztalon ott feküdött: öblös tegezében a többi	Có phải thời gian bắn cung không?
várt, de hamar meg kellett még ízlelniök azt is.	Xếp chuyện ấy lại, ngừng việc ganh đua.
Húrra helyezve, rovátkáit most vonta magához,	Hàng rìu cứ để nguyên tại chỗ.
épp nem olyan, mint becsmérelve gyaláztak a kérők.	Ý kiến khiến tất cả bằng lòng.
Az pedig éppen a drága kupát készült fölemelni,	Vang dịu ngọt, thơm tho thấm vào lòng làm chếnh choáng.
ráküldhesse a csúnya halált meg az éjszinü véget?	U mê vì uống quá độ dã nhân làm điều đồi bại trong tư thất Peirithoos.
Hát Odüszeuszt haragos szavaikkal ekép fenyegették:	Đừng trông chờ trợ giúp, dân xứ này sẽ không khoan dung!
"Hej, ti kutyák, azt hittétek, hogy már sose térek	Trong lòng khách lạ không hề nghĩ vậy!
még éltem s feleségül akartátok feleségem,	Chợt nghe Eurymachos công tử Polybos bèn đáp: "Không!
Most a halál hálóját hurkolom én nyakatokra."	Chuyện đó chẳng, chẳng bao giờ xảy ra.
S csak maga Eurümakhosz volt az, ki felelt a szavára:	đám kém cỏi muốn lấy vợ người tài ba, so ra không cắn gót!
"Hát ha te vagy, ki megérkeztél, Ithaké Odüszeusza,	Cố gắng bở hơi tai, chẳng anh nào kéo nổi dây cung!
És mi a községben gyűjtünk majd kincseket össze,	Vậy hãy trao cung bóng lộn, ngô bối chờ xem kết quả thế nào.
és mit elettünk-ittunk itt a te termed ölében,	Tiện phụ nói trước quý ông sẽ thấy.
S Eurümakhosz kezdett most újra beszélni közöttük:	Cung tên là việc đàn ông sẽ lo, nhất là con, vì là chủ nhà này!"
síma küszöbről addig lő majd, mígcsak e házban	Nương nương lên cầu thang, tỳ nữ theo sau.
hullt le a földre, s az asztalon át maga is lehanyatlott,	Coi chừng kẻo con sẽ ném đá tống cổ ra ngoài đồng.
Télemakhosz, hátulról dobva ki érchegyü dárdát válla közé, s átfúrta a dárda egészen a mellét;	Nô bộc chăn heo cúi nhặt cây cung, ống tên mang xuống cuối đại sảnh trao tay Odysseus mưu trí.
mert ha magam maradok, leszorítanak ők a küszöbről."	Đưa mắt nhìn cầu hôn bên cạnh, một cầu hôn thốt lời: "Chà!
Szólt; és Télemakhosz hajlott jó apja szavára,	sành điệu, thành thạo cung tên!
Majd amikor kifogyott a király nyila már a csatában,	Đám cầu hôn hết hồn; mặt tái mét.
Volt az erős falon egy mellékajtó a magasban,	Odysseus bắn không sai rìu nào.
Néki a kecskék pásztora így szólt erre, Melantheusz:	Dứt lời Odysseus nháy mắt, chau mày, gật đầu ra hiệu.
vértet is ölthettek: hisz akad bent; nem hiszem én, hogy	Còn mục tiêu nữa chưa xạ thủ nào bắn trúng.
és érces sisakot, lószőrtarajút, ugyanannyit;	Hắn nghĩ tới rượu, hắn không nghĩ tới chết!
Télemakhoszhoz fordult hát, szárnyas szavakat szólt:	Chiếc cúp rơi khỏi tay, hắn ngã ngửa lăn xuống đất.
"Télemakhosz, valamely szolgáló itt a teremben	Máu xối xả trào ra lỗ mũi!
"Édesapám, bizony én vagyok itt, nem más, aki vétett,	Thấy Antinoos gục chết, đám cầu hôn nhốn nháo.
vagy tán, mint sejtem, Doliosz fiusarja, Melantheusz."	Mi sẽ không tham dự cuộc tranh tài nào nữa!
Ők egymáshoz ilyen szavakat hallatva beszéltek;	Thế nào mi cũng nát thây.
ott megy a bajkeverő ember, kire mind gyanakodtunk,	Odysseus mưu trí cau mày trừng mắt hét to: "A!
újra a tárházhoz.	Lũ chó má!
Válaszul erre eképen szólt leleményes Odüsszeusz:	Bây giờ tất cả sẽ đền mạng xuống âm ti."
míg ketten ti kezét és lábát hátracsavarva,	Chỉ có Eurymachos ấp úng thốt lời: "Ô!
- ezt hős Láertész hordozta, mikor fiatal volt,	Hắn xứng đáng đón nhận cái chết.
akkor ezek nekiestek s hurcolták a hajánál	Vậy tha mạng cho thần dân của ngươi.
hátracsavarva erősen, ahogy meghagyta parancsát	Mỗi người góp phần trị giá hai mươi bò.
Láertész fiusarja, sokattűrt fényes Odüsszeusz;	Ngô bối sẽ trả bằng đồng và vàng để ngươi hài lòng.
bújva, siettek vissza a tarkaeszű Odüszeuszhoz.	Dẫu vậy Eurymachos lại cất tiếng: "Quý hữu, thấy chưa!
Bent haragot-lihegőn álltak mind: ott a küszöbnél	Tên này nhất định sử dụng cánh tay tàn ác.
Mentóréhoz volt az alakja s a hangja hasonló.	Vậy hãy đồng lòng đứng dậy chiến đấu!
És Odüszeusz megörült, mikor őt meglátta, s ekép szólt:	Rút kiếm, nâng bàn đỡ mũi tên nguy hiểm, cùng nhào tới tấn công.
szólt haragos szóval, korholta keményen Odüsszeuszt:	Đương sự ngã như cây đổ, trán đập xuống đất.
csak bátorságát s erejét próbálta ki ekkor bajnok Odüsszeusznak s Odüszeusz fejedelmi fiának.	Nghe lời thân phụ Telemachos ba chân bốn cẳng chạy tới phòng chứa đồ nơi để vũ khí.
mindvalamennyi között, akik életükért verekedtek:	Đến nơi công tử tiến hành trang bị ngay bản thân.
És hogy a kérők sok gerelyét már így kikerülték,	Bản nhân tin chắc tên này bắn, song đây là lần cuối!"
jóhegyü fegyverüket.	Nhưng khoan!
Ktészipposzt meg a csordás verte keresztül utána,	Xin cho lệnh dứt khoát.
fönt, a terem tetején; mind megrettentek a kérők.	Đứng sát cánh cửa, mỗi người một bên, hai người chờ.
ártatlan: ha a jótettnek nincs semmi jutalma."	Chúng mình cùng tuổi!"
s hogy hozzád menjen s teneked szüljön feleségem.	Ta nói ngươi hay ngô bối dự tính kết thúc vụ này ra sao.
melyet imént ejtett le a haldokló Ageláosz,	Ngươi sẽ đem mạng sống đền tội.
Ő odaállt, élesszavu lantját tartva kezében	Lời đe dọa khiến Athena nổi giận đùng đùng.
s üljön-e arra a kőre az udvarban, min Odüsszeusz	Dũng cảm mất rồi sao?
"Térded ölelve könyörgök, Odüsszeusz, légy kegyelemmel.	Agelaos công tử Damastor vẫn hối thúc đám cầu hôn chiến đấu.
"Állj meg, az ártatlant hegyes érccel meg ne sebezzed.	Nếu Chúa tể trợ giúp, ngô bối sẽ chiến thắng.
S mentsük véle Medónt is, a hírnököt, őt, aki engem,	Khi tên này gục ngã, ngô bối khỏi cần để ý mấy tên kia."
míg kicsi gyermek voltam e házban, mindig is ápolt,	Làm như Agelaos mách nước sáu cầu hôn nhắm kỹ lấy sức lao mạnh.
hogyha ugyan le nem ölte Philoitiosz őt, vagy a kondás,	Nhưng Athena khiến thương bay không trúng đích.
Nyomban előugrott, levetette azonnal a bőrt is,	Bây giờ đến lượt ngô bối lao thương.
Télemakhoszhoz pattant és megölelte a térdét,	Nhắm thẳng đám đông!
és könyörögve beszélt hozzá, szárnyas szavakat szólt:	Chúng chỉ muốn điên cuồng tàn sát ngô bối, gia tăng tội ác!"
"Itt vagyok, édesem, én: könyörülj és mondd meg apádnak,	Tất cả nhắm kỹ, bốn thương sắc nhọn rời tay.
"Bátorság, a fiam megmentett, megszabadított,	Bên Odysseus nhào tới rút thương khỏi xác chết.
És a hatalmas Zeusz oltára elé telepedtek,	Ktesippos cũng vậy.
még, aki, éltét lopva, kerülgeti éjszinü végét.	Odysseus đa mưu túc trí và mấy người lại lao thương vào đối thủ.
megzörgette az ajtót és odahívta a dajkát:	Nô bộc chăn bò sừng cong nói thế.
