1	CHƯƠNG 1
Éppen ezért, a munka zsivajában és zűrzavarában is, egyre folyt a szenvedélyes fecsegés.	Vì vậy, mặc dầu công việc ồn ào và lộn xộn, người ta vẫn hăng hái bàn ra tán vào.
Két áru bediktálása között egyébről sem beszéltek, csak a pénzről.	Giữa những tiếng xướng hàng, người ta chỉ nói chuyện tiền bạc.
Híre járt, hogy Aurélie asszony az idén több mint huszonötezer frankot keres; ez az óriási összeg roppantul felizgatta a kis­asszonyokat.	Có tin đồn bà Aurélie sẽ lĩnh trên hai nhăm nghìn phrăng và một số tiền như thế kích động mạnh nhiều cô bán hàng.
Marguerite, aki Denise után a legjobb elárusító volt, négyezerötszáz frankot keresett, ezerötszáz frank törzsfizetést és körülbelül háromezer frank jutalékot; Clara mindenestül nem kapott többet kétezerötszáznál.	Marguerite, người bán hàng giỏi nhất sau Denise được lĩnh bốn nghìn năm trăm phrăng, một nghìn năm trăm lương cố định và khoảng ba nghìn về khoản phần trăm; còn Clara thì cả thảy không tới hai nghìn năm trăm phrăng.
Aurélie asszony gorombán félbeszakította a társalgást.	Bà Aurélie hầm hầm ngắt chuyện.
Odafordult gőgös ábrázatával:	Bà quay lại với vẻ kiêu kỳ:
- Hallgassanak már, kisasszonyok!	— Các cô ơi, hãy im đi!
Becsületemre mondom, az ember a saját szavát sem érti!	– Chẳng ai bảo được ai đâu, lời danh dự.
Három prémes köpeny, surah, kettes nagyság, százötven!...	Sicile, cỡ một, giá trăm ba mươi!… Ba áo mền bông, lụa surah, cỡ hai, giá trăm năm mươi!… Xong chưa, cô Baudu?
Megvan, Baudu kisasszony?	— Thưa bà, xong…
Tovább taszigálta őket, helyet csinált.	Cô ta đẩy lui, dọn lấy chỗ.
De hamarosan megint otthagyta az egészet, hogy azzal az el­adó­val kezdjen beszélgetni, aki őt kereste.	Nhưng chẳng mấy lúc cô ta lại bỏ đấy để chuyện trò với một tay bán hàng đến tìm cô.
Mignot volt az, a kesztyűs, megszökött az osztá­lyáról.	Đó là gã bán hàng Mignot, trốn bỏ gian hàng của hắn.
Suttogó hangon húsz frankot kért a lánytól; már harminccal tartozott neki, amit egy lóverseny után kért kölcsön tőle, mikor egész heti keresetét elvesztette egy lovon; most meg már előre elköltötte tegnap fölvett jutalékát, s egy fél frankja sem maradt vasárnapra.	Hắn thì thầm hỏi vay hai mươi phrăng, hắn đã nợ cô ta ba mươi phrăng, vay sau ngày thi ngựa, đã đánh cá ngựa mất cả lương một tuần; lần này hắn đã ăn trước vào tiền hoa hồng lĩnh hôm qua nên chẳng còn đến mười xu tiêu ngày Chủ nhật.
Clará­nak csak tíz frank volt a zsebében, de azt elég készségesen kölcsönadta.	Clara chỉ còn trong mình mười phrăng mà cô ta cũng vui vẻ cho vay.
Beszélgetni kezdtek, egy bougivali vendéglőben elköltött hatszemélyes vacsoráról beszéltek, amelyen a nők fizették a maguk részét; legjobb így, akkor mindenki szabadnak érzi magát.	Và họ chuyện trò, họ nói đến một cuộc vui sáu người đã tổ chức tại một khách sạn ở Bougival, trong đó có các phụ nữ đã góp tiền; như vậy, tốt hơn, ai nấy đều thoải mái.
Aztán Mignot, aki nem mondott le a húsz frankjáról; odahajolt Lhomme füléhez.	Sau đó, Mignot, muốn có đủ hai mươi phrăng, tới rỉ tai Lhomme.
A pénztáros abbahagyta az írást, és szemmel láthatóan nagy zavarban volt.	Lão ta đang viết phải ngừng lại, có vẻ rất bối rối.
Mindamellett nem merte visszautasítani, és ke­resgélni kezdett tárcájában egy tízfrankost, mikor Aurélie asszony - csodálkozván, hogy nem hallja Marguerite hangját, aki kénytelen volt a diktálást abbahagyni - észrevette Mignot-t, és mindent megértett.	Nhưng lão không dám từ chối, lão tìm trong ví lấy mười phrăng, lúc đó bà Aurélie, ngạc nhiên vì không nghe thấy tiếng Marguerite, cô này phải ngừng lại, bà bắt gặp Mignot và hiểu ra.
Gorombán visszaküldte az osztályára, fölösleges, hogy az urak idejárjanak a kisasszonyokat szórakoztatni.	Bà liền tàn nhẫn đuổi anh chàng về gian hàng của mình, bà không cần người đến để làm sao nhãng các cô bán hàng.
Valójában félt ettől a fiatalembertől, aki Albert fiának nagy barátja volt, s állandó társa azokban a gyanús mulatozásokban, amelyek miatt Aurélie folyton reszketett, hogy egyszer rosszul találnak végződni.	Sự thật là bà gờm chàng trai, bạn thân của Albert con bà, kẻ đồng lõa trong những trò man trá mà bà lo sẽ kết thúc không hay một ngày nào đó.
Mikor Mignot megkapta a tíz frankot és odébbállt, Aurélie asszony nem állhatta meg, hogy oda ne szóljon a férjének:	Vì vậy, khi Mignot cầm lấy mười phrăng và bỏ đi, bà không chịu được, bảo chồng:
- De drágám, igazán nem tagadhattam meg ettől a fiútól...	— Thì bà tính, tôi thật không thể từ chối gã ấy được…
Az asszony erős vállának egy rándításával elhallgattatta.	Bà ta nhún hai vai lực lưỡng của bà để bịt miệng ông ta.
Aztán, mivel az elárusító kisasszo­nyok alattomban mosolyogtak ezen a családi jeleneten, szigorúan folytatta.	Rồi thấy các cô bán hàng thích thú ngầm vì câu chuyện phân bua gia đình, bà ta lại nghiêm nghị tiếp tục:
- Rajta, Vadon kisasszony, ne aludjunk!	— Nào cô Vadon, khéo lại ngủ bây giờ.
- Húsz felöltő, dupla kasmír, négyes nagyság tizennyolc frank ötven!	— Hai mươi bành-tô, lót cachemire, cỡ bốn, giá mười tám phrăng năm mươi!
- kiáltotta éneklő hangján Marguerite.	– Cô Marguerite lại véo von xướng lên.
Egy darabig fennakadás nélkül folyt a munka.	Trong một lúc công việc tiến hành đều.
Röpködtek a számok, a ruhanyalábok sűrűn hullottak az asztalokra.	Những con số văng ra, những gói quần áo ào ào rơi mạnh xuống các bàn.
Hanem Clara új szórakozást eszelt ki: Joseph-et, a szolgát ugratta állító­lagos szerelmével, a mintavételi osztály egyik kisasszonyával.	Nhưng rồi Clara bày ra một trò tiêu khiển khác: cô ta trêu chọc gã phục vụ Joseph, về một mối tình mà người ta gán cho hắn với một cô làm ở phòng mẫu hàng.
Ez a már huszonnyolc esztendős, sovány és sápadt lány Desforges-né pártfogoltja volt, aki azt akarta, hogy Mouret elárusító kisasszonynak alkalmazza, és megható történetet beszélt el neki róla: árvalány, utolsó sarja a Fontenailles családnak, régi poitou-i nemeseknek, részeges apjával egy fillér nélkül került Párizsba, nyomorában is megmaradt tisztességesnek, de sajnos, nem eléggé művelt ahhoz, hogy tanítónő lehessen, vagy zongoraórákat adjon.	Cô ấy đã hai mươi tám tuổi, gầy và xanh, là người được bà Desforges che chở, bà đã đề nghị với Mouret cho cô ta vào làm nhân viên bán hàng, vừa kể anh nghe một chuyện cảm động: một cô gái mồ côi, người cuối cùng của dòng họ Fontenailles, một dòng quý tộc kỳ cựu ở Poitou, đến ngụ ở Paris cùng với một ông bố nghiện rượu, cô ta vẫn sống lương thiện trong cảnh thất thế, chỉ mỗi tội học hành còn sơ sài quá không thể làm cô giáo hay dạy dương cầm.
Mouret rendszerint méregbe jött, ha előkelő szegény lányokat ajánlottak neki; szerinte ezek a legélhetetlenebb, a legtűrhe­tetlenebb és a leghelytelenebb gondolkozású teremtések a világon; különben sem lehet az ember egyik napról a másikra elárusítóvá, abba bele kell tanulni, bonyolult és kényes mester­ség az.	Mouret thường bất bình khi người ta giới thiệu với anh những cô gái nhà quý tộc mà nghèo; anh nói, không có hạng người nào bất lực hơn, khó chịu hơn, đầu óc sai lệch hơn; vả lại, không thể nhất đán mà làm nhân viên bán hàng được, phải có tập sự, đó là một nghề phức tạp và tế nhị.
Mindamellett felfogadta Desforges-né pártfogoltját, csakhogy a mintaosztályon helyezte el, mint ahogy barátai kedvéért már azelőtt is bedugott két grófnőt meg egy bárónőt a reklámosztályra, ahol címszalagokat és borítékokat írtak.	Tuy nhiên, anh vẫn nhận người được bà Desforges che chở, anh chỉ cho vào làm ở phòng mẫu hàng, cũng như, để chiều lòng hai người bạn, anh nhận hai bà bá tước và một bà nam tước vào phòng quảng cáo, cho họ làm băng và phong bì.
Fontenailles kisasszony napi három frankot keresett, amiből éppen csak hogy eltengődött a d’Argenteuil utcai kis szobában.	Cô De Fontenailles lĩnh ba phrăng một ngày, vừa đủ để sống trong một căn phòng nhỏ phố d’Argenteuil.
Nem vallotta meg szerelmét, de pirult, ha a konfekcióosztály kisasszonyai ingerkedtek vele; a mintaosztály ugyanis a konfekció szomszédságában volt, és észrevették, hogy egyre ennek az ajtaja előtt ólálkodik.	Anh không nói ra, nhưng đỏ mặt lên khi các cô ở gian hàng may sẵn trêu chọc; vì phòng mẫu hàng ở một buồng bên cạnh gian hàng và các cô thường thấy anh ta luôn luôn lảng vảng trước cửa.
- Joseph szórakozik - mormogta Clara.	— Joseph luôn luôn đãng trí, – Clara nói khẽ.
- A fehérneműosztály felé szimatol.	– Anh ta chõ mũi về phía quầy đồ lót.
Fontenailles kisasszonyt is bevonták a munkába, a kelengyék leltározásában segített.	Người ta đã trưng dụng cô De Fontenailles sang giúp việc kiểm kê ở quầy hành trang.
És mert a szolga valóban arra nézegetett, az elárusító kisasszonyok kacagni kezdtek.	Và quả thật anh chàng luôn liếc mắt về phía đó, cho nên các cô bán hàng ngả ra cười.
- Tizennégy kabát, angol posztó, kettes nagyság, tizenöt frank!	— Mười bốn áo jaquette dạ Ăng-lê, cỡ hai, giá mười lăm phrăng.
- Kissé halkabban kisasszony.	— Khẽ một chút, cô ơi.
Nem vagyunk a vásárcsarnokban... Nem nagy észre vall, hogy ilyen gyerekségekkel szórakoznak, mikor olyan drága az időnk.	Mình chẳng phải là ở ngoài chợ… Mà các cô thật ít biết điều, đùa cợt như trẻ con khi mà thì giờ đang rất quý.
E pillanatban, minthogy Clara nem ügyelt a növekedő halmokra, megtörtént a baj.	Vừa lúc đó, vì Clara không nhìn đến các gói hàng nữa, một tai họa xảy ra.
Remegés futott végig az osztályon: Mouret és Bourdoncle jelentek meg, ideérve felügyelő körútjukban.	Nhưng một gợn rung động lướt tới: Mouret và Bourdoncle đang đi kiểm tra và xuất hiện.
A diktálás újra kezdődött, percegtek a tollak, Clara pedig sietve szedte fel a ruhákat.	Lời xướng lại tiếp tục, ngòi bút nghiến trên giấy, còn Clara thì hấp tấp nhặt quần áo lên.
A gazda nem szakította félbe a munkát.	Ông chủ không làm ngừng công việc.
Csak éppen megállt pár percre, némán, mo­so­lyogva; csupán az ajka reszketett lázasan, egyébként vidám és diadalmas volt az arca, mint leltározás napján mindig.	Anh đứng ở đó mấy phút, câm lặng, tươi cười, duy cặp môi anh hơi run vì nhiệt tình, trên bộ mặt vui và đắc thắng của những ngày kiểm kê.
Mikor Denise-t észrevette, alig tudott elnyomni egy önkéntelen, csodálkozó mozdulatot.	Khi anh bắt gặp Denise thì suýt nữa anh để lọt ra một cử chỉ ngạc nhiên.
Szeme találkozott Aurélie asszonyéval.	Mắt anh bắt gặp mắt bà Aurélie.
Rövid tétovázás után eltávozott, átment a kelengyékhez.	Rồi, sau một chút lưỡng lự, anh bỏ đi, vào quầy hành trang.
Eközben Denise, a halk morajra felfigyelve, fölemelte a fejét.	Khi đó Denise, thấy có chút ồn ào thì ngẩng đầu lên.
Meglátván Mouret-t, szótlanul ismét írásába mélyedt.	Và, sau khi nhận ra Mouret, cô lại cúi đầu xuống giấy như thường.
Hogy gépies kézzel rótta a sorokat, az áruk szabályos diktálása közben, lassanként lecsillapodott.	Từ lúc cô viết, tay như máy, giữa lời xướng hàng đều đều, cô đã nguôi đi dần dần.
Mindig így volt, először átengedte magát túlzott érzékenységének: elöntötték a könnyek, szenvedélye megkétszerezte gyötrelmét; aztán észretért, újra megtalálta nyugodt bátorságát, szelíd és hajthatatlan akaraterejét.	Bao giờ cũng vậy, cô mềm lòng lúc đầu vì quá xúc động, nước mắt làm nghẹn ngào, mối tình càng làm tăng nỗi đau khổ; nhưng rồi, cô trở lại đúng mực, thấy lại lòng can đảm bình tĩnh cao quý, sức mạnh của ý chí dịu dàng mà kiên quyết.
Most tiszta tekintettel, sápadt arccal ült ott, meg sem remegett, belemélyedt a munkába; elhatározta, hogy elnyomja szívét, és csak akaratának engedelmeskedik.	Bây giờ, con mắt trong sáng, nước da xanh nhợt, cô không chút run rẩy, toàn tâm trong công việc, nhất quyết nén lòng và chỉ làm theo ý muốn.
Tíz óra volt, a leltározás lármája egyre növekedett a felfordult osztályokon.	Đã mười giờ, tiếng ồn ào kiểm kê dâng lên trong cảnh hỗn độn của các gian hàng.
A szüntelenül hallatszó, egymást mindenünnen keresztező kiáltások között ugyanaz a hír keringett meglepő gyorsasággal: minden elárusító tudta már, hogy Mouret levelet írt reggel, és meghívta Denise-t vacsorára.	Và trong những tiếng la văng ra liên tục, đan chéo ra khắp nơi, cái tin đó lan ra nhanh lạ lùng: mỗi nhân viên bán hàng đều đã biết lúc sáng Mouret viết thư cho Denise mời ăn chiều.
Pauline árulta el a titkot.	Chính là Pauline để hở ra.
Mikor izgatottan lejött Denise-től, a csipkeosztályon találkozott Deloche-sal, és észre sem véve, hogy Liénard beszélget a fiatalemberrel, mindent kitálalt.	Khi trở xuống, còn đang bị xúc động, cô ta gặp Deloche ở quầy đăng-ten, và không để ý có Liénard đang nói chuyện với chàng trai, cô nói ra cho nhẹ lòng.
- Megtörtént, kedvesem... Éppen most kapta a levelet.	— Thế là xong, anh bạn à… Cô ấy vừa nhận được thư.
Meghívta ma estére.	Ông ta mời ăn chiều.
Deloche elsápadt.	Deloche tái mặt.
Mindent megértett, mert gyakran faggatta Pauline-t, mindennap beszél­gettek közös barátnőjükről, Mouret gyöngédségi rohamáról s arról a hírhedt meghívásról, mely végre be is fogja fejezni a kalandot.	Anh ta đã hiểu, vì anh ta vẫn thường hỏi Pauline, hàng ngày cả hai người chuyện trò về cô bạn chung, về mối tình đột ngột của Mouret, về cuộc mời ăn khét tiếng cuối cùng sẽ mở nút cho câu chuyện.
Pauline különben mindig szidta a fiút, hogy titokban szereti Denise-t, aki sohasem fogja meghallgatni - és csak vállát vonogatta, mikor Deloche helyeselte, hogy a leány ellenáll a gazdának.	Vả chăng cô ta thường quở chàng trai âm thầm yêu Denise và anh sẽ chẳng bao giờ được gì, và cô nhún vai khi anh tán thành cô gái cưỡng lại ông chủ.
Azzal sietve visszament az osztályára.	Và cô ta vội quay trở lại gian hàng mình.
Azzal ő is elsietett, de mire visszatért a gyapjúosztályra, már négy vagy öt elárusítónak elmondta a levél históriáját.	Đến lượt hắn cũng bỏ đi, nhưng khi hắn trở về quầy len thì hắn đã kể chuyện bức thư cho bốn năm tay bán hàng.
Liénard utolsó mondata arra a jelenetre vonatkozott, mely előző este játszódott le a Szent Rókus kávéházban.	Câu nói cuối cùng của Liénard nhắc lại một cảnh xảy ra hôm trước ở quán cà-phê Saint-Roch.
Deloche és ő mostanában elválhatatlanok voltak.	Bây giờ thì hắn và Deloche không rời nhau ra nữa.
Szobájuk egymás mellett volt, ugyanarra a sötét udvarra nyílt, egy szűk lyukra, melynek bűze megmételyezte a szálloda levegőjét.	Buồng của họ, ở kề liền nhau, cùng nhìn xuống một cái sân tối om, một cái giếng hẹp mùi hôi hám làm chết ngạt cả khách sạn.
Jól meg­voltak együtt, különböző természetük ellenére is; az egyik meggondolatlanul szórta az apjától kapott pénzt, a másiknak egy fillérje sem volt, kínosan takarékoskodott, de egy tulajdonsá­gukban megegyeztek: mind a kettő tehetségtelen kereskedő volt, s éppen csak eltengődött az osztályon, fizetésemelés nélkül.	Họ ăn ý nhau tuy có chỗ khác nhau, một anh thì vô lo ngốn tiền của ông bố, anh kia thì không xu, day dứt lo chuyện tiết kiệm, tuy nhiên họ cùng có chung một điểm là bán hàng vụng về cho nên lay lứt ở quầy hàng mà không được tăng lương.
Mihelyt az áruházból megszabadultak, már mentek is a Szent Rókus kávéházba.	Sau khi ra khỏi cửa hàng, phần lớn thời gian họ sống ở quán cà-phê Saint-Roch.
Ez a kávéház napközben üres volt, de este fél kilenc tájban zsúfolásig megtelt kereskedelmi alkalmazottakkal, azzal az áradattal, mely a Gaillon téri főkapun ömlött ki az utcára.	Quán này ban ngày thì vắng teo, nhưng cứ khoảng tám giờ rưỡi thì chật vì cả đám nhân viên cửa hàng tràn vào, sau khi họ rời khỏi cái cửa cao ở quảng trường Gaillon.
Ettől fogva süketítő volt a dominózás, hahotázás, rekedt kiabálás hangzavara, a sűrű pipafüstben.	Bấy giờ thì ầm ĩ, tiếng đánh bài cẩu, tiếng cười, tiếng nói the thé, giữa thuốc lá đốt khói mù.
Folyt a sör és a feketekávé.	Bia và cà-phê tràn trề.
A baloldali sarokban Liénard drága italokat rendelt, míg Deloche beérte egy pohár sörrel, amit négy óra hosszat iszogatott.	Ở góc tay trái, Liénard gọi những món đắt tiền, còn Deloche thì bằng lòng với một cốc để uống suốt bốn tiếng đồng hồ.
Itt hallotta meg, hogy Favier a szomszéd asztalnál aljasul megrágalmazta Denise-t, azt állította, hogy a szoknyáját fölemelve "főzte" a főnököt, mikor ment fel előtte a lépcsőn.	Chính tại nơi đó hắn đã nghe thấy Favier nói xấu Denise, ở một bàn bên cạnh, anh ta kể cái cách Denise "õng ẹo" với ông chủ, cô ta vén váy lên khi leo cầu thang trước mặt ông ta.
Deloche fékezte ma­gát, hogy fel ne pofozza.	Ông ta nhịn mà không vả vào mặt cô.
Mikor azonban a másik folytatta, mondván, hogy a kicsike minden éjszaka lemegy a szeretőjéhez, veszett dühében ráordított, hogy hazudik.	Rồi, thấy anh ta tiếp tục, nói rằng đêm đêm cô bé lại mò xuống với nhân tình, hắn nổi khùng bảo anh ta là nói điêu.
És szörnyű izgalmában kiszakadt belőle a vallomás, elcsukló hangon kiöntötte a szívét:	Và, trong cơn xúc động mạnh hắn bộc lộ những lời tự thú, giọng nói lắp bắp, bày tỏ nỗi lòng:
Ennek a veszekedésnek felnagyított és elferdített története már jókedvre derítette az áruházat, mikor Mouret levelének históriája megkezdte körútját.	Câu chuyện và cuộc cãi lộn đó được phóng đại, xuyên tạc, đã mua vui cho cửa hàng, thì bỗng chuyện bức thư của Mouret truyền đi.
Liénard éppen a selyemosztály egyik elárusítójával közölte először a nagy újságot.	Thoạt tiên, chính là Liénard kể tin đó cho một anh bán tơ lụa.
A "selyemfiúknál" a leltározás úgy ment, mint a karikacsapás.	Ở gian hàng tơ lụa, việc kiểm kê tiến hành thuận lợi.
Favier és két segéd létrán állva ürítették ki a polcos szekrényeket, sorra nyújtot­ták át a végeket Hutinnek, aki egy asztalnál állva, megnézte az árjelzőcédulákat, és kikiáltotta a számokat; aztán földre dobálta a végeket, a padló lassanként megtelt velük, úgy emelkedtek, mint az őszi áradás.	Favier và hai viên thư ký, đứng trên những ghế đẩu, lôi trong các ngăn ra những tấm vải và chuyển dần cho Hutin, tay này đứng trên giữa một chiếc bàn, xướng những con số, sau khi tra các nhãn hiệu, rồi ném những tấm vải xuống đất, sàn nhà dần dần bừa bộn như bị một làn nước triều mùa thu dâng tràn.
Más alkalmazottak az írásbeli munkát végezték; Albert Lhomme is segített nekik, gyűrött arccal, a Kápolna negyed egyik csapszékében átvirrasztott éjszaka után.	Những nhân viên khác ngồi viết, Albert Lhomme giúp họ, mặt hắn nhợt nhạt vì một đêm trắng khiêu vũ ở quán Chapelle.
A napfény szélesen áradt be a csarnok üvegtetején, melyen át látszott az ég tüzes kékje.	Một làn nắng rọi vào qua lớp kính ở gian lớn, để lộ ra nền trời xanh oi ả.
- Kibírhatatlan ez a napfény!	— Hãy kéo mành xuống!
Favier, aki éppen felágaskodott, hogy elérjen egy vég selymet, tompa hangon morogta:	– Bouthemont la lên, anh ta đang bận rộn trông nom công việc – Trời nắng khó chịu quá!
Odanyújtotta Hutinnek a selyem véget.	Anh ta chuyển tấm vải cho Hutin.
A cédulán jelezve volt a méterszám, melyből minden eladás alkalmával levonták az eladott mennyiséget; ez sokat egyszerűsített a munkán.	Trên nhãn hiệu đã ghi số thước, mỗi lần bán đã trừ số bán đi, thành ra công việc nhẹ đi nhiều.
A helyettes kikiáltotta:	Viên quầy hàng phó xướng:
- Mintás selyem, apró kockás, huszonegy méter, hat frank ötven!	— Lụa tân kỳ, ca-rô nhỏ, hăm mốt thước, giá sáu phrăng năm mươi!
Hutin pedig folytatta a megkezdett társal­gást, és így szólt Favier-hez:	Rồi, anh ta tiếp tục câu chuyện bỏ dở, hỏi Favier:
- Szóval meg akarta verni magát?	— Thế hắn định đánh cậu à?
Békésen sörözgettem... No hiszen, érdemes is volt meghazudtolni engem, a kicsike éppen most kapott levelet a főnöktől, vacsorára hívja... Az egész ház erről beszél.	Mình vẫn thản nhiên uống bock… Vạ gì mà phải cãi lại, con bé vừa nhận được thư của ông chủ mời ăn chiều… Cả lò này sai bét.
Favier újabb véget nyújtott oda.	Favier lại chìa cho hắn một tấm khác.
Régi viszonynak gondolta mindenki.	— Như trên, hai nhăm thước!
Hallatszott a vég tompa puffanása, s közben halkabban hozzátette:	Người ta nghe tiếng tấm vải rơi phịch, trong khi anh ta hạ giọng nói thêm:
- Tudja, hogy élte a világát a kicsike annál a vén bolond Bourras-nál!	— Cậu biết không, cô ta đã kiếm sống ở nhà lão Bourras hâm ấy.
Most már az egész osztály mulatott, anélkül hogy azért félbehagyta volna a munkát.	Bây giờ thì cả gian hàng nhộn lên mà công việc vẫn không ngừng lại.
Oda­súg­ták egymásnak a leány nevét, összehajoltak, szaglászták a finom csemegét.	Họ thì thầm nhắc tên cô gái, họ gò lưng lại, họ hếch mũi lên.
Éppen ekkor jött le Mignot a kölcsön­kapott húsz frankkal; megállt és kezébe csúsztatott tíz frankot Albert-nek, találkozót adván neki estére: a tervezett züllést előbb megakadályozta a pénztelenség, most aztán, bármilyen csekély volt is ez az összeg, mégis lehetővé vált.	Lúc đó Mignot xuống với hai mươi phrăng vừa vay được, và hắn dừng lại, vừa tuồn cho Albert mười phrăng vừa hẹn nơi gặp nhau buổi chiều, một cuộc nhậu nhẹt dự định, bị ngăn trở vì thiếu tiền, nhưng rồi cũng thực hiện được, mặc dầu số tiền ít ỏi.
De a szép Mignot, mikor megtudta, hogy az a bizonyos levél elment, olyan durva megjegyzést tett, hogy Bouthemont kénytelen volt közbelépni.	Nhưng gã Mignot xinh trai, khi nghe thấy chuyện gửi bức thư, thốt ra một lời quá tục tĩu đến nỗi Bouthemont thấy phải can thiệp.
Ez a dolog nem tartozik ránk... Tovább, tovább, Hutin úr!	Không việc gì đến các cha… Làm đi, làm đi, kìa ông Hutin.
- Mintás selyem, apró kockás, harminckét méter, hat frank ötven - kiáltotta Hutin.	— Lụa tân kỳ, ca-rô nhỏ, ba hai thước, giá năm phrăng năm mươi!
És a mintás selymek kikiáltása sehogy sem akart véget érni.	Lụa tân kỳ được xướng lên không dứt.
Favier félhangon megjegyezte, hogy csinos kis raktári készletük lesz: meg lehet elégedve az igazgatóság, ez a nagy marha Bouthemont talán Párizs legelső áru­beszerzője, de az eladáshoz annyit ért, mint tyúk az ábécéhez.	Favier nói nhỏ, nhận xét rằng lụa trữ ra trò; ban giám đốc sẽ vui lòng, cha Bouthemont lỗ mãng ấy có lẽ là tay buôn cừ nhất Paris, nhưng với tư cách người bán hàng thì chưa thấy cái gì tồi hơn thế.
Hutin boldogan mosolygott, és barátságos tekintettel helyeselt neki, mert miután maga hozta be annak idején Bouthemont-t a "Hölgyek Örömé"-hez, hogy kitúrja onnan Robineau-t, most már őellene áskálódott csökö­nyösen, hogy elfoglalhassa a helyét.	Hutin mỉm cười, hớn hở, đưa mắt thân thiện tán thành, là vì, trước kia, sau khi chính bản thân hắn đưa Bouthemont vào hiệu Hạnh phúc các bà, để tống Robineau đi, thì bây giờ đến lượt hắn mưu bẫy anh này, với mục đích ngang ngạnh chiếm chỗ của anh ta.
A harc ugyanúgy folyt, mint azelőtt; aljas rágalmakat súgott a főnökei fülébe, túlzott buzgalmával igyekezett felhívni magára a figyelmet, egész hadjáratot vezetett alamuszi nyájaskodással.	Vẫn lại cuộc vật lộn như xưa kia, những lời bóng gió hiểm độc rỉ vào tai các thủ trưởng, những việc làm quá hăng để tâng công, cả một chiến dịch tiến hành với mưu thâm hòa nhã.
Hanem Favier, akihez Hutin nagy kegyesen újra leereszkedett, sovány, hideg, epés arcával alattomosan nézett rá, mintha azt számlálgatta volna, hány falás telik ki ebből a tömzsi emberkéből, láthatólag csak azt várva, míg kollégája felfalja Bouthemont-t, hogy ő azután ezt falja fel.	Song, Favier, mà Hutin lại tỏ vẻ chiếu cố, nhìn trộm hắn ta, người gầy gò mà lạnh lùng, nỗi âu lo trên mặt, cứ như anh ta đếm từng miếng ăn của con người lùn mập kia, với cái vẻ chờ đợi anh bạn nhai Bouthemont để rồi mình nhai hắn.
Aztán - majd meglátja.	Rồi sau sẽ hay.
És mind a kettőt elfogta az a láz, mely végig­lüktetett az egész áruházon, beszélgettek a várható emelésekről, megállás nélkül diktálva a mintás selymek leltárát; úgy számítottak, Bouthemont fölviszi harmincezer frankra ebben az esztendőben; Hutin többet kap tízezernél; Favier saját alapját és jutalékát ötezerötszázra becsülte.	Và cả hai, bị lây cơn sốt đang lan từ đầu đến cuối cửa hàng, nói chuyện tăng lương sắp tới trong khi tiếp tục kiểm kê số lụa tân kỳ dự trữ họ dự đoán lương Bouthemont năm đó sẽ tới ba mươi nghìn; Hutin sẽ lĩnh hơn mười nghìn, Favier ước lượng cả lương cố định và khoản phần trăm đạt năm nghìn năm trăm.
Az osztály forgalma minden évszakban emelkedett, az elárusítók előléptek, és zsoldjuk megkétszereződött, mint a tiszteknek háború idején.	Mỗi vụ, công việc quầy hàng tăng lên, nhân viên bán hàng lên bậc và lương tăng gấp đôi, y như các sĩ quan thời chiến.
- A csuda vigye el!	— Ái chà!
Sose lesz már vége ennek az apró mintás selyemnek?	Thứ lụa còm ấy vẫn chưa hết ư?
Mindenki csak fekete selymet vásárolt.	Người ta rặt mua lụa đen.
- Mintás selyem, apró kockás, huszonnyolc méter, hat frank ötven!	— Lụa tân kỳ, ca-rô nhỏ, hai tám thước, giá sáu phrăng năm mươi.
Volt még egy egész szekrényre való.	Vẫn còn cả một ngăn nữa.
Faviernak majd leszakadt a karja, lassította az iramot.	Favier; tay rụng rời, làm thủng thẳng.
Mikor aztán végre az utolsó végeket nyújtotta át Hutinnek, halkan így folytatta:	Nhưng anh ta vẫn làm, và lúc chuyển cho Hutin những tấm cuối cùng, anh ta lại tiếp tục hỏi khẽ:
- Igaz, el is felejtettem... Elmondták magának, hogy a konfekció helyettes vezetője egy ideig bolondult magáért?	— Này, tớ quên… Người ta có kể với cậu chuyện cô quầy phó may sẵn đã có lần cao hứng về cậu không?
Hogyhogy?	— Ủa!
- Ahogy mondom.	Thế nào nhỉ?
Az a málészájú Deloche vallotta be... Különben én is emlékszem, hogy valamikor nagyon pislogott magára.	— Thật đấy, chính cái thằng Deloche ngộc nghệch ấy đã tâm sự với bọn mình… Tớ còn nhớ, trước đây, khi cô ta cứ lấm la lấm lét nhìn cậu.
Mióta helyettes lett Hutin, szakított a zenés kávéházak énekesnőivel, és tüntetően nevelő­nőkkel járt.	Từ ngày lên chức quầy phó, Hutin bỏ cái món nữ ca sĩ quán cà-phê ca nhạc rồi và hắn khoe những cô giáo.
- Én a húsosabbját szeretem, barátom, és az ember különben sem adja össze magát akárkivel, mint a főnökünk.	— Tớ thì ưa cái món đẫy đà hơn kia, anh bạn ạ, vả lại chẳng phải bạ ai tớ cũng theo, như ông chủ.
Abbahagyta és kikiáltotta:	Hắn ngừng lời để xướng:
Megszólalt a csengő, a második terítést jelezve, amelyen Favier is részt vett.	Nhưng một tiếng chuông điểm, đến lượt ăn thứ hai, có Favier.
