HUGO VICTOR	Victor Hugo
Te mindenem vagy.	Đối với anh.
Dea, mit tegyek?	Em là tất cả.
Mit kivánsz?	Em cần gì nào?
Dea azt felelte:	Đêa đáp:
- Nem tudom.	- Em thông biết.
- Ó!	- Ôi!
Ursus komoly hangon megszólalt:	Uyêcxuyt nghiêm nghị nói to:
- Ugy, ti boldogok vagytok.	- Hừ hai đứa chúng mày hạnh phúc!
ti boldogok vagytok!	Chúng mày hạnh phúc!
Akkor csak iparkodjatok, hogy meg ne lássanak benneteket.	Vậy thì phải giữ gìn đừng để ai nhìn thấy chúng mày.
A boldogságnak lyukba kell rejtőznie.	Muốn hạnh phúc phải chui vào lỗ.
Isten a boldogok nagyságához méri a boldogságot.	Ý Chúa là kẻ sung sướng càng bé thì hạnh phúc càng to.
Az elégedetteknek el kell bujniok, mint a gonosztevőknek.	Những ai mãn nguyện đều phải lẩn trốn, như kẻ gian phi.
Nem vagyok én duenna, akinek az a hivatala, hogy nézze, mikor a szerelmesek csókolóznak.	Tao, tao có phải bà bảo mẫu có nhiệm vụ ngồi nhìn anh ả rỉa lông rỉa cánh cho nhau đâu.
- Atyám - mondta Dea -, milyen darabos hangon beszélsz!	- Bố ơi - Đêa nói - sao bố nặng lời thế!
- Azért, mert nem szeretem, ha az emberek nagyon is boldogok - felelte Ursus.	- Là vì tao không ưa người ta sung sướng quá - Uyêcxuyt đáp.
Hallották, amint morgott a szerelmesek lábainál.	Có tiếng gầm gừ dưới chân đôi trai gái.
Ursus lehajolt és Homo fejére tette a kezét.	Uyêcxuyt cúi xuống, đặt tay lên đầu Ômô.
- Te is rossz kedvedben vagy.	- Đúng rồi, mày nữa, mày cũng bực mình.
Fölborzolod a szőrt a farkaskoponyádon.	Mày không ưa những trò mèo mỡ.
Mert te bölcs vagy.	Cứ im lặng.
De mindegy, hallgass.	Mày đã lên tiếng.
A farkas megint morgott.	Con sói lại gầm gừ nữa.
Ursus az asztal alá nézett.	Uyêcxuyt nhìn xuống gầm bàn.
- Csönd legyen, Homo!	- Yên nào, Ômô!
De a farkas fölemelkedett és fogait mutogatta az ajtó felé.	Nhưng con sói đứng thẳng lên và nhe răng về phía cửa ra vào.
- Mi bajod hát? - szólt Ursus.	- Mày làm sao thế - Uyêcxuyt nói.
És megmarkolta a bőrt a kutya nyakán.	Và ông nắm lấy da cổ Ômô.
A világtalanság földalatti csarnok, amelyben mélységes, örök harmó­niákat lehet hallani.	Cảnh mù loà là một đường hầm trong văng vẳng thứ hoà âm sâu sắc bất tận.
Miközben Ursus Homohoz beszélve lehajlott, Gwynplaine fölemelte a szemeit.	Trong lúc Uyêcxuyt cúi đầu mắng Ômô thì Guynplên đã ngước mắt nhìn lên.
Egy csésze teát alkart inni, de nem itta ki; letette az asztalra olyan lassan, mint egy meghajló rugó, ujjai nyitva maradtak és ő állt mozdulatlanul, meredt szemekkel, lélegzet nélkül.	Đang định uống tách trà, nó thôi không uống, đặt tách trà xuống bàn, thong thả như chiếc lò xo chùng lại, ngón tay vẫn xoè; và ngồi im, mắt nhìn chằm chằm, không thở nữa.
Az emberen fekete ruha volt és a törvény embereinek sapkája.	Y vận toàn đồ đen với áo choàng tư pháp.
A bot rövid volt és tömör.	Cái gậy ngắn và to.
Képzeljünk el egy Meduza-arcot, amint a paradicsomban kibukkan két lomb között.	Ta hình dung Mêduyzơ thò đầu giữa hai cành cây trên thiên đàng.
Halkan Gwynplaine fülébe sugta:	Ông khẽ nói vào tai Guynplên.
- A wapentake.	- Quan thiết trượng đấy.
Gwynplaine visszaemlékezett.	Guynplên chợt nhớ ra.
Meglepetésében egy szó készült kicsuszni az ajkán, de visszatartotta.	Một tiếng ngạc nhiên suýt bật lên, nó vội ghìm lại.
A két végén koronában végződő bot az iron-weapon volt.	Chiếc gậy sắt có vương miện ở hai đầu là cây thiết trượng.
Az iron-weapon, amelyre a város igazságszolgáltatási tisztviselői esküt tettek, amikor hivatalba léptek és amelytől az angol rendőrség régi wapentakejei a rangjukat nyerték.	Đó là chiếc gậy sắt trên đó các quan tư pháp thành phố lúc nhậm chức phải tuyên thệ; chính nó đã đẻ ra chức vụ thiết trượng quan ngày xưa, của ngành cảnh sát nước Anh.
Pro signo exeundi, sursum trahe, - mondja a normand oklevél.	Hai cử chỉ ấy, thầm lặng nên càng mang tính chất hách dịch, có nghĩa là: Đi theo ta Pro signo exeundi, sursum nghe, pháp điển xứ Normăngđi dạy.
Az egyénnek, akit az iron-weaponnal megérintettük, nincs más joga, csak engedelmeskedni.	Người nào bị chiếc gậy sắt chạm vào chỉ còn quyền vâng lời.
A törvény e merev érintésére Gwynplaine összerázkódott, aztán mintegy kővé meredt.	Dưới bàn tay cứng nhắc đó của pháp luật, Guynplên rùng mình, rồi ngồi đờ ra như phỗng.
Látta, hogy el kell mennie a rendőrtiszttel.	Nó thấy buộc lòng phải đi theo viên cảnh sát.
Nem értette.	Nó không hiểu.
A komédiásokra és a prédikátorokra, az ő vetélytársaira gondolt, a följelentett Green-Boxra, a bünös farkasra, saját vitájára a bishopsgatebeli vizsgálókkal; ki tudja, talán - de ez borzasztó lenne - Gwynplaine illetlen és lázitó fecsegése sértette meg a királyi tekintélyt.	Ông nghĩ đến bọn hát rong, đến cánh truyền giáo, đến những kẻ cạnh tranh với ông, đến gánh Hộp Xanh bị tố giác, đến con sói phạm pháp, đến việc rắc rối của chính ông với ba lão ở tôn giáo pháp đình Bisopghết, và biết đâu?
Sem Gwynplaine, sem Ursus nem ejtett ki egy szót sem.	Cả Guynplên, cả Uyêcxuyt, chẳng ai nói nửa lời.
Mindketten ugyanazt gondolták: nem szabad nyugtalanitani Deát.	Hai người đều chung một ý nghĩ không nên làm cho Đêa lo lắng.
Talán a farkas is ezt gondolta, mert megszünt morogni.	Có lẽ con sói cũng cùng tư tưởng đó, nó không gầm gừ nữa.
Amily mértékben egy farkas megértheti az embereket, talán ugyanoly mértékben számüzött­nek érzi magát.	Có lẽ trong chừng mực một con sói có thể hiểu được con người, nó cũng tự cảm thấy bị loại trừ.
Gwynplaine fölemelkedett.	Guynplên đứng dậy.
Minden ellentállás lehetetlen, ezt tudta, emlékezett Ursus szavaira, hogy még kérdést sem lehet tenni.	Guynplên hiểu như vậy nó nhớ lại những lời nói của Uyêcxuyt và không thể đặt một câu hỏi nào hết.
Kiváncsiak nem kellenek.	Không ai được tò mò.
A rendőrségnek minden időben inyére volt a zárkózottság.	Thời nào cũng thế cảnh sát vốn thích những lối rào chắn như vậy.
Az elfogatás e nemét "a személy lefoglalásának" nevezték.	Lối bắt giữ ấy được mệnh danh là: "bắt giữ người".
A wapentake egyetlen mozdulattal, mint egy tengelyen forgó gép, megfordult és komoly, méltóságteljes léptekkel a Green-Box kijárata felé indult.	Viên thiết thượng quan, chỉ bằng một động tác và như một cái máy xoay tròn, ngoảnh lưng lại rồi oai vệ, trang nghiêm, bước về phía lối ra của Hộp Xanh.
Gwynplaine Ursusra nézett.	Guynplên nhìn Uyêcxuyt.
Ursus fölhuzta a vállát, könyökeit a csipőjéhez szoritotta, kezeit szétterjesztette, szemöldökeit fölhuzta és e némajátékkal jelezte: engedelmeskedni kell az ismeretlennek.	Uyêcxuyt chỉ đóng tuồng câm, khẽ nhún vai, khuỷu tay áp sát cạnh sườn, bàn tay xoè rộng, và lông mày dướn cong lên, ý nói: phục tùng người lạ mặt.
Ujjai hegyét ajkához érintve, kifejezhetetlen csókot dobott feléje.	Guynplên để mấy đầu ngón tay lên môi gửi cho Đêa một cái hôn khó tả.
Ursus a wapentake elfordulásával a rémület egy részétől megszabadulván, megragadta a pillanatot, hogy Gwynplaine fülébe sugja:	Nhờ một lúc quan thiết trượng ngoảnh mặt đi, Uyêcxuyt, phần nào thấy đỡ hãi hùng, liền lợi dụng thời cơ để rỉ tai Guynplên:
- Az életedért, ne beszélj addig, amig nem kérdeznek.	- Muốn sống thì chớ có nói trước khi người ta hỏi.
A két leány kővé vált.	- Rồi nó khắc về.
Siri csöndben mentek végig az udvaron, keresztül haladtak a homályos korcsmán a térre.	Gôvicâm, rụng rời, trố mắt thò mặt giữa một cửa sổ mở hé.
A kiváncsiak megdöbbenve, szótlanul, angol fegyelemmel sorba állottak és utat nyitottak a biztos botja előtt.	Cả hai người, trong cảnh im lặng, tha ma, vượt qua sân, qua căn phòng tối của quán rượu và đi ra bãi.
Lex, rex, fex.	LEX, REX, FEX.
A magyarázat nélkül való letartóztatás, mely nagyon meglepné a mai angolt, akkoriban nagyon használatos rendőri eljárás volt Nagybritanniában.	Việc bắt bớ không cần giải thích, khiến một người Anh ngày nay phải ngạc nhiên, là một biện pháp cảnh sát thường được áp dụng ở Anh.
György alatt az volt az egyik vád, mely ellen Walpolenak védekeznie kellett, hogy ilyen módon fogatta el Neuhoffot.	Vụ buộc tội đó có lẽ không đủ cơ sở vì Niuhop, vua xứ Corxơ, bị các chủ nợ tống giam.
Az angol hatóságok, amelyek az elfogatásnak ezt a módját gyakorolták, számos normand szövegre támaszkodtak: - Canes latrant, sergentes silent.	Các pháp quan nước Anh áp dụng lối bắt bớ này, thường dựa vào nhiều văn bản Normăngđi như:
- Sergenter agere, id est tacere.	Canes latrant, sergentes silent- Sergenter agree, in esttacere.
- Idézték Lundulphus Sagax 16. paragrafusát: - Facit imperator silentium.	Họ trích Lundulphus Sagax, đoạn 16: - Faxit imperator silentium.
Taciturnior esto.	Taciturnior esto.
A jogtudósok ezenkivül idézték in Charta Ludorici Hutini pro normannis-ból a servientes spathae fejezetet.	Ngoài ra, cánh cố vấn pháp luật còn viện: in Charta Ludovici Hutini pro normannis. Chương servientesis- apathoe.
A servientes spathae szavakból - amint a mindinkább elromló latin nyelv fokozatosan köze­ledett a mi beszédmódunkhoz - sergentes spadae lett.	Các Servientes spathoe, trong ngôn ngữ La tinh hạ lưu tiến dần đến các thổ ngữ của chúng ta, trở thành những Sergentes spadoe.
A csöndes elfogatások ellenkeztek a jajveszékeléssel és azt jelezték, hogy hallgatni kell addig, mig bizonyos homály nincs földeritve.	Những vụ bắt bớ thầm lặng trái hẳn với lối hò hét bắt bớ, và cho thấy rõ là nên giữ im lặng cho đến khi một số điều mờ ám được sáng tỏ.
Azt jelentették: Bizalmas kérdések.	Chúng có nghĩa là: vấn đề riêng biệt.
Azt jelentették, hogy a rendőrség eljárásához bizonyos államérdek füződik.	Chúng cho biết trong hành động của cảnh sát có phần vì lợi ích nhà nước.
Edward némely krónikás szerint ilyen módon fogatta el anyjának, Franciaországi Izabellának az ágyában Mortimert.	Theo một số nhà biên niên sử, chính Eđua đệ Tam đã dùng lối ấy để bắt Mortimơ ngay trong giường mẹ mình là Izaben nước Pháp.
Ebben lehet kissé kételkedni, mert Mortimer előbb egy ostromot állott ki várában, mielőtt elfogták.	Varvik, chuyên gia nhào nặn ra vua chúa, sẵn lòng áp dụng cái lối "quyến rũ quần chúng" này.
Warwick, a Királyok Trónraültetője, szintén szivesen gyakorolta ezt a módszert, hogy "becsalogassa az embereket."	Những kiểu bắt bớ bằng ám hiệu đơn thuần của công lý như vậy tượng trưng cho trát trình diện hơn là trát bắt giữ.
Cromwell is használta, főleg Connaughtban és ilyen óvatos csöndben fogatta el Kilmacaugh­ban Trailie-Arcklot, Ormond gróf rokonát.	Đôi khi chúng chỉ là một biện pháp thẩm vấn, và qua việc buộc mọi người phải im lặng, còn bao hàm một ý vì nể nào đó đối với người bị bắt.
Az igazságszolgáltatás egy intésével való letartóztatások inkább idézések, mint elfogatások.	Đối với dân chúng, vốn ít hiểu biết các chi tiết đó, chúng thường gây khiếp sợ đặc biệt.
Néha csak birói kihallgatás céljából való eljárás volt és a mindenkire reákényszeritett csöndben bizonyos kimélet volt a letartóztatott iránt.	Xin đừng quên rằng nước Anh lúc ấy không phải ở vào năm 1705, mà cũng phải ở vào thời kỳ rất xa về sau nữa, như ngày nay.
A népre, mely nem volt tisztában ezekkel az árnyalatokkal, rémitő hatást gyakorolt.	Đại thể rất hỗn độn và đôi khi rất nặng tính chất đè nén.
Ha előszámlálnák a seditious libel rendelet áldozatait, hosszu névsor lenne.	Ta cứ kể ra, vì đếm lại sẽ dài quá, những nạn nhân của luật seditluos libel.
Angliában lehetséges volt szörnyü merény­letet elkövetni minden jog ellen; csak emlékezzünk a Gazetier Cuirasséra.	Ở nước Anh việc vi phạm quái gở vào mọi quyền hạn là chuyện rất có thể xảy ra: ta cứ nhớ lại vụ Nhà báo mặc áo giáp.
Ilyen volt akkor a szabadság.	Tự do là như thế đấy.
IV.	4.
Ursus kikémleli a rendőrséget.	UYÊCXUYT THEO DÕI CẢNH SÁT
Mint mondottuk, az akkori rendőrség merev törvényei szerint a wapentake intése, hogy valaki kövesse, a többiekre nézve magában foglalta a parancsot, hogy meg ne mozduljanak.	Như chúng tôi đã nói, theo những luật cảnh sát rất khắc nghiệt thời ấy, lệnh cho một cá nhân phải đi theo trượng quan cũng buộc những kẻ hiện diện lúc bấy giờ không được cựa quậy.
Néhány kiváncsi mégis makacskodott és messziről Gwynplaine kiséretéhez csatlakozott.	Tuy vậy vẫn có một cố kẻ tò mò to gan, đi sau đoàn người áp giải Guynplên một quãng khá xa.
Most semmit sem ér az elérzé­kenyülés, most szembe kell nézni.	Lúc này đâu phải là lúc xúc động, mà phải nhìn thẳng.
Szemébe nézni az eseménynek, ez a kötelessége annak, aki nem ostoba.	Nhìn thẳng vào sự biến, là nhiệm vụ của kẻ nào không ngu ngốc.
Ne törődjünk azzal, hogy értjük-e, hanem cselekedjünk.	Không nên tìm hiểu mà phải hành động.
Gwynplaine távoztával két félelem közé került: féltette Gwynplainet, ami arra késztette, hogy kövesse; féltette önmagát, ami arra szoritotta, hogy maradjon.	Guynplên đi khỏi, Uyêcxuyt đứng ở giữa hai mối lo sợ: nỗi sợ cho Guynplên khuyên ông nên đi theo, nỗi sợ cho mình, khuyên ông ở lại.
Ursus olyan rettenthetetlen volt, mint egy légy és olyan érzéketlen, mint egy mimóza.	Uyêcxuyt mạo hiểm như một con ruồi và thản nhiên như cây trinh nữ.
De mégis, hősiesen elszánta magát és elhatározta, hogy dacolni fog a törvénnyel és követi a wapentaket, annyira nyugtalanitotta, hogy mi fog történni Gwynplaine-nel.	Tuy nhiên ông vẫn anh dũng quyết định, và quyết đương đầu với pháp luật, đi theo viên thiết trượng quan vì ông rất lo ngại cho Guynplên.
Bizony, nagyon félhetett, hogy annyira bátor volt.	Chắc ông phải sợ lắm nên mới cả gan như vậy.
Gwynplainet inkább elrabolták, mint elfogták.	Guynplên bị bắt cóc hơn là bị bắt giữ.
A rendőrség oly gyorsan végrehajtotta föladatát, hogy az ilyen reggeli órákban különben is néptelen vásártér alig vette észre.	Hành động cảnh sát đã tiến hành nhanh đến nỗi bãi chợ phiên, vốn rất vắng vào giờ phút sớm sủa này, hầu như không bị náo động.
Azért csak kevés ember csődült össze.	Vì vậy không có mấy quần chúng.
Gwynplainet az ő köpenyében és posztókalapjában, mely lehajlott csaknem az arcáig, nem ismerhették föl a járókelők.	Nhờ chiếc áo khoác và cái mũ gần giáp nhau trên mặt, Guynplên không bị những người qua lại nhận ra.
Mielőtt Gwynplaine után indult volna, Ursus előkészületeket tett.	Trước khi đi theo Guynplên, Uyêcxuyt đã có ý đề phòng.
Félrehivta Nicless mestert, a Govicum fiut, Fibit, Vinost és meghagyta nekik, hogy Dea előtt hallgassanak, mert ő semmi­ről sem tud; gondjuk legyen arra, hogy egy szót se ejtsenek ki előtte, amiből gyanithatná, hogy mi történt; hogy valami ürüggyel magyarázzák ki Gwynplaine és Ursus távollétét; hogy különben is nemsokára itt lesz déli álmának ideje és mire Dea fölébred, ő, Ursus, itt lesz Gwynplaine-nel együtt, az egész csak félreértés lehet, mistake, mint Angliában mondják; hogy ezt könnyü lesz neki és Gwynplainenek földeriteni a hatóság és a rendőrség előtt; hogy az ujjukkal fognak reámutatni a félreértésre és azonnal vissza fognak térni mind a ketten.	Ông gọi riêng ông chủ Nicơlex, thằng nhỏ Gôvicâm, Fibi và Vinox, và yêu cầu họ tuyệt đối không nói gì với Đêa, cô vẫn chẳng hay biết gì cả; cố gắng đừng nói một lời nào có thể gây ngờ vực cho cô về sự việc xảy ra; giải thích với cô là công việc nội trợ của Hộp Xanh đòi hỏi Guynplên và Uyêcxuyt phải vắng mặt; vả lại sắp đến giờ ngủ giữa buổi của cô, trước khi Đêa dậy ông sẽ trở về cùng với Guynplên, tất cả những việc ấy chỉ là chuyện lầm lẫn, là mixtêkơ như ở Anh vẫn gọi; ông và Guynplên rất dễ dàng trình bày để các pháp quan và cảnh sát hiểu; hai người sẽ chỉ rõ chỗ ngộ nhận, và chốc nữa cả hai sẽ về.
A fődolog az, hogy senki se szóljon Deának semmit.	Nhất là không ai được nói gì với Đêa.
Vakmerőség a leske­lődésben, ez a félénkek bátorsága.	Táo bạo trong rình mò là dũng cảm của những kẻ rụt rè nhút nhát.
Végtére, akármilyen ünnepélyes volt is az eljárás, Gwynplainet talán csak beidézik az egyszerü rendőri hatóság elé valami jelentéktelen kihágásért.	Nói cho cùng, và dù bề ngoài có nghiêm trọng mấy, có lẽ Guynplên cũng chỉ bị cảnh sát gọi vì một chuyện vi phạm gì đó không quan trọng lắm.
A saját szemével fog erről meggyőződni, ha a Tarrinzeau-field szélére érve meglátja, milyen irányt vesz a Gwynplainet kisérő őrség a Little Strand kis utcáinak bejáratánál.	Sự việc sẽ sáng tỏ, ngay trước mắt, tuỳ theo hướng đi của phân đội áp giải Guynplên, lúc hết phạm vi cánh đồng Tarinhzô, đến lối vào các ngõ hẻm của Litơn-Xtren.
Ha balra fordul, az annyit tesz, hogy Gwynplainet a southwarki városházára vezetik.	Nếu phân đội rẽ trái, tức là nó dẫn Guynplên đến trụ sở Xaothuak.
Senki sem fog észrevenni semmit.	Chẳng ai hay biết gì cả.
De ha jobbra fordul a kiséret, akkor a dolog komolyabb.	Nếu phân đội rẽ phải thì sẽ nghiêm trọng đấy.
Ezen az oldalon szigorubb helyek vannak.	Phía ấy có những nơi nghiêm khắc.
Abban a pillanatban, mikor a két sor rendőr, akik Gwynplainet kisérték, a wapentake vezetésével a kis utcákhoz érkezett, Ursus lihegve nézte.	Vào lúc viên thiết trượng quan, dẫn dầu hai hàng cảnh sát với Guynplên đi giữa, đến quãng nhiều ngõ hẻm, Uyêcxuyt hồi hộp để mắt nhìn.
Vannak pillanatok, mikor az egész ember csupa szem.	Có những lúc toàn bộ con ngươi đều dồn lên hai con mắt.
Merre fognak fordulni?	Họ sắp rẽ bên nào?
Jobbra fordultak.	Họ rẽ phải.
Ursus megtántorodott a rémülettől és egy falhoz támaszkodott, hogy el ne essék.	Uyêcxuyt hãi quá, lảo đảo, tựa vào một bức tường cho khỏi ngã.
Az aggodalomba beleszövődik az a homályos törekvés, hogy semmire se következtessen.	Nỗi lo âu lại càng phức tạp vì một cố gắng tối tăm nên không bao giờ chấm dứt.
- Rosszra fordul a dolog.	- Chiều hướng không hay rồi.
Minek is követtem Gwynplainet?	Ta đi theo Guynplên làm gì?
Ez észrevétel után, minthogy az ember merő ellenmondás, megkettőzte lépteit és leküzdve aggodalmát, sietett közeledni az őrséghez, nehogy Southwark utcáinak utvesztőjében elszakadjon a fonal közte és Gwynplaine között.	Nghĩ thế xong, nhưng vì con người vốn dĩ mâu thuẫn, ông lại rảo bước và cố nén lo âu, hối hả tiến gần đến phân đội để khỏi mất hút trong khu bàn cờ nhằng nhịt phố xá của Xaothuak, sợi dây nối liền giữa Guynplên với ông.
A rendőri kiséret nem mehetett gyorsan az ünnepélyesség miatt.	Đoàn cảnh sát không thể đi nhanh, vì nghi thức trang nghiêm của nó.
A poroszlók minden fensége eláradt a rendőrök vezetőjén.	Trật tự đó đòi hỏi đi tương đối chậm.
Egyenruhája középhelyet foglalt el az oxfordi zenetudósok pompázó öltözete és a cambridgei teológiai doktorok komor, fekete köntöse között.	Toàn bộ vẻ uy nghiêm có thể có ở một kẻ thừa hành đều thể hiện rõ nét trên viên pháp quan định túc số.
Nemesi ruháját hosszu godebert, ezt a norvégiai nyulbőrrel bélelt köpeny takarta.	Lão mặc áo quí tộc, ngoài khoác chiếc gôđơbe dài, một thứ áo choàng nữ lót lông thỏ Na-uy.
Félig gótikus, félig modern volt, mert parókát viselt, mint Lamoignon és ujjast, mint Tristan l’Hermite.	Nhìn lão vừa cổ lỗ vừa tân thời, với bộ tóc giả như Lamoanhông và những ống tay áo như Tơrixtăng ẩn sĩ.
Lehetetlen ennél a derék embernél vadabbat elképzelni.	Không còn tìm đâu ra một con người dữ tợn hơn.
Ursus kissé eltévedt a sikátorok zavaros tömkelegében, de a Sainte-Marie Over-Ry közelében utolérte a kiséretet, mely szerencsére kissé elkésett a templomtéren verekedő gyermekek és kutyák miatt, ami megszokott látvány London utcáin; dogs and boys, mondták a régi rendőrségi jegyzőkönyvek, melyek előbbre teszik a kutyákat a gyermekeknél.	Uyêcxuyt bị lạc mất một lúc trong cái mớ ngõ ngách chằng chịt, đến gần Xanhtơmari, Ôvơ Rai, lại đuổi kịp đoàn người, may sao, bị chậm lại ở gần nhà thờ, do một đoàn trẻ con và chó, một sự kiện thường gặp trên đường phố Luân Đôn, sổ sách cảnh sát ngày xưa vẫn thường ghi dogs and boys, bao giờ cũng để chó trước trẻ con.
Egy ember, akit rendőrök kisérnek a hatóság elé, elvégre elég közönséges látvány és minthogy mindegyiknek dolga volt, a kiváncsiak szétoszlottak.	Một ngườl bị cảnh sát dẫn lên gặp quan toà, nói cho cùng, là một sự việc rất nhỏ nhặt, và ai cũng có công có việc của mình, nên số người tò mò cũng đã phân tán hết.
Senki sem maradt Gwynplaine nyomában, csak Ursus.	Theo sau Guynplên chỉ còn mỗi Uyêcxuyt.
Azután sikátorról-sikátorra kanyargott a kiséret, szivesebben választva azokat az utakat, melyek még ki nem épültek és melyeket benőtt a fü; nagyon zegzugos uton haladtak.	Rồi đoàn người vòng vèo đến hết ngõ nọ sang ngõ kia, chọn toàn những con đường chưa có nhà cửa, những phố cỏ mọc và những ngõ vắng vẻ, và đi ngoắt ngéo mãi.
Ház nem volt benne, csak az elején néhány viskó.	Không có nhà cửa, đầu phố chỉ có hai ba túp lều.
A megfeketedett magas falat szász modorban épitették, párkányokkal és hatalmas rácsokkal a szelelőlyukakon.	Bức tường cao đen, xây kiểu Xăcxơ có lỗ châu mai, có máy phóng lao và những ô mắt cáo song sắt to bên trên các cửa hầm chật hẹp.
Ablaka nem volt, csak itt-ott néhány hasadék, ódon lőrések kőhajitók és dárdavetők számára.	Chẳng có lấy một cửa sổ nào cả: đây đó chỉ thấy những cái khe ngày xưa là họng súng bắn đá và phóng lao.
A nagy fal tövében apró, alacsony ajtó volt látható, mely a patkányfogó nyilásához hasonlitott.	Dưới chân bức tường lớn ấy thấy có một cái cửa tò vò bé tí, rất thấp, y như cái lỗ phía đuôi bẫy chuột.
Ezen a durva kőboltivbe illesztett ajtón elrácsozott kémlelőlyuk, tömör kopogtató és hatalmas zár volt és erős, bütykös sarkaival, összevissza szögelt páncélszerü lemezeivel inkább vasból volt, mint fától.	Cánh cửa tò vò, lắp một hình bán nguyệt nặng nề bằng đá, có một lỗ con chắn lưới sắt, một cái búa to, một ổ khoá lớn, những bản lề cục mịch chắc chắn, đóng đinh chằng chịt, một lớp sắt sơn dầy cộp và cấu tạo bằng sắt nhiều hơn gỗ.
Sem boltot, sem járókelőt nem lehetett látni.	Không có cửa hàng không người qua lại.
De valami zaj hallat­szott egész közelben, mintha a sikátor egy patak mellett huzódott volna.	Nhưng nghe có tiếng động liên tục rất gần, dường như ngõ này song song với một dòng thác.
A fekete épület másik oldalán valószinüleg forgalmas utca, bizonyára Southwark főutcája vonult, mely egyik végével a canterbury-i uthoz, a másikkal a London-Bridgehez csatlakozott.	Có lẽ bên kia bức tường đen có một đường phố to, chắc là phố chính của Xaothuak, một đầu nối với đường Cantoberi, một đầu nối vào cầu Luân Đôn.
Egy sarokban állt, ahol az utca éppen elkanyarodott.	Ông ta đứng lấp vào một chỗ ngoặt của đường phố.
Az őrség összecsoportosult az ajtó előtt.	Phân đội tập trung trước cái cửa tò vò.
A justice-quorum fölemelte a kalapácsot és hármat koppantott.	Viên pháp quan định túc số nhấc cái búa lên, gõ ba tiếng.
- Ő felsége nevében.	- Theo lệnh nhà vua.
Iszonyu boltozat huzódott a homályban.	Một mái vòm rùng rợn kéo dài trong bóng tối.
Ursus látta, hogy Gwynplaine eltünt alatta.	Uyêcxuyt trông thấy Guynplên biến mất vào đó.
V.	5.
Gonosz hely.	NƠI HẮC ÁM
Az ajtó becsukódott.	Cánh cửa tò vò khép lại.
A sulyos ajtó légmentesen beilleszkedett a kőrovátkákba és sem azt nem lehetett látni, ki nyitotta ki, sem azt, hogy ki zárta be.	Tấm cửa lại nặng nề gắn khít vào khung đá, mà vẫn không thấy ai mở cũng không thấy ai đóng nó cả.
Ugy látszott, a reteszek maguktól mentek vissza mélye­déseikbe.	Hình như then cửa tự động chạy vào lỗ chốt.
Ezek a börtön küszöbét a sir küszöbéhez tették hason­lóvá.	Thành thử ngưỡng cửa nhà tù giống như ngưỡng cửa hầm mộ.
Ez az ajtó a southwarki börtön hátsó kapuja volt.	Cửa tò vò này là cái cửa thấp của nhà lao Xaothuak.
A szúrágta, visszataszitó épületben semmi nem hazudtolta meg a fogházak komor külsejét.	Trong toà nhà rêu phong long lở này, không có gì phản lại cái vẻ khiếm nhã vốn dĩ của một nhà tù.
Pogány templom, melyet hajdan a cattieuchlanok épitettek a Mogonok, a régi angol istenek számára; Ethelwolfnak palotája, szent Edwardnak erődje volt; 1199-ben pedig Földnélküli János a fogház méltóságára emelte; ez a southwarki börtön.	Nhà ngục Xaothuak nguyên là một ngôi đền tà đạo, do người Cachiulan ngày xưa xây dựng cho Mogon tức những vị thần trước kia của người Anh, sau đó trở thành lâu đài của Ethelulfe và pháo đài của thánh Êđua, rồi lại được Giăng Vô thổnâng lên cương vị nhà tù năm 1199.
Ezt a börtönt egykor utca szelte ketté ugy, ahogy a chenonceauxi kastélyon patak folyik keresztül és egy vagy két századon át gate volt, a külváros kapuja; később befalazták az átjárót.	Nhà ngục này thoạt đầu có một đường phố chạy ngang, cũng như ngục Sonôngxô bị một con sông chảy qua, trong một hay hai thế kỷ vẫn là một cái ghết, nghĩa là một cái cửa ô; sau đó bị xây bít lại.
Angliában fönmaradt még néhány ilyenfajta fogház: Londonban a Newgate; Canterburyban a Westgate; Edimburgban a Canongate.	Ở Anh vẫn còn một số nhà tù kiểu ấy: chẳng hạn ở Luân Đôn có Niughêt; ở Cantoberi có Uextghêt, ở Êđimbua có Cononghêt.
Franciaországban a Bastille is kapu volt egykor.	Ở Pháp, ngục Baxti lúc đầu cũng là một cái cửa.
Angolország csaknem valamennyi börtöne egyforma képet nyujt, kivül magas fal, belül méh­kas tömlöcökből.	Hầu hết những nhà ngục của Anh đều có bộ mặt như vậy, một bức tường to ở ngoài, bên trong một lô hầm tối.
E kegyetlen és zord épületek láttára ugyanazt az aggodalmat érzi az ember, mely az antik hajósokat elfogta, mikor oly közel haladtak el a rabszolgák poklához, a Plautus emlegette lánccsörgető szigetekhez, ferricrepiditae insulae, hogy hallották a láncok zörgését.	Đứng trước những công trình xây dựng khắc nghiệt và dã man ấy, người ta hồi hộp lo âu như những nhà hàng hải ngày xưa trước những địa ngục nô lệ mà Plôtơ nói đến, những hòn đảo loảng xoảng tiếng sắt, ferricre- piditoeinsuloe, lúc họ đi qua khá gần có thể nghe thấy tiếng xiềng xích.
