Eugénie Grandet	Nguyên tác tiếng Pháp: Eugénie Grandet
- Ez a dolog t... t... tehát kiüthet jól is, ro... rosszul is?	Tuổi tác ngần này mà cơ khổ, tôi có hiểu gì về cái ấy đâu.
- szólt a szőlősgazda.	Tôi phải ở nhà để phòng bão.
- É... é... én már abban a kooorban vagyok, amikor az ember semmit sem tud az i... i... ilyen do... do... l... gokról.	Bão tố đã nhóm rồi mà có thóc thì mới có tiền trả mọi khoản.
A szőlőt be... gyű... gyű... gyűjti az ember, és a sz... sző... szőlővel fi... fizet.	Tôi có công việc quan trọng ở Phoroaphong, những việc lý thú đáo để.
Mindenekelőtt a... a te... te... termésre k... kell vigyázni, fo... fo... fontos üüügyek, m... m... mulaszthatatlan ügyek t... tartanak Froidfond-ban.	Tôi không thể rời nhà để chạy theo những chuyện rối ra rối rít quái quỷ như thế kia, những chuyện tôi chẳng hiểu xơ múi gì cả!
Maga azt mondja, ho... hogy P... P... Párizsban kellene lennem a felszámolás miatt, hogy megakadályozzam a csőd kimondását.	Ông bảo rằng muốn thanh toán, muốn ngăn ngừa cái lệnh tuyên bố vỡ nợ thì tôi phải lên Pari.
Az ember nem lehet ké... két helyen e... e... egyszerre, hacsak nem k... k... kismadár... és...	Ai ở được hai nơi một lúc, trừ phi có là con chim!...và...
- Én értem önt!	Ông chưởng khế nói lớn:
- kiáltott fel a közjegyző.	- Tôi hiểu ý ông rồi.
- Nos, öreg barátom, önnek vannak barátai, régi barátai, akik bármikor a szolgálatára állnak.	Này ông bạn già ạ, ông có những ông bạn, những ông bạn cố cựu có thể tận tụy giúp ông.
"Na, mi lesz?	- "Vẽ!
- gondolta magában a szőlősgazda -, határozza végre el magát!"	Chú mày có đợi gì mà không xung phong đi?"
- És ha valaki Párizsba utazna, ott felkeresné az ön Guillaume öccsének a legnagyobb hitelezőjét, azzal, hogy...	- Nếu có một ông bạn đi Pari để tìm thằng cha chủ nợ gộc nhất của ông Guyom và nói với hắn rằng...
- Egy pi... pi... pillanat - vágott közbe a jóember -, mit mon... dana az illető?	- Hượm... hượm ở đây đã!
Va... valami i... ilyes... m... mit: "A saumuri Grandet... det... úr... í... í... így, a saumuri Grandet... úr úgy... szereti a testvérét, szereti az u... u... u... unokaöccsét.	Ông bảo rằng ông bạn tôi nói với thằng chủ nợ gộc nhất..nói cái gì nào?
Grandet jó ro... ro... rokon, telve van jó szándékkal.	Có phải nói đại khái thế này không?
Jó pénzért adta el a te... te... termését.	"Cái ông Grangde ở Xomuya ấy mà... ông ấy thương em, ông ấy quý cháu.
Aaaztán Grandet majd m... m... meglátja.	Rồi ông Grangde sẽ xem.
- Pontosan!	- Đúng!
- mondta az elnök.	Ông chánh án nói.
- Tudja, hogy van, de Bon... Bon... Bon... fons úr, meg kell gondolni, mit cse... cselekszik az ember.	- Bởi vì, ông Đo Bongphong nghĩ thử có phải không, còn phải xem rồi mới quyết đoán được chứ.
Ami ne... ne... ne... nem megy..., az ne... nem megy.	Hễ bất lực là.. bất lực.
A vissz... te... terhes ü... ü... ügyleteknél, ha az ember neeem akar tö... tö... tönkremenni, ismernie kell a bevételi forrásokat és a terheket.	Trong mọi việc tốn tiền, muốn cho khỏi khuynh gia bạ sản thì phải cân nhắc khả năng thu, chi của mình, có phải không?
- Kétségtelenül - mondta az elnök.	- Đúng.
- Én amondó vagyok, hogy egy bizonyos összegért néhány hónap leforgása alatt vissza lehet szerezni és megegyezéses alapon hiánytalanul ki lehet fizetni a hitelleveleket.	Tôi có ý kiến rằng sau đó mấy tháng, ta có thể thương lượng để chuộc lại các khế nợ bằng một số tiền nào đó, và được coi như đã trả trọn vẹn.
Hohó!	Ôi chao!
elég, ha csak egy mézesmadzagot elhúz a hitelezők orra előtt.	Đem một miếng mỡ giơ trước mõm chó thì ta có thể dắt chó đi xa đến đâu ấy.
És ha nem mondják ki a csődöt, ön meg a kezében tartja a hitelleveleket, akkor ön hófehéren áll a világ előtt.	Đến khi người ta không tuyên bố vỡ nợ nữa, mà ông lại cầm tất cả giấy nợ trong tay thì danh dự của ông trở nên trong trắng như tuyết.
- Hó... hó... hó fehéren?	- Như tuy...tuyết?
- ismételte Grandet, és ismét tölcsért formált a kezéből.	Grangde vừa nhắc lại vừa làm loa tay sau vành tai.
- Hogyhogy hó... hó... hófehéren?	Tôi chưa hiểu ra cái chuyện tuyết ấy.
- Na, figyeljen jól ide!	Ông chánh án kêu:
- kiáltotta az elnök.	- Đã thế thì ông nghe tôi đây.
- F... fi... figyelek.	- Tôi nghe đây.
- A váltó olyan árucikk, amelynek hol felmegy, hol lemegy az ára.	- Một cái hối phiếu là một mặt hàng mà giá trị có thể khi cao, khi hạ.
Ez a következtetés adódik többek között Bentham Jeremiás uzsoraelméletéből.	Đấy là một cái luật, suy diễn từ nguyên lý cho vay lãi mà Jeremi Bentham đã phát hiện.
- Nahát!	- Thế ư?
- Hooogy mo... mo... mo... mondta?	- Ông gọi cái ông ấy là Je...Je...Jeremi Ben...gì?
Mi... milyen Je... Je... Je... Jeremiás? - Bentham.	- Bentham, một người Anh.
- Ez a Jeremiás nem kevés siralmat elhárít felőlünk az üzleti életben - mondta nevetve a közjegyző.	- Cái anh Jeremi này thì lại làm cho chúng ta đỡ than khóc trong việc giao dịch. 
- Ezeknek az angoloknak né... né... néha egész jó go... go... gondolataik vannak - szólt Grandet.	- Cái... cái bác người Anh ấy một đôi khi cũng biết lẽ phải trái đấy chứ.
- Tehát, Ben... Ben... Ben... Bentham, sze... sze... sze... szerint, ha az öcsém váltói... é... é... é... érnek... nem érnek!	Vậy là, theo Bentham, nếu các hối phiếu của chú nó mà có giá... ờ ờ... không có giá!
Jól mo... mo... mondom, ugye?	Nếu tôi... này tôi nói đúng đấy chứ?
Ez világosnak látszik... A hitelezők azt mondanák... nem, nem mondanák...	Cái điều này tôi thấy thật quá rõ ràng... Bọn chủ nợ sẽ... ờ không không phải thế... tôi hiểu rồi.
Most é... értet... tem meg.	Ông chánh án bảo:
- Hadd magyarázzam meg önnek az egészet - mondta az elnök.	- Ông để tôi giải thích tất cho ông rõ.
- Jogilag, ha az ön birtokában van a Grandet cég által kibocsátott valamennyi hitellevél, akkor az ön öccse vagy az öccsének az örökösei senkinek semmivel nem tartoznak.	Đứng về pháp lý mà nói, nếu ông giữ trong tay tất cả những khế ước của ông Guyom, thì nghĩa là ông ấy hoặc những người thừa kế của ông ấy không mắc nợ ai một đồng xu nhỏ nào cả.
Jó...	Thế đấy.
- Jó... - visszhangozta a jóember.	- Thế đấy. Grangde lắp lại.
- Igazság szerint, ha a piacon az ön öccsének a váltóit bizonyos százalék veszteséggel alkuba bocsátják (jól értse meg: alkuba bocsátják), ha az ön egyik barátja arra jártában vissza­vásárolja a váltókat, mivel a hitelezőket semmi erőszak nem kényszeríti az eladásra, a boldogult párizsi Grandet úr hagyatéka törvényesen tehermentesnek tekintendő.	ở thị trường tài chính với một tỉ lệ thua lỗ bao nhiêu đó, lúc bấy giờ nếu có một ông bạn của ông chợt đi qua và mua lại các giá khoán đó- các chủ nợ tự ý muốn bán khế nợ chứ chả bị ai dùng bạo lực bắt buộc đâu nhé - như vậy thì những người thừa kế của ông Guyom bất hạnh được chính đáng, coi như là không còn mắc míu thiếu đủ ai nữa.
- Igaz, az ü... ü... ü... üzlet az üzlet - mondta a kádármester.	- Phải rồi, việc mua bán là mua bán.
Ne... ne... nekem nincs se péééénzem..., se... se... se időm, se időm, se...	Tôi không có tiền, cũng không có thì giờ.
- Igen, ön nem mehet.	- Vâng, ông không thể bỏ công việc ở đây mà đi được.
Nos, én felajánlom önnek, hogy felutazom Párizsba (adandó alkalommal majd meghálálja, egyébként semmiség az egész).	Thế này thì tôi phải đi Pari hộ ông (rồi ông tính lại lộ phí cho tôi, chả là bao, nói cũng ngượng).
Párizsban felkeresem a hitelezőket, tárgyalok velük, meghosszabbítom a váltók lejárati idejét, és minden rendbe jön, nem marad más hátra, mint hogy a hitellevelek hiánytalan megszerzése végett ön egy kisebb összeggel megtoldja a felszámolási értéket.	Tôi sẽ tìm bọn chủ nợ tôi nói chuyện với họ, tôi làm kế hoãn binh và sau này, ông tính thêm cho họ một món tiền nào đó ngoài khoản họ thu được trong cuộc thanh toán di sản ông Guyom để lại, để thu hồi tất cả các khế ước, thế là yên chuyện.
- Igaza van.	- Phải.
- Csak úgy ka... ka... kavarog a fejem, maga úgy me... me... megpörgette a ke... ke... kerekeket.	- Đầu óc tôi như sắp vỡ ra vì cái chuyện ông nói đây.
É... é... é... életemben először keeellett azon go... gondolkoznom, hogy...	Lần này là lần đầu tiên tôi bắt buộc phải suy nghĩ về … về cái...
- Persze, ön nem jogtudor.	- Vâng, ông không phải nhà luật học.
- Nos tehát... - vette át a szót az elnök, mint aki össze akarja foglalni az eszmecserét.	Như muốn tóm tắt cuộc thảo luận, ông chánh án lấy điệu nói tiếp:
- Öcsém!...	- Bây giờ thì...
- vágott a szavába szemrehányó hangon a közjegyző.	Ông chưởng khế chặn lại, giọng trách móc:
- Nos, bátyám?	- Này anh!
- fordult felé az elnök.	- Thưa, chú bảo gì?
- Hagyd, hogy Grandet úr megmagyarázza a szándékait.	- Anh cứ để ông Grangde nói rõ ý định của ông ấy.
Kopogtatás jelentette, hogy megérkezett a des Grassins család, a vendégek beléptek, üdvözölték a jelenlévőket, így Cruchot nem tudta befejezni a mondatot.	Ông chưởng khế nói không hết câu vì có cái tiếng gõ cửa, tiếp đến gia đình Đe Gratxanh vào nhà, rồi chủ khách chào hỏi lẫn nhau.
A közjegyző örült a félbeszakításnak; Grandet már görbén nézett rá, és az orrgumója belső viharról tanúskodott.	Ông ta hết sức hoan nghênh sự phá ngang ấy, bởi vì Grangde đã bắt đầu lườm nguýt ông ta và cái chóp mũi động đậy của lão báo hiệu có một cuộc bão táp nổi dậy trong lòng.
Kihasználta tehát azt a pillanatot, amikor des Grassins-ék beléptek, karon ragadta az elnököt, és félrevonta az ablakmélyedésbe.	Thừa lúc bọn Đe Gratxanh đến, ông ta kéo ông chánh án ra cửa sổ, bảo:
- Már eléggé kitüntetted magad, öcsém; hagyd abba a buzgólkodást.	- Anh ạ, anh tỏ lòng dạ anh như thế là đủ rồi. Không nên tận tâm quá mức.
Elvakít a vágy, hogy a lány a tiéd legyen.	Anh ưng lấy con lão ta quá nên mờ con mắt.
Az ördögbe is!	Chao ôi!
Nem kell ajtóstul rontani a házba.	Không nên hăng máu vịt như thế.
Bízd rám, most majd én állok a kormányhoz, te meg csak segíts evezni.	Từ nay trở đi anh cứ để cho tôi lái con thuyền, anh chỉ cần giúp tôi một tay là đủ.
Le akarod járatni talán a bírói méltóságodat egy ilyen...	Ông nghe thấy ông Đe Gratxanh vừa bắt tay Grangde, vừa nói:
- Az egyetlen szerencsétlenség ifjabb Grandet úr halála - vágott a bankár szavába a közjegyző.	Ông chưởng khế ngắt lời ông chủ ngân hàng:
- És ő sem öli meg magát, ha segítségül hívja a bátyját.	- Không có cái tai họa nào khác ngoài cái việc ông Guyom Grangde qua đời!
A mi öreg barátunk, aki a kisujja hegyéig becsületes ember, azt tervezi, hogy felszámolja a párizsi Grandet-ház adósságait.	Mà như thế cũng tại bởi ông ấy quên nghĩ đến việc cầu cứu ông anh đó thôi, nếu không thì cũng chả đến nỗi phải tự tử.
Az én elnök öcsém, hogy megkímélje Grandet urat a merőben jogi természetű ügy hercehurcájától, felajánlotta, hogy most azonnal Párizsba utazik, kiegyezik a hitelezőkkel, és méltányos kielégítést fizet nekik.	Để tránh cho ông ấy mọi sự phiền phức về một số công việc có tính chất hoàn toàn tư pháp, ông chánh án cháu tôi đã tự nguyện đi Pari ngay bây giờ, để thương thuyết với bọn chủ nợ và làm thỏa mãn họ một cách phải chăng.
- kiáltott fel a bankár, és a feleségére nézett.	- Mình thấy không, tôi biết mà!
- Mit mondtam neked útközben, des Grassins-né asszony?	Dọc đường tôi nói với mình cái gì nào?
Grandet talpig becsületes ember, és nem tűri el, hogy folt essék a nevén!	Tôi bảo cái bác Grangde, bác ấy trọng danh dự hơn cái gì hết trên đời.
A pénz is csak nyűg, ha oda a becsület.	Tiền tài mà không danh dự là tiền tài báo cô.
Nem veszett még ki a becsület Franciahonban!	Bác Grangde ạ, việc làm của bác tốt, tốt lắm.
Én már csak vén katona maradok, ami a szívemen, az a számon: nyíltan kimondom: ez aztán, teringettét!	Tôi nói trắng ra sự thật: cái việc này, trời đất ông bà ơi!
csodálatos dolog.	Cái việc này quả là phi thường!
Hiszen érteni kell a vissz-számlákhoz, előlegekhez, kamatszámoláshoz.	- Tôi nói cái này chắc ông chánh án không được vừa ý lắm.
Az ügyeim amúgy is Párizsba szólítanak, vállalkozhatnék rá, hogy...	Tôi có việc sắp đi Pari, nếu cần tôi có thể nhận giúp...
Az utolsó szavakat a jóember hebegés nélkül mondta.	Grangde nói câu này một mạch, không lắp nữa.
- Eh!	- Ơ kìa!
- szólt des Grassins-né -, de hisz Párizsban lenni élvezet.	Bà Đe Gratxanh bảo, được đến Pari là thú chứ.
Én bizony szívesen fizetnék, csak hogy mehessek.	Giá tôi thì tôi sẵn lòng bỏ tiền ra để mà đi.
Grandet kabátgombjánál fogva a sarokba vonta a bankárt.	Grangde nắm cúc áo Đe Gratxanh, kéo ra một góc phòng và bảo:
- Sokkal jobban megbíznék magában, mint az elnökben - mondta.	- Được ông đi thì tôi tin cậy hơn ông chánh án nhiều lắm.
- Meg aztán még valami van a dolog mögött - tette hozzá orrgumóját mozgatva.	Vả lại - ông Grangde động đậy chóp mũi - cũng có chút mưu mô này nữa.
- Járadékkötvényekbe akarok befektetni, van néhány ezer frankom, amin kötvényeket vásárolhatnék, de legfeljebb nyolcvan frankjával.	Tôi muốn chơi thực lợi; tôi định mua mấy ngàn phorang thực lợi, và chỉ ưng mua với giá tám mươi thôi.
Úgy hírlik, hónap végén mindig lemegy az ára ennek az izének.	Người ta bảo rằng cứ cuối tháng thì cái thứ ấy hạ giá.
Maga ért hozzá, igaz?	Ông thạo cái khoa này đấy chứ?
- Hát persze!	- Hẳn rồi!
Szóval, szedjek össze magának járadékkötvényeket néhány ezer frankért?	Thế là tôi sẽ được lấy cho ông mấy ngàn phorang thực lợi ư?
- Egyelőre nem sokért.	- Lần bắt đầu này cũng chả bao lăm!
Ezt a játszmát úgy akarom lejátszani, hogy senki se tudjon róla semmit.	Tôi muốn chơi một cách kín đáo, không để cho ai biết.
Maga amúgy is Párizsba megy, egyúttal azt is megnézzük, mi az adu szegény unokaöcsém játszmájában.	Ông đã định đi Pari thì nhân thể, ông giúp thằng cháu tội nghiệp của tôi xem thử cái việc của nó có cơ giải quyết thế nào.
- Akkor ezt megbeszéltük.	- Đồng ý. Ông Đe Gratxanh lại nói to:
Holnap indulok a postakocsival - mondta fennhangon des Grassins -, a végső utasításokért még idenézek... Hánykor jöhetek?	- Mai tôi sẽ đi xe trạm, trước khi tôi đi tôi sẽ đến xin những ý kiến cuối cùng của ông vào lúc... lúc mấy giờ nào?
- Öt órakor, vacsora előtt - mondta kezét dörzsölve a szőlősgazda.	- Năm giờ, trước bữa ăn tối. Ông Grangde vừa nói vừa xoa tay.
A két ellentábor maradt még egypár percet.	Đe Gratxanh vỗ vai ông Grangde bảo:
Rövid csönd állt be, majd des Grassins Grandet vállára csapva megszólalt:	- Có nhưng người họ hàng như thế này thì thật quý hóa!
- De jó annak, akinek ilyen jó rokona van...	- Vâng vâng, Grangde đáp.
- Igen, igen, én jó rokon vagyok - mondta Grandet -, habár nem tudom kimutatni.	Tôi là một người họ hàng tốt tuy bề ngoài không có vẻ thế.
Szerettem az öcsémet, és ezt be is bizonyítom, ha... ha... nem... nem kerül...	Tôi yêu mến chú em tôi và tôi sẽ chứng tỏ điều ấy nếu... nếu không tốn.
- Mi búcsúzunk - vágott közbe a bankár épp a legjobb pillanatban, mert így Grandet nem fejezhette be a mondatot.	Ông Grangde ngắt lời đúng lúc, không để cho ông ta nói trọn câu:
- Mivel hamarabb indulok, mint terveztem, még el kell rendeznem néhány ügyemet.	- Chúng tôi phải xin cáo bác, bác Grangde ạ. Thế là tôi đi Pari trước kỳ hạn, nên cần thu xếp một số công việc.
- Jó, jó.	- Đúng, đúng.
"A fenébe!	- Mẹ kiếp!
Már nem vagyok de Bonfons úr" - gondolta szomorúan az elnök, és olyan arcot vágott, mint a bíró, amikor unja a védőbeszédet.	Ông chánh án rầu rầu nghĩ như thế và bộ mặt của ông ta dài ra như khi gặp một vụ kiện tụng rắc rối.
A két vetélkedő família családfői együtt távoztak.	Các vị thủ lĩnh của hai họ kình địch đi song song với nhau.
Egyikük sem gondolt már arra az árulásra, amelyet Grandet a szőlővidék ellen követett el aznap délelőtt, kölcsönösen egymást fürkészték (hasztalanul), hogy kiderítsék, vajon mit gondol a másik, mik a jóember igazi szándékai ebben az új ügyben.	Cả hai bên đều quên bẵng đi chuyện Grangde bội phản xứ sở nho; họ bận dò dẫm lẫn nhau để tìm hiểu đối phương ức đoán thế nào về những ý định nằm trong thâm tâm Grangde quanh vụ thanh toán; nhưng họ mất công toi.
- Velünk tartanak d’Orsonvalnéhoz?	Bà Đe Gratxanh hỏi ông chưởng khế:
- kérdezte des Grassins a közjegyzőtől.	- Ông có đi đến bà Đoocxongvan cùng một thể với tôi không?
- Majd később odamegyünk - válaszolt az elnök.	- Chúng tôi sẽ đến sau.
- Hát akkor viszontlátásra, uraim - mondta des Grassins-né.	- Thế thì xin chào các ông.
- Eszi őket a penész, mi?	- Bọn chúng nó tức ứa máu đấy nhé!
- Hallgass, fiam - szólt rá az anyja -, még meghallják.	- Im đi con, bà Đe Gratxanh bảo. Chúng còn có thể nghe lọt đấy.
Különben is rossz ízlésre vall, amit mondsz, jogiegyetem-szaga van.	Với lại chữ nghĩa của mày dùng nghe sặc cái mùi trường Luật, chẳng lịch sự chút nào.
- Láttam, hogy bosszant a dolog; de hát a széljárás Grassins-éknak kedvezett.	- Chú cũng thấy công việc không chiều theo ý anh, nhưng biết làm sao!
Jaj de buta vagy a nagy eszeddel!...	Bọn Đe Gratxanh đang gặp gió thuận.
Hadd szálljanak csak ők be egy Grandet-féle majd meglátjuk-ba, te meg maradj veszteg, fiacskám: Eugénie ettől még a te feleséged lesz.	cứ để cho chúng lên thuyền với một câu "chúng ta sẽ xem thế nào" mơ hồ của lão Grangde, còn anh, anh cứ bình tĩnh đợi, anh cháu ạ: bề nào Ogieni cũng sẽ là vợ anh.
Néhány percen belül egyszerre három házban terjedt el Grandet nemes elhatározásának a híre, s városszerte másról se beszéltek, mint eme testvéri odaadásról.	Chả mấy chốc, cái tin Grangde dự định làm một việc hào hiệp lan ra mấy nhà, rồi khắp thành phố chỉ bàn tán về việc ông anh kia tận tình với ông em ấy.
Mindenki megbocsátotta Grandét-nak, hogy, megszegve a gazdák megállapodását, eladta a borát, csodálták becsületes­ségét, magasztalták nagylelkűségét, amelyre eddig képesnek se tartották.	Ai cũng sẵn sàng tha thứ chuyện bán mua thất ước của Grangde, để thán phục cái đức trọng danh dự của ông, ca ngợi cái bụng hào hiệp không ai ngờ ở ông ta.
A francia természet már csak olyan, hogy könnyen hévül, indulatra, szenvedélyre lobban a perc tűnő üstököséért, a csalóka délibábért.	Cái tính của người Pháp là thế: dễ bột phát, dễ bốc cháy, dễ say sưa về cái ánh chớp hào nhoáng, cái bong bóng xà phòng rực rỡ một lúc.
Lehet, hogy a közösségnek, a népeknek nincs emlékezőtehetségük?	Phải chăng các khối cộng đồng, các dân tộc không có trí nhớ?
Grandet apó becsukta a kaput, s a hosszú Nanont szólította.	Grangde đóng cổng xong thì gọi mụ Nanong.
- Ne ereszd el a kutyát, és ne aludj, dolgunk lesz.	- Mụ đừng mở xích chó và hãy thức đấy chờ, mụ với tôi sắp có việc phải làm.
Cornoiller tizenegy órakor itt lesz a kapu előtt a froidfond-i együléses kocsival.	Mười một giờ khuya, thằng cha Coocnoie sẽ đánh cỗ xe ở Phoroaphong tới đây.
Fülelj, mikor jön, nehogy bekopogjon, és mondd meg neki, hogy csendesen jöjjön be.	Mụ lắng nghe lúc nào hắn tới thì ra mở cổng chứ đừng để cho hắn đấm cửa, rồi bảo hắn nhẹ gót đi vào.
A törvény tiltja az éjszakai csendháborítást.	Luật cảnh sát cấm làm ồn ào vào ban đêm.
Különben is, semmi szükség rá, hogy az egész környék megtudja, hogy elutazom.	Vả lại ở khu phố cũng không cần biết là tôi sửa soạn đi xa.
Ezután Grandet felment a vegykonyhájába, és Nanon hallotta, hogy tesz-vesz, rakosgat, föl-alá járkál, de óvatosan.	Thế rồi mụ Nanong nghe tiếng ông đi lại, sục sạo, động vật này đẩy vật khác, nhưng rất cẩn thận nhẹ nhàng.
Nyilvánvalóan nem akarta felébreszteni sem a feleségét, sem a lányát, és kivált nem akarta felkelteni unokaöccsének az érdeklődését, akire egyébként szitkokat szórt, amikor észrevette, hogy világos van a szobájában.	Cố nhiên là ông không muốn cho vợ và con gái thức giấc, nhất là không muốn cho Saclo để ý. Lúc mới lên, thấy buồng Saclo còn ánh sáng đèn, ông đã lầm rầm nguyền rủa anh chàng.
Eugénie magára kapott egy prémes, csuklyás köpenyfélét, és ki akart menni a szobájából.	Có lẽ chàng tự tử. Nàng vùng lên, choàng vội cái áo có mũ trùm đầu, toan ra đi.
"Csak nem szökteti meg apám az unokatestvéremet?" - töprengett, és résnyire nyitotta az ajtót, vigyázva, hogy meg ne nyikorduljon, de azért ő láthassa, mi történik a folyosón.	Vừa nhẹ tay đẩy cửa, nàng vừa cẩn thận cố giữ cho khỏi có tiếng cọt kẹt, nhưng cũng hé đủ để nhìn thấy mọi việc diễn ra trong hành lang.
A jóember és Nanon egy vastag dorong két végét tartotta a jobb vállán, a dorongon egy olyan hordócska lógott kötélen, amilyet Grandet apó szokott barkácsolni üres óráiban a sütőházban.	Một cây đòn to nối liền Grangde với mụ Nanong, mỗi đầu đặt lên vai phải của mỗi người; giữa đòn có một sợi dây cáp buộc một cái thùng con giống thứ thùng mà lúc rỗi ông Grangde thường đóng để tiêu khiển.
- Szűzanyám!	Mụ Nanong nói khẽ:
Ennek aztán megvan a súlya, uram!	- Đức thánh mẹ ơi, nó nặng làm sao!
- mondta fojtott hangon Nanon.	- Thế mà tiếc quá!
- Milyen kár, hogy csak félfrankos garasok vannak benne!	Grangde gọi người gác rừng không lương của ông ta:
- válaszolta a jóember.	- Coocnoie à!
- Vigyázz, le ne üsd a gyertyatartót.	Lão có mang súng ngắn theo đó không?
- Elhoztad a pisztolyaidat, Cornoiller?	- Thưa ông không ạ. Ái chà!
- kérdezte címzetes csőszétől Grandet.	Cái thứ xu ấy mà sợ nỗi gì?
- Nem, uram.	- Phải, phải.
- Ó, semmitől - mondta Grandet apó.	- Vả lại chúng ta sẽ phóng nhanh lắm.
- Különben, majd gyorsan hajtunk - szólalt meg ismét a csősz -, a bérlői a legjobb lovakat választották ki magának.	Bọn tá điền chọn những con ngựa tốt nhất cho ông đây.
- Jól van, jól.	- Tốt, tốt lắm.
Nem mondtad meg nekik, hova megyek?	Lão không nói với họ là tôi đi đâu chứ?
- De hisz nem is tudtam.	- Tôi biết ông đi đâu mà nói.
- Jól van.	- Phải rồi.
Erős a kocsi?	Xe có chắc không?
- Ez az urasági fogat?	- Ông chủ còn phải hỏi!
Biz ez másfél ezer kilót is elbír.	Này, xe này chở những ba nghìn cân.
Mit nyomnak ezek a hitvány kis hordók?	Vậy chớ các thùng khổ của ông nặng bao lăm đó?
- Megmondom én pontosan! - mondta Nanon.	- Ờ, tôi cũng có biết đấy, mụ Nanong nói.
- Nem sok híja van a kilencszáznak.	Có đến ngót nghìn tám cơ.
- Hallgatsz el, Nanon!	- Mụ có câm mồm đi không, mụ Nanong?
Megmondod a feleségemnek, hogy falura mentem, vacsorára itt leszek... Csapj a lovak közé, Cornoiller, legkésőbb kilencre Angers-ba kell érnünk.	Mụ báo với bà là tôi về nhà quê, chiều tối tôi sẽ về kịp bữa ăn tối.
Egy garast se látott soha senki ebben az arannyal teli házban.	Hàng phố chẳng ai biết ông Grangde đi, và đi như thế để làm gì.
Újból csend borult a házra, a kocsi távoli, fokozatosan halkuló kerékzörgése már nem vert visszhangot az alvó Saumurben.	Tiếng bánh xe lăn ra trên đường cái lắng dần xuống, không còn nghe âm vang trong thành phố Xomuya ngủ say.
Pengeélvékony fény­pászta szűrődött ki az ajtó hasadékán keresztül, és vízszintesen elmetszette a vén lépcső korlát­oszlopait.	Một lần ánh sáng mỏng như lưỡi kiếm lọt qua cửa buồng chàng và như cắt ngang mấy chấn song ở cầu thang.
A második nyögés hallatán a manzárdszoba előtt termett.	Một tiếng rên thứ hai lôi phắt nàng đến cửa buồng.
Az ajtó résnyire nyitva volt, Eugénie kitárta.	Cửa hé mở, nàng đẩy toang ra.
Charles aludt, félrebillent feje nem támaszkodott a karosszék támlájának, keze majdnem érintette a padlót, és kiesett belőle a toll.	Saclo ngủ, đầu ngoẹo ra ngoài ghế, tay rời bút, buông thõng gần chấm đất.
Elolvasott néhány címzést: Farry, Breilman és Tsa hintógyártó uraknak, Buisson szabómester úrnak stb.	- Kính gửi công ty đóng xe ngựa Phary, Braymang, Kính gửi ông Buytxong, chủ hiệu may, v.v... Nàng nghĩ thầm:
"Biztosan elintézte minden ügyét, hogy nemsokára elhagyhassa Franciaországot" - gondolta a lány.	- Chắc chàng lo thu xếp cho xong mọi công việc để nay mai từ giã nước Pháp.
A tekintete két nyitott levélre tévedt.	Mắt nàng vô tình dừng lại trên hai bức thư chưa gấp.
"Az ő drága Annette-ja!	- Em Anet thân yêu!
Nincs remény!...	Còn gì nữa mà mong!
Ezek a gondolatok hasítottak az agyába, a szívébe.	Mấy ý nghĩ ấy xuyên qua óc nàng, tim nàng.
Ezeket a szavakat látta lángbetűkkel felírva mindenüvé, még a padlóra is.	Mấy chữ ấy, nàng đọc thấy khắp nơi, ngay cả trên nền gạch hoa, bằng những nét lửa.
"Máris lemondjak róla?	- "Ta đành phải từ bỏ chàng rồi ư!
Nem, nem olvasom el ezt a levelet.	Không, ta không nên đọc thư này.
El kell mennem innen... És ha mégis elolvasnám?"	Ta phải đi thôi... Thế nhưng nếu ta đọc thì đã sao?"
Eugénie anyaként emelte fel az ernyedt kart, és anyaként, gyengéden megcsókolta Charles haját.	"Em Anet thân yêu!" Hình như có một con quỷ dữ cứ thét mãi mấy tiếng ấy vào tai nàng.
"Drága Annette-om!" - egy démon e két szót kiáltotta a lány fülébe.	Nàng thầm nghĩ: - Ta biết thế là sai, là sai, nhưng ta cứ phải đọc thư.
- Tudom, hogy rosszat cselekszem, de mégis elolvasom ezt a levelet - suttogta Eugénie.	Nàng quay đầu đi, bởi vì đức tính trung thực cao quý của nàng phản đối.
Elfordította a fejét, mert nemes szíve háborgott.	Trong tâm trạng này, lần này là lần đầu thiện và ác chạm trán nhau.
Életében először tusakodott bensőjében a jó és a rossz.	Cho đến nay, chưa bao giờ nàng phải thẹn thùng xấu hổ vì một hành vi nào cả.
Eleddig egyetlen tette miatt sem kellett pirulnia.	Nhưng lần này, lòng say đắm, trí tò mò dã chiến thắng và khiến nàng đọc thư.
Győzött a szenvedély és a kíván­csi­ság.	Mỗi câu, mỗi đòn làm cho quả tim nàng giãn ra.
Mondatról mondatra erősebben sajgott a szíve, és a mardosó vágy, amely életét fel­kavarta a levél olvasása közben, még édesebbé tette számára az első szerelem gyönyörűségét:	Một luồng nhiệt khí bốc lên trong người làm tăng cái ý vị say sưa của mối tình đầu.
Apám megölte magát, a vagyona, az enyémmel együtt, az utolsó fillérig el­veszett.	Cha anh vừa tự tử, cả gia tài của người lẫn của anh đều tiêu tán.
Azzal töltöttem az éjszaka egy részét, hogy számadást végeztem.	Anh đã thức một phần đêm nay để suy nghĩ.
