A SZAMÁRBŐR	Miếng Da Lừa
A grófnő fagyos volt, engem rossz előérzet gyötört.	Khi vở hát chấm dứt, nàng bảo tôi: - Anh đi với tôi!
– Haza fog kisérni, – mondta, darab végeztével.	Thời tiết bỗng thay đổi một cách đột ngột.
Foedora kocsija nem jöhetett egészen a szinház kapujáig.	Xe của Foedora không tới được tận cửa nhà hát.
Pokoli keserüség hasogatta férfiui büszkeségemet, s mindama hiuságot, ami belém szorult.	Tất cả cái gì làm nên con người và hàng nghìn điều tự ái của nó bị một nỗi đau đớn thảm hại nghiến nát trong tôi.
Ezt a néhány szót: "Nincs pénzem, jó ember!" nyersen vetettem oda keserü nagy bosszuságomban.	Mấy tiếng: - Tôi không có tiền lẻ, anh bạn ạ!
A lakáj félretaszitotta a hordárt és a lovak nekiiramodtak.	Bản thân tôi xưa kia đã từng đem cho bảy mươi vạn quan một cách dễ dàng!
Elhallgattam.	Tôi im lặng.
A kandalló elé telepedtünk.	Giây phút thật khủng khiếp.
– Franciaországba való visszatértem óta vagyonom kisértetbe hozott már néhány fiatalembert.	Vào tới buồng nàng, chúng tôi ngồi xuống trước lò sưởi.
Az asszony mindenkor a megszégyenülés lehetőségével kerül szembe, mikor feltéve azt, hogy szeretik, eleve elháritja magától ezt a mindenképpen hizelgő bizonyságot.	Người đàn bà sẽ tự chuốc lấy sự xỉ vả khi, tưởng mình được yêu, họ đi bước trước sự cự tuyệt một tình cảm thường xuyên mơn trớn họ.
Kétségkivül jól megfontolta minden szavát s megcsinálta magában e jelenet programmját.	Chắc hẳn nàng đã nghiền ngẫm những lời nói đó và đã trù tính cái cảnh đó.
Abban az órában Foedora tudtán kivül végiggázolt minden reménységemen, megtiporta életemet és szétdulta egész jövőmet, azzal a semmibe sem vevő gondatlansággal, azzal az ártatlan kegyetlenséggel, amelylyel a gyermek, puszta kiváncsiságból, kitépegeti a lepke szárnyait.	Lúc này Foedora đang vô tình giày xéo lên hết mọi niềm ước vọng của tôi, làm tan nát cuộc đời tôi và phá hoại tương lai tôi một cách vô tâm lạnh lùng và độc ác vô tội như đứa trẻ tò mò xé nát những cánh bướm.
– Később, – folytatta Foedora, – remélem, be fogja ismerni, hogy igaz hajlandóság az, amit barátaimnak felajánlok.	Foedora nói thêm: - Sau này, tôi mong thế, ông sẽ nhận rõ rằng mối tình thân mến của tôi đối với những người bạn là bền chặt.
Velük szemben mindenkor jónak és áldozatra késznek fog találni.	Ông sẽ thấy tôi bao giờ cũng hiền hậu và tận tâm đối với họ.
Az életemet is odaadnám érettük, de megvetne ön maga is, ha szerelmüket elfogadnám, anélkül, hogy viszonozni tudnám.	Tôi biết cống hiến cuộc đời tôi cho họ, nhược bằng tôi tiếp thu mối tình của họ mà không chia sẻ với họ thì ông sẽ khinh bỉ tôi.
– Ha azt mondom önnek, hogy szeretem, számkivet innen; ha közönyösnek vallom magam, azért büntet meg.	Sự im lặng không đẻ ra dự kiến gì; thưa bà, bà hãy coi việc im lặng của tôi là phải.
De vessük messze magunktól egyéniségünket.	Nhưng chúng ta hãy đẩy xa cái cá nhân của chúng ta.
Minden valószinüség szerint ön az egyedüli nő, akivel én, filozófusi mivoltomban, egy, a természet törvényeinek olyannyira ellentmondó elhatározást megbeszélhetek.	Có lẽ bà là người phụ nữ duy nhất mà tôi có thể cùng tranh luận kiểu triết gia một quyết định trái với quy luật tự nhiên đến thế.
Nemének más egyéneivel összehasonlitva, ön valósággal tüneményszámba megy.	So với những đơn vị khác cùng chủng loại với bà, bà là một hiện tượng.
Azt szeretném, ha jó szándékkal, együtt keresnénk a lélektani anomália okát.	Thế thì, chúng ta hãy thành tâm cùng nhau tìm ra nguyên nhân của sự bất bình thường về tâm lý đó.
Azokhoz a nőkhöz hasonlóan, akik el vannak telve magukkal és valósággal szerelmesek önön bájaikba, vajjon önben is megvan az a nagy önzés, mely megborzongatja arra a gondolatra, hogy egy férfiu tartozékává lesz, lemond saját akaratáról s olyan konvencionális felsőbbség hatalma alá kerül, mely sérti?	Phải chăng ở bà, cũng như ở nhiều người đàn bà kiêu hãnh về mình, nâng niu những ưu điểm của mình, có một lòng vị kỷ tinh vi làm cho bà kinh sợ khi nghĩ rằng mình thuộc về một người đàn ông, mình từ bỏ sự tùy ý của mình và phải phục tùng kẻ bề trên theo ước lệ nó xúc phạm tới bà?
Ezerszer szebbnek látnám ugy!	Theo tôi bà còn cao quý gấp nghìn lần hơn thế.
Megjárta talán az első szerelmével?	Có lẽ bà đã bị hành hạ một lần đầu tiên về tình yêu chăng?
Termetének eleganciáját, gyönyörü alakját félti talán az anyasággal járó elformátlanodástól és éppen ez egyik titkos oka huzódozásának a hevesebb szerelemtől?	Có lẽ việc bà đánh giá cao cái thân hình cao nhã của bà, cái bộ ngực tuyệt diệu của bà làm cho bà sợ những phá phách của việc đẻ con: phải chăng đó là một trong những lý do vững chãi âm thầm khiến bà không muốn được yêu quá nồng thắm?
A természet, mely született vakokat teremt, olyan nőket is teremthet, akik süketek, vakok és némák a szerelemben.	Xin bà đừng giận, tôi tranh luận, tôi nghiên cứu, tôi đứng xa dục tình hàng nghìn dặm.
Lehetséges, hogy nagyon is jogos ellenszenvvel viseltetik a férfiak iránt.	Thật sự bà là một đề tài quý báu để quan sát về y lý!
A magam részéről önnel tartok, s egy szálig rutnak, utálatosnak tartom valamennyit.	Bà không biết hết được giá trị của con người bà.
Igaza van, – folytattam szivemnek egy hatalmas dobbanása után, – önnek meg kell vetnie bennünket, mert nincsen olyan férfi a világon, aki méltó volna önhöz!	Bà có thể rất chính đáng ghê tởm bọn đàn ông; tôi tán thành bà, đối với tôi hết thảy họ đều xấu xa và khả ố. Bà quả thật có lý, - tôi vừa nói thêm vừa cảm thấy lòng đầy lên - bà khinh chúng tôi là phải: chẳng có người đàn ông nào xứng đáng với bà đâu.
Minek tálalnám elibéd most mindazt a sok szarkasztikus elmésséget, a melyekkel akkor nevetve dobálóztam!	Tôi không nói hết với cậu những lời cay chua mà tôi vừa nói với nàng vừa cười: Thế nhưng lời nói sắc nhọn nhất.
Csak hallgatott rám, megőrizvén ajka és szeme körül szokott mosolyát, azt a mosolyt, amelyet, akárcsak valami ruhát, tetszése szerint öltött magára bármikor a barátai, egyszerü ismerősei, vagy éppen idegenek kedvéért.	Nàng vừa nghe tôi nói vừa giữ trên môi, trong con mắt, cái nụ cười quen thuộc của nàng, nụ cười nó như chiếc quần áo nàng khoác lên mình, và vẫn nụ cười đó đối với bạn thân, đối với những người chỉ quen biết, đối với khách lạ.
– Nem szép tőlem, hogy minden ellenkezés nélkül maradok meg a boncolóasztalán?	- Tôi để cho người ta oặt thân mình trên một giảng đường như vậy chẳng là hiền lành lắm hay sao?
– Mint láthatja, – folytatta kacagva – barátaimmal szemben nem vagyok tulságosan aggodalmaskodó.	- nàng vừa cười vừa tiếp tục, đã là bạn thì tôi chẳng có những cái mếch lòng ngu ngốc!
Ilyen modorra más asszonynak az lenne a felelete, hogy ajtót zárna ön előtt.	Nhiều người đàn bà sẽ cấm cửa ông để trừng phạt điều xấc xược của ông đấy.
– Számüzhet maga mellől, anélkül, hogy okát kellene adnia szigoruságának.	- Bà có thể tống khứ tôi ra khỏi nhà bà mà chẳng cần phải nói lý do sự nghiêm khắc của bà.
Ezt mondva, ugy éreztem, hogy kész volnék megölni, ha csakugyan kiadja nekem az utat.	Khi nói điều đó, tôi tự cảm thấy sẵn sàng giết nàng nếu nàng đuổi tôi đi.
– Bolond maga, barátom, – mondta nevetve.	- Ông điên mất rồi, - nàng mỉm cười la lên.
– Gondolt már arra néha, mi mindenre képes a szenvedély?	- Có bao giờ bà đã nghĩ tới, - tôi nói, - những tác động của một tình yêu say đắm hay chưa?
Megesett már, hogy a kétségbe kergetett ember megölte kedvesét.	Một người đàn ông thất tình thường khi đã mưu sát tình nương.
– Megeshetik, hogy az ennyire szenvedélyes ember egyszer csak faképnél hagyja az asszonyát a szalmazsákon, mikor egész vagyonát elverte már.	- Một người tình như thế một ngày kia sẽ bỏ rơi vợ và mặc cho chị ta xơ xác sau khi đã ngốn hết tài sản của chị ta.
Csak ugy hüledeztem erre az aritmetikára.	Các bài tính đó làm cho tôi bàng hoàng.
Világosan láttam az örvényt, mely e nő és közöttem tátong.	Tôi trông thấy rõ một vực sâu giữa người đàn bà đó và tôi.
Nem értenénk meg egymást sohasem.	Không bao giờ chúng tôi có thể hiểu nhau được.
– Viszontlátásra holnap!	- Xin hẹn đến mai.
Egy pillanatra rámeredtem és tekintetemben ott égett egész szerelmem, melyről már lemondtam.	Cậu có hiểu thấu hết không, bạn thân mến.
Csak banális mosolygását láttam, a márványszobornak azt a mitsem érő mosolygását, mely szerelmet látszik kifejezni, de hideg.	bao nỗi đau lòng xâu xé tôi khi trở về nhà trong mưa và tuyết, chân xéo lên lớp giá đóng trên đường bờ sông, gài một dặm đường, lòng tan vỡ?
XXIV.	Chao ôi!
Elgondolni, hogy ő még csak nem is sejti az én nyomoruságomat, s eszébe sem jut, hogy nem vagyok gazdag, nem áll rendelkezésemre fogat, mint neki!	Biết rằng nàng cũng chẳng nghĩ đến cảnh nghèo của tôi và tưởng tôi, cũng như nàng, giàu có và ngồi xe êm ấm!
Mekkora bukás, mekkora csalódás!	Tan nát và tuyệt vọng!
Nem pénzkérdés volt ez többé, hanem az egész lelkem boldogulásának kérdése.	Vấn đề chẳng còn là tiền bạc, mà là mọi của cải về tâm hồn của tôi.
És szerettem, még mindig szerettem azt a hidegszivü asszonyt, akit lépten-nyomon ujra meg kell hóditanom, aki mindig megfeledkezve arról, amivel tegnap kecsegtetett, minden nap uj imádottként kerül utamba.	Và tôi vẫn yêu, tôi yêu người đàn bà lạnh lùng đó mà trái tim lúc nào cũng muốn được chinh phục, và nàng luôn luôn xóa bỏ những hứa hẹn hôm trước để xuất hiện hôm sau như một người tình nương mới.
Az Institut előtt elhaladóban átborzongott rajtam valami.	Khi đi vòng qua chỗ cửa xép của Học viện, tôi bỗng phát sốt.
Akkor ébredtem rá, hogy még semmit sem ettem.	Bấy giờ tôi mới nhớ ra là tôi đã nhịn đói.
Egyetlen árva fillérem sem volt már.	Tôi không còn lấy một xu.
A tetejébe még a kalapomat is elformátlanitotta az eső.	Khổ đến cùng cực là chiếc mũ tôi bị mưa làm méo mó.
Hogyan közeledhessem már most valami előkelőbb asszonyhoz, hogyan mutatkozzam a szalónjában, ha még csak tisztességes kalapom sincsen!	Từ nay làm thế nào mà tiếp xúc với một người đàn bà lịch sự, mà bước vào một phòng khách nếu không có một chiếc mũ tươm tất.
Mennyi titkos áldozatot nem hoztam én Foedorának e három hónap alatt!	Từ ba tháng nay tới đã chịu bao nhiêu hy sinh âm thầm vì Foedora.
Akárhányszor egy heti kenyérre valót áldoztam azért, hogy csak egy futó pillanatra lássam.	Thường khi tôi dùng số tiền mua bánh ăn cả tuần để tới thăm nàng một lúc.
Odahagyni a munkát és koplalni, még semmi!	Bỏ bê công việc và nhịn đói là chuyện thường.
Boldogságom, szerencsém fordult meg azon a petty sáron, mely netalán egyetlen fehér mellényemre feccsent!	Nhưng đi qua các phố Paris mà không để vấy bùn, chạy để tránh mưa, tới nhà nàng quần áo cũng tươm tất như những chàng hợm vây quanh nàng, chà!
Lemondani a látásáról, ha besároztam magam vagy átáztam!	Đối với một thi sĩ mê gái lơ đãng, công việc đó khó khăn vô cùng.
Nem rendelkezni még azzal az öt souval sem, ami az utcasarki cipőtisztitónak járna, hogy lekeféltessem lábamról a sarat!	Hạnh phúc của tôi tình yêu của tôi lệ thuộc vào một vết bùn trên chiếc gilet trắng duy nhất của tôi!
Szenvedélyem nőttön-nőtt e sok apró kinszenvedés közben, mely végtelenül elgyötri az érzékeny embert.	Đành phải từ bỏ việc đi thăm nàng nếu tôi bị lấm bùn, nếu tôi bị mưa ướt.
A nyomorgók nem beszélhetnek az ő nagy áldozataikról azoknak az asszonyoknak, akik fényüző, elegáns világban élnek.	Không có lấy năm xu để thuê một người đánh giày lau vết bùn nhỏ nhất trên ủng của tôi.
Ezek a nők olyan prizmán keresztül nézdegélik a világot, mely aranyosra fest embereket és dolgokat egyaránt.	Mối tình của tôi tăng thêm vì bao nhiêu những bực bội nhỏ nhặt âm thầm đó, mà là to lớn đối với một người nóng tính.
Az efajta nők optimisták önzésből, kegyetlenek a bon ton kedvéért, s már csak mulatságaik miatt sem érnek rá elmélkedni a mások bajairól.	Kẻ nghèo khổ có những việc hy sinh mà họ không được phép nói với những người đàn bà sống trong cảnh sang trọng và lịch sự; các bà này nhìn thiên hạ qua một chiếc lăng kính nhuộm người và vật một màu vàng.
Ha a szerelmet nagy áldozatokkal kell bizonyitani, viszont fátyolt is kell ez áldozatokra vetni és hallgatni róluk mélységesen.	Đối với họ một đồng xu không bao giờ là một triệu, mà chính là triệu bạc đối với họ chỉ như một xu.
Az ő hallgatásuk beszél, s fátyluk átlátszó, mig engem kimondhatatlan szenvedésekre kárhoztat a szükölködés, s még csak annyit sem szabad mondanom neki, hogy "Szeretem!" vagy hogy "Meghalok!" De áldozat volt-e mégis mindez?	Đối với họ sự im lặng nói lên và tấm màn kia là một vẻ duyên dáng, còn như cảnh nghèo khổ bi đát của tới bắt tôi chịu những nỗi đau đớn kinh khủng mà không cho phép tôi được nói lên: Tôi yêu!
A grófnő életem legközönségesebb eseményeinek is megadta a maga zománcát s fontosakká, gyönyörüségesekké tette őket szememben.	Phải chăng tôi đã được đền bù đầy đủ bằng niềm vui sướng của tôi được cống hiến tất cả vì nàng?
Annakelőtte alig törődtem valamit az öltözködéssel, most pedig olyan tiszteletben tartom a ruhámat, mintha második énem volna.	Nữ bá tước đã mang lại những giá trị tột bực, những lạc thú tràn trề cho những biến cố tầm thường nhất của cuộc đời tôi.
Nem igen haboztam volna, ha sebesülés, vagy a frakkom átlyuggatása között kellett volna választanom!	Xưa kia dửng dưng vì chuyện ăn mặc, bây giờ tôi tôn trọng chiếc áo lễ của tôi như bản thân thứ hai của tôi.
Most már fölfoghatod helyzetemet és elképzelheted, micsoda gondolatok kavarogtak bennem akkor.	Tôi sẽ không lưỡng lự giữa một vết thương đâm vào thân tôi với một đường rách trên tấm áo của tôi!
Szerencsét jövendöltem ebből az utolsó csapásból, melyet fordulópontnak szerettem hinni.	Tôi cảm thấy không biết cái niềm vui quỷ quái gì khi thấy mình ở đỉnh cao của bất hạnh.
A fogadóm kapuját nyitva találtam.	Cửa khách sạn tôi ở hé mở.
Az ablakok fatábláiba szivalakban vésett kis nyiláson keresztül fénysugár vetődött ki az utcára.	Qua những lỗ hình quả tim gục trên cánh cửa, tôi thấy một làn ánh sáng chiếu ra ngoài phố.
Pauline meg az anyja beszélgettek odabenn, rám várakozva.	Pauline và bà mẹ đang chuyện trò để chờ tôi.
– Raphael, – mondotta Pauline, – már csak többet ér, mint az a diák a hetedik számban!	- Ông Raphaël, - Pauline nói, - hơn hẳn cái anh sinh viên ở buồng số bảy.
Olyan szép szőke haja van!	Màu tóc hung vàng của ông ấy thật là đẹp!
Nem találod te is, hogy van valami a hangjában, ami egészen a szivéig remeg az embernek?	Mẹ có thấy trong giọng nói ấy có cái gì không biết nó xúc động lòng người ta không?
Nagyon, nagyon kedves ember!	Quả thật là ông ấy rất dễ thương!
Hiszem és vallom, hogy minden asszonynak bolondulnia kell utána.	Con chắc mọi người đàn bà đều phải say mê ông ấy.
– Ugy beszélsz róla, mintha szeretnéd!	- Con nói như con đã phải lòng cậu ấy rồi đấy.
– jegyezte meg Gaudinné asszonyság.	- bà Gaudin trả lời.
– Ugy szeretem, mintha bátyám volna, – válaszolt nevetve a leány.	Con yêu ông ấy như một người anh, - nàng cười đáp lại.
– Mekkora háládatlanság kellene hozzá, hogy még csak barátságot se érezzék iránta!	Nếu con không mến ông ấy thì con thật vô ơn!
Nem ő tanitott-e zongorára, rajzra, nyelvtanra, szóval mindenre, amit csak tudok?	Ông ấy chẳng đã dạy con âm nhạc, vẽ, văn phạm, nghĩa là đủ mọi thứ đó sao?
Azután meglehetős zajjal jöttem előre ujra és beléptem a szobába, hogy átvegyem a lámpámat, melyet Pauline készségesem gyujtott meg számomra.	Tôi nhẹ nhàng rút lui; và, sau khi làm cho có tiếng động, tôi vào gian buồng để lấy ngọn đèn của tôi mà Pauline định thắp.
Szükségem volt arra, hogy higyjek önmagamban, s megszivleltem az előnyösebb tulajdonaimról mondott részrehajlatlan itéletet.	Lời khen ngây thơ về con người tôi đó trả lại cho tôi một chút can đảm.
Az ekként föléledt reménység majd csak visszatükröződik talán azokon a dolgokon is, amelyekre a tekintetem vetődik.	Tôi đang cần tin ở bản thân tôi, và được nghe một lời phê phán vô tư về giá trị thật sự những ưu điểm của tôi.
Az anya, a tüzhely hamvadó parazsa mellé huzódva, harisnyát kötögetett, jóságos mosolylyal az arcán.	Bà mẹ ngồi bên lò sưởi đã gần tàn đan bít tất, và để thoáng trên môi một nụ cười hiền hậu.
Ugyancsak hatalmas szenvedély igája alatt kellett nyögnie annak, aki meg nem bámulta áttetsző, rózsás kis kezét, eszményien szép fejét, szüzies alakját!	Phải bị một dục vọng thật ghê gớm ngự trị thì mới không trìu mến những bàn tay trong suốt và hồng hồng của nàng, cái đầu lý tưởng và tư thái trinh thuần của nàng?
Az éjszaka meg a csönd tették oly bájossá ezt a munkálkodó virrasztást és e békés kis zugot.	Đêm hôm và yên lặng tô thêm vẻ kỳ thú cho cái cảnh thức đêm cần cù, cái cảnh gia đình yên vui đó.
Ez a folytonos és könnyü kedvvel végzett munka magasztos érzésekkel teljes, vallásos megadásra vallott.	Lao động liên tục và đảm đương một cách vui vẻ chứng tỏ một sự nhẫn nhục thiêng liêng đầy những tình cảm cao quý.
Foedoránál volt valami fásultság a nagy fényüzésben, mely fanyar gondolatokat ébresztett bennem.	Ở đây có sự hài hòa khôn tả giữa người và vật.
E két nő mellett, e megbámult falak között, hol a legegyszerübb élet inkább csak a sziv hevüléseiben lüktet, talán még meg is békélek önmagammal, módot találván arra, hogy protekciót gyakoroljak, a mit tudni és éreztetni oly jól esik az embernek.	Có lẽ tôi đã bị hạ mình trước cảnh sang trọng; gần hai người đàn bà này, ở giữa gian buồng màu nâu này mà cuộc sống đơn giản hóa dường như ẩn náu trong những xúc động của cõi lòng, có lẽ tôi hòa giải với bản thân tôi khi tìm thấy chỗ để thực hành sự che chở nó là điều mà người đàn ông rất muốn phô bày.
Fürgén szaladt a tejfölös csuporért, mint valami kis macska és oly kedvesen, oly szives arccal kinálgatta, hogy haboztam, ne fogadjam-e el.	- Nàng như một chú mèo con vồ lấy một bát đầy sữa, và xoắn xuýt đưa cho tôi, đưa tận sát miệng tôi một cách đáng yêu, làm tôi ngập ngừng.
– Kosarat kapok?	- Ông từ chối em à?
– kérdezte aggodalmas hangon.	- Nàng nói lạc giọng đi.
Ellágyultam.	Tôi cảm động.
Az a tejföl talán másnapi reggelije lett volna, mégis elfogadtam.	Bát kem đó có lẽ để cho nàng ăn điểm tâm hôm sau, mặc dầu thế tôi nhận.
Szegény leány igyekezett palástolgatni az örömét, de ha egyszer ott csillogott a szemében!	Cô gái tội nghiệp định giấu niềm vui của mình, nhưng nó long lanh trong đáy mắt nàng.
– Bizony megéheztem, – mondottam, asztal mellé ülve.	- Tôi đang cần uống, - tôi nói với nàng và ngồi xuống.
(Az ő homloka elborult egy pillanatra.) – Emlékszik még, Pauline, Bossuetnek arra a részére, amelyben azt fejtegeti, hogy Isten busásabban jutalmaz egy ital vizért, mint bármi győzelemért?	- (Một vẻ lo lắng thoáng qua trên trán nàng), Pauline, cô có nhớ đoạn văn nào Bossuet tả Thượng đế đền bù vì một cốc nước nhiều hơn là vì một chiến thắng không?
– Igen, – válaszolta.	- Có, - nàng đáp.
És ugy vert mellé a szive, mint a kis pacsirtáé, mikor gyerek kezébe kerül.	Và ngực nàng phập phòng như ngực một con chim sâu trong tay một đứa trẻ.
– Zongorám, – folytattam, mintha nem hallottam volna szavait, – Érard legjobb gyártmányai közül való.	Nụ cười của nàng che giấu một mối xúc động làm tôi ái ngại.
Ugy látszik, volt valami bánatos abban a hangban, amelylyel azt a pár szót kimondtam, mert a két nő olyan meghökkenéssel elegyes kiváncsisággal tekintett rám, mintha vesémig belém látott volna.	Cô đừng thắc mắc vì tôi thật sự chẳng thể mang nó đi theo được trong cuộc hành trình mà tôi dự định.
Itt volt, itt volt tehát az igazi, hamisitatlan, nem szenvelgett, fenkölt s talán tartós érzés, melyet én a nagyvilág fagyos régióiban kerestem.	Có lẽ do giọng nói buồn bã của tôi mách bảo, hai người đàn bà dường như hiểu tôi và nhìn tôi, giữa những miền băng giá của xã hội thượng lưu, thì ra lại ở đây, chân thực, không phô trương, nhưng thấm thía và có lẽ bền vững.
– Kár is azon annyit töprengeni, – mondta az anya.	- Đừng có băn khoăn nhiều như thế, - bà mẹ bảo tôi.
– Maradjon itten.	- Cậu cứ ở đây.
Az uram ebben a szent órában már utban van hazafelé.	Nhà tôi lúc này đang ở trên đường về rồi, - bà nói tiếp.
Ez a jel azt jelenti, hogy Gaudinnek semmi baja és siker kiséri utjain.	Điềm đó báo tin rằng ông Gaudin nhà tôi mạnh khỏe và khá giả.
Pauline megpróbálta azután még önnel is, meg a hetes számu lakónkkal. A kulcs csupán önnek fordult meg.	Pauline lại bói cho cậu và cho anh thanh niên ở phòng số bảy; nhưng chiếc chìa khóa chỉ quay cho cậu thôi.
Mindannyian gazdagok leszünk. Gaudin milliomosként fog visszatérni.	Tất cả chúng ta sẽ giàu có, ông Gaudin sẽ trở về với bạc triệu.
Ezek a szives, semmitmondó szavak, melyek hasonlitanak némiképp azokhoz a végnélküli dudolgatásokhoz, melyekkel az anya gyermeke fájdalmait csititja-csillapitja, megnyugtattak kissé.	Những lời thân ái mà vô tâm đó, giống như những lời ca mơ hồ mà một người mẹ hát cho con quên đau, đem lại cho tôi một phần thư thái.
Volt annak a jó asszonynak a szavában is, meg a tekintetében is valami jóleső szivesség, ami nem üzi el ugyan szenvedéseinket, de csillapitja, enyhiti, elringatja.	Giọng nói và vẻ nhìn của người đàn bà hiền hậu đó tỏ ra cái tình thắm thiết dịu dàng không xóa bỏ được ưu phiền, nhưng làm nó dịu đi, ru nó và làm nó giảm bớt.
Pauline élesebbszemü lévén anyjánál, nyugtalanul vetette rám fürkésző tekintetét, mintha életem titka és jövőm után kutatna.	Tinh ý hơn mẹ, Pauline lo lắng ngắm nhìn tôi.
Fejbólintással köszöntem meg a jót anyának, leánynak egyaránt.	Đôi mắt thông minh của nàng dường như đoán ra cuộc sống và tương lai của tôi.
Azután elmenekültem onnan, mert attól tartottam, ellágyulok.	Tôi nghiêng đầu cảm ơn hai mẹ con; rồi tôi bỏ đi, sợ mình bị xúc động.
Odafönn, kicsi padlásszobámban, mit tehettem mást, lefeküdtem.	Khi chỉ còn một mình trong buồng, tôi nằm trằn trọc với niềm bất hạnh của tôi.
Veszedelmes képzelőtehetségem ezer minden alapot nélkülöző tervet rajzolt elibém s képtelen elhatározásokra ösztökélt.	Trí tưởng tượng tai ác của tôi vẽ ra hàng nghìn dự tính không cơ sở và mách tôi những quyết định không thực hiện được.
Ah édesem, mi nagyon könnyen vádoljuk a nyomoruságot.	Bạn ạ, chúng ta kết án quá dễ dàng sự nghèo khổ.
Olyan gondolatok nélkül való, olyan erőtlen voltam én akkor, mint valami kislány, aki térdre rogyik a tigris előtt.	Lúc bấy giờ tôi chẳng có ý nghĩ, có sức mạnh như một người con gái quỳ phục trước một con hổ.
Pénz és szerelem nélkül még ura maradhat magának az ember, de az a szerencsétlen, aki szerelmes, nem ura többé önmagának, még csak meg sem ölheti magát.	Một người không tình và không tiền còn làm chủ được thân mình; nhưng một kẻ nghèo mà yêu đương thì không thuộc về mình nữa và không thể tự vẫn được.
Azzal a gondolattal szenderültem el, hogy másnap Rastignachoz megyek és beszámolok neki Foedora különös határozatáról.	Tôi đi ngủ với dự kiến ngày hôm sau ngỏ với Rastignac cái quyết định lạ lùng của Foedora.
XXV.	- A ha!
Néhány mamlasz, aki szörnyen irigykedett rád, hogy olyan hatalmad van a grófnő fölött, már házassági hireket terjesztett felőletek.	Vài kẻ tốt bụng ghen với uy thế của cậu đối với nữ bá tước đã báo tin cuộc hôn nhân của hai người.
Csak a jó Isten a megmondhatója, mi tücsköt-bogarat össze nem hordtak a versenytársaid, s mennyi pletykának nem tettek céltáblájává!	Có Trời biết, những trò điên rồ mà bọn địch thủ của cậu gán cho cậu, và những lời vu khống đối với cậu!
Elgondoltam minden fanyarkodásomat és tökéletesnek találtam a grófnőt.	- Tôi nhớ lại hết những điều càn rỡ của tôi và thấy nữ bá tước thật siêu việt.
Jól esett azt gondolnom, hogy hitvány ember vagyok, aki még nem lakolt meg eléggé, s az ő elnézésében nem láttam a szerelem kegyes türelménél egyebet.	Theo ý tôi, tôi đã là một gã súc sinh chưa từng đau khổ nhiều, và tôi chỉ còn thấy trong lòng khoan dung của nàng mối từ tâm kiên nhẫn của tình yêu.
Minden ügyességed mellett is lelkedbe látott.	Nàng khá kín đáo để không một sự che giấu nào thoát được mắt nàng.
Eléggé ért ő maga a tettető mesterséghez, hogy ne ismerjen irgalmat semmiféle komédiával szemben.	Tớ nghĩ rằng, hắn nói thêm, - tớ đã vạch sai đường cho cậu.
Rastignac siket fülekre talált.	Rastignac nói với một thằng điếc.
Félbe is szakitottam, látszatra vidáman közölve vele financiális helyzetemet.	Tôi ngắt lời hắn để làm ra điều vui vẻ và trình bày cái hoàn cảnh tài chính của tôi.
– Tegnap este valami buta véletlen megfosztott minden garasomtól, – válaszolta.	- Tối hôm qua hắn đáp, - vận xúi đã cuỗm hết cả tiền nong mà tớ sử dụng được.
– E nélkül az ostoba véletlen nélkül szivesen megosztottam volna veled az erszényemet.	Không mắc cái rủi ba bị đó, thì tớ vui lòng chia sẻ túi tiền với cậu.
De térnénk be talán villásreggelire valahová, hátha jó tanács kerül ki az osztrigáktól.	Nhưng thôi, hãy đi ăn hiệu đã, món sò có lẽ sẽ giúp ý kiến hay cho chúng ta.
Felöltözött, befogatott a tilburyjába, azután akárcsak két milliomos, a vakmerő szerencsevadászok arcátlanságával, akik képzeletbeli tőkékből élnek, bevonultunk a Café de Paris-ba.	Hắn mặc quần áo, sai thắng ngựa vào chiếc xe độc mã của hắn; rồi như hai tay triệu phú chúng tôi tới hiệu cà phê Paris, vẻ ngông nghênh như những tay đầu cơ táo bạo sống bằng những vốn liếng tưởng tượng.
Az az ördöngös gascon egészen zavarba hozott könnyed modorával, rendithetetlen nyugalmával.	Gã xứ Gascogne quái quỷ đó làm tôi lúng túng vì cử chỉ thoải mái và cái chững chạc vững vàng của hắn.
Mikor a pompás, jól megválogatott ebéd után a kávéhoz láttunk, Rastignac, ki egyre biccentgetett a fejével, egy sereg fiatalembernek, kik egytől-egyik kifogástalanok voltak ugy föllépésüket, mint ruhájuk eleganciáját tekintve, egy ilyen dandy beléptekor azt mondta nekem:	Lúc chúng tôi uống cà phê, sau khi đã chén một bữa rất ngon và rất đúng cách, Rastignac luôn luôn gật gật cái đầu với một lũ chàng trai cũng đều đáng mặt với cái thân hình duyên dáng và quần áo lịch sự của họ; khi thấy một trong những chàng công tử đó bước vào, hắn bảo tôi:
– Ezzel vásárt fogsz csinálni.	- Cái giải pháp của cậu đây rồi.
És a pompás nyakkendőt viselő embernek, ki megfelelő asztal után nézett, intett, hogy valami beszélnivalója lenne vele.	- Và hắn ra hiệu cho một tay quý tộc thắt cravat rất cừ, hình như đang tìm một chiếc bàn vừa ý, mời y đến nói chuyện.
Azért óvakodnék is belépni valami olyas dolgozószobába, amelynek ajtajára netalán az volna irva: Itt önmaga irhát az ember.	Vì vậy y chẳng dám bén mảng tới những phòng có biển đề như sau: Ở đây người ta có thể tự viết lấy.
