ALAIN-FOURNIER	Alain Fournier
Az osztályból nyolc-tízen verődtünk ilyen alkalmakkor össze, Seurel tanár úr mindig velünk jött.	Dịp ấy, mẹ hắn cho một chai nước chanh mà chúng tôi để dưới ghế ngồi giữa đám quần đùi khô cứng.
Minden okom megvan rá, hogy egy ilyen kirándulásunkat a legapróbb részletekig felidézzem magamban.	Tôi nhớ lại một cách cặn kẽ một trong những chuyến đi thường lệ như vậy.
Jasmin csacsija húzta a kordét a Cher felé, s rajta voltak a fürdőnadrágjaink, a limonádésüveg meg egyéb cók-mókjaink, s ott ült fent a bakon Seurel tanár úr is.	Trong chuyến đi đó, con lừa của Giacxmanh chở đến Sê quần đùi, hành lý của chúng tôi, nước chanh và ông Xơren, còn chúng tôi đi bộ phía sau.
Az volt az érzésünk, miénk a nyár, miénk minden boldogság a földön.	Lượt đi, có một cái bóng ngã xuống bức tranh ngây thơ ấy.
Csodálatos szép csütörtöki nap volt, kora délután.	Chúng tôi nhìn thấy Ginbêctơ Pôkơlanh đi đằng trước.
Csak egyetlen kis árnyék borult odafelé menet erre a kedves, ártatlan hangulatra.	Cô rời đường cái, vào một đường vòng, chắc chắn là đi mua sữa.
Egyszerre csak Gilberte Poquelint pillantottuk meg előttünk az úton.	Cậu bé Côphanh liền bảo Giacxmanh cho xe đuổi theo:
Arányos szép termetén bokorugrós szoknyát viselt és magasszárú cipőt.	- Chẳng phải lần đầu tao ôm hôn nó đâu - Giacxmanh trả lời.
Arca bájos volt és szemtelen, olyan csitri-kölyök arc, aki gyönyörű lánnyá érik.	Rồi hắn bắt đầu tuôn ra vô khối chuyện tục tĩu về cô và các bạn cô.
Coffin azzal biztatta Jasmint, hogy kapja el a fruskát.	Nhưng chả mấy nỗi, các anh hùng rơi dần khỏi bọn.
Mi úgy ahogy voltunk, kidüllesztett mellel hencegve utánavetettük magunkat a mellékutcába.	Có vài tiếng lục tục như gà mái, vài tiếng huýt sáo nịnh đầm.
Volt is köztük mindig vagy ötven-hatvan lépés távolság.	Liễu có thể ngăn được mắt người, chứ không ngăn được nắng.
Kukorékoltunk, kotkodácsoltunk utána egy kicsikét, megeresztettünk egy-két szerelmes füttyjelet s aztán visszafordultunk, abbahagyva az üldözést.	Chân giẫm trên cát và bùn khô, chúng tôi chỉ nghĩ đến chai nước chanh của bà góa Đơlusơ đang ngâm mát trong mạch nước Grăng Phông đào ngay bên bờ sông.
De hát akkor is úgy történt minden, akár a többi alkalommal.	Cũng như tôi, nhiều bạn đã không khát.
Néhányan, így jómagam is, sohasem tudtuk csillapítani így a szomjunkat.	Bạn thì vì tất cả những lý do đó cộng lại... Chả sao!
Hányszor hittük azt a Cher folyam kiszikkadt partjain, hogy ez a földi-forrás éden, e picike medence, hogy ennél nincs hűvösebb hely a földön.	Trên bãi bờ cằn cỗi của sông Sê, chúng tôi cảm thấy hình như nơi này cất giữ tất cả cái mát mẻ của đất.
Alkonyat felé éppoly gondtalanul baktattunk kezdetben vissza az úton, mint ahogy jöttünk.	Cũng như lượt đi, trời nhập nhoạng, chún tôi mới ra về, lòng hoàn toàn vô tư lự.
A Hegyi Forrás tanya felé vezető út helyén, mely később bekanyarodott az országútba, télen patak csörgedezett, nyáron viszont kiszáradt, járhatatlan vízmosta út volt, tele gödrökkel, vastag gyökerekkel, melyen el lehetett hasalni a sötétben a fák kétoldali hatalmas sorfala közt.	Dẫn lên đường cái, con đường Grăng-phông là một dòng suối về mùa đông, một lạch khô về mùa hè, nhan nhản những bó và rễ cây to, cứ thoai thoải đi lên giữa hai rặng cổ thụ như hai hàng rào.
Néhány játékos kedvű kölyök ezen indult el visszafelé.	Một bộ phận nhóm chúng tôi do nghịch ngợm đi vào con đường ấy.
Mi többiek: Seurel tanár úr, Jasmin, én s még egy pár pajtásunk inkább egy kényelmes, fövenyes ösvényen indultunk el, mely párhuzamosan futott a patakmederrel, a partmenti földek oldalán.	Còn chúng tôi cùng ông Xơren, Gaicxmanh, và nhiều bạn khác đi theo con đường cát êm chạy dọc cánh đồng bên cạnh, sonh song với con đường kia.
Olykor-olykor egy-egy kicsapódott hirtelen közülük és felberregett hirtelen dongó kis motorja.	Thỉnh thoảng, một con bất ngờ bứt ra, bổ nhào xuống, kêu vù vù và nghe rõ mồn một.
Milyen gyönyörű, nyugalmas nyári este volt!...	Đẹp sao buổi chiều hè thanh bình!...
Jasmin hirtelen kecske-bukával csatangolásairól kezdett mesélni, hol, merre járt, milyen uradalmakban, milyen birtokokon s különösképpen egy pusztulásra ítélt birtok ragadta meg a képzeletét, nem messze Vieux-Nançay-tól, a Sablonniére-pusztán.	Vào lúc chúng tôi lên đến đỉnh đồi, ở chỗ có hai tảng đá cổ khổng lồ có lẽ là dấu tích của một tòa lâu đài đồ sộ, hắn bỗng huyên thuyên về những lâu đài mà hắn đã thăm, đặc biệt là một lâu đài khá hoang tàn ở ngoại vi Viơ Năngxay: lâu đài Xabloanic.
ITT NYUGSZIK GALOIS, NEMES ÚR ÉS LOVAG,	Đây yên nghỉ chàng hiệp sĩ Gôloa
- Nocsak, nocsak!	- Dà!
- jegyezte meg Seurel tanár úr, könnyedén megvonva a vállát.	Giaxcmanh tiếp tục mô tả lâu đài, như thể hắn từng sống ở đấy.
Kissé feszélyezte, hogy ilyen irányba csapott a beszélgetés, de nem akarta kedvünket szegni, s nem szólt ránk, hiszen maholnap már meglett férfiak vagyunk.	Nhiều lần trên đường từ Viơ Năngxay trở về, chú Đuyma và hắn cứ băn khoăn đầy hiếu kỳ trước một ngọn tháp xám nhỏ thấp thoáng bên trên các ngọn thông.
Jasmin töviről hegyire lefestette előttünk a kastélyt, olyan aprólékosan, mintha egész életét ott élte volna le benne.	Ở đấy, nơi rừng sâu, hẳn có nhiều tòa ngang dãy dọc mà chú cháu hắn có thể đến thăm khi chủ vắng nhà.
Többször jártak arra, Vieux-Nançay-ból jövet nagybátyjával s izgatta képzeletüket a fenyők fölé emelkedő, beomlott szürke torony.	Một hôm, một người gác lâu đài mà chú cháu hắn mời lên xe đã đưa hai người về tòa lâu đài chưa quen biết.
Egy nap, amikor megint arra jártak, történetesen fölkérezkedett kocsijukra az erdőkerülő s megmutogatta nekik a különös birtok minden látnivalóját.	Luôn luôn chỉ có hai nhân khẩu ở đó thôi: một sĩ quan về hưu già gần như phá sản hoàn toàn và con gái ông.
Azóta azonban már az épületek nagyobb részét lebontották - ilyen híreket hallott róla - csak a tanyát hagyták meg s nem messze tőle egy kicsi, kéjlakszerű házat.	Hắn kể... hắn kể hoài... Tôi chăm chú lắng nghe, và linh cảm thấy rằng đó chính là chuyện mà tôi đã biết rõ.
Mindig ugyanazok az emberek tartózkodnak a tanyán, egy nyugdíjas, vagyonát vesztett katonatiszt, meg a lánya.	Bỗng như có phép mầu, những chuyện phi thường chẳng xảy ra thế này là gì.
Hogy itt járhatott akkor Meaulnes - a mi Meaulnes-unk, úgy ám!	- Này, tao bảo nhé, thằng Môn Sếu ấy mà, mày cón nhớ nó không, nhất định thằng Môn Sếu đã đến đó...
S hogy megvillant előttem váratlanul - messze Meaulnes-tól, anélkül, hogy a leg­csekélyebb reményt is tápláltam volna magamban valaha is ez iránt - az út, mely a ködbeveszett birtokra vezet, s melyen mintha már annyit, de annyit jártam volna a múltban.	Tôi không nghe hắn nữa, ngay từ đầu đã đinh ninh rằng hắn đoán đúng, rằng trước mặt tôi, xa Môn, xa mọi hy vọng, vừa mở ra rành rành và thật dễ đi, như một lối mòn quen thuộc, còn đương đến lâu đài không tên.
FLORENTIN NAGYBÁCSIMÉKNÁL	Ở NHÀ PHLORĂNGTANH
Florentin bácsinak affajta vidéki áruháza volt, és olykor nála töltöttük szeptember második felét.	Từ đêm ấy, tôi rất tin vậy, đầu gối tôi khỏi hẳn, không khiến tôi đau đớn gì nữa.
Minthogy túl voltam a vizsgáimon s nem akartam szeptember közepéig várni, szüleimtől kipanamáztam, hogy azonnal elengedjenek Vieux-Nançay-ba, a nagybátyámhoz.	Sinh sống ở Viơ Năngxay, nơi có lâu đài Xablonie, có toàn bộ đại gia đình ông Xơren, đặc biệt là nhà bác Phlorăngtanh, một nhà buôn, mà thỉnh thoảng chúng tôi đến nghỉ cuối tháng chín.
Azonban úgy döntöttem, hogy Meaulnes-nal mindaddig semmit sem közlök az egészből, amíg biztosan jó hírekkel nem kereshetem fel.	Được giải phóng khỏi thi cử, tôi không muốn chờ đợi nữa, và được cha mẹ cho tôi tới thăm bác ngay.
Hosszú időn át Vieux-Nançay volt álmaim városa, ó, hogy szerettem itt tölteni a szünidő utolsó heteit!	Nhưng tôi quyết định không báo gì cho Môn, chừng nào còn chưa chắc chắn sẽ mang đến cho anh tin mừng.
De sajnos, csak igen ritkán nyaraltunk itt, ha tudtunk valami alkalmatosságot bérelni, amin eldöcögtünk nagybácsimékhoz.	Thực vậy, ích gì việc lôi anh ra khỏi thất vọng, để rồi có thể đẩy anh sâu hơn nữa vào chính nỗi thất vọng đó?
És hogy telt-múlt aztán az idő szárnyalva, mert remek életünk volt itt, ezer dolog kötötte le figyelmem és sok-sok gyönyö­rűség bizsergette a szívem!	Ngày xưa, có chuyện bất hòa giữa gia đình tôi với nghành họ sốn gở đó, chắc chắn do vậy mà mỗi lần leo lên xe, Mili lại cầu nguyện rất lâu.
Náluk, ennél a népes családnál szálltunk meg minden alkalommal.	Chúng tôi xuống xe ở nhà bác trai Phlorăngtanh, và bác gái Giuyli.
Az áruház - melynek volt külön fűszer- és külön rövidáruosztálya - egyik oldalán több ablakával az országútra nézett, üvegajtós bejárata viszont a Templom térről nyílott.	Với những quầy hàng lương thực khô cùng gia vị và vải vóc, cửa hàng hướng ra đường bởi nhiều cửa sổ, và hướng ra quảng trường nhà thờ mênh mông bởi cái cửa ra vào lắp kính.
A népes család többnyire a nagyméretű, tágas konyhában tartózkodott, melynek ajtaja az üzletből nyílott.	và cũng chính thời đó, tôi thấy rằng chỉ nghỉ ở đó mới là nghỉ hè thật sự.
A falakon régi fényképek lógtak bekeretezve, megfakult iskolai csoport-képek, melyeken rajta volt apám is, tanítóképzős osztálytársai között - csakhogy nem lehetett egykönnyen megtalálni az intézeti egyenruhás fiúk koszorújában...	Trên tường treo những bức ảnh cũ, những nhóm thầy trò xưa đã ố vàng, trong đó có cha tôi - khá lâu chúng tôi mới nhận ra, vì cha mặc đồng phục giáo sinh đứng giữa các bạn của cha ở trường sư phạm...
Itt töltöttük többnyire a reggeli órákat, no meg az udvaron, ahol Florentin bácsinak dália-kertészete és gyöngytyúk-farmja is volt, mellesleg itt szoktuk pörkölni a kávét is a szappanosládákon üldögélve, s itt segítettünk kirakodni az udvaron mi is a különféle nagyságú dobozokból a különböző, gondosan becsomagolt holmikat, tárgyakat, melyeknek legtöbbször a nevét se tudtuk...	Đó là nơi chúng tôi thường chơi qua buổi sáng, chúng tôi cũng chơi buổi sáng ở mảnh sân, nơi bác Phlorăngtanh trồng thược dược và nuôi gà Nhật; nơi những người nhà bác ngồi lên các hòm rỗng vốn đựng xà phòng để rang cà phê, nơi chúng tôi dỡ những kiện hàng đựng đầy các thứ khác nhau mà chúng tôi không biết tên, được đóng gói cẩn thận.
S aztán, egész estig zsúfolva volt az áruház, parasztok jártak oda meg a környező rezidenciák kocsisai.	Suốt ngày, cửa hàng đầy khách, ấy là nông dân hay phu đánh xe ở các lâu đài lân cận.
Az üveges ajtó előtt kint ácsorogtak a környék messzebbi részeiből jött szekerek és csöpögött róluk a harmat, ahogy átláboltak a szeptemberi köd puha leplén.	Trước cửa ra vào lắp kính, dừng lại và biến dần vào sương mù tháng chín là những cỗ xe ngựa từ các vùng quê xa.
De aztán este, este nyolc után, mikor a lámpák fényében megabrakolták a lovakat - hogy gőzölgött az istállóban a bőrük, mily meseszépen!	Chị Mari Lui, con cả nhưng thuộc loại thấp bé nhất nhà, phải cuộn cho xong vải da thành súc, rồi xếp ngăn nắp trong cửa hàng.
Marie-Louise - ő volt a legidősebb unokanővéreim közül, de termetre egyike volt mégis a legkisebbeknek - szokta visszagöngyölíteni a posztókat s ő is rakta ismét szépen sorjába a pulton a szöveteket; Marie-Louise még bátorítgatott bennünket, hogy menjünk csak be és mulattassuk, amíg rakodik.	Thế là anh Phiêcmanh, các chị họ và tôi ùa vào cửa hiệu mênh mông, quay các cối xay cà phê, nhoài lên nhoài xuống các quầy hàng, và vì nền đất nện như mời chúng tôi nhảy, thỉnh thoảng anh Phiêcmanh lại lên nhà kho đựng thóc lấy xuống mấy cái kèn tơromban cũ đầy gỉ đồng.
Ilyenkor aztán Firmin meg én s a többi csitri, elözönlöttük az egész áruházat a függőlámpák fényében; a kávédarálót nyekergettük, erőmutatványokat mutattunk be a pulton, s néha Firmin fölszaladt a padlásra, hogy előbányásszon a lim-lomok közül egy-egy ócska trombitát - amik már zöldek voltak egészen az időtől -, mert annyira csábított bennünket a döngölt föld, úgy szerettük volna ropni rajta a táncot...	Giờ đây, tôi vẫn đỏ mặt khi nhớ lại rằng mấy năm trước, tiểu thư Gale đã có thể đến vào giờ này và bắt gặp chúng tôi với những trò con trẻ kia... Một buổi chiều tháng tám như bây giờ, trước khi trời tối một lát, tôi đang mải trò chuyện với Mari Lui và Phiêmanh, thì được trông thấy cô lần đầu tiên.
- Már régen nem lehet birtoknak nevezni - világosított föl nagybátyám.	- làm gì òn là Lâu đài - anh đáp - Người ta đã bán tất tật, và kẻ mua được, cánh thợ săn, đã triệt hạ các ngôi nhà cũ để mở rộng đất săn.
Biztosan össze fogsz találkozni de Galais kisasszonnyal itt nálunk; ha valamire szüksége van, ő szokott érte jönni; van, amikor lóháton, van amikor kocsin, de mindig ugyanazzal a vén gebével, a Bélisaire-rel... Istenem, micsoda különös vén állat!	Tiểu thư đích thân đến mua đồ ăn thức uống, khi cưỡi ngựa, khi ngồi xe, nhưng lần nào cũng một con ngựa, con Bêlide lụ khụ... Người với ngựa đi với nhau nom ngộ vô cùng!
Vagy tévedek? - Gazdagok voltak.	- Dù sao, họ cũng giàu chứ anh?
A múlt télen - nem is múlt télen volt, még az azt megelőző évben - akkor volt a legnagyobb cécó a birtokon, napokig tartó ünnepségek jelmezekben.	Mùa đông vừa rồi, không, mùa đông trước nữa kia, ông cho tổ chức một hội giả trang linh đình.
Káprázatos ruhákat, játékszereket; lovak, csónakok, hajók álltak a vendégek rendelkezésére.	Ông sai mua hay thuê vô số quần áo sang trọng, đồ chơi, ngựa, tàu thuyền.
S mindez csak azért volt, hogy a fiúnak, Frantz de Galais-nak kedvében járjanak.	Vẫn chỉ để mua vui cho Phrăng de Gale.
Azt mesélték, hogy éppen házasodik s hogy eljegyzését ünnepli ezúttal.	Gia đình bảo công tử sắp lấy vợ, và hôm ấy là lễ đính hôn.
S egy csapásra véget ért az egész; megszökött a fickó a kastélyból, azóta se látták... A tulajdonos felesége meghalt, s de Galais kisasszony hirtelen magára maradt az édesapjával, aki valaha tengerészkapitány volt.	Đùng một cái, mọi việc lỡ dở, chàng bỏ trốn, từ đấy chẳng ai gặp lại... Bà chủ qua đời, tiểu thư Gale bỗng trơ trọi với người cha, ông đại úy hải quân già.
- S még nem ment férjhez?	- Tiểu thư chưa lập gia đình ư?
- kérdeztem meg rövid hallgatás után Florentin bácsitól.	- sau cùng tôi hỏi.
- Nem - válaszolta elgondolkodva -, legalábbis nem hallottam semmi ilyesmit.	- Chứa, tớ chưa nghe nói gì về chuyện ấy.
Csak nem akarod megkérni a kezét?	Cậu sẽ cầu hôn chứ?
- Ó - mosolygott Florentin bácsi - ha nem ragaszkodik a hozományhoz, igazán remekül járna... Beszélnem kellene de Galais úrral... Olykor be-betér hozzám, ha kifogy a sörétje.	- Chà - anh Phiêcmanh thốt lên, miệng mỉm cười - Nếu cậu ấy không quan tâm đến của cải, thì đây là một đám tuyệt vời... Tớ có phải thưa với ông Gale không?
Ilyenkor mindig meg szoktam kínálni tavalyi törkölypálinkával.	Đôi lần ông vẫn đến tận đây mua đạn súng săn.
Gondoltam, addig nem is írok Meaulnes-nak az egész dologról, amíg nem láttam a lányt legalább.	Nỗi lo này buộc tôi không lộ cho Môn biết gì hết, ít nhất là cho đến khi tôi gặp tiểu thư Gale.
Nem kellett sokáig várnom.	Tôi không phải chờ lâu.
Beavattam őket a titokba, hogy miért jöttem idén ilyen szokatlanul korán Vieux-Nançay-ba.	Tôi đã tâm sự với hai chị về điều bí mật khiến tôi đến Viơ Năngxay sớm hơn dự định.
Egyikünk a pultra könyökölt, másikunk a tetején ült s éppen kölcsönösen elmeséltünk mindent egymásnak, amit csak tudtunk erről a rejtélyes fiatal lányról - igazán alig egynéhány dologról volt tudomásunk - amikor hirtelenül kerékzörgésre lettünk figyelmesek.	Đứng chống hai cùi tay trên quầy hàng hai ngồi chống hai bàn tay trên hế gỗ bôi dầu, chúng tôi kể cho nhau nghe những điều mình biết về tiểu thư bí ẩn - mà hiểu biết của ai cũng hạn chế lắm - vừa hay, tiếng bánh xe lăn khiến chúng tôi quay nhìn.
- Biztosan ő az! - suttogták halkan a lányok.	- Tiểu thư đây rồi - mọi người thì thào với tôi.
Pár pillanattal később megállt az üveges ajtó előtt a különös fogat.	Vài giây sau, cặp người ngựa kỳ lạ dừng lại trước cửa quầy hàng lắp kính.
Gömbölyűre faragott, ósdi tanyai alkalmatosság volt, formás kis ernyővel, vidéken sohasem láttunk még ilyesmit.	Một cỗ xe ngựa trang trại cũ kỹ với những tấm thanh xe tròn trị, giá hành lý đúc mà chúng tôi chưa từng thấy trong vùng.
Soha nem hittem volna, hogy ennyi kecsesség s ugyanakkor ennyi komolyság megférhet egy személyben.	Chưa bao giờ tôi thấy một cô gái duyên dáng và nghiêm nghị đến thế.
Ruhája annyira elkarcsúsította, hogy szinte törékeny volt egészen.	Trang phục của nàng tôn tấm thân mảnh mai đến như cỏ lá.
Nagy, gesztenyeszínű köpeny takarta a vállát, s amikor belépett a boltba, levette.	Một áo măng-tô dài màu hạt dẻ mà nàng cới ra lúc đi vào, khoác hờ trên vai.
Nehéz aranyszőke fürtök csüngtek a homlokába, s gyönyörű rajzú, finom metszésű arcába.	Một bộ tóc hoe dày phủ nặng trên trán và khuôn lấy bộ mặt thanh tú như vẽ.
Ha ilyen pillanatokban látta valaki, csodálkozását lassan szánalom váltotta fel s ez a szánalom annál szívszorítóbb volt, mentül jobban lenyűgözte őt de Galais kisasszony szépsége.	Đó là khi buồn bã, thất vọng, hay chỉ đăm chiêu thôi, khuôn mặt tươi sáng ấy thoán ghằn những nốt đỏ, như mặt một số người ốm nặng mà chính người ấy cũng không biết.
Firmin egy széket kerített neki valahonnan s a lány leült, hátával a pulthoz támaszkodva, míg mi ott ácsorogtunk körülötte.	Người nhà đẩy cho nàng một cái ghế tựa đáng véc-ni, nàng ngồi xuống, lưng dựa quầy hàng, còn chúng tôi vẫn đứng.
Fején fehér főkötőt viselt s a hasán összekulcsolta a kezét amíg beszélt, s közben ide-oda táncolt kedvesen a fejével.	Bác khôn khéo tiếp chuyện nàng, hai tay chắp trên bụng, cái đầu nửa dân quê nửa dân buôn chụp mũ bonne trắng khẽ lúc lắc.
Örültem is neki, hogy Julie néném szóval tartotta, legalább azzal is kitolódott az a pillanat - bevallom, eléggé féltem tőle - amikor nekem kell majd átvennem a beszélgetés fonalát.	Thành ra giờ phút tôi được nói chuyện với nàng tôi hơi run khi nghĩ đến giây phút đó - cứ chậm lại...
- Hiszen akkor nemsokára már kész tanító lesz magából - fordult hozzám de Galais kisasszony.	- Vậy là - tiểu thư Gale lên tiếng - anh sắp sửa thành thầy giáo?
- Én is szívesen tanítanék - mondta azután - ha édesapám akarná.	- Tôi cũng sẽ đi dạy học - nàng bảo - nếu cha tôi muốn.
Az elemistákkal foglalkoznék a legszívesebben, akárcsak a maga édesanyja...	Tôi sẽ dạy các em bé nhất, lớp một, như cụ bà của anh...
- Bizony - folytatta de Galais kisasszony - a falusiak mindig nagyon udvariasak és nyájasak, mindig szolgálatkészek velem.	- Ấy là, vì - nàng nói tiếp - bao giờ bà con nơi thôn dã cũng lịch sự, dịu dàng với tôi và sẵn sàng giúp đỡ.
Rendkívül szeretem őket.	Tôi yêu họ vô cùng.
De vajon érdem-e az magában, ha szeretem őket?...	Nhưng thử hỏi làm sao tôi có thể yêu họ?...
Mindhárman zavarban voltunk.	Như thế sẽ khó hơn nhiều...
S én bizony nem oltanám beléjük a vágyat - amit ön se fog elmulasztani minden bizonnyal, Seurel úr az első években, amikor tanítani kezd - én nem oltanám beléjük a vágyat, hogy csak csatangolják, csavarogják végig a világot.	Tôi sẽ không để còn trong họ cái thèm khát đi lang thang khắp chốn trên đời, như chắc chắn ông se làm, thưa ông Xơren, khi ông là phụ giáo.
Megtanítanám őket arra, hogy mi a boldogság, mely ott van mindig mellettük, a kezük ügyében, csak felismerni nehéz...	Tôi sẽ chỉ cho họ cách tìm thấy hạnh phúc ngay bên họ, niềm hạnh phúc có vẻ xa vời...
A mosolya felbiztatott, merésszé tett.	Nhìn thấy tôi, hẳn chàng không muốn tin?
Az volt az érzésem, hogy elérkezett a legalkalmasabb pillanat.	Thấy nàng mỉm cười, tôi bạo lên, biết đã đến lúc nói.
Nevetve fordultam hozzá:	Tôi cười cười:
- S mit szólna ahhoz, teszem azt, ha én netalántán ismerném ezt a "bolondos, felcseperedett fiatalembert"?	- Chàng trai cao ngồng điên rồ đó, nếu tôi quen thì sao?
Két öregasszony tipegett be, karjukon kosárral:	Vừa lúc đó, chuông cửa reo, hai bà hầu bước vào.
Bent, az óriás konyhában mindig, még augusztusban is égett a tűz.	Tiểu thư Gale từ chối vào và muốn đi ngay, bác bảo:
A kandallóban örökké pattogtak-lobogtak a száraz fenyőgallyacskák.	- Ông Gale hiện ở đây, đang nói chuyện với bác Phlorăngtanh bên lò sưởi.
Florentin bácsi felénk fordult.	Bác Phlorăngtanh chào tôi.
- Nagy újság van, François!	- Chào cháu, Phrăngxoa!
- kiáltott föl öblös, mély hangján.	- bác kêu to như thói quen nói lớn ở chợ , vì bác là nhà buôn.
- Igaz is, François - tette még hozzá, mintha csak abban a pillanatban ötlött volna az eszébe - meghívhatnád a barátodat is, Meaulnes urat... Ha ugyan jól emlékszem a nevére... Meaulnes-nak hívják, ha nem csalódom...	Mọi việc tôi đã cùng cụ trao đổi kỹ... Còn Phrăngxoa - bác nói thêm, tuồng như chỉ nghĩ đến chuyện này - cháu có thể rủ bạn cháu tới, cậu Môn... Đúng tên cậu ta là Môn không?
S amikor búcsúzóul felém nyújtotta kezét, éreztem, hogy valamifajta titkos szövetség kötődött meg közöttünk.	Mãi lúc này, tôi mới nhớ rằng ở trong bờ ao lâu đài kỳ lạ, trước đây Môn đã xưng tên với nàng...
Erősebb volt ez, mintha ezer meg ezer szót fecséreltünk volna rá, olyan erős szövetség, amit egyedül a halál téphet majd szét, olyasfajta barátság, mely sokkal szenvedélyesebb, mint egy halálos szerelem.	Khi nàng giơ tay cho tôi bắt để chào tạm biệt, giữa chúng tôi đã có, dứt khoát hơn bao lời nếu nói ra, một sự ăn ý ngầm mà chỉ có cái chết mới có thể phá vỡ, và một tình bạn còn cảm động, hơn một tình yêu lớn.
A konyhában pedig már ott foglalatoskodott nagynéném, a tüzet élesztgetve.	Tôi nghe anh Phiêcmanh bơm cái xe đạp dánh cho tôi ngoài sân, bác gái thì thổi lửa trong bếp.
Alig virradt még, amikor útra keltem.	Khi tôi đi ra, trời mới bửng.
JELENÉS AZ ORSZÁGÚTON	MỘT SỰ HIỆN HÌNH
Még soha nem voltam hosszabb úton biciklivel.	Chưa bao giờ tôi đi xa bằng xe đạp.
S ha egy egészséges fiatalember is remekül elszórakozik egy biciklivel, milyen varázslatos szerszámnak tűnhet fel egy olyan szegény fickó szemében, mint jómagam is voltam, aki hajdan esetlenül húzta a lábát, s ha csak pár kilométert bicegett így, hát már dőlt, ömlött róla a verejték!...	Nên từ lâu xe đạp đã là một đồ chơi thú vị đối với một thanh niên trạc tuổi tôi, thì hôm nay, ngay từ ki-lô-mét thứ tư, nó còn là hơn thù đối với một chàng trai tội nghiệp như tôi vốn trước đây chuyên đời cuốc bộ!...
Mert, talán mondanom se kell, Meaulnes szülőföldje felé repültem így, valósággal falva a kilométereket...	Bởi lẽ, cần phải nói ra, đây chính là đường đến nhà Môn, con đường mà tôi như uống mãi vào lòng.
Most is forgott éppen a szélben egy végeláthatatlan lapály közepén; valószínűleg vizet terelt egy közeli tanyába.	"Cách lối vào làng một đoạn", Môn từng bảo tôi khi tả làng anh cho tôi nghe, "có một bánh xe lớn có guồng quay trong gió...".
S ahogy elértem a nagy kanyarhoz, mindjobban kibontakozott, kinyílt előttem a táj... S amikor fent voltam már végre a hídon, a falu szélesen hömpölygő főutcája azonnal szemembe tűnt.	Mãi xế chiều cái ngày cuối thu ấy, tôi mới thấy chiếc bánh xe lớn quay trong gió trên một cánh đồng cỏ mênh mông, hẳn để guồng nước cho một vùng đất cây rẽ bên cạnh.
A nádak sűrűjében tehenek ténferegtek hazafelé, látni nem láttam őket, csak kolompjuk szava szólt az esti csöndben.	Đằng sau những cây bạch dương trên đồng cỏ, đã thấy hiện ra ngoại vi cửa làng.
Leugrottam a biciklimről s két kézzel fogva a kormányt, alaposan megnéztem a vidéket, ahová ilyen komoly hírrel a tarsolyomban toppanok be váratlanul.	Càng đi sâu vào con đường ngoặt vòng quanh con suối, phong cảnh càng mỹ lệ và mở ra thăm thẳm... đến cầu, tôi nhìn thấy phố chính.
A házak, melyekbe kis fahidakon, fapallókon lehetett bejutni, ott sorakoztak az út hosszában végighúzódó mély árok mentén.	Thấp thoáng sau những lùm lau sậy của thảo nguyên, lũ bò sữa đang gặm cỏ, tôi đã nghe rõ tiếng chuông cổ của chúng.
Olyanok voltak, mint sok-sok bevont vitorlájú, kikötött bárka, amint ott ringtak a békés szürkületben.	Tôi xuống xe, tí hai tay lên ghi-đông, ngắm làng quê mà tôi sắp đem vào một tin trọng đại.
Hirtelen inamba szállott minden bátorságom.	Đây là giờ nhà nào cũng nổi lửa.
Dédnagybácsim, Moinel apó, az öreg törvényszéki írnok, nem sokkal utána szintén jobblétre szenderült.	Các con bà đều chết cả rồi, mỗi người con út còn sống, đó là cậu Ecnet mà tôi có biết, sắp thành thầy giáo trường làng.
S nagynéném, minden különcködése ellenére is, maga volt a megtestesült jókedély.	Với biết bao tang tóc và tiếc thương, bà tỏ ra vừa lập dị vừa phúc hậu.
- Itt vagyok! Jövök már!	- Ôi, Lạy Chúa!
Arcában volt valami szokatlan, ilyenek lehetnek a mongol, a hottentotta nők.	Bà cười lặng lẽ, để lộ những chiếc răng còn lại rất xinh.
Át-átsuhant arcán a nevetés, ilyenkor megvillantak még meglevő finom kis apró egérfogai.	Nhưng trong lúc tôi ôm hôn bà, bà hối hả và vụng về nắm lấy một bàn tay tôi đang ở sau lưng.
S miközben megcsókoltam, ügyetlenül, sietős mozdulattal elkapta az egyik kezemet és suttyomban - pedig erre nem volt semmi szükség, hiszen rajtunk kívül senki sem tartózkodott a lakásban - belecsúsztatott egy kis pénzdarabot a tenyerembe.	Với một sự bí ẩn hoàn toàn vô ích bởi vì chỉ có hai bà cháu thôi, bà lẹ bỏ vào tay tôi một đồng tiền nhỏ mà tôi không dám nhìn, chắc đấy lá một phrăng... Rồi vì tôi làm bộ xin giải thích cho, hay cảm ơn, bà bắt ngờ bợp tai tôi và kêu lên:
- Hagyd csak!	- Cút đi!
- Sose nőtt be a fejem lágya, és mindig boldogtalan voltam - sóhajtott magas, rikácsoló hangján, melyben azonban mégsem volt keserűség.	- Cả đời bà ngốc nghếch và khốn khổ - bà nói không chút đắng cay, nhưng giọng cao vút đến đáng sợ.
