A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Kongre és Carcante kihasználták a késedelmet, és visszatértek a barlanghoz - ezúttal a toronyőrök bárkáján, amely nagyobb volt a Maule csónakjánál.	Kongre và Carcante lợi dụng thời gian chờ đợi ấy để quay trở lại hang đá, và lần này bọn chúng dùng xà lúp của tổ gác đèn để đi lại vì chiếc này lớn hơn xuồng cứu hộ của thuyền buồm.
A bárka január 14-én délelőtt indult útnak.	Chiếc xà lúp lại ra đi vào sáng ngày 14 tháng Giêng.
Indulás előtt, mint mindennap, Carcante felment a torony körfolyosójára, hogy szemügyre vegye a láthatárt.	Cũng như mọi ngày, trước khi rời tháp đèn, Carcante leo lên hành lang trên của cây đèn để quan sát chân trời.
A nyílt tenger kihalt volt, egyetlen hajót sem lehetett látni, még a pecsera indiánok bárkáit sem, amelyek pedig gyakran elkalandoztak egészen a New Year-szigetek keleti vizeiig is.	Ngoài khơi lúc này vắng vẻ, không có bóng dáng một con tàu nào, ngay cả những tàu đánh cá của thổ dân đôi khi thấp thoáng ở các đảo bắc cũng không.
Bár a dolog nem adott okot nyugtalanságra, szívesebben vette volna, ha megszabadulhat tőle, és alkalom­adtán meg is teszi.	Mặc dầu không mấy bận tâm, nhưng nếu như được thì vẫn hơn, một khi có cơ hội.
A partvidék ugyanolyan kihalt volt, mint az öböl.	Trên đảo cũng vắng vẻ như trên mặt biển.
Csak a sziklafalon fészkelő madarak ezreinek szárnysuhogása, rikácsolása tanúskodott életről.	Thỉnh thoảng vài con chim biển cất tiếng kêu khi bay về tổ trên vách đá.
Kongre és Carcante kiszállt, őrségben hagyta két emberét, ők pedig bementek a barlangba, ahonnan fél óra múlva bukkantak elő ismét.	Kongre và Carcante lên bờ sau khi cắt cử hai tên ở lại coi xà lúp.
Úgy tűnt, hogy a dolgok ugyanabban az állapotban vannak, ahogy otthagyták őket.	Chúng tiến về phía hang đá và ra khỏi hang nửa giờ sau đó.
Igaz, olyan összevisszaságban hevertek ott különféle tárgyak, hogy még egy lámpás fényénél sem állapít­hatták volna meg, hiányzik-e valami.	Thực ra, mọi thứ trong đó được vất chỏng chơ, không theo một trật tự nào, cộng thêm thứ ánh sáng lờ mờ trong hang, thật khó mà biết được nó có suy suyển gì không.
A bárkára vitték őket, és már induláshoz készülődtek, amikor Kongre kijelentette, hogy a San Juan-fokhoz akar menni.	Chúng đặt hòm lên xà lúp và đang định quay về thì bỗng nhiên Kongre nảy ra ý định chạy thẳng đến mũi San Juan.
Onnan északi és déli irányban is áttekinthetné a partszakaszt.	Từ chỗ đó hắn có thể quan sát bờ biển theo hướng từ nam ra bắc.
Carcante és Kongre felmászott tehát a sziklafalra, és leereszkedett a fok legvégéig.	Hắn cùng Carcante đi lên đỉnh vách đá rồi men xuống đầu mũi.
- Senki - mondta Carcante.	- Không có ai cả - Carcante nói.
- Úgy van... senki!	- Đúng... không có ai!
- felelte Kongre.	- Kongre đáp.
Mindketten visszatértek hát a bárkához, s mivel megkezdődött a dagály, az áramlattal vitették magukat.	Cả hai tên cùng trở về xà lúp và lợi dụng nước triều đang lên, chúng cho xuồng lướt trên sóng.
Három órára vissza is értek az Elgor-öböl kikötőjébe.	Trước ba giờ, chúng đã về tới cuối vịnh Elgor.
A szárazföldre vittek egy hajókötelet, hogy azzal vontassák a fövenyre a kétárbocost, mihelyt a vízszint eléri a megfelelő magasságot.	Một sợi dây buộc tàu được dùng vào việc kéo chiếc thuyền buồm lên bãi cát khi nước đã dâng cao đến đó.
A művelet önmagában nem ígérkezett sem nehéznek, sem veszélyesnek, hiszen a dagálynak kellett elvégeznie a munka oroszlánrészét.	Đúng ra thì thực hiện việc này không mấy khó khăn vì nước triều đã giúp chúng làm mọi thứ.
Mikor a tengerszint változása elérte a holtpontot, meghúzták a sodronykötelet, és a Maule-t a fövenytől a lehető legtávolabbra vontatták.	Ngay khi nước triều đã lên đủ cao, chúng kéo căng sợi dây buộc thuyền và kéo nó lên bờ cát, càng xa bên trong càng tốt.
Már csak az apályt kellett megvárni.	Sau đó, chỉ còn chờ triều xuống.
Egy óra tájban előbújtak a víz alól a sziklafalhoz leg­közelebb eső szirtek, s a Maule tőkéje homokot ért.	Vào khoảng một giờ trưa nước bắt đầu rút để lộ ra những tảng đá ở gần vách đá và đáy của chiếc Maule bắt đầu chạm vào cát.
Csak néhány órára lesznek kénytelenek minden nap fel­függesz­teni a munkálatokat, mivel a kétárbocost nem lehetett egészen a sziklafal lábához vontatni, ezért a dagály visszatértével a víz megemeli a hajót.	Tuy nhiên, vì không thể đưa tàu vào sát vách đá được nên công việc sửa tàu vẫn phải gián đoạn vài tiếng đồng hồ mỗi ngày khi nước lên.
Másrészt mivel ettől a naptól fogva a vízszint egyre alacsonyabbá válik, a tétlenség órái is fokozatosan lerövidülnek, és két héten keresztül a munkát megszakítás nélkül lehet folytatni.	Mặt khác, cũng vì từ hôm đó trở đi, nước biển xuống thấp dần cho nên thời giờ nhàn rỗi cũng giảm dần và đến mười lăm ngày sau thì công việc đã có thể tiến hành liên tục.
Így hozzáférhetővé váltak a helyettesítendő bordák és bordapántok.	Chỗ ván gỗ phẳng và cong mang từ trong hang ra dư dùng.
A legtöbb nehézséget az okozta, hogyan távolítsák el a kicserélendő borda­pántokat és bordákat.	Những chi tiết này được gắn bằng đinh tán bằng đồng, nối liền nhau bằng cách chốt gỗ.
Magától értetődik, hogy az első napokban a tenger tetőzéskor meg kellett szakítani a munká­latokat.	Tất nhiên là trong những ngày đêm, công việc cứ bị gián đoạn khi nước triều lên.
A legfontosabb az volt, hogy legalább a burkolat visszakerüljön a helyére, mire a tengerár ismét megélénkül.	Nhưng quan trọng nhất là phải sửa chữa vỏ tàu trước khi triều cường trở lại.
Napközben haladt el a San Juan-fok magasságában.	Tàu qua mũi San Juan vào ban ngày, xuất hiện từ lúc sáng sớm, và khuất dạng trước lúc mặt trời lặn.
Napkelte után bukkant fel, és napnyugta előtt már el is tűnt a láthatáron.	Có thể viên thuyền trưởng chưa biết rằng hải đăng đã bị tắt.
Kapitánya tehát nem vehette észre, hogy a torony nem világít.	Tàu thứ hai là một chiếc tàu ba buồm không rõ quốc tịch.
Esteledett, amikor feltűnt a San Juan-fok magasságában, és a sziget keleti partja mentén haladt a Several-földnyelvig.	Lúc đêm bắt đầu xuống là lúc tàu này xuất hiện ở mũi San Juan để men theo bờ biển phía đông đi về mỏm Several.
Carcante, aki az őrszobán ügyelt, csak a hajó jobb oldali zöld fényét látta.	Lúc này Carcante ở trong phòng trực, chỉ thấy ngọn đèn hiệu xanh bên mạn phải.
A vitorlás kapitánya és legénysége talán több hónapja úton volt, s akkor nem lehetett róla tudomásuk, hogy a torony építkezése már befejeződött.	Nhưng viên thuyền trưởng và thủy thủ đoàn của chiếc tàu buồm này có lẽ đã lâu chưa qua vùng biển này, nên không biết gì về sự có mặt của ngọn hải đăng ở đây.
Ez a háromárbocos elég közel haladt a part mentén ahhoz, hogy észrevehesse az onnan jövő fényjeleket, például a fok végében gyújtott tüzet.	Chiếc tàu ba buồm đó chạy khá gần bờ nên có thể nhận ra các tín hiệu, một ngọn đèn được thắp lên ở đầu mũi đá.
Vajon Vásquez megpróbálta-e felhívni magára a figyelmüket?...	Không biết Vasquez có tìm cách gây sự chú ý của nó không?
Akárhogy is történt, napfelkeltére a hajó már eltűnt a déli vizeken.	Nhưng dù sao thì vào lúc mặt trời mọc, con tàu ấy cũng đã biến mất ở phía nam.
Néhány más vitorlást és gőzhajót is észleltek a horizonton, amelyek valószínűleg a Malvin-szigetek felé tartottak.	Còn nhiều tàu buồm và tàu thủy khác cũng đã xuất hiện ở chân trời nhưng có lẽ chúng đều đi về hướng quần đảo Malouines.
A szél keletire fordult, és egyenesen az Elgor-öböl bejáratát ostromolta.	Gió nổi lên từ phía đông và thổi thẳng vào cửa vịnh Elgor.
A javítási munkálatokat ugyan nem fejezték be teljesen, a már kicserélt bordák, bordapántok és a burkolat szerencsére vízhatlanná tették a Maule törzsét.	May mắn làm sao, dẫu công việc sửa tàu chưa hoàn tất nhưng các rẽ đáy, rẽ sườn đã được thay mới sẽ làm cho vỏ tàu Maule không còn bị vô nước.
Ennek annál is inkább örülhettek, mert a tetőzés előtt álló dagály negyvennyolc órán keresztül emelkedett a hajótest mentén, és felállította a goelettet, de azért a tőke benne maradt a parti homokban.	Thật đáng ăn mừng việc này vì trong suốt bốn mươi tám tiếng đồng hồ giông bão giữa sóng gió mịt mù, nước biển dâng lên và con tàu đã đứng thẳng lên, vỏ tàu không còn bị chôn trong cát.
Kongrénak és társainak nagyon elővigyázatosnak kellett lenniük, nehogy egy újabb sérülés tovább késleltesse indulásukat.	Kongre và đồng bọn rất cẩn thận để tránh cho con tàu không bị hư hại có thể làm chậm trễ ngày khởi hành.
Rendkívül szerencsés körülmény volt, hogy a kétárbocos feneke fogva maradt.	Trong cơn gió bão, chiếc thuyền buồm tiếp tục đứng vững.
Elég hirtelen fordult át, de nem fenyegette az a veszély, hogy neki­csapódik az öböl szikláinak.	Nó bị sóng đánh khiến tròng trành dữ dội nhưng vẫn không hề có nguy cơ bị va vào bờ đá.
Február másodikától különben csökkent a dagályszint, és a Maule ismét beágyazódott a homokba.	Vả lại, bắt đầu từ mùng 2 tháng Hai, nước triều bắt đầu xuống và chiếc Maule lại đứng bất động trên bãi cát.
A bárka szaporán járt a barlanghoz azokkal az emberekkel, akikre Vargasnak nem volt szüksége.	Hơn nữa, việc chất hàng lên tàu không làm cho tàu phải khởi hành chậm trễ.
Egyszer Kongre, másszor Carcante kísérte őket.	Chiếc xà lúp đi đi lại lại về hang đá với những người không phải do Vargas chỉ định, khi thì Kongre, khi thì Carcante cùng đi với những tên này.
Minden útjuk alkalmával magukkal hoztak valamit a bárkán, a kétárbocos rakterébe szánt holmiból.	Cứ mỗi chuyến đi về của xà lúp thì một phần những đồ vật sẽ chất vào khoang thuyền buồm được chuyển về.
Mindezt átmenetileg a torony raktárában helyezték el.	Những thứ ấy, được tạm chứa trong nhà kho của hải đăng.
Így a berakodást könnyebben, szervezettebben bonyolíthatják majd le, mint a barlang előtt, az öböl bejáratánál, ahol a műve­letet megnehezíthette volna a rossz idő.	Như thế việc chất hàng sẽ được dễ dàng hơn, đều đặn hơn là nếu chiếc Maule chạy đến đậu trước cửa hang, nơi đó công việc sẽ đòi hỏi nhiều thời gian hơn.
A San Juan-fok partszakaszán az egyedüli védett hely a torony melletti kis öböl volt.	Trên bờ biển này, nơi kéo dài của mũi San Juan, không có chỗ nào kín đáo hơn cái vũng nhỏ, dưới chân ngọn hải đăng này.
Még néhány nap, és a javítások befejeztével a Maule indulásra kész lesz, be lehet rakodni a zsákmányt.	Chỉ còn vài ngày nữa thì công việc sửa chữa hoàn tất, chiếc Maule sẽ sẵn sàng ra khơi, lúc ấy nó ăn hàng ngày cũng không muộn.
Még arra is volt érkezésük, hogy orrától tatjáig, átfessék a Maule-t a hajóroncsokban talált festékkel.	Với mấy thùng sơn kiếm được trên các con tàu đắm, con tàu được sơn mới từ mũi cho đến lái.
Kongre arra használta fel az alkalmat, hogy átkeresztelje a kétárbocost, amely má­sodtisztje tiszteletére a Carcante nevet kapta.	Kongre cũng muốn nhân dịp này mà đặt lại tên cho chiếc thuyền, tên mới của tàu là Carcante, nhằm tôn vinh công trạng cho tên phó đảng.
Nem feledkezett meg a kötélzet ellenőrzé­séről sem, s néhány kisebb javítást eszközölt a vitorlázaton amely egyébként vadonatúj lehetett, amikor a kétárbocos elhagyta Valparaiso kikötőjét.	Hắn cũng không hề bỏ qua việc kiểm tra lại các lá buồm, sửa sang lại đôi chút mặc dầu trên giấy tờ khi xuất phát từ cảng Valparaiso thì dàn buồm của tàu hoàn toàn mới.
Nem maradt más hátra, mint a berakodás.	Kỳ triều cường đó rơi vào ngày 24 tháng Hai.
Hacsak valami közbe nem jön, a Carcante néhány napon belül kifuthat az Elgor-öbölből a nyílt tengerre, átjuthat a Le Maire-szoroson, s délnyugat felé fordulva teljes sebességgel a Csendes-óceán felé veheti útját.	Ngoại trừ những điều bất thường không tiên liệu trước được, chiếc Carcante sẽ ra khơi trong vài ngày nữa, nó sẽ ra khỏi vịnh Elgor, vượt qua eo biển Lemaire, thẳng hướng tây nam và căng buồm tiến vào Thái Bình dương.
Vásquez	VASQUEZ
Mióta a kétárbocos megérkezett az Elgor-öbölbe, Vásquez a San Juan-fok partvidékén élt, amelytől nem is akart eltávolodni.	Kể từ khi chiếc thuyền buồm đến neo ở vịnh Elgor, Vasquez quanh quẩn dọc theo bờ của mũi San Juan, nơi mà anh không muốn rời xa nữa.
Ha egy hajó be akar futni az Elgor-öbölbe, innen mindjárt jelezhet neki.	Nếu có con tàu nào đi qua vịnh, thì ít ra anh cũng có thể kêu cứu kịp thời.
Fölvennék a fedélzetre, ő figyelmeztetné a kapitányt, milyen veszély fenyegeti, ha a torony felé megy, elmondaná neki, hogy egy rablóbanda a hatalmába kerítette, s ha a kapitánynak nincs akkora legénysége, hogy fogságba ejtse vagy a sziget belsejébe kergesse őket, még mindig maradna ideje, hogy visszaforduljon a nyílt tengerre.	Khi ấy hẳn là người ta sẽ đón tiếp anh và anh sẽ báo cho thuyền trưởng của con tàu biết về mối nguy hiểm tàu có thể gặp nếu nó đi về phía hải đăng; anh sẽ cho họ biết hiện có một băng cướp đang làm chủ hải đăng, và nếu thủy thủ đoàn của tàu đó không đủ sức chiếm lại hải đăng hay xua đuổi bọn cướp ra khỏi đảo, thì nó vẫn còn đủ thời gian để chạy ra khỏi.
De nagyon kicsi a valószínűsége, hogy ez a lehetőség valóra válik, és miért is futna be bárki a hajósok által kevéssé ismert Elgor-öbölbe, hacsak nem kényszerítik?	Nhưng chuyện ấy thật là viển vông bởi vì nếu không bị bắt buộc thì con tàu nào chịu neo đậu ở đây, trong một cái vịnh mà người ta vừa mới được biết.
A legszerencsésebb pedig az lett volna, ha ez a hajó a csupán pár napos útra eső Malvin-szigetek felé tart, hiszen így sürgősen értesíteni lehetne az angol hatóságokat az Államok-szigeten lejátszódott eseményekről.	Khả năng dễ xảy ra nhất là con tàu ấy đi về quần đảo Malouines - chuyến đi chỉ trong vài ngày, và các nhà chức trách Anh có thể đã nhanh chóng được thông báo về các sự kiện đã xảy ra trên đảo Đa Quốc gia này.
Egy hadihajó tüstént az Elgor-öbölbe sietne, mielőtt még a Maule kifut: mind egy szálig leszámolhatna Kongréval és embereivel, majd segítene újra működésbe hozni a világítótornyot.	Và một chiến hạm có thể được phái ngay đến vịnh Elgor, trước khi chiếc Maule lên đường rời đảo, băng cướp sẽ bị tiêu diệt cho đến tên cuối cùng, sau đó người ta sẽ làm những gì cần thiết để cho hải đăng sáng trở lại.
Még mindig a kegyetlenül legyil­kolt társai emléke járt a fejében; arra gondolt, hogy ha a zsiványok elmennek a szigetről, talán büntetlen marad gaztettük, s arra, hogy milyen súlyos veszély fenyegeti a világvégi világító­torony fényének kihunyása óta az erre hajózókat.	Vasquez dũng cảm không nghĩ gì đến bản thân, chỉ nhớ đến hai bạn xấu số đã bị sát hại một cách thảm thương, chỉ nghĩ đến lúc bọn bất lương chạy khỏi đảo mà không hề bị trừng trị.
A kalózok barlangjában tett látogatása óta, egyébként - feltéve, ha rejtekhelyét fel nem fedezik - Vásquez biztonságban érezte magát ellátását illetően is.	Anh còn nghĩ đến những mối nguy hiểm to lớn sẽ xảy đến cho các tàu thuyền qua lại vùng biển này mà không còn được hải đăng hướng dẫn nữa.
A tágas barlang mélyen benyúlt a sziklafalba.	Hang này ăn sâu vào bên trong vách đá.
A banda itt húzta meg magát több éven keresz­tül.	Đây là nơi mà bọn cướp trú ẩn trong nhiều năm.
Itt halmozták fel a parton apálykor összeszedett aranyat, ezüstöt és egyéb értéktárgyakat.	Đây cũng là kho để cất giấu của cải cướp được như vàng bạc châu báu.
Sőt, Kongre és társai hónapokig éltek itt, eleinte abból a tartalékból, amit partraszálláskor magukkal hoztak, aztán a sok-sok, nemegyszer általuk előidézett hajótörésekből származó készletekből.	Cũng chính nơi này là Kongre cùng đồng bọn đã sống qua nhiều tháng dài nhờ vào số lương thực chúng mang theo và cả những thứ chiếm đoạt được từ những chiếc tàu đắm mà phần lớn là do chúng gây ra.
Vásquez csak a legszükségesebbet vette magához a készletből, nehogy Kongre és a többiek észrevegyenek valamit: egy kis láda kétszersültet, egy hordócska szárított húst, egy spiritusz­főzőt, mellyel tüzet gyújthat, egy forralókannát, egy bögrét, egy gyapjútakarót, egy váltás inget és harisnyát, egy vízhatlan köpenyt, két pisztolyt húsz tölténnyel, egy tűzszerszámot és taplót, egy lámpást.	Trong đám lương thực thực phẩm ấy Vasquez chỉ lấy những gì cần thiết, cốt sao bọn chúng không nghi ngờ gì cả: một thùng bích quy dùng cho các thủy thủ, một thùng thịt bò sấy khô, một bếp lò dùng để chế biến thức ăn, một ấm đun nước, một tách uống nước, một chiếc chăn len, một ít quần áo, vớ và cả áo khoác, hai khẩu súng lục và vài chục viên đạn, một bật lửa, một cái đèn, một cái bùi nhùi.
Egyébként a kihallgatott beszélgetések alapján úgy vélte, hogy a kétárbocos javítása hetekig is eltarthat, így még lesz alkalma felújítani kész­leteit.	Vả lại, nhờ vào những lời trao đổi của bọn cướp mà anh nghe được thì công việc sửa chữa tàu phải kéo dài nhiều tuần lễ, do đó anh còn có thể lấy thêm lương thực.
El kell mondanunk, hogy elővigyázatosságból - mivel a szűk üreget túl közelinek találta a barlanghoz; és félt, hogy fölfedezik - biztonságosabb és távolabbra eső rejtekhely után nézett.	Cũng cần nói thêm rằng, do thận trọng, vì thấy cái hốc đá mà anh hiện đang ẩn náu quá gần cái hang đá, anh đã đi tìm một chỗ nương náu khác xa hơn và an toàn hơn.
Ötszáz lépéssel odébb, a San Juan-fokon túl, a szoros melletti partszakaszon találta meg, amit keresett.	Chỗ ở mới đó cách nơi cũ khoảng năm trăm bước chân, nằm ở phía sau vách đá, hơi xa mũi San Juan hơn chỗ cũ một chút.
A szirtfalnak támaszkodó két magas szikla között nyílt egy barlang, melynek bejárata észrevehetetlen volt.	Nằm giữa hai tảng đá cao chống đỡ vách đá, có một cái hang mà bên ngoài khó nhìn thấy cửa vào.
Dagálykor a tenger majdnem a sziklák lábáig elért, de sohasem volt olyan magas, hogy elöntse ezt a barlangot, melynek finom homokjába nem keveredtek kagylóhéjak, és amely egyáltalán nem nedvesedett.	Vào lúc nước triều lên cao nhất, nước biển lên đến lưng chừng vách đá nhưng cũng không làm ngập lòng hang mà cát mịn đã phủ đầy, trong hang không hề có vỏ sò, vỏ ốc hay chỗ nào ẩm ướt.
Ide helyezte el tehát azokat a használati tárgyakat, amelyeket a kalózok barlangjából hozott el.	Anh liều mang các thứ lấy được của bọn cướp vào cất trong chỗ ẩn náu mới.
Kongre, Carcante és a többiek egyébként ritkán fordultak meg ezen a partszakaszon.	Nơi này, rất hiếm khi Kongre, Carcante hay những tên khác bước chân đến.
Vásquez csak egyszer látta őket a San Juan-fok csúcsánál, miután másodszor látogatták meg a barlan­got: ő a sziklák közé guggolva észrevétlen maradt.	Chỉ có một lần duy nhất mà chúng đến gần, đó là lần mà Vasquez vào sào huyệt của chúng lần thứ hai, khi ra anh bắt gặp bọn chúng ngồi ở gần mũi San Juan.
Ellenállhatatlan vágyat érzett, hogy találkozzék a bandavezérrel, és sajátkezűleg bosszulja meg szerencsétlen társai halálát.	Một sự ham muốn không nguôi trong anh là có ngày được gặp tên cầm đầu băng cướp để trả thù cho những người bạn xấu số bằng chính đôi tay của anh!
Arról meg is feledkezett, hogy a saját élete sem ér két garast, amíg a kétárbocos az öbölben horgonyoz.	Anh quên rằng mạng sống của anh rất mong manh, chừng nào chiếc thuyền buồm còn neo đậu lại trong vịnh Elgor.
- Vagyis hát... - háborgott - maradjanak csak a nyomorultak!	"Tuy nhiên... - anh kêu lên - chúng sẽ không thể chạy đi đâu được, bọn khốn nạn!
Itt kell lenniük, amikor a Santa Fé visszatér... ó, csak adná az Ég, hogy ne tudjanak elmenni!...	Chúng sẽ vẫn còn ở lại đó cho đến lúc chiếc Santa-fé quay lại... Chúa sẽ ngăn không cho chúng ra đi!"...
Vajon teljesül-e a kívánsága?	Mơ ước trên liệu có thành sự thực?
Még több mint három hétnek kell eltelnie, mire az ágyúnaszád feltűnik a sziget parti vizein!...	Phải mất hơn ba tuần lễ nữa thì chiếc tuần dương hạm mới có mặt ở ngoài khơi của đảo!
Másfelől Vásquezt meglepte, hogy a kétárbocos ennyi ideig vesztegel az öbölben.	Mặt khác, chiếc thuyền buồm neo đậu kéo dài không làm Vasquez phải ngạc nhiên.
Kongre megtudhatta a toronynaplóból, mikor érkezik a váltás.	Cuốn sổ trực trên hải đăng chắc hẳn đã cho Kongre biết thời gian tổ gác thứ hai ra đảo.
Bár már koromsötét volt, fennállt a veszély, hogy felfedezik, ha a banda valamelyik tagja netán arra jár.	Mặc dầu lúc đó đã tối mịt, anh cũng cố không để xảy ra nguy cơ bị bọn chúng bắt gặp.
Óvatosan osont hát a sziklafal mentén, a sötétséget kémlelve meg-megállt; hallgatózott, ha valami gyanús zaj ütötte meg a fülét.	Vì vậy anh thận trọng men theo vách đá đứng, vừa đi vừa nghe ngóng, quan sát bóng tối xem có tiếng động đáng ngờ nào vang tới.
Vásqueznek körülbelül három mérföldet kellett megtennie, hogy az öböl mélyére érjen.	Vasquez phải đi bộ khoảng ba hải lý mới đến được cuối vịnh.
Ugyanazon az úton ment visszafelé, amelyiken társai meggyilkolása után elmenekült.	Hướng này ngược với hướng chạy trốn lần trước, lúc hai người bạn bị sát hại.
Akaratlanul is egy fenyegető, dühös mozdulatot tett arra a gondolatra, hogy ezek a banditák bitorolják azoknak a szállását, akiket megöltek, és azét, akit megölné­nek, ha a kezük közé kerülne!	Một thoáng giận dữ, anh phác một cử chỉ đe dọa khi nghĩ rằng bọn cướp đang ở chỗ kia, nơi cư trú của những người mà chúng đã giết và của người chúng sẽ giết nếu như anh rơi vào tay chúng!
A kis öböl partjáig lopózott.	Anh rón rén đi ve phía bờ vũng tàu.
A kétárbocost az előző esti dagállyal emelték le a homokpadról.	Chính ở chỗ này chiếc thuyền buồm đã bị mắc cạn.
Vásquez azonban észrevette, hogy bár a kétárbocos lebeg a vízen, legalább két láb hiányzik még, hogy elérje a megszokott merülési szintet.	Tuy nhiên, Vasquez có nhận xét: chiếc thuyền buồm nổi còn thấp hơn đường mớn nước khoảng tám tấc nữa.
Lehetséges hát, hogy az indu­lást elhalasztották egypár nappal.	Như vậy phải mất vài ngày nữa, tàu mới ra khơi được.
Vásqueznek már csak kevés élelme maradt, így másnap elment a barlangba, hogy feltöltse készleteit.	Vậy là sáng mai, anh sẽ phải đi vào hang đá của chúng để lấy thêm lương thực.
Vásquez bement hát a barlangba.	Vascluez đi vào trong hang đá.
Még mindig egy csomó holmi volt odabenn, az értéktelenebbek, amelyekkel Kongre nem akarta megterhelni a Maule rakterét.	Anh vẫn thấy rất nhiều thứ trong đó, toàn những thứ vô giá trị mà Kongre không muốn mang xuống tàu làm gì cho chật chỗ.
Bárka közeledett a parthoz, fedélzetén Carcante és két társa.	Chiếc xà lúp đã tới mang theo Carcante cùng hai tên đồng bọn nữa.
Vásqueznek csak annyi ideje maradt, hogy visszarohanjon a barlang mélyére, elrejtőzzön a legsötétebb sarokban egy rakás vitorla és tartalékárboc mögé, amely a barlangban fog maradni, mivel a kétárbocoson nem tudják elvinni.	Anh chỉ còn kịp lao trở lại hang, núp vào chỗ tối nhất, ngay sau đống buồm chảo mà chiếc thuyền buồm không cần đến nữa, được vất lại trong hang.
Használni fogja az állandóan övében hordott pisztolyát.	Khẩu súng lục anh luôn giắt trong thắt lưng, anh sẽ sử dụng.
Csak ketten jöttek be a barlangba, Carcante és Vargas, a hajóács.	Chỉ có hai tên đi lên hang, đó là Carcante và tên thợ mộc Vargas.
- Már február 17-e van.	Tên thợ mộc nói:
Ideje elindulni - mondta a hajóács.	- Hôm nay đã là 17 tháng Hai, đã đến lúc phải nhổ neo thôi.
- Persze, el is fogunk indulni - felelte Carcante.	- Thì sẽ nhổ neo chứ sao - Carcante đáp.
- Már holnap?	- Ngay ngày mai?
- Gondolom, már holnap, mivel indulásra készen állunk.	- Theo tao tính thì ngày mai có thể ra khơi, tất cả đều đã sẵn sàng mà.
- Az időnek is jónak kell lennie - jegyezte meg Vargas.	- Nhưng còn phải xem thời tiết ra sao nữa chứ - Vargas nhận xét.
- Kétségtelen, és az idei ma reggel egy kicsit ijesztő volt... de majd csak kitisztul.	- Đúng thế, sáng nay trời như muốn bão, nhưng rồi sẽ ổn cả thôi.
- De ha itt kell még vesztegelnünk nyolc-tíz napot...	- Nếu không thì phải ở lại đây thêm tám hay mười ngày nữa không biết chừng.
- Igen - szólt Carcante -, akkor könnyen meglehet, hogy találkozunk a váltással...	- Đúng thế - Carcante nói - và như vậy rất dễ gặp bọn ra thay thế.
- Jaj, ne, csak azt ne!	- Không thể được!
- Nem bizony; ők húznának... föl minket az előtörzsvitorla rúdjára - felelte Carcante, egy ízes káromkodással fűszerezve szavait.	- Nếu gặp chiếc tàu quân sự đó thì nó sẽ xơi tái chúng ta đấy - Carcante nói và chấm dứt câu nói bằng một tiếng nguyến rủa.
Vásquez mozdulatlanul, lélegzetvisszafojtva hallgatta szavaikat.	Vasquez nghe rõ những lời trao đổi đó, anh im lặng, cố nín thở.
Carcante és Vargas fel s alá járkált, lámpással a kezében.	Carcante và Vargas đi đi lại lại trong hang với chiếc đèn trong tay.
Néhányszor olyan közel mentek ahhoz a sarokhoz, ahol Vásquez kuporgott, hogy ez utóbbinak csak a karját kellett volna kinyújtania, hogy mellüknek szegezze revolverét.	Đôi khi chúng lại tiến lại gần góc hang nơi Vasquez đang ẩn nấp, gần đến mức anh có thể xông ra mà gí súng vào ngực chúng.
Carcante még egyszer utoljára körülnézett a barlangban.	Carcante liếc nhìn lần cuối vào trong hang.
- Kár, hogy ennyi minden itt marad!	- Rất tiếc là phải để lại một số!
- mondta Vargas.	- Vargas nói.
Vásquez is elhagyta a barlangot, és visszament rejtekhelyére.	Tới lượt Vasquez ra khỏi hang và trở về chỗ ẩn náu của mình.
Így hát negyvennyolc óra múlva nem lesz mit ennie, márpedig ahhoz kétség sem fér, hogy Kongre és társai magukkal viszik a torony összes készletét is.	Như vậy là trong vòng bốn mươi tám tiếng nữa anh sẽ chẳng còn gì để ăn và vì bọn Kongre đã mang đi hết mọi thứ trong hang, Vasquez sẽ không tìm ra được một thứ gì nữa.
Mit eszik az ágyúnaszád visszatértéig, amely még ha semmi sem késlelteti, akkor is csak két hét múlva várható?	Nếu như nó không bị chậm trễ, thì cũng phải chờ đợi ít nhất là nửa tháng nữa?
A helyzet, amint látjuk, igen súlyos volt.	Tình thế lúc này rất nghiêm trọng.
Vásquez minden bátorsága és energiája sem javítha­tott rajta; legfeljebb a bükkerdőben kiásott gyökerekkel és az öbölben fogott halakkal tarthatja majd fenn magát.	Dù có can đảm, có nghị lực đến mấy thì Vasquez cũng không thể làm cho tình thế sáng sủa hơn, cho dù anh có thể sống nhờ đám rễ cây đào trong rừng sồi và nhờ cá câu được trong vịnh.
De ehhez a Maule-nak végleg el kell hagynia az Államok-szigetet.	Nhưng muốn vậy chiếc Maule phải sớm rời đảo.
Ha valamilyen oknál fogva még pár napot itt kell vesztegelnie, Vásquez menthetetlenül éhen hal a San Juan-foki barlangban.	Nếu vì lý do nào đấy buộc nó phải neo đậu lại đây nhiều ngày nữa thì Vasquez ắt sẽ chết vì đói trong hang đá, nơi mũi San Juan này.
Múltak az órák, és az ég egyre jobban beborult.	Ngày sắp qua, trời càng lúc càng trở nên u ám.
