Bovaryné	Bà Bô vary
Ez a hideg levegő-áramlat a Charrettes-utczából jött, a hol a nagy, fekete rakodóházak vannak, s a hol a negyed tonnás öreghordókat görgetik.	Tuy nhiên, ở phía dưới một chút, người ta lại được giải nồng bởi một luồng gió lạnh sặc mùi mỡ bò, da thuộc và dầu mỡ.
Emma félt, hogy nevetségessé válik, ha nagyon korán megy be a szinházba; azért azt kivánta, hogy előbb menjenek járkálni, a kikötő tájékára.	Đấy là làn hơi bốc lên từ phố Xe Bò, đầy những kho hàng lớn đen, trong đó người ta đang lăn những chiếc thùng.
Bovary, óvatosságból, a jegyet nem eresztette ki a kezéből, hanem, a nadrágja zsebében, a hasához szorította.	Sợ mình có vẻ nực cười, Emma muốn trước khi vào rạp, đi dạo một vòng trên cảng, và Bôvary, vì cẩn thận, giữ các vé trong tay, đút túi quần, để sát bụng.
Emmát már az előcsarnokban heves szívdobogás fogta el.	Nàng hồi hộp ngay từ cửa vào.
Hiusága önkéntelen mosolygásra késztette, a mikor látta, hogy a tömeg jobbra özönlik a másik feljáró felé, mig ő az első helyekre vezető nagylépcsőn mehet fel.	Nàng vô tình mỉm cười đắc ý thấy đám đông ùa vào phía tay phải qua hành lang bên kia, còn nàng lại leo cầu thang đưa lên dãy ghế hạng nhất.
A szinházi messzelátók előkerültek tokjaikból, és a bérlők, a mint messziről egy-egy ismerőst pillantottak meg, hajlongva üdvözölték egymást.	Rạp bắt đầu đông dần, người ta rút ống nhòm trong bao ra, và những khách thuê lô dài hạn, thấy nhau từ xa, chào nhau.
Azért jöttek, hogy a művészet szórakoztató világában kipihenjék az adás-vétel izgalmait; de nem felejtkezve meg üzleteikről, még most is gyapotról, alkoholról és indigóról beszélgettek.	Họ đến đây lấy nghệ thuật để khuây khỏa những lo lắng về buôn bán; nhưng chẳng quên được việc kinh doanh, họ còn chuyện trò về vải sợi, rượu mạnh hay thuốc nhuộm.
Látni lehetett soraikban sok öreg, kifejezéstelen és békés fejet, a melyek, fehérlő hajukkal és halvány ábrázatukkal, ólomgőztől fénytelenné vált ezüst érmekhez hasonlítottak.	Người ta thấy ở những người đầu già cả điềm tĩnh và bình thản với làn tóc và màu da trắng bệch giống như những chiếc huy chương bạc ám hơi chì.
A fiatal urak a földszinten páváskodtak, mellényük kivágásában rózsaszinű vagy almazöld nyakkendővel pompázva; és a mint kifeszített, sárga keztyüs tenyerükkel rátámaszkodtak sétapálczájuk arany gombjára, Bovaryné, felülről, csodálattal nézegette őket.	Những chàng trai trẻ đẹp, đứng vênh vang ở tầng dưới, phô ra ở khoang cổ áo gi-lê chiếc cavát màu hồng hay xanh táo; và Bà Bôvary, từ trên cao nhìn xuống, tán thưởng họ, họ tì trên những chiếc can nhỏ núm vàng, bàn tay của họ căng trong chiếc găng màu vàng.
Ekközben kigyultak a zenekar lámpái; a csillár lejebb ereszkedett a mennyezetről, csiszolt üvegein átragyogó fényességével hirtelen barátságos világosságot árasztva a nézőtérre; aztán a zenészek egyenkint, kettenkint, beszállingóztak a zenekarba, s megkezdődött a hangolás macskazenéje: a bőgők mormoltak, a hegedűk nyekeregtek, a billentyűs trombiták harsogtak, a fuvolák és fuvolácskák pityeregtek, pipegtek.	Trong lúc ấy, những ngọn nến của dàn nhạc được thắp lên, chùm đèn từ trên trần nhà giội ánh sáng qua những mặt kính nhỏ xuống nhà hát, tạo thành một niềm vui đột ngột; rồi các nhạc sĩ lần lượt bước vào; thoạt tiên là một bản nhạc huyên náo dài với những tiếng ù ù của những cây đàn trầm, tiếng rin rít của những chiếc viôlông, tiếng oang oang của những nòng kèn, tiếng trầm bổng của những chiếc sáo, chiếc tiêu.
De végre felhangzott a szinpadról a darab kezdetét jelző hármas kopogás; az üstdob megperdült, majd megszólaltak a rézhangszerek, egyszerre mindannyian, a függöny felgördült, s a nézők előtt egy tájkép tárult fel.	Tiếp đó, người ta nghe thấy ba tiếng gõ trên sân khấu; tang trống đồng nổi lên, các nhạc cụ bằng đồng hòa theo, và tấm màn kéo lên, một phong cảnh được bày ra.
Balra forrás csörgedezett; a forrást egy nagy tölgyfa borította árnyékba.	Đây là ngã tư một khu rừng, với máng nước bên dưới bóng một cây sồi.
Parasztok és urak, valamennyien pléddel a vállukon, egy vadászdalt énekeltek együtt; aztán egy kapitány lépett elő, a ki két karját az ég felé emelgetve, a gonoszság angyalát hívta segítségül; megjelent egy másik is; ők ketten elmentek, és a vadászok ujra kezdték a dalt.	Nông dân và chúa đất, áo tơi choàng trên vai, tất cả đồng ca một bài hát đi săn; đột nhiên xuất hiện một viên đại úy giang hai cánh tay lên trời cầu cứu một ác thần; sau đến một viên đại úy khác; cả hai cùng bỏ đi, và những người đi săn lại hát.
Ugy tetszett neki, hogy a ködön át hallja a pusztaságban szóló skót dudáknak a hangját.	Nàng lại thấy mình trong những cuốn sách đọc thuở thanh xuân hoàn toàn của Oantơ Xcốt.
De, a mellett, még tisztán emlékezett a regényre, s ez az emlék megkönnyítette neki az opera szövegének megértését.	Nàng dường như nghe thấy, qua làn sương mù, tiếng kèn mục đồng xứ Êcốtxơ láy đi láy lại trên đồng cỏ hoang.
Igy mondatról mondatra követhette a cselekvést, mialatt ködös, határozatlan, megfoghatatlan gondolatok ejtették hatalmába, melyek vissza-visszatértek, majd szétfoszlottak a zene hullámveréseinek hatása alatt.	Vả chăng, hồi tưởng lại cuốn tiểu thuyết nàng dễ hiểu kịch bản hơn, nàng theo dõi tình tiết qua từng câu này đến từng câu khác, còn những ý tưởng khó nắm, vừa trở về đầu óc nàng, lại tan tác ngay dưới hàng loạt nhạc khúc.
Átengedte magát a dallamok elringató hatásának, és úgy érezte, hogy egész lénye rezeg, mintha a hegedűk vonói mind az ő idegein jártak volna.	Nàng để lòng mình ru theo những giai điệu và nàng cảm thấy người mình đang rung lên tựa hồ có chiếc vĩ đàn viôlông đang đưa đi kéo lại trên các sợi dây thần kinh của nàng.
Nem győzte eleget nézni a jelmezeket, a díszleteket, a szereplőket, a festett fákat, a melyek minden kis mozgolódásra megremegtek, a bársony baretteket, a köpönyegeket, a kardokat, a képzelet e szerszámait, melyek a szinjáték és a zene harmóniájában ugy tűntek fel, mintha egy más világ levegőkörében szerepeltek volna.	Nàng không đủ mắt để ngắm những trang phục, những cảnh trí, những nhân vật, những cây vẽ bằng sơn rung chuyển trước mỗi bước đi, và những mũ nhung, những áo khoác, những thanh gươm, tất cả những vật tưởng tượng ra đó khuấy động trong hòa âm như trong không khí của một thế giới khác.
De most egy fiatal hölgy jelent meg, a ki erszényt dobott oda zöldruhás kisérőjének.	Nhưng một thiếu nữ vừa tiến lên vừa ném một túi tiền cho một kỵ sĩ vận đồ màu xanh ve.
Egyedül maradt, és ekkor egy fuvola a forrás csörgedezésének vagy egy madár csicsergésének a hangját utánozta.	Thiếu nữ đứng lại một mình, rồi liền đó người ta nghe thấy tiếng sáo như tiếng nước róc rách hay tiếng chim líu lo.
Lucia bátor hangon kezdte el G-dur kavatináját; elpanaszolta szerelmét, s azt kivánta, hogy bár csak szárnyai volnának.	Luyxi cất giọng trầm hát một bài ca ngắn bằng cung sol trưởng; cô ta than vãn về tình yêu, cô ta cần có đôi cánh.
Emmának szintén vágya támadt elmenekülni életéből, és elrepülni, egy ölelésbe.	Emma cũng vậy, những muốn xa lánh cuộc đời, bay trong một vòng tay.
Egyszerre a szinpadra lépett Edgar-Lagardy.	Bất thần, Etga Lagacdy xuất hiện.
Arczán a sáppadtságnak az a fényessége ült, a melylyel a Délvidék tüzesebb emberfajtája mintha a márványszobrok fenségéből kapott volna valamit.	Y có nước da trắng xanh rất đẹp, nó đem lại cho giống người hăng hái miền Nam nét trang nghiêm của cẩm thạch.
Mindjárt az első jelenetben föllelkesítette a közönséget.	Ngay từ cảnh đầu tiên, y đã kích động khán giả.
Karjaiba szorította Luciát, ott hagyta, visszatért hozzá, kétségbeesettnek látszott: hirtelen ki-kitört belőle a tomboló harag, majd végtelenül lágy, elégikus hörgéseket hallatott, és az énekhangok, melyek csupasz nyakából előkerültek, tele voltak zokogással és csókkal.	Y siết chặt Luyxi trong tay, y bỏ nàng ra đi, y trở lại, y dường như thất vọng; y có những cơn giận, rồi những hơi thở khò khè bi thảm rất mực dịu dàng, và những âm điệu thoát từ chiếc cổ để trần của y đầy tiếng nức nở và những cái hôn.
Emma előre hajolt, hogy jobban lássa, s körmeivel kapargatta a páholy bársonyát.	Emma ngả người xuống để nhìn y, móng tay nàng cấu nát cả nhung cửa buồng lô.
Tele szítta szivét ezekkel a zengzetesen panaszkodó hangokkal, a melyek vontatottan ismétlődtek ujra meg ujra, s a melyeket úgy kisért a gordonka, mint a hajótöröttek kiáltásait a vihar háborgó hangja.	Nàng để những lời than vãn du dương ấy tràn ngập trái tim nàng, những lời than vãn kéo dài theo nhạc điệu của đàn côngbát như những tiếng rên la của kẻ bị đắm tàu trong cảnh náo động của bão táp.
Ráismert mindazokra a lázas felindulásokra, a mámorra és a gyötrődésekre, a melyekbe majdnem bele halt.	Nàng nhận ra tất cả bao nhiêu ham mê và bao mối lo âu làm nàng hút chết trước kia.
Mintha az énekesnőnek a hangja csak az ő érzéseinek a visszhangja lett volna; s mintha a képzeletnek azt a szép játékát, mely annyira elbűvölte, az ő életéből szakították volna ki.	Tiếng hát của cô ca sĩ dường như chỉ là tiếng vang dậy của lương tâm nàng, và cái ảo ảnh kia đang mê hoặc nàng cũng là cái gì của cuộc đời nàng nữa.
De őt senki a földön nem szerette ilyen szerelemmel.	Nhưng đã không có ai trên trái đất yêu nàng bằng một mối tình như thế.
Rudolf nem sírt, mint Edgar, az utolsó este, a holdvilágnál, mikor azt suttogták egymásnak: "Holnap!	Anh ấy chẳng khóc như Etga, tối cuối cùng, dưới ánh trăng, khi hai người nói với nhau: "Đến mai, đến mai nhé!...".
Holnap!…" A nézőtéren falrengető brávózás dördült meg; az egész strettát megismételték; a szerelmesek fölemlegették a sírjukon nyíló virágokat, hűségesküjöket, a számüzetést, a végzetet, reményeiket, és mikor az utolsó istenhozzádot hallatták, Emmából egy sikoltás tört ki, mely bele veszett az utolsó akkordok rezgésébe.	Nhà hát rung chuyển vì những tiếng vỗ tay hoan hô; người ta diễn lại tiết cuối cùng của khúc nhạc; cặp tình nhân nói đến hoa trên mồ họ, đến lời thề nguyền, đến sự tha hương, đến định mệnh, đến hy vọng, và khi họ thốt lên lời vĩnh biệt, Emma thét lên một tiếng xé tai, nó chìm trong tiếng rung của những hòa âm cuối cùng.
– Miért üldözi – kérdezte Bovary – a leányt ez a lovag?	- Sao thế, - Bôvary hỏi, - tay lãnh chúa kia làm khổ cô ta?
Mert ez a leány apja volt, ugy-e, ez a csunya kis ember, a ki kakastollat hord a sipkája mellett?	Vì đấy chính là bố anh ta, có phải không, cái người bé nhỏ xấu xí mang một cái lông gà trống trên mũ ấy?
Emma nagyjában megmagyarázta a szöveget, hanem azért, attól a csupán egy énekes párbeszédből álló jelenettől fogva, a melyben Gilbert előadja gyalázatos cselszövését gazdája, Ashton előtt: Károly, látván a hamis jegygyűrűt, mely arra szolgál, hogy Luciát megcsalja, azt hitte, hogy ezt a gyűrűt, szerelmének zálogául, Edgar küldötte.	Mặc dù Emma đã giải thích ngay từ cuộc đối xướng tay đôi, trong đó Ginbe thuật lại với chủ mình là Axtông những mưu mô ghê tởm của gã, Sáclơ, khi thấy chiếc nhẫn đính hôn giả nhằm đánh lừa Luyxi, lại tưởng đó là vật kỷ niệm tình yêu của Etga gửi đến.
Különben megvallotta, hogy nem érti a történetet, – a zene miatt, – mely nagyon árt a szövegnek.	Vả lại, hắn thú thực chẳng hiểu câu chuyện ra sao - vì âm nhạc làm hại rất nhiều đến lời nói.
– De hallgass!	- Emma nói, - anh im đi!
– Hallgass!	-Im đi!
hallgass!	Im đi!
– vágott a szavába Emma türelmetlenül.	- Nàng sốt ruột đáp.
Emma férjhezmenetelének a napjára gondolt; és szinte látta magát, a mint a gabonaföldek között, a kis ösvényen, a templomba mentek.	Emma mường tượng lại ngày cưới của nàng; nàng thấy lại mình ở xa kia, giữa cánh đồng lúa, trên con đường nhỏ, lúc đám cưới đi về phía nhà thờ.
Miért nem tett úgy, mint ez itt?	Sao nàng đã chẳng như cô kia, cưỡng lại, van xin?
miért nem állott ellent, miért nem könyörgött, rimánkodott?	Trái lại, nàng đã vui sướng, chẳng thấy cái vực thẳm mà nàng lao mình xuống... Ôi!
De hiszen ő vidám volt!… nem is sejtette, milyen örvénybe rohan!… Ó, ha szépségének még a frisseségében, mielőtt a házasság kelletlen ölelései lelkét bemocskolták, s mielőtt a házasságtörést követő csalódás kiábrándította mindenből, rábízhatta volna életét egy olyan hű, nemes, nagy szívre, a milyenre Lucia: akkor, minthogy az erény és a gyönyörüség, a szerelem és a kötelesség mind egyet jelentett volna, – soha se kellett volna lebuknia a boldogságnak erről a magaslatáról!	Nếu như trong thời sắc đẹp còn tươi thắm, trước những vết nhơ của hôn nhân và trước sự vỡ mộng của ngoại tình, nàng đã có thể đặt đời nàng vào một trái tim cao cả vững vàng nào, và trong lúc đức hạnh tình yêu, lạc thú và nhiệm vụ lẫn lộn, nàng
Most már tudta, hogy a szenvedélynek, melyet a művészet annyira felmagasztal, oly tulzó szavakkal ünnepel, úgy kiszépít: mennyi a kicsinyessége!	Nay nàng đã biết rõ cái ti tiện của những dục vọng mà nghệ thuật tâng bốc lên.
Azért jobb, ha nem sokat gondol erre a mesére, mely annyira más, mint a valóság!… jobb, ha abban, a miben az imént a maga fájdalmainak a tükröződését látta, nem keres egyebet, csak képzelgést, melynek az alakjai mozognak, s mely nem való másra, pusztán arra, hogy a szemet szórakoztassa!… És már azt képzelte, hogy tulajdonképpen szánakozó, lenéző mosolygással nézi az életet oly hamisan utánzó, s a képzelgés csinos hazugságaival tele szőtt játékot: a mikor a szinpad mélyéről, a bársony ajtófüggönyök közül, hirtelen előlépett egy férfi, fekete köpenyben.	Thế là, cố gắng đưa tư tưởng mình đi hướng khác, Emma muốn chỉ thấy trong sự diễn tả những nỗi đau đớn của mình ấy một trò tạo hình bay bướm cốt mua vui con mắt mà thôi, và thậm chí nàng còn đang cười thầm với một lòng thương xót khinh người, thì ở cuối rạp, dưới cái nền cửa bằng nhung, xuất hiện một người đàn ông mặc một chiếc áo choàng đen.
Egy mozdulatára lehullott nagy, spanyolos kalapja; és a hangszerek meg az énekesek azonnal rázendítettek a sextettre.	Cái mũ to kiểu Tây Ban Nha của y rơi xuống theo một động tác anh ta làm; lập tức nhạc cụ và ca sĩ tấu bản nhạc sáu bè.
Mindannyian egy sorban állva hadonáztak; és a harag, a bosszuvágy, a féltékenység, a rémület, a részvét és az álmélkodás hangjai egyszerre tolultak ki, nyílt vagy félig nyílt ajkaik közül.	Tất cả mọi người đứng cùng hàng mà làm động tác; nỗi giận dữ, lòng căm thù, sự ghen tuông, mối kinh hãi, tình thương hại và trạng thái sững sờ đồng thời thoát ra từ những cái miệng hé mở của họ.
A kijátszott és vérig sértett szerelmes féktelen haraggal forgatta kardját, melyet már előbb kirántott hüvelyéből; sodrott selyemmel befont nyakfodra föl-fölemelkedett, a mint a melle mozdult; és nagy léptekkel járt jobbra-balra, miközben az aranyozott ezüstsarkantyú, mely bokájánál megbővülő, puha csizmájának sarkát körülfogta, folytonosan pengett a szinpad deszkáján.	Một người đóng vai tình lang bị xúc phạm vung lưỡi kiếm trần; cổ áo ren của anh ta nâng lên từng chập theo chuyển động của lồng ngực, và anh ta hết đi sang phải lại đi sang trái, bằng những bước dài, gõ xuống sàn sân khấu những chiếc đinh thúc ngựa mạ vàng trên đôi ủng mềm loe ra ở mắt cá.
Micsoda kiapadhatatlan szerelem lehet az – gondolta Emma – mely ilyen szertelen kitörésekre tudja ragadtatni magát!	Anh ta phải có, nàng thầm nghĩ, một tình yêu vô biên mới giội được xuống đám đông những nguồn cảm xúc dạt dào đến thế.
Az a hajlandósága, hogy kicsinyléssel nézze a darabot, egyszerre eltűnt az Edgar szerepében rejtőző költői erő hatása alatt; s az érdeklődést, melyet a szerep keltett benne, átruházva a szinészre, elképzelte Lagardynak egész életét, ezt a rendkívüli, izgalomban és sikerben gazdag, fényes életet, sok, érdekes eseményével, melyeknek a híre messzire elhangzott.	Tất cả những manh tâm định chê bai của nàng tiêu tan bởi tài năng của vai kịch xâm chiếm lòng nàng, và nàng bị lôi cuốn tới người đàn ông bởi cái ảo ảnh của nhân vật, nàng cố hình dung cuộc đời của người đó, cái cuộc đời lừng lẫy, lạ lùng, rực rỡ, mà nàng có thể sống được, nếu vận mệnh xui nên.
Ilyen élete lehetett volna neki is, ha a véletlen úgy akarta volna!	Họ sẽ quen biết nhau, họ sẽ yêu nhau!
Az őrület fogja el?… igen, Lagardy rá néz!… határozottan őt nézi, ez bizonyos!	Nhưng nàng bỗng phát điên lên: người đó nhìn nàng, đúng thế rồi!
És Emmának kedve lett volna oda rohanni kitárt karjai közé, menedéket keresni az erejében, rá borulni erre az emberre, a kiben magának a szerelemnek a megtestesülését látta, és azt mondani, azt kiáltani neki: "Vigy magaddal, szöktess meg, menjünk valahová messzire!	Nàng những muốn chạy sổ vào hai cánh tay người đó để náu mình dưới sức mạnh của người đó như vào chính sự hiện hình của ái tình và nói với người đó, kêu lên với người đó: "Anh bắt cóc em đi, anh mang em đi, chúng ta đi đi!
A tied vagyok, egészen a tied!	Của anh, của anh!
Tied a szerelmem, és tied minden álmom!"	tất cả những nhiệt tình và tất cả những ước mơ của em!".
A függöny legördült.	Màn hạ xuống.
A gáz szaga összevegyült a sok lehellettel; a legyezők nagy szelet csaptak és a levegőt még inkább fojtóvá tették.	Mùi khói thắp đèn hòa lẫn với hơi người thở; gió các quạt khiến cho bầu không khí càng thêm ngột ngạt.
Emma ki akart menni, de a folyosón roppant tömeg tolongott; visszadőlt karosszékébe, és olyan szívdobogást kapott, hogy alig tudott lélekzeni.	Emma muốn ra ngoài; đám đông đứng chật các hành lang và
Károly megijedt; attól tartott, hogy Emma mindjárt el fog ájulni, s azért a szinházi czukrosboltba futott, hogy egy pohár mandulatejet hozzon neki.	nàng lại ngồi phịch xuống ghế, trái tim nàng hồi hộp đến nghẹn thở.
Csak nagynehezen tudott visszavergődni a páholyba; mert lépten-nyomon meglökték a könyökét, s a tele poharával alig mert előre haladni.	Sáclơ sợ nàng ngất đi, chạy ra phòng giải khát kiếm cho nàng một cốc đại mạch.
– Bizony isten, azt hittem, hogy soha se jövök vissza!	- Anh đã tưởng phải ở lại ngoài ấy, thật đấy!
És egy kis szünet után:	Hắn nói thêm:
– Találd ki – folytatta – kivel találkoztam odafenn?	Em thử đoán một chút xem anh đã gặp ai trên kia?
!… Léonnal!	Ông Lêông.
– Léonnal?	-Lêông?
– Ő vele!	-Chính ông ta!
Mindjárt tisztelkedni fog nálad.	Ông ta sắp đến chào em.
És a hogy kimondta ezeket a szavakat, a yonvillei közjegyző egykori segédje belépett a páholyba.	Và, hắn vừa nói xong thì viên luật sư tập sự cũ ở Yôngvin bước vào lô.
Gavalléros fesztelenséggel nyujtott kezet: és Bovaryné gépiesen adta oda a jobb kezét, mintha egy olyan akarat vonzóerejének engedne, a mely hatalmasabb, mint az övé.	Anh ta chìa tay ra theo lối không khách khí của người quý phái; còn Bà Bôvary, thì như cái máy, cũng giơ tay, hẳn là tuân theo sức hấp dẫn của một ý muốn mạnh hơn.
Ennek a vonzóerőnek a hatását nem érezte ama tavaszi este óta, a mikor eső áztatta a zöldelő faleveleket, s a mikor, az ablaknál állva, elbúcsúztak egymástól.	Nàng đã không cảm thấy cái ý muốn đó từ buổi chiều xuân ấy, lúc trời đang mưa trên những tàu lá xanh, khi họ từ biệt nhau, đứng bên cửa sổ.
!…	-À!
– Csend!	- Im đi!
– szólalt meg egy hang a földszint hátulsó soraiból, mert a harmadik felvonás már elkezdődött.	- Một giọng nói từ giữa rạp thốt lên vì hồi thứ ba bắt đầu.
– Rouenban lakik?	-Vậy ra ông ở Ruăng à?
– Igen.	-Vâng.
– Mióta?	-Thế từ bao giờ?
– Csitt!	-Ra ngoài kia!
csitt!	Ra ngoài kia!
Az emberek feléjök fordultak; elhallgattak.	Người ta quay về phía họ; họ im bặt.
De ettől fogva Emma már nem hallgatta az énekeseket; és a lakodalmas nép kara, Ashton és szolgájának jelenete, a nagy D-dur duo, mind úgy zajlott le előtte, mint a mi a messzeségben történik; mintha a hangszerek már halkabban szóltak volna és mintha a szereplők odább huzódva játszották volna el a további jeleneteket; Emmának eszébe jutottak azok az órák, a mikor a gyógyszerésznél kártyáztak, a mikor Léon elkisérte a dajkához, a mikor a kerti sátorban felolvasott neki, s a mikor a kandalló mellett hosszasan elbeszélgettek kettecskén, az egész szerelmeskedés, a mely olyan sokáig tartott, a mely olyan csöndes és illedelmes volt, a melyben annyi volt az érzés és annyi a tartózkodás, s a melyet mégis – elfelejtett!	Nhưng, từ lúc đó, nàng không còn nghe kịch nữa; và bài đồng ca của những người khách mời, cảnh Axtông cùng đầy tớ, bản đại song ca cung Rê trưởng, tất cả, đối với nàng đều ở tận đâu xa, dường như nhạc cụ trở nên kém kêu đi và những nhân vật trên sân khấu đã quá trần hủi; nàng nhớ lại những ván bài ở nhà tay dược sĩ và cuộc đi chơi tới chỗ vú em, những ngày đọc sách dưới vòm cây, những buổi mặt đối mặt chuyện trò bên cạnh lò sưởi, tất cả mối tình đáng thương kia lặng lẽ đến thế và lâu dài đến thế, kín đáo đến thế, đằm thắm đến thế, mà nàng đã quên đi.
De hát miért is jött vissza Léon?	Tại sao anh ta trở lại vậy?
A véletlennek minő szövevénye kellett hozzá, hogy ismét megjelenjék Emma életében!	Những cuộc sắp xếp có lẽ nào đã lại đặt anh ta vào trong cuộc đời nàng?
Ime, most megint itt ül mögötte, vállával a páholy falához támaszkodva, egészen közel hozzá, úgy hogy Emmán időnkint könnyed borzongás futott át, a mikor érezte, hogy Léon orrlyukainak meleg lehellete bele hatol a hajába.	Anh ta đứng phía sau nàng, vai tựa vào bức vách; và thỉnh thoảng, nàng cảm thấy mình run run dưới cái hơi thở âm ấm từ mũi chàng toát xuống mái tóc nàng.
– Nagyon mulattatja önt az előadás?	-Kịch có làm bà vui không?
– kérdezte Léon, olyan közel hajolva hozzá, hogy bajuszának a hegye megérintette Emmának az arczát.	-Anh ta vừa nói vừa nghiêng đầu về gần phía nàng, gần đến nỗi đầu các sợi râu của anh ta lướt trên má nàng.
Emma egykedvüséget mutatott.	Nàng hờ hững đáp: -Ờ!
– Ó, istenem, nem!	Trời ơi, không!
Erre Léon azt ajánlotta, hogy hagyják ott az előadást és menjenek el valahová fagylaltozni.	Thế là anh ta đề nghị nàng ra khỏi rạp để đi ăn kem ở chỗ nào đấy.
– Ó, ne még!	-À, chưa vội!
maradjunk még egy kicsit!	Chúng ta hãy ở lại đã!
– szólt Bovary.	- Bôvary nói.
– Nézd, a lány kibontotta a haját: úgy látszik, tragikus jelenetek fognak következni.	-Tóc cô diễn viên xổ ra: cái đó chắc là bi thảm.
De az őrülési jelenet nem érdekelte Emmát; és ugy találta, hogy az énekesnő játékában igen sok a tulzás.	Nhưng cảnh điên dại chẳng làm cho Emma thích thú, nàng thấy cách biểu diễn của nữ ca sĩ dường như là quá đáng.
– Rettenetesen sikongat – szólt, Károlyhoz fordulva, a ki csupa figyelem volt.	- Cô ta thét to quá, - nàng vừa nói vừa quay lại phía Sáclơ đang nghe.
– Igen… talán… egy kissé sikongat – felelt Károly, nem tudva, hogy mit mondjon, mert nagy élvezetet talált az előadásban, de sokkal inkább tisztelte a felesége véleményét, semhogy az ellentmondást meg merte volna koczkáztatni.	-Ừ... có lẽ thế... một chút, - hắn đáp lại, ngập ngừng giữa sự thật thà nói lên cái thích thú của mình và sự tôn trọng của hắn đối với ý kiến của vợ.
Léon sóhajtozni kezdett:	Rồi Lêông vừa nói vừa thở dài:
– Olyan hőség van, hogy az…	-Thực là nóng bức...
– Tűrhetetlen!	-Không chịu được!
Ez már igaz.	thực đấy.
– Rosszúl vagy?	-Em có khó chịu không?
– kérdezte Bovary.	- Bôvary hỏi.
– Igen; azt hiszem, hogy meg kell fúlnom, ha még sokáig maradunk; menjünk!	-Có, em ngạt thở: chúng ta đi đi.
Először Emma betegségéről beszélgettek, bár Emma időnkint bele szólt Károly hosszú elbeszélésébe, mert attól tart – úgymond – hogy ez a tárgy untatni fogja Léon urat; azután Léon mondta el, hogy két évet fog tölteni Rouenban, egy olyan közjegyző mellett, a kinél nagy az ügyforgalom; mert egészen bele akarja gyakorolni magát a mesterségébe, s Normandiában a közjegyzőket másféle ügyek foglalkoztatják, nem olyan természetüek, a minők a párisiakat.	Thoạt tiên, Sáclơ nói về bệnh tật của Emma, mặc dầu Emma chốc chốc lại ngắt lời hắn, vì theo nàng, nói thế e làm nhàm tai Lêông; còn Lêông kể cho hai vợ chồng họ biết anh ta đến ở Ruăng được hai năm trong một phòng luật sư quan trọng, để tập cho lành nghề vì công việc ở Normăngđi được giải quyết khác với công việc ở Pari.
Majd a kis Bertáról kérdezősködött, aztán a Homais-családról és Lefrançois mamáról; és minthogy a férj jelenlétében nem volt egymáshoz egyéb mondanivalójuk, a társalgás már nemsokára akadozni kezdett.	Rồi anh ta hỏi tin tức về Béctơ, về gia đình Hôme, về mụ Lơfrăngxoa, và vì trước mặt người chồng, hai người chẳng còn gì hơn để mà nói với nhau nữa, câu chuyện chẳng bao lâu ngừng lại.
A gyalogjárón olyanok haladtak tova, a kik a szinházból jöttek; sokan dúdolták, s néhányan tüdejök egész erejével bőgték Edgar utolsó áriáját: Lucia, ó, drága angyal!	Những người ở rạp hát ra vừa đi trên vỉa hè, vừa khe khẽ hát hoặc hát rống lên: "Ối, thiên thần tuyệt đẹp, Luyxi của tôi ơi!"
Ekkor Léon, hogy ismereteit fitogtassa, a zenéről, az operákról és az énekesekről kezdett beszélni.	Lêông liền làm ra vẻ tài tử, bắt đầu nói về âm nhạc.
Látta Tamburinit, Rubinit, Persianit, Grisit; ezekhez képest Lagardy, akármennyit komédiázik, s akármilyen nagy lármát csap, senki és semmi.	Anh ta đã xem Tăngbuyrini, Ruybini, Perxiani, Grizi; và so với họ, Lagardy, tuy có nổi danh, cũng chẳng có giá trị gì.
– De azt mondják – vágott közbe Károly, a ki időnkint egyet-egyet hörpintett rumos hűsítő italából – hogy az utolsó felvonást igazán bámulatraméltóan játszsza; sajnálom, hogy éppen ezt a felvonást mulasztottuk el, és hogy nem maradhattunk végig; engem már kezdett a darab érdekelni, s azt hiszem, hogy a vége a legszebb.	-Thế nhưng, - Sáclơ đang cắn ra từng miếng nhỏ chiếc kem pha rum, ngắt lời, - người ta nói ở hồi cuối y hoàn toàn được tán thưởng; tôi tiếc rằng đã bỏ đi trước khi diễn xong, vì tôi đã bắt đầu thấy hứng thú.
– Különben – mondta a közjegyző-segéd – a napokban még egyszer fel fog lépni ebben a szerepben.	- Vả chăng, - viên luật sư tập sự nói tiếp, -y lại sắp diễn một buổi nữa.
De Károly azt felelte, hogy holnap már elutaznak.	Nhưng Sáclơ đáp: ngày mai vợ chồng họ sẽ đi khỏi nơi đây rồi.
– Hacsak – szólt feleségéhez fordulva – nincs kedved ahhoz, hogy itt tölts még egy pár napot, de akkor, lelkecském, egyedül kell maradnod.	- Trừ khi, - hắn quay về phía vợ nói thêm, -em muốn ở lại một mình, em yêu!
Léon, kilátása nyilván erre a váratlan alkalomra, mely egyszerre szárnyat adott reménységeinek, nyomban megváltoztatta kis tervezgetését, s áradozni kezdett, hogy Lagardy az utolsó felvonásban csakugyan nagyszerű.	Và, thay đổi kế hoạch, trước cơ hội bất ngờ thuận lợi cho hy vọng của anh ta, chàng trẻ tuổi lên tiếng ca ngợi Lagardy diễn trong khúc cuối.
