Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
Schiller.	SCHILLER
Gyanakodása most már nem ismert határt.	Nỗi ngờ vực của anh không còn bờ bến nào nữa.
E kedves fiatalok csúfot akarnak űzni belőlem?	Những chàng thanh niên phong nhã này định đùa cợt ta chăng?
El kell ismernie, hogy ez sokkal valószínűbb, sokkal természetesebb, semmint hogy de La Mole kisasszony valami szenvedélyt érezne egy szegény ördög, titkár iránt.	Phải thú nhận rằng chuyện đó có lẽ hơn nhiều, tự nhiên hơn nhiều, so với giả thuyết tình yêu say đắm của cô de La Mole, đối với một anh thư ký nghèo xác.
Először is vannak-e ezeknek az embereknek szenvedélyeik?	Trước hết, những con người đó có những mối tình say đắm không đã?
A felültetés az erejük.	Họ chỉ lỡm người ta là giỏi thôi.
Féltékenyek arra a szegényes kis ügyességre, hogy a beszédben fölülmúlom őket.	Họ ghen ghét cái thế ưu việt cỏn con tội nghiệp của ta về khoa ăn nói.
A féltékenység gyöngeségeik közé tartozik.	Ghen ghét đó lại là một cái sở thích của họ.
De La Mole kisasszony el akarja velem hitetni, hogy kitüntet, csak azért, hogy jövendőbelije mulathasson rajtam.	Cô de La Mole muốn làm cho ta tin rằng cô có biệt nhỡn với ta, chẳng qua là để đem ta ra làm trò cho anh chồng chưa cưới của cô đó thôi.
Ez a fájdalmas gyanu egészen megváltoztatta Julien lelkiállapotát.	Nỗi ngờ vực đau đớn này biến đổi tất cả tình huống tinh thần của Julien.
Ez a gondolat valami kezdődő szerelmet talált szívében, a minek lerombolása nem került nagy fáradságába.	Ý nghĩ này gặp trong lòng anh một mối tình mới chớm mà nó dập tắt chả khó khăn gì.
E szerelem csak Mathild nagy szépségére, vagy inkább királynői modorára és csodálatraméltó öltözködésére támaszkodott.	Mối tình đó chỉ xây dựng trên sắc đẹp hiếm có của Mathilde, hay nói cho đúng hơn, trên những phong cách bà hoàng của cô và sự phục trang tuyệt vời của cô.
Ebben a részben Julien még jövevény volt.	Về chuyện đó, Julien hãy còn là một anh mới nổi.
Azt állítják, hogy egy nagyvilági csinos nő az, a mi a paraszt származású eszes embert, ha a társadalom első osztályába jut, leginkább meglepi.	Người ta thường nói rằng một người đàn bà đẹp của xã hội thượng lưu là điều làm kinh ngạc nhiều nhất cho một anh nhà quê thông minh tài trí khi anh ta đi đến những từng lớp cao tột bậc của xã hội.
Julient nem Matild jelleme ragadta a megelőző napok álmodozásába.	Không phải là tính tình của cô Mathilde đã làm cho Julien mơ mộng những ngày trước đây.
Eléggé józaneszű volt, hogy megértse: jellemét egyáltalában nem ismeri.	Anh cũng có đủ ý thức để hiểu rằng anh chả biết gì về tính tình đó.
Mindaz, a mit erre nézve észlelt, csak látszat.	Tất cả những cái anh trông thấy, có thể chỉ là một cái bề ngoài huyễn hoặc.
Így például Matild semmiért a világon el nem mulasztott volna egyetlen vasárnapi misét sem; anyját csaknem mindennap elkísérte a templomba.	Chẳng hạn, bất cứ vì lẽ gì, Mathilde không một ngày chủ nhật nào bỏ qua buổi lễ giảng; còn những ngày khác, hầu như ngày nào cô cũng theo mẹ đi lễ.
Ha valami vigyázatlan ember a de La Mole-palota szalonjában megfeledkezett a helyről, hogy hol van és ha csak a legtávolabbi czélzást is megengedte magának valamely, a trón vagy az oltár igazi, vagy állítólagos érdekei ellen irányuló tréfára, Matild rögtön jeges hidegségűvé változott.	Nếu trong phòng khách của dinh thự de La Mole, một kẻ khinh suất nào quên rằng mình đương ở đâu, và dám bóng gió dù xa xôi hết sức đến một câu đùa cợt về những lợi ích thật sự hay giả thiết của ngai vàng hoặc của ban thờ, là Mathilde ngay lập tức trở nên nghiêm nghị lạnh lùng như băng giá.
Nézése, mely egyébkor oly ingerkedő volt, ilyenkor egy régi családi arczkép áthatlan gőgjét mutatta.	Cái nhìn của cô, đương rất tinh quái, lại trở lại tất cả cái vẻ kiêu kỳ điềm tĩnh của một bức chân dung cổ kính của gia đình.
Julien azonban megbizonyosodott felőle, hogy szobájában mindig volt egy-két kötet Voltaire, még pedig a legbölcsésziebbek közül való.	Nhưng Julien đã nắm vững là cô lúc nào trong buồng riêng cũng có một vài quyển sách triết lý nhất của Voltaire.
Néha maga is kicsent egynémely kötetet ebből a remek kötésű szép kiadásból.	Chính bản thân anh cũng vẫn thường lấy trộm vài quyển của bộ sách in đẹp đóng bìa rất huy hoàng đó.
Néhány hajszálat tett azokra a kötetekre, melyekről feltételezte, hogy de La Mole kisasszonyt érdeklik. E kötetek néha egész hetekre eltűntek.	Anh bèn dùng đến một quỷ kế của chủng viện, anh đặt vài mẩu sợi cước lên trên những quyển mà anh giả thiết là có thể được cô de La Mole lưu ý. Những sợi cước đó biến mất trong mấy tuần lễ liền.
De La Mole úr, elégedetlen lévén könyvárúsával, a ki az összes hazug emlékiratokat megküldte neki, megbízta Julient, hogy vegye meg az összes kissé izgatóbb ujdonságokat.	Ông de La Mole, tức mình vì cái gã hàng sách cung cấp cho ông gửi cho ông toàn những hồi ký giả bèn sai Julien đi mua tất cả những sách mới ra mà hơi có vẻ mặn mòi một tí.
Nehogy azonban a méreg szétáradjon a házban, a titkárnak meg volt hagyva, hogy ezeket a köteteket egy kis könyvszekrényben helyezze el, mely a marquis saját szobájában állott.	Nhưng, muốn cho nọc độc không truyền lan khắp nhà, anh thư ký được lệnh xếp các sách đó vào một cái tủ sách nhỏ đặt ngay trong buồng riêng của hầu tước.
Julien csakhamar meggyőződött, hogy a melyik új könyv csak egy kissé is ellenkezett a trón és az oltár érdekeivel, nyomban eltűnt.	Chỉ ít lâu, anh được biết chắc chắn rằng hễ những sách mới đó hơi có vẻ chống đối với lợi ích của ngai vàng và của ban thờ, là chả mấy chốc biến mất.
Bizonyára nem Norbert kapott rajta.	Cố nhiên, không phải là Norbert đọc rồi.
Julien, túlozva ez észleletek jelentőségét, macchiavelli-i álnokságot tulajdonított de La Mole kisasszonynak.	Julien, tự khoa đại cái kinh nghiệm đó, tưởng chừng cô de La Mole có cái trí trá của Machiavel.
Ez a gazság elbájolónak tetszett előtte, sőt csaknem ez volt az egyetlen lelki báj, a mit benne talált.	Cái quỷ quyệt giả thiết đó là một cái duyên đối với mắt anh, hầu như là cái duyên tinh thần duy nhất của cô.
A képmutatásnak és az erényes szózatoknak az unalma sodorta ebbe a szélsőségbe.	Sự buồn chán vì những trò giảo quyệt và những lời đạo đức làm anh rơi vào chỗ thái quá đó.
Inkább a képzelme volt felizgatva, semmint hogy a szerelem ragadta magával.	Anh tự kích thích trí tưởng tượng nhiều hơn là bị lôi cuốn bởi tình yêu.
Csak miután hosszasan álmodozott de La Mole kisasszony termetének karcsúságáról, öltözékeinek kiválóan ízléses voltáról, kezének fehérségéről, karjai szépségéről, a minden mozdulatában megnyilatkozó fesztelenségéről, csak ezután fedezte fel magáról, hogy szerelmes.	Chỉ sau khi đã mơ màng say sưa về dáng thanh lịch của thân hình cô de La Mole, về trang phục ưu nhã tuyệt vời của cô, về nước da trắng muốt của bàn tay cô, về vẻ đẹp của cánh tay cô, về cái vẻ disinvoltura của tất cả mọi cử động của cô, anh mới thấy lòng anh si mê.
Ekkor, hogy betetőzze a varázst, egy Medicis Katalin lelkét tulajdonította neki.	Bây giờ, để cho sự mê ly được trọn vẹn, anh tưởng tượng cô là một Catherine de Médicis.
Semmit se vélt túlságosan mélynek, vagy túlságosan vétkesnek ehhez a jellemhez képest.	Chẳng có gì là thâm trầm quá hay quỷ quyệt quá cho cái tính tình mà anh gán cho cô.
Ifjúkori bámulata tárgyainak: a Maslon-ok, Frilair-ek és Castanèd-ek eszményét látta benne.	Đó là lý tưởng những Maslon, những Frilair và những Castanède mà anh đã từng thán phục trong thời thanh niên của anh.
Egyszóval: Páris eszményét.	Nói tóm lại, đó là lý tưởng của Paris đối với anh.
Van-e valami mulatságosabb, mintha valaki mélységet vagy bűnt tételez fel a párisi jellemről?	Còn có cái gì nực cười hơn là tưởng rằng tính cách Paris lại có sự thâm trầm hay sự quỷ quyệt?
- Lehetetlen, hogy ez a hármas csúfot űzzön belőlem, - gondolá Julien.	Có thể là bộ ba kia chế giễu ta, Julien nghĩ.
- Ugyancsak kevéssé ismerik természetét, ha már nem látják a komor és hideg kifejezést, melylyel tekintete Matild pillantásainak válaszol.	Thật là người ta không biết rõ tính tình của anh mấy, nếu người ta không sớm trông thấy cái nét lầm lầm và lạnh lẽo của những khóe mắt anh khi đáp lại những khóe mắt của Mathilde.
Keserű gúnynyal hárította el a barátság erősítgetéseit, melyeket a csodálkozó de La Mole kisasszony kétszer-háromszor meg mert koczkáztatni.	Một vẻ mỉa mai chua chát đẩy lui những lời tỏ tình thân nghị mà cô de La Mole ngạc nhiên dám đôi ba lần đánh liều ngỏ với anh.
Izgatva e hirtelen különczségtől, e fiatal leány szíve, mely természettől fogva hideg, unatkozó, az észszerűségre hajló volt, olyannyira megtelt szenvedéllyel, a mennyire csak lehető volt.	Bị khích động bởi thái độ kỳ quặc đột nhiên đó, tim của cô gái kia vốn lạnh lùng, chán chường, nhạy cảm về trí tuệ, trở nên say đắm hết mức độ mà bản chất nó có thể say đắm được.
Azonban Matild jellemében nagy adag gőg is volt és egy oly érzésnek a születését, mely egész boldogságát más valakitől tette függővé, komor szomorúság kísérte nála.	Julien đã hấp thụ được rất nhiều từ khi đến Paris, nên có thể phân biệt rõ đó không phải là nỗi buồn khô khan của sự chán chường.
Julien, Párisba érkezése óta, eleget tanult már, hogy fel tudja ismerni: ez nem volt az unalom rideg szomorúsága.	Đáng lẽ ham thích như ngày trước, những buổi dạ hội, những trò biểu diễn và những thú tiêu khiển đủ loại, thì bây giờ cô lại lánh xa những thứ đó.
Míg azelőtt mohón kapott az estélyeken, színházon, mindenféle szórakozáson, most menekült ezek elől.	m nhạc do những người Pháp ca xướng làm cho Mathilde buồn chán chết người.
A franczia énekesek előadása halálosan untatta Matildot és mégis Julien, a ki kötelességgé tette magának, hogy jelen legyen az operából való távozásoknál, azt tapasztalta, hogy oly gyakran jár oda, a mennyire csak teheti.	Vậy mà Julien, tự đề ra cái bổn phận phải dự xem buổi tan hát ở rạp Opéra, lại nhận thấy rằng cô vẫn đòi được dẫn đến rạp đó luôn.
Úgy tűnt fel neki, mintha vesztett volna valamit abból a tökéletes mértéktartásból, mely minden tettében kitüntette.	Anh tưởng chừng nhận xét thấy cô đã hơi mất đôi chút cái sự chừng mực hoàn toàn vẫn chói lọi trong tất cả mọi hành vi của cô xưa nay.
Barátjainak néha oly csipkelődésekkel válaszolt, melyek csípős erélyükben sértők voltak.	Đôi khi cô trả lời các bạn bằng những câu đùa cợt làm người ta bị xúc phạm vì sức mạnh châm chọc.
Úgy látszott, hogy de Croisenois marquist czéltáblának választotta a gúnyolódásra.	Anh thấy hình như cô khinh nhờn hầu tước de Croisenois ra mặt.
Ez a fiatal ember ugyancsak veszettűl szeretheti a pénzt, hogy nem hagyja faképnél e leányt, ha még oly gazdag is!	Anh chàng thanh niên kia phải yêu tiền tài dữ dội lắm, mới không vứt bỏ cô gái này ở đó, dù cô ta giàu có đến mấy đi nữa!
- gondolá Julien.	Julien nghĩ.
És fölháborodva a férfinemet ért sértéseken, még hűvösebben viselkedett de La Mole kisasszonynyal szemben.	Còn về phần anh, bất bình vì những sự xúc phạm đến thể diện của nam giới, anh càng lạnh lùng gấp bội đối với cô.
Gyakran odáig ment, hogy csak fogyatékos udvariassággal felelgetett neki.	Nhiều khi anh đi đến những câu trả lời không được lễ độ lắm.
Bármennyire el volt is tökélve, hogy nem engedi magát reászedetni Mathilde érdeklődésének jeleitől, bizonyos napokon ezek oly szembeszökők voltak és Julien, a kinek kezdtek fölnyílni a szemei, oly csinosnak találta, hogy néha zavarban volt.	Dù anh đã nhất quyết đến mấy đi nữa không để bị lừa vì những biểu hiện lòng tha thiết của Mathilde, có những ngày, những biểu hiện đó rõ ràng quá, và Julien, bắt đầu mở mắt ra, thấy cô đẹp vô cùng, đến nỗi đôi khi anh phải lấy làm khó nghĩ.
- E nagyvilági fiatal emberek ügyessége és kitartása még diadalt arathat tapasztalatlanságom fölött, - mondá magában; - el kell utaznom és véget kell vetnem az egész dolognak.	Sự khéo léo và sự nhẫn nại của những chàng thanh niên của xã hội thượng lưu kia, rồi ra không khéo sẽ thắng sự kém lịch duyệt của ta mất thôi, anh tự nhủ; ta phải đi và chấm dứt tất cả cái chuyện này.
- A marquis legutóbb rábízta egy csomó kis alsó-languedoc-i birtokának és házának kezelését.	Ông hầu tước vừa mới giao phó cho anh việc quản trị một số những khu đất nhỏ và nhà của ông ở miền Languedoc.
Szükséges volt, hogy odautazzék: de La Mole úr ebbe csak nagynehezen egyezett bele.	Cần phải đi một chuyến. Ông de La Mole cực lòng phải đồng ý. Trừ những chuyện thuộc về cao vọng, Julien đã trở thành một người hoàn toàn thay thế cho ông.
Kivéve a legfőbb becsvágy dolgait, Julien második én-je volt neki. - Mindent összevéve, nem fogtak meg, - mondá magában Julien, mikor az útra készült.	Nghĩ cho cùng, họ cũng chưa lỡm được ta, Julien vừa nghĩ bụng vừa sửa soạn cuộc lên đường.
Akár igaziak voltak a gúnyolódások, melyekkel de La Mole kisasszony ez urakat illette, akár csak arra voltak szánva, hogy bennem bizalmat gerjeszszenek, mulattam rajtuk.	Những trò giễu cợt của cô de La Mole đối với các anh chàng kia, mặc dầu là thật hay chỉ cốt để làm cho ta khỏi nghi ngờ, thì cũng đã mua vui cho ta rồi.
Ha nem forraltak összeesküvést az ács fia ellen, úgy de La Mole kisasszony viselkedése érthetetlen, de nemcsak nekem, hanem legalább is ugyanily mértékben de Croisenois marquisnak is.	Nếu không có chuyện âm mưu chống lại thằng con nhà thợ mộc, thì cô de La Mole thật là khó hiểu, nhưng cô khó hiểu đối với hầu tước de Croisenois ít ra cũng bằng đối với ta.
Tegnap, például, igazán haragudott és nekem megvolt az élvezetem, hogy fölébe kerekedtem egy fiatal embernek, a ki olyannyira nemes és gazdag, mint a mennyire én koldús és alrendű vagyok.	Hôm qua chẳng hạn, sự bực mình của cô là thật sự, và ta đã được cái vui, ta thì nghèo khổ và thuộc lớp thứ dân, mà làm cho một chàng thanh niên cao sang và giàu có phải nhường bước vì thấy ta được biệt đãi.
Egyik legszebb diadalom volt; fel fog vidítani a postakocsiban, a míg bejárom Languedoc síkjait.	Đó là cuộc đắc thắng đẹp nhất của ta; nó sẽ làm cho ta vui trong xe trạm, khi rong ruổi trên cái bình nguyên xứ Languedoc.
Utazási szándékát titokban tartotta, de Matild jobban tudta, mint ő, hogy másnap elhagyja Párist, és pedig hosszú időre.	Anh đã giữ bí mật cuộc khởi hành, nhưng Mathilde còn biết rõ hơn anh rằng anh sắp rời Paris ngày mai, và lâu mới về.
Ahhoz az ürügyhöz folyamodott, hogy őrülten fáj a feje és hogy a szalon fojtott levegőjében még rosszabbúl érzi magát.	Cô liền thác bệnh nhức đầu dữ dội, mà không khí ngột ngạt của phòng khách làm cho tăng thêm.
Sokáig sétált a kertben és Norbert-t, de Croisenois marquist, Caylust, de Luz-t meg a többi fiatal embert, a kik aznap a de La Mole-palotában ebédeltek, addig üldözte maró gúnyolódásával, mígnem kényszerítette őket, hogy távozzanak.	Cô đi dạo chơi rất nhiều ở ngoài vườn, và truy kích ráo riết, bằng những câu giễu cợt cay độc Norbert, hầu tước de Croisenois, Caylus, de Luz và vài chàng thanh niên khác đã ăn cơm chiều ở dinh de La Mole, đến nỗi bắt buộc họ phải bỏ đi.
Különös tekintettel nézett Julienre.	Cô nhìn Julien một cách lạ lùng.
- Lehet, hogy e nézés csak színjáték, - gondolá Julien; - de ez a sebes lélegzés, ez a felindulás!	Cái nhìn kia có lẽ là một trò đóng kịch, Julien nghĩ; nhưng còn cái hơi thở hổn hển kia, nhưng còn tất cả cái vẻ rối loạn kia!
Eh!	Chậc!
- mondá magában, - mi vagyok én, hogy ítéletet mondjak e dolgokról?	Anh nghĩ bụng, ta là ai để mà phê phán tất cả những cái đó.
Arról van szó, a ki a legfinomabb és a legmagasabbrendű a párisi asszonyok között.	Đây là một con người cao siêu nhất và tế nhị nhất trong đám phụ nữ Paris.
Ezt a sebes lélegzetvételt, mely majdnem megindított, bizonyára Fay Léontine-től tanulta, a kit annyira szeret.	Cái hơi thở hổn hển kia, suýt nữa thì làm ta cảm động, có lẽ cô đã học được ở Léontine Fay mà cô rất yêu thích.
Magukra maradtak; a beszélgetés szemmelláthatólag akadozott.	Hai người còn lại một mình với nhau; cuộc chuyện trò uể oải rõ rệt.
- Nem!	Không!
Julien mitsem érez irántam, - mondá magában Matild igazán lesujtottan.	Julien không cảm thấy gì đối với ta, Mathilde thật sự khổ nghĩ thầm.
Mikor Julien elbúcsúzott tőle, de La Mole kisasszony erősen megszorította a kezét:	Thấy anh cáo biệt, cô nắm chặt lấy cánh tay anh:
- Ma este levelet kap tőlem, - szólt hozzá, olyannyira megváltozott hangon, hogy alig lehetett reáismerni.	— Tối nay ông sẽ nhận được một bức thư của tôi, cô nói với anh bằng một tiếng nói lạc giọng, nghe khác hẳn đi, không nhận ra được nữa.
Ez a körülmény rögtön felötlött Juliennek.	Hiện tượng đó làm cho Julien cảm động ngay lập tức.
- Atyám, - folytatta de La Mole kisasszony, - méltó elismeréssel van a szolgálatok iránt, melyeket neki tesz.	— Cha tôi, cô nói tiếp, có một lòng quý mến xứng đáng đối với những việc ông làm giúp.
Nem szabad holnap elutaznia; találjon valami ürügyet.	Nhất thiết phải đừng đi ngày mai; hãy tìm một cái cớ nào đó.
- És futva távozott.	Và cô bỏ chạy vút đi.
Elbájoló jelenség volt.	Thân hình cô thật kiều diễm.
Lehetetlenség lett volna, hogy valakinek szebb lába legyen, sietésében olyan kellem volt, mely elbűvölte Julient; de kitalálnák-e, hogy mi volt második gondolata, mikor de La Mole kisasszony már egészen eltűnt előle?	Không thể nào có một bàn chân xinh đẹp hơn, cô chạy với một dáng uyển chuyển làm mê hồn Julien; nhưng có ai đoán được ý nghĩ thứ hai của anh sau khi cô đã hoàn toàn mất hút?
Lajost is, mikor haldokolt, élénken bántotta ez a kifejezés, melyet első orvosa elég ügyetlen volt használni, pedig hát XV.	Louis XV cũng vậy, lúc chết, đã nổi giận vì câu nhất thiết phải, do ông ngự y thứ nhất của ông dùng một cách vụng về, mà Louis XV đâu có phải là một anh chàng mới nổi.
- Nem ír túlságosan szenvelgően, - mondá magában Julien, irodalmi megjegyzésekkel igyekezve fékezni az örömöt, mely arczát összehúzta és akarata ellen nevetésre kényszerítette.	Lời văn không đến nỗi kiểu cách quá, Julien nghĩ bụng, và anh mượn những nhận xét về văn chương để nén nỗi vui sướng làm cho hai má anh co lại và khiến anh bật cười không cưỡng được, mặc dầu anh không muốn cười.
- Ime tehát, én, - kiáltott fel egyszerre, mert hogy a szenvedély igen is erős volt, semhogy fékezni tudta volna, - én, a szegény paraszt, szerelmi vallomást kapok egy előkelő hölgytől!	Thế là ta, anh bỗng kêu lên, vì lòng say mê mạnh quá không sao nén được, ta, một anh nhà quê quèn, ta được một lời tỏ tình của một bậc khuê các!
- A mi engem illet, nincs mit szememre vetnem, - tette hozzá, a lehetőség szerint visszafojtva örömét.	Còn về phần ta, không đến nỗi nào, anh nói thêm và hết sức nén nỗi vui sướng.
- Megtudtam óvni méltóságomat.	Ta đã khéo giữ gìn được phẩm cách của ta.
Sohasem mondtam, hogy szeretem.	Ta không hề nói rằng ta yêu.
- A betűk formáját kezdte vizsgálni; de La Mole kisasszonynak csinos, angolosan kisbetűs kézírása volt.	Anh bèn xem xét hình dáng chữ viết; cô de La Mole có một kiểu chữ viết nghiêng rất xinh.
Juliennek szüksége volt valami anyagi elfoglaltságra, hogy ne essék hatalmába az örömnek, mely egész az őrjöngésig ment.	Anh cần phải có một công việc vật chất để khuây lãng một nỗi vui sướng đến mê sảng.
"Elutazása szólásra kényszerít... Nem bírnám ki, hogy ne lássam többé..."	"Cuộc ra đi của ông bắt buộc tôi phải nói... Không được trông thấy ông nữa, thật là quá sức chịu đựng của tôi."
Mint valami felfedezés, egy gondolat villant meg Julienben, félbeszakítva Matild levelének vizsgálatát és megkettőzve örömét.	Một ý nghĩ chợt làm cho Julien sửng sốt như một cuộc phát minh, làm gián đoạn cái việc anh đương xem xét bức thư của Mathilde, và tăng nỗi vui sướng của anh lên gấp bội.
- Én csípem el de Croisenois marquis elől, - kiáltott fel, - én, a ki csak komolyan tudok beszélni!	Ta thắng hầu tước de Croisenois, anh kêu lên, ta, xưa nay chỉ biết nói những điều nghiêm trang!
És ő oly csinos ember!	Và hắn thì đẹp trai thế!
Bajusza van, ragyogó egyenruhája; mindig kész és épp a kellő pillanatban valami elmés és finom megjegyzésre.	Hắn có ria mép, có bộ đồng phục diễm lệ; hắn bao giờ cũng nói được, đúng lúc thích đáng, một câu dí dỏm và hóm hỉnh.
Juliennek gyönyörteljes pillanata volt; czéltalanul bolyongott a kertben, szinte magánkívül az örömtől.	Julien được một giây phút khoái trá; anh đi loăng quăng trong vườn, sung sướng điên cuồng.
Később fölment irodájába és bejelentette magát de La Mole marquisnál, a ki szerencsére otthon maradt.	Sau, anh lên buồng giấy của anh và cho người báo danh với hầu tước de La Mole, may thay ông ta có nhà.
Néhány, Normandiából érkezett, bélyeges papirral kezében, könnyen bebizonyította neki, hogy a normandiai pörök miatt kénytelen elhalasztani languedoci útját.	Anh chứng tỏ dễ dàng với ông, bằng cách đưa ông xem vài tờ giấy có đánh dấu, gửi từ Normandie tới, rằng việc chăm sóc những vụ kiện ở Normandie bắt buộc anh phải hoãn cuộc khởi hành của anh đi Languedoc.
- Igen kedvemre van, hogy nem utazik el, - mondá neki a marquis, mikor végeztek az ügyek tárgyalásával, - szeretem önt a közelemben látni.	— Ông không đi thì tôi càng thích, hầu tước nói với anh, khi hai người đã nói chuyện công việc xong, tôi thích được thấy mặt ông.
- Julien távozott; ez a mondás feszélyezte.	Julien ra về; câu nói kia làm anh bận tâm.
- És én elcsábítom a leányát!	Thế mà ta, ta quyến rũ con gái ông!
esetleg lehetetlenné teszem a de Croisenois marquis-val való házasságot, mely aggkorának reménye: ha már ő maga nem lesz herczeg, legalább leányának ülőhelye lesz az udvari fogadásokon.	Và có lẽ làm tan vỡ cuộc hôn nhân của cô với hầu tước de Croisenois là người làm cho tương lai của cô được vui tươi. Nếu ông chưa phải là công tước, thì ít ra con gái ông sẽ có một cái ghế đẩu .
- Julien arra gondolt, hogy Matild levelének és a marquis-val folytatott tárgyalásnak ellenére is elutazik Languedoc-ba.	Julien bỗng nảy ra ý kiến cứ đi Languedoc mặc dầu bức thư của Mathilde, mặc dầu lời giải thích với hầu tước.
Az erénynek ez a föllobbanása hamar elmúlt.	Cái ánh chớp đạo đức ấy biến đi rất nhanh chóng.
- Ugyancsak jólelkű vagyok, - mondá magában, - hogy én, a nép fia, sajnálkozást érzek egy ilyen főrangú család iránt!	Ta ngốc thật; anh tự nhủ; ta, con nhà dân dã, đi thương hại một cái gia đình ở cấp bậc kia!
Én, a kit de Chaulnes herczeg cselédnek mond!	Ta, mà công tước de Chaulnes gọi là một kẻ gia nhân!
Hogy gyarapítja a marquis rengeteg vagyonát?	Ông hầu tước tăng gia sản nghiệp vô tận của ông bằng cách nào?
Elad járadékokat, ha az udvarban megtudja, hogy másnapra valami államcsínyféle készül.	Bằng cách bán lợi tức hàng năm, khi ông được ở trong nội cho biết rằng ngày mai sẽ có thể có cuộc đảo chính.
És én, a kit a mostoha végzet a legutolsó sorba lökött, a kibe nemes szívet ültetett, de a kinek nem adott hozzá még ezer franc jövedelmet se, vagyis kenyeret se, úgy van, kenyeret se, - én visszautasítsak egy kínálkozó élvezetet!	Thế mà ta, bị một con tạo trớ trêu ném vào hàng ngũ cuối cùng, ta đã được con tạo ban cho một tấm lòng cao quý nhưng không cho lấy một nghìn quan lợi tức hàng năm nghĩa là không có bánh ăn, nói cho thật đúng là không có bánh ăn, ta lại từ chối một cái vui thích từ đâu dẫn đến!
Egy üdítő kortyot, mely eloltja szomjúságomat az alárendeltségnek ebben a sorvasztó pusztaságában, melyben oly kínosan bandukolok!	Một ngọn suối trong vắt đến giải khát cho ta trong cái sa mạc nóng bỏng của sự tầm thường mà ta phải đi qua một cách cực nhọc!
Szavamra, nem vagyok ily ostoba; magamagára vigyázzon mindenki az önzésnek e sivatagában, a mit életnek neveznek.	Nói chứ, đâu có dại thế; ai nấy vì mình trong cái sa mạc ích kỷ người ta gọi là cuộc đời.
És emlékezetébe idézett néhány lenézéssel teljes pillantást, melyet de La Mole marquisné, főleg pedig a hölgyek, a marquisné barátnői vetettek reá.	Và anh nhớ lại vài khóe mắt đầy vẻ khinh khỉnh của bà de La Mole nhìn anh, và nhất là của các bà phu nhân bạn của bà ta.
Az élvezet, hogy győzelmet arat de Croisenois marquis fölött, bevégezte az erény e föltámadásának bukását.	Cái vui thích được thắng hầu tước de Croisenois đến hoàn thành sự tan tác của tấm lòng hoài niệm đạo đức kia.
- Beh szeretném, ha megharagudna!	Ta chỉ ước gì hắn nổi nóng lên!
- mondá Julien; - mily biztonsággal adnék most neki egy kardvágást.	Julien nói; bấy giờ thì ta sẽ vững dạ biết bao mà cho hắn một nhát gươm.
- És karjával jelezte a csapást.	Và anh làm điệu bộ đâm một nhát gươm ở thế thứ hai .
- Eddig silány tudákos voltam, a ki hasznot húztam egy kevés bátorságból.	Trước chuyện này, ta chỉ là một anh rồ, lạm dụng một tí can đảm một cách thấp hèn.
E levél óta egyenrangú vagyok vele.	Sau bức thư này, ta là kẻ ngang hàng với hắn.
- Úgy van, - mondá magának végtelen gyönyörrel és lassan ejtve a szavakat, - érdemeink, a marquiséi és az enyémek megmérettek és a szegény Jura-hegyi ács bizonyúlt súlyosabbnak.	Phải, anh tự nhủ với một nỗi khoái lạc vô biên và nói thong thả, những tài đức của hai bên, của chàng hầu tước và của ta, đã được bắc đồng cân, và anh thợ mộc quèn miền Jura đắc thắng.
- Jó!	Tốt quá!
Ne higyje, de La Mole kisasszony, hogy megfeledkezem róla, ki vagyok.	Cô đừng có tưởng tượng, cô de La Mole ơi, rằng tôi quên cái thân phận của tôi đâu.
Majd megértetem és megéreztetem önnel, hogy egy ácsnak a fiáért árulta el annak a híres Guy de Croisenois-nak az ivadékát, a ki Szent Lajossal együtt ment a keresztes háborúba.	Tôi sẽ làm cho cô hiểu và thấy rõ rằng chính vì một thằng con nhà thợ mộc mà cô phụ một anh chàng dòng dõi của Guy de Croisenois trứ danh, đã theo thánh Louis đi Thập chiến.
Julien nem bírta fékezni örömét.	Julien không nén nổi vui sướng.
Kénytelen volt lemenni a kertbe.	Anh phải đi xuống vườn.
Szobájában, melynek ajtaját kulcscsal magára zárta, nem talált levegőt.	Căn buồng của anh, mà anh đã khóa trái cửa lại để yên trong đó, anh thấy chật chội quá không thở được.
- Én, a szegény Jura-hegyi paraszt, - ismételgette szünet nélkül, - én, a ki arra vagyok kárhoztatva, hogy örökké ebben a gyászos fekete ruhában járjak!	Ta, anh nhà quê quèn miền Jura, anh tự nhắc đi nhắc lại mãi, ta, số phận phải đeo mãi bộ áo dài đen này!
Hajh!	Than ôi!
húsz év előtt én is egyenruhát viseltem volna, mint ők!	Ví thử là hai mươi năm về trước, chắc là đã mặc quân phục như họ!
Akkor a magamfajta ember vagy elesett, vagy harminczhat éves korában tábornok volt.	Hồi đó, một con người như ta, hoặc bị giết hoặc làm nên cấp tướng năm ba mươi sáu tuổi.
- A levél, melyet markába szorítva tartott, hősi formát és tartást adott neki.	Bức thư kia, mà anh nắm chặt trong tay, làm cho anh có cái dáng người và cái tư thế của một bậc anh hùng.
