JAMES JOYCE	James Joyce
Kurtán bólintott Mr. Hyness felé, aztán letelepedett a székre, amelyről az öreg felállt.	Anh ta gật đầu nhanh với Mr Hynes và ngồi xuống cái ghế ông già vừa đứng lên.
- Az Aungier utcában dolgoztál?	- Cậu có làm phố Aungier không?
- kérdezte Mr. O’Connortól.	- anh ta hỏi Mr O'Connor.
- Igen - felelte Mr. O’Connor, és zsebeit kezdte dúlni a listáért.	- Có - Mr O'Connor nói, lục tìm trong túi áo quyển sổ ghi.
- Grimest meglátogattad?	- Cậu có đi gặp Grimes không?
- Meg.	- Có.
- Na és?	- Thế nào?
Hogy állsz vele?	ông ta về phe nào?
- Nem ígért semmit.	- Ông ấykhông chịu hứa chắc.
- És miért gondolod úgy?	- Sao lại thế?
- Megkérdezett, kik a jelöltek; és én felsoroltam.	- Ông ấy hỏi tớ những người đề cử ứng cử viên là ai, và những nói với ông ta.
Említettem Burke atya nevét.	Tớ còn nhắc cả tên Cha Burke nữa.
Helyén lesz, ha üt az óra.	Tớ nghĩ sẽ ổn thôi.
Mr. Henchy orrcimpái zajos működésbe jöttek, és a tűz fölött irtózatos gyorsasággal dörzsölni kezdte kezeit.	Mr Henchy bắt đầu khịt mũi và xoa tay liên hồi trên lò sưởi.
Aztán megszólalt:	Rồi anh ta nói:
- Az Isten szerelmére, Jack, hozz egy kis szenet.	- Vì Chúa, Jack, hãy mang thêm cho chúng tôi ít than.
Biztosan van még ott valamennyi.	Chắc phải còn một ít chứ.
- diadalmaskodott Mr. Hynes.	- Tớ đã bảo cậu thế nào rồi, Mat?
- Trükkös Tierney.	- Mr Hynes nói - Tierney Trí Trá Ti Tiện.
Azt hiszem, elfelejti azt az időt, amikor vén, töpörödött papája adok-veszek ócskás volt a Mary’s Lane-en.	Tớ chắc lão đã quên mất cái thời ông già nhỏ thó nhà lão làm chủ tiệm đồ cũ trên phố Mary's Lane.
- Igaz ez? - kérdezte Mr. O’Connor.	- Nhưng chuyện đó có đúng là thật không?
- Uramisten, persze - csodálkozott Mr. Henchy.	- Mr O'Connor hỏi.
- Most hallod először?	- Chúa ơi, thật - Mr Henchy nói - Cậu chưa bao giờ nghe thấy sao?
Vasárnap reggelen­ként, mikor a kocsmák még zárva voltak, az urak szépen elsétáltak hozzá nadrágot vagy mellényt venni.	Người ta vào tiệm ông già mỗi sáng Chủ nhật trước khi các quán rượu mở cửa để mua áo gi lê hoặc mua quần, thế đấy!
Erről van szó.	Thế đấy.
Az öreg megtért néhány széngörönggyel, és rátette a tűzre.	Ông lão quay lại mang theo một ít than và rải lên lò sưởi.
- Szép kis születési bizonyítvány - mondta Mr. O’Connor.	- Chúng ta lâm vào hoàn cảnh hay quá nhỉ?
Vállának egy lökésével ellódította magát a kandallópárkányról és távozni készült.	Mr Hynes cười to và lấy hai vai nhấc thân mình khỏi bệ lò sưởi, chuẩn bị đi.
Pá-pá.	Chào.
Sem Mr. Henchy, sem az öreg nem szólt, de épp amikor az ajtó becsukódott, Mr. O’Connor, aki kedveszegetten bámult a tűzbe, hirtelen utánakiáltott:	Cả Mr Henchy lẫn ông lão đều không nói gì, nhưng, ngay sau khi cánh cửa đang khép lại, Mr O'Connor từ nãy vẫn trầm tư nhìn đống lửa, bỗng nhiên gọi với theo:
- Viszlát, Joe.	- Chào, Joe.
Mr. Henchy várt néhány pillanatig, aztán fejével az ajtó irányába intett.	Mr Henchy chờ một lúc rồi hất đầu về phía cửa.
- Mond csak - szólt át a tűz fölött -, mi hozta ide barátunkat?	- Nói cho tớ - anh ta nói từ phía bên kia lò sưởi - điều gì mang anh bạn của chúng ta đến đây vậy?
Miben sántikál?	anh ta muốn gì?
Mr. Henchy orrcimpái felélénkültek, és olyan hitelest köpött a kályhába, hogy a tűz sistergő tiltakozást hallatva majdnem elaludt.	Mr Henchy khụt khịt mũi và khạc nhổ ầm ĩ đến nỗi anh ta suýt nữa làm tắt lửa, chuyện này làm dấy lên những tiếng xuỵt xuỵt bất bình.
- Ha az én személyes és pártatlan véleményemre vagy kíváncsi - Mr. Henchy elemében volt -, én azt hiszem, hogy Hynes a másik tábor embere.	- Nói riêng cho cậu biết thực sự tớ nghĩ gì - anh ta nói - Tớ nghĩ hắn ta là người của phe bên kia.
Eridj át hozzájuk tapogatózni, és tudd meg, hogy állnak.	Cứ đi một vòng thử xem họ đang thế nào rồi.
Rád nem fognak gyanakodni.	Không ai nghi ngờ cậu đâu.
- Ugyan, Joe szegény ördög, de becsületes.	- Ồ không.
- Az apja tisztességes, becsületes ember volt - engedett Mr. Henchy.	Joe khốn khổ thực ra là người tử tế đấy - Mr O'Connor nói.
- Szegény öreg Larry Hynes!	- Cha hắn ta đúng là một người tử tế, đáng kính - Mr Henchy công nhận - Khổ thân ông già Larry Hynes!
Nem egy tisztességes cselekedet fűződik a nevéhez.	Hồi còn sống ông ấy đã làm được hai điều tử tế.
- Végezze a maga dolgát, ne vizslasson itt körülöttünk.	Chẳng lẽ hắn không có một tí nhân cách nào hay sao?
- Nem tudom - mondta Mr. O’Connor kétkedően, és cigarettapapírt meg dohányt vett elő.	- Lần sau mà anh ta có đến tôi sẽ không niềm nở nữa - ông già nói - Cứ để anh ta làm việc cho phe của anh ta và đừng có lờ vờ dò xét ở đây.
- Én azt hiszem, Joe Hynes egyenes ember.	- Tôi không chắc lắm - Mr O'Connor phân vân khi anh ta lôi tập giấy cuốn và thuốc lá ra - Tôi nghĩ Mr Hynes là người ngay thẳng.
Amellett, hogy a tollat is ügyesen forgatja.	Anh ta còn là một cây bút khá sắc sảo nữa.
Emlékszel, mit írt egyszer...?	Cậu nhớ những gì anh ta viết không?
- Ki tudja - tűnődött az öreg. - Biztos adataim vannak.	- Khó mà biết được - ông lão nói.
Mr. O’Connor bólintott.	Mr O'Connor gật đầu.
- Itt van nektek Sirr polgármester egyenes leszármazottja, ha parancsoljátok.	- Đấy, một hậu duệ gần của Tướng Sirr!
Eladja hazánkat egy félgarasért - igen -, és roggyant térdére hullva ad hálát a Mindenható Krisztusnak, hogy egy országgal áldotta meg, amit eladhat.	Và thế là giờ gã bán bay tổ quốc của mình để lấy bốn xu - oài - và quỳ mọp gối cảm ơn Đấng Quyền năng đã cho gã ta một đất nước để đi bán.
Kopogtak az ajtón.	Cô tiếng gõ cửa.
- Tessék - szólt ki Mr. Henchy.	- Mời vào! - Mr Henchy nói.
Az ajtó nyílásában megjelent valaki, aki egyaránt hasonlított egy szerencsétlen egyházi férfiúra és egy szerencsétlen színészre.	Một người trông giống tu sĩ khất thực hoặc một diễn viên nghèo khổ xuất hiện ở cửa.
- Ó, Keon atya - ugrott fel székéről Mr. Henchy -, maga az?	- Mr Henchy nói, đứng bật dậy khỏi ghế - Có phải cha đấy không?
Fáradjon be.	xin mời vào!
- Nem, nem, nem, nem!	- Ồ không, không, không!
- mondta Keon atya gyorsan és ajkával csücsörítve, mintha gyerekhez szólna.	- Cha Keon nói nhanh, mím môi lại như thể ông đang nói với một đứa trẻ.
- Nem jön be egy kicsit megpihenni?	- Cha không vào ngồi một chút sao?
- Nem, nem, nem!	- Không, không, không!
- mondta Keon atya gyengéd, megbocsájtó, bársonyos hangon. - A világért se zavartassák magukat miattam.	- Cha Keon nói, với một giọng dè dặt, khoan dung, êm dịu - Đừng có bận tâm vì tôi.
Mr. Fanningot keresem csupán...	Tôi chỉ muốn tìm ngài Fanning...
- Nem, nem, köszönöm szépen.	- Không, không, cảm ơn.
Visszahúzódott az ajtónyílásból, és Mr. Henchy felragadva az egyik gyertyát az ajtóba rohant, hogy megvilágítsa neki a lépcsőt.	Ông ta bước ra khỏi cửa và Mr Henchy, tóm lấy một giá nến, đi ra cửa để soi cho ông ta bước xuống cầu thang.
- Ó, ne fáradjon, könyörgöm.	- Ấy, đừng bận tâm, tôi xin đấy!
- Szó sincs róla, de a lépcső rettenetesen sötét.	- Không, thưa cha, cầu thang tối lắm.
- Dehogy, dehogy... egészen jól látok... Nagyon, nagyon köszönöm...	- Không, không, tôi nhìn được... cảm ơn rất nhiều.
- Meg tetszett találni az utat?	- Cha đã xuống hết cầu thang chưa?
Mr. Henchy visszatért a gyertyával, és az asztalra tette.	Mr Henchy quay lại và đặt giá nến lên bàn.
Pár pillanatig csend volt.	Căn phòng im lặng một lúc.
- Mondd csak, John - szólalt meg Mr. O’Connor, cigarettára gyújtva egy másik kartonlappal.	- Nói cho tớ biết, John - Mr O'Connor nói, châm điếu thuốc của anh ta bằng một tấm các khác.
- Hm?	- Hử?
- Ki ez tulajdonképpen?	- Thực sự ông ta là ai?
- Kérdezz könnyebbet.	- Hỏi tớ câu khác dễ hơn đi - Mr Henchy nói.
- Fanning is meg ő is csupa ködös bizonytalanság számomra.	- Tớ thấy Fanning và ông ấy có vẻ rất thân thiết.
Sűrűn látni őket együtt Kavanagh-nál.	Họ thường vào quán Kavanagh với nhau.
- Mmmigen, azt hiszem... Gondolom, afféle fekete bárány.	- ừm, phải, tớ tin là vậy..Tớ nghĩ ông ta là một con chiên ghẻ, như người ta vẫn nói.
- Ez a másik rejtély.	- Mr O'Connor hỏi.
- Nem tartozik semmiféle kápolnához, parókiához vagy intézményhez vagy...	- đó là một điều bí ẩn khác.
Isten bocsássa meg nekem - tette hozzá -, azt gondoltam, ő lesz a tucat üveg sör...	- liệu chúng mình có thể hy vọng được uống gì không nhỉ?
- Ami az ivást illeti, semmiféle lehetőség nincs?	- Mr O'Connor hỏi.
- Magam is kiszáradtam - mondta az öreg.	- tôi cũng khát khô cả cổ - ông lão nói.
- Háromszor is kértem azt a kis cipőpucolót - panaszolta Mr. Henchy - küldene egy tucat üveg sört.	- tớ đã hỏi cái gã khố rách áo ôm đấy ba lần - Mr Henchy nói - hỏi xem lão ta có định cho người chuyển tá bia stout đến không.
Most megint kértem, de ott a pulton könyökölve ingujjasan, Cowley képviselő úrral merültek mélységes aljasságokba.	Tớ đã định hỏi, nhưng lúc đó lão đang ngả ngớn ở chỗ quầy tán huơu tán vượn với Alderman Cowley.
- Miért nem szóltál neki megint?	- Sao cậu không nhắc lão ấy?
- kérdezte Mr. O’Connor.	- Mr O'Connor nói.
- Nem fújhattam a nótám ott, mint egy papagáj, míg ő Cowley képviselő úrral beszél.	- Dào,làm sao mà tớ xuất hiện được khi lão ta đang nói chuyện với Alderman Cowley chứ.
Végül elkaptam a pillantását, akkor rákezdtem: "Amiatt a kis ügy miatt szeretnék magával beszélni..." "Minden rendben, Mr. H." - mondta.	Tớ chỉ có thể chờ cho đến khi đón được mắt lão ta, rồi nói Về và nhỏ mà tôi đã nói với ông...Chuyện đó sẽ được giải quyết, thưa ngài H... - lão ta nói.
Lefogadom, hogy az a nyavalyás kis hüvelykmatyi elfelejtette az egészet.	Phải, phải tất nhiên là lão lùn đã quên tiệt rồi chứ sao.
- Valamire nagyon készülődnek arrafelé - mondta Mr. O’Connor gondterhelten.	- Họ đang có phi vụ gì đó hay sao ấy - Mr O'Connor trầm tư - Hôm qua tớ thấy ba người bọn họ thì thà thị thụt ở góc phố Suffolk.
- Azt hiszem, tudom, mire megy a játék.	Và họ sẽ bầu cậu làm thị trưởng.
Mit gondolsz, megfelelnék?	Tớ có làm được không?
Mr. O’Connor nevetett.	Mr O'Connor cười lớn.
- Ami a pénzajándékokat illeti...	- Ít nhất về cái chuyện đi nợ tiền này thì...
- Kikocsizni a Mansion House kapuján talpig hermelinben, ezzel az öreg Jackkel a hátam mögött, rizsporos parókában - na?	- Ngồi xe từ Mansion House đi ra - Mr Henchy nói - mặc toàn đồ lông chồn, với già Jack đây đầu đội tóc giả rắc phấn đứng chào phía sau - không tồi, hở?
- Tégy meg engem magántitkárodnak, John.	- Và hãy thuê tớ làm thư ký riêng cho cậu, John.
- Jól van.	- Phải.
Keon atyát meg kinevezem magánkáplánommá.	Và tớ sẽ đề nghị cha Keon làm cha tuyênúy riêng cho tớ.
- Hitemre, Mr. Henchy - mondta az öreg -, finomabban tudná csinálni, mint sokan ezek közül.	- Nói thật chứ, ngài Henchy - ông già nói - ngài còn có phong cách hơn hẳn một số người bọn họ ấy.
"Na és hogy vagy megelégedve az új gazdáddal, Pat?" - kérdeztem tőle.	Giờ chắc ông không phải đón nhiều khách đến tiệc tùng nhỉ - tôi nói.
"A mosogatórongy szagán él ez!" És tudjátok, mit mondott még?	Và các ngài biết lão ấy đã nói gì với tôi không?
Istenemre mondom, máig sem hiszem el neki.	giờ, thề có Chúa, tôi không tin lời lão ta.
- Mit?	- Cái gì?
- kérdezte Mr. Henchy és Mr. O’Connor egyszerre.	- Mr Henchy và Mr O'Connor cùng nói.
- Azt mondta: "Mit szólnál, ha Dublin polgármestere fél kiló karajért szalajt az ebédjéhez?	- Lão ấy bảo tôi, Ông nghĩ thế nào về một ngài thị trưởng Dublin ăn tối vỏn vẹn có một pao sườn?
Ajaj" - mondom én.	- lão ấy nói.
- "Ajaj" - mondom én -, "hogy miféle emberek vannak mostanában!"	- tôi nói - không biết bao giờ quan chức người ta thành ra cái kiểu gì nữa không biết?
Az elmélkedést e ponton kopogás szakította félbe, és egy fiú dugta be a fejét az ajtón.	Đúng lúcđó có tiếng gõ cửa và một thằng bé thò đầu vào.
- Mi az?	- Cái gì thế?
- kérdezte az öreg.	- ông già hỏi.
- A Fekete Sasból - válaszolta a fiú oldalvást bepréselődve, és egy kosarat helyezett a padlóra, összeütődő üvegek sokat ígérő lármájával.	- Cái này từ quán Đại bàng đen - thằng bé nói, tiến vào và đặt một cái bị lên sàn bên trong lanh canh tiếng chai.
Az öreg segített a fiúnak kirakni az asztalra a kosár tartalmát, és számba vette a küldeményt.	Ông già giúp thằng bé chuyển chai lên bàn và kiểm lại số lượng.
A fiú a karjára fűzte az üres kosarat és megkérdezte:	Chuyển xong thằng bé đeo bị vào tay và hỏi:
- Üvegek?	- Có vỏ chai nào không?
- Miféle üvegek?	- Vỏ chai gì?
- tudakolta az öreg.	- ông già hỏi.
- Előbb kiisszuk, nem?	- Chẳng nhẽ mày không để bọn tao uống cái đã hả?
- kérdezte Mr. Henchy.	- Mr Henchy nói.
- Azt mondták, kérdezzem meg, van-e üveg.	- Tôi được báo là phải hỏi lấy lại vỏ chai.
- Holnap kérdezd meg - felelte az öreg.	- Mai quay lại - ông lão nói.
- Ide figyelj, fiú!	- Này nhóc!
A kosarat itt hagyhatod.	Cứ để bị ở đây.
A fiú kifordult a szobából, és Mr. Henchy vidoran dörzsölgette a kezét:	Thằng bé đi ra và Mr Henchy vui vẻ xoa hai tay, nói:
- Na, mégsem olyan átkozottul gonosz, mint gondoltuk.	- À, ừ, dù sao thì lão ấy cũng đâu có tệ lắm.
- Nincs poharunk - állapította meg az öreg.	- Không có ly đâu - ông lão nói.
- Sose búsuljon - nyugtatta meg Mr. Henchy -, sok jó ember ivott már üvegből mielőttünk.	- Ấy,đừng để chuyện đó làm ông mất vui chứ, Jack - Mr Henchy nói - Đã có bao trang nam tử trước chúng ta từng uống thẳng từ chai mà.
- Így is jobb, mint sehogy - vélte Mr. O’Connor.	- Dù sao thì thế này cũng tốt hơn là không có gì - Mr O'Connor nói.
- Nem lenne ő rossz fiú - bizonygatta Mr. Henchy -, csak Fanning van rá olyan borzasztó hatással.	- Lão ta không phải loại tệ lắm - Mr Henchy nói - chỉ tội lão ta bị Fanning sai khiến nhiều quá.
A fiú visszajött a dugóhúzóval.	Thằng bé quay lại với cái mở chai.
Az öreg kinyitott három palackot, és éppen a dugóhúzót adta vissza a fiúnak, amikor Mr. Henchy megszólalt:	Ông lão mở ba chai và đang chuẩn bị đưa lại cái mở chai cho thằng bé thì Mr Henchy nói với nó:
- Nem innál egyet, fiú?	- Mày có muốn uống không, nhóc?
- Ha lenne olyan kedves...	- Thưa, nếu ngài cho phép - nó nói.
Az öreg morogva nyitott ki még egy palackot, és a fiúnak nyújtotta.	Ông lão miễn cưỡng mở một chai nữa và đưa cho thằng bé.
- Hány éves vagy?	- Mày bao nhiêu tuổi?
- kérdezte.	- ông ta hỏi.
- Tizenhét - felelte a fiú.	- Mười bảy tuổi - thằng bé nói.
- Így kezdődik - jegyezte meg az öreg.	- Chẳng chóng thì chầy rồi cũng hỏng thôi - ông lão nói.
- Kis tűn kezdi, ökrön végzi - kommentálta Mr. Henchy.	- Rồi không rút chân ra được - Mr Henchy nói.
Az öreg kiosztotta a három üveget, és mind a hárman egyszerre emelték a szájukhoz.	Ông lão chia ba chai bia vừa mở cho từng người và họ cùng dốc chai uống.
- Igen, ezért a napért nagyon megdolgoztam - törte meg a csendet Mr. Henchy.	- Ừ, hôm nay tớ cũng làm được kha khá - Mr Henchy nói, sau một lúc.
- Ne mondd! - De bizony.	- Thế hả, John?
Egy-két dolgot biztosra elintéztem neki a Dawson utcában, már mint Crofton és én.	- Ừ, tớ lấy được cho lão ta một hay hai phiếu chắc chắn ở phố Dawson, tớ và Crofton.
Tudjátok, Crofton (persze azért nagyon tisztességes fickó) nem sokat ér kortesnek.	Nói riêng cho cậu biết nhé, Crofton (tất nhiên hắn ta là người tử tế rồi) là tay vận động không đáng một xu.
Egyikük irtózatosan kövér volt, és szövetruhája állandóan abban a veszélyben forgott, hogy lecsúszik minden irányban lejtős alakjáról.	Một trong hai người rất to béo, đến nỗi bộ quần áo vải séc màu xanh của anh ta dường như có nguy cơ chuẩn bị trượt khỏi thân hình dốc đứng.
Roppant arca feltűnően hasonlított egy tinó pofájához, azzal a kék barom-szemével és deresedő bajuszával.	Anh ta có khuôn mặt to bè, vẻ mặt trông giống như mặt một con bò đực non, đôi mắt xanh nhìn chằm chặp và hàng ria hoa râm.
A másik sokkal fiatalabb és karcsúbb volt, arca keskeny, simára borotvált.	Người kia, trẻ và mảnh dẻ hơn rất nhiều, mặt gầy gò, nhẵn nhụi.
Hihetetlen magas duplagallért és széles peremű keménykalapot viselt.	Anh ta mặc một chiếc áo cổ kép rất cao và đội mũ tròn vành rộng.
- Halló, Crofton - üdvözölte Mr. Henchy a kövért - farkast emlegetnek...	- Chào, Crofton! - Mr Henchy nói với người to béo - vừa nhắc đến sói thì sói xuất hiện...
- Honnan jött a tütü?	- Bia bọt đâu ra thế này?
- kérdezte a fiatal.	- người đàn ông trẻ hỏi - Ăn mừng cái gì à?
- Megtojta a tyúk az aranytojásokat?	- Ha, tất nhiên rồi, Lyons luôn đánh hơi được rượu đầu tiên!
- Persze, mi mást vesz észre Lyons először, mint az itókát - nevetett Mr. O’Connor.	- Mr O'Connor nói, cười lớn.
- Így korteskedtek hát, nyavalyásak - mondta Mr. Lyons -, míg mi Croftonnal esőben-szélben hajszoljuk a szavazókat.	- Lũ các cậu đi vận động thế này hả - Mr Lyons nói - còn tớ với Crofton thì dầm mưa đi kiếm phiếu?
- Hogy a fene egyen meg - ripakodott rá Mr. Henchy -, öt perc alatt több szavazatot hajtok fel, mint ti ketten egy hétig.	- Cái gì chứ, quỷ tha ma bắt các cậu đi - Mr Henchy nói - Trong năm phút tớ còn kiếm được nhiều phiếu hơn hai đứa nhà cậu kiếm trong một tuần.
- Nyisson ki két palackot, Jack - rendelkezett Mr. O’Connor.	- Hãy mở chai nữa, Jack - Mr O'Connor nói.
- Hogyan, mikor nincs dugóhúzó? - Várjatok csak, várjatok csak!	- Làm sao tôi làm được - ông lão nói - khi không có cái mở chai đây?
Felkapott két palackot az asztalról, a tűzhöz vitte, és a láng fölé a rácsra tette.	Anh ta lấy hai chai bia trên bàn, mang đến lò sưởi, đặt vào ngăn nướng.
Mr. Lyons az asztal végére telepedett, tarkójára lökte a keménykalapot, és lóbálni kezdte a lábát.	Mr Lyons ngồi trên mé bàn, kéo mũ xuống sau gáy và bắt đầu đung đưa hai chân.
- Melyik lesz az enyém?	- Chai nào là của tớ?
- érdeklődött.	- anh ta hỏi.
- Ez itt, kölyök - felelte Mr. Henchy.	- Đây, ông bạn - Mr Henchy nói.
Mr. Crofton ráfolyt egy ládára, és meredt szemekkel bűvölte a másik palackot.	Mr Crofton ngồi xuống một cái hòm và nhìn đăm đăm vào cái chai còn lại trong lò nướng.
Hallgatott, két okból is.	Anh ta im lặng vì hai lẽ.
Hallgatott először azért - és ez már önmagában elégséges lett volna -, mert nem volt semmi mondanivalója; hallgatott másodszor azért, mert lenézte a társaságot.	Thứ nhất, lý do này là đủ, anh ta không có gì để nói, thứ hai, anh ta cho những người bạn của mình đều dưới tầm.
Eredetileg a konzervatív Wilkinsnek lett volna a kortese, de mikor a Konzervatív Párt visszahívta jelöltjét, és két gonosz közül a kisebbnek látszót választva a Nemzeti Párt jelöltjeit támogatta szavazataival, Mr. Crofton Mr. Tierney szolgálatába állt.	Anh ta từng làm người đi vận động bỏ phiếu cho Wilkins, ứng viên Đảng Bảo thủ, nhưng khi Đảng Bảo thủ rút người và, lựa chọn cái đỡ tồi tệ hơn trong hai cái tồi tệ, và, tính đến sự ủng hộ của người ta đối với ứng viên phái Dân tộc chủ nghĩa, anh ta bằng lòng làm việc cho Mr Tierney.
- Éppen most mesélem, Crofton - folytatta Mr. Henchy -, hogy ma azért megdolgoztunk egy-két szavazót.	- Tớ đang nói với họ đây, Crofton - Mr Henchy nói - rằng hôm nay chúng ta kiếm được kha khá phiếu.
- Kiket?	- Các cậu được những ai?
- kérdezte Mr. Lyons.	- Mr Lyons hỏi.
- Egynek megszereztem Parkest, megszereztem egy másiknak Atkinsont, és megszereztem a Dawsson utcában Wardot.	- Ừ, tớ có Parkes là một này, Atkinson là hai này, và cả Ward ở Phố Dawson nữa.
"Az én jelöltem tekintélyes férfi", feleltem.	Ông ấy là người có uy tín, tớ nói.
"Mindent szívügyének tekint, ami csak hazánk jobblétére szolgál.	Ông ấy ủng hộ tất cả những gì mang lợi cho đất nước này.
Tekintélyes és városszerte tisztelt polgártársunk, mondtam tovább, a Szegény Törvény őre, és semmiféle párthoz nem tartozik, legyen az jó vagy rossz, vagy közömbös." Látjátok, így kell velük beszélni.	Ông ấy có rất nhiều tài sản nhà cửa trong thành phố và ba hãng buôn, chẳng nhẽ ông ấy lại không muốn thuế được hạ thấp nhất có thể?
Mire van égetően szüksége ennek az országnak?	Nói với bọn họ là phải nói như vậy.
- kérdezte Mr. Henchy.	- Thế còn bài diễn văn đón chào đức vua?
- Tőkére, mint ahogy ezt az öreg Wardnak is elmagyaráztam.	- Mr Lyons nói, sau khi đã uống bia và chẹp chẹp môi.
A király idejövetele hatalmas pénzfolyam előtt fogja megnyitni a zsilipeket.	Chuyến thăm của đức vua đến đây có nghĩa tiền sẽ chảy về đất nước này.
Ömlik az áldás Dublin polgáraira.	Những công dân Dublin sẽ hưởng lợi từ đó.
Tőke, az kell nekünk.	Chúng ta cần vốn
- De idefigyelj, John - vitatkozott Mr. O’Connor. - Miért kell nekünk Edwardot, Anglia királyát üdvözlő szózattal fogadni?	- Nhưng hãy nhìn xem, John - Mr O'Connor nói - tại sao chúng ta phải chào đón vua nước Anh cơ chứ?
Nem Parnell maga...	chẳng nhẽ không phải chính Parnell đã...
- Parnell meghalt - állapította meg Mr. Henchy.	- Parnell - Mr Henchy nói - đã chết rồi.
- Most elmondom, hogyan látom én a dolgokat.	Nào, đây là cách tớ nhìn mọi chuyện đây.
Adva van ez a fickó, aki - miután vén mamája addig tartotta távol az uralkodástól, míg beleőszült - végre trónra került.	Ông ta đâu có được ngôi đâu, bà mẹ già của ông ta giữ tiệt lấy nó cho đến khi ông ta bạc tóc.
Ha engem kérdeznél, szerintem rém rendes fickó, és nem csinál semmi marhaságot.	Ông ta là một gã tử tế, vui vẻ, nếu các cậu hỏi tớ, và không có tai tiếng gì.
Na már most azt mondja magában: "A mamának eszébe sem jutott, hogy meglátogassa ezeket a veszett íreket.	Ông ta chỉ tự nhủ thế này, Bà già ta chẳng bao giờ đi gặp những người Ireland hoang dã này.
Nem igaz, Crofton?	không đúng sao, Crofton?
Mr. Crofton bólintott.	Mr Crofton gật đầu.
- De azért mégiscsak - érvelt Mr. Lyons - Edward király életében vannak...	- Nhưng dù sao bây giờ - Mr Lyons nói, giọng tranh cãi - cuộc đời của vua Edward, các cậu biết đấy, cũng không phải là...
- Borítsunk fátylat a múltra - mondta Mr. Henchy.	- Chuyện gì đã qua hãy để nó qua đi - Mr Henchy nói - Cá nhân tớ, tớ ngưỡng mộ ông ấy.
- Az Isten szent nevére, hát hogy kerül ez a kettő egymás mellé?	- Có Chúa chứng giám - Mr Henchy nói - hai trường hợp có gì giống nhau kia chứ?
- Arra gondolok, hogy nekünk is megvannak a magunk eszményei.	- Ý tớ là - Mr Lyons nói - chúng ta có những lý tưởng riêng của mình.
Gondolod, hogy azután, amit tett, Parnell alkalmas volt rá, hogy a vezetőnk legyen?	các cậu có nghĩ rằng sau tất cả những gì Parnell đã làm thì ông ta vẫn xứng đáng để lãnh đạo chúng ta?
- Ma van a Parnell-évforduló - vetette közbe Mr. O’Connor -, és ne kavarjuk fel a sötét emlékeket.	- Hôm nay là kỷ niệm ngày Parnell mất - Mr O'Connor nói - và đừng có làm chúng ta phát sôi máu lên một cách vô nghĩa làm gì.
Pukk!	Pốc!
Mr. Crofton üvegéből kiröppent a mindeddig vonakodó dugó.	Mr Crofton rời khỏi cái hòm đang ngồi và đi về phía lò sưởi.
Mr. Crofton felkelt, és a tűzhöz lépett; amint zsákmányával visszatért, mély hangon nyilatkozott:	Quay lại với chiến lợi phẩm anh ta nói bằng một giọng trầm trầm.
- A képviselőház konzervatív szárnya tiszteli, mert úriember volt.	- Phe bọn tớ tôn trọng ông ấy, bởi ông ấy là một quý ông thực sự.
- Nagyon igazad van, Crofton!	- Cậu nói rất đúng, Crofton!
"Kuss, kuvasz!	Nằm xuống!
Nem ülsz le, átkozott!" Így kezelte őket.	Đó là cách ông ấy đối xử với họ.
Gyere be, Joe!	Vào đi, Joe!
Gyere!	Vào đi!
- kiáltott ki, megpillantva Mr. Hynest az ajtóban.	- anh ta gọi to, thoáng thấy bóng Mr Hynes phía cửa.
Mr. Hynes megfontoltan bejött.	Mr Hynes chậm rãi bước vào.
- Nyisson ki egy másik palackot, Jack - rendelkezett Mr. Henchy.	- Mở một chai nữa đi, Jack - Mr Henchy nói - Ấy, tôi quên mất là không có cái mở chai!
Az öreg átnyújtott neki egy palackot, és Mr. Hynes a rácsra tette.	Ông lão đưa cho anh ta một chai khác và anh ta đặt nó lên ngăn nướng.
- Ülj le, Joe - udvariaskodott Mr. O’Connor -, éppen a Főnökről beszélgetünk.	- Ngồi xuống đi Joe, - Mr O'Connor nói - Bọn tớ đang nói về Ông Cả ấy mà.
- Igen, igen!	- Phải, phải!
- mondta Mr. Henchy.	- Mr Henchy nói.
Mr. Hynes az asztal szélére ült, Mr. Lyons mellé, de nem szólt egy szót sem.	Mr Hynes ngồi trên mép bàn gần Mr Lyons nhưng không nói gì.
- Akadt közöttünk valaki mégis - folytatta Mr. Henchy -, aki nem hagyta el őt.	- Dù gì thì cũng có một người trong bọn họ - Mr Henchy nói - không từ bỏ ông ấy.
Istenemre, rólad van szó, Joe!	Thề có Chúa, tớ nói là cậu đấy, Joe!
Nem, te ember vagy, megmaradtál mellette!	Không, thề có Chúa, cậu tôn sùng ông ấy!
- Joe - szólt közbe hirtelen Mr. O’Connor - mutasd meg, amit akkor írtál.	- Ừ phải, Joe - Mr O'Connor đột nhiên nói - đọc cho bọn tớ nghe cái bài cậu viết hồi trước đi - cậu có nhớ không?
- Persze!	- Phải đấy!
- mondta Mr. Henchy. - Mutasd meg.	- Mr Henchy nói - Đọc cho bọn tớ đi.
Nem hallottad még, Crofton?	Cậu chưa bao giờ nghe bài ấy phải không, Crofton?
- Gyerünk - sürgette Mr. O’Connor. - Ki vele, Joe.	- Đọc đi - Mr O'Connor nói - Đọc đi nào Joe.
