ÉMILE ZOLA	Émile Zola
Egy esztendei únott és közönyös várakozás után mind a ketten visszatértek tehát aggodalmukhoz és vágyukhoz.	Thế là cả hai lại trở về với những lo âu và ham muốn sau một năm dài chờ đợi trong chán nản và dửng dưng.
Laurent egy este, a bolt bezárásakor, egy pillanatra visszatartotta Thereset a sikátorban és tüzes hangon így szólt hozzá:	Một buổi tối lúc đóng cửa, Laurent giữ Thérèse lại một lúc trên ngõ. - Em có muốn tối nay anh đến phòng em không?
- Akarod, hogy ma este feljőjjek a szobádba?	- hắn hỏi nàng với một giọng sôi nổi.
A nő ijedt mozdulattal válaszolt:	Thiếu phụ phác một cử chỉ sợ hãi.
- Nem, nem, várjunk... legyünk okosak.	- Không, không… Ta hãy đợi… - nàng nói - Ta hãy thận trọng.
- Elég régóta várok, azt hiszem, - felelt Laurent - már belefáradtam; akarlak!	- Anh chờ đợi khá lâu rồi, anh cho là vậy - Laurent tiếp lời - Anh mệt mỏi, anh cần em.
Therese bolondul ránézett, a forróságtól égett a keze és az arca.	Thérèse nhìn hắn say đắm, hơi nóng thiêu đốt bàn tay và gương mặt nàng.
Úgy látszott, hogy habozik; aztán hirtelen így szólt:	Nàng dường như do dự, rồi với một giọng mạnh bạo.
- Végy feleségül, s a tied leszek.	- Chúng ta hãy lấy nhau đi, em sẽ thuộc về anh.
XVII.	Chương 17
Feszült aggyal, nyugtalan vérrel ment el Laurent a sikátorból.	Laurent rời ngõ với đầu óc căng thẳng, thân xác bồn chồn.
Therese meleg lehelete és beleegyezése felébresztette benne a régi vágyakat.	Hơi thở nóng ấm, sự ưng thuận của Thérèse vừa mang hắn trở lại với những nhức buốt ngày trước.
A rakpartra ment és sétált, kezében tartva a kalapját, hogy az éj levegője felfrissítse az arcát.	Hắn đi về hướng cảng, chiếc mũ cầm tay để mặt được đón nhận trọn vẹn hơi mát của bầu trời.
Mikor a Saint-Victor utcába ért, a szállója kapujába, félt fölmenni, nem mert egyedül lenni.	Khi đã đến đường Saint Victor, nơi cổng khu nhà trọ, hắn sợ phải leo lên, sợ cô đơn một mình.
Valami megmagyarázhatatlan, előre nem látott, gyermekes ijedtséget érzett, attól félt, hogy padlásszobájában egy elrejtőzött embert talál.	Một nỗi khiếp sợ trẻ con, khó hiểu, bất ngờ khiến hắn lo ngại gặp một người đàn ông giấu mình trên tầng thượng.
Ilyen gyáva félelem még soha sem fogta el.	không bao giờ hắn mắc chứng nhát gan như thế.
Meg se próbálta, hogy okoskodásával megszüntesse azt a különös borzongást, mely erőt vett rajta; bement egy bormérésbe és ott maradt egy óra hosszáig, éjfélig, mozdulatlanul és szótlanul egy asztalnál s gépiesen itta tele poharankint a bort.	Thậm chí hắn không cố suy diễn cơn rùng mình kỳ lạ đang xâm chiếm hắn, hắn đến một quán rượu và ở đó một giờ đồng hồ, cho đến nửa đêm, bất động và lặng thinh ở một bàn, máy móc nốc cạn những ly rượu lớn.
Theresere gondolt, haragudott a nőre, aki ma este nem akarta őt a szobájában fogadni s az járt az eszében, hogy ha most vele volna, akkor nem félne.	Hắn nghĩ đến Thérèse, hắn bực mình thiếu phụ không muốn tiếp hắn ngay đêm nay trong phòng nàng, và hắn nghĩ rằng có lẽ hắn không sợ nếu có nàng.
Becsukták az üzletet s Laurent az utcára került.	Quán đóng cửa, người ta đuổi hắn ra đường.
Hazament, hogy gyufát kérjen.	Hắn trở lại hỏi mua bao diêm.
Ez a folyosó és ez a lépcsőház rettenetesen sötét volt és megijesztette őt.	Hành lang này, chỗ đầu cầu thang tối ghê gớm làm hắn khiếp sợ.
Máskor vidáman szokott átmenni ezen a sötétségen.	Thông thường, hắn băng qua đám tối đó một cách thoải mái.
Ezen az éjszakán nem mert csöngetni se, arra gondolt, hogy talán a pincelejárat valamelyik zugában gyilkosok vannak, akik hirtelen nekiugranak a torkának, mikor elmegy előttük.	Nhưng tối nay, hắn không dám khuấy động, hắn nhủ thầm có thể ở chỗ sâu nào đó hình thành bởi lối vào tầng hầm, có những tên giết người bất thần nhảy bổ vào chẹn cổ họng lúc hắn đi qua.
Végre mégis csöngetett, meggyújtott egy gyufát s rászánta magát, hogy elindul a folyosón.	Cuối cùng hắn khua động, bật một que diêm và quyết định bước vào hành lang.
A gyufa elaludt.	Que diêm tắt ngấm.
Mozdulatlanul megállott, lihegett, nem mert elszaladni s oly aggódva dörzsölte a gyufaszálakat a nedves falhoz, hogy reszketett a keze.	Hắn đứng lại bất động, thở gấp, không dám lỉnh đi, cuống cuồng quét những que diêm lên bức tường ẩm thấp khiến bàn tay hắn run lẩy bẩy.
Úgy rémlett neki, mintha hangokat hallott volna, mintha valaki járkálna előtte.	Dường như hắn nghe thấy những giọng nói, những tiếng động bước chân phía trước hắn.
A gyufaszálak összetörtek az ujjai között.	Những que diêm gãy nát giữa những ngón tay.
Végre sikerült egyet meggyújtania.	Sau cùng hắn cũng bật được một que.
Aztán a gyufa lángra lobbant s fehér és világos lett a fénye.	Rồi que diêm nổ lét đét, ánh sáng trở nên màu trắng và rõ ràng.
Laurent megkönnyebbülten és óvatosan előre indult, vigyázva, hogy a gyufa el ne aludjék.	Laurent nhẹ mình, thận trọng tiến tới trong khi canh chừng không để mất lửa.
Mikor a pincelejárat előtt kellett elmennie, a szemközt levő falhoz lapult; itt valami sötét tömeg volt, amelytől megborzadt.	Khi đi qua trước tầng hầm, hắn dựa sát vào tường đối diện, có một đám tối làm hắn khiếp sợ.
Gyorsan megtette azt a néhány lépést, amely még elválasztotta a szálló irodájától és mikor megkapta a gyertyáját, azt hitte, hogy már meg van mentve.	Sau đó hắn nhanh nhẹn leo lên vài bậc phân cách hắn với phòng quản lý, và tự cho là mình thoát nạn khi cầm được ngọn nến.
Az emeleteken már könnyebben ment fel, magasra tartva a gyertyáját, hogy megvilágítson minden zugot, amely előtt el kell mennie.	Hắn leo lên những tầng khác nhẹ nhàng hơn, giơ cao cây nến soi sáng mọi góc tối hắn phải đi qua.
A nagy, furcsa árnyak, amelyek jönnek-mennek, ha egy lépcsőházban járunk gyertyával, kényelmetlen érzéseket keltettek benne, amint hirtelen felemelkedtek és szemben álltak vele.	Những bóng đen to lớn kỳ dị tới tới lui lui khi đang ở trong cầu thang với một tia sáng khiến hắn tràn ngập một nỗi khó chịu mơ hồ, chúng nổi lên rồi đột ngột nhoà đi trước mặt hắn.
Mikor felért, kinyitotta a szobája ajtaját és gyorsan bezárta.	Khi ở trên tầng thượng, hắn mở cửa phòng và nhanh chóng khép lại.
Első gondja az volt, hogy az ágy alá nézzen, s gondosan bejárta a szoba minden zugát, hogy lássa, nem rejtőzött-e el valaki.	Việc bận tâm đầu tiên của hắn là nhìn dưới gầm giường, khám xét tỉ mỉ căn phòng, để xem liệu có ai ẩn núp trong đó không.
Becsukta a tetőablakot is, arra gondolva, hogy a tető felől is bejöhet valaki.	Sau khi đã thu xếp đâu đó xong xuôi, hắn cảm thấy yên tâm hơn.
Mikor mindezzel végzett, nyugodtabbnak érezte magát, levetkőzött, csodálkozva a gyávaságán.	Hắn cởi quần áo mà trong lòng ngạc nhiên về sự nhát gan của mình.
Végül is mosolygott rajta, hogy úgy viselkedett, mint egy gyermek.	Cuối cùng hắn mỉm cười tự cho mình trẻ con.
Sohasem volt félős és nem tudta megmagyarázni ezt a hirtelen ijedségi rohamot.	Hắn chưa từng sợ hãi và không thể giải thích cơn hoảng loạn bất ngờ đó.
Lefeküdt.	Hắn đi nằm.
Mikor elmerült a meleg ágyneműbe, megint Theresere gondolt, akit az ijedsége az imént kivert a fejéből.	Khi đã ấm áp trong chăn, hắn lại nghĩ về Thérèse mà nỗi sợ hãi đã làm hắn quên đi.
Makacsul lehunyta szemeit, hogy könnyebben elaludjék, de érezte, hogy a gondolatai akarata ellenére is dolgoznak, egymást érik, egyik a másikba kapcsolódik, s minden gondolata annak az előnyeit tárja elé, ha minél előbb nőül veszi Thereset.	Cặp mắt khư khư nhắm lại để tìm giấc ngủ, nhưng bất chấp hắn, những ý tưởng chừng như vẫn hoạt động, chúng bám riết hắn, nối kết với nhau, luôn luôn bày cho hắn thấy những mối lợi nếu hắn gấp rút kết hôn.
Majd látva, hogy nem bír elaludni, hogy az álmatlanság miatt izgatott a teste, hanyatt feküdt, tágra nyitotta a szemeit, s engedte, hogy az agya megteljék a szép asszony emlékezetével.	Không thể ngủ được, sự trằn trọc làm thân xác hắn rát buốt, hắn bèn nằm ngửa ra, mắt mở thật to, mặc cho đầu óc tràn đây hồi ức về thiếu phụ.
Egyensúlya megbillent, a multnak forró láza újból felizgatta.	Sự quân bình đã đổ vỡ, cơn sốt hâm hấp ngày nào lại giày vò hắn.
Arra gondolt, hogy felkel és visszamegy a Pont-Neuf sikátorba.	Hắn có ý muốn chồm dậy, quay trở lại ngõ Cầu Mới.
Kinyitja a rácsos kaput, azután felmegy és kopog a lépcsőre nyíló kis ajtón és Therese fogadja őt.	Hắn sẽ tự mình mở chấn song sẽ đập cánh cửa nhỏ ở Cầu thang và Thérèse sẽ tiếp hắn.
Erre a gondolatra fejébe szállt a vér.	Với ý nghĩ đó, máu hắn dồn lên cổ.
Ábrándképei csodálatosan világosak voltak.	Cơn mộng mị của hắn sáng rõ đáng ngạc nhiên.
Itt újra érezte a multnak forró örömeit s eszébe jutottak a házasságtörés kéjes borzalmai és szívetszúró örömei.	Ở đó, hắn cảm nhận những niềm vui nóng bỏng ngày trước, nhớ lại những nỗi khiếp sợ ngọt ngào, những khoái lạc xót xa của việc ngoại tình.
Az emlékezései valóságokká váltak és befolyásolták minden érzékét: érezte a folyosó kellemetlen szagát és mintha hozzáért volna a nyirkos falhoz s látta a sötét árnyékot, melyet a falra vetett.	Những ký ức trở thành thực tế xúc động đến mọi giác quan, hắn ngửi thấy mùi vị nhạt nhẽo của hành lang, hắn sờ soạng những bức tường nhớp nhúa, hắn nhìn thấy bóng tối bẩn thỉu lê lết trên đó.
Lihegve és hallgatózva lépegetett föl a lépcsőfokokon, vágyait az óhajtott nőnek már ily félénk megközelítésével is kielégítve.	Và hắn bước lên từng bậc thang, thở hào hển, dõng tai nghe ngóng, kìm nén những ham muốn khi sợ sệt đến với người đàn bà hắn thèm khát.
Végül kopogott az ajtón, az ajtó kinyílt és ott volt Therese, aki már várt reá, alsószoknyában, egész fehéren.	Cuối cùng hắn cào cửa, cửa mở Thérèse ở đó đang đợi hắn trong bộ váy mặc trong trắng toát.
Gondolatai valóságos látományokká fejlődtek.	Những ý nghĩ đó diễn ra trước mặt hắn bằng những cảnh tượng thực.
Szemeit a sötétbe meresztve, látott.	Mắt đăm đăm vào bóng tối, hắn nhìn.
Egy pillanatig mozdulatlanul állott, mezítláb, hallgatózva.	Đứng bất động một lúc, đôi chân trần, hắn lắng tai.
Úgy rémlett neki, mintha zajt hallott volna a lépcsőházból.	Dường như hắn nghe tiếng động ở thềm cầu thang.
Ha elmenne Theresehez, megint el kellene mennie a pince lejárata előtt, ott lenn; erre a gondolatra hideg borzongás futott végig a hátán.	Nếu đi đến chỗ Thérèse, hắn buộc một lần nữa phải đi qua trước cửa tầng hầm ở dưới, ý nghĩ đó gây cho hắn một cơn rùng mình mạnh chạy dọc sống lưng.
Újból elfogta az ijedtség, valami ostoba és fojtogató ijedtség.	Nỗi khiếp sợ lại xâm chiếm hắn, một nỗi khiếp sợ ngây dại và trì nặng.
Gyanakodva nézett körül a szobában, fehéres fényfoszlányokat látott végigosonni, aztán csendesen, óvatosan és aggódó sietséggel megint visszafeküdt az ágyba; betakaródzott s elbújt a takarója alá, mintha menekülni akart volna a fegyver, a kés elől, amellyel fenyegették.	Hắn hoang mang nhìn căn phòng của mình, thấy những mảng sáng trắng nhợt lướt thành vệt, thế là nhẹ nhàng, với sự thận trọng đầy nôn nóng lo âu, hắn leo lên giường trở lại và ở đó hắn cuộn người giấu mình như để lẩn tránh một vũ khí, một con dao đang đe doạ hắn.
A vér hevesen a nyakába tolult s a nyaka égett.	Máu hắn dồn mạnh lên cổ, và cổ như nung đốt hắn.
Odanyúlt s érezte az ujjai alatt Camille harapásának beforrt sebhelyét.	Hắn đưa tay giữ lấy cổ, cảm thấy được dưới những ngón tay vết sẹo mà Camille đã phập vào.
Már csaknem elfelejtette ezt a sebhelyet.	Hắn hầu như quên béng đi vết cắn này.
Megijedt, hogy most megint rátalált a bőrén, s azt hitte, hogy ez a harapás eszi a húsát.	Hắn khiếp đảm khi gặp lại nó trên da, và tưởng như nó đang gặm nhấm da thịt hắn.
Gyorsan visszahúzta a kezét, hogy többé ne érezze, és mégis mindig érezte, amint falja és fúrja a nyakát.	Hắn rút bàn tay ra ngay để không cảm giác nó nữa, nhưng hắn vẫn luôn cảm thấy, nó đang ngấu nghiến, khoét sâu vào cổ.
Majd gyengéden meg akarta vakarni a körme hegyével; de erre csak megkétszereződött a borzasztóan égő fájdalom.	Thế là hắn muốn cào nhẹ vào nó bằng đầu ngón tay, sự đau rát dữ dội gia tăng.
Hogy le ne tépje a bőrét, két kezét felhúzott térdei közé szorította.	Để không làm tróc da, hắn kẹp chặt hai bàn tay giữa hai đầu gối gập lại.
Majdnem megmeredve és felizgulva így maradt; a nyakát rágta a fájdalom, s a fogai vacogtak félelmében.	Cứng đờ, đau rát, hắn nằm đó, với chiếc cổ bị gặm mòn, răng lập cập vì sợ hãi.
A gondolatai most már Camillehoz tapadtak, ijesztő határozottsággal.	Giờ đây những ý nghĩ của hắn cứ lẩn quẩn về Camille, với sự giày vò ghê gớm.
A vízbefúlt ember eddig nem zavarta Laurent éjszakáit.	Cho đến lúc đó, người chết trôi chưa hề quấy rôi những đêm tối của Laurent.
És íme, most, hogy Theresere gondolt, ezzel felidézte a férje kísértetét.	Và chính ý nghĩ về Thérèse đã mang bóng ma của người chồng đến.
A gyilkos nem merte már kinyitni a szemeit, félt, hogy az áldozatát látja a szoba valamelyik sarkában.	Kẻ giết người không dám mở mắt ra nữa, hắn sợ nhận ra nạn nhân trong một góc phòng.
Egyszer úgy rémlett neki, mintha az ágyát különös módon meglökték volna; azt képzelte, hogy Camille elbújt az ágya alá és hogy ő lökte meg az ágyat, hogy leessék róla s aztán megharaphassa.	Trong một lúc, hắn thấy như thể chỗ nằm của hắn lay động khác thường, hắn tưởng như Camille đang ẩn núp dưới giường, và chính gã động đậy như thể để hất hắn xuống rồi cấu xé hắn.
Ijedten, hogy szinte égnek meredt a haja, belekapaszkodott a szalmazsákjába, - azt hitte, hogy a lökések egyre hevesebbek lesznek.	Hoảng hốt, tóc dựng ngược lên đầu, hắn bấu chặt tấm nệm, tưởng như sự rung lắc ngày càng dữ dội hơn.
Aztán észrevette, hogy az ágy mégse mozdul.	Rồi hắn cảm thấy chiếc giường không động đậy nữa.
Erre egy kissé felbátorodott.	Hắn nảy sinh một phản ứng.
Felült az ágyban, gyertyát gyújtott és gyávának mondotta magát.	Hắn ngồi dậy, thắp nến, lòng tự cho là mình ngu ngốc.
Hogy csillapítsa a lázát, megivott egy nagy pohár vizet.	Để làm dịu cơn sốt, hắn nốc cạn một ly nước thật lớn.
- Nem jól tettem, hogy ittam annál a borkereskedőnél - gondolta magában. - Nem tudom, hogy mi lelt ma éjszaka.	- Mình đã sai lầm khi đi uống ở quán rượu - hắn suy nghĩ - Đêm nay không biết mình thế nào ấy.
Ez ostoba dolog.	Thật ngu đần.
Halálosan fáradt leszek ma a hivatalban.	Mai mình sẽ mệt phờ ở sở làm mất thôi.
Mindjárt el kellett volna aludnom, amikor lefeküdtem, és nem kellett volna annyi mindenfélére gondolnom: ez az oka annak, hogy álmatlan, vagyok... Aludjunk!	Phải ngủ ngay lập tức, khi đặt lưng xuống, và đừng nghĩ ngợi lung tung, chính cái đó làm mình mất ngủ.. Ngủ thôi.
Újból eloltotta a gyertyát, s a fejét belenyomta a vánkosba; egy kissé felüdült s nagyon elhatározta magát, hogy nem gondolkozik és nem fél tovább.	Hắn lại thổi tắt nến, vùi đầu vào gối còn hơi mát, cương quyết không suy nghĩ nữa, không sợ sệt nữa.
A fáradtság kezdte elernyeszteni az idegeit.	Sự mệt mỏi bắt đầu làm giãn ra những sợi thần kinh của hắn.
De nem merült a szokott, nehéz és mély álomba, hanem lassan-lassan valami határozatlan szendergés vett rajta erőt.	Hắn không ngủ được giấc ngủ bình thường, nặng nề và hừng hực, hắn từ từ chìm vào một giấc ngủ chập chờn lơ mơ.
Mintha egyszerűen elzsibbadt volna, mintha valami édes és kellemes elbutulásba esett volna.	Hắn đờ đẫn, như chìm vào trạng thái mụ người êm dịu và khoái lạc.
Bár szendergett, azért érezte a testét; az értelme ébren maradt az alvó testben.	Hắn cảm giác được cơ thể trong khi thiu thiu ngủ, trí óc hắn vẫn tỉnh táo trong thể xác tê liệt.
Elűzte gondolatait, melyek a fejébe tolakodtak és védekezett az ébrenlét ellen.	Hắn xua đuổi những ý nghĩ kéo đến, hắn đề phòng sự tỉnh giấc.
Aztán mikor elszendergett, amikor már nem volt ereje s az akaratának sem volt ura, lassankint visszaosontak a gondolatai egyenkint s hatalmukba kerítették egész tehetetlen lényét.	Rồi khi đã tê mê, khi sức lực rời bỏ hắn và ý chí lẩn tránh hắn, những ý nghĩ dần dần quay trở lại, từng ý một, xâm chiếm trở lại cơ thể đã suy yếu của hắn.
Újra kezdődtek az ábrándjai.	Những cơn mộng mị lại bắt đầu.
Újra megtette azt az utat, amely elválasztotta Theresetől, lement a szobájából, futva elment a pince előtt és kijutott az utcára; átment mindazokon az utcákon, amelyeken már előbb járt, amikor még nyitott szemmel ábrándozott; bement a Pont-Neuf sikátorba, felment a kis lépcsőn és kopogtatott az ajtón.	Hắn đi lại con đường đã chia cách hắn với Thérèse: hắn bước xuống chạy ngang qua tầng hầm và ở ngoài đường, hắn đi theo tất cả những con đường mà ngày trước hắn đã đi, lúc hắn nằm mơ hai mắt mở to, hắn đi vào ngõ Cầu Mới, leo lên cầu thang nhỏ và cảo cửa phòng.
De Therese helyett, az alsószoknyás, meztelen mellű fiatal nő helyett Camille nyitott neki ajtót; Camille, aki olyan volt, mint aminőnek a morgueban látta, zöldes, kegyetlenül eltorzult arccal.	Nhưng thay vì là Thérèse, thay vì thiếu phụ với váy mặc trong màu trắng, ngực để trần, lại là Camille mở cửa cho hắn, Camille như hắn thấy ở nhà xác, xanh khướt, biến dạng khủng khiếp.
A hulla felé nyujtotta karjait, rút nevetéssel, fehér fogai között elfeketedett nyelvének a hegyét mutatva.	Xác chết dang tay ra với hắn, với một cái cười ghê tởm trong khi lộ ra chót lưỡi đen sẫm giữa màu trắng của hai hàm răng.
Laurent felsikoltott és hirtelen felriadt.	Laurent vùng la lên và giật nẩy mình tỉnh giấc.
Fagyos verítékben úszott.	Người hắn ướt đẫm mồ hôi lạnh ngắt.
A takarót szemeire húzta, káromkodva és önmaga ellen dühöngve.	Hắn kéo chăn trùm mắt nguyền rủa trong khi giận dữ với chính mình.
Újból el akart aludni.	hắn muốn ngủ lại.
El is aludt, oly lassan, mint az imént, ugyanolyan levertség vett rajta erőt, s amint a félálom bágyadtságában újból megszünt az akarata, megint csak megindult, s visszatért oda, ahova a rögeszméje vezette, futott, hogy láthassa Thereset, és megint csak a vízbefult nyitott neki ajtót.	Hắn ngủ trở lại như trước, một cách chậm chạp, lại sự trì nặng xâm chiếm hắn, và lúc ý chí một lần nữa rời bỏ hắn trong sự bạc nhược của giấc ngủ chập chờn, hắn lại đi, lại quay về chỗ mà cái ý nghĩ khư khư của hắn dẫn dắt, hắn chạy để gặp Thérèse, và lại lần nữa chính người chết trôi ra mở cửa cho hắn.
A nyomorult ember megrémülve felült az ágyában.	Hoảng loạn, con người khốn khổ ngồi dậy.
A világért nem adta volna, ha el tudja űzni ezt a kegyetlen álmot.	Hắn muốn làm tất cả để xua đuổi cơn mơ đeo đẳng này.
Ólomnehéz álmot kívánt, amely agyonnyomta volna a gondolatait.	Hắn ước ao một giấc ngủ kịp để đè bẹp những ý nghĩ của hắn.
Amíg ébren volt, addig elég ereje volt, hogy elűzze áldozatának árnyalakját; de amint nem volt ura az eszének, az esze attól kezdve a kéj felé irányítva, a borzalomhoz vezette őt.	Chừng nào hắn giữ được tỉnh táo, hắn đủ sức mạnh để xua đuổi bóng ma nạn nhân của hắn, nhưng từ lúc không làm chủ được trí óc, thì nó dẫn hắn đến nỗi sợ hãi trong lúc dẫn hắn đến với niềm khoái cảm.
Megint megpróbálta, hogy elaludjék.	Hắn cố gắng ngủ lại lần nữa.
Kéjes álombamerülése és hirtelen, fájdalmas felébredései egymást érték.	Thế là nối tiếp nhau trạng thái thiu thiu ngủ đầy khoái cảm và sự tỉnh giấc đột ngột và đau xé.
Dühös makacsságában mindig Therese felé indult és mindig Camille holttestébe ütközött.	Trong sự bướng bỉnh điên tiết, luôn luôn hắn đi đến với Thérèse và luôn luôn hắn cụng đầu vào xác chết của Camille.
Több mint tízszer megtette ugyanazt az utat, égő testtel elindult, ugyanazon az útvonalon járt, ugyanazokon az izgalmakon ment keresztül, ugyanazokat a dolgokat cselekedte, aprólékos pontossággal és több mint tízszer látta, hogy a vízbefúlt ember meg akarja ölelni, mikor ő nyújtotta ki a kezeit, hogy megfogja és magához szorítsa a kedvesét.	Hơn mười lần lặp đi lặp lại, hắn trở lại con đường, bước đi mà thân xác hừng hực, theo cùng một lối đi, có cùng những cảm giác làm cùng những động tác, với sự chính xác chi li, và cũng hơn mười lần, hắn thấy kẻ chết trôi dang tay ôm lấy hắn, khi hắn đưa tay để choàng lấy và ghì chặt người tình của mình.
Ez a szomorú vég azonban, mely lihegve és megriadva mindig felébresztette, nem kedvetlenítette el a vágyakozását; néhány perc mulva, amint megint elaludt, vágya elfeledtette vele a rút hullát, amely reá várt és újból futott a nő meleg és finom teste után.	Cùng cái kết cục thảm hoạ đó mỗi lần lại đánh thức hắn, thở hổn hển và bấn loạn, nhưng không làm chán nản lòng ham muốn của hắn, vài phút sau, từ khi hắn ngủ trở lại, sự thèm muốn làm quên đi xác chết đang chờ đợi hắn, và thúc hắn chạy tìm lần nữa cái thân thể nồng nàn và mềm mại của một người đàn bà.
Laurent egy óra hosszáig a rémes álmok e sorozatában élt, e szünetlenül ismétlődő és szünetlenül meglepő rossz álomban, mely minden felébredésnél egyre fájdalmasabb ijedséggel gyötörte.	Trong một tiếng đồng hồ, Laurent sống trong một chuỗi những ác mộng như thế, trong cái giấc mơ tệ hại không ngừng lặp đi lặp lại và không thôi bất ngờ mà mỗi lần giật mình, nó giày vò hắn trong một nỗi hoảng loạn nhức buốt hơn.
E megrázkódtatások egyike, az utolsó, oly heves volt, hogy elhatározta, hogy felkel és nem küzködik tovább.	Lần chấn động sau cùng, dữ dội, đau đớn đến nỗi hắn quyết định chồm dậy, không chống chọi thêm nữa.
Már hajnalodott, szürke és gyászos fény szűrődött be a tetőablakon, mely egy négyszögletes, fehérlő darabot mutatott az ég hamuszürkeségéből.	Ngày đã đến, một làn ánh sáng xám xịt và ủ ê luồn qua cửa sổ mái cắt bầu trời thành một ô vuông trăng trắng màu tro.
Laurent lassan felöltözött, valami tompa izgalomban.	Laurent thay quần áo chầm chậm, lòng âm ỉ bực bội.
Nagyon boszankodott, hogy nem aludt, boszankodott, hogy olyan félelem vett rajta erőt, amelyet most gyerekségnek tartott.	Hắn phẫn nộ vì đã không ngủ được, vì chịu thua một nỗi sợ hãi mà giờ đây hắn xem là trò trẻ con.
Mikor felhúzta a nadrágját, nyújtózkodott, megdörzsölte a karjait s a tenyerét az arcára tette, mely gyűrött és forró volt az éjszakai láztól.	Hắn vừa tròng chiếc quần vào và vươn vai, xoa bóp tay chân, hắn đưa tay xoa bộ mặt bơ phờ và u ám vì một đêm lên cơn sốt.
És egyre ismételgette:	Rồi hắn lẩm bẩm.
- Nem kellett volna mindezekre gondolnom, akkor aludtam volna s most friss volnék és jókedvű... Ah, ha Therese is akarta volna tegnap este, ha Therese velem aludt volna...	- Lẽ ra mình không nên nghĩ đến mọi chuyện đó, mình đã ngủ được, đã tươi tỉnh và sảng khoái vào lúc này… Chà! Nếu tối qua, Thérèse muốn, nếu Thérèse đã ngủ với mình…
Ez a gondolat, hogy Therese jelenléte megakadályozta volna azt, hogy féljen, egy kissé megnyugtatta.	Ý nghĩ về Thérèse giúp hắn tránh được nỗi sợ hãi làm hắn yên tâm đôi chút.
Mert a lelke mélyén attól félt, hogy még máskor is lesznek ilyen éjszakái, mint aminőt most kiállt.	Tự thâm tâm, hắn e ngại phải trải qua những đêm tương tự như đêm hắn vừa chịu đựng này.
Megmosakodott s azután gyorsan megfésülködött.	Hắn vốc nước rửa mặt rồi chải sơ qua đầu tóc.
Öltözködésének ez a befejezése felüdítette a fejét s az utolsó félelmét is eloszlatta.	Việc rửa ráy qua loa này làm tươi tỉnh đầu óc và tiêu tan những lo sợ còn sót lại.
Egész szabadon okoskodott s nem érzett egyebet, mint nagy fáradtságot minden tagjában.	Hắn lý sự lung tung và không cảm thấy gì nữa ngoài nỗi mệt mỏi quá thể khắp tứ chi.
- Pedig nem is vagyok gyáva fickó - mondotta magában, amikor már egészen felöltözött; - Camille-al nem sokat törődöm... Képtelenség volt azt hinni, hogy ez a szegény ördög az ágyam alatt van... Különben lehetséges, hogy most már minden éjszaka ezt fogom hinni... Határozottan szükséges, hogy minél előbb megnősüljek.	- Dù sao mình đâu phải nhát gan - hắn tự nhủ khi ăn bận xong xuôi - Mình cũng khá coi thường Camille đấy chứ… Thật vô lý khi cho rằng con ma khốn khổ đó ở dưới gầm giường mình. bây giờ thì có thể đêm nào mình cũng sẽ tưởng ra chuyện đó… Dứt khoát là mình phải kết hôn càng sớm càng tốt.
Majd ha Therese karjaiban leszek, egyáltalán nem gondolok Camillera.	Khi Thérèse ôm mình trong vòng tay, mình sẽ ít nghĩ đến Camille.
Megcsókolja majd a nyakamat s akkor nem érzem többé azt az égő fájdalmat, amit most tapasztaltam... Lássuk csak ezt a harapást.	Nàng sẽ hôn lên cổ mình, và mình không còn cảm thấy cái đau rát dữ dội nữa… Hãy nhìn vết cắn xem sao…
A tükörhöz ment, kinyújtotta a nyakát és oda nézett.	Hắn ghế gần tấm gương, chìa cổ ra và ngắm nghía.
A forradás halvány rózsaszínű volt.	Vết sẹo màu hồng nhạt.
Laurent mikor látta az áldozata fogainak helyét, bizonyos megindulást érzett, a vér a fejébe szállt s ez alkalommal különös jelenséget vett észre.	Laurent khi nhận rõ đầu rằng của nạn nhân, cảm thấy một nỗi xúc động nào đó khiến máu bốc lên đầu, và khi ấy hắn nhận ra một hiện tượng lạ.
A var a rajta átfutó erek révén elvörösödött, felélénkült és vérpiros lett, s élénk vörös színe elütött a kövér nyak fehér színétől.	Vết sẹo ửng đỏ do máu dồn lên, nó trở nên sống động và rướm máu, nổi hẳn lên đỏ lòm trên chiếc cổ trắng mập mạp.
Ugyanekkor Laurent szúró bizsergést érzett, mintha tűket szúrtak volna a sebhelyébe.	Cùng lúc, Laurent có cảm giác nhói buốt, như thể người ta lấy kim châm vào vết thương.
- Eh, - mondotta magában - Therese majd begyógyítja ezt... Elég lesz néhány csók... Milyen ostoba vagyok, hogy ilyenekre gondolok!	- hắn tiếp tục - Thérèse sẽ chữa lành nó… Vài cái hôn thì… Mình ngu thật khi nghĩ tới những chuyện tào lao này..
Feltette a kalapját és lement.	Hắn đội mũ và đi xuống.
Szüksége volt a friss levegőre és hogy sétáljon.	Hắn cần hít thở không khí, cần bước đi.
Mikor elment a pinceajtó előtt, mosolygott; de azért mégis meggyőződött az ajtó zárjának erősségéről.	Khi băng ngang trước cửa tầng hầm, hắn mỉm cười, dù sao hắn cũng tin tưởng vào sự chắc chắn của chiếc móc khoá lại cánh cửa này.
