A KASTÉLY	LÂU ĐÀI
Nem Klamm hiányzik, te hiányzol nekem, miattad akarok elmenni, mert nem lakhatom jól veled itt, ahol annyian ráncigálnak.	Không phải em thiếu Klamm, em chỉ cần anh, em muốn vì anh mà ra đi, vì ở nơi có bao nhiêu sự phiền toái này, em không thể ở với anh.
Bár szakadna le rólam ez a csinos álarc, bár lenne inkább szánalmas a testem, hogy békén élhetnék veled.	Giá em đánh mất sắc đẹp, giá mà thân thể em trở nên tiều tụy thì em đã có thể sống yên ổn với anh.
K. mindebből csak egy dologra figyelt föl.	Từ tất cả những điều đó K. chỉ chú ý đến một vịệc.
- Klamm még mindig kapcsolatban van veled?	- Klamm vẫn còn quan hệ với em à?
- kérdezte nyomban.	- chàng hỏi ngay.
- Szokott hívni?	- Ông ta lại gọi em à?
- Klammról nem tudok semmit - felelte Frida.	- Em không biết gì về Klamm c. - Frida trả lời.
- Most a többiekről beszélek, például a segé­dekről.	- Em đang nói về những người khác, tỉ như bọn giúp việc.
- Ó, a segédek!	- Ồ, bọn giúp việc!
- mondta K. meglepve.	- K. nói vẻ sửng sốt.
- Üldöznek talán?	- Có lẽ chúng theo đuổi em?
- Hát nem vetted észre?	- Thế anh không nhận thấy à?
- kérdezte Frida.	- Frida hỏi.
- Nem - mondta K., és hiába keresgélt emlékezetében -, kétségkívül mohó és tolakodó fickók, de nem vettem észre, hogy rád szemet mertek volna vetni.	- Không, - K. nói và uổng công lục tìm trong trí nhớ. - Chắc chắn chúng là những gã tham lam và hay quấy quả, nhưng anh không nhận thấy rằng chúng dám để ý đến em.
- Nem?	- Không à?
- kérdezte Frida.	- Frida hỏi.
- Nem vetted észre, hogy a hídi kocsmában sehogy se lehetett kitessékelni őket a szobánkból, hogy féltékenyen lesték a kapcsolatunkat, s hogy legutóbb is az egyik a helyembe feküdt a szalmazsákon, most meg egyszerre ellened vallottak, csak hogy elűzzenek, elveszejtsenek, és egyedül maradjanak velem?	- Anh không nhận thấy rằng ở trong quán ''Bên cầu" không làm sao có thể bảo chúng ra, khỏi phòng của chúng ta, rằng chúng theo dõi quan hệ của chúng ta một cách ghen tị, rằng mới đây nhất một tên đã nằm lên chỗ của em ở trên đệm rơm, còn vừa rồi chúng đổ lỗi cho anh chỉ cốt đuổi anh, làm hại anh để ở lại với em đó sao?
Mindezt nem vetted észre?	Anh không nhận thấy những điều đó à?
K. Fridára nézett, de nem felelt.	K. nhìn Frida, nhưng chàng không trả lời.
Ezek a panaszok a segédek ellen mind igazak voltak, de sokkal ártatlanabbal is lehetett értelmezni őket, gyerekes, hebehurgya, zabolátlan lényükből.	Những lời than phiền này về bọn giúp việc đều đúng cả, nhưng cũng có thể nhìn nhận chúng một cách vô tội hơn nhiều từ bản chất trẻ con, nông nổi, sống bừa bãi của chúng.
S nem vétkességük ellen szólt-e, hogy sosem akartak Fridával maradni, mindig csak azon igye­keztek, hogy örökké K. nyomában legyenek?	Và có phải chúng vô tội với việc chúng không bao giờ muốn ở lại với Frida, mà luôn luôn cố sức để bám theo K.?
K. megkockáztatott valami efféle megjegyzést.	K. đã nói ra một nhận xét tương tự.
- Nem láttad, hogy puszta képmutatásból teszik?	- Anh không thấy rằng đó là chúng giả vờ hay sao?
Az ablakhoz ment, egy kicsit elhúzta a függönyt, kinézett, s aztán K.-t is odahívta.	Cô đến gần cửa sổ, khẽ kéo tấm màn che và nhìn ra ngoài, rồi sau đó gọi K. đến.
A segédek még mindig ott rostokoltak a kerítésen, szemlátomást nagyon fáradtak voltak már, de azért minden erejüket összeszedve még esedezve ki-kinyújtották karjukat az iskola felé.	Bọn giúp việc vẫn còn ở chỗ hàng rào, có thể thấy chúng đã rất mệt, nhưng vẫn lấy hết sức khẩn khoản vươn cánh tay về phía nhà trường.
Az egyik, hogy ne kelljen állandóan kapaszkodnia, kabátjánál fogva a kerítésrúdra nyársalta magát.	Một tên bám chắc hơn vào hàng rào, đã móc một vạt áo khoác vào cọc nhọn.
- Szegények!	- Tội nghiệp, tội ngh!
Szegények!	- Frida nói.
- mondta Frida.	- Tại sao anh xua đuổi chúng ư?
- Hogy miért kergettem el őket?	- K. hỏi.
- kérdezte K. - Te voltál a közvetlen oka.	- Em là nguyên nhân trực tiếp đấy.
- Én?	- Em?
- kérdezte Frida, és egyre csak kifelé nézett.	- Em đã đối xử quá thân mật với chúng - K. nói.
- Az, hogy olyan határtalanul barátságosan bántál velük - mondta K. - Hogy minden komisz­ságukat megbocsátottad, hogy csak nevettél rajtuk, a hajukat simogattad, hogy folyton tele vagy részvéttel irántuk, most is egyre azt hajtogatod, hogy "szegények, szegények", s végül itt az a legutóbbi eset, amikor engem vetettél oda, csak hogy őket megmentsd az elpáholástól.	- Em đã tha thứ cho tất cả mọi trò đểu cáng của chúng, em đã cười và vuốt ve tóc chúng, luôn luôn cảm thông với chúng, ngay cả bây giờ em cũng cứ lặp đi lặp lại "Tội nghiệp, tội nghiệp" và cuối cùng là trường hợp gần đây nhất, khi em hy sinh anh chỉ cốt để cứu chứng khỏi bị đánh.
De itt... nézd a segédeket!	Nhưng ở đây... anh nhìn xem bọn giúp việc!
Nem neked szól, ha kezüket rimánkodva kinyújtják, hanem nekem.	Chúng chìa cánh tay nài nỉ không phải cho anh mà cho em đấy.
- És nem én nézem őket, hanem te - mondta K.	- Và không phải anh nhìn chúng mà là em.- K. nói.
- Persze hogy én - mondta Frida majdnem haragosan -, hiszen folyton erről beszélek.	- Tất nhiên là em, - Frida nói gần như giận dữ. - bởi vì em vẫn đang nói về điều đó.
Egyéb­ként mit számítana, hogy a segédek folyton mögöttem lebzselnek, még ha Klamm küldöttei volnának is...	Nếu không thì đã sao việc bọn chúng cứ bám lấy em, kể cả khi chúng do Klamm sai đến.
- Klamm küldöttei?	- Do Klamm sai đến à?
- mondta K. Bármily természetesnek tetszett is azonnal előtte, ez a vonatkozás mégis nagyon meglepte.	- K. hỏi, ngạc nhiên, mặc dù chàng cho những lời đó là đúng sự thật.
- Klamm küldöttei, bizonyára - mondta Frida -, de ha azok is, attól még ugyanakkor oktondi kamaszok is, akiket még pálcával kell nevelni.	- Chắc chắn là do Klamm sai đến, - Frida nói, - nhưng dù sao thì chúng vẫn chỉ là nhữngã trai tơ ngờ nghệch còn phải dạy bằng roi vọt.
Milyen utálatos, fekete fickók!	Những gã trai độc ác và đáng ghét làm sao!
S milyen undorító ez az ellentét szinte jogászhoz illő, felnőttes arcuk, meg gyerekesen bolondos viselkedésük közt!	Sự trái ngược giữa khuôn mặt người lớn, gần như sinh viên và cách xử sự trẻ con, điên rồ của chúng mới ghê tởm làm sao!
Azt hiszed, nem vettem észre?	Anh tưởng em không nhận thấy hay sao?
Szégyellem magam miattuk.	Em xấu hổ vì chúng.
De éppen ez az, nem riadok vissza tőlük, hanem szégyellem magam miattuk.	Nhưng cái chính là em không hoảng sợ trước chúng, mà em xấu hổ vì chúng.
Mindig oda kell néznem rájuk.	Em luôn luôn phải để ý đến chúng.
Ha bosszankodni kellene rajtuk, nevetnem kell.	Nếu phải bực mình với chúng thì em lại phải cười.
Ha el kellene verni őket, meg kell simogatnom a hajukat.	Nếu cần đánh cho chúng một trận thì em lại vuốt tóc chúng.
És nem a macska ijeszt meg; ó, ismerem a macskákat, és ismerem az ivóból ezt a minduntalan megzavart, nyugtalan szendergést is; nem a macska ijeszt meg, én ijesztem meg magamat.	Và không phải con mèo đã làm em hoảng sợ, ồ em biết những con mèo chứ, ở quầy uống em đã quen vừa đi vừa ngủ gật nơi em bị quấy rầy thường xuyên.
Nem is kell hozzá egy ilyen szörnyszülött macska, a legkisebb neszre is összerezzenek.	Không phải con mèo làm em hoảng sợ, mà chính em làm em sợ.
Egyszer attól félek, hogy fölébredsz, és mindennek vége, máskor meg fölugrom, és gyertyát gyújtok, hogy mielőbb fölébredj és védelmezhess.	Mà cũng không cần đến một con mèo khủng khiếp như thế, chỉ cần một tiếng động nhỏ nhất là em đã co rúm người lại.
- Minderről mit sem tudtam - mondta K. -, s ha csak sejtem is, azonnal elkergetem őket; de most már túladtam rajtuk, most már talán minden jóra fordult.	Khi thì em sợ anh bất ngờ thức dậy và mọi việc sẽ kết thúc, lúc thì em nhảy lên đi thắp nến để anh dậy nhanh lên và có thể bảo vệ em. - Anh có biết gì đâu về những việc đó, - K. nói.
- Igen, most végre túladtál rajtuk - mondta Frida, de arcán nem öröm látszott, csak elkín­zottság -, csakhogy nem tudjuk róluk, kik is voltaképpen.	- Vâng, bây giờ, cuối cùng chúng đã đi rồi, - Frida nói, nhưng trên nét mặt cô không biểu hiện niềm vui mà chỉ là nỗi dằn vặt.
Klamm küldöttei, így hívom őket gondolatban, játékból, de talán valóban azok.	Thực ra em gọi chúng là những kẻ do Klamm sai đến, nhưng biết đâu chúng là những người đó thật.
Szemük, ez a két együgyű és mégis szikrázó szempár valahogyan Klamm szemére emlékeztet; igen, ez az: szemükből Klamm tekintete süt rám, s egész lényemet átjárja.	Mắt của chúng, hai cặp mắt ngây ngô mà lại long lanh ấy như thế nào đó làm em nhớ đến mắt Klamm. Vâng, đúng, vậy, từ mắt chúng ánh mắt của Klamm nhìn em, và nhìn thấu suốt qua toàn bộ thực chất của em.
Épp ezért nem is felel meg a valóságnak, ha azt mondtam, szégyellem magam miattuk.	Và có lẽ chưa thật đúng khi em nói em xấu hổ vì chúng.
Csak szerettem volna, ha így lenne.	Giá được như vậy đã tốt.
És tudom, másutt, másféle embereknél ugyanez a viselkedés ostobának és visszataszítónak számítana, nálunk azonban nem így van.	Và em biết ở nơi khác, ở những người khác sự ứng xử này bị coi là ngốc và đáng ghề tởm, nhưng ở chỗ chúng em thì không phải như .
Bolondságaikat figyelemmel és ámulattal nézem.	Em nhìn những việc điên rồ của chúng với sự chăm chú và kinh ngạc.
De ha valóban Klamm küldöttei, ki szabadíthat meg tőlük, s egyáltalán, jó lenne-e, ha megszabadulnánk tőlük?	Nhưng nếu quả thật chúng là do Klamm sai đến, thì ai có thể giải thoát chúng ta khỏi chúng?
- Azt akarod, hogy újra beengedjem őket?	- Em muốn anh lại cho chúng vào nữa chứ gì?
- kérdezte K.	- K. hỏi.
- Nem, nem - mondta Frida -, semmit sem akarok kevésbé.	- Không, không phải, - Frida nói. - Em không muốn điều gì cả.
S akkor azt akarom, hogy engedd be őket.	Nghĩ vậy thì em lại muốn anh cho chúng nó vào.
Akkor, K., csak gyorsan be velük!	Anh K., cho chúng vào nhanh lên anh!
Velem ne törődj, mit szá­mí­tok én!	Anh đừng quan tâm đến em, em chẳng là gì cả!
Ameddig bírok, védekezem, de ha el kell vesznem, hát el fogok veszni, mindenesetre abban a tudatban, hogy ez is teérted történt.	Em chịu đựng được đến lúc nào thì em chống đỡ đến lúc đó, nhưng nếu cần phải hy sinh thì em sẽ hy sinh, trong mọi trường hợp việc này xảy ra với ý thức là vì anh.
- Csak megerősítesz a segédekre vonatkozó ítéletemben - mondta K. - Az én jóváhagyá­som­mal soha be nem jönnek.	- Em chỉ làm anh cương quyết hơn trong phán xét liên quan đến bọn giúp việc, - K. nói. - Anh không bao giờ đồng ý cho chúng được vào đây cả.
Hogy kitettem őket, csak azt bizonyítja, hogy bizonyos körülmények között mégis uralkodni lehet rajtuk, ami viszont annak a jele, hogy semmi lényeges közük sincs Klammhoz.	Việc anh đã đuổi chúng ra chỉ chứng minh rằng trong những hoàn cảnh nhất định vẫn có thể chỉ huy chúng, mà điều đó chứng tỏ rằng chúng chẳng có gì quan trọng liên quan đến Klamm.
Tőle különben épp tegnap este kaptam levelet, s ebből látható, hogy a segé­dekről teljesen hamis értesülései vannak, amiből megint csak arra lehet következtetni, hogy tökéletesen közömbösek számára, mert ha nem lennének azok, bizonyára hiteles tájékozódást szerezhetett volna felőlük.	Vả lại anh vừa nhận thư của ông ấy tối hôm qua, qua thư có thể thấy rằng ông ấy thông báo hoàn toàn giả dối về bọn giúp việc, và từ điều đó có thể rút ra kết luận rằng đối với ông ấy chúng chỉ là những người dưng, vì nếu chúng không phải là người dưng thì chắc chắn ông ấy đã có thể có được những thông báo xác thực về chúng.
Az pedig, hogy Klammot látod bennük, nem bizonyít semmit, mert sajnos még most is a kocsmárosné hatása alatt állsz, és mindenütt Klammot látod.	Còn việc em nhìn thấy Klamm trong chúng không hề chứng minh điều gì cả, bởi vì đáng tiếc là cho đến bây giờ em vẫn chịu sự ảnh hưởng của bà chủ quán, và em nhìn thấy Klamm ở khắp mọi nơi.
Még most is Klamm kedvese vagy, s még egyáltalán nem az én feleségem.	Cho đến bây giò em vẫn là tình nhân của Klamm, và nói chung em vẫn chưa phải là vợ anh.
Ez néha egészen lever, olyan ez, mintha mindent elvesztettem volna, s ilyenkor úgy érzem, mintha csak most érkeztem volna a faluba, de nem reménykedve, mint annak idején a valóságban, hanem abban a meg­győződésben, hogy csupa csalódás vár, és nekem mindet fenékig ki kell innom.	Điều đó thỉnh thoảng đã làm anh chán nản, như thể anh đã mất tất cả, những lúc như thế này anh cảm thấy dường như chỉ bây giờ mới đến làng, nhưng không hy vọng như trước đây, trong thực tế, mà cầm chắc rằng chỉ có sự lừa dối đang chờ đợi, và anh phải hứng chịu đến cùng tất cả.
De ez csak néha van így - tette hozzá K. mosolyogva, mikor látta, hogy Frida valósággal összeomlik szavai alatt -, s alapjában véve mégis valami jót bizonyít, azt tudniillik, milyen sokat jelentesz nekem.	Nhưng chỉ thỉnh thoảng mới như vậy, - K. mỉm cười nói thêm, khi thấy Frida thật sự choáng váng trước những lời chàng nói, - và điều đó chỉ chứng tỏ một cái tốt đẹp, cụ thể: em có nhiều ý nghĩa đối với anh!
S ha most fölszólítasz, hogy válasszak közted és a segédek közt, akkor a segédek máris vesztettek.	Và, nếu bây giờ em bảo anh chọn giữa em và bọn giúp việc thì bọn giúp việc bị loại liền.
Milyen képtelen gondolat, közted és a segédek közt választani!	Cái ý nghĩ chọn giữa em và bọn giúp việc mới vô lý làm sao!
Hanem most aztán végérvényesen meg akarok szabadulni tőlük, szóban és gondolatban egyaránt.	Bây giờ thì anh muốn mãi mãi được thoát khỏi chúng kể cả trong lời nói và ý nghĩ.
Ki tudja egyébként, nem azért fogott-e el mindkettőnket ez a gyöngeség, mert még nem reggeliztünk?	Mà ai biết được, cả hai chúng ta đều trở nên yếu ớt là do chúng ta chưa ăn sáng cũng nên?
- Lehet - mondta Frida fáradt mosollyal, és munkához látott.	- Có thể, - Frida nói với nụ cười mệt mỏi, và bắt tay vào công việc.
K. is újra kezébe vette a söprűt.	K. lại cầm lây cái chổi.
Egy idő múlva halkan kopogtattak.	Một lúc sau thì có tiếng gõ cửa nhẹ.
- Barnabás!	- Barnabás!
- kiáltott föl K., eldobta a söprűt, és az ajtónál termett.	- K. kêu lên, vứt cái chổi và đèn bên cánh cửa.
Frida rámeredt, ez a név mindennél jobban megijesztette.	Frida nhìn đăm đăm vào chàng, cái tên này đã làm cô hoảng sợ hơn tất cả.
K.-nak remegett a keze, nehezen boldogult az ócska zárral.	Tay K. run run, chàng mở một cách khó khăn cái ổ khóa cũ kỹ.
- Nyitom már, nyitom már - ismételgette, ahelyett, hogy megkérdezte volna, ki is kopogtat voltaképpen.	- Tôi mở đây, tôi mở đây, - chàng nhắc đi nhắc lại, thay vì hỏi xem ai gõ cửa.
S aztán meghökkenve nézhette, amint a szélesre tárt ajtón nem Barnabás lép be, hanem az a fiúcska, aki előzőleg egyszer már mondani akart neki valamit.	Sau đó chàng đã có thể ngạc nhiên nhìn thấy nơi cánh cửa mở rộng không phải là Barnabás bước vào mà là cậu con trai, người mà trước đó có lần đã định nói với chàng điều gì đó.
K.-nak azonban semmi kedve sem volt visszaemlékezni rá.	Nhưng K. không còn lòng dạ nào mà nhớ lại cậu ta nữa.
- Mit keresel itt?	- Mày tìm gì ở đây?
- kérdezte.	- chàng hỏi.
- A tanítás odaát folyik.	- Học ở bên kia kìa.
- Onnét jövök - mondta a fiú, és nagy, barna szemével nyugodtan nézett K.-ra; egyenesen állt, combjához szorított kézzel.	- Cháu ở đó đến,- cậu con trai nói, và nhìn K. một cách thanh thản bằng đôi mắt to, màu nâu, cậu ta đứng nghiêm, tay áp chặt vào đùi.
- Mit akarsz hát?	- Vậy mày muốn gì?
Gyorsan!	Nói nhanh lên!
- mondta K., és egy kissé lehajolt, mert a fiú halkan beszélt.	- K. nói và hơi cúi xuống, vì cậu bé nói - Cháu có thể giúp chú được không?
- Segíthetek neked?	- cậu con trai hỏi.
- kérdezte a fiú.	- Nó muốn giúp đỡ chúng ta.
- Segíteni akar nekünk - mondta K. Fridának; aztán a fiúhoz: - Hogy hívnak?	- K. nói với Frida, sau đó quay lại cậu con trai. - Tên cháu là gì?
- Brunswick János vagyok - felelte a fiú -, negyedik osztályos tanuló, Brunswick Ottó cipész­mester fia, a Magdaléna utcából.	- Cháu là Brunswich Jáncsi, - cậu con trai trả lời, - học sinh lớp 4, con trai thợ giầy Brunswich Ottò, ở phố Magdaléna.
- No csak, szóval Brunswicknak hívnak - mondta K., és egyszerre barátságosabb lett.	- Thế hả, tên cháu là Brunswich, - K. nói và bỗng nhiên chàng trở nên thân mật hơn.
Kiderült, hogy a véres karcolások, melyeket a tanítónő ejtett K. kezén, rendkívül erősen hatottak Jancsira, s akkor nyomban eltökélte, hogy K. mellé áll.	Té ra những vết xước chảy máu mà cô giáo gây ra trên tay K. đã tác động rất mạnh đến Jáncsi, cậu ta liền quyết chí đứng về phía K. Giờ đây, như một tên lính đào ngũ, cậu ta tự ý lẻn ra khỏi phòng học bên cạnh, đánh liều với nguy cơ bị trừng phạt nặng.
Csak eleinte volt elfogódott, hamarosan megszokta K.-t és Fridát, s amikor aztán jó meleg kávét kapott, fölélénkült, bizalmas lett, s oly buzgón és nyomatékosan kérdezősködött, mintha mielőbb mindent, ami fontos, meg akarna tudni, hogy aztán ő maga dönthessen K. és Frida érdekében.	Chỉ lúc đầu cậu ta mới luống cuống, cậu ta đã nhanh chóng quen với K. và Frida, và sau khi được uống cà phê nóng, cậu ta tươi tỉnh và thân mật hẳn lên, hỏi chuyện vẻ sốt sắng và trịnh trọng như thể muốn biết trước tất cả những gì quan trọng để rồi sau đó chính cậu ta có thể quyết định vì lợi ích của K. và Frida.
Lényében volt valami parancsoló vonás is, de annyi gyer­meki ártatlansággal keveredve, hogy az ember szívesen alávetette magát, félig őszintén, félig tréfásan.	Bản chất cậu ta có nét chỉ huy, trộn lẫn với ngần ấy sự ngây thơ con trẻ làm cho người ta sẵn sàng nhượng bộ, nửa chân thành, nửa đùa cợt.
Mindenesetre minden figyelmet magára vont, minden munka abbamaradt, s a reggeli szerfölött elhúzódott.	Trong mọi trường hợp cậu ta đều thu hút sự chú ý về phía mình, mọi công việc ngừng lại, và buổi ăn sáng lùi lại quá muộn.
Néha a fiú a padban ült, K. fönt a katedrán, és Frida mellette egy széken, mégis úgy tetszett, mintha Jancsi volna a tanító, mérlegelve és megítélve a válaszokat: lágy vonású szája körül egy könnyű kis mosoly mintha arra utalt volna: nagyon is jól tudja, hogy mindez csak játék, ám annál komolyabban csinálta a dolgot, és ajkán talán nem is mosoly bujkált, hanem a gyermekkor boldogsága.	Thỉnh thoảng cậu ta ngồi trên ghế dài, K. ngồi trên bục giảng, và Frida ngồi cạnh chàng, trên một chiếc ghế, vậy mà Jáncsi vẫn như thể là giảng viên đang cân nhắc và nhận định các câu trả lời: Trên môi cậu ta thoáng một nụ cười dường như để tỏ ra rằng cậu ta thừa biết đây chỉ là trò chơi, nhưng mà cậu ta đã làm việc này nghiêm túc hơn.
Föltűnően későn árulta el, hogy már régebbről ismeri K.-t, azóta, hogy egyszer betért Lasemannhoz.	Trên môi cậu ta có lẽ không phải ẩn dấu nụ cười mà là niềm hạnh phúc của thời thơ ấu.
K. megörült ennek.	K. lấy làm mừng vì chuyện đó.
- Egy asszony lába előtt játszottál akkor?	- Lúc đó cháu chơi bên cạnh một thiếu phụ phải không?
- kérdezte.	- chàng hỏi.
- Igen - felelte Jancsi.	- Vâng, - Jáncsi trả lời.
- Az édesanyám volt.	- Đó là mẹ cháu
Általában olybá tűnt, mintha úgy vélné, kérdéseket feltennie csak neki lenne szabad, s a mások kérdései valamiféle előírást sértenének meg, és csak az időt fecsérelnék.	Dường như cậu ta nghĩ rằng chỉ cậu ta mới có quyền đặt câu hỏi, và những câu hỏi của người khác đã vi phạm cái quy định gì đó, chỉ làm mất thời gian.
S aztán sokáig tudott szótlanul ülni, derekát kihúzva, lehajtott fejjel, alsó ajkát előrebiggyesztve.	Sau đó cậu ta ngồi im lặng hồi lâu, người ưỡn thẳng, đầu cúi xuống, môi dưới trễ ra.
Fridának ez annyira tetszett, hogy többször is intézett hozzá olyan kér­dé­seket, melyek, azt remélte, ilyesformán a szavát veszik; néha sikerült is, de K.-t bosszantotta a dolog.	(Jáncsi đã tỏ ra không thích sự trùng tên này giữa em gái cậu và người hỏi chuyện); họ đều sống trong làng, nhưng không ở nhà Laseman, họ chỉ qua đó để tắm.
Egészben véve nem sokat tudtak meg.	Nhưng Jáncsi không phải là đứa trẻ trong số đó.
Arra a kérdésre, járt-e már a kastélyban, csak akkor felelt, mégpedig nem-mel, miután több­ször is föltették neki; ugyanerre a kérdésre édesanyjával kapcsolatban nem is válaszolt.	Có cái gì đó đáng xấu hổ trong việc moi móc những bí mật gia đình qua một đứa trẻ vô tư, thậm chí hai lần xấu hổ bởi vì rốt cục họ cũng chẳng biết được gì cả.
K. végül is belefáradt a dologba; a faggatást ő is értelmetlennek találta, ebben igazat adott a fiúnak, s volt valami szégyenletes is abban, hogy egy ártatlan gyerek révén családi titkokat akarnak kifürkészni, sőt kétszeresen szégyenletes volt, hiszen itt sem tudtak meg semmit.	Và khi K. hỏi cậu bé lần cuối cùng rằng cậu ta có thể giúp gì họ, thì chàng đã không ngạc nhiên vì câu trả lời của Jáncsi: cậu bé muốn giúp đỡ họ trong công việc ở đây để thầy giáo và cô giáo khỏi cãi nhau với K. nữa.
S mikor K. végezetül azt kérdezte a fiúcskától, miben lenne segítségükre, már nem is csodálko­zott Jancsi válaszán: csak itt, a munkában akar segíteni, hogy a tanító meg a tanítónő ne pöröljenek annyit K.-val.	K. nói với Jáncsi ràng chàng không cần đến sự giúp đỡ ấy, còn sự tranh cãi thì có trong máu của thầy giáo, dẫu công việc hoàn thành không chê vào đâu được thì cùng không bảo vệ được họ.
Minthogy egyedül a tanítóval szemben való segítségről van szó, szívből köszöni Jancsinak a készségét, de most már visszamehet, remélhetőleg nem fogják megbüntetni.	Do Jáncsi chỉ muốn giúp đỡ K. chống lại thầy giáo nên chàng chân thành cám ơn cậu, nhưng bây giờ thì cậu có thể quay vào lớp, hy vọng là người ta không phạt cậu.
K. ugyan egyáltalán nem hangsú­lyozta, és csupán önkéntelenül sejttette, hogy csak a tanító ellen nincs szüksége segítségre, másfajta segítségek kérdését azonban nyitva hagyta: Jancsi ezt világosan megértette a szavai­ból és megkérdezte, nincs-e szüksége K.-nak másféle segítségre: nagyon szívesen segítene neki, s ha ő maga nem tud, megkéri édesanyját, és akkor biztosan sikerül.	Tuy rằng K. nói chung không nhấn mạnh, chàng chỉ vô tình để lộ ra, rằng chàng không cần sự giúp đỡ chống lại thầy giáo, Jáncsi đã hiểu rõ điều đó qua lời chàng, và cậu hỏi K. có cần sự giúp đỡ nào khác không, rằng cậu rất sẵn sàng giúp đỡ chàng, nếu cậu không giúp được th cậu nhờ mẹ giúp, và lúc đó chắc chắn sẽ thành công.
Ha gondjai vannak, apja is édesanyja segítségét kéri.	Nếu có điều gì lo nghĩ, bố cậu cũng nhờ mẹ cậu.
K. minderre némi töprengés után azt felelte, nincs szüksége segítségre, s ami kell, mindene megvan, Jancsitól azonban igen kedves, hogy segíteni akart neki, köszöni a jó szándékát, s az is lehet, hogy később egyszer szüksége lesz valamire, akkor majd hozzá fordul, hiszen tudja a címét.	Sau một thoáng nghĩ ngợi, K. đã trả lời rằng chàng không cần sự giúp đỡ, những gì cần thì chàng đã có, Jáncsi rất quý hóa là đã định giúp đỡ chàng, chàng cảm ơn ý định tốt của cậu, cùng có thể rồi đây có lúc chàng cần gì đó, lúc ấy chàng sẽ tìm đến cậu sau, bởi vì chàng đã biết địa chỉ của cậu.
Ezzel szemben ezúttal talán ő, K. nyújthatna némi kis segítséget; igen fájlalja, hogy Jancsi anyja betegeskedik, és bajához itt nyilván senki sem ért: ha így elhanyagolják, még az önmagában véve könnyű betegség is gyakran rosszra fordulhat.	Ngược lại, nhân dịp này có lẽ K. có thể giúp được gì đó; chàng lấy làm ái ngại rằng mẹ Jáncsi đang ốm, và chắc chắn không một ai hiểu được bệnh tình của bà: nếu người ta cứ bỏ mặc như vậy thì ngay cả bệnh nhẹ cũng thường có thể trở nên tồi tệ.
Nos, neki, K.-nak vannak bizonyos orvosi ismeretei, s ami még többet ér, bizonyos tapasztalatai a betegápolásban.	K. có những am hiểu nhất định về nghề y, và hơn nữa chàng có những kinh nghiệm chăm sóc người ốm.
Nemegyszer boldogult már ott, ahol orvosok kudarcot vallottak.	Không dưới một lần chàng đã thành công ở nơi mà các bác sĩ chịu bó tay.
Odahaza gyógyító képessége miatt "gyógynövénynek" hívták.	Ở nhà, nhờ khả năng chữa bệnh của chàng mà người ta gọi chàng là "cây chữa bệnh".
Mindenesetre szívesen meglátogatná Jancsi anyját, és szívesen beszélne vele.	Trong mọi trường hợp chàng sẵn sàng đến thăm mẹ Jáncsi và nói chuyện với bà.
Ki tudja, nem adhat-e valami jó tanácsot; örömest megtenné, már csak Jancsi kedvéért is.	Biết đâu chàng có thể cho lời khuyên tốt chàng rất vui lòng làm việc đó, dù chỉ chiều theo ý thích của Jáncsi đi nữa.
Apja akkor nagyon haragudott K.-ra, és nyilván sosem engedné meg, hogy K. meglátogassa édesanyját; igen, akkor föl is akarta keresni K.-t, hogy megbüntesse viselkedéséért, ettől azonban édesanyja visszatartotta.	Bố cậu lúc đó rất giận K., và rõ ràng ông không bao giờ cho phép K. thăm mẹ cậu. Phải rồi, lúc đó ông còn muốn tìm K. để trừng phạt chàng, nhưng mẹ cậu đã ngăn ông lại.
De nem akar beszélni senkivel maga az édesanyja sem, s az, hogy kérdezősködött K. felől, egyáltalán nem jelent kivételt a szabály alól, sőt ellenkezőleg, épp amikor K.-t említette, fejezhette volna ki egyben azt az óhaját is, hogy látni szeretné, ezt azonban nem tette, s ezzel világosan kinyilvánította akaratát.	Mà bản thân mẹ cậu cũng chẳng muốn nói chuyện với ai, K. hoàn toàn không phải là ngoại lệ. Chính khi bà nhắc đến K. là khi bà có thể biểu hiện sự mong muốn gặp K., nhưng bà đã không nói gì, điều đó chứng tỏ ý chí của bà một cách rõ ràng.
Éppen csak hallani akar K.-ról, beszélni azonban nem akar vele.	Bà chỉ muốn nghe nói về K., nhưng không muốn nói chuyện với chàng.
Voltaképpen nem is igazi betegség az, ami bántja; ő maga nagyon jól tudja, mi az oka gyenge állapotának, és néha céloz is rá: valószínűleg az itteni levegőt nem bírja; újra eltávozni azonban nem akar innét, a gyerekek és apjuk miatt, s a korábbiakhoz képest már javult is valamicskét.	Thực chất cái đang hành hạ bà không phải là căn bệnh đích thực, bà biết rất rõ nguyên nhân của tình trạng ốm yếu của mình, và thỉnh thoảng bà cũng nói ám chỉ về điều đó, có lẽ bà không chịu được khí hậu ở đây, nhưng bà không muốn lại rời khỏi nơi này vì các con và bố của chúng, với lại so với trước đấy thì bệnh bà có phần đỡ hơn.
