Tác giả : Jane Austen	Jane Austen	2.02727
 ~~~ 	4.	0
	FEJEZET	-0.6
		0.3
		0.3
Tháng hai và tháng ba trôi qua mà không có thêm sự kiện nào quan trọng hơn trong nhà Longbourn, với ít thay đổi qua những chuyến thăm viếng Meryton, đôi lúc lấm bẩn, đôi lúc lạnh giá.	Ilyen ap­ró-cseprő csa­lá­di ügyek­kel telt el a csa­ta­kos, né­ha hi­deg ja­nu­ár és feb­ru­ár, vaj­mi ke­vés vál­to­za­tos­ság­gal a merytoni sé­tá­kon kí­vül.	0.283333
Trong tháng ba, Elizabeth đi thăm Huntsford.	Már­ci­us­ban volt ese­dé­kes Elizabeth hunsfordi lá­to­ga­tá­sa.	0.5
Thoạt đầu cô không có ý định nghiêm túc đi đến đấy, nhưng cô biết được Charlotte đang mong ngóng, và cô dần dần nghĩ đến chuyến đi với niềm vui cũng như quyết chí hơn.	Ele­in­te nem­igen vet­te ko­mo­lyan a meg­hí­vást, de csak­ha­mar rá­jött, hogy Char­lotte szá­mít rá, s las­san­ként ma­ga is na­gyobb öröm­mel és bi­zo­nyos­ság­gal gon­dolt az uta­zás­ra.	0.267914
Sự vắng mặt của họ đã khiến cô mong muốn gặp lại Charlotte và bớt chán ghét anh Collins.	A tá­vol­lét fo­koz­ta vá­gyó­dá­sát Char­lotte után, és tom­pí­tot­ta Collins iránt ér­zett utá­la­tát.	0.225773
Có một ít mới mẻ trong kế hoạch, vì với một bà mẹ như thế và các em gái không thể thân cận như thế, khung cảnh gia đình không khỏi trở thành khó chịu, nên một ít thay đổi không khí là điều hay cho cô.	A terv új­don­sá­got ígért, s mi­vel ilyen anyá­val és hoz­zá nem il­lő fi­a­ta­labb test­vé­rek­kel az ott­ho­ni lég­kör nem volt ki­fo­gás­ta­lan, egy kis vál­to­zás ma­gá­ban vé­ve is jót ígért.	0.297209
Chuyến đi cũng có thể giúp cô tìm hiểu thoảng qua về tình hình của Jane.	Amel­lett al­kal­ma nyí­lik majd ar­ra is, hogy el­néz­zen Jane-hez, egy­szó­val amint a ki­tű­zött idő kö­ze­le­dett, Eli­zá­nak csa­ló­dást oko­zott vol­na bár­mi­nő ha­lo­ga­tás.	-0.169231
Khi gần đến ngày đi, cô hẳn phải tiếc nếu bị trễ nải.	De min­den si­mán ment, s vé­gül a lá­to­ga­tás Char­lotte ere­de­ti ter­ve sze­rint ren­de­ző­dött el.	0.075
Tuy nhiên, mọi việc đều suôn sẻ, cuối cùng được sắp xếp theo như ý phác thảo của Charlotte.	Meg­be­szél­ték, hogy Elizabeth el­kí­sé­ri Huns­ford­ba Sir Williamet és má­so­dik leg­idő­sebb lá­nyát.	0.256311
Cô sẽ tháp tùng Ngài William và cô con gái thứ hai của ông.	Az úti­terv idő­vel úgy mó­do­sult, hogy Lon­don­ban töl­te­nek egy éj­sza­kát, és ez­zel ter­vük tö­ké­le­te­sebb nem is le­he­tett.	-0.122951
Họ quyết định qua đêm tại London, và kế hoạch thế là trở nên hoàn hảo.	Egye­dül azt saj­nál­ta Eli­za, hogy ott­hon kell hagy­nia ap­ját, aki­nek bi­zo­nyá­ra hi­á­nyoz­ni fog.	0.181481
Chỉ có một việc khiến cô bận tâm là phải rời xa ông bố, người chắc chắn sẽ mong nhớ cô, đã dặn cô viết thư về và hầu như hứa sẽ hồi âm, tuy ông không muốn thấy cô đi.	Mi­kor bú­csú­zás­ra ke­rült a sor, Mr. Bennet nem szí­ve­sen en­ged­te el, meg­kér­te, hogy ír­jon ne­ki, sőt majd­nem meg­ígér­te, hogy vá­la­szol is a le­ve­lé­re.	0.281461
Cả cô và anh Wickham đều tỏ ra thân thiện hết mức khi họ chia tay nhau; ngay cả anh tỏ vẻ thân thiện hơn.	A bú­csú­zás köz­te és Wickham kö­zött a szí­vé­lyes ba­rát­ság je­gyé­ben folyt le, sőt Wickham mo­do­ra me­le­gebb volt a ba­rá­ti­nál.	0.335455
Mối tình anh theo đuổi hiện tại không thể làm anh quên rằng Elizabeth đã là người đầu tiên khơi dậy ý tình nơi anh và xứng đáng với ý tình ấy, người đầu tiên lắng nghe anh nói và thương hại anh, người đầu tiên được anh cảm mến. ~~~ Trong cách anh từ biệt cô, khi anh chúc cô mọi điều vui vẻ, nhắc cho cô nhớ Phu nhân Catherine de Bourgh là người như thế nào, và khi tin rằng ý kiến của hai người về bà này – ý kiến của họ về tất cả mọi người – đều luôn trùng hợp, có một ước muốn, một mối quan tâm mà cô cảm thấy hẳn phải luôn gắn bó cô với anh qua lòng mến trọng chân thành nhất.	Bár je­len­leg ho­zo­mány­ra va­dá­szott, nem tud­ta el­fe­led­ni, hogy Elizabeth volt az el­ső, aki fel­kel­tet­te és ki­ér­de­mel­te ér­dek­lő­dé­sét; az el­ső, aki meg­hall­gat­ta és meg­saj­nál­ta; az el­ső, aki­ért szí­ve lán­golt; s aho­gyan bú­csút vett Eli­zá­tól, min­den jót kí­ván­va, fi­gyel­mez­tet­te őt, mit vár­hat La­dy Cathe­rine de Bourghtól, és azt a re­mé­nyét fe­jez­te ki, hogy a la­dyről, mint bár­ki más­ról, min­dig egyez­ni fog vé­le­mé­nyük – mind­eb­ben volt va­la­mi sze­re­tő gon­dos­ság, me­leg ér­dek­lő­dés, ami Elizabeth ér­zé­se sze­rint örök­re őszin­tén össze­kap­csol­ja őket.	0.0201846
Rồi cô từ biệt anh, tin rằng dù anh đã có vợ hay còn độc thân, anh vẫn luôn đối với cô là kiểu mẫu một con người dễ mến.	Ab­ban a szent hit­ben vált el tő­le, hogy akár meg­nő­sül Wickham, akár nem, az ő sze­mé­ben min­dig min­ta­ké­pe lesz a kel­le­mes, sze­re­tet­re mél­tó em­ber­nek.	0.213333
Những người đồng hành của cô không phải là mẫu người khiến cô nghĩ anh không dễ chịu bằng.	Más­na­pi úti­tár­sai nem vol­tak al­kal­ma­sak ar­ra, hogy ezt a ked­ve­ző vé­le­mé­nyét meg­in­gas­sák.	0.257143
Ngài William Lucas và cô con gái Maria, một cô gái có tính vui vẻ nhưng đầu óc cũng rỗng tuếch như ông bố, không có gì nói đáng để nghe. ~~~ Cô nghe họ với hứng thú cũng như nghe tiếng xe ngựa kéo lạch cạch.	Sir William Lucas és a le­á­nya, Maria – jó ke­dé­lyű te­rem­tés, de épp­olyan üres­fe­jű, mint az ap­ja –, sem­mi olyat nem mond­tak, ami­re ér­de­mes lett vol­na fi­gyel­ni, s Elizabeth kö­rül­be­lül annyi él­ve­zet­tel hall­gat­ta őket, mint a pos­ta­ko­csi dör­gé­sét.	-0.0516279
Elizabeth thích nghe những điều vô lý, nhưng cô đã quen biết Ngài William quá lâu.	Az os­to­ba­ság mu­lat­tat­ta, de úti­tár­sa­it már túl­sá­go­san rég­óta is­mer­te.	0.247059
Ông không thể nói cho cô nghe những việc gì mới trong việc bệ kiến hoàng gia hoặc việc phong tước hiệp sĩ của ông, và những lịch sự của ông cạn dần theo các chuyện ông kể lể.	Sir William sem­mi új cso­dát nem tu­dott ne­ki me­sél­ni az ud­var­nál tör­tént be­mu­ta­tá­sá­ról és lo­va­gi rang­já­ról, s ud­va­ri­as­ko­dá­sa épp­úgy el­avult, mint ér­te­sü­lé­sei.	0.264063
Chuyến đi chỉ xa hai mươi bốn dặm, ba người khởi hành sớm để có thể đến Phố Gracechurch vào giữa trưa.	Az út mind­össze hu­szon­négy mér­föld volt, s ők oly ko­rán in­dul­tak el, hogy dél­ben már meg­ér­kez­tek a Grace­church Street­re.	0.240517
Khi họ bước vào của nhà bà Gardiner, Jane đang ở trong phòng khách nhìn họ đi vào, và bước ra đón tiếp họ.	Jane a sza­lon ab­la­ká­ból les­te ér­ke­zé­sü­ket, amint a Gardiner ház elé haj­tot­tak, s mi­kor be­lép­tek az elő­szo­bá­ba, ott üd­vö­zöl­te őket.	0.306015
Elizabeth nhìn chăm chú và vui mừng nhận thấy chị mình vẫn khoẻ mạnh và xinh xắn như bao giờ.	Elizabeth fi­gyel­me­sen te­kin­tett nő­vé­re ar­cá­ra, és öröm­mel lát­ta, hogy épp­oly szép és egész­sé­ges, mint va­la­ha.	0.3675
Trên các bậc cầu thang là một đám trẻ, tuy nóng lòng muốn gặp cô chị họ của chúng nhưng không được phép vào phòng khách, và còn xấu hổ vì chúng đã không gặp lại cô trong mười hai tháng nên không dám đến gần.	A lép­csőn egy se­reg kis­fiú és kis­lány nyüzs­gött, akik re­pes­ve vár­ták uno­ka­nő­vér­ük meg­je­le­né­sét, s ezért nem ma­rad­tak benn a sza­lon­ban; de mi­vel már egy éve nem lát­ták, fé­lénk­sé­gük­ben nem mer­tek lej­jebb men­ni.	0.259211
Tất cả đều vui tươi và tử tế.	Min­den­ki su­gár­zott az öröm­től és a ked­ves­ség­től.	0.0648649
Họ vui với nhau cả ngày; ban ngày rộn ràng với nhau và đi mua sắm, buổi tối đi xem nhạc kịch.	A nap na­gyon kel­le­me­sen telt el, ebéd előtt a be­vá­sár­lás iz­gal­ma­i­val, es­te pe­dig szín­ház­zal.	0.245455
Rồi Elizabeth xoay sở ngồi với bà mợ.	Elizabeth úgy in­téz­te, hogy nagy­nén­je mel­lett ül­jön.	0.517857
Đề tài đầu tiên của hai mợ cháu là cô chị. ~~~ Elizabeth lấy làm buồn hơn là ngạc nhiên sau khi hỏi han cặn kẽ và được nghe rằng Jane đã có những thời khoảng chán nản mặc dù cô luôn đấu tranh tư tưởng để tự vực mình lên.	Elő­ször Jane iránt ér­dek­lő­dött, s ap­ró­lé­kos kér­de­zős­kö­dé­sé­re in­kább szo­mo­rú­an, mint meg­le­pet­ve hal­lot­ta, hogy nő­vé­re igyek­szik ugyan meg­őriz­ni jó­kedv­ét, de időn­ként erőt vesz raj­ta a csüg­ge­dés.	0.00378606
Tuy nhiên, có lý do để hy vọng tình trạng này sẽ không kéo dài lâu.	Meg­volt azon­ban a re­mény, hogy ez az időn­kén­ti le­vert­sé­ge nem lesz tar­tós.	0.232394
Bà Gardiner cũng kể chuyện cô Bingley đến thăm, thuật lại những điều hai cô trao đổi, cho thấy Jane đã thật lòng muốn từ bỏ mối quan hệ.	Mrs. Gardiner be­szá­molt Miss Bingley lá­to­ga­tá­sá­ról is, el­mond­ta, hogy több íz­ben be­szél­ge­tett er­ről uno­ka­hú­gá­val, s úgy lát­ja, Jane va­ló­ban meg­sza­kí­tot­ta ve­le az is­me­ret­sé­get.	0.515
Rồi bà Gardiner hỏi han cô cháu về việc anh Wickham rời xa cô, khen ngợi cô đã chịu đựng rất tốt. ~~~ Bà thêm:	Mrs. Gardiner ez­után tré­fá­san cél­zott Wickham el­pár­to­lá­sá­ra, és gra­tu­lált Eli­zá­nak, hogy ilyen jó ar­cot vág hoz­zá.	0.122185
 ~~~ - Nhưng, Elizabeth yêu, cô King là người như thế nào?	– De mondd, Elizabeth – tet­te hoz­zá –, mi­fé­le lány az a Miss King?	0.0813636
Mợ sẽ thấy tiếc nếu nghĩ cô ta vụ lợi.	Nem szí­ve­sen hal­la­nám, hogy ba­rá­tunk anya­gi­as és pénz­só­vár.	0.0782609
- Mợ ạ, xin mợ cho biết trong những vấn đề hôn nhân, giữa tính vụ lợi và cẩn trọng có sự khác biệt như thế nào?	– De ked­ves né­ni, mi a kü­lönb­ség az anya­gi­as­ság és a jó­zan ész kö­zött a há­zas­sá­gi ügyek­ben?	0.279487
Tính thận trọng bắt đầu nơi nào và thói hám lợi chấm dứt ở đâu?	Hol vég­ző­dik a meg­fon­to­lás, és hol kez­dő­dik a kap­zsi­ság?	0.291781
Giáng Sinh rồi, mợ sợ con lấy anh ấy vì như thế là khinh suất, còn bây giờ vì anh ấy muốn lấy một cô gái chỉ có mười nghìn bảng, mợ lại muốn nghĩ anh là hám lợi.	Ka­rá­csony­kor még félt at­tól, hogy Wickham en­gem vesz el, s ezt meg­gon­do­lat­lan­ság­nak ne­vez­te; most pe­dig ki akar­ja süt­ni ró­la, hogy pénz­só­vár, mert olyan lány­nak ud­va­rol, aki­nek tíz­ezer fon­ton kí­vül egye­be sincs.	0.176271
- Nếu cháu chỉ cần nói cho mợ nghe cô ấy là người như thế nào, mợ sẽ biết phải nghĩ ra sao.	– Csak azt mondd meg, hogy Miss King mi­lyen lány, s én már tu­dom, mit gon­dol­jak.	0.220253
- Cháu tin cô ấy là một người con gái rất tốt.	– Az hi­szem, na­gyon ren­des, de­rék lány.	0.267391
Cháu không nghĩ xấu về cô ấy.	Sem­mi rosszat nem mond­ha­tok ró­la.	0.255882
- Nhưng anh ta không hề chú ý gì đến cô ấy, chỉ cho đến khi cô được thừa kế khoản tiền ấy.	– De Wickham rá se né­zett, amíg nem örö­köl­te ezt a va­gyont nagy­ap­já­tól.	0.235714
- Đúng vậy, nhưng tại sao anh phải chú ý đến cô trước đấy?	– Nem. ~~~ Mi­ért is né­zett vol­na rá?	-0.10125
Nếu anh ấy không được phép chinh phục tình cảm của cháu vì cháu không có tiền, anh có cơ hội nào để tỏ tình với một cô gái mà anh không màng đến và cô lại nghèo?	Ha az én ke­zem­re nem pá­lyáz­ha­tott, csak azért, mert nincs pén­zem, mi­ért ud­va­rolt vol­na olyan lány­nak, aki nem ér­de­kel­te, s aki ép­pen olyan sze­gény volt, mint én?	0.29661
- Nhưng dường như anh ta thiếu tế nhị khi chú ý đến cô ngay sau khi cô được thừa kế.	– De még­is a fi­nom ér­zés hi­á­nyá­ra vall, hogy a ha­lál­eset után rög­tön ost­ro­mol­ni kezd­te Miss Kinget.	0.201099
- Một thanh niên trong những hoàn cảnh phiền muộn không có thời giờ cho mọi nghi thức trang trọng mà người khác có thể tuân theo.	– A szo­rult hely­zet­ben le­vő em­ber­nek nincs ide­je il­lem­tu­dó for­ma­sá­gok­ra, ame­lye­ket má­sok meg­tar­ta­nak.	0.297794
Nếu cô ấy không chống đối, tại sao chúng ta lại chống đối?	Ha Miss Kingnek nincs ez el­len ki­fo­gá­sa, mi­ért len­ne ne­künk?	0.295588
- Việc cô ấy không chống đối không thể biện minh cho anh ta.	– A lány be­le­egye­zé­se nem men­ti a fér­fit.	0.230769
Nó chỉ cho thấy cô thiếu một cái gì đấy hoặc ý thức hoặc là cảm nghĩ.	Ez csak azt mu­tat­ja, hogy a lány­nál sincs va­la­mi rend­ben, az esze vagy a szí­ve kö­rül.	0.255
Elizabeth thốt lên: ~~~ 	– Hát jó – ki­ál­tot­ta Elizabeth –, le­gyen a né­ni­nek iga­za!	0.0107143
- Được rồi, tuỳ ý mợ nghĩ. ~~~ Anh ấy hám lợi, còn cô ấy ngu xuẩn.	Mond­juk, hogy Wickham ho­zo­mány­va­dász, Miss King pe­dig os­to­ba li­ba.	-0.0123288
- Không, Lizzy, không phải tuỳ ý mợ nghĩ.	– Nem, Lizzy, ezt nem aka­rom fel­té­te­lez­ni.	0.634091
Cháu biết chứ, mợ thấy buồn khi nghĩ xấu về một người thanh niên đã sống lâu tại Derbyshire.	Tu­dod, nem szí­ve­sen gon­do­lok rosszat egy fi­a­tal­em­ber­ről, aki oly so­ká­ig élt Der­by­shire-ben.	0.274038
- Ôi thôi! ~~~ Nếu chỉ có thế, cháu có ý tưởng rất xấu về các thanh niên sống tại Derbyshire, và các bạn thân của họ tại Hertfordshire cũng không hơn gì.	– Ó, ha csak er­ről van szó, én nem sok­ra tar­tom a der­by­shire-i fi­a­tal­em­be­re­ket, és azok a bi­zal­mas ba­rá­ta­ik sem sok­kal kü­lön­bek, akik Hert­ford­shire-ben lak­nak.	-0.0248466
Cháu chán ngán tất cả họ. ~~~ Cảm ơn Chúa tôi!	Tor­kig va­gyok va­la­mennyi­ük­kel.	-0.0285714
Ngày mai cháu sẽ đi đến nơi mà cháu tìm được một người đàn ông không có một giá trị dễ chịu nào, người không có nhân phẩm hoặc ý thức để đáng nói đến.	Há­la az ég­nek, hol­nap olyan hely­re uta­zom, ahol a ház urá­nak egyet­len kel­le­mes tu­laj­don­sá­ga sincs, sem jó mo­dor­ral, sem okos­ság­gal nem di­cse­ked­he­tik.	0.294857
Rốt cuộc thì chỉ những người xuẩn ngốc mới đáng cho ta tìm hiểu.	Vég­ered­mény­ben csak os­to­ba em­be­rek­kel ér­de­mes ba­rát­koz­ni.	0.268
- Cẩn thận, Lizzy, lời lẽ như thế biểu hiện rõ ràng nỗi thất vọng đấy.	– Vi­gyázz, Lizzy, ezek­ből a sza­vak­ból na­gyon ki­ér­ző­dik a csa­ló­dott­ság.	0.532483
Trước khi họ rời nhau qua câu kết luận bông đùa, cô có niềm vui bất ngờ khi được mời đi cùng ông cậu và bà mợ trong chuyến du lịch mùa hè. ~~~ Bà Gardiner nói:	Eli­zát még a szín­da­rab vé­ge előtt vá­rat­lan öröm ér­te, mert nagy­nén­je meg­hív­ta, kí­sér­je el őt és fér­jét nyár­ra ter­ve­zett uta­zá­su­kon.	-0.00266272
 ~~~ - Cậu mợ chưa định sẽ đi bao xa, nhưng có lẽ sẽ đi đến Vùng Hồ.	– Még nem ha­tá­roz­tuk el vég­leg, mi­lyen messzi­re uta­zunk – mond­ta Mrs. Gardiner –, de ta­lán el­ju­tunk a tó­vi­dé­kig.	-0.123649
Không kế hoạch nào khác có thể làm Elizabeth vui sướng như thế. ~~~ Cô nhiệt liệt thốt lên:	Jobb úti­ter­vet nem is em­lít­he­tett vol­na Eli­zá­nak, aki kész­sé­ge­sen és há­lá­val fo­gad­ta el a meg­hí­vást.	-0.0505102
 ~~~ - Mợ yêu ơi, thế thì hay quá! ~~~ Vui quá!	– Ked­ves, jó né­nim – ki­ál­tott fel el­ra­gad­tat­va –, mi­lyen öröm, mi­lyen bol­dog­ság!	-0.256098
Mợ cho cháu niềm vui và sức sống mới!	Új erőt, új éle­tet önt be­lém.	0.24
Giã từ mọi thất vọng và u uất.	Fél­re min­den csa­ló­dás és bú­bá­nat!	0.2
So với đất đá và núi non thì đàn ông là cái quái gì?	Mit bú­sul­jak az em­be­re­ken, ha ott van­nak a szik­lák, a he­gyek!	0.231579
Ôi chao! ~~~ Cháu có bao nhiêu là thời gian mà du ngoạn!	Ó, mi­lyen gyö­nyö­rű órá­kat töl­tünk majd köz­tük!	-0.025
Và khi chúng ta trở về, chúng ta sẽ không giống như những du khách khác không thể cho ý kiến chính xác về cái gì hết.	S ha vissza­té­rünk, nem le­szünk úgy, mint sok uta­zó, aki sem­mi­ről sem tud pon­to­san be­szá­mol­ni.	0.261468
Chúng ta sẽ biết chúng ta đã đi đến đâu, chúng ta sẽ nhớ những gì đã thấy.	Mi majd tud­juk, hol vol­tunk, em­lé­ke­zünk min­den­re, amit lát­tunk.	0.264
Những sông hồ và đồi núi sẽ không bị lộn xộn trong trí tưởng tượng của chúng ta; cũng như khi chúng ta thử mô tả quang cảnh nào đấy, chúng ta sẽ không phải tranh cãi về tình huống liên quan của nó.	A ta­vak, he­gyek és fo­lyók nem za­va­rod­nak össze kép­ze­le­tünk­ben, s ha le aka­runk ír­ni va­la­mely tá­jat, nem kez­dünk be­ve­ze­tő­ül azon ci­va­kod­ni, mer­re is fek­szik.	0.269072
Hãy để cho tình cảm dạt dào đầu tiên của chúng ta được dễ chịu hơn là những tình cảm chung chung của các du khách…	Ki­tö­rő lel­kes di­csé­re­tünk nem lesz olyan ki­bír­ha­tat­lan, mint a leg­több ter­mé­szet­ra­jon­góé.	0.282645
 ~~~ 	5.	0
		-0.3
		-0.3
 ~~~ Chương 5 ~~~  ~~~ 	FEJEZET	-0.16875
		0.3
		0.3
 ~~~ Mọi điều trong chặng đường ngày kế đều mới lạ và thích thú đối với Elizabeth.	Más­nap az úton min­den új volt és ér­de­kes Elizabeth sze­mé­ben, lel­ke öröm­mel fo­ga­dott ma­gá­ba min­den be­nyo­mást.	-0.0638298
Tinh thần cô phấn chấn vì cô đã thấy người chị trong tình trạng sức khỏe tốt nên không phải lo ngại gì, và viễn cảnh chuyến đi về miền Bắc là nguồn vui bất tận.	Nő­vé­rét olyan jó szín­ben ta­lál­ta, hogy nem ag­gó­dott töb­bé egész­sé­ge mi­att, s ha az észa­ki uta­zás­ra gon­dolt, ez ál­lan­dó for­rá­sa volt a gyö­nyö­rű­ség­nek.	0.278453
Khi họ tách ra khỏi đường cái để đi đến Huntsford, mọi con mắt đều tìm kiếm toà Tư dinh Cha xứ, mà ai nấy đều nghĩ sau mọi ngã rẽ có thể được nhìn thấy Vòng rào khu Rosings Park là ranh giới ở một bên.	Mi­kor az or­szág­út­ról le­tér­tek a hunsfordi út­ra, min­den szem a pap­la­kot ke­res­te, s min­den for­du­ló­nál azt vár­ták, hogy most buk­kan elé­jük.	0.204217
Elizabeth mỉm cười khi nhớ lại những gì cô đã nghe về những người ngụ nơi đây.	Az út egyik ol­da­lát Rosings Park ke­rí­té­se sze­gé­lyez­te, s Elizabeth mo­so­lyog­va gon­dolt mind­ar­ra, amit la­kó­i­ról hal­lott.	0.286471
Cuối cùng, toà Tư dinh Cha xứ hiện ra.	Vé­gül meg­pil­lan­tot­ták a pap­la­kot.	0.24
Khu hoa viên đổ dốc xuống con đường, ngôi nhà nằm bên trong vòng rào và bờ giậu, mọi thứ đều cho biết họ đã đến đích.	Az út fe­lé lej­tő kert, a kö­zé­pen ál­ló ház, a zöld ke­rí­tés és a ba­bér­sö­vény – mind ar­ra val­lott, hogy meg­ér­kez­tek.	0.28209
Anh Collins và Charlotte xuất hiện ở khung cửa, và cỗ xe ngựa dừng lại trước một cánh cổng nhỏ dần vào một con đường ngắn trải sỏi, giữa những cái gật đầu và cười mỉm của đoàn người.	Collins és Char­lotte meg­je­len­tek az aj­tó­ban, s mi­kor a ko­csi meg­állt a kis ker­ti ka­pu­nál, ahon­nan rö­vid ka­vi­csos út ve­ze­tett a ház­hoz, min­den­ki mo­so­lyog­ni és in­te­get­ni kez­dett.	0.401456
Trong phút chốc ba người xuống xe, vui mừng khi gặp lại nhau.	A ven­dé­gek egy pil­la­nat alatt ki­száll­tak a ko­csi­ból, s köl­csö­nö­sen ör­ven­dez­tek a vi­szont­lá­tás­nak.	-0.0140625
Bà Collins (1) chào đón cô bạn mình với niềm vui sống động nhất, và Elizabeth càng lúc càng hài lòng với chuyến viếng thăm khi hai vợ chồng tiếp đãi cô đầy tình cảm.	Mrs. Collins ki­tö­rő öröm­mel fo­gad­ta ba­rát­nő­jét, s Elizabeth is egy­re job­ban örült, hogy el­jött, ami­kor lát­ta, mi­lyen me­leg fo­gad­ta­tás­ban van ré­sze.	0.569375
Cô nhận thấy ngay rằng cung cách của người anh họ không thay đổi sau hôn nhân.	Azon­nal meg­ál­la­pí­tot­ta, hogy uno­ka­báty­ja mo­do­rán a há­zas­ság sem vál­toz­ta­tott; szer­tar­tá­sos ud­va­ri­as­sá­ga a ré­gi ma­radt, s Eli­zát per­ce­kig fel­tar­tóz­tat­ta a kert­aj­tó­nál, hogy csa­lád­já­nak min­den tag­ja iránt kü­lön-kü­lön ér­dek­lőd­jék.	-0.535714
Thái độ lịch sự trang trọng của anh vẫn như xưa, anh giữ cô lại ít phút bên cạnh cổng để thăm hỏi về gia đình cô.	Azu­tán még fel­hív­ta a ven­dé­gek fi­gyel­mét a be­já­rat csi­nos ki­kép­zé­sé­re, majd be­ve­zet­te őket a ház­ba.	0.285827
Sau khi anh đã chỉ cho ba người khách xem vẻ tinh xảo của lối đi vào nhà, anh mời họ vào, ngay khi họ vào đến tiền sảnh, với lời lẽ trang trọng cố tình phô trương, một lần nữa anh chào mừng họ đến ngôi gia cư tầm thường của anh, và nhắc lại lời của cô vợ mời mọi người dùng nước giải khát.	Mi­helyt a nap­pa­li­ba lép­tek, új­ból nagy­ké­pű szer­tar­tá­sos­ság­gal üd­vö­zöl­te őket sze­rény haj­lé­ká­ban, és hű­sé­ge­sen vissz­han­goz­ta fe­le­sé­ge min­den egyes sza­vát, aki fris­sí­tő­ket kí­nál­ga­tott ne­kik.	0.239326
Elizabeth đã chuẩn bị sẽ gặp lại anh trong sự vinh hiển của anh; cô không khỏi tưởng tượng rằng trong cách trưng bày phần lớn gian phòng, bố cục và nội thất của nó, anh đặc biệt muốn nói riêng với cô, như thể muốn cô nghĩ cô đã bị thiệt như thế nào khi khước từ anh.	Elizabeth szá­mí­tott rá, hogy tel­jes di­cső­sé­gé­ben fog­ja lát­ni a tisz­te­le­test, s ami­kor Collins a szo­ba ará­nyos mé­re­te­i­ről, fek­vé­sé­ről és bú­tor­za­tá­ról ára­do­zott, nem tu­dott me­ne­kül­ni at­tól az ér­zés­től, hogy a tisz­te­le­tes el­ső­sor­ban őhoz­zá in­té­zi sza­va­it, mint­ha érez­tet­ni akar­ná ve­le, mit vesz­tett, mi­kor őt ki­ko­sa­raz­ta.	0.23859
Nhưng mặc dù mọi thứ đều ngăn nắp và thoải mái, cô không thể làm anh mãn nguyện qua một tiếng thở dài nào biểu lộ nuối tiếc. ~~~ Thay vào đấy, cô nhìn bà bạn mình mà băn khoăn về vẻ vui tươi như thế, với anh chồng như thế.	Bár min­de­nen meg­lát­szott, hogy csi­nos és ké­nyel­mes, Elizabeth egy ár­va bűn­bá­nó só­haj­jal sem tu­dott Collins ked­vé­ben jár­ni, s in­kább cso­dál­koz­va néz­te ba­rát­nő­jét, hogy ilyen jó ar­cot vág egy ilyen élet­társ­hoz.	-0.00740741
Khi anh Collins nói điều gì đấy khiến bà vợ anh có thể xấu hổ, bất giác cô quay sang nhìn Charlotte.	Ha Collins olyas­mit mon­dott, ami mi­att fe­le­sé­ge jog­gal szé­gyen­kez­he­tett (s ez elég gyak­ran elő­for­dult), Elizabeth aka­rat­la­nul is rá­pil­lan­tott ba­rát­nő­jé­re.	0.198571
Một đôi lần cô có thể nhận ra nét thoáng ửng đỏ, nhưng thường Charlotte khôn ngoan tảng lờ như không nghe.	Egy­szer-két­szer hal­vány pi­ru­lást fe­de­zett fel az ar­cán, de Char­lotte rend­sze­rint nagy böl­csen úgy tett, mint­ha nem hal­la­na sem­mit.	0.206897
Sau khi mọi người đã có thời gian chiêm ngưỡng các món nội thất trong gian phòng, kể về chuyến đi và những chuyện xảy ra tại London, anh Collins mời mọi người đi dạo trong khu hoa viên, khá rộng và được phân bố chu đáo, do anh tự tay chăm sóc.	Mi­u­tán meg­cso­dál­ták a be­ren­de­zés min­den egyes da­rab­ját, a tá­la­ló­asz­tal­tól a kan­dal­ló­rá­csig, s be­szá­mol­tak uta­zá­suk­ról és mind­ar­ról, ami Lon­don­ban tör­tént, a tisz­te­le­tes egy kis sé­tát ja­va­solt a kert­ben.	0.28249
	Szé­pen el­ren­de­zett, nagy kert volt ez, s Collins ma­ga mű­vel­te.	-0.3
Làm vườn là một trong những thú vui đáng kính của anh, Elizabeth thán phục vẻ mặt chững chạc của Charlotte khi bà bạn nói đến lợi ích về sức khỏe của việc làm vườn; Elizabeth nghĩ bà bạn có ý khuyến khích việc này càng nhiều càng tốt.	A ker­tész­ke­dés leg­tisz­te­let­re­mél­tóbb él­ve­ze­tei kö­zé tar­to­zott, s Elizabeth ámul­va hall­gat­ta, hogy Char­lotte mi­lyen ko­moly arc­cal di­csé­ri ezt az egész­sé­ges tes­ti mun­kát, s azt is be­vall­ja, hogy ma­ga buz­dít­ja rá fér­jét.	0.378097
Anh dẫn ba người đi cùng khắp, ít khi cho họ có thời giờ để tỏ lời khen, anh chỉ ra mọi chi tiết vụn vặt khiến các đẹp hoàn toàn bị bỏ lại phía sau.	Collins vé­gig­ve­zet­te ven­dé­ge­it min­den ös­vé­nyen és ke­reszt­ös­vé­nyen, alig hagy­va ne­kik időt, hogy el­zeng­jék a vár­va várt di­csé­re­tet, s köz­ben olyan ap­ró­lé­ko­san ma­gya­ráz­ta el a fel­tá­ru­ló ki­lá­tást, hogy ez­zel min­den szép­sé­get tönk­re­tett.	0.0312883
